Card number,Modification date,Version
LOB-DE111,2023-05-14 12:33:48,New
LOB-DE112,2023-05-14 12:33:48,New
LOB-DE113,2023-05-14 12:33:48,New
LOB-DE114,2023-05-14 12:33:48,New
LOB-DE115,2023-05-14 12:33:48,New
LOB-DE116,2023-05-14 12:33:48,New
LOB-DE117,2023-05-14 12:33:48,New
LOB-DE118,2023-05-14 12:33:48,New
LOB-DE119,2023-05-14 12:33:48,New
LOB-DE120,2023-05-14 12:33:48,New
LOB-DE121,2023-05-14 12:33:48,New
LOB-DE122,2023-05-14 12:33:48,New
LOB-DE123,2023-05-14 12:33:48,New
LOB-DE124,2023-05-14 12:33:48,New
LOB-DE125,2023-05-14 12:33:48,New
LOB-EN000,2023-05-14 12:32:52,New
LOB-EN001,2023-05-14 12:32:52,New
LOB-EN002,2023-05-14 12:32:52,New
LOB-EN003,2023-05-14 12:32:52,New
LOB-EN004,2023-05-14 12:32:52,New
LOB-EN005,2023-05-14 12:32:52,New
LOB-EN006,2023-05-14 12:32:52,New
LOB-EN007,2023-05-14 12:32:52,New
LOB-EN008,2023-05-14 12:32:52,New
LOB-EN009,2023-05-14 12:32:52,New
LOB-EN010,2023-05-14 12:32:52,New
LOB-EN011,2023-05-14 12:32:52,New
LOB-EN012,2023-05-14 12:32:52,New
LOB-EN013,2023-05-14 12:32:52,New
LOB-EN014,2023-05-14 12:32:52,New
LOB-EN015,2023-05-14 12:32:52,New
LOB-EN016,2023-05-14 12:32:52,New
LOB-EN017,2023-05-14 12:32:52,New
LOB-EN018,2023-05-14 12:32:52,New
LOB-EN019,2023-05-14 12:32:52,New
LOB-EN020,2023-05-14 12:32:52,New
LOB-EN021,2023-05-14 12:32:52,New
LOB-EN022,2023-05-14 12:32:52,New
LOB-EN023,2023-05-14 12:32:52,New
LOB-EN024,2023-05-14 12:32:52,New
LOB-EN025,2023-05-14 12:32:52,New
LOB-EN026,2023-05-14 12:32:52,New
LOB-EN027,2023-05-14 12:32:52,New
LOB-EN028,2023-05-14 12:32:52,New
LOB-EN029,2023-05-14 12:32:52,New
LOB-EN030,2023-05-14 12:32:52,New
LOB-EN031,2023-05-14 12:32:52,New
LOB-EN032,2023-05-14 12:32:52,New
LOB-EN033,2023-05-14 12:32:52,New
LOB-EN034,2023-05-14 12:32:52,New
LOB-EN035,2023-05-14 12:32:52,New
LOB-EN036,2023-05-14 12:32:52,New
LOB-EN037,2023-05-14 12:32:52,New
LOB-EN038,2023-05-14 12:32:52,New
LOB-EN039,2023-05-14 12:32:52,New
LOB-EN040,2023-05-14 12:32:52,New
LOB-EN041,2023-05-14 12:32:52,New
LOB-EN042,2023-05-14 12:32:52,New
LOB-EN043,2023-05-14 12:32:52,New
LOB-EN044,2023-05-14 12:32:52,New
LOB-EN045,2023-05-14 12:32:52,New
LOB-EN046,2023-05-14 12:32:52,New
LOB-EN047,2023-05-14 12:32:52,New
LOB-EN048,2023-05-14 12:32:52,New
LOB-EN049,2023-05-14 12:32:52,New
LOB-EN050,2023-05-14 12:32:52,New
LOB-EN051,2023-05-14 12:32:52,New
LOB-EN052,2023-05-14 12:32:52,New
LOB-EN053,2023-05-14 12:32:52,New
LOB-EN054,2023-05-14 12:32:52,New
LOB-EN055,2023-05-14 12:32:52,New
LOB-EN056,2023-05-14 12:32:52,New
LOB-EN057,2023-05-14 12:32:52,New
LOB-EN058,2023-05-14 12:32:52,New
LOB-EN059,2023-05-14 12:32:52,New
LOB-EN060,2023-05-14 12:32:52,New
LOB-EN061,2023-05-14 12:32:52,New
LOB-EN062,2023-05-14 12:32:52,New
LOB-EN063,2023-05-14 12:32:52,New
LOB-EN064,2023-05-14 12:32:52,New
LOB-EN065,2023-05-14 12:32:52,New
LOB-EN066,2023-05-14 12:32:52,New
LOB-EN067,2023-05-14 12:32:52,New
LOB-EN068,2023-05-14 12:32:52,New
LOB-EN069,2023-05-14 12:32:52,New
LOB-EN070,2023-05-14 12:32:52,New
LOB-EN071,2023-05-14 12:32:52,New
LOB-EN072,2023-05-14 12:32:52,New
LOB-EN073,2023-05-14 12:32:52,New
LOB-EN074,2023-05-14 12:32:52,New
LOB-EN075,2023-05-14 12:32:52,New
LOB-EN076,2023-05-14 12:32:52,New
LOB-EN077,2023-05-14 12:32:52,New
LOB-EN078,2023-05-14 12:32:52,New
LOB-EN079,2023-05-14 12:32:52,New
LOB-EN080,2023-05-14 12:32:52,New
LOB-EN081,2023-05-14 12:32:52,New
LOB-EN082,2023-05-14 12:32:52,New
LOB-EN083,2023-05-14 12:32:52,New
LOB-EN084,2023-05-14 12:32:52,New
LOB-EN085,2023-05-14 12:32:52,New
LOB-EN086,2023-05-14 12:32:52,New
LOB-EN087,2023-05-14 12:32:52,New
LOB-EN088,2023-05-14 12:32:52,New
LOB-EN089,2023-05-14 12:32:52,New
LOB-EN090,2023-05-14 12:32:52,New
LOB-EN091,2023-05-14 12:32:52,New
LOB-EN092,2023-05-14 12:32:52,New
LOB-EN093,2023-05-14 12:32:52,New
LOB-EN094,2023-05-14 12:32:52,New
LOB-EN095,2023-05-14 12:32:52,New
LOB-EN096,2023-05-14 12:32:52,New
LOB-EN097,2023-05-14 12:32:52,New
LOB-EN098,2023-05-14 12:32:52,New
LOB-EN099,2023-05-14 12:32:52,New
LOB-EN100,2023-05-14 12:32:52,New
LOB-EN101,2023-05-14 12:32:52,New
LOB-EN102,2023-05-14 12:32:52,New
LOB-EN103,2023-05-14 12:32:52,New
LOB-EN104,2023-05-14 12:32:52,New
LOB-EN105,2023-05-14 12:32:52,New
LOB-EN106,2023-05-14 12:32:52,New
LOB-EN107,2023-05-14 12:32:52,New
LOB-EN108,2023-05-14 12:32:52,New
LOB-EN109,2023-05-14 12:32:52,New
LOB-EN110,2023-05-14 12:32:52,New
LOB-EN111,2023-05-14 12:32:52,New
LOB-EN112,2023-05-14 12:32:52,New
LOB-EN113,2023-05-14 12:32:52,New
LOB-EN114,2023-05-14 12:32:52,New
LOB-EN115,2023-05-14 12:32:52,New
LOB-EN116,2023-05-14 12:32:52,New
LOB-EN117,2023-05-14 12:32:52,New
LOB-EN118,2023-05-14 12:32:52,New
LOB-EN119,2023-05-14 12:32:52,New
LOB-EN120,2023-05-14 12:32:52,New
LOB-EN121,2023-05-14 12:32:52,New
LOB-EN122,2023-05-14 12:32:52,New
LOB-EN123,2023-05-14 12:32:52,New
LOB-EN124,2023-05-14 12:32:52,New
LOB-EN125,2023-05-14 12:32:52,New
LOB-FR000,2023-05-14 12:33:26,New
LOB-FR001,2023-05-14 12:33:26,New
LOB-FR002,2023-05-14 12:33:26,New
LOB-FR003,2023-05-14 12:33:26,New
LOB-FR004,2023-05-14 12:33:26,New
LOB-FR005,2023-05-14 12:33:26,New
LOB-FR006,2023-05-14 12:33:26,New
LOB-FR007,2023-05-14 12:33:26,New
LOB-FR008,2023-05-14 12:33:26,New
LOB-FR009,2023-05-14 12:33:26,New
LOB-FR010,2023-05-14 12:33:26,New
LOB-FR011,2023-05-14 12:33:26,New
LOB-FR012,2023-05-14 12:33:26,New
LOB-FR013,2023-05-14 12:33:26,New
LOB-FR014,2023-05-14 12:33:26,New
LOB-FR015,2023-05-14 12:33:26,New
LOB-FR016,2023-05-14 12:33:26,New
LOB-FR017,2023-05-14 12:33:26,New
LOB-FR018,2023-05-14 12:33:26,New
LOB-FR019,2023-05-14 12:33:26,New
LOB-FR020,2023-05-14 12:33:26,New
LOB-FR021,2023-05-14 12:33:26,New
LOB-FR022,2023-05-14 12:33:26,New
LOB-FR023,2023-05-14 12:33:26,New
LOB-FR024,2023-05-14 12:33:26,New
LOB-FR025,2023-05-14 12:33:26,New
LOB-FR026,2023-05-14 12:33:26,New
LOB-FR027,2023-05-14 12:33:26,New
LOB-FR028,2023-05-14 12:33:26,New
LOB-FR029,2023-05-14 12:33:26,New
LOB-FR030,2023-05-14 12:33:26,New
LOB-FR031,2023-05-14 12:33:26,New
LOB-FR032,2023-05-14 12:33:26,New
LOB-FR033,2023-05-14 12:33:26,New
LOB-FR034,2023-05-14 12:33:26,New
LOB-FR035,2023-05-14 12:33:26,New
LOB-FR036,2023-05-14 12:33:26,New
LOB-FR037,2023-05-14 12:33:26,New
LOB-FR038,2023-05-14 12:33:26,New
LOB-FR039,2023-05-14 12:33:26,New
LOB-FR040,2023-05-14 12:33:26,New
LOB-FR041,2023-05-14 12:33:26,New
LOB-FR042,2023-05-14 12:33:26,New
LOB-FR043,2023-05-14 12:33:26,New
LOB-FR044,2023-05-14 12:33:26,New
LOB-FR045,2023-05-14 12:33:26,New
LOB-FR046,2023-05-14 12:33:26,New
LOB-FR047,2023-05-14 12:33:26,New
LOB-FR048,2023-05-14 12:33:26,New
LOB-FR049,2023-05-14 12:33:26,New
LOB-FR050,2023-05-14 12:33:26,New
LOB-FR051,2023-05-14 12:33:26,New
LOB-FR052,2023-05-14 12:33:26,New
LOB-FR053,2023-05-14 12:33:26,New
LOB-FR054,2023-05-14 12:33:26,New
LOB-FR055,2023-05-14 12:33:26,New
LOB-FR056,2023-05-14 12:33:26,New
LOB-FR057,2023-05-14 12:33:26,New
LOB-FR058,2023-05-14 12:33:26,New
LOB-FR059,2023-05-14 12:33:26,New
LOB-FR060,2023-05-14 12:33:26,New
LOB-FR061,2023-05-14 12:33:26,New
LOB-FR062,2023-05-14 12:33:26,New
LOB-FR063,2023-05-14 12:33:26,New
LOB-FR064,2023-05-14 12:33:26,New
LOB-FR065,2023-05-14 12:33:26,New
LOB-FR066,2023-05-14 12:33:26,New
LOB-FR067,2023-05-14 12:33:26,New
LOB-FR068,2023-05-14 12:33:26,New
LOB-FR069,2023-05-14 12:33:26,New
LOB-FR070,2023-05-14 12:33:26,New
LOB-FR071,2023-05-14 12:33:26,New
LOB-FR072,2023-05-14 12:33:26,New
LOB-FR073,2023-05-14 12:33:26,New
LOB-FR074,2023-05-14 12:33:26,New
LOB-FR075,2023-05-14 12:33:26,New
LOB-FR076,2023-05-14 12:33:26,New
LOB-FR077,2023-05-14 12:33:26,New
LOB-FR078,2023-05-14 12:33:26,New
LOB-FR079,2023-05-14 12:33:26,New
LOB-FR080,2023-05-14 12:33:26,New
LOB-FR081,2023-05-14 12:33:26,New
LOB-FR082,2023-05-14 12:33:26,New
LOB-FR083,2023-05-14 12:33:26,New
LOB-FR084,2023-05-14 12:33:26,New
LOB-FR085,2023-05-14 12:33:26,New
LOB-FR086,2023-05-14 12:33:26,New
LOB-FR087,2023-05-14 12:33:26,New
LOB-FR088,2023-05-14 12:33:26,New
LOB-FR089,2023-05-14 12:33:26,New
LOB-FR090,2023-05-14 12:33:26,New
LOB-FR091,2023-05-14 12:33:26,New
LOB-FR092,2023-05-14 12:33:26,New
LOB-FR093,2023-05-14 12:33:26,New
LOB-FR094,2023-05-14 12:33:26,New
LOB-FR095,2023-05-14 12:33:26,New
LOB-FR096,2023-05-14 12:33:26,New
LOB-FR097,2023-05-14 12:33:26,New
LOB-FR098,2023-05-14 12:33:26,New
LOB-FR099,2023-05-14 12:33:26,New
LOB-FR100,2023-05-14 12:33:26,New
LOB-FR101,2023-05-14 12:33:26,New
LOB-FR102,2023-05-14 12:33:26,New
LOB-FR103,2023-05-14 12:33:26,New
LOB-FR104,2023-05-14 12:33:26,New
LOB-FR105,2023-05-14 12:33:26,New
LOB-FR106,2023-05-14 12:33:26,New
LOB-FR107,2023-05-14 12:33:26,New
LOB-FR108,2023-05-14 12:33:26,New
LOB-FR109,2023-05-14 12:33:26,New
LOB-FR110,2023-05-14 12:33:26,New
LOB-FR111,2023-05-14 12:33:26,New
LOB-FR112,2023-05-14 12:33:26,New
LOB-FR113,2023-05-14 12:33:26,New
LOB-FR114,2023-05-14 12:33:26,New
LOB-FR115,2023-05-14 12:33:26,New
LOB-FR116,2023-05-14 12:33:26,New
LOB-FR117,2023-05-14 12:33:26,New
LOB-FR118,2023-05-14 12:33:26,New
LOB-FR119,2023-05-14 12:33:26,New
LOB-FR120,2023-05-14 12:33:26,New
LOB-FR121,2023-05-14 12:33:26,New
LOB-FR122,2023-05-14 12:33:26,New
LOB-FR123,2023-05-14 12:33:26,New
LOB-FR124,2023-05-14 12:33:26,New
LOB-FR125,2023-05-14 12:33:26,New
LOB-IT000,2023-05-14 12:33:57,New
LOB-IT001,2023-05-14 12:33:57,New
LOB-IT002,2023-05-14 12:33:57,New
LOB-IT003,2023-05-14 12:33:57,New
LOB-IT004,2023-05-14 12:33:57,New
LOB-IT005,2023-05-14 12:33:57,New
LOB-IT006,2023-05-14 12:33:57,New
LOB-IT007,2023-05-14 12:33:57,New
LOB-IT008,2023-05-14 12:33:57,New
LOB-IT009,2023-05-14 12:33:57,New
LOB-IT010,2023-05-14 12:33:57,New
LOB-IT011,2023-05-14 12:33:57,New
LOB-IT012,2023-05-14 12:33:57,New
LOB-IT013,2023-05-14 12:33:57,New
LOB-IT014,2023-05-14 12:33:57,New
LOB-IT015,2023-05-14 12:33:57,New
LOB-IT016,2023-05-14 12:33:57,New
LOB-IT017,2023-05-14 12:33:57,New
LOB-IT018,2023-05-14 12:33:57,New
LOB-IT019,2023-05-14 12:33:57,New
LOB-IT020,2023-05-14 12:33:57,New
LOB-IT021,2023-05-14 12:33:57,New
LOB-IT022,2023-05-14 12:33:57,New
LOB-IT023,2023-05-14 12:33:57,New
LOB-IT024,2023-05-14 12:33:57,New
LOB-IT025,2023-05-14 12:33:57,New
LOB-IT026,2023-05-14 12:33:57,New
LOB-IT027,2023-05-14 12:33:57,New
LOB-IT028,2023-05-14 12:33:57,New
LOB-IT029,2023-05-14 12:33:57,New
LOB-IT030,2023-05-14 12:33:57,New
LOB-IT031,2023-05-14 12:33:57,New
LOB-IT032,2023-05-14 12:33:57,New
LOB-IT033,2023-05-14 12:33:57,New
LOB-IT034,2023-05-14 12:33:57,New
LOB-IT035,2023-05-14 12:33:57,New
LOB-IT036,2023-05-14 12:33:57,New
LOB-IT037,2023-05-14 12:33:57,New
LOB-IT038,2023-05-14 12:33:57,New
LOB-IT039,2023-05-14 12:33:57,New
LOB-IT040,2023-05-14 12:33:57,New
LOB-IT041,2023-05-14 12:33:57,New
LOB-IT042,2023-05-14 12:33:57,New
LOB-IT043,2023-05-14 12:33:57,New
LOB-IT044,2023-05-14 12:33:57,New
LOB-IT045,2023-05-14 12:33:57,New
LOB-IT046,2023-05-14 12:33:57,New
LOB-IT047,2023-05-14 12:33:57,New
LOB-IT048,2023-05-14 12:33:57,New
LOB-IT049,2023-05-14 12:33:57,New
LOB-IT050,2023-05-14 12:33:57,New
LOB-IT051,2023-05-14 12:33:57,New
LOB-IT052,2023-05-14 12:33:57,New
LOB-IT053,2023-05-14 12:33:57,New
LOB-IT054,2023-05-14 12:33:57,New
LOB-IT055,2023-05-14 12:33:57,New
LOB-IT056,2023-05-14 12:33:57,New
LOB-IT057,2023-05-14 12:33:57,New
LOB-IT058,2023-05-14 12:33:57,New
LOB-IT059,2023-05-14 12:33:57,New
LOB-IT060,2023-05-14 12:33:57,New
LOB-IT061,2023-05-14 12:33:57,New
LOB-IT062,2023-05-14 12:33:57,New
LOB-IT063,2023-05-14 12:33:57,New
LOB-IT064,2023-05-14 12:33:57,New
LOB-IT065,2023-05-14 12:33:57,New
LOB-IT066,2023-05-14 12:33:57,New
LOB-IT067,2023-05-14 12:33:57,New
LOB-IT068,2023-05-14 12:33:57,New
LOB-IT069,2023-05-14 12:33:57,New
LOB-IT070,2023-05-14 12:33:57,New
LOB-IT071,2023-05-14 12:33:57,New
LOB-IT072,2023-05-14 12:33:57,New
LOB-IT073,2023-05-14 12:33:57,New
LOB-IT074,2023-05-14 12:33:57,New
LOB-IT075,2023-05-14 12:33:57,New
LOB-IT076,2023-05-14 12:33:57,New
LOB-IT077,2023-05-14 12:33:57,New
LOB-IT078,2023-05-14 12:33:57,New
LOB-IT079,2023-05-14 12:33:57,New
LOB-IT080,2023-05-14 12:33:57,New
LOB-IT081,2023-05-14 12:33:57,New
LOB-IT082,2023-05-14 12:33:57,New
LOB-IT083,2023-05-14 12:33:57,New
LOB-IT084,2023-05-14 12:33:57,New
LOB-IT085,2023-05-14 12:33:57,New
LOB-IT086,2023-05-14 12:33:57,New
LOB-IT087,2023-05-14 12:33:57,New
LOB-IT088,2023-05-14 12:33:57,New
LOB-IT089,2023-05-14 12:33:57,New
LOB-IT090,2023-05-14 12:33:57,New
LOB-IT091,2023-05-14 12:33:57,New
LOB-IT092,2023-05-14 12:33:57,New
LOB-IT093,2023-05-14 12:33:57,New
LOB-IT094,2023-05-14 12:33:57,New
LOB-IT095,2023-05-14 12:33:57,New
LOB-IT096,2023-05-14 12:33:57,New
LOB-IT097,2023-05-14 12:33:57,New
LOB-IT098,2023-05-14 12:33:57,New
LOB-IT099,2023-05-14 12:33:57,New
LOB-IT100,2023-05-14 12:33:57,New
LOB-IT101,2023-05-14 12:33:57,New
LOB-IT102,2023-05-14 12:33:57,New
LOB-IT103,2023-05-14 12:33:57,New
LOB-IT104,2023-05-14 12:33:57,New
LOB-IT105,2023-05-14 12:33:57,New
LOB-IT106,2023-05-14 12:33:57,New
LOB-IT107,2023-05-14 12:33:57,New
LOB-IT108,2023-05-14 12:33:57,New
LOB-IT109,2023-05-14 12:33:57,New
LOB-IT110,2023-05-14 12:33:57,New
LOB-IT111,2023-05-14 12:33:57,New
LOB-IT112,2023-05-14 12:33:57,New
LOB-IT113,2023-05-14 12:33:57,New
LOB-IT114,2023-05-14 12:33:57,New
LOB-IT115,2023-05-14 12:33:57,New
LOB-IT116,2023-05-14 12:33:57,New
LOB-IT117,2023-05-14 12:33:57,New
LOB-IT118,2023-05-14 12:33:57,New
LOB-IT119,2023-05-14 12:33:57,New
LOB-IT120,2023-05-14 12:33:57,New
LOB-IT121,2023-05-14 12:33:57,New
LOB-IT122,2023-05-14 12:33:57,New
LOB-IT123,2023-05-14 12:33:57,New
LOB-IT124,2023-05-14 12:33:57,New
LOB-IT125,2023-05-14 12:33:57,New
LOB-PT000,2023-05-14 12:34:08,New
LOB-PT001,2023-05-14 12:34:08,New
LOB-PT002,2023-05-14 12:34:08,New
LOB-PT003,2023-05-14 12:34:08,New
LOB-PT004,2023-05-14 12:34:08,New
LOB-PT005,2023-05-14 12:34:08,New
LOB-PT006,2023-05-14 12:34:08,New
LOB-PT007,2023-05-14 12:34:08,New
LOB-PT008,2023-05-14 12:34:08,New
LOB-PT009,2023-05-14 12:34:08,New
