Card number,Name,Rarity,Print,Region,Modification date,Release,Set type,Cover card,Version
DBVS-JP010,Memento Bone Back,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP011,Memento Fracture Dance,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP011,Memento Fracture Dance,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP012,Memento Cranium Burst,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP012,Memento Cranium Burst,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP013,Terraforming,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP013,Terraforming,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP014,Supply Squad,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP014,Supply Squad,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP015,There Can Be Only One,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP015,There Can Be Only One,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP016,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP016,Centurion Primera,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP017,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP017,Centurion Trudea,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP018,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP018,Centurion Emet VI,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP019,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP019,Centurion Legatia,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP020,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP020,Stand-Up Centurion!,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP021,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP021,,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP022,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP022,Faith of Centurion,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP023,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP023,Centurion Phalanx,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP024,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP024,Truth Centurion,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP025,Summoner Monk,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP025,Summoner Monk,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP026,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP026,,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP027,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP027,,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP028,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP028,Magic Planter,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP029,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP029,,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP030,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP030,Gravity Collapse,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP031,Angelo Valmonica,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP031,Angelo Valmonica,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP032,Demone Valmonica,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP032,Demone Valmonica,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP033,Odd Deity of Valmonica - Giurarme,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP033,Odd Deity of Valmonica - Giurarme,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP034,Divine Oddity of Valmonica - Zebufera,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP034,Divine Oddity of Valmonica - Zebufera,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP035,"Angelic-Demonic Selector - ""Valmonica""",,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP035,"Angelic-Demonic Selector - ""Valmonica""",,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP036,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP036,,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP037,Valmonica Versare,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP037,Valmonica Versare,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP038,Valmonica Intonare,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP038,Valmonica Intonare,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP039,Valmonica of the Guiding Rhythm,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP039,Valmonica of the Guiding Rhythm,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP040,Valmonica of the Selecting Melody,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP040,Valmonica of the Selecting Melody,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP041,Protecting Spirit Loagaeth,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP041,Protecting Spirit Loagaeth,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP042,Performage Trick Clown,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP042,Performage Trick Clown,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP043,,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP043,,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP044,Number 41: Bagooska the Terribly Tired Tapir,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP044,Number 41: Bagooska the Terribly Tired Tapir,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP045,Stained Glass of Light & Dark,,Reprint,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP045,Stained Glass of Light & Dark,,Reprint,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DE03-JP147,Forbidden Chalice,"('Super Rare',)",Reprint,JP,2023-03-22 16:58:07,2012-08-11,Booster pack,"('Blackwing - Gale the Whirlwind', 'Earthbound Immortal Ccapac Apu', 'Red Dragon Archfiend', 'Stardust Dragon')",Old
DE03-JP147,Natural Tune,"('Common',)",Reprint,JP,2023-08-08 17:09:18,2012-08-11,Booster pack,"('Blackwing - Gale the Whirlwind', 'Earthbound Immortal Ccapac Apu', 'Red Dragon Archfiend', 'Stardust Dragon')",New
DE03-JP148,Natural Tune,"('Common',)",Reprint,JP,2023-03-22 16:58:07,2012-08-11,Booster pack,"('Blackwing - Gale the Whirlwind', 'Earthbound Immortal Ccapac Apu', 'Red Dragon Archfiend', 'Stardust Dragon')",Old
DE03-JP148,Forbidden Chalice,"('Super Rare',)",Reprint,JP,2023-08-08 17:09:18,2012-08-11,Booster pack,"('Blackwing - Gale the Whirlwind', 'Earthbound Immortal Ccapac Apu', 'Red Dragon Archfiend', 'Stardust Dragon')",New
DEM5-DE001,Feral Imp,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE002,Battle Ox,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE003,Dark Rabbit,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE004,Baby Dragon,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE005,Meteor Dragon,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE006,Copycat,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE007,Gravekeeper's Spear Soldier,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE008,Riryoku,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE009,Sword of Deep-Seated,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DE010,Windstorm of Etaqua,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-DES01,Power Up!,"('Common',)",,DE,2023-08-13 16:58:25,,Demo Deck,,New
DEM5-IT001,Feral Imp,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT002,Battle Ox,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT003,Dark Rabbit,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT004,Baby Dragon,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT005,Meteor Dragon,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT006,Copycat,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT007,Gravekeeper's Spear Soldier,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT008,Riryoku,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT009,Sword of Deep-Seated,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-IT010,Windstorm of Etaqua,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-ITS01,Power Up!,"('Common',)",,IT,2023-08-13 16:58:36,2019-07-01,Demo Deck,,New
DEM5-PT001,Feral Imp,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT002,Battle Ox,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT003,Dark Rabbit,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT004,Baby Dragon,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT005,Meteor Dragon,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT006,Copycat,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT007,Gravekeeper's Spear Soldier,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT008,Riryoku,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT009,Sword of Deep-Seated,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PT010,Windstorm of Etaqua,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-PTS01,Power Up!,"('Common',)",,PT,2023-08-13 16:58:45,,Demo Deck,,New
DEM5-SP001,Feral Imp,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP002,Battle Ox,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
