Name,Archseries,Legend,Maximum mode,Effect type,Modification date,Errata,Version
Blanc de Blanc the Snow Shadow Flower,,False,False,,2023-03-18 05:34:37,,Old
Blanc de Blanc the Snow Shadow Flower,"('Shadow Flower',)",False,False,,2023-03-18 05:34:37,,New
Blaze Fiend Overlords Beelucitaroth,,False,False,"('Continuous Effect', 'Summoning condition')",2023-03-18 05:38:47,,Old
Blaze Fiend Overlords Beelucitaroth,"('Blaze Fiend',)",False,True,"('Continuous Effect', 'Summoning condition')",2023-03-18 05:38:47,,New
Blaze Fiend Overlords Beelucitaroth [L],,False,False,"('Continuous Effect',)",2023-03-18 05:38:53,,Old
Blaze Fiend Overlords Beelucitaroth [L],"('Blaze Fiend',)",False,True,"('Continuous Effect',)",2023-03-18 05:38:53,,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix,,False,False,"('Effect',)",2023-06-03 11:04:58,,Old
Blazebolt Chemistorm Fenghuang Volcalize Phoenix,"('Chemistry',)",False,False,"('Effect',)",2023-06-03 11:04:58,,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [L],,False,False,"('Effect',)",2023-06-03 11:08:16,,Old
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [L],"('Chemistry',)",False,False,"('Effect',)",2023-06-03 11:08:16,,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [R],,False,False,"('Effect',)",2023-06-03 11:10:40,,Old
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [R],"('Chemistry',)",False,False,"('Effect',)",2023-06-03 11:10:40,,New
Blue Tooth Burst Dragon,,False,False,"('Effect',)",2023-06-06 17:18:13,,Old
Blue Tooth Burst Dragon,"('High Tech Dragon',)",False,False,"('Effect',)",2023-06-06 17:18:13,,New
Blue Tooth Enhanced Burst Dragon,,False,False,"('Effect',)",2023-05-13 09:53:25,,Old
Blue Tooth Enhanced Burst Dragon,"('High Tech Dragon',)",False,False,"('Effect',)",2023-05-13 09:53:25,,New
Blue-Eyes White Cat,,False,False,,2023-03-18 05:56:20,,Old
Blue-Eyes White Cat,"('Cat (Rush Duel series)',)",False,False,,2023-03-18 05:56:20,,New
Boton the Music Princess,,False,False,,2023-06-02 20:01:08,,Old
Boton the Music Princess,"('Music Princess',)",False,False,,2023-06-02 20:01:08,,New
Bubbleburst Shock!,,False,False,"('Effect',)",2023-03-18 06:55:29,,Old
Bubbleburst Shock!,"('Bubble Era',)",False,False,"('Effect',)",2023-03-18 06:55:29,,New
Business Card Barrage,,False,False,"('Effect',)",2023-03-18 07:09:53,,Old
Business Card Barrage,"('Worker Warrior',)",False,False,"('Effect',)",2023-06-15 21:29:25,,New
Buster Blader,,False,False,"('Continuous Effect',)",2023-04-01 13:06:09,"('Type',)",Old
Buster Blader,,True,False,"('Continuous Effect',)",2023-04-01 13:06:09,"('Type',)",New
Caught in the Rain,,False,False,"('Effect',)",2023-03-18 07:35:07,,Old
Caught in the Rain,"('Bubble Actress',)",False,False,"('Effect',)",2023-03-18 07:35:07,,New
Celeb Rose Mage,,False,False,"('Effect',)",2023-05-13 09:14:21,,Old
Celeb Rose Mage,"('Celeb Rose',)",False,False,"('Effect',)",2023-05-13 09:14:21,,New
Celeb Rose Witch,,False,False,"('Effect',)",2023-05-13 09:16:38,,Old
Celeb Rose Witch,"('Celeb Rose',)",False,False,"('Effect',)",2023-05-13 09:16:38,,New
Celebrontosaurus,,False,False,,2023-03-18 07:35:50,,Old
Celebrontosaurus,"('Nouveau Riche Dinosaur',)",False,False,,2023-03-18 07:35:50,,New
Chemicalize Salamander,,False,False,"('Effect',)",2023-03-18 07:59:37,,Old
Chemicalize Salamander,"('Chemistry',)",False,False,"('Effect',)",2023-03-18 07:59:37,,New
Chemicalizer Red,,False,False,"('Effect',)",2023-03-18 07:59:45,,Old
Chemicalizer Red,"('Chemistry',)",False,False,"('Effect',)",2023-03-18 07:59:45,,New
Chemispet Nyanko,,False,False,,2023-06-03 10:33:36,,Old
Chemispet Nyanko,"('Chemistry',)",False,False,,2023-06-03 10:33:36,,New
Chemispet Wanko,,False,False,,2023-06-03 10:36:20,,Old
Chemispet Wanko,"('Chemistry',)",False,False,,2023-06-03 10:36:20,,New
Clubinet the Music Princess,,False,False,,2023-05-17 06:32:51,,Old
Clubinet the Music Princess,"('Music Princess',)",False,False,,2023-05-17 06:32:51,,New
Concert Costume Creator,,False,False,,2023-03-18 08:43:22,,Old
Concert Costume Creator,"('Psychic Musician',)",False,False,,2023-03-18 08:43:22,,New
Constructor Battler Big Roller,,False,False,,2023-03-18 08:53:42,,Old
Constructor Battler Big Roller,"('Constructor',)",False,False,,2023-03-18 08:53:42,,New
Constructor Demolisher Wyrm Drake Crush,,False,False,,2023-03-18 08:54:05,,Old
Constructor Demolisher Wyrm Drake Crush,"('Constructor',)",False,False,,2023-03-18 08:54:05,,New
Constructor Princess Pylon,,False,False,,2023-05-24 15:08:45,,Old
Constructor Princess Pylon,"('Constructor',)",False,False,,2023-05-24 15:08:45,,New
Constructor Sentry Dragline,,False,False,"('Effect',)",2023-06-09 10:20:27,,Old
Constructor Sentry Dragline,"('Constructor',)",False,False,"('Effect',)",2023-06-12 12:39:50,,New
Constructor Soldier Drillzard,,False,False,,2023-03-18 08:55:04,,Old
Constructor Soldier Drillzard,"('Constructor',)",False,False,,2023-03-18 08:55:04,,New
Cracking Claw,,False,False,"('Effect',)",2023-05-25 11:24:15,,Old
Cracking Claw,"('High Tech Dragon',)",False,False,"('Effect',)",2023-05-25 11:24:15,,New
Cross Promotion the Elite Noodle Ninja,,False,False,,2023-03-18 09:22:12,,Old
Cross Promotion the Elite Noodle Ninja,"('Noodle Ninja',)",False,False,,2023-03-18 09:22:12,,New
Curse of Dragon,,False,False,,2023-06-03 11:20:38,"('Name',)",Old
Curse of Dragon,"('Gaia (series)',)",False,False,,2023-06-03 11:20:38,"('Name', 'Type')",New
Cyber End Dragon,,False,False,"('Continuous Effect',)",2023-03-18 10:08:29,"('Name', 'Type')",Old
Cyber End Dragon,"('Cyber Dragon (Rush Duel series)',)",False,False,"('Continuous Effect',)",2023-03-18 10:08:29,"('Name', 'Type')",New
Cyber Stealth Dragon,,False,False,"('Continuous Effect',)",2023-03-18 10:16:57,,Old
Cyber Stealth Dragon,"('Cyber Dragon (Rush Duel series)',)",False,False,"('Continuous Effect',)",2023-03-18 10:16:57,,New
Cyber Tactical Dragon,,False,False,"('Effect',)",2023-05-13 10:01:22,,Old
Cyber Tactical Dragon,"('Cyber Dragon (Rush Duel series)',)",False,False,"('Effect',)",2023-05-13 10:01:22,,New
Cycliptron,,False,False,,2023-03-18 10:31:46,,Old
Cycliptron,"('Tron (series)',)",False,False,,2023-03-18 10:31:46,,New
Dark Magic Attack,,False,False,"('Effect',)",2023-03-18 11:54:34,"('Any',)",Old
Dark Magic Attack,"('Signature move',)",False,False,"('Effect',)",2023-03-18 11:54:34,"('Any',)",New
Dark Magician,,False,False,,2023-03-18 11:57:46,"('Name', 'Type')",Old
Dark Magician,,True,False,,2023-03-18 11:57:46,"('Name', 'Type')",New
Defrostrooper,,False,False,,2023-06-01 23:38:19,,Old
Defrostrooper,,False,False,"('Effect',)",2023-06-14 02:39:19,,New
Demolition Art - Absolute Destruction,"('Demolition',)",False,False,"('Effect',)",2023-06-16 14:55:09,,New
Demolition Barricade,,False,False,"('Effect',)",2023-06-11 10:09:30,,Old
Demolition Barricade,"('Demolition',)",False,False,"('Effect',)",2023-06-12 12:47:49,,New
Demolition Charge Dragon Dangerous Blasthamut,,False,False,"('Effect',)",2023-05-20 23:34:03,,Old
Demolition Charge Dragon Dangerous Blasthamut,"('Demolition',)",False,False,"('Effect',)",2023-05-20 23:34:03,,New
Demolition Soldier High Kanko,"('Demolition',)",False,False,,2023-06-13 11:21:18,,New
Demolition Soldier Sakan Yasan,"('Demolition',)",False,False,,2023-06-13 11:20:31,,New
Doomblaze Fiend Overlord Despairacion [L],,False,False,"('Continuous Effect',)",2023-05-31 06:48:54,,Old
Doomblaze Fiend Overlord Despairacion [L],"('Blaze Fiend',)",False,True,"('Continuous Effect',)",2023-05-31 06:48:54,,New
Dragon's Boost Fusion,,False,False,"('Effect',)",2023-05-13 10:06:16,,Old
Dragon's Boost Fusion,"('Fusion (archetype)', 'High Tech Dragon')",False,False,"('Effect',)",2023-05-13 10:06:16,,New
Dragosite,,False,False,,2023-03-18 14:46:37,,Old
Dragosite,"('High Tech Dragon',)",False,False,,2023-03-18 14:46:37,,New
Drukmoor the Skysavior Phantom,,False,False,"('Continuous Effect',)",2023-05-25 11:24:29,,Old
Drukmoor the Skysavior Phantom,"('Skysavior',)",False,False,"('Continuous Effect',)",2023-05-25 11:24:29,,New
Durga the Shadow Flower Stealth Submarine,,False,False,"('Effect',)",2023-03-18 15:16:48,,Old
Durga the Shadow Flower Stealth Submarine,"('Shadow Flower',)",False,False,"('Effect',)",2023-03-18 15:16:48,,New
Dynamic Dino Dynamix [L],,False,False,"('Continuous Effect',)",2023-03-18 15:20:28,,Old
Dynamic Dino Dynamix [L],"('Nouveau Riche Dinosaur',)",False,True,"('Continuous Effect',)",2023-03-18 15:20:28,,New
Elepsychic Amp Up,,False,False,"('Effect',)",2023-03-18 16:07:00,,Old
Elepsychic Amp Up,"('Psychic Musician',)",False,False,"('Effect',)",2023-03-18 16:07:00,,New
Ethyl the Flame Jinn of the Lamp,,False,False,"('Effect',)",2023-03-18 16:26:16,,Old
Ethyl the Flame Jinn of the Lamp,"('Chemistry',)",False,False,"('Effect',)",2023-03-18 16:26:16,,New
Ewekai Grounmouton,,False,False,,2023-03-18 17:13:05,,Old
Ewekai Grounmouton,"('Ewekai',)",False,False,,2023-03-18 17:13:05,,New
Ewekai Nightmutton,,False,False,,2023-03-18 17:13:11,,Old
Ewekai Nightmutton,"('Ewekai',)",False,False,,2023-03-18 17:13:11,,New
Ewekai Pyrowool,,False,False,,2023-03-18 17:13:24,,Old
Ewekai Pyrowool,"('Ewekai',)",False,False,,2023-03-18 17:13:24,,New
Ewekai Thunderlambda,,False,False,,2023-03-18 17:13:30,,Old
Ewekai Thunderlambda,"('Ewekai',)",False,False,,2023-03-18 17:13:30,,New
ExPress Train,,False,False,,2023-03-18 17:13:40,,Old
ExPress Train,"('Newspaper',)",False,False,,2023-03-18 17:13:40,,New
Excutie Leir,,False,False,"('Continuous Effect',)",2023-03-18 17:14:59,,Old
Excutie Leir,"('Excutie',)",False,False,"('Continuous Effect',)",2023-03-18 17:14:59,,New
Excutie Lilius,,False,False,"('Continuous Effect',)",2023-03-18 17:15:03,,Old
Excutie Lilius,"('Excutie',)",False,False,"('Continuous Effect',)",2023-03-18 17:15:03,,New
Excutie Up!,,False,False,"('Effect',)",2023-03-18 17:15:25,,Old
Excutie Up!,"('Excutie',)",False,False,"('Effect',)",2023-03-18 17:15:25,,New
Feverous Spirit Stadium,,False,False,"('Effect',)",2023-03-18 17:48:01,,Old
Feverous Spirit Stadium,"('Baseball',)",False,False,"('Effect',)",2023-03-18 17:48:01,,New
Flame Seeker,,False,False,,2023-03-18 18:17:06,,Old
Flame Seeker,"('Chemistry',)",False,False,,2023-03-18 18:17:06,,New
Full Orchestra the Music Fiend,,False,False,"('Effect',)",2023-05-24 21:16:41,,Old
Full Orchestra the Music Fiend,"('Music Princess',)",False,False,"('Effect',)",2023-05-24 21:16:41,,New
Gagaga Outfielder,,False,False,,2023-03-18 19:31:22,,Old
Gagaga Outfielder,"('Baseball',)",False,False,,2023-03-18 19:31:22,,New
Galactica Oblivion,,False,False,,2023-06-06 17:17:19,,Old
Galactica Oblivion,"('Galactica',)",False,False,,2023-06-06 17:17:19,,New
Galactica Xiphos,,False,False,"('Effect',)",2023-03-18 19:41:58,,Old
Galactica Xiphos,"('Galactica',)",False,False,"('Effect',)",2023-03-18 19:41:58,,New
Ghoulish Gal,,False,False,,2023-03-18 20:51:11,,Old
Ghoulish Gal,"('Ghost Story',)",False,False,,2023-03-18 20:51:11,,New
Gracesaurus,,False,False,,2023-03-18 22:05:17,,Old
Gracesaurus,"('Metarion',)",False,False,,2023-03-18 22:05:17,,New
Great Maju Garzett,,False,False,"('Continuous Effect',)",2023-03-18 22:29:18,"('Name',)",Old
Great Maju Garzett,,True,False,"('Continuous Effect',)",2023-03-18 22:29:18,"('Name',)",New
Harpie Carla,,False,False,"('Effect',)",2023-05-15 13:54:51,,Old
Harpie Carla,"('Harpie (Rush Duel series)',)",False,False,"('Effect',)",2023-05-15 13:54:51,,New
Harpie Ladies,,False,False,"('Effect',)",2023-05-21 11:49:40,,Old
Harpie Ladies,"('Harpie (Rush Duel series)',)",False,True,"('Effect',)",2023-05-21 11:49:40,,New
Harpie Ladies [L],,False,False,"('Continuous Effect',)",2023-05-20 23:34:56,,Old
Harpie Ladies [L],"('Harpie (Rush Duel series)',)",False,True,"('Continuous Effect',)",2023-05-20 23:34:56,,New
Harpie Lady,,False,False,,2023-05-15 13:53:29,"('Any',)",Old
Harpie Lady,"('Harpie (Rush Duel series)',)",False,False,,2023-05-15 13:53:29,"('Any',)",New
Harpie Lady 1,,False,False,"('Continuous Effect',)",2023-06-01 16:10:09,"('Any',)",Old
Harpie Lady 1,"('Harpie (Rush Duel series)',)",False,False,"('Continuous Effect',)",2023-06-01 16:10:09,"('Any',)",New
Harpie Lady 2,"('Harpie (Rush Duel series)',)",False,False,"('Effect',)",2023-06-14 01:53:54,"('Any',)",New
Harpie Regina,,False,False,"('Effect',)",2023-06-08 02:13:56,,Old
Harpie Regina,"('Harpie (Rush Duel series)',)",False,False,"('Effect',)",2023-06-08 02:13:56,,New
Harpie's Feather Tempest,"('Harpie (Rush Duel series)',)",False,False,"('Effect',)",2023-06-16 14:52:40,,New
Heartless Hound Blade Aikuchihuahua,,False,False,,2023-03-18 23:20:26,,Old
Heartless Hound Blade Aikuchihuahua,"('Heartless Hound',)",False,False,,2023-03-18 23:20:26,,New
Heartless Hound Blade Bulldosu,,False,False,,2023-03-18 23:20:37,,Old
Heartless Hound Blade Bulldosu,"('Heartless Hound',)",False,False,,2023-03-18 23:20:37,,New
Icarus Attack,,True,False,"('Effect',)",2023-06-16 14:56:35,"('Any',)",New
Imaginary Actor,,False,False,,2023-03-19 08:25:52,,Old
Imaginary Actor,"('Metarion',)",False,False,,2023-03-19 08:25:52,,New
Infinite Constructor Wyrm Buildream,,False,False,"('Effect',)",2023-05-24 15:36:08,,Old
Infinite Constructor Wyrm Buildream,"('Constructor',)",False,False,"('Effect',)",2023-05-24 15:36:08,,New
Jinzo,,False,False,"('Continuous Effect',)",2023-04-08 01:36:42,"('Type',)",Old
Jinzo,,True,False,"('Continuous Effect',)",2023-04-08 01:36:42,"('Type',)",New
Jointech Rushhorn,,False,False,"('Effect',)",2023-03-19 10:22:56,,Old
Jointech Rushhorn,"('Jointech',)",False,False,"('Effect',)",2023-03-19 10:22:56,,New
Kanan the Sword Diva,,False,False,,2023-03-19 10:56:46,,Old
Kanan the Sword Diva,"('Bubble Era',)",False,False,,2023-03-19 10:56:46,,New
Kanan the Swordmaiden,,False,False,,2023-03-19 10:56:57,,Old
Kanan the Swordmaiden,"('Bubble Actress',)",False,False,,2023-03-19 10:56:57,,New
Kappa Avenger,,False,False,,2023-03-19 10:58:14,,Old
Kappa Avenger,"('Kappa',)",False,False,,2023-03-19 10:58:14,,New
Karatake the Talismanic Warrior,,False,False,"('Effect',)",2023-03-19 11:06:50,,Old
Karatake the Talismanic Warrior,"('Talismanic',)",False,False,"('Effect',)",2023-03-19 11:06:50,,New
Kimeluna the Dark Shifter,"('Fiendish Commander',)",False,False,"('Effect',)",2023-03-19 11:19:52,,Old
Kimeluna the Dark Shifter,"('Three Rulers',)",False,False,"('Effect',)",2023-06-17 17:35:18,,New
King's Majesty,,False,False,"('Effect',)",2023-03-19 11:24:16,,Old
King's Majesty,"(""King's"",)",False,False,"('Effect',)",2023-03-19 11:24:16,,New
Kudzu the Bruised Shadow Flower,,False,False,,2023-03-19 11:49:39,,Old
Kudzu the Bruised Shadow Flower,"('Shadow Flower',)",False,False,,2023-03-19 11:49:39,,New
Kurobana the Shadow Flower Wolf,,False,False,,2023-03-19 11:59:03,,Old
Kurobana the Shadow Flower Wolf,"('Shadow Flower',)",False,False,,2023-03-19 11:59:03,,New
Lindo the Shadow Flower Warrior,,False,False,,2023-03-19 13:02:10,,Old
Lindo the Shadow Flower Warrior,"('Shadow Flower',)",False,False,,2023-03-19 13:02:10,,New
Lullabind,,False,False,"('Effect',)",2023-03-19 13:27:48,,Old
Lullabind,"('Psychic Musician',)",False,False,"('Effect',)",2023-03-19 13:27:48,,New
Machinations of the Monarchs,,False,False,"('Effect',)",2023-05-13 10:17:03,,Old
Machinations of the Monarchs,"('Monarch (Rush Duel series)',)",False,False,"('Effect',)",2023-05-13 10:17:03,,New
Magical Sheep Girl Meeeg-chan,,False,False,,2023-05-10 16:51:31,,Old
Magical Sheep Girl Meeeg-chan,"('Ewekai',)",False,False,,2023-05-10 16:51:31,,New
Mechaleon,,False,False,,2023-05-11 06:21:43,,Old
Mechaleon,"('Chameleon',)",False,False,,2023-05-11 06:21:43,,New
Meika Etraynze the Shadow Flower Venus,,False,False,"('Effect',)",2023-03-19 16:09:13,,Old
Meika Etraynze the Shadow Flower Venus,"('Shadow Flower',)",False,False,"('Effect',)",2023-03-19 16:09:13,,New
Music Princess's Dance,,False,False,"('Effect',)",2023-06-11 08:58:53,,Old
Music Princess's Dance,"('Music Princess',)",False,False,"('Effect',)",2023-06-12 12:44:56,,New
Music Princess's Requiem,,False,False,"('Effect',)",2023-05-24 21:10:43,,Old
Music Princess's Requiem,"('Music Princess',)",False,False,"('Effect',)",2023-05-24 21:10:43,,New
Mystic Roastman,,False,False,,2023-03-19 17:58:18,,Old
Mystic Roastman,"('Yakiniku',)",False,False,,2023-03-19 17:58:18,,New
Mystical Sandbox,,False,False,,2023-03-19 18:02:53,,Old
Mystical Sandbox,"('Bubble Actress',)",False,False,,2023-03-19 18:02:53,,New
Nativity of the Monarchs,,False,False,"('Effect',)",2023-05-13 10:18:09,,Old
Nativity of the Monarchs,"('Monarch (Rush Duel series)',)",False,False,"('Effect',)",2023-05-13 10:18:09,,New
Nessus the Star Knight,,False,False,,2023-03-19 18:53:53,,Old
Nessus the Star Knight,"('Star Knight',)",False,False,,2023-03-19 18:53:53,,New
Omega Guitarna the Supreme Shining Superstar,,False,False,"('Multi-Choice Effect',)",2023-03-19 20:51:15,,Old
Omega Guitarna the Supreme Shining Superstar,"('Psychic Musician',)",False,False,"('Multi-Choice Effect',)",2023-03-19 20:51:15,,New
Ophiclaymore the Music Princess,,False,False,,2023-05-17 06:25:41,,Old
Ophiclaymore the Music Princess,"('Music Princess',)",False,False,,2023-05-17 06:25:41,,New
Oppressed Ant,,False,False,,2023-03-19 20:58:12,,Old
Oppressed Ant,"('Gi-ant Revolution (series)',)",False,False,,2023-03-19 20:58:12,,New
Phantasm Spiral Dragon,,True,False,,2023-06-16 05:35:56,,New
Pitch-Black Warwolf,,False,False,"('Continuous Effect',)",2023-03-19 22:52:47,"('Type',)",Old
Pitch-Black Warwolf,,True,False,"('Continuous Effect',)",2023-03-19 22:52:47,"('Type',)",New
Platnidon,,False,False,,2023-03-19 22:57:46,,Old
Platnidon,"('Nouveau Riche Dinosaur',)",False,False,,2023-03-19 22:57:46,,New
Raiza the Storm Monarch,"('Monarch (Rush Duel series)',)",True,False,"('Effect',)",2023-06-16 14:58:31,"('Type',)",New
Recombination Galactica,,False,False,"('Effect',)",2023-05-13 10:14:23,,Old
Recombination Galactica,"('Galactica',)",False,False,"('Effect',)",2023-05-13 10:14:23,,New
Red Boot Boost Dragon,,False,False,"('Effect',)",2023-05-11 00:34:11,,Old
Red Boot Boost Dragon,"('High Tech Dragon',)",False,False,"('Effect',)",2023-05-11 00:34:11,,New
Release Wrath,,False,False,"('Effect',)",2023-05-25 06:00:25,,Old
Release Wrath,"('Chameleon',)",False,False,"('Effect',)",2023-05-25 06:00:25,,New
Requesting 9,,False,False,"('Effect',)",2023-03-20 05:32:45,,Old
Requesting 9,"('Baseball',)",False,False,"('Effect',)",2023-03-20 05:32:45,,New
Resurrection of the Blaze Fiends,,False,False,"('Effect',)",2023-03-20 05:38:37,,Old
Resurrection of the Blaze Fiends,"('Blaze Fiend',)",False,False,"('Effect',)",2023-03-20 05:38:37,,New
Rising Luna Radiant Luster,,False,False,"('Effect',)",2023-05-25 11:23:23,,Old
Rising Luna Radiant Luster,"('Three Rulers',)",False,False,"('Effect',)",2023-05-25 11:23:23,,New
Road Magic - Dark Night,,False,False,"('Effect',)",2023-03-20 06:01:50,,Old
Road Magic - Dark Night,"('Road Magic',)",False,False,"('Effect',)",2023-03-20 06:01:50,,New
Road Magic - Explosion,,False,False,"('Effect',)",2023-03-20 06:01:59,,Old
Road Magic - Explosion,"('Road Magic',)",False,False,"('Effect',)",2023-03-20 06:01:59,,New
Robbarim,,False,False,,2023-03-20 06:03:35,,Old
Robbarim,"('Shaman Bandit',)",False,False,,2023-03-20 06:03:35,,New
Romic n' Roller,,False,False,"('Effect',)",2023-03-20 06:10:27,,Old
Romic n' Roller,"('Band Group',)",False,False,"('Effect',)",2023-03-20 06:10:27,,New
Royal Rebel's Arena,,False,False,"('Effect',)",2023-03-20 06:17:02,,Old
Royal Rebel's Arena,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:17:02,,New
Royal Rebel's Break,,False,False,"('Effect',)",2023-03-20 06:17:24,,Old
Royal Rebel's Break,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:17:24,,New
Royal Rebel's Command,,False,False,"('Effect',)",2023-03-20 06:17:35,,Old
Royal Rebel's Command,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:17:35,,New
Royal Rebel's Doom Metal,,False,False,"('Effect',)",2023-03-20 06:17:46,,Old
Royal Rebel's Doom Metal,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:17:46,,New
Royal Rebel's Fanatic,,False,False,,2023-03-20 06:18:08,,Old
Royal Rebel's Fanatic,"(""Royal Rebel's"",)",False,False,,2023-03-20 06:18:08,,New
Royal Rebel's Growl,,False,False,"('Effect',)",2023-03-20 06:18:21,,Old
Royal Rebel's Growl,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:18:21,,New
Royal Rebel's Invasion,,False,False,"('Effect',)",2023-03-20 06:18:57,,Old
Royal Rebel's Invasion,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:18:57,,New
Royal Rebel's Rocker,,False,False,"('Effect',)",2023-03-20 06:19:30,,Old
Royal Rebel's Rocker,"(""Royal Rebel's"",)",False,False,"('Effect',)",2023-03-20 06:19:30,,New
SSD Drake,,False,False,"('Effect',)",2023-03-20 06:39:05,,Old
SSD Drake,"('High Tech Dragon',)",False,False,"('Effect',)",2023-03-20 06:39:05,,New
Sakuretsu Armor,,False,False,"('Effect',)",2023-03-20 06:46:15,"('Any',)",Old
Sakuretsu Armor,,True,False,"('Effect',)",2023-03-20 06:46:15,"('Any',)",New
Sannomiya Golden G Robo MK-III,,False,False,,2023-03-20 07:00:10,,Old
Sannomiya Golden G Robo MK-III,"('Cosmic Urban Legend',)",False,False,,2023-03-20 07:00:10,,New
Sansetsukontra the Music Fiend,,False,False,"('Effect',)",2023-06-04 19:19:21,,Old
Sansetsukontra the Music Fiend,"('Music Princess',)",False,False,"('Effect',)",2023-06-04 19:19:21,,New
Scales of Flame,,False,False,"('Effect',)",2023-03-20 07:07:26,,Old
Scales of Flame,"('Chemistry',)",False,False,"('Effect',)",2023-03-20 07:07:26,,New
Scarechair Gear,,False,False,,2023-03-20 07:08:40,,Old
Scarechair Gear,"('Chair',)",False,False,,2023-03-20 07:08:40,,New
Scarechair Saber,,False,False,,2023-03-20 07:09:01,,Old
Scarechair Saber,"('Chair',)",False,False,,2023-03-20 07:09:01,,New
Seedchrotron Brusselun,,False,False,"('Effect',)",2023-03-20 07:36:26,,Old
Seedchrotron Brusselun,"('Tron (series)',)",False,False,"('Effect',)",2023-03-20 07:36:26,,New
Semeruler the Dark Summoner,,False,False,"('Effect',)",2023-03-20 07:38:34,,Old
Semeruler the Dark Summoner,"('Three Rulers',)",False,False,"('Effect',)",2023-03-20 07:38:34,,New
Sevens Road Enchanter,,False,False,"('Effect',)",2023-03-20 07:47:51,,Old
Sevens Road Enchanter,"('Sevens Road',)",False,False,"('Effect',)",2023-03-20 07:47:51,,New
Sevens Road Protection,,False,False,"('Effect',)",2023-03-20 07:48:11,,Old
Sevens Road Protection,"('Sevens Road',)",False,False,"('Effect',)",2023-03-20 07:48:11,,New
Sevens Road Sorcerer,,False,False,"('Effect',)",2023-03-20 07:48:17,,Old
Sevens Road Sorcerer,"('Sevens Road',)",False,False,"('Effect',)",2023-03-20 07:48:17,,New
Sevens Wonder Fusion,,False,False,"('Effect',)",2023-05-13 10:10:18,,Old
Sevens Wonder Fusion,"('Fusion (archetype)',)",False,False,"('Effect',)",2023-05-13 10:10:18,,New
Shadow Flower Spore,,False,False,"('Effect',)",2023-03-20 07:51:11,,Old
Shadow Flower Spore,"('Shadow Flower',)",False,False,"('Effect',)",2023-03-20 07:51:11,,New
Shadow Flower Wish,,False,False,"('Effect',)",2023-03-20 07:51:21,,Old
Shadow Flower Wish,"('Shadow Flower',)",False,False,"('Effect',)",2023-03-20 07:51:21,,New
Shield & Sword,,False,False,"('Effect',)",2023-03-20 07:57:27,"('Type',)",Old
Shield & Sword,,True,False,"('Effect',)",2023-03-20 07:57:27,"('Type',)",New
