Name,Effect type,TCG status,OCG status,Artwork,Modification date,Errata,Version
Darklord Rebellion,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,,2023-03-18 12:15:30,"('Any',)",Old
Divine Serpent Geh,"('Continuous Effect', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-18 13:39:57,"('Any',)",Old
Dragon Piper,"('Trigger Effect',)",Unlimited,Unlimited,,2023-07-18 09:23:50,"('Any',)",Old
Dragon Piper,"('Trigger Effect',)",Unlimited,Unlimited,,2023-07-18 09:23:50,"('Type',)",New
Eternal Favorite,"('Quick-like Effect',)",,Not yet released,,2023-08-11 01:40:49,,New
Faith of Centurion,"('Condition', 'Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 12:41:05,,New
Fire Ejection,"('Condition', 'Effect')",Not yet released,Unlimited,,2023-08-02 08:06:41,,Old
Fire Ejection,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 22:33:58,,New
Fire King Avatar Hanuman,"('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,,2023-08-08 15:13:10,,New
Fire King Sacred Immolation,"('Condition', 'Effect', 'Unclassified effect')",,Not yet released,,2023-08-08 15:17:50,,New
Flower Cardian Paulownia,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-18 18:30:38,,Old
Flower Cardian Paulownia with Phoenix,"('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-18 18:30:51,"('Any',)",Old
Flower Cardian Pine with Crane,"('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-18 18:31:38,"('Any',)",Old
Flower Cardian Willow,"('Ignition Effect',)",Unlimited,Unlimited,,2023-03-18 18:31:56,"('Any',)",Old
Fraud Freeze,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,,2019-11-30 17:22:24,,Old
Geist Grinder Golem,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,,2023-08-10 21:53:03,,New
Gold Pride - Better Luck Next Time!,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,,,2023-06-26 07:19:59,,Old
Gold Pride - Better Luck Next Time!,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:30:55,,New
Gold Pride - Captain Carrie,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,,2023-06-28 13:47:33,,Old
Gold Pride - Captain Carrie,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:12:28,,New
Gold Pride - Chariot Carrie,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,,2023-06-28 13:46:21,,Old
Gold Pride - Chariot Carrie,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:20:40,,New
Gold Pride - It's Neck and Neck!,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,,,2023-06-26 07:20:15,,Old
Gold Pride - It's Neck and Neck!,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Not yet released,,2023-08-09 08:35:10,,New
Gold Pride - Leon,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,,2023-03-18 21:45:14,,Old
Gold Pride - Leon,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:08:09,,New
Gold Pride - Nytro Blaster,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,,2023-06-28 13:46:24,,Old
Gold Pride - Nytro Blaster,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:22:37,,New
Gold Pride - Nytro Head,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,,2023-06-28 13:47:46,,Old
Gold Pride - Nytro Head,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:09:54,,New
Gold Pride - Pedal to the Metal!,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,,,2023-06-26 07:19:44,,Old
Gold Pride - Pedal to the Metal!,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:29:00,,New
Gold Pride - Pin Baller,"('Condition', 'Trigger Effect')",Unlimited,,,2023-06-28 13:46:27,,Old
Gold Pride - Pin Baller,"('Condition', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:14:59,,New
Gold Pride - Roller Baller,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,,2023-06-26 07:19:03,,Old
Gold Pride - Roller Baller,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Not yet released,,2023-08-09 08:13:52,,New
Gold Pride - Star Leon,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,,2023-06-28 13:46:30,,Old
Gold Pride - Star Leon,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Not yet released,,2023-08-09 08:16:21,,New
Gold Pride - Start Your Engines!,"('Effect',)",Unlimited,,,2023-03-18 21:45:59,,Old
Gold Pride - Start Your Engines!,"('Effect',)",Unlimited,Not yet released,,2023-08-09 08:33:40,,New
Gold Pride - That Came Out of Nowhere!,"('Condition', 'Effect')",Unlimited,,,2023-06-26 07:19:34,,Old
Gold Pride - That Came Out of Nowhere!,"('Condition', 'Effect')",Unlimited,Not yet released,,2023-08-09 08:27:14,,New
Gold Pride - The Crowd Goes Wild!,"('Condition', 'Effect')",Unlimited,,,2023-03-18 21:46:10,,Old
Gold Pride - The Crowd Goes Wild!,"('Condition', 'Effect')",Unlimited,Not yet released,,2023-08-09 08:24:39,,New
Jellyfish,,Unlimited,Unlimited,,2023-05-14 20:54:09,,Old
Jellyfish,,Unlimited,Unlimited,,2023-05-14 20:54:09,"('Type',)",New
King of Yamimakai,,Unlimited,Unlimited,,2023-05-14 20:52:23,"('Name',)",Old
King of Yamimakai,,Unlimited,Unlimited,,2023-05-14 20:52:23,"('Name', 'Type')",New
Lil-la Rap,"('Condition', 'Trigger Effect')",,Unlimited,,2023-08-10 07:29:14,,New
Lil-la-Rap,"('Condition', 'Trigger Effect')",,Unlimited,,2023-06-16 15:53:09,,Old
Magnet Force,"('Effect',)",Unlimited,Unlimited,,2023-03-19 14:47:42,,Old
Majesty with Eyes of Blue,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,,2023-03-19 15:00:55,"('Any',)",Old
Mature Chronicle,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Not yet released,,2023-08-11 01:26:04,,New
Memento Dark Blade,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,,2023-08-09 12:43:13,,New
"Mementoral Tectolica, the Netherskull Dragon","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,,2023-07-10 15:07:17,,Old
"Mementoral Tecuhtlica, the Netherskull Dragon","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,,2023-08-12 13:50:56,,New
Netherskull Temple - Mementolan,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 18:36:06,,New
Netherskull Temple - Mementoran,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,Not yet released,,2023-07-10 13:22:14,,Old
Nightmare Pain,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,Not yet released,,2023-08-11 00:51:53,,New
Ninjitsu Art Notebook,"('Ignition-like Effect',)",Unlimited,Unlimited,,2023-07-27 14:43:02,"('Any',)",Old
Number C79: Battlin' Boxer General Kaiser,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 16:28:24,,Old
Number C79: Battlin' Boxer General Kaiser,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:33:42,,New
Predaplant Flytrap,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-19 23:23:52,,Old
Predaplant Pterapenthes,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-19 23:24:40,,Old
Protecting Spirit Loagaeth,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-07-26 07:15:01,,Old
Protecting Spirit Loagaeth,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"('Edited',)",2023-08-08 01:38:33,,New
SPYRAL GEAR - Big Red,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,,2023-03-20 06:35:59,,Old
SPYRAL GEAR - Drone,"('Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-06-19 20:59:42,"('Any',)",Old
Salamangreat Burst Gryphon,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 16:21:32,,Old
Salamangreat Burst Gryphon,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:14,,New
Salamangreat Charge,"('Condition', 'Effect')",Not yet released,Unlimited,,2023-07-31 15:41:37,,Old
Salamangreat Charge,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 22:34:11,,New
Salamangreat Rage,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,,2023-07-31 19:13:18,"('Any',)",Old
Salamangreat Rage,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 21:39:46,"('Any',)",New
Salamangreat Raging Phoenix,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:38:57,,Old
Salamangreat Raging Phoenix,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:12,,New
Salamangreat Revive,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Unlimited,,2023-07-31 15:43:15,,Old
Salamangreat Revive,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,,2023-08-13 22:34:10,,New
Salamangreat Tiger,"('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,Unlimited,,2023-07-31 16:23:10,,Old
Salamangreat Tiger,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,,2023-08-13 22:34:15,,New
Salamangreat Weasel,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:59:41,,Old
Salamangreat Weasel,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:15,,New
Salamangreat of Fire,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:33:30,,Old
Salamangreat of Fire,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:16,,New
Samsara Regenerating Lotus,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 00:46:28,,New
Seventh Force,"('Effect',)",Not yet released,Unlimited,,2023-07-31 16:15:52,,Old
Seventh Force,"('Effect',)",Unlimited,Unlimited,,2023-08-13 22:33:39,,New
Solidarity Strike of the Fire Kings,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,,2023-08-08 15:22:14,,New
Speedlift,"('Activation condition', 'Effect')",Unlimited,Unlimited,,2023-07-25 08:34:20,,Old
Spirit of Yubel,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,,2023-08-10 21:42:52,,New
Stand-Up Centurion!,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 12:38:27,,New
Starving Venom Fusion Dragon,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"('Alternate',)",2023-07-24 18:58:57,"('Any',)",Old
Subterror Behemoth Stygokraken,"('Condition', 'Flip effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-20 10:45:32,,Old
Subterror Behemoth Umastryx,"('Condition', 'Flip effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-03-20 10:46:16,,Old
Super Koi Koi,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,,2023-03-20 11:08:06,,Old
Sweet Room-Maid,"('Condition', 'Effect')",,Unlimited,,2023-04-15 16:10:05,,Old
Sweet Roommaid,"('Condition', 'Effect')",,Unlimited,,2023-08-10 08:02:13,,New
The Suppression Pluto,"('Ignition Effect',)",Unlimited,Unlimited,,2023-07-03 23:02:42,"('Any',)",Old
Tribute Burial,"('Effect',)",Unlimited,Unlimited,"('Edited',)",2023-03-20 16:29:59,"('Any',)",Old
Truth Centurion,"('Condition', 'Effect')",,Not yet released,,2023-08-11 12:50:23,,New
Union Hangar,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-05-10 10:33:41,"('Any',)",Old
Volcanic Blaze Accelerator,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",Not yet released,Unlimited,,2023-07-31 15:22:19,,Old
Volcanic Blaze Accelerator,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",Unlimited,Unlimited,,2023-08-13 22:34:00,,New
Volcanic Emission,"('Condition', 'Effect')",Not yet released,Unlimited,,2023-07-31 15:27:07,,Old
Volcanic Emission,"('Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 22:33:57,,New
Volcanic Emperor,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:15:29,,Old
Volcanic Emperor,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:01,,New
Volcanic Eruption,"('Activation condition', 'Effect')",Unlimited,Unlimited,,2023-08-01 02:37:16,"('Any',)",Old
Volcanic Eruption,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,,2023-08-13 21:39:36,"('Any',)",New
Volcanic Inferno,"('Condition', 'Quick-like Effect')",Not yet released,Unlimited,,2023-07-31 16:05:33,,Old
Volcanic Inferno,"('Condition', 'Quick-like Effect')",Unlimited,Unlimited,,2023-08-13 22:33:57,,New
Volcanic Rimfire,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:19:44,,Old
Volcanic Rimfire,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:01,,New
Volcanic Trooper,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,,2023-07-31 15:17:44,,Old
Volcanic Trooper,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,,2023-08-13 22:34:01,,New
Yubel - Das Ewig Liebe Wächter,"('Continuous Effect', 'Trigger Effect')",,Not yet released,,2023-08-11 13:17:45,,New
