Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Cloudian - Altus,79703905,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Cloudian - Ghost Fog,83604828,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Cloudian - Ghost Fog,83604828,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Cloudian - Nimbusman,20003527,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-03-31 17:46:40,,Old
Cloudian - Nimbusman,20003527,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-03-31 17:46:40,"('Any',)",New
Cloudian - Sheep Cloud,56597272,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Cloudian - Sheep Cloud,56597272,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Cloudian - Smoke Ball,80825553,,Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Cloudian - Smoke Ball,80825553,,Unlimited,Unlimited,2023-04-07 20:07:28,"('Type',)",New
Cloudian - Storm Dragon,13474291,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Cloudian - Storm Dragon,13474291,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Cloudian Squall,90135989,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Cloudian Squall,90135989,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Confiras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Confiras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Counter Cleaner,38834303,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Counter Cleaner,38834303,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-30 16:12:48,,New
Diamond-Dust Cyclone,19980975,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Diamond-Dust Cyclone,19980975,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Evolzar Solda,18511599,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-05-23 00:29:52,,Old
Evolzar Solda,18511599,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 15:32:16,"('Any',)",New
Flash of the Forbidden Spell,39956951,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Flash of the Forbidden Spell,39956951,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Fog Control,63741331,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Fog Control,63741331,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Gagagigo,49003308,,Unlimited,Unlimited,2023-05-19 21:00:48,,Old
Gagagigo,49003308,,Unlimited,Unlimited,2023-05-19 21:00:48,"('Type',)",New
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Helios Trice Megistus,17286057,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Helios Trice Megistus,17286057,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Heraldry Change,17536995,"('Activation condition', 'Effect')",Unlimited,Unlimited,2023-03-18 23:34:24,,Old
Heraldry Change,17536995,"('Effect',)",Unlimited,Unlimited,2023-06-03 16:04:16,,New
Human-Wave Tactics,30353551,"('Quick-like Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Human-Wave Tactics,30353551,"('Quick-like Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
"Nouvelles Restaurant ""At Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
"Nouvelles Restaurant ""At Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Number 1: Infection Buzz King,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-06-04 12:03:12,,New
Obsidian Dragon,90464188,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Obsidian Dragon,90464188,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Petiteranodon,82946847,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-23 00:27:44,,Old
Petiteranodon,82946847,"('Trigger Effect',)",Unlimited,Unlimited,2023-06-01 15:32:16,"('Any',)",New
Pharaonic Protector,89959682,,Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Pharaonic Protector,89959682,,Unlimited,Unlimited,2023-06-01 13:43:28,"('Type',)",New
Photon Delta Wing,,"('Continuous Effect', 'Trigger Effect')",,Not yet released,2023-06-04 17:33:52,,New
Poeltis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Poeltis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Raging Cloudian,23639291,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Raging Cloudian,23639291,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Recette de Personnel (Staff Recipe),40551410,"('Condition', 'Quick-like Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Recette de Personnel (Staff Recipe),40551410,"('Condition', 'Quick-like Effect')",Unlimited,Unlimited,2023-06-01 12:09:36,,New
Recette de Poisson (Fish Recipe),87778106,"('Effect',)",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Recette de Poisson (Fish Recipe),87778106,"('Effect',)",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Recette de Viande (Meat Recipe),14166715,"('Effect',)",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Recette de Viande (Meat Recipe),14166715,"('Effect',)",Unlimited,Unlimited,2023-06-01 12:09:36,,New
Regretful Rebirth,79544790,"('Activation condition', 'Effect')",Unlimited,Unlimited,2023-03-20 05:24:16,"('Any',)",Old
Regretful Rebirth,79544790,"('Effect',)",Unlimited,Unlimited,2023-05-31 22:30:24,"('Any',)",New
Ring Announcer,,"('Condition', 'Effect')",,Not yet released,2023-06-04 15:49:20,,New
Rock of the Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Rock of the Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Sky Striker Ace - Camellia,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2023-05-17 00:55:28,,Old
Sky Striker Ace - Camellia,63013339,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-06-03 14:02:40,,New
Stake your Soul!,54562327,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Stake your Soul!,54562327,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Summon Cloud,55375684,"('Ignition-like Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Summon Cloud,55375684,"('Ignition-like Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Supersoaring,93918159,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Supersoaring,93918159,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Swamp Mirrorer,50277973,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Swamp Mirrorer,50277973,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Terrorking Salmon,78060096,,Unlimited,Unlimited,2023-05-18 20:11:44,,Old
Terrorking Salmon,78060096,,Unlimited,Unlimited,2023-05-18 20:11:44,"('Type',)",New
The Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",,Unlimited,2023-04-22 01:18:56,,Old
The First Sarcophagus,31076103,"('Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
The First Sarcophagus,31076103,"('Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Transcendosaurus Drillygnathus,30128445,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Transcendosaurus Drillygnathus,30128445,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Transcendosaurus Gigantozowler,67745632,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:09:36,,Old
Transcendosaurus Gigantozowler,67745632,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Transcendosaurus Glaciasaurus,94130731,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Transcendosaurus Glaciasaurus,94130731,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Transcendosaurus Meteorus,31241087,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:09:36,,Old
Transcendosaurus Meteorus,31241087,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Vanquish Soul - Continue?,27345070,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul - Continue?,27345070,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Vanquish Soul Caesar Valius,91073013,"('Condition', 'Quick Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Caesar Valius,91073013,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Calamity Caesar,80738884,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Calamity Caesar,80738884,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Dr. Mad Love,29280200,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Dr. Mad Love,29280200,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Dust Devil,91951471,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Dust Devil,91951471,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Heavy Borger,92895501,"('Condition', 'Quick Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Heavy Borger,92895501,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Pantera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Pantera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Pluton HG,55688914,"('Condition', 'Quick Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Pluton HG,55688914,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Vanquish Soul Razen,29302858,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Razen,29302858,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
Vanquish Soul Trinity Burst,53330789,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Vanquish Soul Trinity Burst,53330789,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Voici la Carte (Today's Menu),41773061,"('Condition', 'Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Voici la Carte (Today's Menu),41773061,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Xeno Meteorus,05852388,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:09:36,,Old
Xeno Meteorus,05852388,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:52,,New
