Card number,Set,Name,Rarity,Page URL,Modification date,Release,Series,Set type,Version
23TP-JP316,Tournament Pack 2023 Vol.3,,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-22 08:14:04,2023-07-01,,Booster pack,Old
23TP-JP316,Tournament Pack 2023 Vol.3,Bomb Token,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-07-01 00:14:25,2023-07-01,,Booster pack,New
309-004,Pharaoh's Inheritance: Vendor Edition,Fiend Scorpion,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Pharaoh%27s_Inheritance:_Vendor_Edition_(OCG-JP),2023-04-24 18:27:13,2004-02-26,,Vendor Edition,Old
309-005,Pharaoh's Inheritance: Vendor Edition,Pharaoh's Servant,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Pharaoh%27s_Inheritance:_Vendor_Edition_(OCG-JP),2023-04-24 18:27:13,2004-02-26,,Vendor Edition,Old
309-006,Pharaoh's Inheritance: Vendor Edition,Pharaonic Protector,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Pharaoh%27s_Inheritance:_Vendor_Edition_(OCG-JP),2023-04-24 18:27:13,2004-02-26,,Vendor Edition,Old
309-044,Pharaoh's Inheritance: Vendor Edition,The Third Sarcophagus,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Pharaoh%27s_Inheritance:_Vendor_Edition_(OCG-JP),2023-04-24 18:27:13,2004-02-26,,Vendor Edition,Old
309-045,Pharaoh's Inheritance: Vendor Edition,The Second Sarcophagus,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Pharaoh%27s_Inheritance:_Vendor_Edition_(OCG-JP),2023-04-24 18:27:13,2004-02-26,,Vendor Edition,Old
????-JP???,Legendary Dragon of White Duel Set,Legendary Dragon of White,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Dragon_of_White_Duel_Set_(OCG-JP),2023-06-26 08:37:54,2023-08-06,,Promotional card,New
????-JP???,Legendary Magician of Dark Duel Set,Legendary Magician of Dark,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Magician_of_Dark_Duel_Set_(OCG-JP),2023-06-26 08:40:32,2023-08-06,,Promotional card,New
AGOV-JP005,Age of Overlord,Veda Upanishad,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP005,Age of Overlord,Veda Upanishad,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
AGOV-JP013,Age of Overlord,"Hapy, Vanguard of Horus",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP013,Age of Overlord,"Hapy, Vanguard of Horus","('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
AGOV-JP033,Age of Overlord,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP033,Age of Overlord,"Gaia Prominence, the Kindling Seraph","('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
AGOV-JP064,Age of Overlord,Concours de Cuisine,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP064,Age of Overlord,Concours de Cuisine,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
AGOV-JP065,Age of Overlord,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP065,Age of Overlord,Angel Ring,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
AGOV-JP077,Age of Overlord,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP077,Age of Overlord,Nemleria Repette,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-02 12:21:27,2023-07-22,Core Booster,Booster pack,New
DUNE-KR000,Duelist Nexus,Magicians of Bonds and Unity,"('QCScR',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR001,Duelist Nexus,Wheel Synchron,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR002,Duelist Nexus,Revolution Synchron,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR003,Duelist Nexus,Gazelle the King of Mythical Claws,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR004,Duelist Nexus,Berfomet the Great Wings,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR005,Duelist Nexus,Cornfield Koator,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR006,Duelist Nexus,Mirror Swordsman,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR007,Duelist Nexus,King Rex the Twin-Headed Dragon,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR008,Duelist Nexus,King Rex the Dragon King,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR009,Duelist Nexus,Altergeist Malwisp,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR010,Duelist Nexus,Altergeist Perinetrator,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR011,Duelist Nexus,Mannadium Trid,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR012,Duelist Nexus,Veda Karantha,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR013,Duelist Nexus,Infernoble Knight - Ricciardetto,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR014,Duelist Nexus,Infernoble Knight - Turpin,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR015,Duelist Nexus,"Nemleria Réaliser, the Dreamaterializer Sleeping Princess","('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR016,Duelist Nexus,Nemleria's Dreameater - Réveil,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR017,Duelist Nexus,Evoltile Phoris,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR018,Duelist Nexus,Evolsaur Rios,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR019,Duelist Nexus,Unchained Soul Sharvara,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR020,Duelist Nexus,Unchained Soul Shyama,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR021,Duelist Nexus,Ultimate Knight Alpha Ursatron,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR022,Duelist Nexus,Rescue-ACE Preventer,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR023,Duelist Nexus,Thestalos the Shadow Firestorm Monarch,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR024,Duelist Nexus,Behemoth the King of All Wars,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR025,Duelist Nexus,Nightmare Magician,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR026,Duelist Nexus,Hiita the Fire Channeler,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR027,Duelist Nexus,Agnimal Candle,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR028,Duelist Nexus,Uruka the Magic Star,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR029,Duelist Nexus,Pod of Greed,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR030,Duelist Nexus,Click & Echo,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR031,Duelist Nexus,Singing Cuckoo,"('Normal Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR032,Duelist Nexus,Arahime the Manifested Mikanko,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR033,Duelist Nexus,Chimera the Phantom Beast King,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR034,Duelist Nexus,Chimera the Illusion Magical Beast,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR035,Duelist Nexus,Sleipnir the Runick Mane,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR036,Duelist Nexus,Magnum the Reliever,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR037,Duelist Nexus,Cosmic Quasar Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR', 'Holographic Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR038,Duelist Nexus,Crimson Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR039,Duelist Nexus,Visas Amritara,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR040,Duelist Nexus,"Angelica, Princess of Noble Arms","('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR041,Duelist Nexus,Ursarctic Polar Star,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR042,Duelist Nexus,"Gaia Blaze, the Force of Blazing Sun","('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR043,Duelist Nexus,Evolzar Razh,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR044,Duelist Nexus,Epurrely Noir,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR045,Duelist Nexus,Thelematech Cratis,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR046,Duelist Nexus,Grenosaurus the Magic-Head Cannon,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR047,Duelist Nexus,Altergeist Adminia,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR048,Duelist Nexus,Charlemagne,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR049,Duelist Nexus,Unchained Soul King Yama,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR050,Duelist Nexus,Synchro Over Top,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR051,Duelist Nexus,Synchro World,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR052,Duelist Nexus,Chimera Fusion,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR053,Duelist Nexus,Jurassic Power,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR054,Duelist Nexus,The Worlds as One,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR055,Duelist Nexus,Pristine Planets Amritara,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR056,Duelist Nexus,"""Infernoble Arms - Almace""","('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR057,Duelist Nexus,The Noble Arms Museum,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR058,Duelist Nexus,EMERGENCY!,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR059,Duelist Nexus,Dark Corridor,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR060,Duelist Nexus,Corrupted Gem of Rebellion - Snake Eye,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR061,Duelist Nexus,Fusion Reinforcement,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR062,Duelist Nexus,Duelist Genesis,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR063,Duelist Nexus,Transcendental Evolution Pill Beta,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR064,Duelist Nexus,Mirror Formation of the Ten Sacred Treasures,"('Super Rare', 'Secret Rare', 'QCScR')",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR065,Duelist Nexus,Egomorph,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR066,Duelist Nexus,Eternal Ice Grave,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR067,Duelist Nexus,Aqua Round,"('Normal Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR068,Duelist Nexus,Scrap-Iron Idol,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR069,Duelist Nexus,Altergeist Revitalization,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR070,Duelist Nexus,New World Formation,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR071,Duelist Nexus,New World Full of Stars,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR072,Duelist Nexus,The Epic Poem of Charles,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR073,Duelist Nexus,Nemleria Louve,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR074,Duelist Nexus,Vaylantz Wave - Master Phase,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR075,Duelist Nexus,Purrely Sharely!?,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR076,Duelist Nexus,Mikanko Spiriting Away,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR077,Duelist Nexus,Wipeout Trap Hole,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR078,Duelist Nexus,Little Opposition,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR079,Duelist Nexus,Opposing Mirrors of the Underworld,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
DUNE-KR080,Duelist Nexus,Kiriban,"('Normal Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Nexus_(OCG-KR),2023-06-28 06:56:14,2023-06-24,Core Booster,Booster pack,New
G4-01,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Yugi Deck promotional cards,Slifer the Sky Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Yugi_Deck_promotional_cards_(OCG-JP),2023-04-23 22:21:36,2000-12-07,,Video games promotional card,Old
