Card number,Name,Rarity,Print,Modification date,Release,Series,Set type,Cover card,Version
BLMR-DE004,Numbers Last Hope,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE005,Odd-Eyes Rebellion Xyz Dragon,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE006,Rokket Coder,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE007,Extox Hydra,"('Secret Rare', 'QCScR')",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE008,Tri-Edge Master,"('Secret Rare', 'QCScR')",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE009,Daidaratant the Ooze Giant,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE010,"Don't Slip, the Dogs of War","('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE011,RGB Rainbowlution,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE012,Elemental HERO Flame Wingman - Infernal Rage,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE013,Link Decoder,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE014,Courageous Crimson Chevalier Bradamante,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE015,Puppet Pawn,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE016,Puppet Rook,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE017,Promotion,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE018,Battlefield Tragedy,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE019,Black Mamba,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE020,"Urubonus, the Avatar of Malice","('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE021,Lamia,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE022,Viper's Grudge,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE023,"Ghost Lancer, the Underworld Spearman","('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE024,"Ghost Sleeper, the Underworld Princess","('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE025,"Ghost Wyvern, the Underworld Dragon","('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE026,Ghost Fusion,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE027,Xyz Bento,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE028,Performapal Odd-Eyes Butler,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE029,Performapal Odd-Eyes Valet,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE030,Performapal Barokuriboh,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE031,Performapal Classikuriboh,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE032,Arms Regeneration,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE033,Praying Mantis,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE034,Guard Mantis,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE035,Golden Rule,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE036,Duality,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE037,Shadow's Light,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE038,Protection of the Elements,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE039,Blackwing - Sharnga the Waning Moon,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE040,Rose Shaman,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE041,Final Cross,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE042,Cattycorn,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE043,Photon Jumper,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE044,Mother Spider Splitter,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE045,Baby Spider,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE046,D/D/D/D Super-Dimensional Sovereign Emperor Zero Paradox,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE047,Additional Mirror Level 7,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE048,Synchro Zone,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE049,Sage of Strength - Akash,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE050,Sage of Wisdom - Himmel,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE051,Sage of Benevolence - Ciela,"('Ultra Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE052,Sky Striker Ace - Azalea,"('Secret Rare',)",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE053,Volcanic Shell,"('Ultra Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE054,Dark Armed Dragon,"('Ultra Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE055,Aratama,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE056,SPYRAL Quik-Fix,"('Ultra Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE057,Knightmare Corruptor Iblee,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE058,Photon Vanisher,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE059,Danger! Nessie!,"('Secret Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE060,Mathmech Sigma,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE061,Ukiyoe-P.U.N.K. Sharakusai,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE062,Noh-P.U.N.K. Ze Amin,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE063,Noh-P.U.N.K. Foxy Tune,"('Secret Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE064,Noh-P.U.N.K. Ogre Dance,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE065,Water Enchantress of the Temple,"('Secret Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE066,Noh-P.U.N.K. Deer Note,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE067,Spright Carrot,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE068,Celestial Apparatus Tesea,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE069,Bystial Baldrake,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE070,Sakitama,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE071,Mysterion the Dragon Crown,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE072,Ukiyoe-P.U.N.K. Rising Carp,"('Ultra Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE073,Junk Archer,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE074,Draco Berserker of the Tenyi,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE075,Ukiyoe-P.U.N.K. Amazing Dragon,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE076,Madolche Queen Tiaramisu,"('Secret Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE077,Number 92: Heart-eartH Dragon,"('Secret Rare', 'QCScR')",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE078,Herald of Pure Light,"('Secret Rare',)",Reprint,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
