Card number,Rarity,Version
AC01-JP009,"('Super Rare', ""Collector's Rare"")",Old
AC01-JP009,"('Super Rare', 'Collector""s Rare')",New
AC01-JP012,"('Ultra Rare', 'Collector""s Rare')",New
AC01-JP012,"('Ultra Rare', ""Collector's Rare"")",Old
AC01-JP020,"('Super Rare', ""Collector's Rare"")",Old
AC01-JP020,"('Super Rare', 'Collector""s Rare')",New
AC01-JP021,"('Ultra Rare', ""Collector's Rare"")",Old
AC01-JP021,"('Ultra Rare', 'Collector""s Rare')",New
AC01-JP023,"('Super Rare', ""Collector's Rare"")",Old
AC01-JP023,"('Super Rare', 'Collector""s Rare')",New
AC01-JP027,"('Ultra Rare', 'Collector""s Rare')",New
AC01-JP027,"('Ultra Rare', ""Collector's Rare"")",Old
AC01-JP030,"('Super Rare', 'Collector""s Rare')",New
AC01-JP030,"('Super Rare', ""Collector's Rare"")",Old
AC01-JP034,"('Ultra Rare', 'Collector""s Rare')",New
AC01-JP034,"('Ultra Rare', ""Collector's Rare"")",Old
AC01-JP035,"('Super Rare', 'Collector""s Rare')",New
AC01-JP035,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP001,"('Ultra Rare', ""Collector's Rare"")",Old
AC02-JP001,"('Ultra Rare', 'Collector""s Rare')",New
AC02-JP007,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP007,"('Super Rare', 'Collector""s Rare')",New
AC02-JP010,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP010,"('Super Rare', 'Collector""s Rare')",New
AC02-JP016,"('Ultra Rare', ""Collector's Rare"")",Old
AC02-JP016,"('Ultra Rare', 'Collector""s Rare')",New
AC02-JP018,"('Ultra Rare', 'Collector""s Rare')",New
AC02-JP018,"('Ultra Rare', ""Collector's Rare"")",Old
AC02-JP021,"('Super Rare', 'Collector""s Rare')",New
AC02-JP021,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP026,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP026,"('Super Rare', 'Collector""s Rare')",New
AC02-JP029,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP029,"('Super Rare', 'Collector""s Rare')",New
AC02-JP033,"('Ultra Rare', ""Collector's Rare"")",Old
AC02-JP033,"('Ultra Rare', 'Collector""s Rare')",New
AC02-JP037,"('Super Rare', ""Collector's Rare"")",Old
AC02-JP037,"('Super Rare', 'Collector""s Rare')",New
AC02-JP044,"('Ultra Rare', 'Collector""s Rare')",New
AC02-JP044,"('Ultra Rare', ""Collector's Rare"")",Old
AC02-JP045,"('Super Rare', 'Collector""s Rare')",New
AC02-JP045,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-DE004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-DE007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-DE007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-DE013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-DE013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-DE017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE017,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE018,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-DE020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-DE022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-DE022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-DE025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE025,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE026,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE033,"('Rare', 'Collector""s Rare')",New
AMDE-DE033,"('Rare', ""Collector's Rare"")",Old
AMDE-DE038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE038,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-DE040,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE046,"('Rare', 'Collector""s Rare')",New
AMDE-DE046,"('Rare', ""Collector's Rare"")",Old
AMDE-DE048,"('Rare', 'Collector""s Rare')",New
AMDE-DE048,"('Rare', ""Collector's Rare"")",Old
AMDE-DE052,"('Super Rare', 'Collector""s Rare')",New
AMDE-DE052,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-EN004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-EN007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-EN007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-EN013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-EN013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-EN017,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN018,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-EN020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-EN022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-EN022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-EN025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN025,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN026,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN033,"('Rare', ""Collector's Rare"")",Old
AMDE-EN033,"('Rare', 'Collector""s Rare')",New
AMDE-EN038,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN040,"('Super Rare', 'Collector""s Rare')",New
AMDE-EN046,"('Rare', ""Collector's Rare"")",Old
AMDE-EN046,"('Rare', 'Collector""s Rare')",New
AMDE-EN048,"('Rare', 'Collector""s Rare')",New
AMDE-EN048,"('Rare', ""Collector's Rare"")",Old
AMDE-EN052,"('Super Rare', ""Collector's Rare"")",Old
AMDE-EN052,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-FR004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-FR007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-FR007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-FR013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-FR013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-FR017,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR018,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-FR020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-FR022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-FR022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-FR025,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR026,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR033,"('Rare', ""Collector's Rare"")",Old
AMDE-FR033,"('Rare', 'Collector""s Rare')",New
AMDE-FR038,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-FR040,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR046,"('Rare', 'Collector""s Rare')",New
AMDE-FR046,"('Rare', ""Collector's Rare"")",Old
AMDE-FR048,"('Rare', 'Collector""s Rare')",New
AMDE-FR048,"('Rare', ""Collector's Rare"")",Old
AMDE-FR052,"('Super Rare', 'Collector""s Rare')",New
AMDE-FR052,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-IT004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-IT007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-IT007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-IT013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-IT013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-IT017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT017,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT018,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-IT020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-IT022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-IT022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-IT025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT025,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT026,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT033,"('Rare', 'Collector""s Rare')",New
AMDE-IT033,"('Rare', ""Collector's Rare"")",Old
AMDE-IT038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT038,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT040,"('Super Rare', 'Collector""s Rare')",New
AMDE-IT040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT046,"('Rare', 'Collector""s Rare')",New
AMDE-IT046,"('Rare', ""Collector's Rare"")",Old
AMDE-IT048,"('Rare', ""Collector's Rare"")",Old
AMDE-IT048,"('Rare', 'Collector""s Rare')",New
AMDE-IT052,"('Super Rare', ""Collector's Rare"")",Old
AMDE-IT052,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-PT004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-PT007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-PT007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-PT013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-PT013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-PT017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT017,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT018,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-PT020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-PT022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-PT022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-PT025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT025,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT026,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT033,"('Rare', ""Collector's Rare"")",Old
AMDE-PT033,"('Rare', 'Collector""s Rare')",New
AMDE-PT038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT038,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-PT040,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT046,"('Rare', 'Collector""s Rare')",New
AMDE-PT046,"('Rare', ""Collector's Rare"")",Old
AMDE-PT048,"('Rare', 'Collector""s Rare')",New
AMDE-PT048,"('Rare', ""Collector's Rare"")",Old
AMDE-PT052,"('Super Rare', 'Collector""s Rare')",New
AMDE-PT052,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP004,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-SP004,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-SP007,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-SP007,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-SP013,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-SP013,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-SP017,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP017,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP018,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP018,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP020,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-SP020,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-SP022,"('Ultra Rare', ""Collector's Rare"")",Old
AMDE-SP022,"('Ultra Rare', 'Collector""s Rare')",New
AMDE-SP025,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP025,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP026,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP026,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP033,"('Rare', 'Collector""s Rare')",New
AMDE-SP033,"('Rare', ""Collector's Rare"")",Old
AMDE-SP038,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP038,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP040,"('Super Rare', ""Collector's Rare"")",Old
AMDE-SP040,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP046,"('Rare', ""Collector's Rare"")",Old
AMDE-SP046,"('Rare', 'Collector""s Rare')",New
AMDE-SP048,"('Rare', ""Collector's Rare"")",Old
AMDE-SP048,"('Rare', 'Collector""s Rare')",New
AMDE-SP052,"('Super Rare', 'Collector""s Rare')",New
AMDE-SP052,"('Super Rare', ""Collector's Rare"")",Old
ANGU-DE007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE018,"('Super Rare', 'Collector""s Rare')",New
ANGU-DE018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-DE020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE034,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE034,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE035,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-DE035,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-DE041,"('Rare', ""Collector's Rare"")",Old
ANGU-DE041,"('Rare', 'Collector""s Rare')",New
ANGU-DE043,"('Rare', ""Collector's Rare"")",Old
ANGU-DE043,"('Rare', 'Collector""s Rare')",New
ANGU-DE046,"('Rare', 'Collector""s Rare')",New
ANGU-DE046,"('Rare', ""Collector's Rare"")",Old
ANGU-DE051,"('Rare', ""Collector's Rare"")",Old
ANGU-DE051,"('Rare', 'Collector""s Rare')",New
ANGU-DE052,"('Rare', 'Collector""s Rare')",New
ANGU-DE052,"('Rare', ""Collector's Rare"")",Old
ANGU-EN007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN018,"('Super Rare', 'Collector""s Rare')",New
ANGU-EN018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-EN020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN034,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN034,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN035,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-EN035,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-EN041,"('Rare', ""Collector's Rare"")",Old
ANGU-EN041,"('Rare', 'Collector""s Rare')",New
ANGU-EN043,"('Rare', ""Collector's Rare"")",Old
ANGU-EN043,"('Rare', 'Collector""s Rare')",New
ANGU-EN046,"('Rare', 'Collector""s Rare')",New
ANGU-EN046,"('Rare', ""Collector's Rare"")",Old
ANGU-EN051,"('Rare', 'Collector""s Rare')",New
ANGU-EN051,"('Rare', ""Collector's Rare"")",Old
ANGU-EN052,"('Rare', ""Collector's Rare"")",Old
ANGU-EN052,"('Rare', 'Collector""s Rare')",New
ANGU-FR007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-FR018,"('Super Rare', 'Collector""s Rare')",New
ANGU-FR020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR034,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR034,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR035,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-FR035,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-FR041,"('Rare', ""Collector's Rare"")",Old
ANGU-FR041,"('Rare', 'Collector""s Rare')",New
ANGU-FR043,"('Rare', 'Collector""s Rare')",New
ANGU-FR043,"('Rare', ""Collector's Rare"")",Old
ANGU-FR046,"('Rare', 'Collector""s Rare')",New
ANGU-FR046,"('Rare', ""Collector's Rare"")",Old
ANGU-FR051,"('Rare', ""Collector's Rare"")",Old
ANGU-FR051,"('Rare', 'Collector""s Rare')",New
ANGU-FR052,"('Rare', ""Collector's Rare"")",Old
ANGU-FR052,"('Rare', 'Collector""s Rare')",New
ANGU-IT007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-IT018,"('Super Rare', 'Collector""s Rare')",New
ANGU-IT020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT034,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT034,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT035,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-IT035,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-IT041,"('Rare', ""Collector's Rare"")",Old
ANGU-IT041,"('Rare', 'Collector""s Rare')",New
ANGU-IT043,"('Rare', 'Collector""s Rare')",New
ANGU-IT043,"('Rare', ""Collector's Rare"")",Old
ANGU-IT046,"('Rare', 'Collector""s Rare')",New
ANGU-IT046,"('Rare', ""Collector's Rare"")",Old
ANGU-IT051,"('Rare', 'Collector""s Rare')",New
ANGU-IT051,"('Rare', ""Collector's Rare"")",Old
ANGU-IT052,"('Rare', 'Collector""s Rare')",New
ANGU-IT052,"('Rare', ""Collector's Rare"")",Old
ANGU-PT007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT018,"('Super Rare', 'Collector""s Rare')",New
ANGU-PT018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-PT020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT034,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT034,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT035,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-PT035,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-PT041,"('Rare', 'Collector""s Rare')",New
ANGU-PT041,"('Rare', ""Collector's Rare"")",Old
ANGU-PT043,"('Rare', 'Collector""s Rare')",New
ANGU-PT043,"('Rare', ""Collector's Rare"")",Old
ANGU-PT046,"('Rare', 'Collector""s Rare')",New
ANGU-PT046,"('Rare', ""Collector's Rare"")",Old
ANGU-PT051,"('Rare', 'Collector""s Rare')",New
ANGU-PT051,"('Rare', ""Collector's Rare"")",Old
ANGU-PT052,"('Rare', 'Collector""s Rare')",New
ANGU-PT052,"('Rare', ""Collector's Rare"")",Old
ANGU-SP007,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP007,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP008,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP008,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP009,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP009,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP017,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP017,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP018,"('Super Rare', ""Collector's Rare"")",Old
ANGU-SP018,"('Super Rare', 'Collector""s Rare')",New
ANGU-SP020,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP020,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP021,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP021,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP033,"('Ultra Rare', 'Collector""s Rare')",New
ANGU-SP033,"('Ultra Rare', ""Collector's Rare"")",Old
ANGU-SP034,"('Ultra Rare', 'Collector""s Rare')",New
