Name,Card type,Monster type,DEF,Set,Card number,Ability,Rule,ATK,Level,Page URL
Crawling Dragon #2,Monster Card,Dinosaur,1800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,67,,1,2000,5,https://yugipedia.com/wiki/Crawling_Dragon_2_(Bandai)
Curse of Dragon,Monster Card,Dragon,600,Yu-Gi-Oh! Bandai OCG: 1st Generation,12,,3,2000,4,https://yugipedia.com/wiki/Curse_of_Dragon_(Bandai)
Cyber Shield,Equip Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,52,,,,,https://yugipedia.com/wiki/Cyber_Shield_(Bandai)
Dark Energy,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,95,,,,,https://yugipedia.com/wiki/Dark_Energy_(Bandai)
Dark Magician,Monster Card,Black Magic,2000,Yu-Gi-Oh! Bandai OCG: 1st Generation,14,,5,2500,7,https://yugipedia.com/wiki/Dark_Magician_(Bandai)
Dark Zora,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 3rd Generation,108,,1,1500,5,https://yugipedia.com/wiki/Dark_Zora
Dragon Capture Jar,Monster Card,Illusion Magic (Type),200,Yu-Gi-Oh! Bandai OCG: 1st Generation,25,,,100,2,https://yugipedia.com/wiki/Dragon_Capture_Jar_(Bandai)
Dragon Piper,Monster Card,Illusion Magic (Type),400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,84,,,200,2,https://yugipedia.com/wiki/Dragon_Piper_(Bandai)
Dragon Zombie,Monster Card,Fiend,400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,65,,12,2400,5,https://yugipedia.com/wiki/Dragon_Zombie_(Bandai)
Dragonic Pulse of the Land,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,112,,,,,https://yugipedia.com/wiki/Dragonic_Pulse_of_the_Land
Elegant Egotist,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,53,,,,,https://yugipedia.com/wiki/Elegant_Egotist_(Bandai)
Exodia the Forbidden One,Monster Card,,1000,Yu-Gi-Oh! Bandai OCG: 1st Generation,38,,,1000,8,https://yugipedia.com/wiki/Exodia_the_Forbidden_One_(Bandai)
Feral Imp,Monster Card,Fiend,1400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,68,,2,2000,5,https://yugipedia.com/wiki/Feral_Imp_(Bandai)
Fiend Kraken,Monster Card,Sea Beast,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,71,,5,1500,5,https://yugipedia.com/wiki/Fiend_Kraken_(Bandai)
Flame Swordsman,Monster Card,Warrior,600,Yu-Gi-Oh! Bandai OCG: 1st Generation,36,,8,2500,5,https://yugipedia.com/wiki/Flame_Swordsman_(Bandai)
Gaia The Fierce Knight,Monster Card,Black Magic,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,11,,2,2300,6,https://yugipedia.com/wiki/Gaia_The_Fierce_Knight_(Bandai)
Gaia the Dragon Champion,Monster Card,Dragon Magic,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,13,,4,2600,7,https://yugipedia.com/wiki/Gaia_the_Dragon_Champion_(Bandai)
Garoozis,Monster Card,Beast-Warrior,1600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,63,,10,2000,5,https://yugipedia.com/wiki/Garoozis_(Bandai)
Gate Guardian,Monster Card,Black Magic,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,https://yugipedia.com/wiki/Gate_Guardian_(Bandai)
Giant Soldier of Stone,Monster Card,Warrior,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,59,,6,1200,6,https://yugipedia.com/wiki/Giant_Soldier_of_Stone_(Bandai)
Golden Pegasus,Monster Card,White Magic,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,96,,6,1500,6,https://yugipedia.com/wiki/Golden_Pegasus
Gorgon,Monster Card,Black Magic,3500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,101,,,2000,6,https://yugipedia.com/wiki/Gorgon
Great Moth,Monster Card,Insect,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,33,,5,2600,7,https://yugipedia.com/wiki/Great_Moth_(Bandai)
Gyakutenno Megami,Monster Card,White Magic,2300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,55,,3,1900,6,https://yugipedia.com/wiki/Gyakutenno_Megami_(Bandai)
Harpie Lady 1,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 1st Generation,18,,9,1800,4,https://yugipedia.com/wiki/Harpie_Lady_1_(Bandai)
Harpie Lady 2,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 2nd Generation,77,,,1800,4,https://yugipedia.com/wiki/Harpie_Lady_2_(Bandai)
Harpie Lady 3,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 2nd Generation,78,,,1800,4,https://yugipedia.com/wiki/Harpie_Lady_3_(Bandai)
Hercules Beetle,Monster Card,Insect,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,69,,3,800,5,https://yugipedia.com/wiki/Hercules_Beetle_(Bandai)
Hitotsu-Me Giant,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,93,,4,2300,6,https://yugipedia.com/wiki/Hitotsu-Me_Giant_(Bandai)
Horn Imp,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,86,,3,1400,5,https://yugipedia.com/wiki/Horn_Imp_(Bandai)
Horn of the Unicorn,Equip Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,51,,,,,https://yugipedia.com/wiki/Horn_of_the_Unicorn_(Bandai)
Jellyfish,Monster Card,Sea Beast,2300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,72,,,400,5,https://yugipedia.com/wiki/Jellyfish_(Bandai)
Joey Wheeler,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,3,Willpower,3,,5,https://yugipedia.com/wiki/Joey_Wheeler_(Bandai)
Judge Man,Monster Card,White Magic,2600,Yu-Gi-Oh! Bandai OCG: 1st Generation,26,,7,1800,7,https://yugipedia.com/wiki/Judge_Man_(Bandai)
Kairyu-Shin,Monster Card,Sea Serpent,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,57,,4,2200,6,https://yugipedia.com/wiki/Kairyu-Shin_(Bandai)
Kazejin,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,45,,,2400,6,https://yugipedia.com/wiki/Kazejin_(Bandai)
Killer Needle,Monster Card,Insect,1000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,82,,13,1300,4,https://yugipedia.com/wiki/Killer_Needle_(Bandai)
King Beetle,Monster Card,Insect,2200,Yu-Gi-Oh! Bandai OCG: 3rd Generation,102,,8,1200,5,https://yugipedia.com/wiki/King_Beetle
King Rex,Monster Card,Dinosaur,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,97,,7,2300,6,https://yugipedia.com/wiki/King_Rex
King of Yamimakai,Monster Card,Fiend,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,37,,9,2600,7,https://yugipedia.com/wiki/King_of_Yamimakai_(Bandai)
Kojikocy,Monster Card,Warrior,1300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,70,,4,2100,5,https://yugipedia.com/wiki/Kojikocy_(Bandai)
Koumori Dragon,Monster Card,Dragon,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,107,,13,2000,5,https://yugipedia.com/wiki/Koumori_Dragon_(Bandai)
Kunai with Chain,Trap Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,50,,,,,https://yugipedia.com/wiki/Kunai_with_Chain_(Bandai)
Labyrinth Tank,Monster Card,Fiend,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,43,,1,2400,7,https://yugipedia.com/wiki/Labyrinth_Tank_(Bandai)
Larvae Moth,Monster Card,Insect,400,Yu-Gi-Oh! Bandai OCG: 1st Generation,32,,4,600,1,https://yugipedia.com/wiki/Larvae_Moth_(Bandai)
Left Arm of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,42,,,200,1,https://yugipedia.com/wiki/Left_Arm_of_the_Forbidden_One_(Bandai)
Left Leg of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,41,,,200,1,https://yugipedia.com/wiki/Left_Leg_of_the_Forbidden_One_(Bandai)
Magical Hats,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,109,,,,,https://yugipedia.com/wiki/Magical_Hats_(Bandai)
Mammoth Graveyard,Monster Card,Fiend,1300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,75,,8,2200,5,https://yugipedia.com/wiki/Mammoth_Graveyard_(Bandai)
Megamorph,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,91,,,,,https://yugipedia.com/wiki/Megamorph_(Bandai)
Megazowler,Monster Card,Dinosaur,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,19,,1,1800,6,https://yugipedia.com/wiki/Megazowler_(Bandai)
Melody,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,7,At My Own Pace,7,,4,https://yugipedia.com/wiki/Melody_(Bandai)
Metal Guardian,Monster Card,Warrior,2800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,58,,6,1500,6,https://yugipedia.com/wiki/Metal_Guardian_(Bandai)
Meteor Black Dragon,Monster Card,Dragon,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,113,,,3500,8,https://yugipedia.com/wiki/Meteor_Black_Dragon_(Bandai)
Meteor Dragon,Monster Card,Dragon,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,111,,2,1800,5,https://yugipedia.com/wiki/Meteor_Dragon_(Bandai)
Mirror Force,Trap Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,https://yugipedia.com/wiki/Mirror_Force_(Bandai)
Monster Reborn,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,88,,,,,https://yugipedia.com/wiki/Monster_Reborn_(Bandai)
Mushroom Man,Monster Card,Fiend,600,Yu-Gi-Oh! Bandai OCG: 3rd Generation,92,,3,800,3,https://yugipedia.com/wiki/Mushroom_Man_(Bandai)
Mystical Elf,Monster Card,White Magic,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,35,,7,800,5,https://yugipedia.com/wiki/Mystical_Elf_(Bandai)
Neon Knight,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,105,,11,2000,5,https://yugipedia.com/wiki/Neon_Knight
Night Soldier,Monster Card,Black Magic,500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,104,,10,2400,5,https://yugipedia.com/wiki/Night_Soldier
Polymerization,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,48,,,,,https://yugipedia.com/wiki/Polymerization_(Bandai)
Pumpking the King of Ghosts,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,54,,2,2300,6,https://yugipedia.com/wiki/Pumpking_the_King_of_Ghosts_(Bandai)
Red Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,99,,,1500,4,https://yugipedia.com/wiki/Red_Hecate
Red-Eyes Black Dragon,Monster Card,Dragon,2400,Yu-Gi-Oh! Bandai OCG: 1st Generation,10,,1,2400,7,https://yugipedia.com/wiki/Red-Eyes_Black_Dragon_(Bandai)
Right Arm of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 1st Generation,40,,,200,1,https://yugipedia.com/wiki/Right_Arm_of_the_Forbidden_One_(Bandai)
Right Leg of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 1st Generation,39,,,200,1,https://yugipedia.com/wiki/Right_Leg_of_the_Forbidden_One_(Bandai)
Rock-Gun,Monster Card,Warrior,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,103,,9,1500,5,https://yugipedia.com/wiki/Rock-Gun
Rogue Doll,Monster Card,White Magic,2400,Yu-Gi-Oh! Bandai OCG: 1st Generation,31,,3,900,5,https://yugipedia.com/wiki/Rogue_Doll_(Bandai)
Ryu-Kishin,Monster Card,Fiend,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,89,,1,1800,5,https://yugipedia.com/wiki/Ryu-Kishin_(Bandai)
Saggi the Dark Clown,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 1st Generation,30,,2,600,4,https://yugipedia.com/wiki/Saggi_the_Dark_Clown_(Bandai)
Sanga of the Thunder,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,44,,,2600,6,https://yugipedia.com/wiki/Sanga_of_the_Thunder_(Bandai)
Seto Kaiba,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,4,Expert,4,,7,https://yugipedia.com/wiki/Seto_Kaiba_(Bandai)
Shadi,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,8,Millennium Key,8,,6,https://yugipedia.com/wiki/Shadi_(Bandai)
Shadow Ghoul,Monster Card,Fiend,1400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,64,,11,2000,5,https://yugipedia.com/wiki/Shadow_Ghoul_(Bandai)
Silver Fang,Monster Card,Beast,700,Yu-Gi-Oh! Bandai OCG: 1st Generation,29,,1,2300,5,https://yugipedia.com/wiki/Silver_Fang_(Bandai)
Skull Servant,Monster Card,Fiend,300,Yu-Gi-Oh! Bandai OCG: 3rd Generation,90,,2,500,2,https://yugipedia.com/wiki/Skull_Servant_(Bandai)
Spellbinding Circle,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,110,,,,,https://yugipedia.com/wiki/Spellbinding_Circle_(Bandai)
Suijin,Monster Card,Black Magic,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,46,,,2500,6,https://yugipedia.com/wiki/Suijin_(Bandai)
Summoned Skull,Monster Card,Fiend,1800,Yu-Gi-Oh! Bandai OCG: 1st Generation,21,,3,2500,7,https://yugipedia.com/wiki/Summoned_Skull_(Bandai)
Swamp Battleguard,Monster Card,Warrior,900,Yu-Gi-Oh! Bandai OCG: 2nd Generation,62,,9,2300,6,https://yugipedia.com/wiki/Swamp_Battleguard_(Bandai)
Sword Arm of Dragon,Monster Card,Dinosaur,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,66,,13,1000,5,https://yugipedia.com/wiki/Sword_Arm_of_Dragon_(Bandai)
Swords of Revealing Light,Spell Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,https://yugipedia.com/wiki/Swords_of_Revealing_Light_(Bandai)
Thousand Dragon,Monster Card,Dragon,1900,Yu-Gi-Oh! Bandai OCG: 1st Generation,15,,6,2100,6,https://yugipedia.com/wiki/Thousand_Dragon_(Bandai)
Tiger Axe,Monster Card,Warrior,1900,Yu-Gi-Oh! Bandai OCG: 2nd Generation,85,,2,2000,5,https://yugipedia.com/wiki/Tiger_Axe_(Bandai)
Time Wizard,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,47,,,,,https://yugipedia.com/wiki/Time_Wizard_(Bandai)
Torike,Monster Card,Beast,600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,81,,12,1600,4,https://yugipedia.com/wiki/Torike_(Bandai)
Tristan Taylor,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,5,Beginner,5,,,https://yugipedia.com/wiki/Tristan_Taylor_(Bandai)
Two-Headed King Rex,Monster Card,Dinosaur,800,Yu-Gi-Oh! Bandai OCG: 1st Generation,20,,2,2500,5,https://yugipedia.com/wiki/Two-Headed_King_Rex_(Bandai)
Téa Gardner,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,6,Kindness,6,,4,https://yugipedia.com/wiki/T%C3%A9a_Gardner_(Bandai)
Violet Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,100,,,1500,4,https://yugipedia.com/wiki/Violet_Hecate
Wattkid,Monster Card,Thunder,800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,87,,4,1500,3,https://yugipedia.com/wiki/Wattkid_(Bandai)
Wicked Chain,Spell Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,https://yugipedia.com/wiki/Wicked_Chain
The Wicked Worm Beast,Monster Card,Fiend,600,Yu-Gi-Oh! Bandai OCG: 3rd Generation,94,,5,2400,5,https://yugipedia.com/wiki/The_Wicked_Worm_Beast_(Bandai)
"Winged Dragon, Guardian of the Fortress #1",Monster Card,Dragon,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,23,,5,1700,4,"https://yugipedia.com/wiki/Winged_Dragon,_Guardian_of_the_Fortress_1_(Bandai)"
Yellow Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,98,,,1500,4,https://yugipedia.com/wiki/Yellow_Hecate
Yugi Muto,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,1,Look Ahead,1,,6,https://yugipedia.com/wiki/Yugi_Muto_(Bandai)
Yugi Muto,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,2,Shadow Game,2,,8,https://yugipedia.com/wiki/Yugi_Muto_(Yami_Bandai)
