Card number,Name,Rarity,Print,Region,Modification date,Release,Series,Set type,Version
AC01-KR021,Ecole de Zone,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR022,Soul Binding Gate,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR023,Piri Reis Map,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR024,Ice Mirror,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR025,ZW - Sylphid Wing,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR026,ZS - Ouroboros Sage,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR027,Ultimate Leo Utopia Ray,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR028,Zexal Catapult,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR029,Silent Sea Nettle,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR030,Number 4: Stealth Kragen,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR031,Stealth Kragen Spawn,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR032,Numeron Storm,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR033,Doll House,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR034,Starving Venemy Dragon,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR035,Speedroid Scratch,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR036,Lyrilusc - Bird Strike,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR037,Toy Parade,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR038,Cipher Biplane,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR039,Cipher Interference,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR040,Double Exposure,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR041,FA.I.ghting Spirit,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR042,A.I.'s Show,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR043,Appliancer Propelion,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR044,Appliancer Conversion,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR045,The Great Emperor Penguin,"('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR046,Box of Friends,"('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR047,"Isolde, Two Tales of the Noble Knights","('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR048,Linguriboh,"('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR049,Number 34: Terror-Byte,"('Ultra Rare',)",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC02-KR000,Blue-Eyes White Dragon,"('Prismatic Secret Rare',)",Reprint,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR001,Royal Straight Slasher,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR002,Royal Straight,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR003,Dragon Nails,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR004,Thunder Ball,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR005,Dice Dungeon,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR006,Dimension Dice,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR007,Clockwork Night,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR008,EN Shuffle,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR009,Battle of Sleeping Spirits,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR010,Advanced Crystal Beast Ruby Carbuncle,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR011,Advanced Crystal Beast Amethyst Cat,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR012,Advanced Crystal Beast Emerald Tortoise,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR013,Advanced Crystal Beast Topaz Tiger,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR014,Advanced Crystal Beast Amber Mammoth,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR015,Advanced Crystal Beast Cobalt Eagle,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR016,Advanced Crystal Beast Sapphire Pegasus,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR017,Dyna Base,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR018,Dyna Tank,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR019,Gadget Box,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR020,Morphtronic Impact Return,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR021,Tool Box,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR022,Crystal Skull,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR023,Curse Reflection Doll,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR024,Stonehenge,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR025,Dream Shark,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR026,Heroic Call,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR027,Oily Cicada,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR028,Dream Cicada,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR029,Number 2: Ninja Shadow Mosquito,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR030,Ninjitsu Art of Mosquito Marching,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR031,Performapal Odd-Eyes Seer,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR032,Doodle Beast - Stego,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR033,Doodle Beast - Tyranno,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR034,Doodlebook - Uh uh uh!,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR035,Todoroki the Earthbolt Star,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR036,Senko the Skybolt Star,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR037,Raijin the Breakbolt Star,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR038,Amazoness Hall,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR039,Amazoness Hot Spring,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR040,G Golem Rock Hammer,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR041,G Golem Pebble Dog,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR042,G Golem Crystal Heart,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR043,G Golem Stubborn Menhir,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR044,G Golem Invalid Dolmen,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR045,G Golem Dignified Trilithon,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR046,Gravity Balance,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR047,Ultimate Conductor Tyranno,"('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR048,Link Apple,"('Common', 'Normal Parallel Rare')",Reprint,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AC02-KR049,Neo-Spacian Aqua Dolphin,"('Ultra Rare',)",Reprint,KR,2023-07-30 13:10:52,2022-09-14,Animation Chronicle,Booster pack,New
AE12-KR019,Linklebell,"('Common',)",,KR,2023-04-28 15:44:31,2018-05-12,,Booster pack,Old
AE12-KR019,Linkerbell,"('Common',)",,KR,2023-07-31 09:31:55,2018-05-12,,Booster pack,New
CP20-KR000,Number 39: Utopia,"('Prismatic Secret Rare',)",Reprint,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR001,Dark Spell Regeneration,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR002,Powered Crawler,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR003,Intruder Alarm - Yellow Alert,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR004,Penguin Torpedo,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR005,Weathering Soldier,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR006,Fossil Warrior Skull King,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR007,Fossil Warrior Skull Knight,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR008,Fossil Warrior Skull Bone,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR009,Fossil Dragon Skullgios,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR010,Fossil Dragon Skullgar,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR011,Fossil Fusion,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR012,Time Stream,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR013,Specimen Inspection,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR014,Miracle Rupture,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR015,Psychic Wave,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR016,Armored White Bear,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR017,Afterglow,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR018,High Rate Draw,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR019,Malefic Paradigm Dragon,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR020,Numeron Wall,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR021,Number C1: Numeron Chaos Gate Sunya,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR022,Number 1: Numeron Gate Ekam,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR023,Number 2: Numeron Gate Dve,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR024,Number 3: Numeron Gate Trini,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR025,Number 4: Numeron Gate Catvari,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR026,Numeron Network,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR027,Numeron Calling,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR028,Number 3: Cicada King,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR029,Flower Cardian Cherry Blossom,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR030,Super All In!,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR031,Glacial Beast Blizzard Wolf,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR032,Glacial Beast Polar Penguin,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR033,Glacial Beast Iceberg Narwhal,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR034,Fire Flint Lady,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR035,Appliancer Socketroll,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR036,Appliancer Breakerbuncle,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR037,Appliancer Copybokkle,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR038,Appliancer Celtopus,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR039,Appliancer Kappa Scale,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR040,Appliancer Vacculephant,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR041,Appliancer Laundry Dragon,"('Rare',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR042,Appliancer Dryer Drake,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR043,Appliancer Reuse,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR044,Appliancer Test,"('Common',)",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
CP20-KR045,Appliancer Electrilyrical World,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:07:44,2020-09-09,Collectors Pack,Booster pack,New
DBAG-KR001,"Nunu, the Ogdoadic Remnant","('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR002,"Nauya, the Ogdoadic Remnant","('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR003,"Flogos, the Ogdoadic Boundless","('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR004,"Zohah, the Ogdoadic Boundless","('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR005,"Keurse, the Ogdoadic Light","('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR006,"Aleirtt, the Ogdoadic Dark","('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR007,"Aron, the Ogdoadic King","('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR008,"Amunessia, the Ogdoadic Queen","('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR009,"Ogdoabyss, the Ogdoadic Overlord","('Ultra Rare', 'Secret Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR010,Ogdoadic Water Lily,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR011,Ogdoadic Origin,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR012,Ogdoadic Hollow,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR013,Ogdoadic Calling,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR014,DoSolfachord Cutia,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR015,ReSolfachord Dreamia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR016,MiSolfachord Eliteia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR017,FaSolfachord Fancia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR018,SolSolfachord Gracia,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR019,LaSolfachord Angelia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR020,TiSolfachord Beautia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR021,DoSolfachord Coolia,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR022,Solfachord Elegance,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR023,Solfachord Scale,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR024,Solfachord Harmonia,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR025,Solfachord Musica,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR026,Solfachord Formal,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR027,Ursarctic Mikpolar,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR028,Ursarctic Miktanus,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR029,Ursarctic Mikbilis,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR030,Ursarctic Megapolar,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR031,Ursarctic Megatanus,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR032,Ursarctic Megabilis,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR033,Ursarctic Polari,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR034,Ursarctic Septentrion,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
DBAG-KR035,Ursarctic Grand Chariot,"('Super Rare',)",New,KR,2023-07-25 07:45:22,2021-06-04,,Booster pack,New
