Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Odd-Eyes Rebellion Xyz Dragon,30095833,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:28:13,,Old
Odd-Eyes Rebellion Xyz Dragon,30095833,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:58:06,,New
One-Eyed Shield Dragon,33064647,,Unlimited,Unlimited,2023-05-14 13:13:15,"('Name',)",Old
One-Eyed Shield Dragon,33064647,,Unlimited,Unlimited,2023-05-14 13:13:15,"('Name', 'Type')",New
Over Future Fusion,,,,Not yet released,2023-06-07 12:12:29,,Old
Over Future Fusion,33099732,"('Condition', 'Ignition-like Effect')",,Unlimited,2023-06-24 16:02:12,,New
Performapal Barokuriboh,19050066,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:58:16,,Old
Performapal Barokuriboh,19050066,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:55:29,,New
Performapal Classikuriboh,55554175,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:43:30,,Old
Performapal Classikuriboh,55554175,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:55:14,,New
Performapal Odd-Eyes Butler,56677752,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:46:03,,Old
Performapal Odd-Eyes Butler,56677752,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:55:38,,New
Performapal Odd-Eyes Valet,82661461,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:51:54,,Old
Performapal Odd-Eyes Valet,82661461,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:55:34,,New
Photon Jumper,97639441,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:12:51,,Old
Photon Jumper,97639441,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:54:01,,New
Praying Mantis,31600513,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:13:45,,Old
Praying Mantis,31600513,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:55:04,,New
Promotion,88617904,"('Condition', 'Effect')",Not yet released,Unlimited,2023-06-12 15:42:31,,Old
Promotion,88617904,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-23 15:56:56,,New
Protection of the Elements,66367984,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Unlimited,2023-06-13 17:13:16,,Old
Protection of the Elements,66367984,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-06-23 15:54:41,,New
Puppet Pawn,89839552,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:40:57,,Old
Puppet Pawn,89839552,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:06,,New
Puppet Rook,77590412,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:41:40,,Old
Puppet Rook,77590412,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:01,,New
RGB Rainbowlution,01259814,"('Quick-like Effect',)",Not yet released,Unlimited,2023-06-12 16:35:55,,Old
RGB Rainbowlution,01259814,"('Quick-like Effect',)",Unlimited,Unlimited,2023-06-23 15:57:36,,New
Reaper of the Cards,33066139,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-14 13:19:31,"('Any',)",Old
Reaper of the Cards,33066139,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-14 13:19:31,"('Type',)",New
Red Zone,,"('Condition', 'Quick-like Effect')",,Not yet released,2023-06-18 14:21:05,,Old
Red Zone,50056656,"('Condition', 'Quick-like Effect')",,Unlimited,2023-06-24 01:16:31,,New
Rokket Coder,77189532,"('Condition', 'Continuous Effect', 'Unclassified effect')",Not yet released,Unlimited,2023-06-12 15:25:19,,Old
Rokket Coder,77189532,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-06-23 15:58:00,,New
Rose Shaman,02752099,"('Condition', 'Ignition Effect')",Not yet released,Unlimited,2023-06-13 17:13:05,,Old
Rose Shaman,02752099,"('Condition', 'Ignition Effect')",Unlimited,Unlimited,2023-06-23 15:54:29,,New
Sage of Benevolence - Ciela,34456146,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:19:13,,Old
Sage of Benevolence - Ciela,34456146,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:53:05,,New
Sage of Strength - Akash,96795312,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:12:10,,Old
Sage of Strength - Akash,96795312,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:53:18,,New
Sage of Wisdom - Himmel,22790910,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:12:04,,Old
Sage of Wisdom - Himmel,22790910,"('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:53:13,,New
Scar-Red Dragon Archfiend,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2023-06-18 14:21:13,,Old
Scar-Red Dragon Archfiend,87451661,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-06-24 00:22:05,,New
Shadow's Light,61322713,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Unlimited,2023-06-13 17:13:21,,Old
Shadow's Light,61322713,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,2023-06-23 15:54:45,,New
Shooting Riser Dragon,68431965,"('Condition', 'Quick Effect', 'Trigger Effect')",Limited,Unlimited,2023-06-10 01:27:34,,Old
Shooting Riser Dragon,68431965,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-10 01:27:34,,New
Sky Striker Ace - Azalea,98462037,"('Condition', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:19:08,,Old
Sky Striker Ace - Azalea,98462037,"('Condition', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:52:59,,New
Sky Striker Mecha Modules - Multirole,24010609,"('Ignition-like Effect', 'Trigger Effect')",Limited,Unlimited,2023-04-15 16:17:01,,Old
Sky Striker Mecha Modules - Multirole,24010609,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-15 16:17:01,,New
Soul Resonator,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2023-06-18 14:21:44,,Old
Soul Resonator,62991792,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-06-25 20:42:31,,New
Spirit Elimination,69832741,"('Effect',)",Unlimited,Unlimited,2023-03-20 09:37:30,,Old
Spirit Elimination,69832741,"('Effect',)",Unlimited,Unlimited,2023-03-20 09:37:30,"('Type',)",New
Synchro Zone,60306277,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:12:14,,Old
Synchro Zone,60306277,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:53:23,,New
Terra the Terrible,63308047,,Unlimited,Unlimited,2023-05-14 13:16:09,,Old
Terra the Terrible,63308047,,Unlimited,Unlimited,2023-05-14 13:16:09,"('Type',)",New
Tri-Edge Master,52445243,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:32:00,,Old
Tri-Edge Master,52445243,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:51,,New
"Urubonus, the Avatar of Malice",47077697,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,Unlimited,2023-06-12 15:59:51,,Old
"Urubonus, the Avatar of Malice",47077697,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,2023-06-23 15:56:42,,New
Viper's Grudge,01683982,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:48:20,,Old
Viper's Grudge,01683982,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:56:14,,New
Vision Resonator,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,2023-06-18 14:21:59,,Old
Vision Resonator,98396890,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,2023-06-24 00:32:37,,New
Witty Phantom,36304921,,Unlimited,Unlimited,2023-05-14 13:18:46,"('Any',)",Old
Witty Phantom,36304921,,Unlimited,Unlimited,2023-06-24 10:07:16,"('Type',)",New
Xyz Bento,19272658,"('Effect', 'Quick-like Effect')",Not yet released,Unlimited,2023-06-12 15:54:08,,Old
Xyz Bento,19272658,"('Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-06-23 15:55:42,,New
