Card number,Name,Rarity,Modification date,Cover card,Version
MAZE-EN006,Gate Guardian of Water and Thunder,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN006,Gate Guardian of Water and Thunder,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN007,Labyrinth Wall Shadow,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN007,Labyrinth Wall Shadow,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN008,Double Attack! Wind and Thunder!!,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN008,Double Attack! Wind and Thunder!!,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN009,Riryoku Guardian,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN009,Riryoku Guardian,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN010,Prey of the Jirai Gumo,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN010,Prey of the Jirai Gumo,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN011,Black Luster Soldier - Legendary Swordsman,"('Ultra Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN011,Black Luster Soldier - Legendary Swordsman,"('Ultra Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN012,Red-Eyes Soul,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN012,Red-Eyes Soul,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN013,Duel Academy,"('Ultra Rare', ""Collector's Rare"")",2023-02-27 17:56:43,,Old
MAZE-EN013,Duel Academy,"('Ultra Rare', ""Collector's Rare"")",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN014,Wake Up Your Elemental HERO,"('Ultra Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN014,Wake Up Your Elemental HERO,"('Ultra Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN015,Evolution End Burst,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN015,Evolution End Burst,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN016,"On Your Mark, Get Set, DUEL!","('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN016,"On Your Mark, Get Set, DUEL!","('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN017,Time to Stand Up,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN017,Time to Stand Up,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN018,This Creepy Little Punk,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN018,This Creepy Little Punk,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN019,Accel Synchro Stardust Dragon,"('Ultra Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN019,Accel Synchro Stardust Dragon,"('Ultra Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN020,Overlay Network,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN020,Overlay Network,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN021,Number 39: Utopia Rising,"('Super Rare', ""Collector's Rare"")",2023-02-27 17:56:43,,Old
MAZE-EN021,Number 39: Utopia Rising,"('Super Rare', ""Collector's Rare"")",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN022,Barian Untopia,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN022,Barian Untopia,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN023,Saga of the Dragon Emperor,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN023,Saga of the Dragon Emperor,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN024,Performapal Duelist Extraordinaire,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN024,Performapal Duelist Extraordinaire,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN025,Kahyoreigetsu,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN025,Kahyoreigetsu,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN026,Battle Royal Mode - Joining,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN026,Battle Royal Mode - Joining,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN027,Soul of the Supreme King,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN027,Soul of the Supreme King,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN028,Firewall Dragon Darkfluid - Neo Tempest Terahertz,"('Ultra Rare', ""Collector's Rare"")",2023-02-27 17:56:43,,Old
MAZE-EN028,Firewall Dragon Darkfluid - Neo Tempest Terahertz,"('Ultra Rare', ""Collector's Rare"")",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN029,Angel of Blue Tears,"('Rare',)",2023-02-27 17:56:43,,Old
