Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,DEF,ATK,Level/Rank,Version
Amazement Abomination Arlekino,31600845,"('Amazement',)","('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,Unlimited,Amazement Abomination Arlekino,https://yugipedia.com/wiki/Amazement_Abomination_Arlekino,,2023-04-22 17:05:50,,LIGHT,Effect Monster,2200,2600,7,New
Amazement Dominator Arlekino,31600845,"('Amazement',)","('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,Amazement Dominator Arlekino,https://yugipedia.com/wiki/Amazement_Dominator_Arlekino,,2023-01-14 01:10:39,,LIGHT,Effect Monster,2200,2600,7,Old
Ancient Fairy Dragon,25862681,"('Signer Dragon',)","('Condition', 'Ignition Effect')",Forbidden,Limited,Ancient Fairy Dragon,https://yugipedia.com/wiki/Ancient_Fairy_Dragon,,2023-02-27 22:55:00,"('Type',)",LIGHT,Synchro Monster,3000,2100,7,Old
Ancient Fairy Dragon,25862681,"('Signer Dragon',)","('Condition', 'Ignition Effect')",Limited,Semi-Limited,Ancient Fairy Dragon,https://yugipedia.com/wiki/Ancient_Fairy_Dragon,,2023-04-27 19:53:11,"('Type',)",LIGHT,Synchro Monster,3000,2100,7,New
Ancient Gear Reactor Dragon,44874522,"('Ancient Gear', 'Reactor')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Ancient Gear Reactor Dragon,https://yugipedia.com/wiki/Ancient_Gear_Reactor_Dragon,,2022-12-21 01:58:26,"('Any',)",EARTH,Effect Monster,3000,3000,9,Old
Ancient Gear Reactor Dragon,44874522,"('Ancient Gear', 'Reactor')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Ancient Gear Reactor Dragon,https://yugipedia.com/wiki/Ancient_Gear_Reactor_Dragon,,2023-03-18 01:20:22,,EARTH,Effect Monster,3000,3000,9,New
Angel of Blue Tears,91706817,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Unlimited,Angel of Blue Tears,https://yugipedia.com/wiki/Angel_of_Blue_Tears,,2023-03-03 16:45:19,,,,,,,Old
Angel of Blue Tears,91706817,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Angel of Blue Tears,https://yugipedia.com/wiki/Angel_of_Blue_Tears,,2023-03-28 10:18:27,,,,,,,New
"Angelica, Princess of Noble Arms",36320744,"('Noble Arms',)","('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,"Angelica, Princess of Noble Arms","https://yugipedia.com/wiki/Angelica,_Princess_of_Noble_Arms",,2023-04-22 01:23:36,,FIRE,Synchro Monster,2400,1200,5,New
Anti-Magic Arrows,97120394,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2021-01-07 09:05:20,"('Any',)",,,,,,Old
Anti-Magic Arrows,97120394,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2023-03-18 01:37:55,,,,,,,New
Aqua Madoor,85639257,"('Madoor',)",,Unlimited,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2022-04-10 21:13:24,"('Type',)",WATER,Normal Monster,2000,1200,4,Old
Aqua Madoor,85639257,"('Madoor',)",,Unlimited,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2023-03-18 01:53:35,,WATER,Normal Monster,2000,1200,4,New
Aqua Round,59131526,,"('Effect',)",,Unlimited,Aqua Round,https://yugipedia.com/wiki/Aqua_Round,,2023-04-27 02:37:45,,,,,,,New
Aqua Story - Urashima,28325165,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Aqua Story - Urashima,https://yugipedia.com/wiki/Aqua_Story_-_Urashima,,2020-09-11 15:06:30,"('Any',)",,,,,,Old
Aqua Story - Urashima,28325165,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Aqua Story - Urashima,https://yugipedia.com/wiki/Aqua_Story_-_Urashima,,2023-03-18 01:54:21,,,,,,,New
Aquarium Lighting,91831066,"('Aquarium',)","('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Aquarium Lighting,https://yugipedia.com/wiki/Aquarium_Lighting,,2020-09-11 15:05:40,"('Any',)",,,,,,Old
Aquarium Lighting,91831066,"('Aquarium',)","('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Aquarium Lighting,https://yugipedia.com/wiki/Aquarium_Lighting,,2023-03-18 01:56:28,,,,,,,New
Aquarium Stage,29047353,"('Aquarium',)","('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Aquarium Stage,https://yugipedia.com/wiki/Aquarium_Stage,,2020-09-11 15:04:14,"('Any',)",,,,,,Old
Aquarium Stage,29047353,"('Aquarium',)","('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Aquarium Stage,https://yugipedia.com/wiki/Aquarium_Stage,,2023-03-18 01:56:56,,,,,,,New
Arahime the Manifested Mikanko,75771170,"('Mikanko',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Arahime the Manifested Mikanko,https://yugipedia.com/wiki/Arahime_the_Manifested_Mikanko,,2023-04-22 01:08:38,,LIGHT,Ritual Monster,0,0,9,New
Archfiend Marmot of Nefariousness,75889523,"('Archfiend',)",,Unlimited,Unlimited,Archfiend Marmot of Nefariousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness,,2022-04-24 04:05:07,"('Any',)",EARTH,Normal Monster,600,400,2,Old
Archfiend Marmot of Nefariousness,75889523,"('Archfiend',)",,Unlimited,Unlimited,Archfiend Marmot of Nefariousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness,,2023-03-18 02:13:16,,EARTH,Normal Monster,600,400,2,New
Archfiend's Roar,56246017,"('Archfiend',)","('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Archfiend's Roar,https://yugipedia.com/wiki/Archfiend%27s_Roar,,2020-11-15 05:57:24,"('Any',)",,,,,,Old
Archfiend's Roar,56246017,"('Archfiend',)","('Effect',)",Unlimited,Unlimited,Archfiend's Roar,https://yugipedia.com/wiki/Archfiend%27s_Roar,,2023-04-08 22:42:10,"('Any',)",,,,,,New
Artifact Sanctum,12444060,"('Artifact',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Artifact Sanctum,https://yugipedia.com/wiki/Artifact_Sanctum,,2023-02-23 14:46:32,"('Any',)",,,,,,Old
Artifact Sanctum,12444060,"('Artifact',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Artifact Sanctum,https://yugipedia.com/wiki/Artifact_Sanctum,,2023-04-24 08:49:38,,,,,,,New
Ashoka Pillar,,"('Ancient Treasure',)","('Condition', 'Trigger Effect')",,Not yet released,Ashoka Pillar,https://yugipedia.com/wiki/Ashoka_Pillar,,2023-04-14 20:48:51,,EARTH,Effect Monster,2200,0,3,New
Assault Counter,76407432,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Assault Counter,https://yugipedia.com/wiki/Assault_Counter,,2020-11-15 06:08:12,,,,,,,Old
Assault Counter,76407432,"('Counter (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Assault Counter,https://yugipedia.com/wiki/Assault_Counter,,2023-04-06 12:12:44,,,,,,,New
Assault Synchron,77202120,"('Synchron',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Assault Synchron,https://yugipedia.com/wiki/Assault_Synchron,,2023-02-24 05:35:27,,DARK,Effect Monster,0,700,2,Old
Assault Synchron,77202120,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Assault Synchron,https://yugipedia.com/wiki/Assault_Synchron,,2023-04-19 12:49:11,,DARK,Effect Monster,0,700,2,New
Baby Spider,60023855,"('Spider',)","('Condition', 'Ignition Effect')",,Unlimited,Baby Spider,https://yugipedia.com/wiki/Baby_Spider,,2022-12-18 19:32:50,,DARK,Effect Monster,0,0,3,Old
Baegriller de Nouvellez,,"('Nouvellez',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Baegriller de Nouvellez,https://yugipedia.com/wiki/Baegriller_de_Nouvellez,,2023-02-11 08:45:10,,DARK,Ritual Monster,1850,2400,6,Old
Baegriller de Nouvellez,88890658,"('Nouvellez',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Baegriller de Nouvellez,https://yugipedia.com/wiki/Baegriller_de_Nouvellez,,2023-04-03 20:57:12,,DARK,Ritual Monster,1850,2400,6,New
Balameuniere de Nouvellez,,"('Nouvellez',)","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Balameuniere de Nouvellez,https://yugipedia.com/wiki/Balameuniere_de_Nouvellez,,2023-02-10 02:09:43,,DARK,Ritual Monster,1850,2000,5,Old
Balameuniere de Nouvellez,52495649,"('Nouvellez',)","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Balameuniere de Nouvellez,https://yugipedia.com/wiki/Balameuniere_de_Nouvellez,,2023-04-03 20:55:53,,DARK,Ritual Monster,1850,2000,5,New
Barian Untopia,30761649,"(""Barian's"",)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Not yet released,Unlimited,Barian Untopia,https://yugipedia.com/wiki/Barian_Untopia,,2023-03-03 16:45:30,,,,,,,Old
Barian Untopia,30761649,"(""Barian's"",)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Barian Untopia,https://yugipedia.com/wiki/Barian_Untopia,,2023-03-28 10:19:04,,,,,,,New
Baromet the Sacred Sheep Shrub,62967433,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Baromet the Sacred Sheep Shrub,https://yugipedia.com/wiki/Baromet_the_Sacred_Sheep_Shrub,,2023-04-21 17:29:23,,EARTH,Xyz Monster,2000,1900,4,New
Battle Royal Mode - Joining,65433790,,"('Activation condition', 'Continuous-like Effect', 'Trigger Effect')",Not yet released,Unlimited,Battle Royal Mode - Joining,https://yugipedia.com/wiki/Battle_Royal_Mode_-_Joining,,2023-03-03 16:45:19,,,,,,,Old
Battle Royal Mode - Joining,65433790,,"('Activation condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Battle Royal Mode - Joining,https://yugipedia.com/wiki/Battle_Royal_Mode_-_Joining,,2023-03-28 10:18:42,,,,,,,New
Battlin' Boxer Chief Second,,"(""Battlin' Boxer"",)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,Battlin' Boxer Chief Second,https://yugipedia.com/wiki/Battlin%27_Boxer_Chief_Second,,2023-04-13 15:50:47,,FIRE,Effect Monster,2000,500,4,New
Battlin' Boxer Counterpunch,04549095,"(""Battlin' Boxer"",)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Battlin' Boxer Counterpunch,https://yugipedia.com/wiki/Battlin%27_Boxer_Counterpunch,,2021-02-03 22:15:37,"('Any',)",FIRE,Effect Monster,1100,0,3,Old
Battlin' Boxer Counterpunch,04549095,"(""Battlin' Boxer"", 'Counter (archetype)')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Battlin' Boxer Counterpunch,https://yugipedia.com/wiki/Battlin%27_Boxer_Counterpunch,,2023-04-06 12:21:22,"('Any',)",FIRE,Effect Monster,1100,0,3,New
Battlin' Boxer King Dempsey,,"(""Battlin' Boxer"",)","('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,Battlin' Boxer King Dempsey,https://yugipedia.com/wiki/Battlin%27_Boxer_King_Dempsey,,2023-04-13 16:10:30,,FIRE,Xyz Monster,1800,2300,4,New
Battlin' Boxer Promoter,,"(""Battlin' Boxer"",)","('Condition', 'Ignition Effect')",,Not yet released,Battlin' Boxer Promoter,https://yugipedia.com/wiki/Battlin%27_Boxer_Promoter,,2023-04-13 15:53:09,,FIRE,Effect Monster,800,1700,4,New
Battlin' Boxer Uppercutter,,"(""Battlin' Boxer"",)","('Condition', 'Trigger Effect')",,Not yet released,Battlin' Boxer Uppercutter,https://yugipedia.com/wiki/Battlin%27_Boxer_Uppercutter,,2023-04-13 15:38:27,,FIRE,Effect Monster,200,1600,4,New
Battlin' Boxing Cross Counter,,"(""Battlin' Boxing"", 'Counter (archetype)')","('Condition', 'Effect')",,Not yet released,Battlin' Boxing Cross Counter,https://yugipedia.com/wiki/Battlin%27_Boxing_Cross_Counter,,2023-04-13 16:42:24,,,,,,,New
Battlin' Boxing Spirits,36916401,,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Battlin' Boxing Spirits,https://yugipedia.com/wiki/Battlin%27_Boxing_Spirits,,2021-10-25 06:00:43,,,,,,,Old
Battlin' Boxing Spirits,36916401,"(""Battlin' Boxing"",)","('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Battlin' Boxing Spirits,https://yugipedia.com/wiki/Battlin%27_Boxing_Spirits,,2023-04-06 12:23:18,,,,,,,New
Beetrooper Cruel Saturn,91300233,"('Beetrooper',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,Beetrooper Cruel Saturn,https://yugipedia.com/wiki/Beetrooper_Cruel_Saturn,,2023-01-14 07:39:28,,DARK,Fusion Monster,2000,2400,5,Old
Beetrooper Cruel Saturnas,91300233,"('Beetrooper',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,Beetrooper Cruel Saturnas,https://yugipedia.com/wiki/Beetrooper_Cruel_Saturnas,,2023-04-22 17:27:50,,DARK,Fusion Monster,2000,2400,5,New
Behemoth the King of All Animals,22996376,,"('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Behemoth the King of All Animals,https://yugipedia.com/wiki/Behemoth_the_King_of_All_Animals,,2022-04-07 16:40:04,"('Any',)",EARTH,Effect Monster,1500,2700,7,Old
Behemoth the King of All Animals,22996376,,"('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Behemoth the King of All Animals,https://yugipedia.com/wiki/Behemoth_the_King_of_All_Animals,,2023-04-10 05:59:17,"('Any',)",EARTH,Effect Monster,1500,2700,7,New
Behemoth the King of All Wars,13836592,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Behemoth the King of All Wars,https://yugipedia.com/wiki/Behemoth_the_King_of_All_Wars,,2023-04-22 00:50:07,,EARTH,Effect Monster,1500,2700,10,New
Berfomet,77207191,,"('Trigger Effect',)",Unlimited,Unlimited,Berfomet,https://yugipedia.com/wiki/Berfomet,,2021-11-07 09:25:09,"('Type',)",DARK,Effect Monster,1800,1400,5,Old
Berfomet,77207191,"('Chimera (series)',)","('Trigger Effect',)",Unlimited,Unlimited,Berfomet,https://yugipedia.com/wiki/Berfomet,,2023-04-20 15:44:21,"('Type',)",DARK,Effect Monster,1800,1400,5,New
Berfomet the Great Wings,55461744,"('Chimera (series)',)","('Condition', 'Trigger Effect')",,Unlimited,Berfomet the Great Wings,https://yugipedia.com/wiki/Berfomet_the_Great_Wings,,2023-05-01 18:12:01,,DARK,Effect Monster,1800,1400,5,New
Berserker Soul,15381252,,"('Activation condition', 'Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Berserker Soul,https://yugipedia.com/wiki/Berserker_Soul,,2020-12-27 19:43:57,"('Any',)",,,,,,Old
Berserker Soul,15381252,,"('Activation condition', 'Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Berserker Soul,https://yugipedia.com/wiki/Berserker_Soul,,2023-03-18 04:45:21,,,,,,,New
Black Cat-astrophe,67381587,,"('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Black Cat-astrophe,https://yugipedia.com/wiki/Black_Cat-astrophe,,2020-09-11 15:03:06,"('Any',)",,,,,,Old
Black Cat-astrophe,67381587,,"('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Black Cat-astrophe,https://yugipedia.com/wiki/Black_Cat-astrophe,,2023-03-18 05:00:47,,,,,,,New
Black Luster Soldier,05405694,"('Black Luster Soldier (archetype)', 'Chaos')",,Unlimited,Unlimited,Black Luster Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier,,2022-12-23 04:17:20,"('Name', 'Type')",EARTH,Ritual Monster,2500,3000,8,Old
Black Luster Soldier,,"('Black Luster Soldier (archetype)', 'Chaos')",,,Unlimited,Black Luster Soldier (Normal),https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2022-04-17 01:30:44,"('Name', 'Type')",EARTH,Normal Monster,2500,3000,8,Old
Black Luster Soldier,,"('Black Luster Soldier (archetype)', 'Chaos')",,,Unlimited,Black Luster Soldier (Normal),https://yugipedia.com/wiki/Black_Luster_Soldier_(Normal),,2023-03-18 05:05:32,"('Name', 'Type')",EARTH,Normal Monster,2500,3000,8,New
Black Luster Soldier,05405694,"('Black Luster Soldier (archetype)', 'Chaos')",,Unlimited,Unlimited,Black Luster Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier,,2023-03-18 05:05:19,"('Name', 'Type')",EARTH,Ritual Monster,2500,3000,8,New
Black Luster Soldier - Legendary Swordsman,70551291,"('Black Luster Soldier (archetype)', 'Chaos')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Black Luster Soldier - Legendary Swordsman,https://yugipedia.com/wiki/Black_Luster_Soldier_-_Legendary_Swordsman,,2023-03-03 21:52:52,,EARTH,Ritual Monster,2500,3000,8,Old
Black Luster Soldier - Legendary Swordsman,70551291,"('Black Luster Soldier (archetype)', 'Chaos')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Black Luster Soldier - Legendary Swordsman,https://yugipedia.com/wiki/Black_Luster_Soldier_-_Legendary_Swordsman,,2023-03-28 10:20:16,,EARTH,Ritual Monster,2500,3000,8,New
Black Luster Soldier - Sacred Soldier,92510265,"('Black Luster Soldier (archetype)', 'Chaos')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Black Luster Soldier - Sacred Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier_-_Sacred_Soldier,,2020-11-15 18:53:51,"('Any',)",LIGHT,Effect Monster,2500,3000,8,Old
Black Luster Soldier - Sacred Soldier,92510265,"('Black Luster Soldier (archetype)', 'Chaos')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Black Luster Soldier - Sacred Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier_-_Sacred_Soldier,,2023-03-18 05:06:34,,LIGHT,Effect Monster,2500,3000,8,New
Blackbird Close,80254726,"('Rose',)","('Activation condition', 'Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Blackbird Close,https://yugipedia.com/wiki/Blackbird_Close,,2022-05-16 01:02:10,"('Any',)",,,,,,Old
