Name,Archseries,Effect type,Artwork,Modification date,Errata,Version
Levia-Dragon - Daedalus,,"('Effect',)",,2022-09-21 06:16:26,"('Any',)",Old
Levia-Dragon - Daedalus,,"('Effect',)","('Alternate',)",2023-04-08 01:46:16,"('Any',)",New
Magiarms Beast Gearpard,,"('Continuous Effect',)",,2023-04-13 00:48:43,,New
Majestic Masterburst,,,,2023-04-15 09:59:22,,New
Manifestation Master Dortheo,,"('Effect',)",,2023-04-19 02:52:16,,New
Manifestriction Dragon Maxseal,,"('Effect',)",,2023-04-13 00:13:02,,New
Mollusk Dragon Oumugailus,,"('Effect',)",,2023-04-11 23:27:23,,New
Nobody Scat Thief,"('Shaman Bandit',)","('Effect',)",,2023-04-27 01:38:03,,New
Pot of Arrogance,,"('Effect',)",,2023-02-08 02:01:19,,Old
Pot of Arrogance,"('Greed (series)',)","('Effect',)",,2023-04-27 03:26:33,,New
Pureglass Spears,,"('Effect',)",,2023-04-20 16:33:51,,New
Radiant Mirror Force,,"('Effect',)",,2023-04-12 15:27:38,"('Any',)",New
Recurring Nightmare,,"('Effect',)",,2022-10-20 06:54:19,"('Any',)",Old
Recurring Nightmare,,"('Effect',)","('Edited',)",2023-04-20 07:17:13,"('Any',)",New
Red Boot Enhanced Boost Dragon,"('High Tech Dragon',)","('Effect',)",,2023-04-27 16:20:10,,New
Rose Chain Salvage,,"('Effect',)",,2023-04-19 02:24:35,,New
Ruthless Slash - Megaplunder,,,,2023-04-03 09:27:47,,New
Satellite Soldier,,"('Effect',)",,2023-04-19 02:37:01,,New
Sevens Chariot the Magical Knight,,"('Multi-Choice Effect',)",,2023-04-14 15:47:57,,New
Sevens Wonder Fusion,"('Fusion (archetype)',)","('Effect',)",,2023-04-27 21:42:28,,New
Shared Sentiments,,"('Effect',)",,2023-04-27 16:23:16,,New
Shield Boring Kong,,"('Effect',)",,2022-12-21 09:21:41,"('Any',)",Old
Shield Boring Kong,,"('Effect',)",,2023-03-20 07:57:36,,New
Shinesteel Ultra Dragon Devastar Okeabyss,,"('Effect',)",,2023-04-12 15:19:14,,New
Shinesteel Ultra Dragon Devastar Okeabyss [L],,"('Effect',)",,2023-04-12 15:17:48,,New
Shinesteel Ultra Dragon Devastar Okeabyss [R],,"('Effect',)",,2023-04-12 15:18:31,,New
Skyporter Max,,"('Effect',)",,2023-04-27 16:04:38,,New
Soitsu,,,,2023-04-01 13:21:18,,New
Splame,,"('Effect',)",,2023-05-01 20:26:28,,New
Star Replacer,,"('Effect',)",,2023-04-27 02:57:04,,New
Steel Mech Lord Mirror Innovator,,"('Effect',)",,2022-09-21 06:17:27,,Old
Steel Mech Lord Mirror Innovator,,"('Effect',)","('Alternate',)",2023-04-08 01:46:12,,New
Supreme Dog Ropero,,"('Effect',)",,2023-04-12 14:19:44,,New
Supreme Electromagnetic Maximum,,"('Effect',)",,2023-04-12 14:12:09,,New
Supreme Fullsteam Magnum Overlord,"('Supreme Magnum Overlord',)","('Effect',)",,2023-04-12 14:12:27,,New
Supreme Fullsteam Magnum Overlord [L],"('Supreme Magnum Overlord',)","('Effect',)",,2023-04-12 14:07:53,,New
Supreme Fullsteam Magnum Overlord [R],"('Supreme Magnum Overlord',)","('Effect',)",,2023-04-12 14:08:24,,New
Supreme Machine Magnum Overlord [L],"('Supreme Magnum Overlord',)","('Effect',)","('Alternate',)",2023-02-23 10:00:42,,Old
Supreme Machine Magnum Overlord [L],"('Supreme Magnum Overlord',)","('Effect',)",,2023-04-08 00:29:59,,New
Supreme Machine Magnum Overlord [R],"('Supreme Magnum Overlord',)","('Effect',)","('Alternate',)",2023-02-23 10:00:12,,Old
Supreme Machine Magnum Overlord [R],"('Supreme Magnum Overlord',)","('Effect',)",,2023-04-08 00:30:42,,New
Tamabot Burst Dragon,"('High Tech Dragon',)","('Effect',)",,2023-04-13 00:47:40,,New
Vishwar Randi,,,,2022-12-21 09:53:31,"('Any',)",Old
Vishwar Randi,,,,2023-03-20 18:48:12,,New
Voidvelgr Chrysaor,"('Voidvelgr',)","('Effect',)",,2023-04-12 15:34:09,,New
Voidvelgr Gigantomachia,"('Voidvelgr',)","('Effect',)",,2023-04-12 15:35:17,,New
Voidvelgr Kyrie,"('Voidvelgr',)","('Effect',)",,2023-04-27 21:31:16,,New
Voidvelgr Logistikos,"('Voidvelgr',)","('Effect',)",,2023-04-27 21:32:09,,New
Vorse Raider,,,,2022-02-09 03:11:14,"('Name', 'Type')",Old
Vorse Raider,,,,2023-03-20 18:59:08,"('Type',)",New
Wilhel the Mega Monarch,"('Monarch',)","('Effect',)",,2023-04-20 16:01:26,,New
Wilhel the Wisdom Monarch,"('Monarch',)","('Effect',)",,2023-04-20 15:51:07,,New
Wrath of Abyss,,"('Effect',)",,2023-04-12 16:07:00,,New
Zaborg the Thunder Monarch,"('Monarch',)","('Effect',)",,2023-04-20 16:02:26,"('Type',)",New
Zuse the Wisdom Vassal,,"('Effect',)",,2023-04-20 15:48:50,,New
