Name,Password,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Version
KaibaCorp Research,,Legal,KaibaCorp Research,https://yugipedia.com/wiki/KaibaCorp_Research,,2023-08-14 16:29:48,New
Karbonala Warrior,54541900,Not yet released,Karbonala Warrior,https://yugipedia.com/wiki/Karbonala_Warrior,,2023-08-14 21:25:09,New
Last Day of Witch,90330453,Not yet released,Last Day of Witch,https://yugipedia.com/wiki/Last_Day_of_Witch,"('Edited',)",2023-08-15 03:02:36,New
Ledger of Legerdemain,56256517,Not yet released,Ledger of Legerdemain,https://yugipedia.com/wiki/Ledger_of_Legerdemain,,2023-08-15 00:33:49,New
Magical Arm Shield,96008713,Not yet released,Magical Arm Shield,https://yugipedia.com/wiki/Magical_Arm_Shield,,2023-08-15 03:07:57,New
Magical Marionette,08034697,Not yet released,Magical Marionette,https://yugipedia.com/wiki/Magical_Marionette,,2023-08-15 02:51:54,New
Magical Reflect Slime,03918345,Not yet released,Magical Reflect Slime,https://yugipedia.com/wiki/Magical_Reflect_Slime,,2023-08-15 02:09:00,New
Magnet Force,17841166,Unlimited,Magnet Force,https://yugipedia.com/wiki/Magnet_Force,,2023-03-19 14:47:42,New
Magnetic Mosquito,50074522,Not yet released,Magnetic Mosquito,https://yugipedia.com/wiki/Magnetic_Mosquito,,2023-08-14 23:25:39,New
Maiden of Macabre,84055227,Not yet released,Maiden of Macabre,https://yugipedia.com/wiki/Maiden_of_Macabre,,2023-08-15 02:51:03,New
Maiden of the Aqua,17214465,Not yet released,Maiden of the Aqua,https://yugipedia.com/wiki/Maiden_of_the_Aqua,,2023-08-14 21:41:09,New
Malice Dispersion,13626450,Not yet released,Malice Dispersion,https://yugipedia.com/wiki/Malice_Dispersion,,2023-08-14 20:54:04,New
Malicious Motivation,,Legal,Malicious Motivation,https://yugipedia.com/wiki/Malicious_Motivation,,2023-08-14 16:33:44,New
Marauding Captain,02460565,Not yet released,Marauding Captain,https://yugipedia.com/wiki/Marauding_Captain,,2023-08-14 21:03:27,New
Mega Ton Magical Cannon,32062913,Not yet released,Mega Ton Magical Cannon,https://yugipedia.com/wiki/Mega_Ton_Magical_Cannon,,2023-08-15 03:03:32,New
"Mei-Kou, Master of Barriers",47731128,Not yet released,"Mei-Kou, Master of Barriers","https://yugipedia.com/wiki/Mei-Kou,_Master_of_Barriers",,2023-08-15 01:42:38,New
Miracle Restoring,68334074,Not yet released,Miracle Restoring,https://yugipedia.com/wiki/Miracle_Restoring,,2023-08-14 20:58:09,New
Muka Muka,46657337,Not yet released,Muka Muka,https://yugipedia.com/wiki/Muka_Muka,,2023-08-15 02:05:41,New
Multiplication of Ants,22493811,Not yet released,Multiplication of Ants,https://yugipedia.com/wiki/Multiplication_of_Ants,,2023-08-14 23:39:30,New
My Precious Queen!,,Legal,My Precious Queen!,https://yugipedia.com/wiki/My_Precious_Queen!,,2023-08-14 19:14:18,New
Needle Sunfish,56223084,Not yet released,Needle Sunfish,https://yugipedia.com/wiki/Needle_Sunfish,,2023-08-14 21:36:42,New
Now You See Them...,,Legal,Now You See Them...,https://yugipedia.com/wiki/Now_You_See_Them...,,2023-08-14 17:13:31,New
Oyster Meister,83239739,Not yet released,Oyster Meister,https://yugipedia.com/wiki/Oyster_Meister,,2023-08-14 21:37:44,New
Paleozoic Eldonia,02376209,Not yet released,Paleozoic Eldonia,https://yugipedia.com/wiki/Paleozoic_Eldonia,,2023-08-14 23:19:07,New
Parasite Paracide,27911549,Not yet released,Parasite Paracide,https://yugipedia.com/wiki/Parasite_Paracide,"('Edited',)",2023-08-14 23:22:49,New
Piercing Moray,69846323,Not yet released,Piercing Moray,https://yugipedia.com/wiki/Piercing_Moray,,2023-08-14 21:39:08,New
Pineapple Blast,90669991,Not yet released,Pineapple Blast,https://yugipedia.com/wiki/Pineapple_Blast,,2023-08-15 00:39:42,New
Pitch-Black Power Stone,34029630,Not yet released,Pitch-Black Power Stone,https://yugipedia.com/wiki/Pitch-Black_Power_Stone,,2023-08-14 20:59:02,New
Premature Material,,Legal,Premature Material,https://yugipedia.com/wiki/Premature_Material,,2023-08-14 16:24:56,New
Prickle Fairy,91559748,Not yet released,Prickle Fairy,https://yugipedia.com/wiki/Prickle_Fairy,,2023-08-14 23:27:00,New
Pumprincess the Princess of Ghosts,17601919,Not yet released,Pumprincess the Princess of Ghosts,https://yugipedia.com/wiki/Pumprincess_the_Princess_of_Ghosts,,2023-08-15 02:52:44,New
Reactor Slime,79387392,Not yet released,Reactor Slime,https://yugipedia.com/wiki/Reactor_Slime,,2023-08-15 02:03:47,New
Red-Eyes Baby Dragon,58257569,Not yet released,Red-Eyes Baby Dragon,https://yugipedia.com/wiki/Red-Eyes_Baby_Dragon,,2023-08-15 02:53:33,New
Reflect Bounder,02851070,Not yet released,Reflect Bounder,https://yugipedia.com/wiki/Reflect_Bounder,,2023-08-14 23:56:37,New
Resonance Insect,96938986,Not yet released,Resonance Insect,https://yugipedia.com/wiki/Resonance_Insect,,2023-08-14 23:29:18,New
Reversible Beetle,45702357,Not yet released,Reversible Beetle,https://yugipedia.com/wiki/Reversible_Beetle,,2023-08-15 03:12:02,New
Revival Jam,31709826,Not yet released,Revival Jam,https://yugipedia.com/wiki/Revival_Jam,,2023-08-15 02:00:02,New
Roulette Spider,36708764,Not yet released,Roulette Spider,https://yugipedia.com/wiki/Roulette_Spider,,2023-08-14 21:11:10,New
Salvage,96947648,Not yet released,Salvage,https://yugipedia.com/wiki/Salvage,,2023-08-14 21:47:59,New
Sealmaster Meisei,02468169,Not yet released,Sealmaster Meisei,https://yugipedia.com/wiki/Sealmaster_Meisei,,2023-08-15 01:47:02,New
Skilled Dark Magician,73752131,Not yet released,Skilled Dark Magician,https://yugipedia.com/wiki/Skilled_Dark_Magician,,2023-08-14 14:49:43,New
Slimey Disposition,,Legal,Slimey Disposition,https://yugipedia.com/wiki/Slimey_Disposition,,2023-08-14 16:38:13,New
Slimey Slimes,,Legal,Slimey Slimes,https://yugipedia.com/wiki/Slimey_Slimes,,2023-08-14 19:02:29,New
Solemn Wishes,35346968,Not yet released,Solemn Wishes,https://yugipedia.com/wiki/Solemn_Wishes,,2023-08-15 02:37:42,New
Stalked by the Rare Hunters,,Legal,Stalked by the Rare Hunters,https://yugipedia.com/wiki/Stalked_by_the_Rare_Hunters,,2023-08-14 17:15:36,New
Summoned Skull,70781052,Not yet released,Summoned Skull,https://yugipedia.com/wiki/Summoned_Skull,"('Alternate',)",2023-08-15 02:44:10,New
Talisman of Spell Sealing,71983925,Not yet released,Talisman of Spell Sealing,https://yugipedia.com/wiki/Talisman_of_Spell_Sealing,,2023-08-15 01:55:33,New
Talisman of Trap Sealing,19312169,Not yet released,Talisman of Trap Sealing,https://yugipedia.com/wiki/Talisman_of_Trap_Sealing,,2023-08-15 01:49:41,New
The Dragon Hunting Swordsman,,Legal,The Dragon Hunting Swordsman,https://yugipedia.com/wiki/The_Dragon_Hunting_Swordsman,,2023-08-14 17:05:49,New
The Forceful Checkpoint,94861297,Unlimited,The Forceful Checkpoint,https://yugipedia.com/wiki/The_Forceful_Checkpoint,,2023-04-10 17:19:19,Old
The Machine Menace,,Legal,The Machine Menace,https://yugipedia.com/wiki/The_Machine_Menace,,2023-08-14 16:48:08,New
Token Stampede,14342283,Not yet released,Token Stampede,https://yugipedia.com/wiki/Token_Stampede,,2023-08-15 02:38:38,New
Token Sundae,52971673,Not yet released,Token Sundae,https://yugipedia.com/wiki/Token_Sundae,"('Edited',)",2023-08-15 02:33:44,New
Tornado Wall,18605135,Not yet released,Tornado Wall,https://yugipedia.com/wiki/Tornado_Wall,,2023-08-14 23:16:46,New
Ultimate Wizardry,,Legal,Ultimate Wizardry,https://yugipedia.com/wiki/Ultimate_Wizardry,,2023-08-14 14:31:26,New
Union Hangar,66399653,Limited 2,Union Hangar,https://yugipedia.com/wiki/Union_Hangar,,2023-05-10 10:33:41,New
Voltic Kong,93151201,Not yet released,Voltic Kong,https://yugipedia.com/wiki/Voltic_Kong,,2023-08-15 00:25:19,New
Warrior of Atlantis,43797906,Not yet released,Warrior of Atlantis,https://yugipedia.com/wiki/Warrior_of_Atlantis,,2023-08-15 02:56:40,New
Whale of a Tale,,Legal,Whale of a Tale,https://yugipedia.com/wiki/Whale_of_a_Tale,,2023-08-14 17:23:19,New
Worm Drake,73216412,Not yet released,Worm Drake,https://yugipedia.com/wiki/Worm_Drake,,2023-08-15 02:02:44,New
Zera Ritual,81756897,Not yet released,Zera Ritual,https://yugipedia.com/wiki/Zera_Ritual,,2023-08-15 03:04:43,New
Zera the Mant,69123138,Not yet released,Zera the Mant,https://yugipedia.com/wiki/Zera_the_Mant,,2023-08-15 02:58:26,New
