Name,Password,Card type,Property,Archseries,Effect type,TCG status,OCG status,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,Secondary type,Monster type,Level/Rank,DEF,Pendulum Scale,Link,Link Arrows,ATK
A-Team: Trap Disposal Unit,13026402,Monster Card,,,"('Quick Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,,2021-03-06 20:47:44,,FIRE,Effect Monster,,Machine,2,400,,,,300
A-to-Z-Dragon Buster Cannon,65172015,Monster Card,,"('A-to-Z',)","('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,"('Edited',)",2022-11-11 13:37:01,,LIGHT,Fusion Monster,,Machine,10,4000,,,,4000
A.I. Challenge You,28645123,Trap Card,Continuous Trap Card,"('A.I.',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I._Challenge_You,,2021-06-04 08:58:27,,,,,,,,,,,
A.I. Contact,10493654,Spell Card,Normal Spell Card,"('A.I.',)","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I._Contact,,2022-05-05 17:56:22,,,,,,,,,,,
A.I. Love Fusion,59332125,Spell Card,Normal Spell Card,"('A.I.', 'Polymerization (archetype)')","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I._Love_Fusion,,2022-07-05 13:50:30,,,,,,,,,,,
A.I. Meet You,06552971,Spell Card,Normal Spell Card,"('A.I.',)","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I._Meet_You,,2022-09-14 13:22:35,,,,,,,,,,,
A.I. Shadow,77421977,Trap Card,Continuous Trap Card,"('A.I.',)","('Activation condition', 'Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I._Shadow,,2022-09-01 12:32:12,,,,,,,,,,,
A.I.'s Ritual,85327820,Spell Card,Ritual Spell Card,"('A.I.',)","('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I.%27s_Ritual,,2022-05-05 17:00:17,,,,,,,,,,,
A.I.'s Show,54374642,Trap Card,Normal Trap Card,"('A.I.',)","('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I.%27s_Show,,2021-12-03 11:45:55,,,,,,,,,,,
A.I.Q,69381150,Trap Card,Continuous Trap Card,"('A.I.',)","('Activation condition', 'Continuous-like Effect', 'Maintenance cost')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I.Q,,2022-05-05 18:02:17,,,,,,,,,,,
A.I.dle Reborn,22933016,Spell Card,Quick-Play Spell Card,"('A.I.',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A.I.dle_Reborn,,2022-05-05 16:58:21,,,,,,,,,,,
A/D Changer,96146814,Monster Card,,"('Change',)","('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A/D_Changer,,2022-03-31 12:47:56,,LIGHT,Effect Monster,,Warrior,1,100,,,,100
ABC-Dragon Buster,01561110,Monster Card,,"('A-to-Z',)","('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2021-07-10 13:42:21,,LIGHT,Fusion Monster,,Machine,8,2800,,,,3000
ALERT!,26372118,Spell Card,Quick-Play Spell Card,"('Rescue-ACE',)","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/ALERT!,,2023-01-19 09:10:08,,,,,,,,,,,
Abaki,12694768,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abaki,,2021-11-06 16:29:42,,FIRE,Effect Monster,,Fiend,4,1100,,,,1700
Abare Ushioni,89718302,Monster Card,,,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abare_Ushioni,,2022-08-25 09:32:52,,EARTH,Effect Monster,,Beast-Warrior,4,1200,,,,1200
Abominable Chamber of the Unchained,80801743,Trap Card,Normal Trap Card,"('Unchained',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abominable_Chamber_of_the_Unchained,,2022-05-05 16:21:38,,,,,,,,,,,
Abominable Unchained Soul,01966438,Monster Card,,"('Unchained', 'Unchained Soul')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abominable_Unchained_Soul,,2022-05-05 16:39:35,,DARK,Effect Monster,,Fiend,8,1500,,,,3000
Abomination's Prison,27412542,Spell Card,Normal Spell Card,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abomination%27s_Prison,,2022-05-05 16:16:15,,,,,,,,,,,
Absolute Crusader,70832512,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_Crusader,,2020-11-15 04:24:25,,EARTH,Effect Monster,,Warrior,4,1200,,,,1800
Absolute End,27744077,Trap Card,Normal Trap Card,,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_End,"('Edited',)",2022-08-13 13:13:33,,,,,,,,,,,
Absolute King Back Jack,60990740,Monster Card,,,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2022-12-01 16:10:35,,DARK,Effect Monster,,Fiend,1,0,,,,0
Absorb Fusion,71422989,Spell Card,Normal Spell Card,"('Fusion (archetype)',)","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absorb_Fusion,,2020-11-15 04:24:41,,,,,,,,,,,
Absorbing Jar,03900605,Monster Card,,"('Jar',)","('Flip effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Absorbing_Jar,,2021-11-06 15:22:32,"('Type',)",EARTH,Effect Monster,"('Flip monster',)",Rock,3,500,,,,600
Absorbing Kid from the Sky,49771608,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,"('Edited',)",2021-01-06 17:27:20,,LIGHT,Effect Monster,,Fairy,4,1000,,,,1300
Absorouter Dragon,67748760,Monster Card,,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absorouter_Dragon,,2021-12-27 19:15:49,,DARK,Effect Monster,,Dragon,7,2800,,,,1200
Abyss Actor - Comic Relief,15308295,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,,2022-04-01 12:47:22,,DARK,Effect Monster,,Fiend,3,2000,8,,,1000
Abyss Actor - Curtain Raiser,44179224,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,,2023-02-09 12:49:14,,DARK,Effect Monster,,Fiend,4,1000,7,,,1100
Abyss Actor - Evil Heel,52240819,Monster Card,,"('Abyss Actor',)","('Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,,2020-03-12 23:08:29,,DARK,Effect Monster,,Fiend,8,2000,1,,,3000
Abyss Actor - Extras,88412339,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,,2022-04-01 12:55:44,,DARK,Effect Monster,,Fiend,1,100,3,,,100
Abyss Actor - Funky Comedian,99634927,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,,2020-03-12 23:09:45,,DARK,Effect Monster,,Fiend,1,200,8,,,300
Abyss Actor - Hyper Director,02368215,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,,2021-10-06 00:21:20,,DARK,Link Monster,,Fiend,,,,1,"('↓',)",800
Abyss Actor - Leading Lady,24907044,Monster Card,,"('Abyss Actor',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2022-12-30 14:53:58,,DARK,Effect Monster,,Fiend,4,1000,2,,,1500
Abyss Actor - Liberty Dramatist,65477143,Monster Card,,"('Abyss Actor',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,,2023-02-10 16:24:18,,DARK,Effect Monster,,Fiend,4,1500,8,,,1500
Abyss Actor - Mellow Madonna,78310590,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,"('Edited',)",2022-04-20 02:49:15,,DARK,Effect Monster,,Fiend,7,2500,0,,,1800
Abyss Actor - Sassy Rookie,51028231,Monster Card,,"('Abyss Actor',)","('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,,2020-03-12 23:12:06,,DARK,Effect Monster,,Fiend,4,1000,2,,,1700
Abyss Actor - Super Producer,47404795,Monster Card,,"('Abyss Actor',)","('Condition', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,,2023-02-10 16:09:05,,DARK,Link Monster,,Fiend,,,,2,"('↙', '↘')",1600
Abyss Actor - Superstar,25629622,Monster Card,,"('Abyss Actor',)","('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2022-12-25 15:47:09,,DARK,Effect Monster,,Fiend,7,1800,3,,,2500
Abyss Actor - Trendy Understudy,39024589,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,,2022-04-01 12:51:54,,DARK,Effect Monster,,Fiend,2,700,8,,,700
Abyss Actor - Twinkle Little Star,07279373,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,,2022-04-20 02:36:21,,DARK,Effect Monster,,Fiend,4,1000,9,,,1000
Abyss Actor - Wild Hope,51391183,Monster Card,,"('Abyss Actor', 'Utopic')","('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,,2022-04-01 12:56:34,,DARK,Effect Monster,,Fiend,4,1200,2,,,1600
Abyss Actors Back Stage,59057953,Trap Card,Normal Trap Card,"('Abyss Actor',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actors_Back_Stage,,2022-04-01 12:53:38,,,,,,,,,,,
Abyss Actors' Curtain Call,04682617,Trap Card,Normal Trap Card,"('Abyss Actor',)","('Activation condition', 'Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actors%27_Curtain_Call,,2022-04-20 02:42:14,,,,,,,,,,,
Abyss Actors' Dress Rehearsal,06004133,Spell Card,Normal Spell Card,"('Abyss Actor',)","('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actors%27_Dress_Rehearsal,,2023-02-10 16:26:25,,,,,,,,,,,
Abyss Dweller,21044178,Monster Card,,,"('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Dweller,,2022-10-10 14:40:57,,WATER,Xyz Monster,,Sea Serpent,4,1400,,,,1700
Abyss Flower,40387124,Monster Card,,,,,Unlimited,https://yugipedia.com/wiki/Abyss_Flower,,2021-10-30 17:01:55,,EARTH,Normal Monster,,Plant,2,400,,,,750
Abyss Keeper,82184400,Monster Card,,"('Abyss-',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Keeper,,2023-01-01 18:58:59,,WATER,Link Monster,,Fish,,,,2,"('↙', '↘')",1500
Abyss Playhouse - Fantastic Theater,77297908,Spell Card,Field Spell Card,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Playhouse_-_Fantastic_Theater,,2022-04-20 02:42:08,"('Name',)",,,,,,,,,,
Abyss Prop - Wild Wagon,86578200,Spell Card,Continuous Spell Card,,"('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Prop_-_Wild_Wagon,,2023-01-30 09:48:27,,,,,,,,,,,
Abyss Script - Abysstainment,70564929,Spell Card,Continuous Spell Card,"('Abyss Script',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Abysstainment,,2020-11-15 04:41:24,,,,,,,,,,,
Abyss Script - Dramatic Story,33503878,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Dramatic_Story,,2023-02-10 15:48:44,,,,,,,,,,,
Abyss Script - Fantasy Magic,87390798,Spell Card,Normal Spell Card,"('Abyss Script',)","('Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Fantasy_Magic,,2021-04-16 15:00:58,,,,,,,,,,,
Abyss Script - Fire Dragon's Lair,50179591,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Fire_Dragon%27s_Lair,,2019-11-26 22:46:58,,,,,,,,,,,
Abyss Script - Opening Ceremony,23784496,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Opening_Ceremony,,2022-04-01 12:52:27,,,,,,,,,,,
Abyss Script - Rise of the Abyss King,13662809,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Rise_of_the_Abyss_King,,2022-12-25 15:49:23,,,,,,,,,,,
Abyss Script - Romantic Terror,41803903,Spell Card,Quick-Play Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Romantic_Terror,,2022-04-20 02:56:12,,,,,,,,,,,
Abyss Shark,61496006,Monster Card,,"('Abyss-', 'Shark (series)')","('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Shark,,2022-06-16 17:42:58,,WATER,Effect Monster,,Fish,5,700,,,,1200
Abyss Soldier,18318842,Monster Card,,"('Abyss-',)","('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Soldier,,2022-04-29 12:29:25,,WATER,Effect Monster,,Aqua,4,1300,,,,1800
Abyss Stungray,97232518,Trap Card,Continuous Trap Card,"('Trap Monster',)","('Continuous Effect', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Stungray,,2022-07-24 09:45:55,,,,,,,,,,,
Abyss Warrior,88409165,Monster Card,,"('Abyss-', 'Warrior (archetype)')","('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Warrior,,2021-11-06 15:59:29,,WATER,Effect Monster,,Aqua,4,1300,,,,1800
Abyss-scale of Cetus,19596712,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-scale_of_Cetus,,2021-06-20 15:33:59,,,,,,,,,,,
Abyss-scale of the Kraken,08719957,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-scale_of_the_Kraken,,2021-11-06 15:59:49,,,,,,,,,,,
Abyss-scale of the Mizuchi,72932673,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-scale_of_the_Mizuchi,,2021-06-20 15:42:43,,,,,,,,,,,
Abyss-scorn,79206750,Trap Card,Normal Trap Card,"('Abyss-',)","('Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-scorn,,2022-04-20 02:46:02,,,,,,,,,,,
Abyss-sphere,60202749,Trap Card,Continuous Trap Card,"('Abyss-',)","('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-sphere,"('Edited',)",2022-04-20 11:32:02,,,,,,,,,,,
Abyss-squall,34707034,Trap Card,Normal Trap Card,"('Abyss-',)","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-squall,"('Edited',)",2022-11-20 14:30:11,,,,,,,,,,,
Abyss-strom,97697447,Trap Card,Normal Trap Card,"('Abyss-',)","('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss-strom,,2022-11-20 14:32:06,,,,,,,,,,,
Abyssal Designator,89801755,Spell Card,Normal Spell Card,"('Designator',)","('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyssal_Designator,,2022-09-23 08:24:34,,,,,,,,,,,
Abyssal Kingshark,44223284,Monster Card,,,"('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyssal_Kingshark,,2022-04-19 18:05:11,,WATER,Effect Monster,,Fish,4,600,,,,1700
Accel Synchro Stardust Dragon,30983281,Monster Card,,"('Stardust (archetype)',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,,2023-02-07 14:37:24,,WIND,Synchro Monster,,Dragon,8,2000,,,,2500
Accel Synchron,37675907,Monster Card,,"('Synchron',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,,DARK,Synchro Monster,"('Tuner monster',)",Machine,5,2100,,,,500
Accellight,34838437,Spell Card,Normal Spell Card,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accellight,,2021-03-14 20:09:18,,,,,,,,,,,
Accesscode Talker,86066372,Monster Card,,"('Code Talker (archetype)',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accesscode_Talker,,2022-11-17 14:16:54,,DARK,Link Monster,,Cyberse,,,,4,"('↓', '←', '→', '↑')",2300
Accumulated Fortune,98444741,Trap Card,Normal Trap Card,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accumulated_Fortune,,2021-08-26 18:51:29,,,,,,,,,,,
Achacha Archer,98865920,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Achacha_Archer,,2022-07-25 23:38:59,,FIRE,Effect Monster,,Warrior,3,600,,,,1200
Achacha Chanbara,62476197,Monster Card,,,"('Quick Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Achacha_Chanbara,,2022-07-25 23:38:38,,FIRE,Effect Monster,,Warrior,3,400,,,,1400
Achichi @Ignister,15808381,Monster Card,,"('@Ignister',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Achichi_@Ignister,,2022-05-05 16:35:06,,FIRE,Effect Monster,,Cyberse,2,800,,,,800
Acid Crawler,77568553,Monster Card,,,,,Unlimited,https://yugipedia.com/wiki/Acid_Crawler,,2021-07-05 10:32:40,,EARTH,Normal Monster,,Insect,3,700,,,,900
Acid Rain,21323861,Spell Card,Normal Spell Card,,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Acid_Rain,,2021-11-06 15:23:06,,,,,,,,,,,
