Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
307-025,Invader of Darkness (set),"('Ultra Rare', 'Ultra Parallel Rare')",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-026,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-026,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-027,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-027,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-028,Invader of Darkness,"('Super Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-028,Invader of Darkness (set),"('Super Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-029,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-029,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-030,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-030,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-031,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-031,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-032,Invader of Darkness,"('Super Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-032,Invader of Darkness (set),"('Super Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-033,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-033,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-034,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-034,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-035,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-035,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-036,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-036,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-037,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-037,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-038,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-038,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-039,Invader of Darkness,"('Super Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-039,Invader of Darkness (set),"('Super Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-040,Invader of Darkness,"('Super Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-040,Invader of Darkness (set),"('Super Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-041,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-041,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-042,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-042,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-043,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-043,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-044,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-044,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-045,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-045,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-046,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-046,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-047,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-047,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-048,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-048,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-049,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-049,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-050,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-050,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-051,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-051,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-052,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-052,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-053,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-053,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-054,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-054,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-055,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-055,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-056,Invader of Darkness,"('Secret Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-056,Invader of Darkness (set),"('Secret Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-057,Invader of Darkness,"('Ultimate Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-057,Invader of Darkness (set),"('Ultimate Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
AC01-JP005,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP005,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP009,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP009,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP012,Animation Chronicle 2021,"('Ultra Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP012,Animation Chronicle 2021,"('Ultra Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP020,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP020,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP021,Animation Chronicle 2021,"('Ultra Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP021,Animation Chronicle 2021,"('Ultra Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP023,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP023,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP027,Animation Chronicle 2021,"('Ultra Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP027,Animation Chronicle 2021,"('Ultra Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP030,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP030,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP034,Animation Chronicle 2021,"('Ultra Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP034,Animation Chronicle 2021,"('Ultra Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC01-JP035,Animation Chronicle 2021,"('Super Rare', 'Collector""s Rare')",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,Old
AC01-JP035,Animation Chronicle 2021,"('Super Rare', ""Collector's Rare"")",JP,2021-06-12,Animation Chronicle,Booster pack,"('Dragonroid', 'Starving Venemy Dragon', 'Ultimate Leo Utopia Ray')",https://yugipedia.com/wiki/Animation_Chronicle_2021,2022-02-14 06:36:31,New
AC02-JP001,Animation Chronicle 2022,"('Ultra Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
AC02-JP001,Animation Chronicle 2022,"('Ultra Rare', ""Collector's Rare"")",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,New
AC02-JP007,Animation Chronicle 2022,"('Super Rare', 'Collector""s Rare')",JP,2022-06-11,Animation Chronicle,Booster pack,"('Crystal Skull', 'Dyna Tank', 'Royal Straight Slasher')",https://yugipedia.com/wiki/Animation_Chronicle_2022,2022-09-23 13:40:55,Old
