Name,Password,TCG status,Page URL,Artwork,Modification date,Errata,Primary type,Secondary type,Version
A-Assault Core,30012506,Unlimited,https://yugipedia.com/wiki/A-Assault_Core,,2022-07-24 09:50:49,,Effect Monster,"('Union monster',)",New
A-Team: Trap Disposal Unit,13026402,Unlimited,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,,2021-03-06 20:47:44,,,,Old
A-Team: Trap Disposal Unit,13026402,Unlimited,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,,2021-03-06 20:47:44,,Effect Monster,,New
A-to-Z-Dragon Buster Cannon,65172015,Unlimited,https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,"('Edited',)",2022-11-11 13:37:01,,,,Old
A-to-Z-Dragon Buster Cannon,65172015,Unlimited,https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,"('Edited',)",2022-11-11 13:37:01,,Fusion Monster,,New
A/D Changer,96146814,Unlimited,https://yugipedia.com/wiki/A/D_Changer,,2022-03-31 12:47:56,,,,Old
A/D Changer,96146814,Unlimited,https://yugipedia.com/wiki/A/D_Changer,,2022-03-31 12:47:56,,Effect Monster,,New
ABC-Dragon Buster,01561110,Unlimited,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2021-07-10 13:42:21,,,,Old
ABC-Dragon Buster,01561110,Unlimited,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2021-07-10 13:42:21,,Fusion Monster,,New
Abaki,12694768,Unlimited,https://yugipedia.com/wiki/Abaki,,2021-11-06 16:29:42,,,,Old
Abaki,12694768,Unlimited,https://yugipedia.com/wiki/Abaki,,2021-11-06 16:29:42,,Effect Monster,,New
Abare Ushioni,89718302,Unlimited,https://yugipedia.com/wiki/Abare_Ushioni,,2022-08-25 09:32:52,,,,Old
Abare Ushioni,89718302,Unlimited,https://yugipedia.com/wiki/Abare_Ushioni,,2022-08-25 09:32:52,,Effect Monster,,New
Abominable Unchained Soul,01966438,Unlimited,https://yugipedia.com/wiki/Abominable_Unchained_Soul,,2022-05-05 16:39:35,,,,Old
Abominable Unchained Soul,01966438,Unlimited,https://yugipedia.com/wiki/Abominable_Unchained_Soul,,2022-05-05 16:39:35,,Effect Monster,,New
Absolute Crusader,70832512,Unlimited,https://yugipedia.com/wiki/Absolute_Crusader,,2020-11-15 04:24:25,,,,Old
Absolute Crusader,70832512,Unlimited,https://yugipedia.com/wiki/Absolute_Crusader,,2020-11-15 04:24:25,,Effect Monster,,New
Absolute King Back Jack,60990740,Unlimited,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2022-12-01 16:10:35,,,,Old
Absolute King Back Jack,60990740,Unlimited,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2022-12-01 16:10:35,,Effect Monster,,New
Absorbing Jar,03900605,Unlimited,https://yugipedia.com/wiki/Absorbing_Jar,,2021-11-06 15:22:32,"('Type',)","('Flip monster',)","('Flip monster',)",Old
Absorbing Jar,03900605,Unlimited,https://yugipedia.com/wiki/Absorbing_Jar,,2021-11-06 15:22:32,"('Type',)",Effect Monster,"('Flip monster',)",New
Absorbing Kid from the Sky,49771608,Unlimited,https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,"('Edited',)",2021-01-06 17:27:20,,,,Old
Absorbing Kid from the Sky,49771608,Unlimited,https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,"('Edited',)",2021-01-06 17:27:20,,Effect Monster,,New
Absorouter Dragon,67748760,Unlimited,https://yugipedia.com/wiki/Absorouter_Dragon,,2021-12-27 19:15:49,,,,Old
Absorouter Dragon,67748760,Unlimited,https://yugipedia.com/wiki/Absorouter_Dragon,,2021-12-27 19:15:49,,Effect Monster,,New
Abyss Actor - Comic Relief,15308295,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,,2022-04-01 12:47:22,,,,Old
Abyss Actor - Comic Relief,15308295,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,,2022-04-01 12:47:22,,Effect Monster,,New
Abyss Actor - Curtain Raiser,44179224,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,,2023-02-09 12:49:14,,,,Old
Abyss Actor - Curtain Raiser,44179224,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,,2023-02-09 12:49:14,,Effect Monster,,New
Abyss Actor - Evil Heel,52240819,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,,2020-03-12 23:08:29,,,,Old
Abyss Actor - Evil Heel,52240819,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,,2020-03-12 23:08:29,,Effect Monster,,New
Abyss Actor - Extras,88412339,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,,2022-04-01 12:55:44,,,,Old
Abyss Actor - Extras,88412339,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,,2022-04-01 12:55:44,,Effect Monster,,New
Abyss Actor - Funky Comedian,99634927,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,,2020-03-12 23:09:45,,,,Old
Abyss Actor - Funky Comedian,99634927,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,,2020-03-12 23:09:45,,Effect Monster,,New
Abyss Actor - Hyper Director,02368215,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,,2021-10-06 00:21:20,,,,Old
Abyss Actor - Hyper Director,02368215,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,,2021-10-06 00:21:20,,Link Monster,,New
Abyss Actor - Leading Lady,24907044,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2022-12-30 14:53:58,,,,Old
Abyss Actor - Leading Lady,24907044,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2022-12-30 14:53:58,,Effect Monster,,New
Abyss Actor - Liberty Dramatist,65477143,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,,2023-02-10 16:24:18,,,,Old
Abyss Actor - Liberty Dramatist,65477143,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,,2023-02-10 16:24:18,,Effect Monster,,New
Abyss Actor - Mellow Madonna,78310590,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,"('Edited',)",2022-04-20 02:49:15,,,,Old
Abyss Actor - Mellow Madonna,78310590,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,"('Edited',)",2022-04-20 02:49:15,,Effect Monster,,New
Abyss Actor - Sassy Rookie,51028231,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,,2020-03-12 23:12:06,,,,Old
Abyss Actor - Sassy Rookie,51028231,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,,2020-03-12 23:12:06,,Effect Monster,,New
Abyss Actor - Super Producer,47404795,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,,2023-02-10 16:09:05,,,,Old
Abyss Actor - Super Producer,47404795,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,,2023-02-10 16:09:05,,Link Monster,,New
Abyss Actor - Superstar,25629622,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2022-12-25 15:47:09,,,,Old
Abyss Actor - Superstar,25629622,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2022-12-25 15:47:09,,Effect Monster,,New
Abyss Actor - Trendy Understudy,39024589,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,,2022-04-01 12:51:54,,,,Old
Abyss Actor - Trendy Understudy,39024589,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,,2022-04-01 12:51:54,,Effect Monster,,New
Abyss Actor - Twinkle Little Star,07279373,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,,2022-04-20 02:36:21,,,,Old
Abyss Actor - Twinkle Little Star,07279373,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,,2022-04-20 02:36:21,,Effect Monster,,New
Abyss Actor - Wild Hope,51391183,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,,2022-04-01 12:56:34,,,,Old
Abyss Actor - Wild Hope,51391183,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,,2022-04-01 12:56:34,,Effect Monster,,New
Abyss Dweller,21044178,Unlimited,https://yugipedia.com/wiki/Abyss_Dweller,,2022-10-10 14:40:57,,,,Old
Abyss Dweller,21044178,Unlimited,https://yugipedia.com/wiki/Abyss_Dweller,,2022-10-10 14:40:57,,Xyz Monster,,New
Abyss Flower,40387124,,https://yugipedia.com/wiki/Abyss_Flower,,2021-10-30 17:01:55,,,,Old
Abyss Flower,40387124,,https://yugipedia.com/wiki/Abyss_Flower,,2021-10-30 17:01:55,,Normal Monster,,New
Abyss Keeper,82184400,Unlimited,https://yugipedia.com/wiki/Abyss_Keeper,,2023-01-01 18:58:59,,,,Old
Abyss Keeper,82184400,Unlimited,https://yugipedia.com/wiki/Abyss_Keeper,,2023-01-01 18:58:59,,Link Monster,,New
Abyss Shark,61496006,Unlimited,https://yugipedia.com/wiki/Abyss_Shark,,2022-06-16 17:42:58,,,,Old
Abyss Shark,61496006,Unlimited,https://yugipedia.com/wiki/Abyss_Shark,,2022-06-16 17:42:58,,Effect Monster,,New
Abyss Soldier,18318842,Unlimited,https://yugipedia.com/wiki/Abyss_Soldier,,2022-04-29 12:29:25,,,,Old
Abyss Soldier,18318842,Unlimited,https://yugipedia.com/wiki/Abyss_Soldier,,2022-04-29 12:29:25,,Effect Monster,,New
Abyss Warrior,88409165,Unlimited,https://yugipedia.com/wiki/Abyss_Warrior,,2021-11-06 15:59:29,,,,Old
Abyss Warrior,88409165,Unlimited,https://yugipedia.com/wiki/Abyss_Warrior,,2021-11-06 15:59:29,,Effect Monster,,New
Abyssal Kingshark,44223284,Unlimited,https://yugipedia.com/wiki/Abyssal_Kingshark,,2022-04-19 18:05:11,,,,Old
Abyssal Kingshark,44223284,Unlimited,https://yugipedia.com/wiki/Abyssal_Kingshark,,2022-04-19 18:05:11,,Effect Monster,,New
Accel Synchro Stardust Dragon,30983281,Not yet released,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,,2023-02-07 14:37:24,,,,Old
Accel Synchro Stardust Dragon,30983281,Not yet released,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,,2023-02-07 14:37:24,,Synchro Monster,,New
Accel Synchron,37675907,Unlimited,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,,"('Tuner monster',)","('Tuner monster',)",Old
Accel Synchron,37675907,Unlimited,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,,Synchro Monster,"('Tuner monster',)",New
Accesscode Talker,86066372,Unlimited,https://yugipedia.com/wiki/Accesscode_Talker,,2022-11-17 14:16:54,,,,Old
Accesscode Talker,86066372,Unlimited,https://yugipedia.com/wiki/Accesscode_Talker,,2022-11-17 14:16:54,,Link Monster,,New
Achacha Archer,98865920,Unlimited,https://yugipedia.com/wiki/Achacha_Archer,,2022-07-25 23:38:59,,,,Old
Achacha Archer,98865920,Unlimited,https://yugipedia.com/wiki/Achacha_Archer,,2022-07-25 23:38:59,,Effect Monster,,New
Achacha Chanbara,62476197,Unlimited,https://yugipedia.com/wiki/Achacha_Chanbara,,2022-07-25 23:38:38,,,,Old
Achacha Chanbara,62476197,Unlimited,https://yugipedia.com/wiki/Achacha_Chanbara,,2022-07-25 23:38:38,,Effect Monster,,New
Achichi @Ignister,15808381,Unlimited,https://yugipedia.com/wiki/Achichi_@Ignister,,2022-05-05 16:35:06,,,,Old
Achichi @Ignister,15808381,Unlimited,https://yugipedia.com/wiki/Achichi_@Ignister,,2022-05-05 16:35:06,,Effect Monster,,New
Acid Crawler,77568553,,https://yugipedia.com/wiki/Acid_Crawler,,2021-07-05 10:32:40,,,,Old
Acid Crawler,77568553,,https://yugipedia.com/wiki/Acid_Crawler,,2021-07-05 10:32:40,,Normal Monster,,New
Acorno,21051977,Unlimited,https://yugipedia.com/wiki/Acorno,,2021-11-06 15:24:17,,,,Old
Acorno,21051977,Unlimited,https://yugipedia.com/wiki/Acorno,,2021-11-06 15:24:17,,Effect Monster,,New
Acrobat Monkey,47372349,Unlimited,https://yugipedia.com/wiki/Acrobat_Monkey,,2021-11-06 15:24:39,,,,Old
Acrobat Monkey,47372349,Unlimited,https://yugipedia.com/wiki/Acrobat_Monkey,,2021-11-06 15:24:39,,Normal Monster,,New
Acrobatic Magician,33656832,Unlimited,https://yugipedia.com/wiki/Acrobatic_Magician,,2021-11-07 04:32:35,,,,Old
Acrobatic Magician,33656832,Unlimited,https://yugipedia.com/wiki/Acrobatic_Magician,,2021-11-07 04:32:35,,Effect Monster,,New
Ad Libitum of Despia,81555617,Unlimited,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,,2022-11-04 01:22:15,,,,Old
Ad Libitum of Despia,81555617,Unlimited,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,,2022-11-04 01:22:15,,Effect Monster,,New
Adamancipator Analyzer,11302671,Unlimited,https://yugipedia.com/wiki/Adamancipator_Analyzer,,2021-10-07 07:57:40,,"('Tuner monster',)","('Tuner monster',)",Old
Adamancipator Analyzer,11302671,Unlimited,https://yugipedia.com/wiki/Adamancipator_Analyzer,,2021-10-07 07:57:40,,Effect Monster,"('Tuner monster',)",New
Adamancipator Crystal - Dragite,10286023,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,,2023-02-09 17:48:39,,,,Old
Adamancipator Crystal - Dragite,10286023,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,,2023-02-09 17:48:39,,Effect Monster,,New
Adamancipator Crystal - Leonite,47897376,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,,2023-02-09 17:46:24,,,,Old
Adamancipator Crystal - Leonite,47897376,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,,2023-02-09 17:46:24,,Effect Monster,,New
Adamancipator Crystal - Raptite,74891384,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,,2023-02-09 17:47:40,,,,Old
Adamancipator Crystal - Raptite,74891384,Unlimited,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,,2023-02-09 17:47:40,,Effect Monster,,New
Adamancipator Researcher,85914562,Unlimited,https://yugipedia.com/wiki/Adamancipator_Researcher,,2023-02-09 17:43:56,,"('Tuner monster',)","('Tuner monster',)",Old
Adamancipator Researcher,85914562,Unlimited,https://yugipedia.com/wiki/Adamancipator_Researcher,,2023-02-09 17:43:56,,Effect Monster,"('Tuner monster',)",New
Adamancipator Risen - Dragite,09464441,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,,2021-10-07 07:36:18,,,,Old
Adamancipator Risen - Dragite,09464441,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,,2021-10-07 07:36:18,,Synchro Monster,,New
Adamancipator Risen - Leonite,47674738,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,,2023-02-09 17:49:50,,,,Old
Adamancipator Risen - Leonite,47674738,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,,2023-02-09 17:49:50,,Synchro Monster,,New
Adamancipator Risen - Raptite,73079836,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Raptite,,2023-02-09 17:51:16,,,,Old
Adamancipator Risen - Raptite,73079836,Unlimited,https://yugipedia.com/wiki/Adamancipator_Risen_-_Raptite,,2023-02-09 17:51:16,,Synchro Monster,,New
Adamancipator Seeker,48519867,Unlimited,https://yugipedia.com/wiki/Adamancipator_Seeker,,2023-02-09 17:42:51,,"('Tuner monster',)","('Tuner monster',)",Old
Adamancipator Seeker,48519867,Unlimited,https://yugipedia.com/wiki/Adamancipator_Seeker,,2023-02-09 17:42:51,,Effect Monster,"('Tuner monster',)",New
Adhesive Explosive,53828396,Unlimited,https://yugipedia.com/wiki/Adhesive_Explosive,,2020-11-15 04:46:04,,,,Old
Adhesive Explosive,53828396,Unlimited,https://yugipedia.com/wiki/Adhesive_Explosive,,2020-11-15 04:46:04,,Effect Monster,,New
"Adreus, Keeper of Armageddon",94119480,Unlimited,"https://yugipedia.com/wiki/Adreus,_Keeper_of_Armageddon",,2021-11-06 16:01:56,,,,Old
"Adreus, Keeper of Armageddon",94119480,Unlimited,"https://yugipedia.com/wiki/Adreus,_Keeper_of_Armageddon",,2021-11-06 16:01:56,,Xyz Monster,,New
Adularia of the June Moon,15464375,,https://yugipedia.com/wiki/Adularia_of_the_June_Moon,,2023-02-10 02:35:34,,,,Old
Adularia of the June Moon,15464375,,https://yugipedia.com/wiki/Adularia_of_the_June_Moon,,2023-02-10 02:35:34,,Effect Monster,,New
Advanced Crystal Beast Amber Mammoth,18847598,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Amber_Mammoth,,2022-11-18 12:11:22,,,,Old
Advanced Crystal Beast Amber Mammoth,18847598,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Amber_Mammoth,,2022-11-18 12:11:22,,Effect Monster,,New
Advanced Crystal Beast Amethyst Cat,19963185,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Amethyst_Cat,,2022-11-18 12:10:54,,,,Old
Advanced Crystal Beast Amethyst Cat,19963185,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Amethyst_Cat,,2022-11-18 12:10:54,,Effect Monster,,New
Advanced Crystal Beast Cobalt Eagle,45236142,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Cobalt_Eagle,,2022-11-18 12:11:29,,,,Old
Advanced Crystal Beast Cobalt Eagle,45236142,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Cobalt_Eagle,,2022-11-18 12:11:29,,Effect Monster,,New
Advanced Crystal Beast Emerald Tortoise,46358784,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Emerald_Tortoise,,2022-11-18 12:11:02,,,,Old
Advanced Crystal Beast Emerald Tortoise,46358784,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Emerald_Tortoise,,2022-11-18 12:11:02,,Effect Monster,,New
Advanced Crystal Beast Ruby Carbuncle,83575471,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Ruby_Carbuncle,,2022-11-18 12:10:40,,,,Old
Advanced Crystal Beast Ruby Carbuncle,83575471,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Ruby_Carbuncle,,2022-11-18 12:10:40,,Effect Monster,,New
Advanced Crystal Beast Sapphire Pegasus,71620241,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Sapphire_Pegasus,,2022-11-18 12:11:39,,,,Old
Advanced Crystal Beast Sapphire Pegasus,71620241,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Sapphire_Pegasus,,2022-11-18 12:11:39,,Effect Monster,,New
Advanced Crystal Beast Topaz Tiger,72843899,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Topaz_Tiger,,2022-11-18 12:11:13,,,,Old
Advanced Crystal Beast Topaz Tiger,72843899,Unlimited,https://yugipedia.com/wiki/Advanced_Crystal_Beast_Topaz_Tiger,,2022-11-18 12:11:13,,Effect Monster,,New
Aegaion the Sea Castrum,10678778,Unlimited,https://yugipedia.com/wiki/Aegaion_the_Sea_Castrum,,2021-03-08 05:12:46,,,,Old
Aegaion the Sea Castrum,10678778,Unlimited,https://yugipedia.com/wiki/Aegaion_the_Sea_Castrum,,2021-03-08 05:12:46,,Xyz Monster,,New
Aeropixthree,83094004,Unlimited,https://yugipedia.com/wiki/Aeropixthree,,2022-09-15 23:26:38,,"('Tuner monster',)","('Tuner monster',)",Old
Aeropixthree,83094004,Unlimited,https://yugipedia.com/wiki/Aeropixthree,,2022-09-15 23:26:38,,Effect Monster,"('Tuner monster',)",New
"Aether, the Empowering Dragon",56804361,Unlimited,"https://yugipedia.com/wiki/Aether,_the_Empowering_Dragon",,2020-03-12 23:41:06,,,,Old
"Aether, the Empowering Dragon",56804361,Unlimited,"https://yugipedia.com/wiki/Aether,_the_Empowering_Dragon",,2020-03-12 23:41:06,,Effect Monster,,New
"Aether, the Evil Empowering Dragon",28865322,Unlimited,"https://yugipedia.com/wiki/Aether,_the_Evil_Empowering_Dragon",,2020-03-12 23:41:38,,,,Old
"Aether, the Evil Empowering Dragon",28865322,Unlimited,"https://yugipedia.com/wiki/Aether,_the_Evil_Empowering_Dragon",,2020-03-12 23:41:38,,Effect Monster,,New
Agave Dragon,02411269,Unlimited,https://yugipedia.com/wiki/Agave_Dragon,,2020-03-12 23:42:41,,,,Old
Agave Dragon,02411269,Unlimited,https://yugipedia.com/wiki/Agave_Dragon,,2020-03-12 23:42:41,,Link Monster,,New
"Aggiba, the Malevolent Sh'nn S'yo",,Illegal,"https://yugipedia.com/wiki/Aggiba,_the_Malevolent_Sh%27nn_S%27yo",,2023-02-16 11:11:14,,,,Old
"Aggiba, the Malevolent Sh'nn S'yo",,Illegal,"https://yugipedia.com/wiki/Aggiba,_the_Malevolent_Sh%27nn_S%27yo",,2023-02-16 11:11:14,,Effect Monster,,New
Agido,16135253,Unlimited,https://yugipedia.com/wiki/Agido,,2022-04-13 12:40:39,,,,Old
Agido,16135253,Unlimited,https://yugipedia.com/wiki/Agido,,2022-04-13 12:40:39,,Effect Monster,,New
Agido the Ancient Sentinel,62320425,Limited,https://yugipedia.com/wiki/Agido_the_Ancient_Sentinel,,2022-11-04 07:10:04,,,,Old
Agido the Ancient Sentinel,62320425,Limited,https://yugipedia.com/wiki/Agido_the_Ancient_Sentinel,,2022-11-04 07:10:04,,Effect Monster,,New
"Ahrima, the Wicked Warden",86377375,Unlimited,"https://yugipedia.com/wiki/Ahrima,_the_Wicked_Warden",,2021-11-01 01:08:41,"('Name',)",,,Old
"Ahrima, the Wicked Warden",86377375,Unlimited,"https://yugipedia.com/wiki/Ahrima,_the_Wicked_Warden",,2021-11-01 01:08:41,"('Name',)",Effect Monster,,New
Aileron,96084564,Unlimited,https://yugipedia.com/wiki/Aileron,,2022-11-04 07:06:26,,,,Old
Aileron,96084564,Unlimited,https://yugipedia.com/wiki/Aileron,,2022-11-04 07:06:26,,Effect Monster,,New
Air Armor Ninja,69023354,Unlimited,https://yugipedia.com/wiki/Air_Armor_Ninja,,2023-01-03 20:23:02,,,,Old
Air Armor Ninja,69023354,Unlimited,https://yugipedia.com/wiki/Air_Armor_Ninja,,2023-01-03 20:23:02,,Effect Monster,,New
Air Eater,08353769,,https://yugipedia.com/wiki/Air_Eater,,2021-11-06 15:26:11,,,,Old
Air Eater,08353769,,https://yugipedia.com/wiki/Air_Eater,,2021-11-06 15:26:11,,Normal Monster,,New
Airknight Parshath,18036057,Unlimited,https://yugipedia.com/wiki/Airknight_Parshath,,2022-04-24 04:03:35,,,,Old
Airknight Parshath,18036057,Unlimited,https://yugipedia.com/wiki/Airknight_Parshath,,2022-04-24 04:03:35,,Effect Monster,,New
Airorca,84747429,Unlimited,https://yugipedia.com/wiki/Airorca,,2020-10-31 04:59:31,,,,Old
Airorca,84747429,Unlimited,https://yugipedia.com/wiki/Airorca,,2020-10-31 04:59:31,,Effect Monster,,New
Aitsu,48202661,Unlimited,https://yugipedia.com/wiki/Aitsu,,2021-11-06 15:26:34,,,,Old
Aitsu,48202661,Unlimited,https://yugipedia.com/wiki/Aitsu,,2021-11-06 15:26:34,,Normal Monster,,New
"Aiwass, the Magistus Spell Spirit",35877582,Unlimited,"https://yugipedia.com/wiki/Aiwass,_the_Magistus_Spell_Spirit",,2022-10-02 13:36:04,,,,Old
"Aiwass, the Magistus Spell Spirit",35877582,Unlimited,"https://yugipedia.com/wiki/Aiwass,_the_Magistus_Spell_Spirit",,2022-10-02 13:36:04,,Fusion Monster,,New
Akakieisu,38035986,,https://yugipedia.com/wiki/Akakieisu,,2021-11-06 16:04:05,,,,Old
Akakieisu,38035986,,https://yugipedia.com/wiki/Akakieisu,,2021-11-06 16:04:05,,Normal Monster,,New
Akashic Magician,28776350,Unlimited,https://yugipedia.com/wiki/Akashic_Magician,,2022-04-20 02:34:11,,,,Old
Akashic Magician,28776350,Unlimited,https://yugipedia.com/wiki/Akashic_Magician,,2022-04-20 02:34:11,,Link Monster,,New
Akihiron,36904469,,https://yugipedia.com/wiki/Akihiron,,2021-11-06 15:27:02,,,,Old
Akihiron,36904469,,https://yugipedia.com/wiki/Akihiron,,2021-11-06 15:27:02,,Normal Monster,,New
"Akz, the Pumer",38837163,Unlimited,"https://yugipedia.com/wiki/Akz,_the_Pumer",,2021-11-06 16:04:26,,,,Old
"Akz, the Pumer",38837163,Unlimited,"https://yugipedia.com/wiki/Akz,_the_Pumer",,2021-11-06 16:04:26,,Effect Monster,,New
Al-Lumi'raj,25795273,Unlimited,https://yugipedia.com/wiki/Al-Lumi%27raj,,2020-11-15 04:48:56,,"('Tuner monster',)","('Tuner monster',)",Old
