Name,Password,Effect type,Archseries,TCG status,Artwork,Page URL,Modification date,Errata,Primary type,Version
A-Assault Core,30012506,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('A-to-Z',)",Unlimited,,https://yugipedia.com/wiki/A-Assault_Core,2022-07-24 09:50:49,,"('Effect Monster',)",New
A-Team: Trap Disposal Unit,13026402,"('Quick Effect',)",,Unlimited,,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,2021-03-06 20:47:44,,"('Effect Monster',)",Old
A-Team: Trap Disposal Unit,13026402,"('Quick Effect',)",,Unlimited,,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,2021-03-06 20:47:44,,"('Effect Monster',)",New
A-to-Z-Dragon Buster Cannon,65172015,"('Quick Effect', 'Summoning condition')","('A-to-Z',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,2022-11-11 13:37:01,,"('Effect Monster', 'Fusion Monster')",Old
A-to-Z-Dragon Buster Cannon,65172015,"('Quick Effect', 'Summoning condition')","('A-to-Z',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,2022-11-11 13:37:01,,"('Effect Monster', 'Fusion Monster')",New
A/D Changer,96146814,"('Ignition Effect',)","('Change',)",Unlimited,,https://yugipedia.com/wiki/A/D_Changer,2022-03-31 12:47:56,,"('Effect Monster',)",Old
A/D Changer,96146814,"('Ignition Effect',)","('Change',)",Unlimited,,https://yugipedia.com/wiki/A/D_Changer,2022-03-31 12:47:56,,"('Effect Monster',)",New
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')","('A-to-Z',)",Unlimited,,https://yugipedia.com/wiki/ABC-Dragon_Buster,2021-07-10 13:42:21,,"('Effect Monster', 'Fusion Monster')",Old
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')","('A-to-Z',)",Unlimited,,https://yugipedia.com/wiki/ABC-Dragon_Buster,2021-07-10 13:42:21,,"('Effect Monster', 'Fusion Monster')",New
Abaki,12694768,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abaki,2021-11-06 16:29:42,,"('Effect Monster',)",Old
Abaki,12694768,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abaki,2021-11-06 16:29:42,,"('Effect Monster',)",New
Abare Ushioni,89718302,"('Ignition Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abare_Ushioni,2022-08-25 09:32:52,,"('Effect Monster',)",Old
Abare Ushioni,89718302,"('Ignition Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abare_Ushioni,2022-08-25 09:32:52,,"('Effect Monster',)",New
Abominable Unchained Soul,01966438,"('Condition', 'Trigger Effect')","('Unchained', 'Unchained Soul')",Unlimited,,https://yugipedia.com/wiki/Abominable_Unchained_Soul,2022-05-05 16:39:35,,"('Effect Monster',)",Old
Abominable Unchained Soul,01966438,"('Condition', 'Trigger Effect')","('Unchained', 'Unchained Soul')",Unlimited,,https://yugipedia.com/wiki/Abominable_Unchained_Soul,2022-05-05 16:39:35,,"('Effect Monster',)",New
Absolute Crusader,70832512,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Absolute_Crusader,2020-11-15 04:24:25,,"('Effect Monster',)",Old
Absolute Crusader,70832512,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Absolute_Crusader,2020-11-15 04:24:25,,"('Effect Monster',)",New
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,,https://yugipedia.com/wiki/Absolute_King_Back_Jack,2022-12-01 16:10:35,,"('Effect Monster',)",Old
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,,https://yugipedia.com/wiki/Absolute_King_Back_Jack,2022-12-01 16:10:35,,"('Effect Monster',)",New
Absorbing Jar,03900605,"('Flip effect',)","('Jar',)",Unlimited,,https://yugipedia.com/wiki/Absorbing_Jar,2021-11-06 15:22:32,"('Type',)","('Effect Monster',)",Old
Absorbing Jar,03900605,"('Flip effect',)","('Jar',)",Unlimited,,https://yugipedia.com/wiki/Absorbing_Jar,2021-11-06 15:22:32,"('Type',)","('Effect Monster',)",New
Absorbing Kid from the Sky,49771608,"('Trigger Effect',)",,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,2021-01-06 17:27:20,,"('Effect Monster',)",Old
Absorbing Kid from the Sky,49771608,"('Trigger Effect',)",,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,2021-01-06 17:27:20,,"('Effect Monster',)",New
Absorouter Dragon,67748760,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,,https://yugipedia.com/wiki/Absorouter_Dragon,2021-12-27 19:15:49,,"('Effect Monster',)",Old
Absorouter Dragon,67748760,"('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,,https://yugipedia.com/wiki/Absorouter_Dragon,2021-12-27 19:15:49,,"('Effect Monster',)",New
Abyss Actor - Comic Relief,15308295,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,2022-04-01 12:47:22,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Comic Relief,15308295,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,2022-04-01 12:47:22,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Curtain Raiser,44179224,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,2023-01-03 23:00:28,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Curtain Raiser,44179224,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,2023-02-09 12:49:14,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Evil Heel,52240819,"('Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,2020-03-12 23:08:29,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Evil Heel,52240819,"('Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,2020-03-12 23:08:29,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Extras,88412339,"('Condition', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,2022-04-01 12:55:44,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Extras,88412339,"('Condition', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,2022-04-01 12:55:44,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Funky Comedian,99634927,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,2020-03-12 23:09:45,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Funky Comedian,99634927,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,2020-03-12 23:09:45,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Hyper Director,02368215,"('Condition', 'Ignition Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,2021-10-06 00:21:20,,"('Effect Monster', 'Link Monster')",Old
Abyss Actor - Hyper Director,02368215,"('Condition', 'Ignition Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,2021-10-06 00:21:20,,"('Effect Monster', 'Link Monster')",New
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,2022-12-30 14:53:58,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,2022-12-30 14:53:58,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Liberty Dramatist,65477143,"('Condition', 'Trigger Effect')","('Abyss Actor',)",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,2023-02-07 01:55:26,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Liberty Dramatist,65477143,"('Condition', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,2023-02-10 16:24:18,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Mellow Madonna,78310590,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,2022-04-20 02:49:15,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Mellow Madonna,78310590,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,2022-04-20 02:49:15,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Sassy Rookie,51028231,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,2020-03-12 23:12:06,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Sassy Rookie,51028231,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,2020-03-12 23:12:06,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Super Producer,47404795,"('Condition', 'Quick Effect')","('Abyss Actor',)",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,2023-02-07 02:16:57,,"('Effect Monster', 'Link Monster')",Old
Abyss Actor - Super Producer,47404795,"('Condition', 'Quick Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,2023-02-10 16:09:05,,"('Effect Monster', 'Link Monster')",New
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,2022-12-25 15:47:09,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,2022-12-25 15:47:09,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Trendy Understudy,39024589,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,2022-04-01 12:51:54,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Trendy Understudy,39024589,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,2022-04-01 12:51:54,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Twinkle Little Star,07279373,"('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,2022-04-20 02:36:21,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Twinkle Little Star,07279373,"('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,2022-04-20 02:36:21,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actor - Wild Hope,51391183,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor', 'Utopic')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,2022-04-01 12:56:34,,"('Effect Monster', 'Pendulum Monster')",Old
Abyss Actor - Wild Hope,51391183,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor', 'Utopic')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,2022-04-01 12:56:34,,"('Effect Monster', 'Pendulum Monster')",New
Abyss Actors' Dress Rehearsal,06004133,"('Effect',)","('Abyss Actor',)",Not yet released,,https://yugipedia.com/wiki/Abyss_Actors%27_Dress_Rehearsal,2023-02-07 02:23:40,,,Old
Abyss Actors' Dress Rehearsal,06004133,"('Effect',)","('Abyss Actor',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actors%27_Dress_Rehearsal,2023-02-10 16:26:25,,,New
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",,Unlimited,,https://yugipedia.com/wiki/Abyss_Dweller,2022-10-10 14:40:57,,"('Effect Monster', 'Xyz Monster')",Old
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",,Unlimited,,https://yugipedia.com/wiki/Abyss_Dweller,2022-10-10 14:40:57,,"('Effect Monster', 'Xyz Monster')",New
Abyss Flower,40387124,,,,,https://yugipedia.com/wiki/Abyss_Flower,2021-10-30 17:01:55,,"('Normal Monster',)",Old
Abyss Flower,40387124,,,,,https://yugipedia.com/wiki/Abyss_Flower,2021-10-30 17:01:55,,"('Normal Monster',)",New
Abyss Keeper,82184400,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss-',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Keeper,2023-01-01 18:58:59,,"('Effect Monster', 'Link Monster')",Old
Abyss Keeper,82184400,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Abyss-',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Keeper,2023-01-01 18:58:59,,"('Effect Monster', 'Link Monster')",New
Abyss Script - Dramatic Story,33503878,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",Not yet released,,https://yugipedia.com/wiki/Abyss_Script_-_Dramatic_Story,2023-02-07 21:51:18,,,Old
Abyss Script - Dramatic Story,33503878,"('Condition', 'Effect', 'Trigger Effect')","('Abyss Script',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Script_-_Dramatic_Story,2023-02-10 15:48:44,,,New
Abyss Shark,61496006,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Abyss-', 'Shark (series)')",Unlimited,,https://yugipedia.com/wiki/Abyss_Shark,2022-06-16 17:42:58,,"('Effect Monster',)",Old
Abyss Shark,61496006,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Abyss-', 'Shark (series)')",Unlimited,,https://yugipedia.com/wiki/Abyss_Shark,2022-06-16 17:42:58,,"('Effect Monster',)",New
Abyss Soldier,18318842,"('Ignition Effect',)","('Abyss-',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Soldier,2022-04-29 12:29:25,,"('Effect Monster',)",Old
Abyss Soldier,18318842,"('Ignition Effect',)","('Abyss-',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Soldier,2022-04-29 12:29:25,,"('Effect Monster',)",New
Abyss Warrior,88409165,"('Ignition Effect',)","('Abyss-', 'Warrior (archetype)')",Unlimited,,https://yugipedia.com/wiki/Abyss_Warrior,2021-11-06 15:59:29,,"('Effect Monster',)",Old
Abyss Warrior,88409165,"('Ignition Effect',)","('Abyss-', 'Warrior (archetype)')",Unlimited,,https://yugipedia.com/wiki/Abyss_Warrior,2021-11-06 15:59:29,,"('Effect Monster',)",New
Abyssal Kingshark,44223284,"('Continuous Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abyssal_Kingshark,2022-04-19 18:05:11,,"('Effect Monster',)",Old
Abyssal Kingshark,44223284,"('Continuous Effect',)",,Unlimited,,https://yugipedia.com/wiki/Abyssal_Kingshark,2022-04-19 18:05:11,,"('Effect Monster',)",New
Accel Synchro Stardust Dragon,30983281,"('Condition', 'Quick Effect', 'Trigger Effect')","('Stardust (archetype)',)",Not yet released,,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,2023-02-07 14:37:24,,"('Effect Monster', 'Synchro Monster')",Old
Accel Synchro Stardust Dragon,30983281,"('Condition', 'Quick Effect', 'Trigger Effect')","('Stardust (archetype)',)",Not yet released,,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,2023-02-07 14:37:24,,"('Effect Monster', 'Synchro Monster')",New
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')","('Synchron',)",Unlimited,,https://yugipedia.com/wiki/Accel_Synchron,2022-07-21 16:34:07,,"('Effect Monster', 'Synchro Monster')",Old
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')","('Synchron',)",Unlimited,,https://yugipedia.com/wiki/Accel_Synchron,2022-07-21 16:34:07,,"('Effect Monster', 'Synchro Monster')",New
Accesscode Talker,86066372,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Code Talker (archetype)',)",Unlimited,,https://yugipedia.com/wiki/Accesscode_Talker,2022-11-17 14:16:54,,"('Effect Monster', 'Link Monster')",Old
Accesscode Talker,86066372,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Code Talker (archetype)',)",Unlimited,,https://yugipedia.com/wiki/Accesscode_Talker,2022-11-17 14:16:54,,"('Effect Monster', 'Link Monster')",New
Achacha Archer,98865920,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Achacha_Archer,2022-07-25 23:38:59,,"('Effect Monster',)",Old
Achacha Archer,98865920,"('Trigger Effect',)",,Unlimited,,https://yugipedia.com/wiki/Achacha_Archer,2022-07-25 23:38:59,,"('Effect Monster',)",New
Achacha Chanbara,62476197,"('Quick Effect',)",,Unlimited,,https://yugipedia.com/wiki/Achacha_Chanbara,2022-07-25 23:38:38,,"('Effect Monster',)",Old
Achacha Chanbara,62476197,"('Quick Effect',)",,Unlimited,,https://yugipedia.com/wiki/Achacha_Chanbara,2022-07-25 23:38:38,,"('Effect Monster',)",New
Achichi @Ignister,15808381,"('Condition', 'Trigger Effect')","('@Ignister',)",Unlimited,,https://yugipedia.com/wiki/Achichi_@Ignister,2022-05-05 16:35:06,,"('Effect Monster',)",Old
Achichi @Ignister,15808381,"('Condition', 'Trigger Effect')","('@Ignister',)",Unlimited,,https://yugipedia.com/wiki/Achichi_@Ignister,2022-05-05 16:35:06,,"('Effect Monster',)",New
Acid Crawler,77568553,,,,,https://yugipedia.com/wiki/Acid_Crawler,2021-07-05 10:32:40,,"('Normal Monster',)",Old
Acid Crawler,77568553,,,,,https://yugipedia.com/wiki/Acid_Crawler,2021-07-05 10:32:40,,"('Normal Monster',)",New
Acorno,21051977,"('Ignition Effect',)",,Unlimited,,https://yugipedia.com/wiki/Acorno,2021-11-06 15:24:17,,"('Effect Monster',)",Old
Acorno,21051977,"('Ignition Effect',)",,Unlimited,,https://yugipedia.com/wiki/Acorno,2021-11-06 15:24:17,,"('Effect Monster',)",New
Acrobat Monkey,47372349,,,Unlimited,,https://yugipedia.com/wiki/Acrobat_Monkey,2021-11-06 15:24:39,,"('Normal Monster',)",Old
Acrobat Monkey,47372349,,,Unlimited,,https://yugipedia.com/wiki/Acrobat_Monkey,2021-11-06 15:24:39,,"('Normal Monster',)",New
Acrobatic Magician,33656832,"('Condition', 'Trigger Effect')","('Magician',)",Unlimited,,https://yugipedia.com/wiki/Acrobatic_Magician,2021-11-07 04:32:35,,"('Effect Monster', 'Pendulum Monster')",Old
Acrobatic Magician,33656832,"('Condition', 'Trigger Effect')","('Magician',)",Unlimited,,https://yugipedia.com/wiki/Acrobatic_Magician,2021-11-07 04:32:35,,"('Effect Monster', 'Pendulum Monster')",New
Ad Libitum of Despia,81555617,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Despia',)",Unlimited,,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,2022-11-04 01:22:15,,"('Effect Monster',)",Old
Ad Libitum of Despia,81555617,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Despia',)",Unlimited,,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,2022-11-04 01:22:15,,"('Effect Monster',)",New
Adamancipator Analyzer,11302671,"('Condition', 'Ignition Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Analyzer,2021-10-07 07:57:40,,"('Effect Monster',)",Old
Adamancipator Analyzer,11302671,"('Condition', 'Ignition Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Analyzer,2021-10-07 07:57:40,,"('Effect Monster',)",New
Adamancipator Crystal - Dragite,10286023,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,2021-10-07 07:57:14,,"('Effect Monster',)",Old
Adamancipator Crystal - Dragite,10286023,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,2023-02-09 17:48:39,,"('Effect Monster',)",New
Adamancipator Crystal - Leonite,47897376,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,2021-10-07 07:57:28,,"('Effect Monster',)",Old
Adamancipator Crystal - Leonite,47897376,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,2023-02-09 17:46:24,,"('Effect Monster',)",New
Adamancipator Crystal - Raptite,74891384,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,2021-10-07 07:57:19,,"('Effect Monster',)",Old
Adamancipator Crystal - Raptite,74891384,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,2023-02-09 17:47:40,,"('Effect Monster',)",New
Adamancipator Researcher,85914562,"('Condition', 'Ignition Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Researcher,2022-04-20 02:41:50,,"('Effect Monster',)",Old
Adamancipator Researcher,85914562,"('Condition', 'Ignition Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Researcher,2023-02-09 17:43:56,,"('Effect Monster',)",New
Adamancipator Risen - Dragite,09464441,"('Condition', 'Ignition Effect', 'Quick Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,2021-10-07 07:36:18,,"('Effect Monster', 'Synchro Monster')",Old
Adamancipator Risen - Dragite,09464441,"('Condition', 'Ignition Effect', 'Quick Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,2021-10-07 07:36:18,,"('Effect Monster', 'Synchro Monster')",New
Adamancipator Risen - Leonite,47674738,"('Condition', 'Ignition Effect', 'Quick Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,2021-10-07 07:57:03,,"('Effect Monster', 'Synchro Monster')",Old
Adamancipator Risen - Leonite,47674738,"('Condition', 'Ignition Effect', 'Quick Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,2023-02-09 17:49:50,,"('Effect Monster', 'Synchro Monster')",New
Adamancipator Risen - Raptite,73079836,"('Condition', 'Ignition Effect', 'Quick Effect')","('Adamancipator',)",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Raptite,2022-04-20 02:31:43,,"('Effect Monster', 'Synchro Monster')",Old
