Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Fire Ejection,11654067,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:54:56,,New
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')",Semi-Limited,Semi-Limited,2023-05-23 00:36:16,"('Any',)",Old
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Semi-Limited,2023-05-23 00:36:16,"('Any',)",New
Gravitic Orb,29216198,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",Old
Gravitic Orb,29216198,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:28,"('Type',)",New
Number C79: Battlin' Boxer Commander Caesar,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-04-13 16:08:32,,Old
Number C79: Battlin' Boxer Commander Caesar,10300821,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:12:00,,New
Salamangreat Burst Gryphon,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-05-11 16:36:16,,Old
Salamangreat Burst Gryphon,10140443,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:25:04,,New
Salamangreat Charge,,"('Condition', 'Effect')",,Not yet released,2023-05-10 02:25:04,,Old
Salamangreat Charge,83533296,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:29:20,,New
Salamangreat Raging Phoenix,,"('Condition', 'Trigger Effect')",,Not yet released,2023-05-11 16:53:20,,Old
Salamangreat Raging Phoenix,57134592,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:27:12,,New
Salamangreat Revive,,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2023-05-10 02:27:12,,Old
Salamangreat Revive,19027895,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-05-27 10:29:20,,New
Salamangreat Teeger,,"('Condition', 'Ignition Effect', 'Unclassified effect')",,Not yet released,2023-05-10 01:48:48,,Old
Salamangreat Teeger,84755744,"('Condition', 'Ignition Effect', 'Unclassified effect')",,Unlimited,2023-05-27 10:22:56,,New
Salamangreat Wheesel,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-05-10 01:36:00,,Old
Salamangreat Wheesel,57357130,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:22:56,,New
Salamangreat of Fire,,"('Condition', 'Trigger Effect')",,Not yet released,2023-05-23 12:09:36,,Old
Salamangreat of Fire,11962031,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:20:48,,New
Seventh Force,,"('Effect',)",,Not yet released,2023-05-10 15:25:52,,Old
Seventh Force,83293635,"('Effect',)",,Unlimited,2023-05-27 11:16:16,,New
Volcanic Blaze Accelerator,,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",,Not yet released,2023-04-14 17:31:44,,Old
Volcanic Blaze Accelerator,85250352,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",,Unlimited,2023-05-27 10:52:48,,New
Volcanic Emission,,"('Condition', 'Effect')",,Not yet released,2023-05-17 00:59:44,,Old
Volcanic Emission,58143766,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:54:56,,New
Volcanic Emperor,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2023-04-14 16:59:44,,Old
Volcanic Emperor,46412900,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:48:32,,New
Volcanic Inferno,,"('Condition', 'Quick-like Effect')",,Not yet released,2023-04-14 17:46:40,,Old
Volcanic Inferno,84138874,"('Condition', 'Quick-like Effect')",,Unlimited,2023-05-27 10:57:04,,New
Volcanic Rimfire,,"('Trigger Effect',)",,Not yet released,2023-04-14 17:23:12,,Old
Volcanic Rimfire,59805313,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:50:40,,New
Volcanic Trooper,,"('Condition', 'Trigger Effect')",,Not yet released,2023-04-14 17:06:08,,Old
Volcanic Trooper,22411609,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:50:40,,New
