Card number,Region,Version
CBLZ-SP084,ES,Old
CBLZ-SP085,SP,New
CBLZ-SP085,ES,Old
CBLZ-SP086,ES,Old
CBLZ-SP086,SP,New
CBLZ-SP087,SP,New
CBLZ-SP087,ES,Old
CBLZ-SP088,SP,New
CBLZ-SP088,ES,Old
CBLZ-SP089,SP,New
CBLZ-SP089,ES,Old
CBLZ-SP090,SP,New
CBLZ-SP090,ES,Old
CBLZ-SP091,SP,New
CBLZ-SP091,ES,Old
CBLZ-SP092,SP,New
CBLZ-SP092,ES,Old
CBLZ-SP093,SP,New
CBLZ-SP093,ES,Old
CBLZ-SP094,ES,Old
CBLZ-SP094,SP,New
CBLZ-SP095,SP,New
CBLZ-SP095,ES,Old
CBLZ-SP096,SP,New
CBLZ-SP096,ES,Old
CBLZ-SP097,SP,New
CBLZ-SP097,ES,Old
CBLZ-SP098,SP,New
CBLZ-SP098,ES,Old
CBLZ-SP099,ES,Old
CBLZ-SP099,SP,New
