Name,Password,Archseries,Effect type,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Version
"Brionac, the Dragon of Icy Malevolence",65892310,,"('Condition', 'Trigger Effect')",Unlimited,"Brionac, the Dragon of Icy Malevolence","https://yugipedia.com/wiki/Brionac,_the_Dragon_of_Icy_Malevolence",,2023-07-21 09:55:39,,New
Canopic Protector,,,"('Condition', 'Quick-like Effect', 'Trigger Effect')",Not yet released,Canopic Protector,https://yugipedia.com/wiki/Canopic_Protector,,2023-06-14 01:07:11,,Old
Canopic Protector,01490690,,"('Condition', 'Quick-like Effect', 'Trigger Effect')",Unlimited,Canopic Protector,https://yugipedia.com/wiki/Canopic_Protector,,2023-07-22 16:10:07,,New
Card Scanner,77066768,,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,Card Scanner,https://yugipedia.com/wiki/Card_Scanner,,2023-07-22 15:54:00,,New
Concours de Cuisine (Confectionery Contest),,,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Concours de Cuisine (Confectionery Contest),https://yugipedia.com/wiki/Concours_de_Cuisine_(Confectionery_Contest),,2023-06-14 01:45:36,,Old
Concours de Cuisine (Confectionery Contest),14283055,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Concours de Cuisine (Confectionery Contest),https://yugipedia.com/wiki/Concours_de_Cuisine_(Confectionery_Contest),,2023-07-22 15:51:47,,New
Crystal God Tistina,,"('Tistina',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Crystal God Tistina,https://yugipedia.com/wiki/Crystal_God_Tistina,,2023-07-15 03:05:08,,Old
Crystal God Tistina,86999951,"('Tistina',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Crystal God Tistina,https://yugipedia.com/wiki/Crystal_God_Tistina,,2023-07-19 23:51:35,,New
D.D. Unicorn Knight,95291684,"('D.D.',)","('Summoning condition', 'Trigger Effect')",Unlimited,D.D. Unicorn Knight,https://yugipedia.com/wiki/D.D._Unicorn_Knight,,2023-03-18 10:49:45,,Old
D.D. Unicorn Knight,95291684,"('D.D.',)","('Condition', 'Lingering effect', 'Summoning condition', 'Trigger Effect')",Unlimited,D.D. Unicorn Knight,https://yugipedia.com/wiki/D.D._Unicorn_Knight,,2023-07-20 20:47:17,,New
Dark Hole Dragon,,"('Hole',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Dark Hole Dragon,https://yugipedia.com/wiki/Dark_Hole_Dragon,,2023-07-16 16:02:41,,Old
Dark Hole Dragon,72880377,"('Hole',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Dark Hole Dragon,https://yugipedia.com/wiki/Dark_Hole_Dragon,,2023-07-22 06:41:49,,New
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-03-18 11:57:40,"('Name', 'Type')",Old
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-07-01 09:33:32,"('Name', 'Type')",Old
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-07-21 03:05:48,"('Name', 'Type')",New
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-07-20 22:38:13,"('Name', 'Type')",New
Diabellestarr the Dark Witch,,"('Diabellestarr',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,Diabellestarr the Dark Witch,https://yugipedia.com/wiki/Diabellestarr_the_Dark_Witch,,2023-07-14 13:30:12,,Old
Diabellestarr the Dark Witch,72270339,"('Diabellestarr',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Diabellestarr the Dark Witch,https://yugipedia.com/wiki/Diabellestarr_the_Dark_Witch,,2023-07-22 00:39:59,,New
Divine Domain Baatistina,,"('Tistina',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Divine Domain Baatistina,https://yugipedia.com/wiki/Divine_Domain_Baatistina,,2023-07-16 00:21:39,,Old
Divine Domain Baatistina,12397569,"('Tistina',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Divine Domain Baatistina,https://yugipedia.com/wiki/Divine_Domain_Baatistina,,2023-07-19 23:51:33,,New
"Duamutef, Blessing of Horus",,"('Horus',)","('Condition', 'Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,"Duamutef, Blessing of Horus","https://yugipedia.com/wiki/Duamutef,_Blessing_of_Horus",,2023-06-28 13:40:23,,Old
"Duamutef, Blessing of Horus",11335209,"('Horus',)","('Condition', 'Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,"Duamutef, Blessing of Horus","https://yugipedia.com/wiki/Duamutef,_Blessing_of_Horus",,2023-07-22 06:42:31,,New
Earthbound Servant Geo Gremlina,,"('Earthbound', 'Earthbound Servant')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Earthbound Servant Geo Gremlina,https://yugipedia.com/wiki/Earthbound_Servant_Geo_Gremlina,,2023-07-10 01:31:19,,Old
Earthbound Servant Geo Gremlina,33202303,"('Earthbound', 'Earthbound Servant')","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Earthbound Servant Geo Gremlina,https://yugipedia.com/wiki/Earthbound_Servant_Geo_Gremlina,,2023-07-22 06:43:16,,New
Escapegoat,33676146,,"('Continuous-like Effect', 'Quick-like Effect')",Unlimited,Escapegoat,https://yugipedia.com/wiki/Escapegoat,,2023-07-22 16:18:50,,New
Evo-Force,05338223,"('Evo-', 'Evol')","('Condition', 'Cost', 'Effect')",Unlimited,Evo-Force,https://yugipedia.com/wiki/Evo-Force,,2023-03-18 16:40:32,,Old
Evo-Force,05338223,"('Evo-', 'Evol')","('Cost', 'Effect')",Unlimited,Evo-Force,https://yugipedia.com/wiki/Evo-Force,,2023-07-21 19:37:07,"('Any',)",New
Exceed the Pendulum,92812851,"('Pendulum (archetype)',)","('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Exceed the Pendulum,https://yugipedia.com/wiki/Exceed_the_Pendulum,,2023-07-23 14:26:55,,New
Fire Recovery,,,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Fire Recovery,https://yugipedia.com/wiki/Fire_Recovery,,2023-07-08 16:31:07,,Old
Fire Recovery,42516299,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Fire Recovery,https://yugipedia.com/wiki/Fire_Recovery,,2023-07-22 15:42:05,,New
Full Armored DARK Lancer,,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,Full Armored DARK Lancer,https://yugipedia.com/wiki/Full_Armored_DARK_Lancer,,2023-07-13 16:36:42,,Old
Full Armored DARK Lancer,67630394,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Full Armored DARK Lancer,https://yugipedia.com/wiki/Full_Armored_DARK_Lancer,,2023-07-23 18:05:25,,New
Full Armored Xyz,,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Quick-like Effect')",Not yet released,Full Armored Xyz,https://yugipedia.com/wiki/Full_Armored_Xyz,,2023-07-13 19:25:49,,Old
Full Armored Xyz,39733924,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Quick-like Effect')",Unlimited,Full Armored Xyz,https://yugipedia.com/wiki/Full_Armored_Xyz,,2023-07-22 16:00:53,,New
"Gaia Prominence, the Kindling Seraph",,"('Gaia Knight',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,"Gaia Prominence, the Kindling Seraph","https://yugipedia.com/wiki/Gaia_Prominence,_the_Kindling_Seraph",,2023-07-13 10:25:40,,Old
"Gaia Prominence, the Kindling Seraph",95095116,"('Gaia Knight',)","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,"Gaia Prominence, the Kindling Seraph","https://yugipedia.com/wiki/Gaia_Prominence,_the_Kindling_Seraph",,2023-07-22 01:28:25,,New
Goblin Fan,04149689,,"('Condition', 'Continuous-like Effect')",Unlimited,Goblin Fan,https://yugipedia.com/wiki/Goblin_Fan,,2023-03-18 21:35:52,"('Any',)",Old
Goblin Fan,04149689,,"('Continuous-like Effect',)",Unlimited,Goblin Fan,https://yugipedia.com/wiki/Goblin_Fan,,2023-07-23 15:44:23,"('Any',)",New
Hanayome Ningyo,71545247,,"('Trigger Effect',)",Unlimited,Hanayome Ningyo,https://yugipedia.com/wiki/Hanayome_Ningyo,,2023-07-22 10:23:00,,New
"Hapy, Vanguard of Horus",,"('Horus',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,"Hapy, Vanguard of Horus","https://yugipedia.com/wiki/Hapy,_Vanguard_of_Horus",,2023-06-28 13:40:26,,Old
"Hapy, Vanguard of Horus",47330808,"('Horus',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,"Hapy, Vanguard of Horus","https://yugipedia.com/wiki/Hapy,_Vanguard_of_Horus",,2023-07-22 06:44:16,,New
"Imsety, Glory of Horus",,"('Horus',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,"Imsety, Glory of Horus","https://yugipedia.com/wiki/Imsety,_Glory_of_Horus",,2023-06-28 13:40:28,,Old
"Imsety, Glory of Horus",84941194,"('Horus',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,"Imsety, Glory of Horus","https://yugipedia.com/wiki/Imsety,_Glory_of_Horus",,2023-07-22 06:45:30,,New
Infernal Flame Banshee,,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Infernal Flame Banshee,https://yugipedia.com/wiki/Infernal_Flame_Banshee,,2023-07-12 00:51:27,,Old
Infernal Flame Banshee,29423048,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Infernal Flame Banshee,https://yugipedia.com/wiki/Infernal_Flame_Banshee,,2023-07-23 14:16:10,,New
Invasive Alien Species - I.A.S,71768839,"('Alien',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Invasive Alien Species - I.A.S,https://yugipedia.com/wiki/Invasive_Alien_Species_-_I.A.S,,2023-07-22 01:08:11,,New
Lament of the Immortal Bushi,03461403,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Lament of the Immortal Bushi,https://yugipedia.com/wiki/Lament_of_the_Immortal_Bushi,,2023-07-22 15:55:02,,New
Loka Samsara,,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Loka Samsara,https://yugipedia.com/wiki/Loka_Samsara,,2023-06-22 05:07:24,,Old
Loka Samsara,02116237,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Loka Samsara,https://yugipedia.com/wiki/Loka_Samsara,,2023-07-22 16:04:54,,New
Magicians of Bonds and Unity,15845914,,"('Continuous Effect', 'Summoning condition')",Unlimited,Magicians of Bonds and Unity,https://yugipedia.com/wiki/Magicians_of_Bonds_and_Unity,,2023-07-10 17:28:36,,Old
Magicians of Bonds and Unity,15845914,,"('Continuous Effect', 'Summoning condition')",Unlimited,Magicians of Bonds and Unity,https://yugipedia.com/wiki/Magicians_of_Bonds_and_Unity,"('Alternate',)",2023-07-22 00:19:34,,New
Mannadium Trilosukda,,"('Mannadium',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Mannadium Trilosukda,https://yugipedia.com/wiki/Mannadium_Trilosukda,,2023-07-01 14:23:21,,Old
Mannadium Trilosukda,21368273,"('Mannadium',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Mannadium Trilosukda,https://yugipedia.com/wiki/Mannadium_Trilosukda,,2023-07-22 01:36:20,,New
Mass Hypnosis,21768554,,"('Activation condition', 'Continuous-like Effect', 'Effect')",Unlimited,Mass Hypnosis,https://yugipedia.com/wiki/Mass_Hypnosis,,2023-03-19 15:41:15,,Old
Mass Hypnosis,21768554,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Mass Hypnosis,https://yugipedia.com/wiki/Mass_Hypnosis,,2023-07-21 14:06:06,,New
Miracle of the Supreme King,,"('Supreme King',)","('Condition', 'Effect')",Not yet released,Miracle of the Supreme King,https://yugipedia.com/wiki/Miracle_of_the_Supreme_King,,2023-06-17 19:06:56,,Old
Miracle of the Supreme King,40456412,"('Supreme King',)","('Condition', 'Effect')",Unlimited,Miracle of the Supreme King,https://yugipedia.com/wiki/Miracle_of_the_Supreme_King,,2023-07-22 15:56:37,,New
Morphtronic Remoten,57108202,"('Morphtronic',)","('Ignition Effect',)",Unlimited,Morphtronic Remoten,https://yugipedia.com/wiki/Morphtronic_Remoten,,2023-03-19 17:40:14,"('Any',)",Old
Morphtronic Remoten,57108202,"('Morphtronic',)","('Ignition Effect',)",Unlimited,Morphtronic Remoten,https://yugipedia.com/wiki/Morphtronic_Remoten,,2023-07-19 10:42:47,"('Type',)",New
"Neferabyss, the Ogdoadic Overlord",,"('Abyss-', 'Ogdoadic')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,"Neferabyss, the Ogdoadic Overlord","https://yugipedia.com/wiki/Neferabyss,_the_Ogdoadic_Overlord",,2023-06-14 14:22:15,,Old
"Neferabyss, the Ogdoadic Overlord",46518210,"('Abyss-', 'Ogdoadic')","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,"Neferabyss, the Ogdoadic Overlord","https://yugipedia.com/wiki/Neferabyss,_the_Ogdoadic_Overlord",,2023-07-22 06:47:59,,New
Nemleria Repette,,"('Nemleria',)","('Condition', 'Quick-like Effect')",Not yet released,Nemleria Repette,https://yugipedia.com/wiki/Nemleria_Repette,,2023-07-06 11:11:03,,Old
Nemleria Repette,33499794,"('Nemleria',)","('Condition', 'Quick-like Effect')",Unlimited,Nemleria Repette,https://yugipedia.com/wiki/Nemleria_Repette,,2023-07-22 16:11:46,,New
Nightmare Wheel,54704216,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Unlimited,Nightmare Wheel,https://yugipedia.com/wiki/Nightmare_Wheel,"('Edited',)",2023-07-07 07:51:59,"('Any',)",Old
Nightmare Wheel,54704216,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Nightmare Wheel,https://yugipedia.com/wiki/Nightmare_Wheel,"('Edited',)",2023-07-21 14:03:16,"('Any',)",New
Noble Knight Borz,47120245,"('Noble Knight',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Noble Knight Borz,https://yugipedia.com/wiki/Noble_Knight_Borz,,2023-03-19 19:10:38,,Old
Noble Knight Borz,47120245,"('Noble Knight',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Noble Knight Borz,https://yugipedia.com/wiki/Noble_Knight_Borz,,2023-07-21 19:36:01,"('Any',)",New
Number 28: Titanic Moth,53701457,"('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')","('Continuous Effect', 'Trigger Effect')",Unlimited,Number 28: Titanic Moth,https://yugipedia.com/wiki/Number_28:_Titanic_Moth,,2023-03-19 19:31:39,,Old
Number 28: Titanic Moth,53701457,"('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')","('Continuous Effect', 'Trigger Effect')",Unlimited,Number 28: Titanic Moth,https://yugipedia.com/wiki/Number_28:_Titanic_Moth,,2023-07-21 19:34:36,"('Any',)",New
Ocubeam,86088138,,,Unlimited,Ocubeam,https://yugipedia.com/wiki/Ocubeam,,2023-05-14 21:07:15,,Old
Ocubeam,86088138,,,Unlimited,Ocubeam,https://yugipedia.com/wiki/Ocubeam,,2023-05-14 21:07:15,"('Type',)",New
Ogdoadic Dawn of Creation,,"('Ogdoadic',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Ogdoadic Dawn of Creation,https://yugipedia.com/wiki/Ogdoadic_Dawn_of_Creation,,2023-06-14 14:26:16,,Old
Ogdoadic Dawn of Creation,78789356,"('Ogdoadic',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Ogdoadic Dawn of Creation,https://yugipedia.com/wiki/Ogdoadic_Dawn_of_Creation,,2023-07-22 15:48:13,,New
Ooyatsu Tsumamuhime,35263180,,"('Quick Effect',)",Unlimited,Ooyatsu Tsumamuhime,https://yugipedia.com/wiki/Ooyatsu_Tsumamuhime,,2023-07-22 01:06:35,,New
Oriori no Kamigami,07930346,,"('Ignition Effect', 'Trigger Effect')",Unlimited,Oriori no Kamigami,https://yugipedia.com/wiki/Oriori_no_Kamigami,,2023-07-22 10:25:25,,New
Pendulum Evolution,,"('Pendulum (archetype)',)","('Condition', 'Ignition-like Effect')",Not yet released,Pendulum Evolution (card),https://yugipedia.com/wiki/Pendulum_Evolution_(card),,2023-06-17 19:07:32,,Old
Pendulum Evolution,55795155,"('Pendulum (archetype)',)","('Condition', 'Ignition-like Effect')",Unlimited,Pendulum Evolution (card),https://yugipedia.com/wiki/Pendulum_Evolution_(card),,2023-07-22 15:20:10,,New
Pharaonic Sarcophagus,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Pharaonic Sarcophagus,https://yugipedia.com/wiki/Pharaonic_Sarcophagus,,2023-06-14 01:04:16,,Old
Pharaonic Sarcophagus,16528181,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Pharaonic Sarcophagus,https://yugipedia.com/wiki/Pharaonic_Sarcophagus,,2023-07-22 15:40:50,,New
Planetary Elegy,,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Planetary Elegy,https://yugipedia.com/wiki/Planetary_Elegy,,2023-06-22 05:19:10,,Old
Planetary Elegy,17462320,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Planetary Elegy,https://yugipedia.com/wiki/Planetary_Elegy,,2023-07-22 15:30:47,,New
Planetary Eulogy,,,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Planetary Eulogy,https://yugipedia.com/wiki/Planetary_Eulogy,,2023-06-22 05:20:15,,Old
Planetary Eulogy,54851325,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Planetary Eulogy,https://yugipedia.com/wiki/Planetary_Eulogy,,2023-07-22 15:32:15,,New
Poissoniere de Nouvelles,,"('Nouvelles',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Poissoniere de Nouvelles,https://yugipedia.com/wiki/Poissoniere_de_Nouvelles,,2023-06-14 01:36:05,,Old
Poissoniere de Nouvelles,46485778,"('Nouvelles',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Poissoniere de Nouvelles,https://yugipedia.com/wiki/Poissoniere_de_Nouvelles,,2023-07-22 01:01:28,,New
Power Tool Mecha Dragon,68084557,"('Duel Dragon', 'Power Tool')","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Power Tool Mecha Dragon,https://yugipedia.com/wiki/Power_Tool_Mecha_Dragon,,2023-03-19 23:13:35,,Old
Power Tool Mecha Dragon,68084557,"('Duel Dragon', 'Power Tool')","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Power Tool Mecha Dragon,https://yugipedia.com/wiki/Power_Tool_Mecha_Dragon,,2023-07-19 10:47:04,"('Any',)",New
"Qebehsenuef, Aegis of Horus",,"('Horus',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,"Qebehsenuef, Aegis of Horus","https://yugipedia.com/wiki/Qebehsenuef,_Aegis_of_Horus",,2023-06-28 13:40:31,,Old
"Qebehsenuef, Aegis of Horus",74725513,"('Horus',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,"Qebehsenuef, Aegis of Horus","https://yugipedia.com/wiki/Qebehsenuef,_Aegis_of_Horus",,2023-07-22 06:49:01,,New
Rescue Hedgehog,,"('Rescue Squad',)",,Not yet released,Rescue Hedgehog,https://yugipedia.com/wiki/Rescue_Hedgehog,,2023-07-18 14:48:44,,New
S:P Little Night,,,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,S:P Little Night,https://yugipedia.com/wiki/S:P_Little_Night,,2023-07-16 00:46:57,,Old
S:P Little Night,29301450,,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,S:P Little Night,https://yugipedia.com/wiki/S:P_Little_Night,,2023-07-22 01:54:01,,New
Sarv Sarga,,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Sarv Sarga,https://yugipedia.com/wiki/Sarv_Sarga,,2023-06-22 05:23:23,,Old
Sarv Sarga,75728539,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Sarv Sarga,https://yugipedia.com/wiki/Sarv_Sarga,,2023-07-22 16:03:23,,New
Seishou Ruten,06278008,,"('Condition', 'Effect')",Unlimited,Seishou Ruten,https://yugipedia.com/wiki/Seishou_Ruten,,2023-07-22 16:17:31,,New
Sentinel of the Tistina,,"('Tistina',)","('Condition', 'Ignition Effect')",,Sentinel of the Tistina,https://yugipedia.com/wiki/Sentinel_of_the_Tistina,,2023-07-15 02:46:26,,Old
Sentinel of the Tistina,86111442,"('Tistina',)","('Condition', 'Ignition Effect')",,Sentinel of the Tistina,https://yugipedia.com/wiki/Sentinel_of_the_Tistina,,2023-07-19 23:51:36,,New
Shinobaron Shade Peacock,,"('Shinobird',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,Shinobaron Shade Peacock,https://yugipedia.com/wiki/Shinobaron_Shade_Peacock,,2023-07-14 18:04:42,,Old
Shinobaron Shade Peacock,60823690,"('Shinobird',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Shinobaron Shade Peacock,https://yugipedia.com/wiki/Shinobaron_Shade_Peacock,,2023-07-22 01:17:56,,New
Shinobaroness Shade Peacock,,"('Shinobird',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,Shinobaroness Shade Peacock,https://yugipedia.com/wiki/Shinobaroness_Shade_Peacock,,2023-07-14 18:04:35,,Old
Shinobaroness Shade Peacock,33325951,"('Shinobird',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Shinobaroness Shade Peacock,https://yugipedia.com/wiki/Shinobaroness_Shade_Peacock,,2023-07-22 01:16:59,,New
Sinful Spoils of Betrayal - Silvia,,"('Sinful Spoils',)","('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Sinful Spoils of Betrayal - Silvia,https://yugipedia.com/wiki/Sinful_Spoils_of_Betrayal_-_Silvia,,2023-07-14 13:29:42,,Old
Sinful Spoils of Betrayal - Silvia,38511382,"('Sinful Spoils',)","('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Sinful Spoils of Betrayal - Silvia,https://yugipedia.com/wiki/Sinful_Spoils_of_Betrayal_-_Silvia,,2023-07-22 16:06:17,,New
Sinful Spoils of Doom - Luciela,,"('Sinful Spoils',)","('Condition', 'Effect')",Not yet released,Sinful Spoils of Doom - Luciela,https://yugipedia.com/wiki/Sinful_Spoils_of_Doom_-_Luciela,,2023-07-14 13:31:33,,Old
Sinful Spoils of Doom - Luciela,16240772,"('Sinful Spoils',)","('Condition', 'Effect')",Unlimited,Sinful Spoils of Doom - Luciela,https://yugipedia.com/wiki/Sinful_Spoils_of_Doom_-_Luciela,,2023-07-22 15:36:01,,New
Snake-Eye Excel,,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Snake-Eye Excel,https://yugipedia.com/wiki/Snake-Eye_Excel,,2023-07-06 13:10:37,,Old
Snake-Eye Excel,09674034,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Snake-Eye Excel,https://yugipedia.com/wiki/Snake-Eye_Excel,,2023-07-22 00:41:28,,New
Snake-Eye Oark,,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Snake-Eye Oark,https://yugipedia.com/wiki/Snake-Eye_Oark,,2023-07-06 13:23:15,,Old
Snake-Eye Oark,45663742,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Snake-Eye Oark,https://yugipedia.com/wiki/Snake-Eye_Oark,,2023-07-22 00:42:29,,New
Snake-Eye Wight Birch,,"('Snake-Eye',)","('Condition', 'Quick Effect', 'Unclassified effect')",Not yet released,Snake-Eye Wight Birch,https://yugipedia.com/wiki/Snake-Eye_Wight_Birch,,2023-07-06 13:26:04,,Old
Snake-Eye Wight Birch,12058741,"('Snake-Eye',)","('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,Snake-Eye Wight Birch,https://yugipedia.com/wiki/Snake-Eye_Wight_Birch,,2023-07-22 00:43:44,,New
Snake-Eyes Flamberge Dragon,,"('-Eyes Dragon', 'Snake-Eye')","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,Snake-Eyes Flamberge Dragon,https://yugipedia.com/wiki/Snake-Eyes_Flamberge_Dragon,,2023-07-06 13:37:15,,Old
