Name,Effect type,TCG status,Modification date,Errata,Version
Man-Eater Bug,"('Trigger Effect',)",Unlimited,2023-05-14 13:06:01,"('Name', 'Type')",New
Mask of Darkness,"('Flip effect',)",Unlimited,2023-03-19 15:36:05,"('Type',)",Old
Mask of Darkness,"('Trigger Effect',)",Unlimited,2023-05-14 21:29:58,"('Type',)",New
Miracle of the Supreme King,"('Condition', 'Effect')",,2023-05-15 15:19:20,,New
Morphing Jar #2,"('Flip effect',)",Unlimited,2023-03-19 17:34:17,,Old
Morphing Jar #2,"('Trigger Effect',)",Unlimited,2023-05-15 19:08:37,,New
Over Future Fusion,,,2023-05-16 21:35:46,,New
Parasite Paracide,"('Continuous Effect', 'Flip effect', 'Trigger Effect')",Unlimited,2023-03-19 21:33:40,"('Type',)",Old
Parasite Paracide,"('Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-15 19:27:43,"('Type',)",New
Pendulum Evolution,"('Condition', 'Ignition-like Effect')",,2023-05-15 15:02:15,,New
Princess of Tsurugi,"('Flip effect',)",Unlimited,2023-03-19 23:36:52,"('Any',)",Old
Princess of Tsurugi,"('Trigger Effect',)",Unlimited,2023-05-14 20:49:13,"('Any',)",New
Reaper of the Cards,"('Flip effect',)",Unlimited,2023-03-20 00:40:45,"('Any',)",Old
Reaper of the Cards,"('Trigger Effect',)",Unlimited,2023-05-14 13:19:31,"('Any',)",New
Red Zone,"('Condition', 'Quick-like Effect')",,2023-05-12 12:28:56,,New
Sky Striker Ace - Camellia,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,2023-05-17 00:56:15,,New
Sorciere de Fleur,"('Condition', 'Trigger Effect')",Unlimited,2023-03-20 09:03:24,,Old
Sorciere de Fleur,"('Condition', 'Trigger Effect')",Unlimited,2023-03-20 09:03:24,"('Any',)",New
Soul of the Supreme Celestial King,"('Condition', 'Effect')",,2023-05-16 02:24:52,,New
Spear Cretin,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-20 09:13:52,"('Any',)",Old
Spear Cretin,"('Trigger Effect',)",Unlimited,2023-05-17 11:46:14,"('Any',)",New
Steam Knight - Hamburk,,,2023-05-17 17:41:03,,New
Supreme Celestial King Odd-Eyes Arc-Ray Dragon,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",,2023-05-18 03:55:39,,New
Supreme King Dragon Lightwurm,"('Condition', 'Trigger Effect')",,2023-05-15 14:22:34,,New
Supreme King Gate Magician,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,2023-05-15 18:35:32,,New
The Immortal of Thunder,"('Flip effect', 'Trigger Effect')",Unlimited,2023-03-20 13:57:00,"('Any',)",Old
The Immortal of Thunder,"('Trigger Effect',)",Unlimited,2023-05-14 20:45:15,"('Any',)",New
The Light-Winged Dragon,"('Condition', 'Effect')",,2023-05-15 15:11:06,,New
Vampire's Desire,"('Condition', 'Effect')",Unlimited,2023-04-10 17:19:21,,Old
Vampire's Desire,"('Condition', 'Effect')",Unlimited,2023-04-10 17:19:21,"('Any',)",New
Vision Resonator,"('Condition', 'Trigger Effect', 'Unclassified effect')",,2023-05-12 12:17:36,,New
Volcanic Emission,"('Condition', 'Effect')",,2023-05-17 01:00:01,,New
Weather Report,"('Flip effect',)",Unlimited,2023-03-20 19:26:43,"('Any',)",Old
Weather Report,"('Trigger Effect',)",Unlimited,2023-05-17 12:13:41,"('Any',)",New
