Name,Password,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,Version
Ancient Lizard Warrior,43230671,,Unlimited,Ancient Lizard Warrior,https://yugipedia.com/wiki/Ancient_Lizard_Warrior,,2023-05-14 21:01:47,"('Type',)",Normal Monster,New
"Angelica, Princess of Noble Arms",36320744,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,"Angelica, Princess of Noble Arms","https://yugipedia.com/wiki/Angelica,_Princess_of_Noble_Arms",,2023-07-20 00:41:42,,Synchro Monster,Old
"Angelica, Princess of Noble Arms",36320744,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,"Angelica, Princess of Noble Arms","https://yugipedia.com/wiki/Angelica,_Princess_of_Noble_Arms",,2023-07-28 05:54:02,,Synchro Monster,New
Aqua Chorus Round,59131526,"('Effect',)",Not yet released,Aqua Chorus Round,https://yugipedia.com/wiki/Aqua_Chorus_Round,,2023-07-24 02:56:18,,,Old
Aqua Chorus Round,59131526,"('Effect',)",Unlimited,Aqua Chorus Round,https://yugipedia.com/wiki/Aqua_Chorus_Round,,2023-07-28 05:55:16,,,New
Arahime the Manifested Mikanko,75771170,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Arahime the Manifested Mikanko,https://yugipedia.com/wiki/Arahime_the_Manifested_Mikanko,,2023-07-20 00:41:45,,Ritual Monster,Old
Arahime the Manifested Mikanko,75771170,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Arahime the Manifested Mikanko,https://yugipedia.com/wiki/Arahime_the_Manifested_Mikanko,,2023-07-28 05:53:38,,Ritual Monster,New
Banishing Trap Hole,89569453,"('Effect',)",Not yet released,Banishing Trap Hole,https://yugipedia.com/wiki/Banishing_Trap_Hole,,2023-07-20 00:23:23,,,Old
Banishing Trap Hole,89569453,"('Effect',)",Unlimited,Banishing Trap Hole,https://yugipedia.com/wiki/Banishing_Trap_Hole,,2023-07-28 05:55:42,,,New
Behemoth the King of a Hundred Battles,13836592,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Behemoth the King of a Hundred Battles,https://yugipedia.com/wiki/Behemoth_the_King_of_a_Hundred_Battles,,2023-07-20 01:19:32,,Effect Monster,Old
Behemoth the King of a Hundred Battles,13836592,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Behemoth the King of a Hundred Battles,https://yugipedia.com/wiki/Behemoth_the_King_of_a_Hundred_Battles,,2023-07-28 05:53:14,,Effect Monster,New
Beta Evolution Pill - Ultranscendance,23969415,"('Condition', 'Effect')",Not yet released,Beta Evolution Pill - Ultranscendance,https://yugipedia.com/wiki/Beta_Evolution_Pill_-_Ultranscendance,,2023-07-20 00:23:32,,,Old
Beta Evolution Pill - Ultranscendance,23969415,"('Condition', 'Effect')",Unlimited,Beta Evolution Pill - Ultranscendance,https://yugipedia.com/wiki/Beta_Evolution_Pill_-_Ultranscendance,,2023-07-28 05:55:06,,,New
Big-Winged Berfomet,55461744,"('Condition', 'Trigger Effect')",Not yet released,Big-Winged Berfomet,https://yugipedia.com/wiki/Big-Winged_Berfomet,,2023-07-20 01:19:44,,Effect Monster,Old
Big-Winged Berfomet,55461744,"('Condition', 'Trigger Effect')",Unlimited,Big-Winged Berfomet,https://yugipedia.com/wiki/Big-Winged_Berfomet,,2023-07-28 05:50:20,,Effect Monster,New
Bottom Dweller,81386177,,Unlimited,Bottom Dweller,https://yugipedia.com/wiki/Bottom_Dweller,,2023-05-14 21:04:18,,Normal Monster,Old
Bottom Dweller,81386177,,Unlimited,Bottom Dweller,https://yugipedia.com/wiki/Bottom_Dweller,,2023-05-14 21:04:18,"('Type',)",Normal Monster,New
Branded Disciple,34536828,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Branded Disciple,https://yugipedia.com/wiki/Branded_Disciple,,2023-03-18 06:19:56,,,Old
Branded Disciple,34536828,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Branded Disciple,https://yugipedia.com/wiki/Branded_Disciple,,2023-07-27 06:32:24,"('Any',)",,New
Breath of the Tistina,58882608,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,Breath of the Tistina,https://yugipedia.com/wiki/Breath_of_the_Tistina,,2023-07-19 23:51:33,,,Old
Breath of the Tistina,58882608,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Breath of the Tistina,https://yugipedia.com/wiki/Breath_of_the_Tistina,,2023-07-28 05:56:09,,,New
Chimera Fusion,63136489,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Chimera Fusion,https://yugipedia.com/wiki/Chimera_Fusion,,2023-07-20 00:23:40,,,Old
Chimera Fusion,63136489,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Chimera Fusion,https://yugipedia.com/wiki/Chimera_Fusion,,2023-07-28 05:54:34,,,New
Chimera the Illusion Beast,38264974,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,Chimera the Illusion Beast,https://yugipedia.com/wiki/Chimera_the_Illusion_Beast,,2023-07-20 00:41:44,,Fusion Monster,Old
Chimera the Illusion Beast,38264974,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Chimera the Illusion Beast,https://yugipedia.com/wiki/Chimera_the_Illusion_Beast,,2023-07-28 05:53:43,,Fusion Monster,New
Chimera the King of Phantom Beasts,01769875,"('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,Chimera the King of Phantom Beasts,https://yugipedia.com/wiki/Chimera_the_King_of_Phantom_Beasts,,2023-07-20 05:36:28,,Fusion Monster,Old
Chimera the King of Phantom Beasts,01769875,"('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Chimera the King of Phantom Beasts,https://yugipedia.com/wiki/Chimera_the_King_of_Phantom_Beasts,,2023-07-28 05:53:40,,Fusion Monster,New
Click & Echo,02992467,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Click & Echo,https://yugipedia.com/wiki/Click_%26_Echo,,2023-07-20 01:19:27,,Effect Monster,Old
Click & Echo,02992467,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Click & Echo,https://yugipedia.com/wiki/Click_%26_Echo,,2023-07-28 05:53:32,,Effect Monster,New
Cornfield Coatl,92565383,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Not yet released,Cornfield Coatl,https://yugipedia.com/wiki/Cornfield_Coatl,,2023-07-20 01:19:43,,Effect Monster,Old
Cornfield Coatl,92565383,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Unlimited,Cornfield Coatl,https://yugipedia.com/wiki/Cornfield_Coatl,,2023-07-28 05:50:23,,Effect Monster,New
Cosmic Quasar Dragon,37442336,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Not yet released,Cosmic Quasar Dragon,https://yugipedia.com/wiki/Cosmic_Quasar_Dragon,,2023-07-20 00:41:44,,Synchro Monster,Old
Cosmic Quasar Dragon,37442336,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Cosmic Quasar Dragon,https://yugipedia.com/wiki/Cosmic_Quasar_Dragon,,2023-07-28 05:53:52,,Synchro Monster,New
Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",Not yet released,Crimson Dragon (card),https://yugipedia.com/wiki/Crimson_Dragon_(card),,2023-07-20 00:41:43,,Synchro Monster,Old
Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",Unlimited,Crimson Dragon (card),https://yugipedia.com/wiki/Crimson_Dragon_(card),,2023-07-28 05:57:20,,Synchro Monster,New
Crystal God Tistina,86999951,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Crystal God Tistina,https://yugipedia.com/wiki/Crystal_God_Tistina,,2023-07-19 23:51:35,,Effect Monster,Old
Crystal God Tistina,86999951,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Crystal God Tistina,https://yugipedia.com/wiki/Crystal_God_Tistina,,2023-07-28 05:56:05,,Effect Monster,New
Daidara-Bocchi,69133798,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,Daidara-Bocchi,https://yugipedia.com/wiki/Daidara-Bocchi,,2023-07-19 23:51:32,,Effect Monster,Old
Daidara-Bocchi,69133798,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Daidara-Bocchi,https://yugipedia.com/wiki/Daidara-Bocchi,,2023-07-28 05:56:13,,Effect Monster,New
Dark Corridor,98696958,"('Condition', 'Effect')",Not yet released,Dark Corridor,https://yugipedia.com/wiki/Dark_Corridor,,2023-07-20 00:23:37,,,Old
Dark Corridor,98696958,"('Condition', 'Effect')",Unlimited,Dark Corridor,https://yugipedia.com/wiki/Dark_Corridor,,2023-07-28 05:54:54,,,New
Demigod of the Tistina,59504256,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,Demigod of the Tistina,https://yugipedia.com/wiki/Demigod_of_the_Tistina,,2023-07-19 23:51:35,,Effect Monster,Old
Demigod of the Tistina,59504256,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Demigod of the Tistina,https://yugipedia.com/wiki/Demigod_of_the_Tistina,,2023-07-28 05:56:03,,Effect Monster,New
Diabolica the Draconique General,78077209,"('Condition', 'Trigger Effect')",Not yet released,Diabolica the Draconique General,https://yugipedia.com/wiki/Diabolica_the_Draconique_General,,2023-07-19 23:51:31,,Effect Monster,Old
Diabolica the Draconique General,78077209,"('Condition', 'Trigger Effect')",Unlimited,Diabolica the Draconique General,https://yugipedia.com/wiki/Diabolica_the_Draconique_General,,2023-07-28 05:56:20,,Effect Monster,New
Disk Magician,76446915,,Unlimited,Disk Magician,https://yugipedia.com/wiki/Disk_Magician,,2023-05-14 21:01:16,,Normal Monster,Old
Disk Magician,76446915,,Unlimited,Disk Magician,https://yugipedia.com/wiki/Disk_Magician,,2023-05-14 21:01:16,"('Type',)",Normal Monster,New
Divine Domain Baatistina,12397569,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Divine Domain Baatistina,https://yugipedia.com/wiki/Divine_Domain_Baatistina,,2023-07-19 23:51:33,,,Old
Divine Domain Baatistina,12397569,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Divine Domain Baatistina,https://yugipedia.com/wiki/Divine_Domain_Baatistina,,2023-07-28 05:56:07,,,New
Doomstar Ulka,49109013,"('Condition', 'Trigger Effect')",Not yet released,Doomstar Ulka,https://yugipedia.com/wiki/Doomstar_Ulka,,2023-07-20 01:19:28,,Effect Monster,Old
Doomstar Ulka,49109013,"('Condition', 'Trigger Effect')",Unlimited,Doomstar Ulka,https://yugipedia.com/wiki/Doomstar_Ulka,,2023-07-28 05:53:26,,Effect Monster,New
Double-Headed Dino King Rex,55349196,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,Double-Headed Dino King Rex,https://yugipedia.com/wiki/Double-Headed_Dino_King_Rex,,2023-07-20 01:19:41,,Effect Monster,Old
Double-Headed Dino King Rex,55349196,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Double-Headed Dino King Rex,https://yugipedia.com/wiki/Double-Headed_Dino_King_Rex,,2023-07-28 05:50:28,,Effect Monster,New
"Dreaming Reality of Nemleria, Realized",16893370,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,"Dreaming Reality of Nemleria, Realized","https://yugipedia.com/wiki/Dreaming_Reality_of_Nemleria,_Realized",,2023-07-20 01:19:37,,Effect Monster,Old
"Dreaming Reality of Nemleria, Realized",16893370,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,"Dreaming Reality of Nemleria, Realized","https://yugipedia.com/wiki/Dreaming_Reality_of_Nemleria,_Realized",,2023-07-28 05:52:52,,Effect Monster,New
Duelist Genesis,97474300,"('Condition', 'Effect')",Not yet released,Duelist Genesis,https://yugipedia.com/wiki/Duelist_Genesis,,2023-07-20 00:23:35,,,Old
Duelist Genesis,97474300,"('Condition', 'Effect')",Unlimited,Duelist Genesis,https://yugipedia.com/wiki/Duelist_Genesis,,2023-07-28 05:55:03,,,New
EMERGENCY!,61292243,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,EMERGENCY!,https://yugipedia.com/wiki/EMERGENCY!,,2023-07-20 00:23:37,,,Old
EMERGENCY!,61292243,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,EMERGENCY!,https://yugipedia.com/wiki/EMERGENCY!,,2023-07-28 05:54:51,,,New
Ecclesia the Exiled,,,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,,Old
Ecclesia the Exiled,,,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,Monster Token,Old
Ecclesia the Exiled,,,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-07-27 06:14:54,,,New
Ecclesia the Exiled,,,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-07-27 06:14:54,,Monster Token,New
Emperor Charles the Great,97864322,"('Quick Effect', 'Trigger Effect')",Not yet released,Emperor Charles the Great,https://yugipedia.com/wiki/Emperor_Charles_the_Great,,2023-07-20 00:41:38,,Link Monster,Old
Emperor Charles the Great,97864322,"('Quick Effect', 'Trigger Effect')",Unlimited,Emperor Charles the Great,https://yugipedia.com/wiki/Emperor_Charles_the_Great,,2023-07-28 05:54:23,,Link Monster,New
Epurrely Noir,62592805,"('Ignition Effect', 'Quick Effect')",Not yet released,Epurrely Noir,https://yugipedia.com/wiki/Epurrely_Noir,,2023-07-20 00:41:39,,Xyz Monster,Old
Epurrely Noir,62592805,"('Ignition Effect', 'Quick Effect')",Unlimited,Epurrely Noir,https://yugipedia.com/wiki/Epurrely_Noir,,2023-07-28 05:54:13,,Xyz Monster,New
Evolsaur Lios,15171722,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Evolsaur Lios,https://yugipedia.com/wiki/Evolsaur_Lios,,2023-07-20 01:19:36,,Effect Monster,Old
Evolsaur Lios,15171722,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Evolsaur Lios,https://yugipedia.com/wiki/Evolsaur_Lios,,2023-07-28 05:52:59,,Effect Monster,New
Evoltile Pholis,89776023,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,Evoltile Pholis,https://yugipedia.com/wiki/Evoltile_Pholis,,2023-07-20 01:19:37,,Effect Monster,Old
Evoltile Pholis,89776023,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Evoltile Pholis,https://yugipedia.com/wiki/Evoltile_Pholis,,2023-07-28 05:52:56,,Effect Monster,New
Evolzar Lars,35103106,"('Continuous Effect', 'Quick Effect')",Not yet released,Evolzar Lars,https://yugipedia.com/wiki/Evolzar_Lars,,2023-07-20 00:41:39,,Xyz Monster,Old
Evolzar Lars,35103106,"('Continuous Effect', 'Quick Effect')",Unlimited,Evolzar Lars,https://yugipedia.com/wiki/Evolzar_Lars,,2023-07-28 05:54:10,,Xyz Monster,New
"Finis Terrae, Tower of the Necroworld",51849482,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,"Finis Terrae, Tower of the Necroworld","https://yugipedia.com/wiki/Finis_Terrae,_Tower_of_the_Necroworld",,2023-07-19 23:51:38,,Effect Monster,Old
"Finis Terrae, Tower of the Necroworld",51849482,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,"Finis Terrae, Tower of the Necroworld","https://yugipedia.com/wiki/Finis_Terrae,_Tower_of_the_Necroworld",,2023-07-28 05:55:53,,Effect Monster,New
Fusion Armament,61070601,"('Condition', 'Effect')",Not yet released,Fusion Armament,https://yugipedia.com/wiki/Fusion_Armament,,2023-07-20 00:23:36,,,Old
Fusion Armament,61070601,"('Condition', 'Effect')",Unlimited,Fusion Armament,https://yugipedia.com/wiki/Fusion_Armament,,2023-07-28 05:55:00,,,New
"Gaia Blaze, the Force of the Sun",09709452,"('Trigger Effect',)",Not yet released,"Gaia Blaze, the Force of the Sun","https://yugipedia.com/wiki/Gaia_Blaze,_the_Force_of_the_Sun",,2023-07-20 00:41:40,,Synchro Monster,Old
"Gaia Blaze, the Force of the Sun",09709452,"('Trigger Effect',)",Unlimited,"Gaia Blaze, the Force of the Sun","https://yugipedia.com/wiki/Gaia_Blaze,_the_Force_of_the_Sun",,2023-07-28 05:54:08,,Synchro Monster,New
Gazelle the King of Mythical Claws,23076639,"('Condition', 'Trigger Effect')",Not yet released,Gazelle the King of Mythical Claws,https://yugipedia.com/wiki/Gazelle_the_King_of_Mythical_Claws,,2023-07-20 01:19:44,,Effect Monster,Old
Gazelle the King of Mythical Claws,23076639,"('Condition', 'Trigger Effect')",Unlimited,Gazelle the King of Mythical Claws,https://yugipedia.com/wiki/Gazelle_the_King_of_Mythical_Claws,,2023-07-28 05:50:18,,Effect Monster,New
Greed Jar,76593718,"('Condition', 'Trigger Effect')",Not yet released,Greed Jar,https://yugipedia.com/wiki/Greed_Jar,,2023-07-20 01:19:27,,Effect Monster,Old
Greed Jar,76593718,"('Condition', 'Trigger Effect')",Unlimited,Greed Jar,https://yugipedia.com/wiki/Greed_Jar,,2023-07-28 05:53:29,,Effect Monster,New
Grenosaurus Giga-Cannon,34481518,"('Condition', 'Trigger Effect')",Not yet released,Grenosaurus Giga-Cannon,https://yugipedia.com/wiki/Grenosaurus_Giga-Cannon,,2023-07-20 00:41:38,,Xyz Monster,Old
Grenosaurus Giga-Cannon,34481518,"('Condition', 'Trigger Effect')",Unlimited,Grenosaurus Giga-Cannon,https://yugipedia.com/wiki/Grenosaurus_Giga-Cannon,,2023-07-28 05:54:18,,Xyz Monster,New
Hibikime,64501875,,Unlimited,Hibikime,https://yugipedia.com/wiki/Hibikime,,2023-07-16 15:29:17,,Normal Monster,Old
Hibikime,64501875,,Unlimited,Hibikime,https://yugipedia.com/wiki/Hibikime,,2023-07-16 15:29:17,"('Type',)",Normal Monster,New
Hiita the Fire Channeler,76615300,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Hiita the Fire Channeler,https://yugipedia.com/wiki/Hiita_the_Fire_Channeler,,2023-07-20 01:19:28,,Effect Monster,Old
Hiita the Fire Channeler,76615300,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Hiita the Fire Channeler,https://yugipedia.com/wiki/Hiita_the_Fire_Channeler,,2023-07-28 05:53:20,,Effect Monster,New
Hound of the Tistina,13510157,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,Hound of the Tistina,https://yugipedia.com/wiki/Hound_of_the_Tistina,,2023-07-19 23:51:36,,Effect Monster,Old
Hound of the Tistina,13510157,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Hound of the Tistina,https://yugipedia.com/wiki/Hound_of_the_Tistina,,2023-07-28 05:56:02,,Effect Monster,New
Hunter Spider,80141480,,Unlimited,Hunter Spider,https://yugipedia.com/wiki/Hunter_Spider,,2023-05-14 21:02:23,,Normal Monster,Old
Hunter Spider,80141480,,Unlimited,Hunter Spider,https://yugipedia.com/wiki/Hunter_Spider,,2023-05-14 21:02:23,"('Type',)",Normal Monster,New
Hyosube,02118022,,Unlimited,Hyosube,https://yugipedia.com/wiki/Hyosube,,2023-05-14 21:01:02,,Normal Monster,Old
Hyosube,02118022,,Unlimited,Hyosube,https://yugipedia.com/wiki/Hyosube,,2023-05-14 21:01:02,"('Type',)",Normal Monster,New
Infernoble Knight Ricciardetto,53404966,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Infernoble Knight Ricciardetto,https://yugipedia.com/wiki/Infernoble_Knight_Ricciardetto,,2023-07-20 01:28:39,,Effect Monster,Old
Infernoble Knight Ricciardetto,53404966,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Infernoble Knight Ricciardetto,https://yugipedia.com/wiki/Infernoble_Knight_Ricciardetto,,2023-07-28 05:52:47,,Effect Monster,New
Infernoble Knight Turpin,89809665,"('Condition', 'Continuous-like Effect', 'Ignition Effect')",Not yet released,Infernoble Knight Turpin,https://yugipedia.com/wiki/Infernoble_Knight_Turpin,,2023-07-20 01:28:38,,Effect Monster,Old
Infernoble Knight Turpin,89809665,"('Condition', 'Continuous-like Effect', 'Ignition Effect')",Unlimited,Infernoble Knight Turpin,https://yugipedia.com/wiki/Infernoble_Knight_Turpin,,2023-07-28 05:52:49,,Effect Monster,New
Jurassic Power,99531088,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,Jurassic Power,https://yugipedia.com/wiki/Jurassic_Power,,2023-07-20 00:23:39,,,Old
Jurassic Power,99531088,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Jurassic Power,https://yugipedia.com/wiki/Jurassic_Power,,2023-07-28 05:54:37,,,New
Kuibelt the Blade Dragon,87837090,"('Condition', 'Trigger Effect')",Not yet released,Kuibelt the Blade Dragon,https://yugipedia.com/wiki/Kuibelt_the_Blade_Dragon,,2023-07-19 23:51:37,,Synchro Monster,Old
Kuibelt the Blade Dragon,87837090,"('Condition', 'Trigger Effect')",Unlimited,Kuibelt the Blade Dragon,https://yugipedia.com/wiki/Kuibelt_the_Blade_Dragon,,2023-07-28 05:55:55,,Synchro Monster,New
Leogun,10538007,,Unlimited,Leogun,https://yugipedia.com/wiki/Leogun,,2023-05-14 21:06:49,,Normal Monster,Old
Leogun,10538007,,Unlimited,Leogun,https://yugipedia.com/wiki/Leogun,,2023-05-14 21:06:49,"('Type',)",Normal Monster,New
Magician of Faithfulness,67853262,"('Condition', 'Trigger Effect')",Not yet released,Magician of Faithfulness,https://yugipedia.com/wiki/Magician_of_Faithfulness,,2023-07-19 23:51:30,,Effect Monster,Old
Magician of Faithfulness,67853262,"('Condition', 'Trigger Effect')",Unlimited,Magician of Faithfulness,https://yugipedia.com/wiki/Magician_of_Faithfulness,,2023-07-28 05:56:24,,Effect Monster,New
Magicians of Bonds and Unity,15845914,"('Continuous Effect', 'Summoning condition')",Not yet released,Magicians of Bonds and Unity,https://yugipedia.com/wiki/Magicians_of_Bonds_and_Unity,"('Alternate',)",2023-07-22 00:19:34,,Effect Monster,Old
Magicians of Bonds and Unity,15845914,"('Continuous Effect', 'Summoning condition')",Unlimited,Magicians of Bonds and Unity,https://yugipedia.com/wiki/Magicians_of_Bonds_and_Unity,"('Alternate',)",2023-07-28 05:57:38,,Effect Monster,New
Magikey Deity - Ashtartu,26988374,"('Quick Effect', 'Trigger Effect')",Not yet released,Magikey Deity - Ashtartu,https://yugipedia.com/wiki/Magikey_Deity_-_Ashtartu,,2023-07-19 23:51:29,,Xyz Monster,Old
Magikey Deity - Ashtartu,26988374,"('Quick Effect', 'Trigger Effect')",Unlimited,Magikey Deity - Ashtartu,https://yugipedia.com/wiki/Magikey_Deity_-_Ashtartu,,2023-07-28 05:56:26,,Xyz Monster,New
Magnum the Reliever,00043227,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,Magnum the Reliever,https://yugipedia.com/wiki/Magnum_the_Reliever,,2023-07-20 00:41:44,,Fusion Monster,Old
