Card number,Name,Rarity,Print,Modification date,Release,Cover card,Version
CL03-SC017,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC017,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC018,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC018,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC019,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC019,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC020,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC020,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC021,Neo-Spacian Aqua Dolphin,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC021,Neo-Spacian Aqua Dolphin,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC022,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC022,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC023,Neo-Spacian Dark Panther,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC023,Neo-Spacian Dark Panther,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC024,Elemental HERO Neos Alius,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC024,Elemental HERO Neos Alius,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC025,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC025,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC026,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC026,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC027,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC027,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC028,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC028,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC029,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC029,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC030,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC030,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC031,Rainbow Neos,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC031,Rainbow Neos,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC032,Elemental HERO Nebula Neos,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC032,Elemental HERO Nebula Neos,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC033,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC033,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC034,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC034,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC035,Neo Space,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC035,Neo Space,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC036,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC036,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC037,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC037,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC038,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC038,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC039,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC039,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC040,Miracle Contact,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC040,Miracle Contact,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC041,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC041,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC042,Neos Fusion,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC042,Neos Fusion,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC043,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC043,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC044,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC044,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC045,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC045,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC046,Gagaga Head,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC046,Gagaga Head,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC047,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC047,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC048,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC048,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC049,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC049,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC050,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC050,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC051,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC051,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC052,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC052,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC053,Gogogo Golem - Golden Form,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC053,Gogogo Golem - Golden Form,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC054,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC054,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC055,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC055,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC056,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC056,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC057,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC057,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC058,Number S39: Utopia Prime,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC058,Number S39: Utopia Prime,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC059,Number S39: Utopia the Lightning,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC059,Number S39: Utopia the Lightning,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC060,Number 93: Utopia Kaiser,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC060,Number 93: Utopia Kaiser,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC061,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC061,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC062,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC062,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC063,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC063,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC064,Onomatopia,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC064,Onomatopia,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC065,Overlay Network,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC065,Overlay Network,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC066,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC066,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC067,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC067,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC068,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC068,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC069,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC069,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC070,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC070,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC071,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC071,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC072,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC072,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC073,Neo Galaxy-Eyes Photon Dragon,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC073,Neo Galaxy-Eyes Photon Dragon,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC074,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC074,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC075,Galaxy-Eyes Full Armor Photon Dragon,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC075,Galaxy-Eyes Full Armor Photon Dragon,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC076,Number 38: Hope Harbinger Dragon Titanic Galaxy,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC076,Number 38: Hope Harbinger Dragon Titanic Galaxy,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC077,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC077,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC078,Galaxy Zero,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC078,Galaxy Zero,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC079,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC079,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC080,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC080,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC081,Saga of the Dragon Emperor,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC081,Saga of the Dragon Emperor,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC082,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC082,Double Iris Magician,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC083,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC083,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC084,White Wing Magician,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC084,White Wing Magician,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC085,Purple Poison Magician,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC085,Purple Poison Magician,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC086,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC086,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC087,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC087,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC088,Supreme King Z-ARC,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC088,Supreme King Z-ARC,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC089,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC089,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC090,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC090,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC091,Soul of the Supreme King,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC091,Soul of the Supreme King,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC092,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC092,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC093,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC093,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC094,D/D Savant Kepler,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC094,D/D Savant Kepler,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC095,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC095,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC096,D/D/D Oblivion King Abyss Ragnarok,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC096,D/D/D Oblivion King Abyss Ragnarok,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC097,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC097,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC098,D/D Swirl Slime,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC098,D/D Swirl Slime,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC099,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC099,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC100,D/D/D Chaos King Apocalypse,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC100,D/D/D Chaos King Apocalypse,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC101,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC101,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC102,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC102,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC103,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC103,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC104,D/D Lamia,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC104,D/D Lamia,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC105,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC105,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC106,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC106,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC107,D/D/D Vice King Requiem,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC107,D/D/D Vice King Requiem,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC108,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC108,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC109,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC109,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC110,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC110,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC111,D/D/D Flame High King Genghis,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC111,D/D/D Flame High King Genghis,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC112,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC112,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC113,D/D/D Cursed King Siegfried,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC113,D/D/D Cursed King Siegfried,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC114,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC114,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC115,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC115,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC116,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC116,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC117,D/D/D Duo-Dawn King Kali Yuga,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC117,D/D/D Duo-Dawn King Kali Yuga,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC118,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC118,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC119,D/D/D Wave High King Caesar,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC119,D/D/D Wave High King Caesar,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC120,D/D/D Abyss King Gilgamesh,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC120,D/D/D Abyss King Gilgamesh,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC121,Dark Contract with the Gate,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC121,Dark Contract with the Gate,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC122,Dark Contract with the Swamp King,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC122,Dark Contract with the Swamp King,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC123,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC123,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC124,Dark Contract with the Eternal Darkness,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC124,Dark Contract with the Eternal Darkness,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC125,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC125,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC126,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC126,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC127,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC127,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC128,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC128,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC129,,,,2023-02-21 04:14:44,2023-02-25,,Old
