Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Version
Archfiend's Manifestation,32775808,"('Archfiend', 'Skull Archfiend')","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Archfiend's Manifestation,https://yugipedia.com/wiki/Archfiend%27s_Manifestation,,2023-06-19 13:55:44,,Fusion Monster,1200,2500,Old
Assault Blackwing - Onimaru the Divine Thunder,80773359,"('Assault Blackwing', 'Blackwing')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,Assault Blackwing - Onimaru the Divine Thunder,https://yugipedia.com/wiki/Assault_Blackwing_-_Onimaru_the_Divine_Thunder,,2023-07-24 19:26:51,,Synchro Monster,2000,3000,New
Black Dragon Ninja,56562619,"('Dragon Ninja', 'Ninja')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Black Dragon Ninja,https://yugipedia.com/wiki/Black_Dragon_Ninja,,2023-03-18 05:01:36,"('Any',)",Effect Monster,1600,2800,New
Blaze Cannon,04059313,"('Blaze Accelerator (archetype)', 'Signature move')","('Condition', 'Continuous Effect', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Blaze Cannon,https://yugipedia.com/wiki/Blaze_Cannon,,2023-06-19 14:59:55,,,,,Old
Block Dragon,94689206,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Forbidden,Semi-Limited,Block Dragon,https://yugipedia.com/wiki/Block_Dragon,,2023-08-21 17:15:54,"('Any',)",Effect Monster,3000,2500,New
Centurion Emet VI,,"('Centurion',)","('Condition', 'Quick Effect', 'Quick-like Effect')",,Not yet released,Centurion Emet VI,https://yugipedia.com/wiki/Centurion_Emet_VI,,2023-08-14 16:08:22,,Effect Monster,3000,2000,Old
Centurion Emet VI,78888899,"('Centurion',)","('Condition', 'Quick Effect', 'Quick-like Effect')",,Unlimited,Centurion Emet VI,https://yugipedia.com/wiki/Centurion_Emet_VI,,2023-08-26 00:57:21,,Effect Monster,3000,2000,New
Centurion Legatia,,"('Centurion',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,Centurion Legatia,https://yugipedia.com/wiki/Centurion_Legatia,,2023-08-11 12:26:10,,Synchro Monster,2000,3500,Old
Centurion Legatia,15982593,"('Centurion',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,Centurion Legatia,https://yugipedia.com/wiki/Centurion_Legatia,,2023-08-26 00:58:41,,Synchro Monster,2000,3500,New
Centurion Phalanx,,"('Centurion',)","('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,Centurion Phalanx,https://yugipedia.com/wiki/Centurion_Phalanx,,2023-08-11 12:48:11,,,,,Old
Centurion Phalanx,40155014,"('Centurion',)","('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,Centurion Phalanx,https://yugipedia.com/wiki/Centurion_Phalanx,,2023-08-26 01:04:15,,,,,New
Centurion Primera,,"('Centurion',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",,Not yet released,Centurion Primera,https://yugipedia.com/wiki/Centurion_Primera,,2023-08-11 12:03:44,,Effect Monster,1600,1600,Old
Centurion Primera,15005145,"('Centurion',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",,Unlimited,Centurion Primera,https://yugipedia.com/wiki/Centurion_Primera,,2023-08-26 00:54:22,,Effect Monster,1600,1600,New
Centurion Trudea,,"('Centurion',)","('Condition', 'Ignition Effect', 'Quick-like Effect')",,Not yet released,Centurion Trudea,https://yugipedia.com/wiki/Centurion_Trudea,,2023-08-11 12:12:12,,Effect Monster,2000,1000,Old
Centurion Trudea,42493140,"('Centurion',)","('Condition', 'Ignition Effect', 'Quick-like Effect')",,Unlimited,Centurion Trudea,https://yugipedia.com/wiki/Centurion_Trudea,,2023-08-26 00:55:59,,Effect Monster,2000,1000,New
Chosen of Zefra,98076754,"('Zefra',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,Chosen of Zefra,https://yugipedia.com/wiki/Chosen_of_Zefra,,2023-03-18 08:04:34,,,,,New
Combat Wheel,12501230,"('Wheel',)","('Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,Combat Wheel,https://yugipedia.com/wiki/Combat_Wheel,,2023-08-20 16:17:40,,Synchro Monster,1200,2500,Old
Combat Wheel,12501230,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,Combat Wheel,https://yugipedia.com/wiki/Combat_Wheel,,2023-08-22 19:18:54,,Synchro Monster,1200,2500,New
D/D Savant Nikola,46035545,"('D/D', 'Prophecy')","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,D/D Savant Nikola,https://yugipedia.com/wiki/D/D_Savant_Nikola,,2023-07-24 19:13:42,,Effect Monster,2000,2000,New
D/D Savant Thomas,00041546,"('D/D', 'Prophecy')","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,D/D Savant Thomas,https://yugipedia.com/wiki/D/D_Savant_Thomas,,2023-07-24 19:13:39,"('Any',)",Effect Monster,2600,1800,New
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-14 20:39:40,"('Name', 'Type')",Normal Monster,2100,2500,Old
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-16 12:02:24,"('Name', 'Type')",Normal Monster,2100,2500,Old
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-24 19:37:16,"('Name', 'Type')",Normal Monster,2100,2500,New
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-24 18:43:44,"('Name', 'Type')",Normal Monster,2100,2500,New
Dark Spell Regeneration,12930501,,"('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Dark Spell Regeneration,https://yugipedia.com/wiki/Dark_Spell_Regeneration,"('Edited',)",2023-06-19 15:03:08,,,,,Old
Demone Valmonica,,"('Valmonica',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",,Not yet released,Demone Valmonica,https://yugipedia.com/wiki/Demone_Valmonica,,2023-08-08 01:09:08,,Effect Monster,2100,1200,Old
Demone Valmonica,30432463,"('Valmonica',)","('Condition', 'Continuous-like Effect', 'Ignition Effect')",,Unlimited,Demone Valmonica,https://yugipedia.com/wiki/Demone_Valmonica,,2023-08-26 01:19:41,,Effect Monster,2100,1200,New
Destined Rivals,22634473,,"('Condition', 'Effect')",Unlimited,Unlimited,Destined Rivals,https://yugipedia.com/wiki/Destined_Rivals,,2023-07-24 18:58:30,,,,,Old
Destiny End Dragoon,76263644,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Destiny End Dragoon,https://yugipedia.com/wiki/Destiny_End_Dragoon,,2023-07-27 08:44:37,"('Type',)",Fusion Monster,3000,3000,Old
Destiny End Dragoon,76263644,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Destiny End Dragoon,https://yugipedia.com/wiki/Destiny_End_Dragoon,,2023-08-22 15:10:37,"('Type',)",Fusion Monster,3000,3000,New
Divine Dragon Lord Felgrand,60681103,"('Felgrand',)","('Trigger Effect',)",Unlimited,Unlimited,Divine Dragon Lord Felgrand,https://yugipedia.com/wiki/Divine_Dragon_Lord_Felgrand,,2023-03-18 13:38:08,,Effect Monster,2800,2800,New
Divine Oddity of Valmonica - Zebufera,,"('Valmonica',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Divine Oddity of Valmonica - Zebufera,https://yugipedia.com/wiki/Divine_Oddity_of_Valmonica_-_Zebufera,,2023-08-08 01:19:56,,Link Monster,,2500,Old
Divine Oddity of Valmonica - Zebufera,02815176,"('Valmonica',)","('Condition', 'Continuous Effect', 'Quick Effect', 'Summoning condition')",,Unlimited,Divine Oddity of Valmonica - Zebufera,https://yugipedia.com/wiki/Divine_Oddity_of_Valmonica_-_Zebufera,,2023-08-26 01:22:57,,Link Monster,,2500,New
Drill Bug,88733579,,"('Trigger Effect',)",Unlimited,Unlimited,Drill Bug,https://yugipedia.com/wiki/Drill_Bug,,2023-06-22 02:31:02,"('Any',)",Effect Monster,200,1100,Old
Edge Imp Chain,61173621,"('Edge Imp',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Edge Imp Chain,https://yugipedia.com/wiki/Edge_Imp_Chain,,2023-07-31 22:27:52,"('Any',)",Effect Monster,1800,1200,New
Elemental HERO Grand Neos,48996569,"('Elemental HERO', 'HERO', 'Neos')","('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Elemental HERO Grand Neos,https://yugipedia.com/wiki/Elemental_HERO_Grand_Neos,,2023-07-24 19:06:25,"('Name',)",Fusion Monster,2000,2500,Old
Emblema of Oath,77765207,,"('Condition', 'Effect')",,Unlimited,Emblema of Oath,https://yugipedia.com/wiki/Emblema_of_Oath,,2023-08-26 01:01:58,,,,,New
Eternal Soul,48680970,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Eternal Soul,https://yugipedia.com/wiki/Eternal_Soul,,2023-06-25 20:26:14,"('Any',)",,,,Old
Faith of Centurion,,"('Centurion',)","('Condition', 'Effect', 'Trigger Effect')",,Not yet released,Faith of Centurion,https://yugipedia.com/wiki/Faith_of_Centurion,,2023-08-11 12:41:05,,,,,Old
Faith of Centurion,04160316,"('Centurion',)","('Condition', 'Effect', 'Trigger Effect')",,Unlimited,Faith of Centurion,https://yugipedia.com/wiki/Faith_of_Centurion,,2023-08-26 05:51:49,,,,,New
Fiend Kraken,77456781,,,Not yet released,Unlimited,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-17 05:03:43,,Normal Monster,1400,1200,Old
Fiend Kraken,77456781,,,Unlimited,Unlimited,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-24 19:15:22,,Normal Monster,1400,1200,New
Floodgate Trap Hole,69599136,"('Trap Hole (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Floodgate Trap Hole,https://yugipedia.com/wiki/Floodgate_Trap_Hole,,2023-08-24 18:49:37,,,,,New
Fluffal Owl,65331686,"('Fluffal',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Fluffal Owl,https://yugipedia.com/wiki/Fluffal_Owl,,2023-06-19 21:35:36,"('Any',)",Effect Monster,1000,1000,Old
Flyfang,11954712,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Flyfang,https://yugipedia.com/wiki/Flyfang,,2023-08-14 21:34:20,,Effect Monster,300,1600,Old
Flyfang,11954712,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Flyfang,https://yugipedia.com/wiki/Flyfang,,2023-08-24 19:18:31,"('Any',)",Effect Monster,300,1600,New
Frightfur Sanctuary,74839123,"('Frightfur',)","('Continuous-like Effect', 'Cost', 'Trigger Effect')",Unlimited,Unlimited,Frightfur Sanctuary,https://yugipedia.com/wiki/Frightfur_Sanctuary,"('Edited',)",2023-03-18 19:06:47,,,,,New
Fusion Fright Waltz,34449261,"('Fusion (archetype)',)","('Effect',)",Unlimited,Unlimited,Fusion Fright Waltz,https://yugipedia.com/wiki/Fusion_Fright_Waltz,,2019-11-30 17:38:17,,,,,New
Galaxy Cyclone,05133471,"('Galaxy',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Galaxy Cyclone,https://yugipedia.com/wiki/Galaxy_Cyclone,,2023-04-08 22:41:59,"('Any',)",,,,New
Galaxy-Eyes Cipher Dragon,18963306,"('-Eyes Dragon', 'Cipher', 'Cipher Dragon', 'Galaxy', 'Galaxy-Eyes')","('Ignition Effect',)",Unlimited,Unlimited,Galaxy-Eyes Cipher Dragon,https://yugipedia.com/wiki/Galaxy-Eyes_Cipher_Dragon,,2023-07-24 19:28:56,"('Name',)",Xyz Monster,2500,3000,New
Gokibore,15367030,,,Unlimited,Unlimited,Gokibore,https://yugipedia.com/wiki/Gokibore,,2023-08-14 23:35:30,,Normal Monster,1400,1200,Old
Gokibore,15367030,,,Unlimited,Unlimited,Gokibore,https://yugipedia.com/wiki/Gokibore,,2023-08-24 19:08:16,"('Type',)",Normal Monster,1400,1200,New
Golgoil,07526150,,,Not yet released,Unlimited,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-17 05:03:41,,Normal Monster,1600,900,Old
Golgoil,07526150,,,Unlimited,Unlimited,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-24 18:59:03,,Normal Monster,1600,900,New
Hi-Speedroid Puzzle,86943389,"('Roid', 'Speedroid')","('Trigger Effect',)",Unlimited,Unlimited,Hi-Speedroid Puzzle,https://yugipedia.com/wiki/Hi-Speedroid_Puzzle,,2023-03-18 23:50:25,,Synchro Monster,1600,1300,New
Holactie the Creator of Light,,"('Duel winner', 'Egyptian God')","('Condition', 'Summoning condition', 'Unclassified effect')",,Unlimited,Holactie the Creator of Light,https://yugipedia.com/wiki/Holactie_the_Creator_of_Light,,2023-08-11 12:26:00,,Effect Monster,?,?,Old
Knight's Title,87210505,,"('Cost', 'Effect')",Unlimited,Unlimited,Knight's Title,https://yugipedia.com/wiki/Knight%27s_Title,,2023-06-19 13:35:37,"('Any',)",,,,Old
Lunalight Crimson Fox,94919024,"('Lunalight',)","('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Lunalight Crimson Fox,https://yugipedia.com/wiki/Lunalight_Crimson_Fox,,2023-03-19 13:31:12,"('Any',)",Effect Monster,600,1800,New
Lunalight Panther Dancer,97165977,"('Lunalight',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Lunalight Panther Dancer,https://yugipedia.com/wiki/Lunalight_Panther_Dancer,,2023-07-24 14:48:55,"('Any',)",Fusion Monster,2500,2800,New
Magic Planter,01073952,,"('Cost', 'Effect')",Unlimited,Unlimited,Magic Planter,https://yugipedia.com/wiki/Magic_Planter,,2023-08-11 12:53:01,"('Any',)",,,,Old
Magic Planter,01073952,,"('Effect',)",Unlimited,Unlimited,Magic Planter,https://yugipedia.com/wiki/Magic_Planter,,2023-08-27 14:04:04,"('Any',)",,,,New
Magnetic Mosquito,50074522,,"('Flip effect',)",Unlimited,Unlimited,Magnetic Mosquito,https://yugipedia.com/wiki/Magnetic_Mosquito,,2023-08-14 23:25:39,,Effect Monster,1000,300,Old
Magnetic Mosquito,50074522,,"('Trigger Effect',)",Unlimited,Unlimited,Magnetic Mosquito,https://yugipedia.com/wiki/Magnetic_Mosquito,,2023-08-24 19:09:53,"('Type',)",Effect Monster,1000,300,New
"Master Peace, the True Dracoslayer",34079868,"('Dracoslayer', 'True Draco')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,"Master Peace, the True Dracoslayer","https://yugipedia.com/wiki/Master_Peace,_the_True_Dracoslayer",,2023-03-19 15:43:03,,Effect Monster,2950,2950,New
Memento Bone Back,,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,Not yet released,Memento Bone Back,https://yugipedia.com/wiki/Memento_Bone_Back,,2023-08-11 18:37:35,,,,,Old
Memento Bone Back,16227633,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,Unlimited,Memento Bone Back,https://yugipedia.com/wiki/Memento_Bone_Back,,2023-08-26 05:52:53,,,,,New
Memento Bone Party,,"('Memento',)","('Condition', 'Effect', 'Ignition-like Effect')",,Not yet released,Memento Bone Party,https://yugipedia.com/wiki/Memento_Bone_Party,,2023-07-10 13:27:11,,,,,Old
Memento Bone Party,80722024,"('Memento',)","('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Memento Bone Party,https://yugipedia.com/wiki/Memento_Bone_Party,,2023-08-26 00:46:25,,,,,New
Memento Cranium Burst,,"('Memento',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,Not yet released,Memento Cranium Burst,https://yugipedia.com/wiki/Memento_Cranium_Burst,,2023-08-11 18:37:38,,,,,Old
Memento Cranium Burst,79600447,"('Memento',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,Unlimited,Memento Cranium Burst,https://yugipedia.com/wiki/Memento_Cranium_Burst,,2023-08-26 00:49:35,,,,,New
Memento Dark Blade,,"('Memento',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,Memento Dark Blade,https://yugipedia.com/wiki/Memento_Dark_Blade,,2023-08-09 12:43:13,,Effect Monster,1500,1800,Old
Memento Dark Blade,18165869,"('Memento',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Memento Dark Blade,https://yugipedia.com/wiki/Memento_Dark_Blade,,2023-08-26 00:40:01,,Effect Monster,1500,1800,New
Memento Fairywitch,,"('Memento',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,Memento Fairywitch,https://yugipedia.com/wiki/Memento_Fairywitch,,2023-07-10 12:58:00,,Effect Monster,1000,800,Old
Memento Fairywitch,54550967,"('Memento',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Memento Fairywitch,https://yugipedia.com/wiki/Memento_Fairywitch,,2023-08-26 00:41:46,,Effect Monster,1000,800,New
Memento Fracture Dance,,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,Not yet released,Memento Fracture Dance,https://yugipedia.com/wiki/Memento_Fracture_Dance,,2023-08-11 18:37:41,,,,,Old
Memento Fracture Dance,43215738,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,Unlimited,Memento Fracture Dance,https://yugipedia.com/wiki/Memento_Fracture_Dance,,2023-08-26 00:48:27,,,,,New
Memento Goblin,,"('Goblin', 'Memento')","('Condition', 'Ignition Effect', 'Quick Effect')",,Not yet released,Memento Goblin,https://yugipedia.com/wiki/Memento_Goblin,,2023-08-11 18:34:33,,Effect Monster,400,400,Old
Memento Goblin,17943271,"('Goblin', 'Memento')","('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,Memento Goblin,https://yugipedia.com/wiki/Memento_Goblin,,2023-08-26 00:44:13,,Effect Monster,400,400,New
Memento Horn Dragon,,"('Memento',)","('Condition', 'Trigger Effect', 'Unclassified effect')",,Not yet released,Memento Horn Dragon,https://yugipedia.com/wiki/Memento_Horn_Dragon,,2023-07-10 12:47:33,,Effect Monster,2350,2850,Old
Memento Horn Dragon,55272555,"('Memento',)","('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,Memento Horn Dragon,https://yugipedia.com/wiki/Memento_Horn_Dragon,,2023-08-26 00:36:30,,Effect Monster,2350,2850,New
Memento Mace,,"('Memento',)","('Condition', 'Ignition Effect', 'Quick Effect')",,Not yet released,Memento Mace,https://yugipedia.com/wiki/Memento_Mace,,2023-08-11 18:34:37,,Effect Monster,300,400,Old
Memento Mace,81945676,"('Memento',)","('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,Memento Mace,https://yugipedia.com/wiki/Memento_Mace,,2023-08-26 00:43:03,,Effect Monster,300,400,New
Memento Tatsunootoshigo,,"('Memento',)","('Condition', 'Ignition Effect')",,Not yet released,Memento Tatsunootoshigo,https://yugipedia.com/wiki/Memento_Tatsunootoshigo,,2023-07-10 12:52:21,,Effect Monster,1600,1350,Old
Memento Tatsunootoshigo,81677154,"('Memento',)","('Condition', 'Ignition Effect')",,Unlimited,Memento Tatsunootoshigo,https://yugipedia.com/wiki/Memento_Tatsunootoshigo,,2023-08-26 00:37:28,,Effect Monster,1600,1350,New
"Mementoral Tecuhtlica, the Netherskull Dragon",,"('Memento',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,"Mementoral Tecuhtlica, the Netherskull Dragon","https://yugipedia.com/wiki/Mementoral_Tecuhtlica,_the_Netherskull_Dragon",,2023-08-12 13:50:56,,Effect Monster,5000,5000,Old
"Mementoral Tecuhtlica, the Netherskull Dragon",23288411,"('Memento',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,"Mementoral Tecuhtlica, the Netherskull Dragon","https://yugipedia.com/wiki/Mementoral_Tecuhtlica,_the_Netherskull_Dragon",,2023-08-26 05:53:29,,Effect Monster,5000,5000,New
Metalfoes Counter,33327029,"('Counter (archetype)', 'Metalfoes')","('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Metalfoes Counter,https://yugipedia.com/wiki/Metalfoes_Counter,,2023-04-06 12:21:55,"('Any',)",,,,New
Metamorformation,46500985,,"('Continuous-like Effect',)",Unlimited,Unlimited,Metamorformation,https://yugipedia.com/wiki/Metamorformation,,2019-12-02 23:21:01,,,,,New
Monster Rebirth,54564198,,"('Effect',)",Unlimited,Unlimited,Monster Rebirth,https://yugipedia.com/wiki/Monster_Rebirth,"('Edited',)",2023-07-27 06:33:04,,,,,New
Multiplication of Ants,22493811,,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Multiplication of Ants,https://yugipedia.com/wiki/Multiplication_of_Ants,,2023-08-14 23:39:30,"('Any',)",,,,Old
Multiplication of Ants,22493811,,"('Cost', 'Effect')",Unlimited,Unlimited,Multiplication of Ants,https://yugipedia.com/wiki/Multiplication_of_Ants,,2023-08-24 19:07:45,"('Any',)",,,,New
Needle Sunfish,56223084,,"('Trigger Effect',)",Unlimited,Unlimited,Needle Sunfish,https://yugipedia.com/wiki/Needle_Sunfish,,2023-08-14 21:36:42,,Effect Monster,100,1500,Old
Needle Sunfish,56223084,,"('Trigger Effect',)",Unlimited,Unlimited,Needle Sunfish,https://yugipedia.com/wiki/Needle_Sunfish,,2023-08-24 19:17:32,"('Any',)",Effect Monster,100,1500,New
Netherskull Temple - Mementolan,,"('Memento',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",,Not yet released,Netherskull Temple - Mementolan,https://yugipedia.com/wiki/Netherskull_Temple_-_Mementolan,,2023-08-11 18:36:06,,,,,Old
Netherskull Temple - Mementolan,43338320,"('Memento',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",,Unlimited,Netherskull Temple - Mementolan,https://yugipedia.com/wiki/Netherskull_Temple_-_Mementolan,,2023-08-26 00:45:19,,,,,New
Number 45: Crumble Logos the Prophet of Demolition,29208536,"('Number', 'Number (Spell/Trap archetype)')","('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Number 45: Crumble Logos the Prophet of Demolition,https://yugipedia.com/wiki/Number_45:_Crumble_Logos_the_Prophet_of_Demolition,,2023-03-19 19:37:38,"('Any',)",Xyz Monster,0,2200,New
Numbing Grub in the Ice Barrier,92065772,"('Ice Barrier',)","('Trigger Effect',)",Unlimited,Unlimited,Numbing Grub in the Ice Barrier,https://yugipedia.com/wiki/Numbing_Grub_in_the_Ice_Barrier,,2023-07-28 08:40:02,"('Any',)",Effect Monster,1800,1300,Old
Numbing Grub in the Ice Barrier,92065772,"('Ice Barrier',)","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Numbing Grub in the Ice Barrier,https://yugipedia.com/wiki/Numbing_Grub_in_the_Ice_Barrier,,2023-08-25 22:58:27,"('Any',)",Effect Monster,1800,1300,New
Odd Deity of Valmonica - Giurarme,,"('Valmonica',)","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Odd Deity of Valmonica - Giurarme,https://yugipedia.com/wiki/Odd_Deity_of_Valmonica_-_Giurarme,,2023-08-08 01:17:18,,Link Monster,,2500,Old
Odd Deity of Valmonica - Giurarme,76821171,"('Valmonica',)","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Odd Deity of Valmonica - Giurarme,https://yugipedia.com/wiki/Odd_Deity_of_Valmonica_-_Giurarme,,2023-08-26 01:21:34,,Link Monster,,2500,New
Old Vindictive Magician,45141844,"('Magician',)","('Flip effect',)",Unlimited,Unlimited,Old Vindictive Magician,https://yugipedia.com/wiki/Old_Vindictive_Magician,,2023-08-14 20:52:27,"('Type',)",Effect Monster,600,450,Old
Old Vindictive Magician,45141844,"('Magician',)","('Trigger Effect',)",Unlimited,Unlimited,Old Vindictive Magician,https://yugipedia.com/wiki/Old_Vindictive_Magician,,2023-08-24 19:32:17,"('Type',)",Effect Monster,600,450,New
Oracle of Zefra,32354768,"('Zefra',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Oracle of Zefra,https://yugipedia.com/wiki/Oracle_of_Zefra,,2023-03-19 20:59:08,"('Any',)",,,,New
Palladium Oracle Mana,42006475,"('Palladium',)","('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Palladium Oracle Mana,https://yugipedia.com/wiki/Palladium_Oracle_Mana,,2023-06-19 13:26:21,,Effect Monster,1700,2000,Old
