Name,Password,Effect type,TCG status,OCG status,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Page name,Version
A Hero Emerges,21597117,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Hero_Emerges,,2022-03-21 20:21:26,,,,,,Old
A Hero Emerges,21597117,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Hero_Emerges,,2022-03-21 20:21:26,"('Any',)",,,,A Hero Emerges,New
A Hero Lives,08949584,"('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Hero_Lives,,2022-11-02 12:48:15,,,,,,Old
A Hero Lives,08949584,"('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Hero_Lives,,2022-11-02 12:48:15,"('Any',)",,,,A Hero Lives,New
A Major Upset,32207100,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Major_Upset,,2022-04-27 14:47:04,,,,,,Old
A Major Upset,32207100,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Major_Upset,,2022-04-27 14:47:04,"('Any',)",,,,A Major Upset,New
A Man with Wdjat,51351302,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Man_with_Wdjat,,2023-01-03 15:53:59,,Effect Monster,1600,1600,,Old
A Man with Wdjat,51351302,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Man_with_Wdjat,,2023-01-03 15:53:59,"('Any',)",Effect Monster,1600,1600,A Man with Wdjat,New
A Rival Appears!,05728014,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Rival_Appears!,,2022-04-20 11:26:31,,,,,,Old
A Rival Appears!,05728014,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Rival_Appears!,,2022-04-20 11:26:31,"('Any',)",,,,A Rival Appears!,New
A Wild Monster Appears!,23587624,"('Activation condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Wild_Monster_Appears!,,2022-03-10 03:30:59,,,,,,Old
A Wild Monster Appears!,23587624,"('Activation condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A_Wild_Monster_Appears!,,2022-03-10 03:30:59,"('Any',)",,,,A Wild Monster Appears!,New
A-Assault Core,30012506,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A-Assault_Core,,2022-07-24 09:50:49,,Effect Monster,200,1900,,Old
A-Assault Core,30012506,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/A-Assault_Core,,2022-07-24 09:50:49,"('Any',)",Effect Monster,200,1900,A-Assault Core,New
A/D Changer,96146814,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A/D_Changer,,2022-03-31 12:47:56,,Effect Monster,100,100,,Old
A/D Changer,96146814,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/A/D_Changer,,2022-03-31 12:47:56,"('Any',)",Effect Monster,100,100,A/D Changer,New
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2021-07-10 13:42:21,,Fusion Monster,2800,3000,,Old
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2021-07-10 13:42:21,"('Any',)",Fusion Monster,2800,3000,ABC-Dragon Buster,New
Abaki,12694768,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abaki,,2021-11-06 16:29:42,,Effect Monster,1100,1700,,Old
Abaki,12694768,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abaki,,2021-11-06 16:29:42,"('Any',)",Effect Monster,1100,1700,Abaki,New
Abare Ushioni,89718302,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abare_Ushioni,,2022-08-25 09:32:52,,Effect Monster,1200,1200,,Old
Abare Ushioni,89718302,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abare_Ushioni,,2022-08-25 09:32:52,"('Any',)",Effect Monster,1200,1200,Abare Ushioni,New
Absolute Crusader,70832512,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_Crusader,,2020-11-15 04:24:25,,Effect Monster,1200,1800,,Old
Absolute Crusader,70832512,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_Crusader,,2020-11-15 04:24:25,"('Any',)",Effect Monster,1200,1800,Absolute Crusader,New
Absolute End,27744077,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_End,"('Edited',)",2022-08-13 13:13:33,,,,,,Old
Absolute End,27744077,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_End,"('Edited',)",2022-08-13 13:13:33,"('Any',)",,,,Absolute End,New
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2022-12-01 16:10:35,,Effect Monster,0,0,,Old
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2022-12-01 16:10:35,"('Any',)",Effect Monster,0,0,Absolute King Back Jack,New
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2022-12-30 14:53:58,,Effect Monster,1000,1500,,Old
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2022-12-30 14:53:58,"('Any',)",Effect Monster,1000,1500,Abyss Actor - Leading Lady,New
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2022-12-25 15:47:09,,Effect Monster,1800,2500,,Old
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2022-12-25 15:47:09,"('Any',)",Effect Monster,1800,2500,Abyss Actor - Superstar,New
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Dweller,,2022-10-10 14:40:57,,Xyz Monster,1400,1700,,Old
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Dweller,,2022-10-10 14:40:57,"('Any',)",Xyz Monster,1400,1700,Abyss Dweller,New
Abyss Script - Rise of the Abyss King,13662809,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Rise_of_the_Abyss_King,,2022-12-25 15:49:23,,,,,,Old
Abyss Script - Rise of the Abyss King,13662809,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Script_-_Rise_of_the_Abyss_King,,2022-12-25 15:49:23,"('Any',)",,,,Abyss Script - Rise of the Abyss King,New
Abyss Soldier,18318842,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Soldier,,2022-04-29 12:29:25,,Effect Monster,1300,1800,,Old
Abyss Soldier,18318842,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyss_Soldier,,2022-04-29 12:29:25,"('Any',)",Effect Monster,1300,1800,Abyss Soldier,New
Abyssal Designator,89801755,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyssal_Designator,,2022-09-23 08:24:34,,,,,,Old
Abyssal Designator,89801755,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Abyssal_Designator,,2022-09-23 08:24:34,"('Any',)",,,,Abyssal Designator,New
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,,Synchro Monster,2100,500,,Old
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Accel_Synchron,,2022-07-21 16:34:07,"('Any',)",Synchro Monster,2100,500,Accel Synchron,New
Adhesive Explosive,53828396,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Adhesive_Explosive,,2020-11-15 04:46:04,,Effect Monster,1000,1000,,Old
Adhesive Explosive,53828396,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Adhesive_Explosive,,2020-11-15 04:46:04,"('Any',)",Effect Monster,1000,1000,Adhesive Explosive,New
Advance Draw,51630558,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Advance_Draw,,2022-04-27 14:46:32,,,,,,Old
Advance Draw,51630558,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Advance_Draw,,2022-04-27 14:46:32,"('Any',)",,,,Advance Draw,New
Advance Zone,76224717,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Advance_Zone,,2021-02-03 18:16:11,,,,,,Old
Advance Zone,76224717,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Advance_Zone,,2021-02-03 18:16:11,"('Any',)",,,,Advance Zone,New
Advanced Dark,12644061,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Advanced_Dark,,2022-12-01 14:56:47,,,,,,Old
Advanced Dark,12644061,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Advanced_Dark,,2022-12-01 14:56:47,"('Any',)",,,,Advanced Dark,New
Advanced Ritual Art,46052429,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Advanced_Ritual_Art,,2022-08-14 09:26:14,,,,,,Old
Advanced Ritual Art,46052429,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Advanced_Ritual_Art,,2022-08-14 09:26:14,"('Any',)",,,,Advanced Ritual Art,New
Aegaion the Sea Castrum,10678778,"('Condition', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegaion_the_Sea_Castrum,,2021-03-08 05:12:46,,Xyz Monster,3000,?,,Old
Aegaion the Sea Castrum,10678778,"('Condition', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegaion_the_Sea_Castrum,,2021-03-08 05:12:46,,Xyz Monster,3000,,Aegaion the Sea Castrum,New
Aegis of Gaia,47060347,"('Continuous-like Effect', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegis_of_Gaia,,2022-04-20 12:16:45,,,,,,Old
Aegis of Gaia,47060347,"('Continuous-like Effect', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegis_of_Gaia,,2022-04-20 12:16:45,"('Any',)",,,,Aegis of Gaia,New
Aegis of the Ocean Dragon Lord,07935043,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegis_of_the_Ocean_Dragon_Lord,,2022-04-27 14:47:19,,,,,,Old
Aegis of the Ocean Dragon Lord,07935043,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Aegis_of_the_Ocean_Dragon_Lord,,2022-04-27 14:47:19,"('Any',)",,,,Aegis of the Ocean Dragon Lord,New
Agido,16135253,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Agido,,2022-04-13 12:40:39,,Effect Monster,1300,1500,,Old
Agido,16135253,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Agido,,2022-04-13 12:40:39,"('Any',)",Effect Monster,1300,1500,Agido,New
Air Armor Ninja,69023354,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Air_Armor_Ninja,,2023-01-03 20:23:02,,Effect Monster,1400,1400,,Old
Air Armor Ninja,69023354,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Air_Armor_Ninja,,2023-01-03 20:23:02,"('Any',)",Effect Monster,1400,1400,Air Armor Ninja,New
Airknight Parshath,18036057,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Airknight_Parshath,,2022-04-24 04:03:35,,Effect Monster,1400,1900,,Old
Airknight Parshath,18036057,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Airknight_Parshath,,2022-04-24 04:03:35,"('Any',)",Effect Monster,1400,1900,Airknight Parshath,New
Airorca,84747429,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Airorca,,2020-10-31 04:59:31,,Effect Monster,300,1400,,Old
Airorca,84747429,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Airorca,,2020-10-31 04:59:31,"('Any',)",Effect Monster,300,1400,Airorca,New
Albaz the Shrouded,,,Legal,Legal,https://yugipedia.com/wiki/Albaz_the_Shrouded,,2022-04-16 11:51:55,,Monster Token,,,Albaz the Shrouded,New
Albion the Branded Dragon,87746184,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Albion_the_Branded_Dragon,,2022-09-14 13:28:50,,Fusion Monster,2000,2500,,Old
Albion the Branded Dragon,87746184,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Albion_the_Branded_Dragon,,2022-09-14 13:28:50,"('Any',)",Fusion Monster,2000,2500,Albion the Branded Dragon,New
"Alector, Sovereign of Birds",17573739,"('Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Alector,_Sovereign_of_Birds",,2022-04-27 16:38:19,,Effect Monster,2000,2400,,Old
"Alector, Sovereign of Birds",17573739,"('Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Alector,_Sovereign_of_Birds",,2022-04-27 16:38:19,"('Any',)",Effect Monster,2000,2400,"Alector, Sovereign of Birds",New
Aleister the Invoker,86120751,"('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aleister_the_Invoker,"('Alternate',)",2022-10-29 14:03:11,,Effect Monster,1800,1000,,Old
Aleister the Invoker,86120751,"('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aleister_the_Invoker,"('Alternate',)",2022-10-29 14:03:11,"('Any',)",Effect Monster,1800,1000,Aleister the Invoker,New
Aleister the Invoker of Madness,97973962,"('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aleister_the_Invoker_of_Madness,,2022-11-05 14:23:41,,Link Monster,,1800,,Old
Aleister the Invoker of Madness,97973962,"('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Aleister_the_Invoker_of_Madness,,2023-02-18 02:34:20,,Link Monster,,1800,Aleister the Invoker of Madness,New
Alexandrite Dragon,43096270,,Unlimited,Unlimited,https://yugipedia.com/wiki/Alexandrite_Dragon,,2023-01-03 00:35:31,,Normal Monster,100,2000,,Old
Alexandrite Dragon,43096270,,Unlimited,Unlimited,https://yugipedia.com/wiki/Alexandrite_Dragon,,2023-01-03 00:35:31,"('Any',)",Normal Monster,100,2000,Alexandrite Dragon,New
"Alich, Malebranche of the Burning Abyss",47728740,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Alich,_Malebranche_of_the_Burning_Abyss",,2022-07-09 04:14:11,,Effect Monster,0,1200,,Old
"Alich, Malebranche of the Burning Abyss",47728740,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Alich,_Malebranche_of_the_Burning_Abyss",,2022-07-09 04:14:11,"('Any',)",Effect Monster,0,1200,"Alich, Malebranche of the Burning Abyss",New
Alien Brain,17490535,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Brain,,2022-04-27 14:47:50,,,,,,Old
Alien Brain,17490535,"('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Brain,,2022-04-27 14:47:50,"('Any',)",,,,Alien Brain,New
Alien Infiltrator,76573247,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Infiltrator,,2021-11-06 16:07:30,,Effect Monster,500,800,,Old
Alien Infiltrator,76573247,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Infiltrator,,2021-11-06 16:07:30,"('Any',)",Effect Monster,500,800,Alien Infiltrator,New
Alien Warrior,98719226,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Warrior,,2021-11-06 16:10:48,,Effect Monster,1000,1800,,Old
Alien Warrior,98719226,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Alien_Warrior,,2021-11-06 16:10:48,"('Any',)",Effect Monster,1000,1800,Alien Warrior,New
All-Out Attacks,30834988,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/All-Out_Attacks,,2022-10-25 09:01:27,,,,,,Old
All-Out Attacks,30834988,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/All-Out_Attacks,,2022-10-25 09:01:27,"('Any',)",,,,All-Out Attacks,New
Alligator's Sword Dragon,03366982,"('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon,,2020-11-15 04:53:12,,Fusion Monster,1500,1700,,Old
Alligator's Sword Dragon,03366982,"('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon,,2020-11-15 04:53:12,"('Any',)",Fusion Monster,1500,1700,Alligator's Sword Dragon,New
Allure of Darkness,01475311,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Allure_of_Darkness,,2022-03-26 14:25:15,,,,,,Old
Allure of Darkness,01475311,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Allure_of_Darkness,,2022-03-26 14:25:15,"('Any',)",,,,Allure of Darkness,New
Ally of Justice Catastor,26593852,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Catastor,,2023-01-03 01:22:54,,Synchro Monster,1200,2200,,Old
Ally of Justice Catastor,26593852,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Catastor,,2023-01-03 01:22:54,"('Any',)",Synchro Monster,1200,2200,Ally of Justice Catastor,New
Ally of Justice Core Destroyer,36629203,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Core_Destroyer,,2022-08-27 15:02:06,,Effect Monster,200,1200,,Old
Ally of Justice Core Destroyer,36629203,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Core_Destroyer,,2022-08-27 15:02:06,"('Any',)",Effect Monster,200,1200,Ally of Justice Core Destroyer,New
Ally of Justice Cosmic Gateway,08822710,"('Unclassified effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Cosmic_Gateway,,2022-03-11 20:17:43,,Effect Monster,1200,2400,,Old
Ally of Justice Cosmic Gateway,08822710,"('Unclassified effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Cosmic_Gateway,,2022-03-11 20:17:43,"('Any',)",Effect Monster,1200,2400,Ally of Justice Cosmic Gateway,New
Ally of Justice Decisive Armor,09888196,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Decisive_Armor,,2022-03-11 14:28:34,,Synchro Monster,3300,3300,,Old
Ally of Justice Decisive Armor,09888196,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Decisive_Armor,,2022-03-11 14:28:34,"('Any',)",Synchro Monster,3300,3300,Ally of Justice Decisive Armor,New
Ally of Justice Enemy Catcher,45033006,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Enemy_Catcher,,2022-03-11 20:19:50,,Effect Monster,1800,1800,,Old
Ally of Justice Enemy Catcher,45033006,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Enemy_Catcher,,2022-03-11 20:19:50,"('Any',)",Effect Monster,1800,1800,Ally of Justice Enemy Catcher,New
Ally of Justice Field Marshal,69461394,"('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Field_Marshal,,2022-06-14 13:43:29,,Synchro Monster,2600,2900,,Old
Ally of Justice Field Marshal,69461394,"('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Field_Marshal,,2022-06-14 13:43:29,"('Any',)",Synchro Monster,2600,2900,Ally of Justice Field Marshal,New
Ally of Justice Light Gazer,19204398,"('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Light_Gazer,,2021-11-06 16:14:58,,Synchro Monster,1600,2400,,Old
Ally of Justice Light Gazer,19204398,"('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Light_Gazer,,2021-11-06 16:14:58,"('Any',)",Synchro Monster,1600,2400,Ally of Justice Light Gazer,New
Ally of Justice Nullfier,76650663,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Nullfier,,2022-03-11 20:22:07,,Effect Monster,1200,1600,,Old
Ally of Justice Nullfier,76650663,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Nullfier,,2022-03-11 20:22:07,"('Any',)",Effect Monster,1200,1600,Ally of Justice Nullfier,New
Ally of Justice Omni-Weapon,45450218,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Omni-Weapon,,2022-03-11 20:12:44,,Effect Monster,800,2200,,Old
Ally of Justice Omni-Weapon,45450218,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Omni-Weapon,,2022-03-11 20:12:44,"('Any',)",Effect Monster,800,2200,Ally of Justice Omni-Weapon,New
Ally of Justice Reverse Break,55982698,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Reverse_Break,,2022-03-11 20:17:07,,Effect Monster,1200,1200,,Old
Ally of Justice Reverse Break,55982698,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Reverse_Break,,2022-03-11 20:17:07,"('Any',)",Effect Monster,1200,1200,Ally of Justice Reverse Break,New
Ally of Justice Searcher,03648368,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Searcher,,2022-05-14 05:58:15,,Effect Monster,100,1400,,Old
Ally of Justice Searcher,03648368,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Searcher,,2022-05-14 05:58:15,"('Any',)",Effect Monster,100,1400,Ally of Justice Searcher,New
Ally of Justice Thunder Armor,71438011,"('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Thunder_Armor,,2022-03-11 20:18:35,,Effect Monster,2200,2700,,Old
Ally of Justice Thunder Armor,71438011,"('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Thunder_Armor,,2022-03-11 20:18:35,"('Any',)",Effect Monster,2200,2700,Ally of Justice Thunder Armor,New
Ally of Justice Unlimiter,82377606,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Unlimiter,,2022-04-18 02:49:54,,Effect Monster,200,600,,Old
Ally of Justice Unlimiter,82377606,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Ally_of_Justice_Unlimiter,,2022-04-18 02:49:54,"('Any',)",Effect Monster,200,600,Ally of Justice Unlimiter,New
