Name,TCG status,Page URL,Artwork,Modification date,Errata,Page name,Version
Red Nova,Unlimited,https://yugipedia.com/wiki/Red_Nova_(card),,2022-04-20 14:14:47,"('Any',)",,Old
Red Nova,Unlimited,https://yugipedia.com/wiki/Red_Nova_(card),,2022-04-20 14:14:47,,Red Nova (card),New
Roar of the Earthbound Immortal,Unlimited,https://yugipedia.com/wiki/Roar_of_the_Earthbound_Immortal,,2022-07-22 00:03:56,"('Any',)",,Old
Rock Ogre Grotto #1,Unlimited,https://yugipedia.com/wiki/Rock_Ogre_Grotto_1,,2023-01-03 18:05:43,"('Name',)",,Old
Rock Ogre Grotto #1,Unlimited,https://yugipedia.com/wiki/Rock_Ogre_Grotto_1,,2023-01-03 18:05:43,,Rock Ogre Grotto 1,New
Sasuke Samurai #3,Unlimited,https://yugipedia.com/wiki/Sasuke_Samurai_3,,2020-03-16 13:35:29,"('Name',)",,Old
Sasuke Samurai #3,Unlimited,https://yugipedia.com/wiki/Sasuke_Samurai_3,,2020-03-16 13:35:29,,Sasuke Samurai 3,New
Skull Knight #2,Unlimited,https://yugipedia.com/wiki/Skull_Knight_2,,2021-11-07 17:25:19,"('Any',)",,Old
Skull Knight #2,Unlimited,https://yugipedia.com/wiki/Skull_Knight_2,,2021-11-07 17:25:19,,Skull Knight 2,New
Steel Ogre Grotto #1,Unlimited,https://yugipedia.com/wiki/Steel_Ogre_Grotto_1,,2021-11-07 16:49:31,"('Name',)",,Old
Steel Ogre Grotto #1,Unlimited,https://yugipedia.com/wiki/Steel_Ogre_Grotto_1,,2021-11-07 16:49:31,,Steel Ogre Grotto 1,New
Super War-Lion,,https://yugipedia.com/wiki/Super_War-Lion_(Normal),,2022-04-17 01:31:34,,,Old
Super War-Lion,,https://yugipedia.com/wiki/Super_War-Lion_(Normal),,2022-04-17 01:31:34,"('Any',)",Super War-Lion (Normal),New
Synchro Material,Unlimited,https://yugipedia.com/wiki/Synchro_Material_(card),,2020-10-27 03:39:34,"('Any',)",,Old
Synchro Material,Unlimited,https://yugipedia.com/wiki/Synchro_Material_(card),,2020-10-27 03:39:34,,Synchro Material (card),New
The Seal of Orichalcos,Illegal,https://yugipedia.com/wiki/The_Seal_of_Orichalcos_(UDE_promo),,2023-01-17 09:34:36,,,Old
The Seal of Orichalcos,Illegal,https://yugipedia.com/wiki/The_Seal_of_Orichalcos_(UDE_promo),,2023-01-17 09:34:36,"('Any',)",The Seal of Orichalcos (UDE promo),New
Token,,https://yugipedia.com/wiki/Token_(Yugi),,2019-11-22 18:19:10,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jaden_and_%22Elemental_HERO_Flame_Wingman%22),,2022-06-28 23:51:34,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jaden_and_Elemental_HERO_Neos_-_20th_Anniversary),,2019-11-21 19:15:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(Astral_and_Number_39:_Utopia),,2022-09-30 19:23:55,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_and_Odd-Eyes_Pendulum_Dragon),,2022-09-30 19:18:50,,,Old
Token,,https://yugipedia.com/wiki/Token_(Blue_Angel_and_Trickstar_Holly_Angel),,2022-09-30 19:17:52,,,Old
Token,,https://yugipedia.com/wiki/Token_(Reginald_and_%22Number_C32:_Shark_Drake_Veiss%22),,2022-06-29 19:17:43,,,Old
Token,,https://yugipedia.com/wiki/Token_(Pegasus_and_%22Relinquished%22),,2022-07-03 01:56:11,,,Old
Token,,https://yugipedia.com/wiki/Token_(Playmaker_and_Cyberse_Clock_Dragon),,2022-09-30 19:18:05,,,Old
Token,,https://yugipedia.com/wiki/Token_(Numbers_Club),,2022-04-20 16:13:18,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kaiba_%26_Yugi_-_The_Dark_Side_of_Dimensions),,2021-06-22 08:54:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kaiba_and_%22Blue-Eyes_Ultimate_Dragon%22),,2022-07-02 07:54:51,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kaiba_and_%22Obelisk_the_Tormentor%22),,2022-06-28 12:51:10,,,Old
Token,,https://yugipedia.com/wiki/Token_(Sora_and_%22Frightfur_Chimera%22),,2022-09-19 13:03:00,,,Old
Token,Legal,https://yugipedia.com/wiki/Token_(Kaiba_and_Blue-Eyes_White_Dragon),,2022-09-30 19:20:23,,,Old
Token,,https://yugipedia.com/wiki/Token_(Keith_and_%22Barrel_Dragon%22),,2022-07-02 21:01:56,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kite_%26_Mizar),,2021-06-22 08:55:11,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kite_and_%22Galaxy-Eyes_Photon_Dragon%22),,2022-10-23 12:55:40,,,Old
Token,,https://yugipedia.com/wiki/Token_(Odion_and_%22Embodiment_of_Apophis%22),,2022-10-23 12:15:38,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kite_and_%22Number_62:_Galaxy-Eyes_Prime_Photon_Dragon%22),,2022-06-28 23:04:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Leo_and_%22Life_Stream_Dragon%22),,2022-07-11 08:42:43,,,Old
Token,,https://yugipedia.com/wiki/Token_(Luna_and_%22Ancient_Fairy_Dragon%22),,2022-07-11 08:45:31,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kalin_and_%22Infernity_Doom_Dragon%22),,2022-10-23 12:40:14,,,Old
Token,,https://yugipedia.com/wiki/Token_(Bastion_and_%22Water_Dragon%22),,2022-10-23 12:25:39,,,Old
Token,,https://yugipedia.com/wiki/Token_(Shay_and_Raidraptor_-_Ultimate_Falcon),,2021-02-21 20:35:16,,,Old
Token,,https://yugipedia.com/wiki/Token_(Rio),"('Edited',)",2022-04-20 15:08:36,,,Old
Token,,https://yugipedia.com/wiki/Token_(Blue_Gal_and_%22Trickstar_Band_Sweet_Guitar%22),,2022-09-19 12:57:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(Anna_and_%22Superdreadnought_Rail_Cannon_Gustav_Max%22),,2022-07-11 08:51:21,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jesse_and_Rainbow_Dragon),,2022-09-30 19:19:55,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jaden_and_Winged_Kuriboh),,2022-09-30 19:20:03,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jaden_-_OCG_20th_Anniversary),,2019-11-21 19:12:31,,,Old
Token,Legal,https://yugipedia.com/wiki/Token_(Joey_and_Red-Eyes_Black_Dragon),,2022-09-30 19:20:12,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jack_and_Red_Dragon_Archfiend),,2022-07-11 08:33:06,,,Old
Token,,https://yugipedia.com/wiki/Token_(Ishizu_and_%22Exchange_of_the_Spirit%22),,2022-10-23 12:17:03,,,Old
Token,,https://yugipedia.com/wiki/Token_(Carly_and_%22Fortune_Fairies%22),,2022-10-23 12:43:14,,,Old
Token,,https://yugipedia.com/wiki/Token_(Nash_and_%22Number_C101:_Silent_Honor_DARK%22),,2022-06-29 19:20:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(Supreme_King_Jaden_and_%22Supreme_King%27s_Castle%22),,2022-10-23 12:18:25,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei),,2022-09-30 19:19:47,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma_and_%22Number_39:_Utopia_Beyond%22),,2022-06-28 23:33:57,,,Old
Token,,https://yugipedia.com/wiki/Token_(20th_Anniversary),,2021-06-22 08:53:09,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma_and_%22Number_39:_Utopia%22),,2022-10-23 12:53:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma_and_Number_39:_Utopia_-_20th_Anniversary),,2019-11-22 18:34:16,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuri),,2022-09-30 19:18:24,,,Old
Token,,https://yugipedia.com/wiki/Token_(Soulburner_and_Salamangreat_Heatleo),,2021-02-21 19:50:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(Ai_and_Dark_Templar_@Ignister),,2020-10-01 01:52:58,,,Old
Token,,https://yugipedia.com/wiki/Token_(Ai_and_The_Arrival_Cyberse_@Ignister),,2021-02-21 19:45:30,,,Old
Token,,https://yugipedia.com/wiki/Token_(Akiza_and_%22Black_Rose_Dragon%22),,2022-07-11 08:37:14,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jesse_and_%22Crystal_Beast_Ruby_Carbuncle%22),,2022-10-23 12:19:54,,,Old
Token,,https://yugipedia.com/wiki/Token_(Alexis_and_%22Cyber_Angel_Dakini%22),,2022-07-03 11:36:47,,,Old
Token,,https://yugipedia.com/wiki/Token_(Antinomy_and_%22T.G._Blade_Blaster%22),,2022-10-23 12:50:56,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma),,2022-09-30 19:19:38,,,Old
Token,,https://yugipedia.com/wiki/Token_(Stardust_Spark_Dragon),,2019-11-21 19:45:39,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jaden_and_%22Yubel%22),,2022-07-02 23:06:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(Chazz_and_%22Armed_Dragon_Thunder_LV10%22),,2022-07-11 07:57:04,,,Old
Token,,https://yugipedia.com/wiki/Token_(Blue_Maiden_and_Marincess_Great_Bubble_Reef),,2021-02-21 19:28:39,,,Old
Token,,https://yugipedia.com/wiki/Token_(15th_Anniversary),,2022-06-03 16:52:59,,,Old
Token,,https://yugipedia.com/wiki/Token_(Aster_and_%22Destiny_HERO_-_Plasma%22),,2022-07-11 08:01:03,,,Old
Token,,https://yugipedia.com/wiki/Token_(Crow_and_%22Black-Winged_Dragon%22),,2022-07-11 08:39:38,,,Old
Token,,https://yugipedia.com/wiki/Token_(Crowler_and_%22Ancient_Gear_Golem%22),,2022-10-23 12:29:18,,,Old
Token,,https://yugipedia.com/wiki/Token_(Declan_and_D/D/D_Doom_King_Armageddon),"('Alternate',)",2021-03-15 20:35:46,,,Old
Token,,https://yugipedia.com/wiki/Token_(Ghost_Gal_and_Altergeist_Primebanshee),,2022-09-30 19:17:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Gong_and_%22Rise_to_Full_Height%22),,2022-10-23 13:13:33,,,Old
Token,,https://yugipedia.com/wiki/Token_(Gong_and_%22Superheavy_Samurai_Shogun_Susanowo%22),,2022-09-19 13:05:52,,,Old
Token,,https://yugipedia.com/wiki/Token_(Jack_%26_Yuya),,2019-11-21 19:10:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Playmaker_and_Accesscode_Talker),,2021-03-15 20:03:58,,,Old
Token,,https://yugipedia.com/wiki/Token_(Shay_and_Raidraptor_-_Revolution_Falcon),,2021-02-21 20:37:33,,,Old
Token,,https://yugipedia.com/wiki/Token_(Zuzu),,2022-10-23 13:11:35,,,Old
Token,,https://yugipedia.com/wiki/Token_(Tori),,2022-09-30 19:19:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Tori_and_%22Fairy_Cheer_Girl%22),,2022-10-23 13:01:11,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Dark_Magician_-_20th_Anniversary),,2019-11-22 18:17:28,,,Old
Token,,https://yugipedia.com/wiki/Token_(Sylvio_and_%22Abyss_Playhouse_-_Fantastic_Theater%22),,2022-10-23 13:10:13,,,Old
Token,,https://yugipedia.com/wiki/Token_(Syrus_and_%22Super_Vehicroid_-_Jumbo_Drill%22),,2022-07-11 08:03:45,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei_and_%22Junk_Warrior%22),,2022-10-23 12:33:37,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei_and_Stardust_Dragon_-_20th_Anniversary),,2019-11-22 18:26:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei_and_Stardust_Dragon),,2022-07-11 08:21:44,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuto),,2022-09-30 19:18:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Sylvio_and_%22Abyss_Actors%22),,2022-09-19 13:15:47,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_-_OCG_20th_Anniversary),,2019-11-22 18:27:05,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_and_%22Performapal_Show_Down%22),,2022-10-23 13:07:23,,,Old
Token,,https://yugipedia.com/wiki/Token_(Joey_and_%22Gilford_the_Lightning%22),,2022-10-20 22:00:19,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_and_%22Performapals%22_and_%22Hippos%22),,2022-07-11 08:58:04,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_and_Odd-Eyes_Pendulum_Dragon_-_20th_Anniversary),,2019-11-22 18:37:11,,,Old
Token,,https://yugipedia.com/wiki/Token_(Mako_and_%22The_Legendary_Fisherman%22),,2022-10-20 22:00:42,,,Old
Token,,https://yugipedia.com/wiki/Token_(Mai_and_%22Harpie_Lady_Sisters%22),,2022-06-29 00:18:58,,,Old
Token,,https://yugipedia.com/wiki/Token_(ZEXAL_and_%22Ultimate_Dragonic_Utopia_Ray%22),,2022-07-11 08:48:28,,,Old
Token,,https://yugipedia.com/wiki/Token_(ZEXAL),,2021-06-22 09:00:37,,,Old
Token,,https://yugipedia.com/wiki/Token_(Zane_and_%22Cyber_End_Dragon%22),,2022-06-28 23:28:45,,,Old
Token,,https://yugipedia.com/wiki/Token_(Zane_and_%22Cyberdark_Dragon%22),,2022-10-23 12:30:36,,,Old
Token,,https://yugipedia.com/wiki/Token_(Zuzu_and_Bloom_Diva_the_Melodious_Choir),,2021-03-15 20:30:14,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma_-_V_Jump),,2021-06-22 08:58:28,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuma_-_OCG_20th_Anniversary),,2019-11-22 18:32:22,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yugo),,2022-09-30 19:18:33,,,Old
Token,,https://yugipedia.com/wiki/Token_(Kite),,2022-09-30 19:19:30,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yuya_and_%22Stargazer_Magician%22_and_%22Timegazer_Magician%22),,2022-06-29 19:38:11,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yugi_and_Gandora_the_Dragon_of_Destruction),,2022-09-30 19:21:34,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yugi_and_Kuriboh),,2020-10-01 02:01:52,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yugi_Muto_and_Yami_Yugi),,2020-10-01 02:02:49,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusaku_-_OCG_20th_Anniversary),,2019-11-22 18:34:57,,,Old
Token,,https://yugipedia.com/wiki/Token_(Playmaker_and_Decode_Talker_-_20th_Anniversary),,2019-11-21 19:40:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Quattro_and_%22Number_15:_Gimmick_Puppet_Giant_Grinder%22),,2022-06-29 19:25:42,,,Old
Token,,https://yugipedia.com/wiki/Token_(Quattro_and_%22Puppet_Parade%22),,2022-10-23 13:04:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Playmaker_and_%22Firewall_Dragon%22),,2022-09-19 13:00:08,,,Old
Token,,https://yugipedia.com/wiki/Token_(Reginald_and_%22Number_32:_Shark_Drake%22),,2022-10-23 12:58:40,,,Old
Token,,https://yugipedia.com/wiki/Token_(Reginald),,2021-06-22 08:56:17,,,Old
Token,,https://yugipedia.com/wiki/Token_(Rio_and_%22Ice_Beast_Zerofyne%22),,2022-06-29 19:22:59,,,Old
Token,,https://yugipedia.com/wiki/Token_(Playmaker_and_Cyberse_Quantum_Dragon),,2019-11-21 19:37:59,,,Old
Token,Legal,https://yugipedia.com/wiki/Token_(Yusaku),,2022-09-30 19:18:15,,,Old
Token,,https://yugipedia.com/wiki/Token_(ZEXAL_II),,2021-06-22 09:00:09,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei_-_V_Jump),,2021-06-22 08:59:29,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yugi_and_%22Silent_Magician%22_and_%22Silent_Swordsman%22),,2022-10-20 21:59:55,,,Old
Token,,https://yugipedia.com/wiki/Token_(Varis_and_Borreload_Dragon),,2022-09-30 19:17:59,,,Old
Token,,https://yugipedia.com/wiki/Token_(T%C3%A9a_and_%22Dark_Magician_Girl%22),,2022-07-02 20:57:37,,,Old
Token,,https://yugipedia.com/wiki/Token_(Varis_and_Playmaker),,2022-10-23 13:16:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Slifer_the_Sky_Dragon),,2022-06-27 22:05:32,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Kaiba),,2022-10-20 21:59:39,,,Old
Token,Legal,https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Dark_Magician),,2022-09-30 19:20:33,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yusei_-_OCG_20th_Anniversary),,2019-11-22 18:20:56,,,Old
Token,,https://yugipedia.com/wiki/Token_(Varis_and_Borreload_eXcharge_Dragon),,2021-06-11 01:33:30,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Yugi_-_OCG_20th_Anniversary),,2019-11-22 18:13:10,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Yugi_and_%22The_Dark_Magicians%22),,2022-07-01 17:33:32,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Bakura_and_%22Dark_Necrofear%22),,2022-06-28 23:59:00,,,Old
Token,,https://yugipedia.com/wiki/Token_(World_Duel_Carnival),,2021-06-22 08:57:58,,,Old
Token,,https://yugipedia.com/wiki/Token_(World_Championship_2019),,2022-11-20 13:04:40,,,Old
Token,,https://yugipedia.com/wiki/Token_(World_Championship_2014),,2019-11-21 19:48:50,,,Old
Token,,https://yugipedia.com/wiki/Token_(Vector_and_%22Number_C104:_Umbral_Horror_Masquerade%22),,2022-07-11 08:53:57,,,Old
Token,,https://yugipedia.com/wiki/Token_(Yami_Marik_and_%22The_Winged_Dragon_of_Ra%22),,2022-06-29 00:28:41,,,Old
Token,,https://yugipedia.com/wiki/Token_(Aster_and_%22Destiny_HERO_-_Plasma%22),,2022-07-11 08:01:03,"('Any',)","Token (Aster and ""Destiny HERO - Plasma"")",New
Token,,https://yugipedia.com/wiki/Token_(Crow_and_%22Black-Winged_Dragon%22),,2022-07-11 08:39:38,"('Any',)","Token (Crow and ""Black-Winged Dragon"")",New
Token,,https://yugipedia.com/wiki/Token_(Crowler_and_%22Ancient_Gear_Golem%22),,2022-10-23 12:29:18,"('Any',)","Token (Crowler and ""Ancient Gear Golem"")",New
Token,,https://yugipedia.com/wiki/Token_(Declan_and_D/D/D_Doom_King_Armageddon),"('Alternate',)",2021-03-15 20:35:46,"('Any',)",Token (Declan and D/D/D Doom King Armageddon),New
Token,,https://yugipedia.com/wiki/Token_(Ghost_Gal_and_Altergeist_Primebanshee),,2022-09-30 19:17:41,"('Any',)",Token (Ghost Gal and Altergeist Primebanshee),New
Token,,https://yugipedia.com/wiki/Token_(Blue_Maiden_and_Marincess_Great_Bubble_Reef),,2021-02-21 19:28:39,"('Any',)",Token (Blue Maiden and Marincess Great Bubble Reef),New
Token,,https://yugipedia.com/wiki/Token_(Jaden_and_%22Yubel%22),,2022-07-02 23:06:00,"('Any',)","Token (Jaden and ""Yubel"")",New
Token,,https://yugipedia.com/wiki/Token_(Stardust_Spark_Dragon),,2019-11-21 19:45:39,"('Any',)",Token (Stardust Spark Dragon),New
Token,,https://yugipedia.com/wiki/Token_(Yuma),,2022-09-30 19:19:38,"('Any',)",Token (Yuma),New
Token,,https://yugipedia.com/wiki/Token_(15th_Anniversary),,2022-06-03 16:52:59,"('Any',)",Token (15th Anniversary),New
Token,,https://yugipedia.com/wiki/Token_(Chazz_and_%22Armed_Dragon_Thunder_LV10%22),,2022-07-11 07:57:04,"('Any',)","Token (Chazz and ""Armed Dragon Thunder LV10"")",New
Token,,https://yugipedia.com/wiki/Token_(Yuya_-_OCG_20th_Anniversary),,2019-11-22 18:27:05,"('Any',)",Token (Yuya - OCG 20th Anniversary),New
Token,,https://yugipedia.com/wiki/Token_(Antinomy_and_%22T.G._Blade_Blaster%22),,2022-10-23 12:50:56,"('Any',)","Token (Antinomy and ""T.G. Blade Blaster"")",New
Token,,https://yugipedia.com/wiki/Token_(Gong_and_%22Superheavy_Samurai_Shogun_Susanowo%22),,2022-09-19 13:05:52,"('Any',)","Token (Gong and ""Superheavy Samurai Shogun Susanowo"")",New
Token,,https://yugipedia.com/wiki/Token_(Ishizu_and_%22Exchange_of_the_Spirit%22),,2022-10-23 12:17:03,"('Any',)","Token (Ishizu and ""Exchange of the Spirit"")",New
Token,,https://yugipedia.com/wiki/Token_(Jack_%26_Yuya),,2019-11-21 19:10:41,"('Any',)",Token (Jack & Yuya),New
Token,,https://yugipedia.com/wiki/Token_(Jack_and_Red_Dragon_Archfiend),,2022-07-11 08:33:06,"('Any',)",Token (Jack and Red Dragon Archfiend),New
Token,,https://yugipedia.com/wiki/Token_(Jaden_-_OCG_20th_Anniversary),,2019-11-21 19:12:31,"('Any',)",Token (Jaden - OCG 20th Anniversary),New
