Name,Password,Archseries,Effect type,TCG status,Artwork,Modification date,Errata,Version
Aqua Round,59131526,,"('Effect',)",,,2023-04-27 02:37:45,,Old
Arahime the Manifested Mikanko,75771170,"('Mikanko',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,,2023-06-16 20:58:22,,Old
Arahime the Manifested Mikanko,75771170,"('Mikanko',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-16 13:41:57,,New
Armored Xyz,73046708,"('Xyz (archetype)',)","('Continuous-like Effect', 'Effect', 'Trigger Effect')",,,2023-06-10 00:45:16,,Old
Armored Xyz,73046708,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Trigger Effect')",,,2023-07-13 12:14:40,,New
Banishing Trap Hole,89569453,"('Trap Hole (archetype)',)","('Effect',)",Not yet released,,2023-07-14 18:33:47,,New
Behemoth the King of All Wars,13836592,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,,2023-05-17 18:00:11,,Old
Behemoth the King of a Hundred Battles,13836592,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,,2023-07-16 13:43:50,,New
Berfomet the Great Wings,55461744,"('Chimera (series)',)","('Condition', 'Trigger Effect')",,,2023-06-17 18:22:14,,Old
Beta Evolution Pill - Ultranscendance,23969415,"('Evolution Pill',)","('Condition', 'Effect')",Not yet released,,2023-07-14 19:20:46,,New
Big-Winged Berfomet,55461744,"('Chimera (series)',)","('Condition', 'Trigger Effect')",Not yet released,,2023-07-11 03:45:17,,New
Breath of the Tistina,,"('Tistina',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,,2023-07-16 00:26:04,,New
Charlemagne,97864322,,"('Quick Effect', 'Trigger Effect')",,,2023-06-30 04:47:00,,Old
Chimera Fusion,63136489,"('Chimera (series)', 'Fusion (archetype)')","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-06-17 18:21:05,,Old
Chimera Fusion,63136489,"('Chimera (series)', 'Fusion (archetype)')","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,,2023-07-16 13:39:28,,New
Chimera the Illusion Beast,38264974,"('Chimera (series)',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,,2023-07-11 15:49:39,,New
Chimera the Illusion Magical Beast,38264974,"('Chimera (series)',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",,,2023-06-24 07:19:28,,Old
Chimera the King of Phantom Beasts,01769875,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",Not yet released,,2023-07-11 15:49:55,,New
Chimera the Phantom Beast King,01769875,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')",,,2023-06-17 18:24:07,,Old
Click & Echo,02992467,,"('Condition', 'Continuous Effect', 'Trigger Effect')",,,2023-04-27 02:16:56,,Old
Click & Echo,02992467,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,,2023-07-14 19:18:41,,New
Cornfield Coatl,92565383,"('Chimera (series)',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Not yet released,,2023-07-10 16:40:16,,New
Cornfield Koator,92565383,"('Chimera (series)',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",,,2023-06-25 20:36:09,,Old
Cosmic Quasar Dragon,37442336,"('Cosmic Synchro Monster',)","('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",,,2023-06-27 19:40:53,,Old
Cosmic Quasar Dragon,37442336,"('Cosmic Synchro Monster',)","('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Not yet released,,2023-07-16 13:40:34,,New
Crystal God Tistina,,"('Tistina',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-15 03:05:08,,New
Daidara-Bocchi,69133798,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",,,2023-06-13 17:19:32,,Old
Daidara-Bocchi,69133798,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,,2023-07-14 19:40:40,,New
Dark Corridor,98696958,,"('Condition', 'Effect')",,,2023-05-04 21:07:01,,Old
Dark Corridor,98696958,,"('Condition', 'Effect')",Not yet released,,2023-07-14 03:14:28,,New
Dark Hole Dragon,,"('Hole',)","('Condition', 'Continuous Effect', 'Trigger Effect')",,,2023-07-16 16:02:41,,New
Demigod of the Tistina,59504256,"('Tistina',)","('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,,2023-07-15 14:54:02,,New
Diabolica the Draconique General,78077209,,"('Condition', 'Trigger Effect')",,,2023-07-04 20:27:28,,Old
Diabolica the Draconique General,78077209,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 18:44:42,,New
Divine Domain Baatistina,,"('Tistina',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,,2023-07-16 00:21:39,,New
Doomstar Ulka,49109013,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-16 13:42:53,,New
Double-Headed Dino King Rex,55349196,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,,2023-07-14 19:42:21,,New
"Dreaming Reality of Nemleria, Realized",16893370,"('Nemleria',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:17:55,,New
Duelist Genesis,97474300,,"('Condition', 'Effect')",,,2023-04-22 12:32:46,,Old
Duelist Genesis,97474300,,"('Condition', 'Effect')",Not yet released,,2023-07-12 15:12:06,,New
EMERGENCY!,61292243,"('Rescue-ACE',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-04-27 01:46:48,,Old
EMERGENCY!,61292243,"('Rescue-ACE',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,,2023-07-14 19:09:19,,New
Egomorph,96352712,,"('Condition', 'Effect')",,,2023-04-22 12:40:16,,Old
Emperor Charles the Great,97864322,,"('Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-10 17:27:20,,New
Epurrely Noir,62592805,"('Purrely',)","('Ignition Effect', 'Quick Effect')",,,2023-06-28 13:37:42,,Old
Epurrely Noir,62592805,"('Purrely',)","('Ignition Effect', 'Quick Effect')",Not yet released,,2023-07-13 15:05:16,,New
Eternal Ice Grave,23746827,,"('Condition', 'Effect')",,,2023-04-27 02:29:10,,Old
Evolsaur Lios,15171722,"('Evol', 'Evolsaur')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:52:29,,New
Evolsaur Rios,15171722,"('Evol', 'Evolsaur')","('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-06-28 14:21:48,,Old
Evoltile Pholis,89776023,"('Evol', 'Evoltile')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:41:35,,New
Evoltile Phoris,89776023,"('Evol', 'Evoltile')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,,2023-06-28 14:21:43,,Old
Evolzar Lars,35103106,"('Evol', 'Evolzar')","('Continuous Effect', 'Quick Effect')",Not yet released,,2023-07-14 17:53:42,,New
Evolzar Razh,35103106,"('Evol', 'Evolzar')","('Continuous Effect', 'Quick Effect')",,,2023-04-22 01:33:53,,Old
"Finis Terrae, Tower of the Necroworld",51849482,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,,2023-07-15 01:36:39,,New
Fire King Deity Garunix Eternity,,"('Fire King',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-07-11 17:43:04,,New
Fire King High Avatar Kirin,,"('Fire King',)","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-07-11 17:52:50,,New
Full Armored DARK Lancer,,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')",,,2023-07-13 16:36:42,,New
Full Armored Xyz,,"('Armored Xyz (archetype)', 'Xyz (archetype)')","('Continuous-like Effect', 'Effect', 'Quick-like Effect')",,,2023-07-13 19:25:49,,New
Fusion Armament,61070601,"('Polymerization (archetype)',)","('Condition', 'Effect')",Not yet released,,2023-07-11 16:05:25,,New
Fusion Reinforcement,61070601,"('Polymerization (archetype)',)","('Condition', 'Effect')",,,2023-06-25 19:45:04,,Old
"Gaia Blaze, the Force of Blazing Sun",09709452,"('Gaia Knight',)","('Trigger Effect',)",,,2023-06-28 12:50:23,,Old
"Gaia Blaze, the Force of the Sun",09709452,"('Gaia Knight',)","('Trigger Effect',)",Not yet released,,2023-07-14 19:31:18,,New
Gazelle the King of Mythical Claws,23076639,"('Chimera (series)',)","('Condition', 'Trigger Effect')",,,2023-06-17 18:22:04,,Old
Gazelle the King of Mythical Claws,23076639,"('Chimera (series)',)","('Condition', 'Trigger Effect')",Not yet released,,2023-07-10 16:12:15,,New
Greed Jar,76593718,"('Jar',)","('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 19:11:05,,New
Grenosaurus Giga-Cannon,34481518,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 19:01:28,,New
Grenosaurus the Magic-Head Cannon,34481518,,"('Condition', 'Trigger Effect')",,,2023-04-22 01:38:22,,Old
Ground Attacker Bugroth,58314394,"('Bugroth',)",,Unlimited,,2023-05-14 21:08:51,,Old
Ground Attacker Bugroth,58314394,"('Bugroth',)",,Unlimited,,2023-05-14 21:08:51,"('Type',)",New
Hiita the Fire Channeler,76615300,"('Charmer',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-04-22 00:51:43,,Old
Hiita the Fire Channeler,76615300,"('Charmer',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:00:19,,New
Hound of the Tistina,13510157,"('Tistina',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,,2023-07-15 14:51:32,,New
Infernal Flame Banshee,,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-07-12 00:51:27,,New
Infernoble Knight - Ricciardetto,53404966,"('Infernoble Knight', 'Noble Knight')","('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-04-22 00:33:07,,Old
Infernoble Knight - Turpin,89809665,"('Infernoble Knight', 'Noble Knight')","('Condition', 'Continuous-like Effect', 'Ignition Effect')",,,2023-04-22 00:34:23,,Old
Infernoble Knight Ricciardetto,53404966,"('Infernoble Knight', 'Noble Knight')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:13:45,,New
Infernoble Knight Turpin,89809665,"('Infernoble Knight', 'Noble Knight')","('Condition', 'Continuous-like Effect', 'Ignition Effect')",Not yet released,,2023-07-14 18:16:10,,New
Jurassic Power,99531088,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,,2023-04-22 12:16:28,,Old
Jurassic Power,99531088,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,,2023-07-14 18:53:50,,New
King Rex the Dragon King,81743801,,"('Ignition Effect', 'Trigger Effect')",,,2023-04-22 00:26:14,,Old
King Rex the Twin-Headed Dragon,55349196,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,,2023-04-22 00:25:23,,Old
Kiriban,88346805,"('Trap Monster',)","('Effect', 'Quick Effect')",,,2023-04-27 02:44:26,,Old
Kuibelt the Blade Dragon,87837090,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-15 01:43:13,,New
Little Opposition,15967552,,"('Condition', 'Effect')",,,2023-04-28 18:06:43,,Old
Magician of Faithfulness,67853262,,"('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 18:37:30,,New
Magician's Salvation,95477924,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,,2023-06-19 13:25:50,,Old
Magician's Salvation,95477924,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,"('Edited',)",2023-07-15 12:28:21,,New
Magicians of Bonds and Unity,15845914,,"('Continuous Effect', 'Summoning condition')",,,2023-04-22 00:15:59,,Old
Magicians of Bonds and Unity,15845914,,"('Continuous Effect', 'Summoning condition')",Not yet released,,2023-07-10 17:28:36,,New
Magikey Deity - Ashtartu,26988374,"('Magikey',)","('Quick Effect', 'Trigger Effect')",,,2023-06-13 17:20:12,,Old
Magikey Deity - Ashtartu,26988374,"('Magikey',)","('Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-14 19:26:16,,New
Magnum the Reliever,00043227,,"('Condition', 'Ignition Effect', 'Quick Effect')",,,2023-04-22 01:17:36,,Old
Magnum the Reliever,00043227,,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,,2023-07-14 18:23:03,,New
Mannadium Torrid,80621253,"('Mannadium',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,,2023-07-13 15:10:57,,New
Mannadium Trid,80621253,"('Mannadium',)","('Condition', 'Trigger Effect', 'Unclassified effect')",,,2023-06-22 05:15:27,,Old
Memento Bone Back,,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,,2023-07-10 13:33:57,,New
Memento Bone Party,,"('Memento',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-10 13:27:11,,New
Memento Cranium Burst,,"('Memento',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,,2023-07-10 13:55:06,,New
Memento Fairywitch,,"('Memento',)","('Condition', 'Ignition Effect', 'Trigger Effect')",,,2023-07-10 12:58:00,,New
Memento Fracture Dance,,"('Memento',)","('Condition', 'Effect', 'Trigger Effect')",,,2023-07-10 13:36:15,,New
Memento Goblin,,"('Goblin', 'Memento')","('Condition', 'Ignition Effect', 'Quick Effect')",,,2023-07-10 13:18:20,,New
Memento Horn Dragon,,"('Memento',)","('Condition', 'Trigger Effect', 'Unclassified effect')",,,2023-07-10 12:47:33,,New
Memento Mace,,"('Memento',)","('Condition', 'Ignition Effect', 'Quick Effect')",,,2023-07-10 13:05:50,,New
Memento Tatsunootoshigo,,"('Memento',)","('Condition', 'Ignition Effect')",,,2023-07-10 12:52:21,,New
"Mementoral Tectolica, the Netherskull Dragon",,"('Memento',)",,,,2023-07-10 04:03:33,,Old
"Mementoral Tectolica, the Netherskull Dragon",,"('Memento',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",,,2023-07-10 15:07:17,,New
Mighty Dino King Rex,81743801,,"('Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-14 18:12:06,,New
Mikanko Spiriting Away,53174748,"('Mikanko',)","('Condition', 'Effect', 'Quick-like Effect')",,,2023-04-22 13:09:36,,Old
Mikanko Spiritwalk,53174748,"('Mikanko',)","('Condition', 'Effect', 'Quick-like Effect')",Not yet released,,2023-07-14 19:13:58,,New
Million-Century Ice Prison,23746827,,"('Condition', 'Effect')",Not yet released,,2023-07-16 13:37:26,,New
Mirror Formation of the Ten Sacred Treasures,50357013,,"('Effect',)",,,2023-04-22 12:38:43,,Old
Mirror Swordknight,28954097,"('Chimera (series)',)","('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,,2023-07-10 17:04:52,,New
Mirror Swordsman,28954097,"('Chimera (series)',)","('Condition', 'Continuous Effect', 'Quick Effect')",,,2023-06-25 20:39:06,,Old
Nemleria Dream Devourer - Reveil,52382379,"('Nemleria',)","('Condition', 'Ignition Effect')",Not yet released,,2023-07-14 18:47:56,,New
Nemleria Louve,57296396,"('Nemleria',)","('Condition', 'Effect', 'Quick-like Effect')",,,2023-04-22 13:03:04,,Old
Nemleria Louve,57296396,"('Nemleria',)","('Condition', 'Effect', 'Quick-like Effect')",Not yet released,,2023-07-14 19:08:09,,New
"Nemleria Réaliser, the Dreamaterializer Sleeping Princess",16893370,"('Nemleria',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,,2023-06-28 14:08:43,,Old
Nemleria's Dreameater - Réveil,52382379,"('Nemleria',)","('Condition', 'Ignition Effect')",,,2023-06-28 14:09:34,,Old
Netherskull Temple - Mementoran,,"('Memento',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,2023-07-10 13:22:14,,New
New World - Amritara,62314831,"('Broken World',)","('Activation condition', 'Trigger Effect')",Not yet released,,2023-07-14 18:32:37,,New
New World Formation,58019984,,"('Condition', 'Effect', 'Quick-like Effect')",,,2023-06-25 21:01:26,,Old
New World Formation,58019984,,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,,2023-07-14 18:49:56,,New
New World Full of Stars,85407683,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",,,2023-06-22 05:17:20,,Old
New World Stars,85407683,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Not yet released,,2023-07-14 19:00:16,,New
Noble Arms Museum,25807544,"('Noble Arms',)","('Continuous-like Effect', 'Ignition-like Effect')",Not yet released,,2023-07-10 19:00:25,,New
Opposing Mirrors of the Underworld,42952160,,"('Condition', 'Effect')",,,2023-04-22 13:14:03,,Old
Overexaggeration,96352712,,"('Condition', 'Effect')",Not yet released,,2023-07-16 13:38:16,,New
"Parl, Hermit of Dark World",03289027,"('Dark World',)","('Condition', 'Trigger Effect')",Unlimited,,2023-03-19 21:34:21,,Old
"Parl, Hermit of Dark World",03289027,"('Dark World',)","('Condition', 'Trigger Effect')",Unlimited,"('Edited',)",2023-07-14 13:50:29,,New
Pod of Greed,76593718,"('Jar',)","('Condition', 'Trigger Effect')",,,2023-05-05 12:25:18,,Old
Pristine Planets Amritara,62314831,"('Broken World',)","('Activation condition', 'Trigger Effect')",,,2023-06-22 05:22:27,,Old
Purrely Sharely!?,10780049,"('Purrely',)","('Effect',)",,,2023-04-22 13:08:37,,Old
Purrely Sharely!?,10780049,"('Purrely',)","('Effect',)",Not yet released,,2023-07-13 15:10:09,,New
Realm Resonance,36920182,,"('Condition', 'Effect')",Not yet released,,2023-07-14 19:04:53,,New
Red-Eyes Black Meteor Dragon,27657173,"('Red-Eyes',)","('Condition', 'Ignition Effect')",,,2023-06-19 13:52:48,,Old
Red-Eyes Black Meteor Dragon,27657173,"('Red-Eyes',)","('Condition', 'Ignition Effect')",Not yet released,,2023-07-14 18:36:46,,New
Rescue-ACE Preventer,41443249,"('Rescue-ACE',)","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",,,2023-04-27 01:43:43,,Old
Rescue-ACE Preventer,41443249,"('Rescue-ACE',)","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-14 19:12:42,,New
Revolution Synchron,97682931,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Unclassified effect')",,,2023-04-22 00:18:16,,Old
Revolution Synchron,97682931,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,,2023-07-10 16:14:05,,New
S:P Little Night,,,"('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-07-16 00:46:57,,New
Sacred Fire King Garunix,,"('Fire King',)","('Condition', 'Trigger Effect')",,,2023-07-11 17:48:20,,New
Saincred Magician,67853262,,"('Condition', 'Trigger Effect')",,,2023-06-28 15:00:42,,Old
Sanctuary of the Fire Kings,,"('Fire King',)","('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",,,2023-07-11 18:04:14,,New
Scrap-Iron Idol,85520170,"('Scrap-Iron',)","('Condition', 'Effect', 'Trigger Effect')",,,2023-06-18 14:15:28,,Old
Scrap-Iron Sacred Statue,85520170,"('Scrap-Iron',)","('Condition', 'Effect', 'Trigger Effect')",Not yet released,,2023-07-12 18:01:08,,New
Sentinel of the Tistina,,"('Tistina',)","('Condition', 'Ignition Effect')",Not yet released,,2023-07-15 02:46:26,,New
Signs of the Tistina,,"('Tistina', 'Trap Monster')","('Continuous Effect', 'Effect')",Not yet released,,2023-07-16 00:32:47,,New
Sinful Spoils of Betrayal - Silvia,,"('Sinful Spoils',)","('Condition', 'Effect', 'Quick-like Effect')",,,2023-07-14 13:29:42,,New
Sinful Spoils of Doom - Luciela,,"('Sinful Spoils',)","('Condition', 'Effect')",,,2023-07-14 13:31:33,,New
Sinful Spoils of Subversion - Snake-Eye,24081957,"('Sinful Spoils', 'Snake-Eye')","('Condition', 'Effect')",Not yet released,,2023-07-14 17:56:53,,New
Singing Cuckoo,48386462,,"('Condition', 'Ignition Effect')",,,2023-04-27 02:48:35,,Old
Sleipnir the Runick Mane,74659582,"('Runick',)","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-04-22 04:12:52,,Old
Sleipnir the Runick Mane,74659582,"('Runick',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-16 13:41:02,,New
Small Scuffle,15967552,,"('Condition', 'Effect')",Not yet released,,2023-07-15 12:40:14,,New
Split Mirror of the Underworld,42952160,,"('Condition', 'Effect')",Not yet released,,2023-07-14 18:56:05,,New
Stardust Wurm,91262474,"('Stardust (archetype)',)","('Condition', 'Ignition Effect')",,,2023-06-13 17:21:37,,Old
Stardust Wurm,91262474,"('Stardust (archetype)',)","('Condition', 'Ignition Effect')",Not yet released,,2023-07-12 15:13:16,,New
Storagepod,24232799,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,,2023-07-15 17:18:41,,New
Synchro Forceback,,"('Synchro (archetype)',)","('Condition', 'Effect')",Not yet released,,2023-07-15 01:58:25,,New
Synchro Over Top,00653675,"('Synchro (archetype)',)","('Condition', 'Effect', 'Trigger Effect')",,,2023-06-18 14:15:36,,Old
Synchro Overtop,00653675,"('Synchro (archetype)',)","('Condition', 'Effect', 'Trigger Effect')",Not yet released,,2023-07-12 15:18:52,,New
Synchro Rumble,,"('Synchro (archetype)',)","('Condition', 'Effect', 'Unclassified effect')",,,2023-07-14 14:22:03,,New
Synchro World,36742774,"('Synchro (archetype)',)","('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,,2023-06-18 14:15:45,,Old
Synchro World,36742774,"('Synchro (archetype)',)","('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,,2023-07-12 15:11:16,,New
T.G. - All Clear,,"('T.G.',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",,,2023-07-14 15:02:31,,New
T.G. - Break Limiter,,"('T.G.',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-14 14:58:27,,New
T.G. - Close,,"('T.G.',)","('Condition', 'Effect', 'Trigger Effect')",,,2023-07-14 15:06:20,,New
T.G. Glaive Blaster,,"('T.G.',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,,2023-07-14 14:52:43,,New
T.G. Mighty Striker,,"('T.G.',)","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-07-14 14:38:25,,New
T.G. Over Dragner,,"('T.G.',)","('Condition', 'Trigger Effect')",,,2023-07-14 14:46:17,,New
T.G. Rocket Salamander,,"('T.G.',)","('Condition', 'Ignition Effect')",,,2023-07-14 14:29:05,,New
Tainted Treasure of Betrayal - Silvia,,"('Tainted Treasure',)","('Condition', 'Effect', 'Quick-like Effect')",,,2023-07-06 11:42:01,,Old
Tainted Treasure of Doom - Luciela,,"('Tainted Treasure',)","('Condition', 'Effect')",,,2023-07-06 11:38:22,,Old
Tainted Treasure of Treason - Snake-Eye,24081957,"('Snake-Eye', 'Tainted Treasure')","('Condition', 'Effect')",,,2023-07-06 08:25:51,,Old
The Continuing Epic of Charles,11802691,,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,,2023-07-14 18:58:22,,New
The Cuckoo Commanded to Croon,48386462,,"('Condition', 'Ignition Effect')",Not yet released,,2023-07-14 19:19:18,,New
The Epic Poem of Charles,11802691,,"('Condition', 'Effect', 'Quick-like Effect')",,,2023-06-19 08:20:15,,Old
The Noble Arms Museum,25807544,"('Noble Arms',)","('Continuous-like Effect', 'Ignition-like Effect')",,,2023-06-19 08:20:48,,Old
The Original Sinful Spoils - Snake-Eye,,"('Sinful Spoils', 'Snake-Eye')","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-14 13:35:13,,New
The Original Tainted Treasure - Snake-Eye,,"('Snake-Eye', 'Tainted Treasure')","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-06 14:03:28,,Old
The Worlds as One,36920182,,"('Condition', 'Effect')",,,2023-06-22 05:38:37,,Old
Thelematech Clatis,98986900,,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,,2023-07-14 18:28:14,,New
Thelematech Cratis,98986900,,"('Condition', 'Continuous Effect', 'Ignition Effect')",,,2023-04-22 01:37:01,,Old
Thestalos the Shadow Firestorm Monarch,77832858,"('Monarch', 'Monarch (Spell/Trap archetype)')","('Summoning condition', 'Trigger Effect')",,,2023-04-22 00:49:05,,Old
Thestalos the Shadowfire Monarch,77832858,"('Monarch', 'Monarch (Spell/Trap archetype)')","('Summoning condition', 'Trigger Effect')",Not yet released,,2023-07-14 18:20:37,,New
Tokusano Shinkyojin,50357013,,"('Effect',)",Not yet released,,2023-07-16 13:38:37,,New
Transcendental Evolution Pill Beta,23969415,"('Evolution Pill',)","('Condition', 'Effect')",,,2023-04-23 11:15:10,,Old
