Name,Card type,Monster type,DEF,Set,Card number,Ability,Rule,ATK,Level,Page name,Page URL,Modification date
Skull Servant,Monster Card,Fiend,300,Yu-Gi-Oh! Bandai OCG: 3rd Generation,90,,2,500,2,Skull Servant (Bandai),https://yugipedia.com/wiki/Skull_Servant_(Bandai),2019-02-04 16:07:13
"Winged Dragon, Guardian of the Fortress #1",Monster Card,Dragon,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,23,,5,1700,4,"Winged Dragon, Guardian of the Fortress 1 (Bandai)","https://yugipedia.com/wiki/Winged_Dragon,_Guardian_of_the_Fortress_1_(Bandai)",2019-10-14 02:30:42
Battle Warrior,Monster Card,Warrior,800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,79,,10,1500,4,Battle Warrior (Bandai),https://yugipedia.com/wiki/Battle_Warrior_(Bandai),2019-02-03 17:16:14
Aphrodite,Monster Card,White Magic,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,22,,4,1000,5,Aphrodite,https://yugipedia.com/wiki/Aphrodite,2016-04-26 16:18:32
Armored Basic Insect with Laser Cannon,Monster Card,Insect,1300,Yu-Gi-Oh! Bandai OCG: 1st Generation,17,,8,2400,6,Armored Basic Insect with Laser Cannon,https://yugipedia.com/wiki/Armored_Basic_Insect_with_Laser_Cannon,2014-01-09 01:32:00
Armored Zombie,Monster Card,Fiend,0,Yu-Gi-Oh! Bandai OCG: 2nd Generation,80,,11,2400,4,Armored Zombie (Bandai),https://yugipedia.com/wiki/Armored_Zombie_(Bandai),2016-04-26 16:23:30
Baby Dragon,Monster Card,Dragon,900,Yu-Gi-Oh! Bandai OCG: 1st Generation,28,,9,2000,4,Baby Dragon (Bandai),https://yugipedia.com/wiki/Baby_Dragon_(Bandai),2019-02-02 17:34:59
Barox,Monster Card,Fiend,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,76,,9,1800,5,Barox (Bandai),https://yugipedia.com/wiki/Barox_(Bandai),2019-02-03 17:11:35
Basic Insect,Monster Card,Insect,1000,Yu-Gi-Oh! Bandai OCG: 1st Generation,16,,7,500,2,Basic Insect (Bandai),https://yugipedia.com/wiki/Basic_Insect_(Bandai),2019-02-02 16:40:00
Battle Ox,Monster Card,Beast-Warrior,1000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,61,,8,2400,6,Battle Ox (Bandai),https://yugipedia.com/wiki/Battle_Ox_(Bandai),2019-02-03 16:27:36
Battle Steer,Monster Card,Beast-Warrior,1600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,74,,7,2100,5,Battle Steer (Bandai),https://yugipedia.com/wiki/Battle_Steer_(Bandai),2019-02-03 17:08:43
Beaver Warrior,Monster Card,Beast-Warrior,1800,Yu-Gi-Oh! Bandai OCG: 1st Generation,34,,6,1400,4,Beaver Warrior (Bandai),https://yugipedia.com/wiki/Beaver_Warrior_(Bandai),2019-02-02 17:47:14
Black Skull Dragon,Monster Card,Fiend,2600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,49,,,3200,7,Black Skull Dragon (Bandai),https://yugipedia.com/wiki/Black_Skull_Dragon_(Bandai),2023-03-13 03:35:33
Blackland Fire Dragon,Monster Card,Dragon,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,24,,6,2100,5,Blackland Fire Dragon (Bandai),https://yugipedia.com/wiki/Blackland_Fire_Dragon_(Bandai),2019-02-02 17:25:59
Blue-Eyes White Dragon,Monster Card,Dragon,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,9,,9,3000,8,Blue-Eyes White Dragon (Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(Bandai),2018-08-18 20:06:59
Blue-Eyes White Dragon,Monster Card,Dragon,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,118,,,3000,8,Blue-Eyes White Dragon (English Bandai),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon_(English_Bandai),2019-02-04 17:06:57
Blue-Eyes White Dragon's 3-Body Connection,Monster Card,Dragon,3000,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,4500,8,Blue-Eyes White Dragon's 3-Body Connection,https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection,2019-02-03 19:22:24
Blue-Eyes White Dragon's 3-Body Connection,Monster Card,Dragon,,Yu-Gi-Oh! Bandai OCG: 1st Generation,114,,,,8,Blue-Eyes White Dragon's 3-Body Connection (4-card version),https://yugipedia.com/wiki/Blue-Eyes_White_Dragon%27s_3-Body_Connection_(4-card_version),2019-04-12 13:41:38
Catapult Turtle,Monster Card,Beast,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,56,,,1600,6,Catapult Turtle (Bandai),https://yugipedia.com/wiki/Catapult_Turtle_(Bandai),2016-04-26 16:47:31
Celtic Guardian,Monster Card,Warrior,2200,Yu-Gi-Oh! Bandai OCG: 1st Generation,27,,8,1300,5,Celtic Guardian (Bandai),https://yugipedia.com/wiki/Celtic_Guardian_(Bandai),2019-02-02 17:32:46
Chimera,Monster Card,Beast,1700,Yu-Gi-Oh! Bandai OCG: 3rd Generation,106,,12,2300,6,Chimera,https://yugipedia.com/wiki/Chimera,2023-04-23 00:35:28
Clown Zombie,Monster Card,Fiend,0,Yu-Gi-Oh! Bandai OCG: 2nd Generation,83,,1,1800,3,Clown Zombie (Bandai),https://yugipedia.com/wiki/Clown_Zombie_(Bandai),2019-02-03 17:22:05
Crawling Dragon #2,Monster Card,Dinosaur,1800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,67,,1,2000,5,Crawling Dragon 2 (Bandai),https://yugipedia.com/wiki/Crawling_Dragon_2_(Bandai),2019-02-03 16:34:19
Curse of Dragon,Monster Card,Dragon,600,Yu-Gi-Oh! Bandai OCG: 1st Generation,12,,3,2000,4,Curse of Dragon (Bandai),https://yugipedia.com/wiki/Curse_of_Dragon_(Bandai),2016-05-31 15:46:42
Cyber Shield,Equip Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,52,,,,,Cyber Shield (Bandai),https://yugipedia.com/wiki/Cyber_Shield_(Bandai),2015-08-26 18:00:49
Dark Energy,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,95,,,,,Dark Energy (Bandai),https://yugipedia.com/wiki/Dark_Energy_(Bandai),2019-02-04 16:12:47
Dark Magician,Monster Card,Black Magic,2000,Yu-Gi-Oh! Bandai OCG: 1st Generation,14,,5,2500,7,Dark Magician (Bandai),https://yugipedia.com/wiki/Dark_Magician_(Bandai),2016-09-19 17:42:37
Dark Zora,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 3rd Generation,108,,1,1500,5,Dark Zora,https://yugipedia.com/wiki/Dark_Zora,2019-02-04 16:55:15
Dragon Capture Jar,Monster Card,Illusionist,200,Yu-Gi-Oh! Bandai OCG: 1st Generation,25,,,100,2,Dragon Capture Jar (Bandai),https://yugipedia.com/wiki/Dragon_Capture_Jar_(Bandai),2023-04-18 19:24:05
Dragon Piper,Monster Card,Illusionist,400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,84,,,200,2,Dragon Piper (Bandai),https://yugipedia.com/wiki/Dragon_Piper_(Bandai),2023-04-18 19:24:18
Dragonic Pulse of the Land,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,112,,,,,Dragonic Pulse of the Land,https://yugipedia.com/wiki/Dragonic_Pulse_of_the_Land,2019-02-04 17:01:21
Elegant Egotist,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,53,,,,,Elegant Egotist (Bandai),https://yugipedia.com/wiki/Elegant_Egotist_(Bandai),2019-02-03 16:14:21
Exodia the Forbidden One,Monster Card,,1000,Yu-Gi-Oh! Bandai OCG: 1st Generation,38,,,1000,8,Exodia the Forbidden One (Bandai),https://yugipedia.com/wiki/Exodia_the_Forbidden_One_(Bandai),2019-02-02 17:54:26
Feral Imp,Monster Card,Fiend,1400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,68,,2,2000,5,Feral Imp (Bandai),https://yugipedia.com/wiki/Feral_Imp_(Bandai),2019-02-03 16:35:29
Fiend Kraken,Monster Card,Sea Beast,2000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,71,,5,1500,5,Fiend Kraken (Bandai),https://yugipedia.com/wiki/Fiend_Kraken_(Bandai),2019-02-03 16:41:59
Flame Swordsman,Monster Card,Warrior,600,Yu-Gi-Oh! Bandai OCG: 1st Generation,36,,8,2500,5,Flame Swordsman (Bandai),https://yugipedia.com/wiki/Flame_Swordsman_(Bandai),2016-04-26 17:09:03
Gaia The Fierce Knight,Monster Card,Black Magic,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,11,,2,2300,6,Gaia The Fierce Knight (Bandai),https://yugipedia.com/wiki/Gaia_The_Fierce_Knight_(Bandai),2019-02-06 01:25:34
Gaia the Dragon Champion,Monster Card,Dragon Magic,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,13,,4,2600,7,Gaia the Dragon Champion (Bandai),https://yugipedia.com/wiki/Gaia_the_Dragon_Champion_(Bandai),2019-02-02 16:34:34
Garoozis,Monster Card,Beast-Warrior,1600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,63,,10,2000,5,Garoozis (Bandai),https://yugipedia.com/wiki/Garoozis_(Bandai),2019-02-03 16:29:49
Gate Guardian,Monster Card,Black Magic,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,Gate Guardian (Bandai),https://yugipedia.com/wiki/Gate_Guardian_(Bandai),2019-02-03 19:19:10
Giant Soldier of Stone,Monster Card,Warrior,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,59,,6,1200,6,Giant Soldier of Stone (Bandai),https://yugipedia.com/wiki/Giant_Soldier_of_Stone_(Bandai),2019-02-03 16:20:48
Golden Pegasus,Monster Card,White Magic,2500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,96,,6,1500,6,Golden Pegasus,https://yugipedia.com/wiki/Golden_Pegasus,2019-02-04 16:14:50
Gorgon,Monster Card,Black Magic,3500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,101,,,2000,6,Gorgon,https://yugipedia.com/wiki/Gorgon,2019-02-04 16:23:36
Great Moth,Monster Card,Insect,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,33,,5,2600,7,Great Moth (Bandai),https://yugipedia.com/wiki/Great_Moth_(Bandai),2019-02-02 17:45:05
Gyakutenno Megami,Monster Card,White Magic,2300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,55,,3,1900,6,Gyakutenno Megami (Bandai),https://yugipedia.com/wiki/Gyakutenno_Megami_(Bandai),2016-04-26 17:21:59
Harpie Lady 1,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 1st Generation,18,,9,1800,4,Harpie Lady 1 (Bandai),https://yugipedia.com/wiki/Harpie_Lady_1_(Bandai),2019-02-05 14:57:45
Harpie Lady 2,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 2nd Generation,77,,,1800,4,Harpie Lady 2 (Bandai),https://yugipedia.com/wiki/Harpie_Lady_2_(Bandai),2019-02-03 17:13:33
Harpie Lady 3,Monster Card,Winged Beast,700,Yu-Gi-Oh! Bandai OCG: 2nd Generation,78,,,1800,4,Harpie Lady 3 (Bandai),https://yugipedia.com/wiki/Harpie_Lady_3_(Bandai),2019-02-03 17:15:02
Hercules Beetle,Monster Card,Insect,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,69,,3,800,5,Hercules Beetle (Bandai),https://yugipedia.com/wiki/Hercules_Beetle_(Bandai),2019-02-03 16:38:57
Hitotsu-Me Giant,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,93,,4,2300,6,Hitotsu-Me Giant (Bandai),https://yugipedia.com/wiki/Hitotsu-Me_Giant_(Bandai),2017-01-08 18:49:18
Horn Imp,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,86,,3,1400,5,Horn Imp (Bandai),https://yugipedia.com/wiki/Horn_Imp_(Bandai),2019-02-03 17:25:56
Jellyfish,Monster Card,Sea Beast,2300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,72,,,400,5,Jellyfish (Bandai),https://yugipedia.com/wiki/Jellyfish_(Bandai),2019-02-03 17:05:58
Joey Wheeler,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,3,Willpower,3,,5,Joey Wheeler (Bandai),https://yugipedia.com/wiki/Joey_Wheeler_(Bandai),2019-02-06 02:46:21
Judge Man,Monster Card,White Magic,2600,Yu-Gi-Oh! Bandai OCG: 1st Generation,26,,7,1800,7,Judge Man (Bandai),https://yugipedia.com/wiki/Judge_Man_(Bandai),2019-02-02 17:31:05
Killer Needle,Monster Card,Insect,1000,Yu-Gi-Oh! Bandai OCG: 2nd Generation,82,,13,1300,4,Killer Needle (Bandai),https://yugipedia.com/wiki/Killer_Needle_(Bandai),2019-02-03 17:20:06
King Beetle,Monster Card,Insect,2200,Yu-Gi-Oh! Bandai OCG: 3rd Generation,102,,8,1200,5,King Beetle,https://yugipedia.com/wiki/King_Beetle,2019-02-04 16:25:26
King Rex,Monster Card,Dinosaur,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,97,,7,2300,6,King Rex,https://yugipedia.com/wiki/King_Rex,2019-02-04 16:16:35
King of Yamimakai,Monster Card,Fiend,1600,Yu-Gi-Oh! Bandai OCG: 1st Generation,37,,9,2600,7,King of Yamimakai (Bandai),https://yugipedia.com/wiki/King_of_Yamimakai_(Bandai),2016-04-26 17:39:12
Koumori Dragon,Monster Card,Dragon,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,107,,13,2000,5,Koumori Dragon (Bandai),https://yugipedia.com/wiki/Koumori_Dragon_(Bandai),2016-04-26 17:40:48
Kunai with Chain,Trap Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,50,,,,,Kunai with Chain (Bandai),https://yugipedia.com/wiki/Kunai_with_Chain_(Bandai),2019-02-03 16:08:22
Labyrinth Tank,Monster Card,Fiend,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,43,,1,2400,7,Labyrinth Tank (Bandai),https://yugipedia.com/wiki/Labyrinth_Tank_(Bandai),2019-02-03 14:24:59
Larvae Moth,Monster Card,Insect,400,Yu-Gi-Oh! Bandai OCG: 1st Generation,32,,4,600,1,Larvae Moth (Bandai),https://yugipedia.com/wiki/Larvae_Moth_(Bandai),2019-02-02 17:43:34
Left Arm of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,42,,,200,1,Left Arm of the Forbidden One (Bandai),https://yugipedia.com/wiki/Left_Arm_of_the_Forbidden_One_(Bandai),2019-02-02 18:02:19
Left Leg of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,41,,,200,1,Left Leg of the Forbidden One (Bandai),https://yugipedia.com/wiki/Left_Leg_of_the_Forbidden_One_(Bandai),2019-02-02 18:00:24
Magical Hats,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,109,,,,,Magical Hats (Bandai),https://yugipedia.com/wiki/Magical_Hats_(Bandai),2019-02-04 16:56:54
Mammoth Graveyard,Monster Card,Fiend,1300,Yu-Gi-Oh! Bandai OCG: 2nd Generation,75,,8,2200,5,Mammoth Graveyard (Bandai),https://yugipedia.com/wiki/Mammoth_Graveyard_(Bandai),2019-02-03 17:10:32
Megazowler,Monster Card,Dinosaur,2300,Yu-Gi-Oh! Bandai OCG: 1st Generation,19,,1,1800,6,Megazowler (Bandai),https://yugipedia.com/wiki/Megazowler_(Bandai),2019-02-02 16:44:09
Melody,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,7,At My Own Pace,7,,4,Melody (Bandai),https://yugipedia.com/wiki/Melody_(Bandai),2019-02-06 02:58:02
Metal Guardian,Monster Card,Warrior,2800,Yu-Gi-Oh! Bandai OCG: 2nd Generation,58,,5,1500,6,Metal Guardian (Bandai),https://yugipedia.com/wiki/Metal_Guardian_(Bandai),2019-02-03 16:19:36
Meteor Black Dragon,Monster Card,Dragon,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,113,,,3500,8,Meteor Black Dragon (Bandai),https://yugipedia.com/wiki/Meteor_Black_Dragon_(Bandai),2023-03-13 03:37:09
Meteor Dragon,Monster Card,Dragon,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,111,,2,1800,5,Meteor Dragon (Bandai),https://yugipedia.com/wiki/Meteor_Dragon_(Bandai),2019-02-04 16:59:57
Mirror Force,Trap Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,Mirror Force (Bandai),https://yugipedia.com/wiki/Mirror_Force_(Bandai),2019-02-03 19:16:26
Monster Reborn,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,88,,,,,Monster Reborn (Bandai),https://yugipedia.com/wiki/Monster_Reborn_(Bandai),2017-02-27 12:39:21
Mushroom Man,Monster Card,Fiend,600,Yu-Gi-Oh! Bandai OCG: 3rd Generation,92,,3,800,3,Mushroom Man (Bandai),https://yugipedia.com/wiki/Mushroom_Man_(Bandai),2019-02-04 16:09:59
Mystical Elf,Monster Card,White Magic,2500,Yu-Gi-Oh! Bandai OCG: 1st Generation,35,,7,800,5,Mystical Elf (Bandai),https://yugipedia.com/wiki/Mystical_Elf_(Bandai),2019-02-02 17:51:07
Neon Knight,Monster Card,Warrior,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,105,,11,2000,5,Neon Knight,https://yugipedia.com/wiki/Neon_Knight,2019-02-04 16:30:24
Night Soldier,Monster Card,Black Magic,500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,104,,10,2400,5,Night Soldier,https://yugipedia.com/wiki/Night_Soldier,2019-02-04 16:28:38
Polymerization,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,48,,,,,Polymerization (Bandai),https://yugipedia.com/wiki/Polymerization_(Bandai),2019-02-03 16:02:43
Pumpking the King of Ghosts,Monster Card,Fiend,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,54,,2,2300,6,Pumpking the King of Ghosts (Bandai),https://yugipedia.com/wiki/Pumpking_the_King_of_Ghosts_(Bandai),2019-02-03 16:16:37
Red Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,99,,,1500,4,Red Hecate,https://yugipedia.com/wiki/Red_Hecate,2019-02-04 16:20:41
Red-Eyes Black Dragon,Monster Card,Dragon,2000,Yu-Gi-Oh! Bandai OCG: 1st Generation,10,,1,2400,7,Red-Eyes Black Dragon (Bandai),https://yugipedia.com/wiki/Red-Eyes_Black_Dragon_(Bandai),2023-03-13 03:40:35
Right Arm of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 1st Generation,40,,,200,1,Right Arm of the Forbidden One (Bandai),https://yugipedia.com/wiki/Right_Arm_of_the_Forbidden_One_(Bandai),2019-02-02 17:58:44
Right Leg of the Forbidden One,Monster Card,,300,Yu-Gi-Oh! Bandai OCG: 1st Generation,39,,,200,1,Right Leg of the Forbidden One (Bandai),https://yugipedia.com/wiki/Right_Leg_of_the_Forbidden_One_(Bandai),2019-02-02 17:57:00
Rogue Doll,Monster Card,White Magic,2400,Yu-Gi-Oh! Bandai OCG: 1st Generation,31,,3,900,5,Rogue Doll (Bandai),https://yugipedia.com/wiki/Rogue_Doll_(Bandai),2019-02-02 17:41:51
Ryu-Kishin,Monster Card,Fiend,2000,Yu-Gi-Oh! Bandai OCG: 3rd Generation,89,,1,1800,5,Ryu-Kishin (Bandai),https://yugipedia.com/wiki/Ryu-Kishin_(Bandai),2019-02-04 16:03:49
Saggi the Dark Clown,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 1st Generation,30,,2,600,4,Saggi the Dark Clown (Bandai),https://yugipedia.com/wiki/Saggi_the_Dark_Clown_(Bandai),2019-02-02 17:39:54
Sanga of the Thunder,Monster Card,Black Magic,2200,Yu-Gi-Oh! Bandai OCG: 2nd Generation,44,,,2600,6,Sanga of the Thunder (Bandai),https://yugipedia.com/wiki/Sanga_of_the_Thunder_(Bandai),2019-02-03 14:26:24
Seto Kaiba,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,4,Expert,4,,7,Seto Kaiba (Bandai),https://yugipedia.com/wiki/Seto_Kaiba_(Bandai),2014-01-09 01:24:37
Shadi,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,8,Millennium Key,8,,6,Shadi (Bandai),https://yugipedia.com/wiki/Shadi_(Bandai),2019-02-02 16:24:07
Shadow Ghoul,Monster Card,Fiend,1400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,64,,11,2000,5,Shadow Ghoul (Bandai),https://yugipedia.com/wiki/Shadow_Ghoul_(Bandai),2019-02-03 16:31:00
Silver Fang,Monster Card,Beast,700,Yu-Gi-Oh! Bandai OCG: 1st Generation,29,,1,2300,5,Silver Fang (Bandai),https://yugipedia.com/wiki/Silver_Fang_(Bandai),2019-02-02 17:36:55
Spellbinding Circle,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 3rd Generation,110,,,,,Spellbinding Circle (Bandai),https://yugipedia.com/wiki/Spellbinding_Circle_(Bandai),2019-02-04 16:58:54
Suijin,Monster Card,Black Magic,2400,Yu-Gi-Oh! Bandai OCG: 2nd Generation,46,,,2500,6,Suijin (Bandai),https://yugipedia.com/wiki/Suijin_(Bandai),2019-02-03 14:29:36
Summoned Skull,Monster Card,Fiend,1800,Yu-Gi-Oh! Bandai OCG: 1st Generation,21,,3,2500,7,Summoned Skull (Bandai),https://yugipedia.com/wiki/Summoned_Skull_(Bandai),2019-02-02 17:18:43
Swamp Battleguard,Monster Card,Warrior,900,Yu-Gi-Oh! Bandai OCG: 2nd Generation,62,,9,2300,6,Swamp Battleguard (Bandai),https://yugipedia.com/wiki/Swamp_Battleguard_(Bandai),2019-02-03 16:28:38
Sword Arm of Dragon,Monster Card,Dinosaur,2100,Yu-Gi-Oh! Bandai OCG: 2nd Generation,66,,13,1000,5,Sword Arm of Dragon (Bandai),https://yugipedia.com/wiki/Sword_Arm_of_Dragon_(Bandai),2019-02-03 16:32:23
Swords of Revealing Light,Spell Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,Swords of Revealing Light (Bandai),https://yugipedia.com/wiki/Swords_of_Revealing_Light_(Bandai),2019-02-03 00:48:47
Thousand Dragon,Monster Card,Dragon,1900,Yu-Gi-Oh! Bandai OCG: 1st Generation,15,,6,2100,6,Thousand Dragon (Bandai),https://yugipedia.com/wiki/Thousand_Dragon_(Bandai),2019-02-02 16:38:04
Tiger Axe,Monster Card,Warrior,1900,Yu-Gi-Oh! Bandai OCG: 2nd Generation,85,,2,2000,5,Tiger Axe (Bandai),https://yugipedia.com/wiki/Tiger_Axe_(Bandai),2019-02-03 17:24:56
Time Wizard,Spell Card,,,Yu-Gi-Oh! Bandai OCG: 2nd Generation,47,,,,,Time Wizard (Bandai),https://yugipedia.com/wiki/Time_Wizard_(Bandai),2019-02-03 16:00:34
Torike,Monster Card,Beast,600,Yu-Gi-Oh! Bandai OCG: 2nd Generation,81,,12,1600,4,Torike (Bandai),https://yugipedia.com/wiki/Torike_(Bandai),2019-02-03 17:18:38
Tristan Taylor,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,5,Beginner,5,,,Tristan Taylor (Bandai),https://yugipedia.com/wiki/Tristan_Taylor_(Bandai),2017-04-14 21:31:03
Two-Headed King Rex,Monster Card,Dinosaur,800,Yu-Gi-Oh! Bandai OCG: 1st Generation,20,,2,2500,5,Two-Headed King Rex (Bandai),https://yugipedia.com/wiki/Two-Headed_King_Rex_(Bandai),2019-02-02 16:46:10
Téa Gardner,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,6,Kindness,6,,4,Téa Gardner (Bandai),https://yugipedia.com/wiki/T%C3%A9a_Gardner_(Bandai),2019-02-06 02:55:01
Violet Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,100,,,1500,4,Violet Hecate,https://yugipedia.com/wiki/Violet_Hecate,2019-02-04 16:21:59
Wicked Chain,Spell Card,,,Yu-Gi-Oh! Bandai OCG: Promotional Cards,,,,,,Wicked Chain,https://yugipedia.com/wiki/Wicked_Chain,2019-02-03 19:21:04
The Wicked Worm Beast,Monster Card,Fiend,600,Yu-Gi-Oh! Bandai OCG: 3rd Generation,94,,5,2400,5,The Wicked Worm Beast (Bandai),https://yugipedia.com/wiki/The_Wicked_Worm_Beast_(Bandai),2019-02-04 16:11:42
Yellow Hecate,Monster Card,Black Magic,1500,Yu-Gi-Oh! Bandai OCG: 3rd Generation,98,,,1500,4,Yellow Hecate,https://yugipedia.com/wiki/Yellow_Hecate,2019-02-04 16:18:11
Yugi Muto,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,1,Look Ahead,1,,6,Yugi Muto (Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Bandai),2019-02-06 02:35:41
Yugi Muto,Character Card,,,Yu-Gi-Oh! Bandai OCG: 1st Generation,2,Shadow Game,2,,8,Yugi Muto (Yami Bandai),https://yugipedia.com/wiki/Yugi_Muto_(Yami_Bandai),2023-03-13 04:21:03
