Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 11:03:37,,Old
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:13,,New
Battlin' Boxer Chief Second,,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Not yet released,2023-04-13 15:50:47,,Old
Battlin' Boxer Chief Second,47921178,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:09:13,,New
Battlin' Boxer King Dempsey,,"('Condition', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-04-13 16:10:30,,Old
Battlin' Boxer King Dempsey,46804536,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:14:36,,New
Battlin' Boxer Promoter,,"('Condition', 'Ignition Effect')",,Not yet released,2023-04-13 15:53:09,,Old
Battlin' Boxer Promoter,83315222,"('Condition', 'Ignition Effect')",,Unlimited,2023-05-27 11:10:23,,New
Battlin' Boxer Uppercutter,,"('Condition', 'Trigger Effect')",,Not yet released,2023-04-13 15:38:27,,Old
Battlin' Boxer Uppercutter,11522479,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 11:08:08,,New
Battlin' Boxing Cross Counter,,"('Condition', 'Effect')",,Not yet released,2023-04-13 16:42:24,,Old
Battlin' Boxing Cross Counter,19688343,"('Condition', 'Effect')",,Unlimited,2023-05-27 11:18:10,,New
Battlin' Boxing Spirits,36916401,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,2023-04-06 12:23:18,,Old
Battlin' Boxing Spirits,36916401,"('Condition', 'Effect')",Unlimited,Unlimited,2023-05-27 15:51:59,,New
Bitelon,44702857,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:37,,Old
Bitelon,44702857,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:37,"('Any',)",New
Boogie Trap,96704974,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,2023-03-18 06:02:35,,Old
Boogie Trap,96704974,"('Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,2023-05-19 16:17:46,,New
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 11:03:59,,Old
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:32,,New
Chef's Special Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:10:24,,New
Cloudian - Acid Cloud,17810268,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:06,,Old
Cloudian - Acid Cloud,17810268,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:06,"('Any',)",New
Cloudian - Altus,79703905,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:04,,Old
Cloudian - Altus,79703905,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:04,"('Any',)",New
Cloudian - Ghost Fog,83604828,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:03,,Old
Cloudian - Ghost Fog,83604828,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:03,"('Any',)",New
Cloudian - Nimbusman,20003527,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-03-31 17:45:53,,Old
Cloudian - Nimbusman,20003527,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-03-31 17:45:53,"('Any',)",New
Cloudian - Sheep Cloud,56597272,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-06 19:41:32,,Old
Cloudian - Sheep Cloud,56597272,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-06 19:41:32,"('Any',)",New
Cloudian - Smoke Ball,80825553,,Unlimited,Unlimited,2023-04-07 20:07:03,,Old
Cloudian - Smoke Ball,80825553,,Unlimited,Unlimited,2023-04-07 20:07:03,"('Type',)",New
Cloudian - Storm Dragon,13474291,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,2023-04-07 20:07:02,,Old
Cloudian - Storm Dragon,13474291,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,2023-04-07 20:07:02,"('Any',)",New
Cloudian Squall,90135989,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-07 20:07:00,,Old
Cloudian Squall,90135989,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-07 20:07:00,"('Any',)",New
Confiras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:27,,New
Confitras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 11:04:19,,Old
Counter Cleaner,38834303,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:28,,Old
Counter Cleaner,38834303,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:28,"('Any',)",New
Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-30 16:13:30,,New
Crimson Ninja,14618326,"('Flip effect',)",Unlimited,Unlimited,2023-03-18 09:19:41,"('Any',)",Old
Crimson Ninja,14618326,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-18 20:35:50,"('Any',)",New
Curse of Aging,41398771,"('Effect',)",Unlimited,Unlimited,2023-04-08 22:41:49,,Old
Curse of Aging,41398771,"('Effect',)",Unlimited,Unlimited,2023-04-08 22:41:49,"('Any',)",New
D-Boyz,79279397,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:16,,Old
D-Boyz,79279397,"('Flip effect',)",Unlimited,Unlimited,2023-06-05 05:04:49,"('Type',)",New
D.D. Destroyer,44792253,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-08 22:42:02,,Old
D.D. Destroyer,44792253,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-08 22:42:02,"('Any',)",New
Dandy White Lion,,"('Condition', 'Trigger Effect')",,Not yet released,2023-05-10 01:25:58,,Old
Dandy White Lion,36629635,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-19 07:26:14,,New
Des Feral Imp,81985784,"('Flip effect',)",Unlimited,Unlimited,2023-05-14 22:20:44,"('Type',)",Old
Des Feral Imp,81985784,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-19 21:11:20,"('Type',)",New
Diamond-Dust Cyclone,19980975,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:59,,Old
Diamond-Dust Cyclone,19980975,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:59,"('Any',)",New
Evolzar Solda,18511599,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-03 20:32:46,,Old
Evolzar Solda,18511599,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 15:32:16,"('Any',)",New
Fire Ejection,,"('Condition', 'Effect')",,Not yet released,2023-04-14 17:42:48,,Old
Fire Ejection,11654067,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:54:15,,New
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')",Semi-Limited,Semi-Limited,2023-04-03 20:43:36,"('Any',)",Old
Fire Formation - Tenki,57103969,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Semi-Limited,2023-05-30 22:27:19,"('Any',)",New
Flash of the Forbidden Spell,39956951,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:27,,Old
Flash of the Forbidden Spell,39956951,"('Effect',)",Unlimited,Unlimited,2023-04-06 19:41:27,"('Any',)",New
Fog Control,63741331,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:59,,Old
Fog Control,63741331,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:59,"('Any',)",New
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 11:04:51,,Old
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:17,,New
Gagagigo,49003308,,Unlimited,Unlimited,2023-03-31 17:13:35,,Old
Gagagigo,49003308,,Unlimited,Unlimited,2023-05-19 20:59:57,"('Type',)",New
Gale Lizard,77491079,"('Flip effect',)",Unlimited,Unlimited,2023-03-18 19:49:37,"('Type',)",Old
Gale Lizard,77491079,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-18 20:35:19,"('Type',)",New
Gravitic Orb,29216198,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:14,"('Any',)",Old
Gravitic Orb,29216198,"('Flip effect',)",Unlimited,Unlimited,2023-04-07 20:07:14,"('Type',)",New
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,2023-04-03 19:39:27,,Old
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,2023-06-01 12:14:10,,New
Helios Trice Megistus,17286057,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-04-06 19:41:32,,Old
Helios Trice Megistus,17286057,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-04-06 19:41:32,"('Any',)",New
Heraldry Change,17536995,"('Activation condition', 'Effect')",Unlimited,Unlimited,2023-03-18 23:34:56,,Old
Heraldry Change,17536995,"('Effect',)",Unlimited,Unlimited,2023-06-03 16:04:23,,New
Human-Wave Tactics,30353551,"('Quick-like Effect',)",Unlimited,Unlimited,2023-04-06 19:41:27,,Old
Human-Wave Tactics,30353551,"('Quick-like Effect',)",Unlimited,Unlimited,2023-04-06 19:41:27,"('Any',)",New
Iron Blacksmith Kotetsu,73431236,"('Flip effect',)",Unlimited,Unlimited,2023-03-19 09:43:32,"('Type',)",Old
Iron Blacksmith Kotetsu,73431236,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-19 20:57:09,"('Type',)",New
"Nouvelles Auberge ""À Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-05-03 14:53:11,,Old
"Nouvelles Restaurant ""At Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:03,,New
Number 1: Infection Buzz King,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-06-04 12:03:21,,New
Number C79: Battlin' Boxer Commander Caesar,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Not yet released,2023-04-13 16:08:42,,Old
Number C79: Battlin' Boxer Commander Caesar,10300821,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-05-27 11:12:45,,New
Obsidian Dragon,90464188,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:37,,Old
Obsidian Dragon,90464188,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:37,"('Any',)",New
Petiteranodon,82946847,"('Trigger Effect',)",Unlimited,Unlimited,2023-04-03 20:31:12,,Old
Petiteranodon,82946847,"('Trigger Effect',)",Unlimited,Unlimited,2023-06-01 15:32:17,"('Any',)",New
Pharaonic Protector,89959682,,Unlimited,Unlimited,2023-04-06 19:41:41,,Old
Pharaonic Protector,89959682,,Unlimited,Unlimited,2023-06-01 13:43:46,"('Type',)",New
Photon Delta Wing,,"('Continuous Effect', 'Trigger Effect')",,Not yet released,2023-06-05 05:43:12,,New
Poeltis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:22,,New
Poêlétis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 11:03:08,,Old
Queen's Pawn,58477767,"('Effect',)",Unlimited,Unlimited,2023-04-10 17:19:05,,Old
Queen's Pawn,58477767,"('Effect',)",Unlimited,Unlimited,2023-04-10 17:19:05,"('Any',)",New
Raging Cloudian,23639291,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:58,,Old
Raging Cloudian,23639291,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:06:58,"('Any',)",New
Recette de Personnel (Staff Recipe),40551410,"('Condition', 'Quick-like Effect')",Unlimited,Unlimited,2023-06-01 12:10:34,,New
Recette de Personnel - Cook's Recipe,40551410,"('Condition', 'Quick-like Effect')",,Unlimited,2023-05-03 10:59:41,,Old
Recette de Poisson (Fish Recipe),87778106,"('Effect',)",Unlimited,Unlimited,2023-06-01 12:10:45,,New
Recette de Poisson - Fish Recipe,87778106,"('Effect',)",,Unlimited,2023-05-03 10:59:37,,Old
Recette de Spécialité - Chef's Specialty Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",,Unlimited,2023-05-03 10:59:33,,Old
Recette de Viande (Meat Recipe),14166715,"('Effect',)",Unlimited,Unlimited,2023-06-01 12:10:39,,New
Recette de Viande - Meat Recipe,14166715,"('Effect',)",,Unlimited,2023-05-03 10:59:28,,Old
Regretful Rebirth,79544790,"('Activation condition', 'Effect')",Unlimited,Unlimited,2023-03-20 05:23:29,"('Any',)",Old
Regretful Rebirth,79544790,"('Effect',)",Unlimited,Unlimited,2023-05-31 22:30:25,"('Any',)",New
Ring Announcer,,"('Condition', 'Effect')",,Not yet released,2023-06-04 15:49:25,,New
Rock of Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",,Unlimited,2023-04-11 16:33:05,,Old
Rock of the Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:12:19,,New
Salamangreat Burst Gryphon,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-05-11 16:36:43,,Old
Salamangreat Burst Gryphon,10140443,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:25:16,,New
Salamangreat Charge,,"('Condition', 'Effect')",,Not yet released,2023-05-10 02:24:30,,Old
Salamangreat Charge,83533296,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:28:26,,New
Salamangreat Raging Phoenix,,"('Condition', 'Trigger Effect')",,Not yet released,2023-05-11 16:53:09,,Old
Salamangreat Raging Phoenix,57134592,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:26:58,,New
Salamangreat Revive,,"('Condition', 'Effect', 'Quick-like Effect')",,Not yet released,2023-05-10 02:26:25,,Old
Salamangreat Revive,19027895,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,2023-05-27 10:30:06,,New
Salamangreat Teeger,,"('Condition', 'Ignition Effect', 'Unclassified effect')",,Not yet released,2023-05-10 01:48:21,,Old
Salamangreat Teeger,84755744,"('Condition', 'Ignition Effect', 'Unclassified effect')",,Unlimited,2023-05-27 10:23:52,,New
Salamangreat Wheesel,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Not yet released,2023-05-10 01:36:21,,Old
Salamangreat Wheesel,57357130,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:22:37,,New
Salamangreat of Fire,11962031,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:20:23,,New
Seventh Force,,"('Effect',)",,Not yet released,2023-05-10 15:24:56,,Old
Seventh Force,83293635,"('Effect',)",,Unlimited,2023-05-27 11:16:28,,New
Sky Striker Ace - Camellia,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2023-05-17 00:56:15,,Old
Sky Striker Ace - Camellia,63013339,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-06-03 14:02:47,,New
Stake Your Soul!,54562327,"('Condition', 'Effect')",,Unlimited,2023-04-11 16:35:28,,Old
Stake your Soul!,54562327,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:12:13,,New
Summon Cloud,55375684,"('Ignition-like Effect',)",Unlimited,Unlimited,2023-04-07 20:07:00,,Old
Summon Cloud,55375684,"('Ignition-like Effect',)",Unlimited,Unlimited,2023-04-07 20:07:00,"('Any',)",New
Supersoaring,93918159,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:13:49,,New
Swamp Mirrorer,50277973,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:08,,Old
Swamp Mirrorer,50277973,"('Effect',)",Unlimited,Unlimited,2023-04-07 20:07:08,"('Any',)",New
Terrorking Salmon,78060096,,Unlimited,Unlimited,2023-03-31 16:46:51,,Old
Terrorking Salmon,78060096,,Unlimited,Unlimited,2023-05-18 20:11:24,"('Type',)",New
The Crimson Dragon,63436931,"('Quick Effect', 'Trigger Effect')",,Unlimited,2023-04-22 01:19:58,,Old
The First Sarcophagus,31076103,"('Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-04-06 19:41:41,,Old
The First Sarcophagus,31076103,"('Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,2023-04-06 19:41:41,"('Any',)",New
Transcendent Flight,93918159,"('Condition', 'Effect')",,Unlimited,2023-04-03 20:11:28,,Old
Transcendosaurus Drillygnathus,30128445,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:14:16,,New
Transcendosaurus Gigantozowler,67745632,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:14:25,,New
Transcendosaurus Glaciasaurus,94130731,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:14:21,,New
Transcendosaurus Meteorus,31241087,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:14:30,,New
Transcendrake Drillgnathus,30128445,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-04-03 20:10:15,,Old
Transcendrake Gigantozowler,67745632,"('Condition', 'Trigger Effect')",,Unlimited,2023-04-03 20:07:45,,Old
Transcendrake Glacesaurus,94130731,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,2023-04-03 20:09:15,,Old
Transcendrake Meteoros,31241087,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-04-03 20:06:35,,Old
Vanquish Soul - Continue?,27345070,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:13:00,,New
Vanquish Soul Caesar Valius,91073013,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:12:25,,New
Vanquish Soul Calamity Caesar,80738884,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:52,,New
Vanquish Soul Calamity Kaiser,80738884,"('Condition', 'Effect')",,Unlimited,2023-04-11 17:10:11,,Old
Vanquish Soul Continue,27345070,"('Condition', 'Effect')",,Unlimited,2023-04-11 17:02:10,,Old
Vanquish Soul Dr. Mad Love,29280200,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:12:37,,New
Vanquish Soul Dr. Madlove,29280200,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-04-11 16:05:55,,Old
Vanquish Soul Dust Devil,91951471,"('Condition', 'Effect')",,Unlimited,2023-04-12 14:24:52,,Old
Vanquish Soul Dust Devil,91951471,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:12:07,,New
Vanquish Soul Heavy Borger,92895501,"('Condition', 'Quick Effect')",,Unlimited,2023-04-22 13:26:21,,Old
Vanquish Soul Heavy Borger,92895501,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:12:43,,New
Vanquish Soul Kaiser Varius,91073013,"('Condition', 'Quick Effect')",,Unlimited,2023-04-11 16:15:09,,Old
Vanquish Soul Pantera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:12:48,,New
Vanquish Soul Panthera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",,Unlimited,2023-04-11 17:04:48,,Old
Vanquish Soul Pluton HG,55688914,"('Condition', 'Quick Effect')",,Unlimited,2023-04-11 16:09:35,,Old
Vanquish Soul Pluton HG,55688914,"('Condition', 'Quick Effect')",Unlimited,Unlimited,2023-06-01 12:12:30,,New
Vanquish Soul Razen,29302858,"('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,2023-04-11 17:04:45,,Old
Vanquish Soul Razen,29302858,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:13:30,,New
Vanquish Soul Trinity Burst,53330789,"('Condition', 'Effect')",,Unlimited,2023-04-11 17:04:33,,Old
Vanquish Soul Trinity Burst,53330789,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:11:57,,New
Voici la Carte (Today's Menu),41773061,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-01 12:10:51,,New
Voici la Carte - Here is the Menu,41773061,"('Condition', 'Effect')",,Unlimited,2023-05-03 11:01:45,,Old
Volcanic Blaze Accelerator,,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",,Not yet released,2023-04-14 17:32:11,,Old
Volcanic Blaze Accelerator,85250352,"('Cost', 'Ignition-like Effect', 'Unclassified effect')",,Unlimited,2023-05-27 10:52:53,,New
Volcanic Emission,,"('Condition', 'Effect')",,Not yet released,2023-05-17 01:00:01,,Old
Volcanic Emission,58143766,"('Condition', 'Effect')",,Unlimited,2023-05-27 10:55:50,,New
Volcanic Emperor,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,2023-04-14 16:58:42,,Old
Volcanic Emperor,46412900,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:49:23,,New
Volcanic Inferno,,"('Condition', 'Quick-like Effect')",,Not yet released,2023-04-14 17:46:36,,Old
Volcanic Inferno,84138874,"('Condition', 'Quick-like Effect')",,Unlimited,2023-05-27 10:56:47,,New
Volcanic Rimfire,,"('Trigger Effect',)",,Not yet released,2023-04-14 17:23:52,,Old
Volcanic Rimfire,59805313,"('Condition', 'Trigger Effect')",,Unlimited,2023-05-27 10:51:30,,New
Volcanic Trooper,,"('Condition', 'Trigger Effect')",,Not yet released,2023-04-14 17:05:54,,Old
Volcanic Trooper,22411609,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-05-27 10:50:28,,New
Witch Doctor of Chaos,75946257,"('Flip effect',)",Unlimited,Unlimited,2023-03-20 19:57:07,,Old
Witch Doctor of Chaos,75946257,"('Trigger Effect',)",Unlimited,Unlimited,2023-05-18 20:31:51,,New
Xeno Meteoros,05852388,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,2023-04-03 20:05:43,,Old
Xeno Meteorus,05852388,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:14:36,,New
