Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
Anciant Barrier,Trap Card,Normal Trap Card,"('Gi-ant Revolution (series)',)",,,,"('Effect',)",,False,False,,,,Anciant Barrier,https://yugipedia.com/wiki/Anciant_Barrier,,2022-09-21 05:40:05,
Ancient Arise Dragon,Monster Card,,,WATER,Effect Monster,Dragon,"('Effect',)",1600,False,False,2400,,7,Ancient Arise Dragon,https://yugipedia.com/wiki/Ancient_Arise_Dragon,,2022-10-20 07:37:31,
Ancient Arrive Dragon,Monster Card,,,FIRE,Effect Monster,Dragon,"('Effect',)",1600,False,False,2400,,7,Ancient Arrive Dragon,https://yugipedia.com/wiki/Ancient_Arrive_Dragon,,2022-09-25 02:59:58,
Ancient Barrier,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Ancient Barrier,https://yugipedia.com/wiki/Ancient_Barrier,,2022-09-25 03:04:40,
Ancient Lizard Warrior,Monster Card,,,EARTH,Normal Monster,Reptile,,1100,False,False,1400,,4,Ancient Lizard Warrior (Rush Duel),https://yugipedia.com/wiki/Ancient_Lizard_Warrior_(Rush_Duel),,2022-09-21 05:42:22,
Ancient Rules,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Ancient Rules (Rush Duel),https://yugipedia.com/wiki/Ancient_Rules_(Rush_Duel),,2022-10-10 09:09:49,
Ancient Telescope,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Ancient Telescope (Rush Duel),https://yugipedia.com/wiki/Ancient_Telescope_(Rush_Duel),,2022-04-23 23:54:00,
Ancient Turtle Protector,Monster Card,,,WATER,Normal Monster,Reptile,,1400,False,False,0,,1,Ancient Turtle Protector,https://yugipedia.com/wiki/Ancient_Turtle_Protector,,2022-09-21 03:14:04,
Angel Judge,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Angel Judge,https://yugipedia.com/wiki/Angel_Judge,,2022-10-30 07:46:24,
Anglered Digra,Monster Card,,,EARTH,Effect Monster,Insect,"('Effect',)",1600,False,False,2400,,7,Anglered Digra,https://yugipedia.com/wiki/Anglered_Digra,,2022-09-21 05:38:27,
Anmagmabear,Monster Card,,"('Magma',)",EARTH,Effect Monster,Pyro,"('Effect',)",100,False,False,100,,1,Anmagmabear,https://yugipedia.com/wiki/Anmagmabear,,2023-01-03 23:14:29,
Ansler the Magical Swordsman,Monster Card,,,FIRE,Normal Monster,Spellcaster,,500,False,False,2000,,6,Ansler the Magical Swordsman,https://yugipedia.com/wiki/Ansler_the_Magical_Swordsman,,2021-12-03 03:36:03,
Antiberty Flag,Trap Card,Normal Trap Card,"('Gi-ant Revolution (series)',)",,,,"('Effect',)",,False,False,,,,Antiberty Flag,https://yugipedia.com/wiki/Antiberty_Flag,,2022-10-20 07:18:05,
Antrebellion of the Rebellion,Monster Card,,"('Gi-ant Revolution (series)',)",EARTH,Effect Monster,Insect,"('Effect',)",100,False,False,100,,7,Antrebellion of the Rebellion,https://yugipedia.com/wiki/Antrebellion_of_the_Rebellion,,2022-10-20 07:20:56,
Ants Running About,Monster Card,,"('Gi-ant Revolution (series)',)",FIRE,Normal Monster,Insect,,600,False,False,100,,1,Ants Running About,https://yugipedia.com/wiki/Ants_Running_About,,2022-10-20 07:23:45,
Apocalypse - Beast Gear World,Spell Card,Field Spell Card,"('Beast Gear',)",,,,"('Effect',)",,False,False,,,,Apocalypse - Beast Gear World,https://yugipedia.com/wiki/Apocalypse_-_Beast_Gear_World,,2022-09-25 03:05:23,
Apocalypse - Legend of the Warrior,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Apocalypse - Legend of the Warrior,https://yugipedia.com/wiki/Apocalypse_-_Legend_of_the_Warrior,,2022-10-20 07:19:21,
Apocalypse - The Unstoppable Beast-Warrior,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Apocalypse - The Unstoppable Beast-Warrior,https://yugipedia.com/wiki/Apocalypse_-_The_Unstoppable_Beast-Warrior,,2022-12-14 22:50:59,
Applizard,Monster Card,,"('High Tech Dragon',)",LIGHT,Normal Monster,Dragon,,0,False,False,1500,,4,Applizard,https://yugipedia.com/wiki/Applizard,,2022-12-21 09:37:45,
Aqua Boost,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Aqua Boost,https://yugipedia.com/wiki/Aqua_Boost,,2022-10-20 07:34:56,
Aqua Sorcerer,Monster Card,,,WATER,Normal Monster,Spellcaster,,0,False,False,1500,,4,Aqua Sorcerer,https://yugipedia.com/wiki/Aqua_Sorcerer,,2022-09-20 11:22:00,
Archfiend Marmot of Deliciousness,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,0,False,False,1500,,4,Archfiend Marmot of Deliciousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Deliciousness,,2022-12-27 14:32:41,
Archfiend Marmot of Nefaribousness,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,0,False,False,1500,,4,Archfiend Marmot of Nefaribousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefaribousness,,2022-09-21 05:35:39,
Archfiend Marmot of Nefariousness,Monster Card,,,EARTH,Normal Monster,Beast,,600,False,False,400,,2,Archfiend Marmot of Nefariousness (Rush Duel),https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness_(Rush_Duel),,2022-04-10 15:58:12,
Archfiend Soldier,Monster Card,,,DARK,Normal Monster,Fiend,,1500,True,False,1900,,4,Archfiend Soldier (Rush Duel),https://yugipedia.com/wiki/Archfiend_Soldier_(Rush_Duel),,2022-12-21 09:03:19,
Archfiend Warrior,Monster Card,,,DARK,Effect Monster,Fiend,"('Effect',)",900,False,False,1300,,4,Archfiend Warrior,https://yugipedia.com/wiki/Archfiend_Warrior,,2023-02-17 11:57:55,
Archfiend's Revival,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Archfiend's Revival,https://yugipedia.com/wiki/Archfiend%27s_Revival,,2022-11-02 17:18:23,
Archfiend's Summoning Flute,Monster Card,,,DARK,Effect Monster,Fiend,"('Effect',)",0,False,False,0,,1,Archfiend's Summoning Flute,https://yugipedia.com/wiki/Archfiend%27s_Summoning_Flute,,2023-01-03 23:15:47,
Area 33,Spell Card,Field Spell Card,"('Cosmic Urban Legend',)",,,,"('Effect',)",,False,False,,,,Area 33,https://yugipedia.com/wiki/Area_33,,2022-11-17 12:07:41,
Arma Knight,Monster Card,,,WATER,Normal Monster,Aqua,,1200,False,False,1000,,4,Arma Knight (Rush Duel),https://yugipedia.com/wiki/Arma_Knight_(Rush_Duel),,2022-09-21 03:03:38,
Armaments of Ascension,Spell Card,Equip Spell Card,,,,,"('Effect',)",,False,False,,,,Armaments of Ascension,https://yugipedia.com/wiki/Armaments_of_Ascension,,2023-02-04 14:18:09,
Armored Lizard,Monster Card,,,EARTH,Normal Monster,Reptile,,1200,False,False,1500,,4,Armored Lizard (Rush Duel),https://yugipedia.com/wiki/Armored_Lizard_(Rush_Duel),,2022-09-21 05:44:42,
Aromagmabear,Monster Card,,"('Magma',)",EARTH,Effect Monster,Pyro,"('Effect',)",1200,False,False,600,,3,Aromagmabear,https://yugipedia.com/wiki/Aromagmabear,,2022-10-20 07:20:44,
Arts Angel CD Fender,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,2000,False,False,1000,,6,Arts Angel CD Fender,https://yugipedia.com/wiki/Arts_Angel_CD_Fender,,2023-02-04 14:26:42,
Arts Angel Dia Needle,Monster Card,,"('Arts Angel',)",DARK,Effect Monster,Fairy,"('Effect',)",500,False,False,0,,1,Arts Angel Dia Needle,https://yugipedia.com/wiki/Arts_Angel_Dia_Needle,,2023-02-04 14:25:50,
Arts Angel Glyco Razer,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,0,False,False,1500,,4,Arts Angel Glyco Razer,https://yugipedia.com/wiki/Arts_Angel_Glyco_Razer,,2023-02-04 14:26:48,
Arts Angel Guard Dolby,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,1500,False,False,0,,1,Arts Angel Guard Dolby,https://yugipedia.com/wiki/Arts_Angel_Guard_Dolby,,2023-02-04 14:26:54,
Arts Angel Metal Position,Monster Card,,"('Arts Angel',)",DARK,Effect Monster,Fairy,"('Effect',)",1500,False,False,2500,,7,Arts Angel Metal Position,https://yugipedia.com/wiki/Arts_Angel_Metal_Position,,2023-02-04 14:25:44,
Arzareth the Sweeping Wind,Monster Card,,,WIND,Effect Monster,Fairy,"('Effect',)",2500,False,False,2200,,7,Arzareth the Sweeping Wind,https://yugipedia.com/wiki/Arzareth_the_Sweeping_Wind,,2022-09-21 05:41:23,
Asbolus the Star Knight,Monster Card,,"('Star Knight',)",LIGHT,Effect Monster,Fiend,"('Effect',)",1200,False,False,2400,,7,Asbolus the Star Knight,https://yugipedia.com/wiki/Asbolus_the_Star_Knight,,2022-12-29 13:31:11,
Ascending Evolution,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Ascending Evolution,https://yugipedia.com/wiki/Ascending_Evolution,,2022-10-30 07:49:39,
Asport Pirate the Wind Crusher,Monster Card,,"('Shaman Bandit',)",WIND,Effect Monster,Psychic,"('Effect',)",0,False,False,2500,,7,Asport Pirate the Wind Crusher,https://yugipedia.com/wiki/Asport_Pirate_the_Wind_Crusher,,2023-02-04 14:23:54,
Assault Armato,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",600,False,False,1200,,3,Assault Armato,https://yugipedia.com/wiki/Assault_Armato,,2022-09-21 05:28:37,
Asteroeva,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,100,False,False,900,,1,Asteroeva,https://yugipedia.com/wiki/Asteroeva,,2022-12-21 09:16:34,
Astrobio Drake,Monster Card,,,LIGHT,Effect Monster,Dragon,"('Effect',)",200,False,False,1300,,3,Astrobio Drake,https://yugipedia.com/wiki/Astrobio_Drake,,2023-01-21 16:38:04,
Astrorescue,Monster Card,,,WATER,Effect Monster,Galaxy (Type),"('Effect',)",1100,False,False,1000,,3,Astrorescue,https://yugipedia.com/wiki/Astrorescue,,2022-09-21 05:31:51,
Astrosoldier,Monster Card,,,WIND,Effect Monster,Galaxy (Type),"('Continuous Effect',)",0,False,False,1400,,4,Astrosoldier,https://yugipedia.com/wiki/Astrosoldier,,2023-02-04 14:26:06,
Atlas Combat Beetle,Monster Card,,,DARK,Normal Monster,Insect,,0,False,False,1500,,4,Atlas Combat Beetle,https://yugipedia.com/wiki/Atlas_Combat_Beetle,,2022-09-21 05:43:32,
Attolashoot Highdron,Monster Card,,"('Tron (series)',)",LIGHT,Effect Monster,Cyberse,"('Effect',)",0,False,False,2500,,8,Attolashoot Highdron,https://yugipedia.com/wiki/Attolashoot_Highdron,,2022-09-25 03:00:23,
Attribute Shift Bomb,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Attribute Shift Bomb,https://yugipedia.com/wiki/Attribute_Shift_Bomb,,2022-09-21 03:36:31,
Attron,Monster Card,,"('Tron (series)',)",LIGHT,Effect Monster,Cyberse,"('Effect',)",100,False,False,1000,,3,Attron,https://yugipedia.com/wiki/Attron,,2023-01-03 23:09:37,
Auto Reverse,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Auto Reverse,https://yugipedia.com/wiki/Auto_Reverse,,2023-02-04 14:20:05,
Avian Spell Strategy,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Avian Spell Strategy,https://yugipedia.com/wiki/Avian_Spell_Strategy,,2022-09-21 05:36:15,
Baby Dragon,Monster Card,,,WIND,Normal Monster,Dragon,,700,False,False,1200,,3,Baby Dragon (Rush Duel),https://yugipedia.com/wiki/Baby_Dragon_(Rush_Duel),,2022-09-21 04:55:27,
Babysitter Goat,Monster Card,,,DARK,Normal Monster,Fiend,,1400,False,False,0,,1,Babysitter Goat,https://yugipedia.com/wiki/Babysitter_Goat,,2022-04-23 21:03:02,
Back Beat,Spell Card,Normal Spell Card,"('Band Group',)",,,,"('Effect',)",,False,False,,,,Back Beat,https://yugipedia.com/wiki/Back_Beat,,2022-09-21 05:30:02,
Back Jersey,Trap Card,Normal Trap Card,"('Jersey',)",,,,"('Effect',)",,False,False,,,,Back Jersey,https://yugipedia.com/wiki/Back_Jersey,,2023-02-04 14:17:39,
Back To The Fusion,Spell Card,Normal Spell Card,"('Fusion (archetype)', 'The')",,,,"('Effect',)",,False,False,,,,Back To The Fusion,https://yugipedia.com/wiki/Back_To_The_Fusion,,2023-01-21 14:37:05,
Bait Bite Ball,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Bait Bite Ball,https://yugipedia.com/wiki/Bait_Bite_Ball,,2022-10-20 07:34:03,
Baked Bean Soldier,Monster Card,,,FIRE,Normal Monster,Plant,,0,False,False,1500,,4,Baked Bean Soldier,https://yugipedia.com/wiki/Baked_Bean_Soldier,,2022-09-21 05:40:22,
Bandijo of the Battle Ballad,Monster Card,,"('Shaman Bandit',)",WIND,Effect Monster,Psychic,"('Effect',)",1500,False,False,2500,,7,Bandijo of the Battle Ballad,https://yugipedia.com/wiki/Bandijo_of_the_Battle_Ballad,"('Edited',)",2023-02-04 14:23:46,
Barbeque Ox,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,1000,False,False,1000,,3,Barbeque Ox,https://yugipedia.com/wiki/Barbeque_Ox,,2022-12-27 14:38:01,
Barrel Dragon,Monster Card,,,DARK,Effect Monster,Machine,"('Effect',)",2200,True,False,2600,,7,Barrel Dragon (Rush Duel),https://yugipedia.com/wiki/Barrel_Dragon_(Rush_Duel),"('Edited',)",2023-01-31 21:13:20,
The Barrier,Trap Card,Normal Trap Card,"('The',)",,,,"('Effect',)",,False,False,,,,The Barrier,https://yugipedia.com/wiki/The_Barrier,,2023-01-11 01:09:08,
Barrier Armordillo,Monster Card,,,EARTH,Normal Monster,Beast,,1300,False,False,200,,1,Barrier Armordillo,https://yugipedia.com/wiki/Barrier_Armordillo,,2022-04-24 00:06:22,
Barrier Statue of the Inferno,Monster Card,,,FIRE,Effect Monster,Pyro,"('Continuous Effect',)",1000,False,False,1000,,4,Barrier Statue of the Inferno (Rush Duel),https://yugipedia.com/wiki/Barrier_Statue_of_the_Inferno_(Rush_Duel),,2022-12-21 09:45:40,
Bascule the Moving Fortress,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",2500,False,False,0,,7,Bascule the Moving Fortress,https://yugipedia.com/wiki/Bascule_the_Moving_Fortress,,2022-09-20 11:23:04,
Battle Demotion,Trap Card,Normal Trap Card,"('Worker Warrior',)",,,,"('Effect',)",,False,False,,,,Battle Demotion,https://yugipedia.com/wiki/Battle_Demotion,,2022-12-21 09:25:21,
Battle Shark Samegalon,Monster Card,,,WATER,Effect Monster,Fish,"('Effect',)",500,False,False,2300,,7,Battle Shark Samegalon,https://yugipedia.com/wiki/Battle_Shark_Samegalon,,2022-09-21 03:11:27,
Bean Soldier,Monster Card,,,EARTH,Normal Monster,Plant,,1300,False,False,1400,,4,Bean Soldier (Rush Duel),https://yugipedia.com/wiki/Bean_Soldier_(Rush_Duel),,2022-04-20 07:23:18,
Bean Soljersey,Monster Card,,"('Jersey',)",EARTH,Normal Monster,Plant,,500,False,False,1500,,4,Bean Soljersey,https://yugipedia.com/wiki/Bean_Soljersey,,2023-02-04 14:26:34,
Beast Battlefield Barrier,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Beast Battlefield Barrier,https://yugipedia.com/wiki/Beast_Battlefield_Barrier,,2022-09-21 05:31:26,
Beast Drive Mega Elephant,Monster Card,,,EARTH,Effect Monster,Beast,"('Effect',)",2500,False,False,1700,,8,Beast Drive Mega Elephant,https://yugipedia.com/wiki/Beast_Drive_Mega_Elephant,,2022-09-21 05:34:30,
Beast Gear Buggy Dog,Monster Card,,"('Beast Gear',)",FIRE,Normal Monster,Beast-Warrior,,1000,False,False,1200,,4,Beast Gear Buggy Dog,https://yugipedia.com/wiki/Beast_Gear_Buggy_Dog,,2022-09-21 03:46:51,
Beast Gear Emperor Catapult Kong,Monster Card,,"('Beast Gear',)",DARK,Effect Monster,Beast-Warrior,"('Effect',)",1700,False,False,2200,,7,Beast Gear Emperor Catapult Kong,https://yugipedia.com/wiki/Beast_Gear_Emperor_Catapult_Kong,,2022-09-21 03:45:12,
Beast Gear Emperor Glider Fox,Monster Card,,"('Beast Gear',)",EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1500,False,False,2400,,7,Beast Gear Emperor Glider Fox,https://yugipedia.com/wiki/Beast_Gear_Emperor_Glider_Fox,,2022-11-26 13:43:18,
Beast Gear Gyro Jackal,Monster Card,,"('Beast Gear',)",WIND,Normal Monster,Beast-Warrior,,800,False,False,1100,,3,Beast Gear Gyro Jackal,https://yugipedia.com/wiki/Beast_Gear_Gyro_Jackal,,2022-09-21 03:46:01,
Beast Gear King Convoy Liogon,Monster Card,,"('Beast Gear',)",EARTH,Effect Monster,Beast-Warrior,"('Effect',)",2000,False,False,2300,,8,Beast Gear King Convoy Liogon,https://yugipedia.com/wiki/Beast_Gear_King_Convoy_Liogon,,2022-10-20 07:36:40,
Beast Gear Moto Wolf,Monster Card,,"('Beast Gear',)",EARTH,Normal Monster,Beast-Warrior,,400,False,False,1400,,4,Beast Gear Moto Wolf,https://yugipedia.com/wiki/Beast_Gear_Moto_Wolf,,2022-09-21 03:47:19,
Beast Gear Sage Roller Stag,Monster Card,,"('Beast Gear',)",EARTH,Effect Monster,Beast-Warrior,"('Effect',)",2400,False,False,1700,,7,Beast Gear Sage Roller Stag,https://yugipedia.com/wiki/Beast_Gear_Sage_Roller_Stag,,2022-11-17 12:10:07,
Beast Gear Secret Art - Primal Fist,Trap Card,Normal Trap Card,"('Beast Gear',)",,,,"('Effect',)",,False,False,,,,Beast Gear Secret Art - Primal Fist,https://yugipedia.com/wiki/Beast_Gear_Secret_Art_-_Primal_Fist,,2022-09-21 05:44:38,
Beast Gear Side Fennec,Monster Card,,"('Beast Gear',)",EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1000,False,False,1000,,4,Beast Gear Side Fennec,https://yugipedia.com/wiki/Beast_Gear_Side_Fennec,,2023-02-04 14:23:32,
Beast Gear Trike Fox,Monster Card,,"('Beast Gear',)",EARTH,Effect Monster,Beast-Warrior,"('Effect',)",900,False,False,400,,2,Beast Gear Trike Fox,https://yugipedia.com/wiki/Beast_Gear_Trike_Fox,,2022-10-20 07:36:56,
Beast Summoner,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Effect',)",700,False,False,900,,4,Beast Summoner,https://yugipedia.com/wiki/Beast_Summoner,,2022-10-20 07:09:16,
Beast Swords - Tiger Sabre,Spell Card,Equip Spell Card,,,,,"('Effect',)",,False,False,,,,Beast Swords - Tiger Sabre,https://yugipedia.com/wiki/Beast_Swords_-_Tiger_Sabre,,2023-02-04 14:18:16,
Beaver Warrior,Monster Card,,,EARTH,Normal Monster,Beast-Warrior,,1500,False,False,1200,,4,Beaver Warrior (Rush Duel),https://yugipedia.com/wiki/Beaver_Warrior_(Rush_Duel),,2022-09-25 03:03:35,
