Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,Level/Rank,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Page name,Page URL,Artwork,Modification date
Acacia the Shadow Flower Priestess,Monster Card,,"('Shadow Flower',)",EARTH,Effect Monster,Plant,"('Effect',)",3,1000,False,False,1000,,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,,2022-09-21 05:28:13
Accel Wonder Flare,Monster Card,,,FIRE,Effect Monster,Spellcaster,"('Effect',)",5,1600,False,False,1700,,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,,2022-08-11 22:59:06
Accel Wonder Pebble,Monster Card,,,EARTH,Effect Monster,Spellcaster,"('Effect',)",5,700,False,False,1600,,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,,2023-01-03 23:07:41
Accel Wonder Supra,Monster Card,,,WATER,Effect Monster,Spellcaster,"('Effect',)",6,1700,False,False,1600,,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,,2022-04-19 20:53:19
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,"('Effect',)",,,False,False,,,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,,2022-10-13 15:49:19
Achacha Catcher,Monster Card,,"('Baseball',)",FIRE,Normal Monster,Warrior,,4,400,False,False,1400,,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,,2022-12-10 20:56:47
Adorable Newbie Swirls,Monster Card,,,,Normal Monster,,,12,96000,False,False,96000,,Adorable Newbie Swirls,https://yugipedia.com/wiki/Adorable_Newbie_Swirls,,2023-01-20 20:52:30
Aero Sorcerer,Monster Card,,,WIND,Normal Monster,Spellcaster,,4,0,False,False,1500,,Aero Sorcerer,https://yugipedia.com/wiki/Aero_Sorcerer,,2022-08-14 18:31:59
Against Buster,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Against Buster,https://yugipedia.com/wiki/Against_Buster,,2022-12-10 20:47:36
"Agaribel, the Finest Sushi Fairy",Monster Card,,"('Sushi Fairy',)",LIGHT,Effect Monster,Fairy,"('Effect',)",8,1800,False,False,2500,,"Agaribel, the Finest Sushi Fairy","https://yugipedia.com/wiki/Agaribel,_the_Finest_Sushi_Fairy",,2022-10-30 07:47:10
Air Formula Eagle,Monster Card,,,WIND,Effect Monster,Winged Beast,"('Effect',)",7,1800,False,False,2300,,Air Formula Eagle,https://yugipedia.com/wiki/Air_Formula_Eagle,,2022-12-10 20:44:58
Aitsu,Monster Card,,,FIRE,Normal Monster,Fairy,,5,100,False,False,100,,Aitsu (Rush Duel),https://yugipedia.com/wiki/Aitsu_(Rush_Duel),,2023-01-29 19:42:51
Alchemicalize Salamandra,Monster Card,,"('Chemistry',)",FIRE,Fusion Monster,Pyro,"('Effect',)",9,2000,False,False,3000,,Alchemicalize Salamandra,https://yugipedia.com/wiki/Alchemicalize_Salamandra,,2023-01-21 14:20:40
Alco the Flame Emperor of the Lamp,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",6,1200,False,False,1700,,Alco the Flame Emperor of the Lamp,https://yugipedia.com/wiki/Alco_the_Flame_Emperor_of_the_Lamp,,2023-02-04 14:25:55
Alien 33,Monster Card,,"('Cosmic Urban Legend',)",LIGHT,Normal Monster,Reptile,,3,1100,False,False,1100,,Alien 33,https://yugipedia.com/wiki/Alien_33,,2022-12-10 16:05:39
"Alien Count of the White Dwarf, St. Germain",Monster Card,,"('Cosmic Urban Legend',)",LIGHT,Normal Monster,Reptile,,7,1300,False,False,2500,,"Alien Count of the White Dwarf, St. Germain","https://yugipedia.com/wiki/Alien_Count_of_the_White_Dwarf,_St._Germain",,2022-11-17 12:13:02
Alien Shocktrooper,Monster Card,,,EARTH,Normal Monster,Reptile,,4,800,True,False,1900,,Alien Shocktrooper (Rush Duel),https://yugipedia.com/wiki/Alien_Shocktrooper_(Rush_Duel),,2022-10-10 09:06:48
All For Naught - Bubble Burst,Trap Card,Normal Trap Card,"('Bubble Era',)",,,,"('Effect',)",,,False,False,,,All For Naught - Bubble Burst,https://yugipedia.com/wiki/All_For_Naught_-_Bubble_Burst,,2022-09-21 05:40:19
The All-Seeing White Tiger,Monster Card,,,WIND,Normal Monster,Beast,,3,500,False,False,1300,,The All-Seeing White Tiger (Rush Duel),https://yugipedia.com/wiki/The_All-Seeing_White_Tiger_(Rush_Duel),,2022-04-23 01:18:41
Alligator's Sword,Monster Card,,,EARTH,Normal Monster,Beast,,4,1200,False,False,1500,,Alligator's Sword (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_(Rush_Duel),,2023-02-15 13:28:42
Alligator's Sword Dragon,Monster Card,,,WIND,Fusion Monster,Dragon,"('Effect',)",5,1500,False,False,1700,,Alligator's Sword Dragon (Rush Duel),https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon_(Rush_Duel),,2023-02-04 17:37:39
Almastra XI - Aquarius,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",8,1200,False,False,2400,,Almastra XI - Aquarius,https://yugipedia.com/wiki/Almastra_XI_-_Aquarius,,2022-11-28 18:16:57
Alpha Burn Drake,Monster Card,,"('High Tech Dragon',)",LIGHT,Normal Monster,Dragon,,1,1000,False,False,600,,Alpha Burn Drake,https://yugipedia.com/wiki/Alpha_Burn_Drake,,2022-12-21 09:39:42
Alpiris the Sower,Monster Card,,,LIGHT,Effect Monster,Plant,"('Effect',)",2,1000,False,False,500,,Alpiris the Sower,https://yugipedia.com/wiki/Alpiris_the_Sower,,2023-02-04 14:24:59
Altierra the Skysavior Transience,Monster Card,,"('Skysavior',)",DARK,Fusion Monster,Celestial Warrior,"('Continuous Effect',)",9,2400,False,False,2600,,Altierra the Skysavior Transience,https://yugipedia.com/wiki/Altierra_the_Skysavior_Transience,,2023-01-21 14:29:44
Ama Lilith,Monster Card,,"('Psychic Musician',)",DARK,Normal Monster,Psychic,,2,400,False,False,400,,Ama Lilith,https://yugipedia.com/wiki/Ama_Lilith,,2023-01-20 21:02:24
Amabie,Monster Card,,,WATER,Effect Monster,Fairy,"('Effect',)",3,0,False,False,0,,Amabie (Rush Duel),https://yugipedia.com/wiki/Amabie_(Rush_Duel),,2022-06-18 10:58:52
Amazing Dealer,Monster Card,,,WATER,Effect Monster,Spellcaster,"('Effect',)",3,1000,False,False,0,,Amazing Dealer,https://yugipedia.com/wiki/Amazing_Dealer,,2022-10-10 09:09:33
Ampler Glee,Monster Card,,"('Shaman Bandit',)",WIND,Normal Monster,Psychic,,4,0,False,False,1500,,Ampler Glee,https://yugipedia.com/wiki/Ampler_Glee,,2023-02-04 14:26:12
Amusi Cheer,Spell Card,Normal Spell Card,"('Psychic Musician',)",,,,,,,False,False,,,Amusi Cheer,https://yugipedia.com/wiki/Amusi_Cheer,,2023-01-24 19:53:03
Amusi Howling Performer,Monster Card,,"('Psychic Musician',)",FIRE,Fusion Monster,Psychic,"('Effect',)",7,1700,False,False,2500,,Amusi Howling Performer,https://yugipedia.com/wiki/Amusi_Howling_Performer,,2022-10-31 18:44:31
Amusi Performer,Monster Card,,"('Psychic Musician',)",FIRE,Effect Monster,Psychic,"('Effect',)",3,300,False,False,800,,Amusi Performer,https://yugipedia.com/wiki/Amusi_Performer,,2022-12-26 02:42:45
Analyze Phlogiston,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",7,2300,False,False,2300,,Analyze Phlogiston,https://yugipedia.com/wiki/Analyze_Phlogiston,,2022-12-21 09:57:35
Anchor Moray,Monster Card,,,WATER,Effect Monster,Fish,"('Effect',)",3,600,False,False,900,,Anchor Moray,https://yugipedia.com/wiki/Anchor_Moray,,2022-10-20 07:36:23
Anciant Barrier,Trap Card,Normal Trap Card,"('Gi-ant Revolution (series)',)",,,,"('Effect',)",,,False,False,,,Anciant Barrier,https://yugipedia.com/wiki/Anciant_Barrier,,2022-09-21 05:40:05
Ancient Arise Dragon,Monster Card,,,WATER,Effect Monster,Dragon,"('Effect',)",7,1600,False,False,2400,,Ancient Arise Dragon,https://yugipedia.com/wiki/Ancient_Arise_Dragon,,2022-10-20 07:37:31
Ancient Arrive Dragon,Monster Card,,,FIRE,Effect Monster,Dragon,"('Effect',)",7,1600,False,False,2400,,Ancient Arrive Dragon,https://yugipedia.com/wiki/Ancient_Arrive_Dragon,,2022-09-25 02:59:58
Ancient Barrier,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Ancient Barrier,https://yugipedia.com/wiki/Ancient_Barrier,,2022-09-25 03:04:40
Ancient Lizard Warrior,Monster Card,,,EARTH,Normal Monster,Reptile,,4,1100,False,False,1400,,Ancient Lizard Warrior (Rush Duel),https://yugipedia.com/wiki/Ancient_Lizard_Warrior_(Rush_Duel),,2022-09-21 05:42:22
Ancient Rules,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Ancient Rules (Rush Duel),https://yugipedia.com/wiki/Ancient_Rules_(Rush_Duel),,2022-10-10 09:09:49
Ancient Telescope,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Ancient Telescope (Rush Duel),https://yugipedia.com/wiki/Ancient_Telescope_(Rush_Duel),,2022-04-23 23:54:00
Ancient Turtle Protector,Monster Card,,,WATER,Normal Monster,Reptile,,1,1400,False,False,0,,Ancient Turtle Protector,https://yugipedia.com/wiki/Ancient_Turtle_Protector,,2022-09-21 03:14:04
Angel Judge,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Angel Judge,https://yugipedia.com/wiki/Angel_Judge,,2022-10-30 07:46:24
Anglered Digra,Monster Card,,,EARTH,Effect Monster,Insect,"('Effect',)",7,1600,False,False,2400,,Anglered Digra,https://yugipedia.com/wiki/Anglered_Digra,,2022-09-21 05:38:27
Anmagmabear,Monster Card,,"('Magma',)",EARTH,Effect Monster,Pyro,"('Effect',)",1,100,False,False,100,,Anmagmabear,https://yugipedia.com/wiki/Anmagmabear,,2023-01-03 23:14:29
Ansler the Magical Swordsman,Monster Card,,,FIRE,Normal Monster,Spellcaster,,6,500,False,False,2000,,Ansler the Magical Swordsman,https://yugipedia.com/wiki/Ansler_the_Magical_Swordsman,,2021-12-03 03:36:03
Ant of Justice,Monster Card,,,???,Effect Monster,???,,???,???,False,False,100,,Ant of Justice,https://yugipedia.com/wiki/Ant_of_Justice,,2023-02-03 04:48:43
Antiberty Flag,Trap Card,Normal Trap Card,"('Gi-ant Revolution (series)',)",,,,"('Effect',)",,,False,False,,,Antiberty Flag,https://yugipedia.com/wiki/Antiberty_Flag,,2022-10-20 07:18:05
Antrebellion of the Rebellion,Monster Card,,"('Gi-ant Revolution (series)',)",EARTH,Effect Monster,Insect,"('Effect',)",7,100,False,False,100,,Antrebellion of the Rebellion,https://yugipedia.com/wiki/Antrebellion_of_the_Rebellion,,2022-10-20 07:20:56
Ants Running About,Monster Card,,"('Gi-ant Revolution (series)',)",FIRE,Normal Monster,Insect,,1,600,False,False,100,,Ants Running About,https://yugipedia.com/wiki/Ants_Running_About,,2022-10-20 07:23:45
Apocalypse - Beast Gear World,Spell Card,Field Spell Card,"('Beast Gear',)",,,,"('Effect',)",,,False,False,,,Apocalypse - Beast Gear World,https://yugipedia.com/wiki/Apocalypse_-_Beast_Gear_World,,2022-09-25 03:05:23
Apocalypse - Legend of the Warrior,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Apocalypse - Legend of the Warrior,https://yugipedia.com/wiki/Apocalypse_-_Legend_of_the_Warrior,,2022-10-20 07:19:21
Apocalypse - The Unstoppable Beast-Warrior,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Apocalypse - The Unstoppable Beast-Warrior,https://yugipedia.com/wiki/Apocalypse_-_The_Unstoppable_Beast-Warrior,,2022-12-14 22:50:59
Applizard,Monster Card,,"('High Tech Dragon',)",LIGHT,Normal Monster,Dragon,,4,0,False,False,1500,,Applizard,https://yugipedia.com/wiki/Applizard,,2022-12-21 09:37:45
Aqua Boost,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Aqua Boost,https://yugipedia.com/wiki/Aqua_Boost,,2022-10-20 07:34:56
Aqua Sorcerer,Monster Card,,,WATER,Normal Monster,Spellcaster,,4,0,False,False,1500,,Aqua Sorcerer,https://yugipedia.com/wiki/Aqua_Sorcerer,,2022-09-20 11:22:00
Arcanaika Force Dotchtkers,Monster Card,,,LIGHT,Effect Monster,Fairy,,7,2100,False,False,2100,,Arcanaika Force Dotchtkers,https://yugipedia.com/wiki/Arcanaika_Force_Dotchtkers,,2023-02-15 11:30:48
Archfiend Marmot of Deliciousness,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,4,0,False,False,1500,,Archfiend Marmot of Deliciousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Deliciousness,,2022-12-27 14:32:41
Archfiend Marmot of Nefaribousness,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,4,0,False,False,1500,,Archfiend Marmot of Nefaribousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefaribousness,,2022-09-21 05:35:39
Archfiend Marmot of Nefariousness,Monster Card,,,EARTH,Normal Monster,Beast,,2,600,False,False,400,,Archfiend Marmot of Nefariousness (Rush Duel),https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness_(Rush_Duel),,2022-04-10 15:58:12
Archfiend Soldier,Monster Card,,,DARK,Normal Monster,Fiend,,4,1500,True,False,1900,,Archfiend Soldier (Rush Duel),https://yugipedia.com/wiki/Archfiend_Soldier_(Rush_Duel),,2022-12-21 09:03:19
Archfiend's Revival,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Archfiend's Revival,https://yugipedia.com/wiki/Archfiend%27s_Revival,,2022-11-02 17:18:23
Archfiend's Summoning Flute,Monster Card,,,DARK,Effect Monster,Fiend,"('Effect',)",1,0,False,False,0,,Archfiend's Summoning Flute,https://yugipedia.com/wiki/Archfiend%27s_Summoning_Flute,,2023-01-03 23:15:47
Area 33,Spell Card,Field Spell Card,"('Cosmic Urban Legend',)",,,,"('Effect',)",,,False,False,,,Area 33,https://yugipedia.com/wiki/Area_33,,2022-11-17 12:07:41
Arma Knight,Monster Card,,,WATER,Normal Monster,Aqua,,4,1200,False,False,1000,,Arma Knight (Rush Duel),https://yugipedia.com/wiki/Arma_Knight_(Rush_Duel),,2022-09-21 03:03:38
Armaments of Ascension,Spell Card,Equip Spell Card,,,,,"('Effect',)",,,False,False,,,Armaments of Ascension,https://yugipedia.com/wiki/Armaments_of_Ascension,,2023-02-04 14:18:09
Armored Lizard,Monster Card,,,EARTH,Normal Monster,Reptile,,4,1200,False,False,1500,,Armored Lizard (Rush Duel),https://yugipedia.com/wiki/Armored_Lizard_(Rush_Duel),,2022-09-21 05:44:42
Aromagmabear,Monster Card,,"('Magma',)",EARTH,Effect Monster,Pyro,"('Effect',)",3,1200,False,False,600,,Aromagmabear,https://yugipedia.com/wiki/Aromagmabear,,2022-10-20 07:20:44
Arts Angel CD Fender,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,6,2000,False,False,1000,,Arts Angel CD Fender,https://yugipedia.com/wiki/Arts_Angel_CD_Fender,,2023-02-04 14:26:42
Arts Angel Dia Needle,Monster Card,,"('Arts Angel',)",DARK,Effect Monster,Fairy,"('Effect',)",1,500,False,False,0,,Arts Angel Dia Needle,https://yugipedia.com/wiki/Arts_Angel_Dia_Needle,,2023-02-04 14:25:50
Arts Angel Glyco Razer,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,4,0,False,False,1500,,Arts Angel Glyco Razer,https://yugipedia.com/wiki/Arts_Angel_Glyco_Razer,,2023-02-04 14:26:48
Arts Angel Guard Dolby,Monster Card,,"('Arts Angel',)",DARK,Normal Monster,Fairy,,1,1500,False,False,0,,Arts Angel Guard Dolby,https://yugipedia.com/wiki/Arts_Angel_Guard_Dolby,,2023-02-04 14:26:54
Arts Angel Metal Position,Monster Card,,"('Arts Angel',)",DARK,Effect Monster,Fairy,"('Effect',)",7,1500,False,False,2500,,Arts Angel Metal Position,https://yugipedia.com/wiki/Arts_Angel_Metal_Position,,2023-02-04 14:25:44
Arzareth the Sweeping Wind,Monster Card,,,WIND,Effect Monster,Fairy,"('Effect',)",7,2500,False,False,2200,,Arzareth the Sweeping Wind,https://yugipedia.com/wiki/Arzareth_the_Sweeping_Wind,,2022-09-21 05:41:23
Asbolus the Star Knight,Monster Card,,"('Star Knight',)",LIGHT,Effect Monster,Fiend,"('Effect',)",7,1200,False,False,2400,,Asbolus the Star Knight,https://yugipedia.com/wiki/Asbolus_the_Star_Knight,,2022-12-29 13:31:11
Ascending Evolution,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Ascending Evolution,https://yugipedia.com/wiki/Ascending_Evolution,,2022-10-30 07:49:39
Asport Pirate the Wind Crusher,Monster Card,,"('Shaman Bandit',)",WIND,Effect Monster,Psychic,"('Effect',)",7,0,False,False,2500,,Asport Pirate the Wind Crusher,https://yugipedia.com/wiki/Asport_Pirate_the_Wind_Crusher,,2023-02-04 14:23:54
Assault & Infringement Reporter Masa,Monster Card,,,,Normal Monster,,,15,10,False,False,74000,,Assault & Infringement Reporter Masa,https://yugipedia.com/wiki/Assault_%26_Infringement_Reporter_Masa,,2023-01-31 13:24:00
Assault Armato,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",3,600,False,False,1200,,Assault Armato,https://yugipedia.com/wiki/Assault_Armato,,2022-09-21 05:28:37
Asteroeva,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,1,100,False,False,900,,Asteroeva,https://yugipedia.com/wiki/Asteroeva,,2022-12-21 09:16:34
Astrobio Drake,Monster Card,,,LIGHT,Effect Monster,Dragon,"('Effect',)",3,200,False,False,1300,,Astrobio Drake,https://yugipedia.com/wiki/Astrobio_Drake,,2023-01-21 16:38:04
Astrorescue,Monster Card,,,WATER,Effect Monster,Galaxy (Type),"('Effect',)",3,1100,False,False,1000,,Astrorescue,https://yugipedia.com/wiki/Astrorescue,,2022-09-21 05:31:51
Astrosoldier,Monster Card,,,WIND,Effect Monster,Galaxy (Type),"('Continuous Effect',)",4,0,False,False,1400,,Astrosoldier,https://yugipedia.com/wiki/Astrosoldier,,2023-02-04 14:26:06
Atlas Combat Beetle,Monster Card,,,DARK,Normal Monster,Insect,,4,0,False,False,1500,,Atlas Combat Beetle,https://yugipedia.com/wiki/Atlas_Combat_Beetle,,2022-09-21 05:43:32
Attolashoot Highdron,Monster Card,,"('Tron (series)',)",LIGHT,Effect Monster,Cyberse,"('Effect',)",8,0,False,False,2500,,Attolashoot Highdron,https://yugipedia.com/wiki/Attolashoot_Highdron,,2022-09-25 03:00:23
Attribute Shift Bomb,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Attribute Shift Bomb,https://yugipedia.com/wiki/Attribute_Shift_Bomb,,2022-09-21 03:36:31
Attron,Monster Card,,"('Tron (series)',)",LIGHT,Effect Monster,Cyberse,"('Effect',)",3,100,False,False,1000,,Attron,https://yugipedia.com/wiki/Attron,,2023-01-03 23:09:37
Auguste Dragon's Counterattack,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Auguste Dragon's Counterattack,https://yugipedia.com/wiki/Auguste_Dragon%27s_Counterattack,,2023-02-04 00:15:59
Aura Buster,Spell Card,Equip Spell Card,,,,,,,,False,False,,,Aura Buster,https://yugipedia.com/wiki/Aura_Buster,,2023-01-26 18:04:59
Auto Reverse,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Auto Reverse,https://yugipedia.com/wiki/Auto_Reverse,,2023-02-04 14:20:05
Avian Spell Strategy,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Avian Spell Strategy,https://yugipedia.com/wiki/Avian_Spell_Strategy,,2022-09-21 05:36:15
Baby Dragon,Monster Card,,,WIND,Normal Monster,Dragon,,3,700,False,False,1200,,Baby Dragon (Rush Duel),https://yugipedia.com/wiki/Baby_Dragon_(Rush_Duel),,2022-09-21 04:55:27
Babysitter Goat,Monster Card,,,DARK,Normal Monster,Fiend,,1,1400,False,False,0,,Babysitter Goat,https://yugipedia.com/wiki/Babysitter_Goat,,2022-04-23 21:03:02
Back Beat,Spell Card,Normal Spell Card,"('Band Group',)",,,,"('Effect',)",,,False,False,,,Back Beat,https://yugipedia.com/wiki/Back_Beat,,2022-09-21 05:30:02
Back Jersey,Trap Card,Normal Trap Card,"('Jersey',)",,,,"('Effect',)",,,False,False,,,Back Jersey,https://yugipedia.com/wiki/Back_Jersey,,2023-02-04 14:17:39
Back To The Fusion,Spell Card,Normal Spell Card,"('Fusion (archetype)', 'The')",,,,"('Effect',)",,,False,False,,,Back To The Fusion,https://yugipedia.com/wiki/Back_To_The_Fusion,,2023-01-21 14:37:05
Bait Bite Ball,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Bait Bite Ball,https://yugipedia.com/wiki/Bait_Bite_Ball,,2022-10-20 07:34:03
Baked Bean Soldier,Monster Card,,,FIRE,Normal Monster,Plant,,4,0,False,False,1500,,Baked Bean Soldier,https://yugipedia.com/wiki/Baked_Bean_Soldier,,2022-09-21 05:40:22
Balance Stone the Miraculous Stone Tool,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Balance Stone the Miraculous Stone Tool,https://yugipedia.com/wiki/Balance_Stone_the_Miraculous_Stone_Tool,,2022-10-19 18:20:12
Ballast Balance Shot,Spell Card,Normal Spell Card,,,,,,,,False,False,,,Ballast Balance Shot,https://yugipedia.com/wiki/Ballast_Balance_Shot,,2022-10-19 16:46:56
Bandijo of the Battle Ballad,Monster Card,,"('Shaman Bandit',)",WIND,Effect Monster,Psychic,"('Effect',)",7,1500,False,False,2500,,Bandijo of the Battle Ballad,https://yugipedia.com/wiki/Bandijo_of_the_Battle_Ballad,"('Edited',)",2023-02-04 14:23:46
Barbeque Ox,Monster Card,,"('Yakiniku',)",FIRE,Normal Monster,Beast,,3,1000,False,False,1000,,Barbeque Ox,https://yugipedia.com/wiki/Barbeque_Ox,,2022-12-27 14:38:01
Barrel Dragon,Monster Card,,,DARK,Effect Monster,Machine,"('Effect',)",7,2200,True,False,2600,,Barrel Dragon (Rush Duel),https://yugipedia.com/wiki/Barrel_Dragon_(Rush_Duel),"('Edited',)",2023-01-31 21:13:20
The Barrier,Trap Card,Normal Trap Card,"('The',)",,,,"('Effect',)",,,False,False,,,The Barrier,https://yugipedia.com/wiki/The_Barrier,,2023-01-11 01:09:08
Barrier Armordillo,Monster Card,,,EARTH,Normal Monster,Beast,,1,1300,False,False,200,,Barrier Armordillo,https://yugipedia.com/wiki/Barrier_Armordillo,,2022-04-24 00:06:22
Barrier Statue of the Inferno,Monster Card,,,FIRE,Effect Monster,Pyro,"('Continuous Effect',)",4,1000,False,False,1000,,Barrier Statue of the Inferno (Rush Duel),https://yugipedia.com/wiki/Barrier_Statue_of_the_Inferno_(Rush_Duel),,2022-12-21 09:45:40
Bascule the Moving Fortress,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",7,2500,False,False,0,,Bascule the Moving Fortress,https://yugipedia.com/wiki/Bascule_the_Moving_Fortress,,2022-09-20 11:23:04
The Battle Bump,Spell Card,Equip Spell Card,"('The',)",,,,,,,False,False,,,The Battle Bump,https://yugipedia.com/wiki/The_Battle_Bump,,2023-02-06 02:15:00
Battle Demotion,Trap Card,Normal Trap Card,"('Worker Warrior',)",,,,"('Effect',)",,,False,False,,,Battle Demotion,https://yugipedia.com/wiki/Battle_Demotion,,2022-12-21 09:25:21
Battle Shark Samegalon,Monster Card,,,WATER,Effect Monster,Fish,"('Effect',)",7,500,False,False,2300,,Battle Shark Samegalon,https://yugipedia.com/wiki/Battle_Shark_Samegalon,,2022-09-21 03:11:27
Be Silent,Spell Card,Normal Spell Card,,,,,,,,False,False,,,Be Silent,https://yugipedia.com/wiki/Be_Silent,,2022-03-20 22:50:49
Bean Soldier,Monster Card,,,EARTH,Normal Monster,Plant,,4,1300,False,False,1400,,Bean Soldier (Rush Duel),https://yugipedia.com/wiki/Bean_Soldier_(Rush_Duel),,2022-04-20 07:23:18
Bean Soljersey,Monster Card,,"('Jersey',)",EARTH,Normal Monster,Plant,,4,500,False,False,1500,,Bean Soljersey,https://yugipedia.com/wiki/Bean_Soljersey,,2023-02-04 14:26:34
Beast Battlefield Barrier,Spell Card,Field Spell Card,,,,,"('Effect',)",,,False,False,,,Beast Battlefield Barrier,https://yugipedia.com/wiki/Beast_Battlefield_Barrier,,2022-09-21 05:31:26
Beast Drive Mega Elephant,Monster Card,,,EARTH,Effect Monster,Beast,"('Effect',)",8,2500,False,False,1700,,Beast Drive Mega Elephant,https://yugipedia.com/wiki/Beast_Drive_Mega_Elephant,,2022-09-21 05:34:30
Beast Gear Buggy Dog,Monster Card,,"('Beast Gear',)",FIRE,Normal Monster,Beast-Warrior,,4,1000,False,False,1200,,Beast Gear Buggy Dog,https://yugipedia.com/wiki/Beast_Gear_Buggy_Dog,,2022-09-21 03:46:51
Beast Gear Emperor Catapult Kong,Monster Card,,"('Beast Gear',)",DARK,Effect Monster,Beast-Warrior,"('Effect',)",7,1700,False,False,2200,,Beast Gear Emperor Catapult Kong,https://yugipedia.com/wiki/Beast_Gear_Emperor_Catapult_Kong,,2022-09-21 03:45:12
