Card number,Name,Rarity,Print,Modification date,Series,Version
BLAR-DE016,Armored White Bear,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE016,Armored White Bear,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE017,Afterglow,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE017,Afterglow,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE018,High Rate Draw,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE018,High Rate Draw,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE019,Malefic Paradigm Dragon,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE019,Malefic Paradigm Dragon,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE020,Numeron Wall,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE020,Numeron Wall,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE021,Number C1: Numeron Chaos Gate Sunya,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE021,Number C1: Numeron Chaos Gate Sunya,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE022,Number 1: Numeron Gate Ekam,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE022,Number 1: Numeron Gate Ekam,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE023,Number 2: Numeron Gate Dve,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE023,Number 2: Numeron Gate Dve,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE024,Number 3: Numeron Gate Trini,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE024,Number 3: Numeron Gate Trini,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE025,Number 4: Numeron Gate Catvari,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE025,Number 4: Numeron Gate Catvari,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE026,Numeron Network,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE026,Numeron Network,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE027,Numeron Calling,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE027,Numeron Calling,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE028,Number 3: Cicada King,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE028,Number 3: Cicada King,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE029,Flower Cardian Cherry Blossom,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE029,Flower Cardian Cherry Blossom,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE030,Super All In!,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE030,Super All In!,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE031,Glacial Beast Blizzard Wolf,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE031,Glacial Beast Blizzard Wolf,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE032,Glacial Beast Polar Penguin,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE032,Glacial Beast Polar Penguin,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE033,Glacial Beast Iceberg Narwhal,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE033,Glacial Beast Iceberg Narwhal,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE034,Fire Flint Lady,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE034,Fire Flint Lady,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE035,Appliancer Socketroll,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE035,Appliancer Socketroll,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE036,Appliancer Breakerbuncle,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE036,Appliancer Breakerbuncle,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE037,Appliancer Copybokkle,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE037,Appliancer Copybokkle,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE038,Appliancer Celtopus,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE038,Appliancer Celtopus,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE039,Appliancer Kappa Scale,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE039,Appliancer Kappa Scale,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE040,Appliancer Vacculephant,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE040,Appliancer Vacculephant,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE041,Appliancer Laundry Dragon,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE041,Appliancer Laundry Dragon,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE042,Appliancer Dryer Drake,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE042,Appliancer Dryer Drake,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE043,Appliancer Reuse,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE043,Appliancer Reuse,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE044,Appliancer Test,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE044,Appliancer Test,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE045,Appliancer Electrilyrical World,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE045,Appliancer Electrilyrical World,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE046,Number F0: Utopic Future Slash,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE046,Number F0: Utopic Future Slash,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE047,"Darkness Metal, the Dragon of Dark Steel","('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE047,"Darkness Metal, the Dragon of Dark Steel","('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE048,"Trishula, the Dragon of Icy Imprisonment","('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE048,"Trishula, the Dragon of Icy Imprisonment","('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE049,"Judgment, the Dragon of Heaven","('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE049,"Judgment, the Dragon of Heaven","('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE050,"Dark Armed, the Dragon of Annihilation","('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE050,"Dark Armed, the Dragon of Annihilation","('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE051,"Chaos Emperor, the Dragon of Armageddon","('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE051,"Chaos Emperor, the Dragon of Armageddon","('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE052,Book of Moon,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE052,Book of Moon,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE053,Elemental HERO Neos Alius,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE053,Elemental HERO Neos Alius,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE054,Elemental HERO Shining Flare Wingman,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE054,Elemental HERO Shining Flare Wingman,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE055,Elemental HERO Chaos Neos,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE055,Elemental HERO Chaos Neos,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE056,Elemental HERO Escuridao,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE056,Elemental HERO Escuridao,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE057,Goyo Guardian,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE057,Goyo Guardian,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE058,Goyo Defender,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE058,Goyo Defender,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE059,Koa'ki Meiru Drago,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE059,Koa'ki Meiru Drago,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE060,Black Whirlwind,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE060,Black Whirlwind,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE061,Blackwing - Kris the Crack of Dawn,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE061,Blackwing - Kris the Crack of Dawn,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE062,Assault Blackwing - Sohaya the Rain Storm,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE062,Assault Blackwing - Sohaya the Rain Storm,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE063,Boost Warrior,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE063,Boost Warrior,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE064,Steam Synchron,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE064,Steam Synchron,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE065,Junk Anchor,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE065,Junk Anchor,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE066,Brotherhood of the Fire Fist - Lion Emperor,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE066,Brotherhood of the Fire Fist - Lion Emperor,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE067,"Kalantosa, Mystical Beast of the Forest","('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE067,"Kalantosa, Mystical Beast of the Forest","('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE068,"Valerifawn, Mystical Beast of the Forest","('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE068,"Valerifawn, Mystical Beast of the Forest","('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE069,Number C92: Heart-eartH Chaos Dragon,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE069,Number C92: Heart-eartH Chaos Dragon,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE070,Number S39: Utopia the Lightning,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE070,Number S39: Utopia the Lightning,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE071,Obedience Schooled,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE071,Obedience Schooled,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE072,Mecha Phantom Beast O-Lion,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE072,Mecha Phantom Beast O-Lion,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE073,Madolche Anjelly,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE073,Madolche Anjelly,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE074,Artifact Ignition,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE074,Artifact Ignition,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE075,Artifact Sanctum,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE075,Artifact Sanctum,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE076,Ra's Disciple,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE076,Ra's Disciple,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE077,Nekroz of Gungnir,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE077,Nekroz of Gungnir,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE078,Galaxy Worm,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE078,Galaxy Worm,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE079,Dragon Buster Destruction Sword,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE079,Dragon Buster Destruction Sword,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE080,Invoked Caliga,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE080,Invoked Caliga,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE081,Invoked Raidjin,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE081,Invoked Raidjin,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE082,Invoked Purgatrio,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE082,Invoked Purgatrio,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE083,Invoked Elysium,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE083,Invoked Elysium,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE084,Invocation,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE084,Invocation,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE085,Chimeratech Megafleet Dragon,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE085,Chimeratech Megafleet Dragon,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE086,Secure Gardna,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE086,Secure Gardna,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE087,Formud Skipper,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE087,Formud Skipper,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE088,Danger!? Jackalope?,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE088,Danger!? Jackalope?,"('Secret Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE089,Salamangreat Sunlight Wolf,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE089,Salamangreat Sunlight Wolf,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE090,Salamangreat Gazelle,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE090,Salamangreat Gazelle,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE091,Topologic Zeroboros,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE091,Topologic Zeroboros,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE092,Cross-Sheep,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE092,Cross-Sheep,"('Ultra Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE10K,Ten Thousand Dragon,"('10000 Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE10K,Ten Thousand Dragon,"('10000 Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-EN000,Number 39: Utopia,"('Starlight Rare',)",Reprint,2020-12-27 01:30:39,,Old
BLAR-EN000,Number 39: Utopia,"('Starlight Rare',)",Reprint,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN001,Dark Spell Regeneration,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN001,Dark Spell Regeneration,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN002,Powered Crawler,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN002,Powered Crawler,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN003,Intruder Alarm - Yellow Alert,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN003,Intruder Alarm - Yellow Alert,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN004,Penguin Torpedo,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN004,Penguin Torpedo,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN005,Weathering Soldier,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN005,Weathering Soldier,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN006,Fossil Warrior Skull King,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN006,Fossil Warrior Skull King,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN007,Fossil Warrior Skull Knight,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN007,Fossil Warrior Skull Knight,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN008,Fossil Warrior Skull Bone,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN008,Fossil Warrior Skull Bone,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN009,Fossil Dragon Skullgios,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN009,Fossil Dragon Skullgios,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN010,Fossil Dragon Skullgar,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN010,Fossil Dragon Skullgar,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN011,Fossil Fusion,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN011,Fossil Fusion,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN012,Time Stream,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN012,Time Stream,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN013,Specimen Inspection,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN013,Specimen Inspection,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN014,Miracle Rupture,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN014,Miracle Rupture,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN015,Psychic Wave,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN015,Psychic Wave,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN016,Armored White Bear,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN016,Armored White Bear,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN017,Afterglow,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN017,Afterglow,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN018,High Rate Draw,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN018,High Rate Draw,"('Secret Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN019,Malefic Paradigm Dragon,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN019,Malefic Paradigm Dragon,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN020,Numeron Wall,"('Ultra Rare',)",New,2020-12-27 01:30:39,,Old
BLAR-EN020,Numeron Wall,"('Ultra Rare',)",New,2020-12-27 01:30:39,Battles of Legend,New
BLAR-EN021,Number C1: Numeron Chaos Gate Sunya,"('Secret Rare',)",New,2020-12-27 01:30:39,,Old
