Name,Password,Archseries,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Version
Ancient Gear Explosive,04446672,"('Ancient Gear',)","('Effect',)",Unlimited,Ancient Gear Explosive,https://yugipedia.com/wiki/Ancient_Gear_Explosive,,2023-03-18 01:14:59,"('Any',)",New
Ancient Gear Hydra,81269231,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Ancient Gear Hydra,https://yugipedia.com/wiki/Ancient_Gear_Hydra,,2023-03-18 01:19:15,"('Any',)",Old
Ancient Gear Hydra,81269231,"('Ancient Gear',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Ancient Gear Hydra,https://yugipedia.com/wiki/Ancient_Gear_Hydra,,2023-03-18 01:19:15,"('Any',)",New
Ancient Gear Knight,39303359,,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Ancient Gear Knight,https://yugipedia.com/wiki/Ancient_Gear_Knight,,2023-03-18 01:19:35,"('Type',)",Old
Ancient Gear Knight,39303359,"('Ancient Gear',)","('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Ancient Gear Knight,https://yugipedia.com/wiki/Ancient_Gear_Knight,,2023-03-18 01:19:35,"('Type',)",New
Ancient Gear Reactor Dragon,44874522,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Ancient Gear Reactor Dragon,https://yugipedia.com/wiki/Ancient_Gear_Reactor_Dragon,,2023-03-18 01:20:22,,Old
Ancient Gear Reactor Dragon,44874522,"('Ancient Gear', 'Reactor')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Ancient Gear Reactor Dragon,https://yugipedia.com/wiki/Ancient_Gear_Reactor_Dragon,,2023-03-18 01:20:22,,New
Ancient Gear Soldier,56094445,,"('Continuous Effect',)",Unlimited,Ancient Gear Soldier,https://yugipedia.com/wiki/Ancient_Gear_Soldier,"('Edited',)",2023-03-18 01:20:54,"('Name', 'Type')",Old
Ancient Gear Soldier,56094445,"('Ancient Gear',)","('Continuous Effect',)",Unlimited,Ancient Gear Soldier,https://yugipedia.com/wiki/Ancient_Gear_Soldier,"('Edited',)",2023-03-18 01:20:54,"('Name', 'Type')",New
Ancient Gear Tank,37457534,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Ancient Gear Tank,https://yugipedia.com/wiki/Ancient_Gear_Tank,,2023-03-18 01:21:19,"('Any',)",Old
Ancient Gear Tank,37457534,"('Ancient Gear',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Ancient Gear Tank,https://yugipedia.com/wiki/Ancient_Gear_Tank,,2023-03-18 01:21:19,"('Any',)",New
Ancient Sorcerer,36821538,,,,Ancient Sorcerer,https://yugipedia.com/wiki/Ancient_Sorcerer,,2023-03-18 01:24:52,,Old
Ancient Sorcerer,36821538,"('Prophecy',)",,,Ancient Sorcerer,https://yugipedia.com/wiki/Ancient_Sorcerer,,2023-03-18 01:24:52,,New
Ancient Tool,49587396,,,Unlimited,Ancient Tool,https://yugipedia.com/wiki/Ancient_Tool,,2023-06-09 04:24:59,,Old
Ancient Tool,49587396,"('Heart',)",,Unlimited,Ancient Tool,https://yugipedia.com/wiki/Ancient_Tool,,2023-06-09 04:24:59,,New
Angel of Zera,42216237,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Angel of Zera,https://yugipedia.com/wiki/Angel_of_Zera,,2023-03-18 01:33:05,,Old
Angel of Zera,42216237,"('Zera',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Angel of Zera,https://yugipedia.com/wiki/Angel_of_Zera,,2023-03-18 01:33:05,,New
Anti-Fusion Device,72150572,,"('Effect',)",Unlimited,Anti-Fusion Device,https://yugipedia.com/wiki/Anti-Fusion_Device,,2023-03-18 01:37:25,,Old
Anti-Fusion Device,72150572,"('Polymerization (archetype)',)","('Effect',)",Unlimited,Anti-Fusion Device,https://yugipedia.com/wiki/Anti-Fusion_Device,,2023-03-18 01:37:25,,New
Appliancer Laundry Dragon,77102944,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Appliancer Laundry Dragon,https://yugipedia.com/wiki/Appliancer_Laundry_Dragon,,2023-03-18 01:45:56,,Old
Appliancer Laundry Dragon,77102944,"('Appliancer',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Appliancer Laundry Dragon,https://yugipedia.com/wiki/Appliancer_Laundry_Dragon,,2023-03-18 01:45:56,,New
Appliancer Propelion,81769387,,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,Appliancer Propelion,https://yugipedia.com/wiki/Appliancer_Propelion,,2023-03-18 01:46:13,,Old
Appliancer Propelion,81769387,"('Appliancer',)","('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,Appliancer Propelion,https://yugipedia.com/wiki/Appliancer_Propelion,,2023-03-18 01:46:13,,New
Apprentice Magician,09156135,,"('Trigger Effect',)",Unlimited,Apprentice Magician,https://yugipedia.com/wiki/Apprentice_Magician,,2023-03-18 01:48:13,"('Any',)",Old
Apprentice Magician,09156135,"('Magician',)","('Trigger Effect',)",Unlimited,Apprentice Magician,https://yugipedia.com/wiki/Apprentice_Magician,,2023-03-18 01:48:13,"('Any',)",New
Aqua Madoor,85639257,,,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2023-05-14 13:31:24,"('Type',)",Old
Aqua Madoor,85639257,"('Madoor',)",,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2023-05-14 13:31:24,"('Type',)",New
Aratama,16889337,,"('Summoning condition', 'Trigger Effect')",Unlimited,Aratama,https://yugipedia.com/wiki/Aratama,,2023-03-18 01:57:09,,Old
Aratama,16889337,,"('Summoning condition', 'Trigger Effect')",Unlimited,Aratama,https://yugipedia.com/wiki/Aratama,,2023-06-18 06:51:10,"('Type',)",New
Arc Rebellion Xyz Dragon,64276752,,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Arc Rebellion Xyz Dragon,https://yugipedia.com/wiki/Arc_Rebellion_Xyz_Dragon,,2023-03-18 01:57:29,,Old
Arc Rebellion Xyz Dragon,64276752,"('Rebellion (archetype)', 'Xyz (archetype)', 'Xyz Dragon')","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Arc Rebellion Xyz Dragon,https://yugipedia.com/wiki/Arc_Rebellion_Xyz_Dragon,,2023-03-18 01:57:29,,New
Archfiend Marmot of Nefariousness,75889523,,,Unlimited,Archfiend Marmot of Nefariousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness,,2023-03-18 02:13:16,,Old
Archfiend Marmot of Nefariousness,75889523,"('Archfiend',)",,Unlimited,Archfiend Marmot of Nefariousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness,,2023-03-18 02:13:16,,New
Archfiend Mirror,15150371,,,,Archfiend Mirror,https://yugipedia.com/wiki/Archfiend_Mirror,,2023-03-18 02:13:59,,Old
Archfiend Mirror,15150371,"('Archfiend',)",,,Archfiend Mirror,https://yugipedia.com/wiki/Archfiend_Mirror,,2023-03-18 02:13:59,,New
Archfiend Palabyrinth,63883999,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Archfiend Palabyrinth,https://yugipedia.com/wiki/Archfiend_Palabyrinth,,2023-03-16 14:38:36,,Old
Archfiend Palabyrinth,63883999,"('Archfiend',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Archfiend Palabyrinth,https://yugipedia.com/wiki/Archfiend_Palabyrinth,,2023-03-16 14:38:36,,New
Archfiend Zombie-Skull,59969392,,"('Continuous Effect',)",Unlimited,Archfiend Zombie-Skull,https://yugipedia.com/wiki/Archfiend_Zombie-Skull,,2023-03-18 02:15:39,"('Any',)",Old
Archfiend Zombie-Skull,59969392,"('Archfiend', 'Zombie counterpart')","('Continuous Effect',)",Unlimited,Archfiend Zombie-Skull,https://yugipedia.com/wiki/Archfiend_Zombie-Skull,,2023-03-18 02:15:39,"('Any',)",New
Armed Dragon Catapult Cannon,75906310,,"('Continuous Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Armed Dragon Catapult Cannon,https://yugipedia.com/wiki/Armed_Dragon_Catapult_Cannon,"('Edited',)",2023-03-18 02:30:31,,Old
Armed Dragon Catapult Cannon,75906310,"('Armed Dragon',)","('Continuous Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Armed Dragon Catapult Cannon,https://yugipedia.com/wiki/Armed_Dragon_Catapult_Cannon,"('Edited',)",2023-06-17 18:54:34,,New
Armityle the Chaos Phantasm,43378048,,"('Continuous Effect', 'Summoning condition')",Unlimited,Armityle the Chaos Phantasm,https://yugipedia.com/wiki/Armityle_the_Chaos_Phantasm,,2023-03-18 02:36:40,"('Name',)",Old
Armityle the Chaos Phantasm,43378048,"('Phantasm', 'Sacred Beast')","('Continuous Effect', 'Summoning condition')",Unlimited,Armityle the Chaos Phantasm,https://yugipedia.com/wiki/Armityle_the_Chaos_Phantasm,,2023-06-17 18:54:50,"('Name',)",New
Arms Regeneration,32549749,,"('Condition', 'Effect')",,Arms Regeneration,https://yugipedia.com/wiki/Arms_Regeneration,,2023-05-09 20:18:09,,Old
Arms Regeneration,32549749,,"('Condition', 'Effect')",Not yet released,Arms Regeneration,https://yugipedia.com/wiki/Arms_Regeneration,,2023-06-13 17:13:51,,New
Aroma Jar,21452275,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Aroma Jar,https://yugipedia.com/wiki/Aroma_Jar,,2023-03-18 02:46:04,,Old
Aroma Jar,21452275,"('Aroma', 'Jar')","('Continuous Effect', 'Trigger Effect')",Unlimited,Aroma Jar,https://yugipedia.com/wiki/Aroma_Jar,,2023-03-18 02:46:04,,New
Artifact Failnaught,48086335,,"('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Failnaught,https://yugipedia.com/wiki/Artifact_Failnaught,,2023-03-18 02:54:24,"('Any',)",Old
Artifact Failnaught,48086335,"('Artifact',)","('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Failnaught,https://yugipedia.com/wiki/Artifact_Failnaught,,2023-03-18 02:54:24,"('Any',)",New
Artifact Moralltach,85103922,,"('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Moralltach,https://yugipedia.com/wiki/Artifact_Moralltach,,2023-04-24 08:52:32,"('Any',)",Old
Artifact Moralltach,85103922,"('Artifact',)","('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Moralltach,https://yugipedia.com/wiki/Artifact_Moralltach,,2023-04-24 08:52:32,"('Any',)",New
Artifact Scythe,20292186,,"('Trigger Effect', 'Unclassified effect')",Forbidden,Artifact Scythe,https://yugipedia.com/wiki/Artifact_Scythe,"('Edited',)",2023-03-18 02:56:59,"('Any',)",Old
Artifact Scythe,20292186,"('Artifact',)","('Trigger Effect', 'Unclassified effect')",Forbidden,Artifact Scythe,https://yugipedia.com/wiki/Artifact_Scythe,"('Edited',)",2023-03-18 02:56:59,"('Any',)",New
Artifact Vajra,69304426,,"('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Vajra,https://yugipedia.com/wiki/Artifact_Vajra,,2023-03-18 02:57:17,"('Any',)",Old
Artifact Vajra,69304426,"('Artifact',)","('Trigger Effect', 'Unclassified effect')",Unlimited,Artifact Vajra,https://yugipedia.com/wiki/Artifact_Vajra,,2023-03-18 02:57:17,"('Any',)",New
Artifacts Unleashed,56611470,,"('Effect', 'Trigger Effect')",Unlimited,Artifacts Unleashed,https://yugipedia.com/wiki/Artifacts_Unleashed,,2023-03-18 02:57:41,"('Any',)",Old
Artifacts Unleashed,56611470,"('Artifact',)","('Effect', 'Trigger Effect')",Unlimited,Artifacts Unleashed,https://yugipedia.com/wiki/Artifacts_Unleashed,,2023-03-18 02:57:41,"('Any',)",New
"Ascator, Dawnwalker",71821687,,"('Condition', 'Ignition Effect')",Unlimited,"Ascator, Dawnwalker","https://yugipedia.com/wiki/Ascator,_Dawnwalker",,2023-06-09 17:48:14,,Old
"Ascator, Dawnwalker",71821687,"('Inca',)","('Condition', 'Ignition Effect')",Unlimited,"Ascator, Dawnwalker","https://yugipedia.com/wiki/Ascator,_Dawnwalker",,2023-06-09 17:48:14,,New
Ashoka Pillar,58996839,,"('Condition', 'Trigger Effect')",,Ashoka Pillar,https://yugipedia.com/wiki/Ashoka_Pillar,,2023-06-10 00:33:26,,Old
Ashoka Pillar,58996839,"('Ancient Treasure',)","('Condition', 'Trigger Effect')",,Ashoka Pillar,https://yugipedia.com/wiki/Ashoka_Pillar,,2023-06-10 00:33:26,,New
Assault Blackwing - Chidori the Rain Sprinkling,23338098,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Assault Blackwing - Chidori the Rain Sprinkling,https://yugipedia.com/wiki/Assault_Blackwing_-_Chidori_the_Rain_Sprinkling,,2023-03-18 03:03:33,,Old
Assault Blackwing - Chidori the Rain Sprinkling,23338098,"('Assault Blackwing', 'Blackwing')","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Assault Blackwing - Chidori the Rain Sprinkling,https://yugipedia.com/wiki/Assault_Blackwing_-_Chidori_the_Rain_Sprinkling,,2023-03-18 03:03:33,,New
Assault Blackwing - Onimaru the Divine Thunder,80773359,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Assault Blackwing - Onimaru the Divine Thunder,https://yugipedia.com/wiki/Assault_Blackwing_-_Onimaru_the_Divine_Thunder,,2023-03-18 03:04:15,,Old
Assault Blackwing - Onimaru the Divine Thunder,80773359,"('Assault Blackwing', 'Blackwing')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Assault Blackwing - Onimaru the Divine Thunder,https://yugipedia.com/wiki/Assault_Blackwing_-_Onimaru_the_Divine_Thunder,,2023-03-18 03:04:15,,New
Assault Synchron,77202120,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Trigger Effect')",,Assault Synchron,https://yugipedia.com/wiki/Assault_Synchron,,2023-05-08 05:25:24,,Old
Assault Synchron,77202120,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Assault Synchron,https://yugipedia.com/wiki/Assault_Synchron,,2023-06-12 15:27:07,,New
Astral Kuriboh,64591429,"('Kuriboh (archetype)',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Astral Kuriboh,https://yugipedia.com/wiki/Astral_Kuriboh,,2023-03-18 03:11:08,,Old
Astral Kuriboh,64591429,"('Kuriboh (archetype)',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Lingering effect', 'Unclassified effect')",Unlimited,Astral Kuriboh,https://yugipedia.com/wiki/Astral_Kuriboh,,2023-06-15 14:38:02,,New
Asymmetaphys,66719533,,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,Asymmetaphys,https://yugipedia.com/wiki/Asymmetaphys,,2023-03-18 03:13:25,,Old
Asymmetaphys,66719533,"('Metaphys',)","('Ignition-like Effect', 'Trigger Effect')",Unlimited,Asymmetaphys,https://yugipedia.com/wiki/Asymmetaphys,,2023-03-18 03:13:25,,New
Atlantean Attack Squad,08078366,,"('Continuous Effect',)",Unlimited,Atlantean Attack Squad,https://yugipedia.com/wiki/Atlantean_Attack_Squad,,2023-03-18 03:14:31,,Old
Atlantean Attack Squad,08078366,"('Atlantean',)","('Continuous Effect',)",Unlimited,Atlantean Attack Squad,https://yugipedia.com/wiki/Atlantean_Attack_Squad,,2023-03-18 03:14:31,,New
Atlantean Marksman,00706925,,"('Trigger Effect',)",Unlimited,Atlantean Marksman,https://yugipedia.com/wiki/Atlantean_Marksman,,2023-03-18 03:15:32,"('Any',)",Old
Atlantean Marksman,00706925,"('Atlantean',)","('Trigger Effect',)",Unlimited,Atlantean Marksman,https://yugipedia.com/wiki/Atlantean_Marksman,,2023-03-18 03:15:32,"('Any',)",New
Atomic Scrap Dragon,92361635,,"('Ignition Effect', 'Trigger Effect')",Unlimited,Atomic Scrap Dragon,https://yugipedia.com/wiki/Atomic_Scrap_Dragon,,2023-03-18 03:16:44,,Old
Atomic Scrap Dragon,92361635,"('Scrap',)","('Ignition Effect', 'Trigger Effect')",Unlimited,Atomic Scrap Dragon,https://yugipedia.com/wiki/Atomic_Scrap_Dragon,,2023-03-18 03:16:44,,New
Auram the World Chalice Blademaster,04709881,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Auram the World Chalice Blademaster,https://yugipedia.com/wiki/Auram_the_World_Chalice_Blademaster,,2023-03-18 03:20:57,,Old
Auram the World Chalice Blademaster,04709881,"('World Chalice',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Auram the World Chalice Blademaster,https://yugipedia.com/wiki/Auram_the_World_Chalice_Blademaster,,2023-03-18 03:20:57,,New
"Aurkus, Lightsworn Druid",07183277,,"('Continuous Effect', 'Trigger Effect')",Unlimited,"Aurkus, Lightsworn Druid","https://yugipedia.com/wiki/Aurkus,_Lightsworn_Druid",,2023-03-18 03:21:11,"('Any',)",Old
"Aurkus, Lightsworn Druid",07183277,"('Lightsworn',)","('Continuous Effect', 'Trigger Effect')",Unlimited,"Aurkus, Lightsworn Druid","https://yugipedia.com/wiki/Aurkus,_Lightsworn_Druid",,2023-03-18 03:21:11,"('Any',)",New
