Name,Password,Card type,Property,Archseries,Attribute,Primary type,Secondary type,Monster type,Effect type,DEF,ATK,Level/Rank,TCG status,OCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Character
Advanced Ritual Art,46052429,Spell Card,Ritual Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Advanced Ritual Art,https://yugipedia.com/wiki/Advanced_Ritual_Art,,2023-03-17 23:57:42,
Aegis of Gaia,47060347,Trap Card,Continuous Trap Card,,,,,,"('Continuous-like Effect', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Aegis of Gaia,https://yugipedia.com/wiki/Aegis_of_Gaia,,2023-04-07 20:07:09,
Airknight Parshath,18036057,Monster Card,,"('Parshath',)",LIGHT,Effect Monster,,Fairy,"('Continuous Effect', 'Trigger Effect')",1400,1900,5,Unlimited,Unlimited,Unlimited,Airknight Parshath,https://yugipedia.com/wiki/Airknight_Parshath,,2023-03-18 00:03:32,
Alinsection,70924884,Monster Card,,,EARTH,Normal Monster,,Insect,,700,950,3,Unlimited,Unlimited,Unlimited,Alinsection,https://yugipedia.com/wiki/Alinsection,,2023-03-18 00:15:47,
Alligator's Sword,64428736,Monster Card,,,EARTH,Normal Monster,,Beast,,1200,1500,4,Unlimited,Unlimited,Unlimited,Alligator's Sword,https://yugipedia.com/wiki/Alligator%27s_Sword,,2023-03-18 00:17:47,
Alligator's Sword Dragon,03366982,Monster Card,,,WIND,Fusion Monster,,Dragon,"('Continuous Effect',)",1500,1700,5,Unlimited,Unlimited,Unlimited,Alligator's Sword Dragon,https://yugipedia.com/wiki/Alligator%27s_Sword_Dragon,,2023-06-30 04:31:03,
Allure of Darkness,01475311,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Limited 2,Allure of Darkness,https://yugipedia.com/wiki/Allure_of_Darkness,,2023-07-03 22:58:54,
Ally of Justice Clausolas,89386122,Monster Card,,"('Ally of Justice',)",DARK,Normal Monster,,Machine,,1200,2300,6,Unlimited,Unlimited,Unlimited,Ally of Justice Clausolas,https://yugipedia.com/wiki/Ally_of_Justice_Clausolas,,2023-03-18 00:24:03,
Ally of Justice Core Destroyer,36629203,Monster Card,,"('Ally of Justice',)",DARK,Effect Monster,,Machine,"('Trigger Effect',)",200,1200,3,Unlimited,Unlimited,Unlimited,Ally of Justice Core Destroyer,https://yugipedia.com/wiki/Ally_of_Justice_Core_Destroyer,,2023-03-18 00:24:40,
Alpha The Magnet Warrior,99785935,Monster Card,,"('Magnet Warrior', 'Warrior (archetype)')",EARTH,Normal Monster,,Rock,,1700,1400,4,Unlimited,Unlimited,Unlimited,Alpha The Magnet Warrior,https://yugipedia.com/wiki/Alpha_The_Magnet_Warrior,,2023-03-18 00:32:56,
Amazoness Archers,67987611,Trap Card,Normal Trap Card,"('Amazoness',)",,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Archers,https://yugipedia.com/wiki/Amazoness_Archers,,2023-06-17 05:05:38,
Amazoness Chain Master,29654737,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Trigger Effect',)",1300,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Chain Master,https://yugipedia.com/wiki/Amazoness_Chain_Master,,2023-04-10 17:19:18,
Amazoness Fighter,55821894,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",1300,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Fighter,https://yugipedia.com/wiki/Amazoness_Fighter,,2023-04-10 17:19:17,
Amazoness Fighting Spirit,36100154,Spell Card,Continuous Spell Card,"('Amazoness',)",,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Amazoness Fighting Spirit,https://yugipedia.com/wiki/Amazoness_Fighting_Spirit,,2023-04-10 17:19:10,
Amazoness Heirloom,79965360,Spell Card,Equip Spell Card,"('Amazoness',)",,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Heirloom,https://yugipedia.com/wiki/Amazoness_Heirloom,,2023-04-10 17:19:11,
Amazoness Paladin,47480070,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",300,1700,4,Unlimited,Unlimited,Unlimited,Amazoness Paladin,https://yugipedia.com/wiki/Amazoness_Paladin,,2023-04-10 17:19:18,
Amazoness Queen,15951532,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",1800,2400,6,Unlimited,Unlimited,Unlimited,Amazoness Queen,https://yugipedia.com/wiki/Amazoness_Queen,"('Edited',)",2023-03-31 18:57:56,
Amazoness Sage,53162898,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Trigger Effect',)",700,1400,4,Unlimited,Unlimited,Unlimited,Amazoness Sage,https://yugipedia.com/wiki/Amazoness_Sage,,2023-04-10 17:19:16,
Amazoness Scouts,71209500,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Quick Effect',)",1100,500,2,Unlimited,Unlimited,Unlimited,Amazoness Scouts,https://yugipedia.com/wiki/Amazoness_Scouts,"('Edited',)",2023-04-10 17:19:13,
Amazoness Spellcaster,81325903,Spell Card,Normal Spell Card,"('Amazoness',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Amazoness Spellcaster,https://yugipedia.com/wiki/Amazoness_Spellcaster,"('Edited',)",2023-06-19 18:41:29,
Amazoness Spy,31102447,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Condition', 'Ignition Effect', 'Trigger Effect')",1200,800,3,Unlimited,Unlimited,Unlimited,Amazoness Spy,https://yugipedia.com/wiki/Amazoness_Spy,"('Edited',)",2023-03-18 00:55:39,
Amazoness Swords Woman,94004268,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",1600,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Swords Woman,https://yugipedia.com/wiki/Amazoness_Swords_Woman,,2023-04-10 17:19:20,
Amazoness Tiger,10979723,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Beast,"('Continuous Effect', 'Unclassified effect')",1500,1100,4,Unlimited,Unlimited,Unlimited,Amazoness Tiger,https://yugipedia.com/wiki/Amazoness_Tiger,,2023-04-10 17:19:19,
Amazoness Trainee,89567993,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect', 'Trigger Effect')",1300,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Trainee,https://yugipedia.com/wiki/Amazoness_Trainee,,2023-04-10 17:19:17,
Amazoness Village,00712559,Spell Card,Field Spell Card,"('Amazoness',)",,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Village,https://yugipedia.com/wiki/Amazoness_Village,,2023-04-10 17:19:11,
Amazoness Willpower,22082163,Trap Card,Continuous Trap Card,"('Amazoness',)",,,,,"('Continuous-like Effect', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Willpower,https://yugipedia.com/wiki/Amazoness_Willpower,,2023-04-10 17:19:08,
Ambulance Rescueroid,98927491,Monster Card,,"('Roid',)",FIRE,Fusion Monster,,Machine,"('Summoning condition', 'Trigger Effect')",1800,2300,6,Unlimited,Unlimited,Unlimited,Ambulance Rescueroid,https://yugipedia.com/wiki/Ambulance_Rescueroid,,2023-06-08 08:24:57,
Ambulanceroid,36378213,Monster Card,,"('Roid',)",EARTH,Effect Monster,,Machine,"('Trigger Effect',)",1200,300,3,Unlimited,Unlimited,Unlimited,Ambulanceroid,https://yugipedia.com/wiki/Ambulanceroid,,2023-06-07 18:56:31,
Amplifier,00303660,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,Amplifier,https://yugipedia.com/wiki/Amplifier,,2023-06-19 15:45:04,
Amulet of Ambition,05183693,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amulet of Ambition,https://yugipedia.com/wiki/Amulet_of_Ambition,,2023-03-18 01:05:38,
Ancient Brain,42431843,Monster Card,,,DARK,Normal Monster,,Fiend,,700,1000,3,Unlimited,Unlimited,Unlimited,Ancient Brain,https://yugipedia.com/wiki/Ancient_Brain,,2023-05-14 20:50:37,
Ancient City - Rainbow Ruins,34487429,Spell Card,Field Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Quick-like Effect')",,,,Unlimited,Unlimited,Unlimited,Ancient City - Rainbow Ruins,https://yugipedia.com/wiki/Ancient_City_-_Rainbow_Ruins,,2023-03-18 01:09:05,
Ancient Fusion,,Skill Card,,"('Fusion (archetype)',)",,,,,,,,,Illegal,,Legal,Ancient Fusion,https://yugipedia.com/wiki/Ancient_Fusion,,2023-03-18 01:11:41,Vellian Crowler
Ancient Gear,31557782,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Unclassified effect',)",800,100,2,Unlimited,Unlimited,Unlimited,Ancient Gear (card),https://yugipedia.com/wiki/Ancient_Gear_(card),,2023-03-18 01:12:15,
Ancient Gear Beast,10509340,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Summoning condition')",2000,2000,6,Unlimited,Unlimited,Unlimited,Ancient Gear Beast,https://yugipedia.com/wiki/Ancient_Gear_Beast,,2023-05-07 19:39:38,
Ancient Gear Castle,92001300,Spell Card,Continuous Spell Card,"('Ancient Gear',)",,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Ancient Gear Castle,https://yugipedia.com/wiki/Ancient_Gear_Castle,"('Edited',)",2023-06-19 18:45:31,
Ancient Gear Engineer,01953925,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Trigger Effect')",1500,1500,5,Unlimited,Unlimited,Unlimited,Ancient Gear Engineer,https://yugipedia.com/wiki/Ancient_Gear_Engineer,,2023-03-18 01:14:44,
Ancient Gear Gadget,18486927,Monster Card,,"('Ancient Gear', 'Gadget')",EARTH,Effect Monster,,Machine,"('Ignition Effect', 'Trigger Effect')",2000,500,4,Unlimited,Unlimited,Unlimited,Ancient Gear Gadget,https://yugipedia.com/wiki/Ancient_Gear_Gadget,,2023-03-18 01:16:45,
Ancient Gear Golem,83104731,Monster Card,,"('Ancient Gear', 'Ancient Gear Golem (archetype)')",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Summoning condition')",3000,3000,8,Unlimited,Unlimited,Unlimited,Ancient Gear Golem,https://yugipedia.com/wiki/Ancient_Gear_Golem,,2023-03-18 01:18:02,
Ancient Gear Knight,39303359,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,"('Gemini monster',)",Machine,"('Condition', 'Continuous Effect', 'Unclassified effect')",500,1800,4,Unlimited,Unlimited,Unlimited,Ancient Gear Knight,https://yugipedia.com/wiki/Ancient_Gear_Knight,,2023-03-18 01:19:35,
Ancient Gear Soldier,56094445,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect',)",1300,1300,4,Unlimited,Unlimited,Unlimited,Ancient Gear Soldier,https://yugipedia.com/wiki/Ancient_Gear_Soldier,"('Edited',)",2023-06-19 18:16:41,
Ancient Ruler Rises,,Skill Card,,,,,,,,,,,Illegal,,Legal,Ancient Ruler Rises,https://yugipedia.com/wiki/Ancient_Ruler_Rises,,2023-06-22 00:36:46,Abidos the Third
Angel O7,56784842,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Condition', 'Continuous Effect')",1500,2500,7,Unlimited,Unlimited,Unlimited,Angel O7,https://yugipedia.com/wiki/Angel_O7,,2023-03-18 01:32:14,
Annihilator Archfiend,29603180,Monster Card,,"('Archfiend',)",DARK,Effect Monster,,Fiend,"('Condition', 'Ignition Effect')",3000,2000,9,Unlimited,Unlimited,Unlimited,Annihilator Archfiend,https://yugipedia.com/wiki/Annihilator_Archfiend,,2023-03-31 18:30:32,
Anthrosaurus,89904598,Monster Card,,,EARTH,Normal Monster,,Dinosaur,,850,1000,3,Unlimited,Unlimited,Unlimited,Anthrosaurus,https://yugipedia.com/wiki/Anthrosaurus,,2023-03-18 01:36:14,
Apprentice Magician,09156135,Monster Card,,"('Magician',)",DARK,Effect Monster,,Spellcaster,"('Trigger Effect',)",800,400,2,Unlimited,Unlimited,Unlimited,Apprentice Magician,https://yugipedia.com/wiki/Apprentice_Magician,,2023-03-18 01:48:13,
Aqua Chorus,95132338,Trap Card,Continuous Trap Card,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Aqua Chorus,https://yugipedia.com/wiki/Aqua_Chorus,,2023-06-12 12:38:57,
Aqua Madoor,85639257,Monster Card,,"('Madoor',)",WATER,Normal Monster,,Spellcaster,,2000,1200,4,Unlimited,Unlimited,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2023-05-14 13:31:24,
Aqua Spirit,40916023,Monster Card,,"('Attribute Spirit',)",WATER,Effect Monster,,Aqua,"('Summoning condition', 'Trigger Effect')",1200,1600,4,Unlimited,Unlimited,Unlimited,Aqua Spirit,https://yugipedia.com/wiki/Aqua_Spirit,"('Edited',)",2023-06-19 17:53:46,
Arcana Knight Joker,06150044,Monster Card,,,LIGHT,Fusion Monster,,Warrior,"('Quick Effect', 'Summoning condition')",2500,3800,9,Unlimited,Unlimited,Unlimited,Arcana Knight Joker,https://yugipedia.com/wiki/Arcana_Knight_Joker,"('Alternate',)",2023-06-19 15:21:08,
Arcane Barrier,17896384,Spell Card,Continuous Spell Card,,,,,,"('Continuous-like Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Unlimited,Arcane Barrier,https://yugipedia.com/wiki/Arcane_Barrier,,2023-03-18 02:05:52,
Archfiend General,48675364,Monster Card,,"('Archfiend', 'Field Searcher')",DARK,Effect Monster,,Fiend,"('Continuous Effect', 'Ignition Effect')",800,2100,4,Unlimited,Unlimited,Unlimited,Archfiend General,https://yugipedia.com/wiki/Archfiend_General,,2023-06-18 01:34:34,
Archfiend Soldier,49881766,Monster Card,,"('Archfiend',)",DARK,Normal Monster,,Fiend,,1500,1900,4,Unlimited,Unlimited,Unlimited,Archfiend Soldier,https://yugipedia.com/wiki/Archfiend_Soldier,,2023-05-19 20:59:21,
Archfiend of Gilfer,50287060,Monster Card,,"('Archfiend',)",DARK,Effect Monster,,Fiend,"('Continuous-like Effect', 'Trigger Effect')",2500,2200,6,Unlimited,Unlimited,Unlimited,Archfiend of Gilfer,https://yugipedia.com/wiki/Archfiend_of_Gilfer,,2023-03-18 02:16:12,
Archfiend's Conscription,,Skill Card,,"('Archfiend',)",,,,,,,,,Illegal,,Legal,Archfiend's Conscription,https://yugipedia.com/wiki/Archfiend%27s_Conscription,,2023-04-06 18:51:27,Titan
Archfiend's Oath,22796548,Spell Card,Continuous Spell Card,"('Archfiend',)",,,,,"('Ignition-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Archfiend's Oath,https://yugipedia.com/wiki/Archfiend%27s_Oath,,2023-05-19 20:49:39,
Archfiend's Promotion,,Skill Card,,"('Archfiend',)",,,,,,,,,Illegal,,Legal,Archfiend's Promotion,https://yugipedia.com/wiki/Archfiend%27s_Promotion,,2023-06-18 01:34:05,Titan
Archfiend's Roar,56246017,Trap Card,Normal Trap Card,"('Archfiend',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Archfiend's Roar,https://yugipedia.com/wiki/Archfiend%27s_Roar,,2023-05-19 20:47:52,
Armed Dragon LV10,59464593,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Summoning condition')",2000,3000,10,Unlimited,Unlimited,Unlimited,Armed Dragon LV10,https://yugipedia.com/wiki/Armed_Dragon_LV10,,2023-06-22 02:15:50,
Armed Dragon LV3,00980973,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Trigger Effect',)",900,1200,3,Unlimited,Unlimited,Unlimited,Armed Dragon LV3,https://yugipedia.com/wiki/Armed_Dragon_LV3,,2023-06-22 02:14:13,
Armed Dragon LV5,46384672,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Trigger Effect')",1700,2400,5,Unlimited,Unlimited,Unlimited,Armed Dragon LV5,https://yugipedia.com/wiki/Armed_Dragon_LV5,,2023-06-22 02:15:11,
Armed Dragon LV7,73879377,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Summoning condition')",1000,2800,7,Unlimited,Unlimited,Unlimited,Armed Dragon LV7,https://yugipedia.com/wiki/Armed_Dragon_LV7,,2023-06-22 02:14:56,
Armed and Ready!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Armed and Ready!,https://yugipedia.com/wiki/Armed_and_Ready!,,2023-03-18 02:36:12,Chazz Princeton
Armored Zombie,20277860,Monster Card,,"('Zombie counterpart',)",DARK,Normal Monster,,Zombie,,0,1500,3,Unlimited,Unlimited,Unlimited,Armored Zombie,https://yugipedia.com/wiki/Armored_Zombie,,2023-05-14 21:29:49,
Aroma Strategy,,Skill Card,,,,,,,,,,,Illegal,,Legal,Aroma Strategy,https://yugipedia.com/wiki/Aroma_Strategy,,2023-03-18 02:46:11,Mai Valentine
Assault on GHQ,62633180,Trap Card,Normal Trap Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Assault on GHQ,https://yugipedia.com/wiki/Assault_on_GHQ,,2023-03-18 03:09:29,
Attack the Moon!,83715234,Spell Card,Continuous Spell Card,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Unlimited,Attack the Moon!,https://yugipedia.com/wiki/Attack_the_Moon!,,2023-03-18 03:19:14,
Awakening of the Sacred Beasts,53701259,Trap Card,Continuous Trap Card,"('Phantasm',)",,,,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Awakening of the Sacred Beasts,https://yugipedia.com/wiki/Awakening_of_the_Sacred_Beasts,,2023-06-17 18:58:50,
Axe Raider,48305365,Monster Card,,,EARTH,Normal Monster,,Warrior,,1150,1700,4,Unlimited,Unlimited,Unlimited,Axe Raider,https://yugipedia.com/wiki/Axe_Raider,,2023-03-18 03:29:14,
Axe of Despair,40619825,Spell Card,Equip Spell Card,"('Archfiend',)",,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Axe of Despair,https://yugipedia.com/wiki/Axe_of_Despair,"('Edited',)",2023-07-03 04:13:06,
Baby Dragon,88819587,Monster Card,,,WIND,Normal Monster,,Dragon,,700,1200,3,Unlimited,Unlimited,Unlimited,Baby Dragon,https://yugipedia.com/wiki/Baby_Dragon,,2023-05-14 20:57:59,
Backup Squad,28486799,Spell Card,Continuous Spell Card,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Unlimited,Backup Squad,https://yugipedia.com/wiki/Backup_Squad,,2023-04-07 20:07:11,
Bandit,,Skill Card,,,,,,,,,,,Illegal,,Legal,Bandit,https://yugipedia.com/wiki/Bandit,,2023-03-18 03:48:01,Bandit Keith
Banisher of the Light,61528025,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Continuous Effect',)",2000,100,3,Unlimited,Unlimited,Unlimited,Banisher of the Light,https://yugipedia.com/wiki/Banisher_of_the_Light,,2023-05-17 11:50:11,
Banisher of the Radiance,94853057,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Continuous Effect',)",0,1600,3,Unlimited,Unlimited,Unlimited,Banisher of the Radiance,https://yugipedia.com/wiki/Banisher_of_the_Radiance,,2023-06-16 14:43:23,
Bark of Dark Ruler,41925941,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Bark of Dark Ruler,https://yugipedia.com/wiki/Bark_of_Dark_Ruler,"('Edited',)",2023-06-19 18:08:21,
Barrel Dragon,81480460,Monster Card,,"('Gun Dragon',)",DARK,Effect Monster,,Machine,"('Ignition Effect',)",2200,2600,7,Unlimited,Unlimited,Unlimited,Barrel Dragon,https://yugipedia.com/wiki/Barrel_Dragon,"('Edited',)",2023-06-19 19:03:35,
Bashing Shield,88610708,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,Bashing Shield,https://yugipedia.com/wiki/Bashing_Shield,,2023-03-18 03:57:11,
Basic Insect,89091579,Monster Card,,,EARTH,Normal Monster,,Insect,,700,500,2,Unlimited,Unlimited,Unlimited,Basic Insect,https://yugipedia.com/wiki/Basic_Insect,,2023-05-14 13:35:59,
Battle Ox,05053103,Monster Card,,,EARTH,Normal Monster,,Beast-Warrior,,1000,1700,4,Unlimited,Unlimited,Unlimited,Battle Ox,https://yugipedia.com/wiki/Battle_Ox,,2023-05-14 22:13:17,
Battle Survivor,64178868,Monster Card,,,EARTH,Effect Monster,,Warrior,"('Condition', 'Trigger Effect')",800,1600,4,Unlimited,Unlimited,Unlimited,Battle Survivor,https://yugipedia.com/wiki/Battle_Survivor,,2023-04-10 17:19:12,
Battle-Scarred,94463200,Trap Card,Continuous Trap Card,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Battle-Scarred,https://yugipedia.com/wiki/Battle-Scarred,"('Edited',)",2023-06-19 18:30:43,
Battleguard Rage,42233477,Trap Card,Continuous Trap Card,"('Battleguard',)",,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Battleguard Rage,https://yugipedia.com/wiki/Battleguard_Rage,,2023-03-18 04:09:36,
Bazoo the Soul-Eater,40133511,Monster Card,,,EARTH,Effect Monster,,Beast,"('Ignition Effect',)",900,1600,4,Unlimited,Unlimited,Unlimited,Bazoo the Soul-Eater,https://yugipedia.com/wiki/Bazoo_the_Soul-Eater,,2023-03-31 18:16:15,
Beast of Talwar,11761845,Monster Card,,"('Archfiend',)",DARK,Normal Monster,,Fiend,,2150,2400,6,Unlimited,Unlimited,Unlimited,Beast of Talwar,https://yugipedia.com/wiki/Beast_of_Talwar,,2023-05-15 18:39:27,
Beasts of Phantom,,Skill Card,,"('Chimera (series)',)",,,,,,,,,Illegal,,Legal,Beasts of Phantom,https://yugipedia.com/wiki/Beasts_of_Phantom,,2023-06-17 18:23:37,Yami Yugi
Beatdown!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Beatdown!,https://yugipedia.com/wiki/Beatdown!,,2023-06-19 04:24:24,Seto Kaiba
Beaver Warrior,32452818,Monster Card,,,EARTH,Normal Monster,,Beast-Warrior,,1500,1200,4,Unlimited,Unlimited,Unlimited,Beaver Warrior,https://yugipedia.com/wiki/Beaver_Warrior,,2023-05-14 13:22:52,
Bee List Soldier,01474910,Monster Card,,,WIND,Effect Monster,,Insect,"('Ignition Effect',)",400,500,1,Unlimited,Unlimited,Unlimited,Bee List Soldier,https://yugipedia.com/wiki/Bee_List_Soldier,,2023-03-18 04:34:43,
Beetron,30587695,Monster Card,,,DARK,Effect Monster,,Insect,"('Ignition Effect',)",900,1600,4,Unlimited,Unlimited,Unlimited,Beetron,https://yugipedia.com/wiki/Beetron,,2023-06-19 04:25:21,
Behemoth the King of All Animals,22996376,Monster Card,,,EARTH,Effect Monster,,Beast,"('Summoning condition', 'Trigger Effect')",1500,2700,7,Unlimited,Unlimited,Unlimited,Behemoth the King of All Animals,https://yugipedia.com/wiki/Behemoth_the_King_of_All_Animals,,2023-05-25 14:18:44,
"Behold, Gate Guardian!",,Skill Card,,"('Guardian',)",,,,,,,,,Illegal,,Legal,"Behold, Gate Guardian!","https://yugipedia.com/wiki/Behold,_Gate_Guardian!",,2023-06-17 19:20:52,Paradox Brothers
Believe in your Bro,,Skill Card,,,,,,,,,,,Illegal,,Legal,Believe in your Bro,https://yugipedia.com/wiki/Believe_in_your_Bro,,2023-03-18 04:41:41,
Berfomet,77207191,Monster Card,,"('Chimera (series)',)",DARK,Effect Monster,,Fiend,"('Trigger Effect',)",1800,1400,5,Unlimited,Unlimited,Unlimited,Berfomet,https://yugipedia.com/wiki/Berfomet,,2023-06-17 18:23:01,
Berserk Scales,52497105,Spell Card,Quick-Play Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Berserk Scales,https://yugipedia.com/wiki/Berserk_Scales,,2023-03-18 04:44:41,
Beta The Magnet Warrior,39256679,Monster Card,,"('Magnet Warrior', 'Warrior (archetype)')",EARTH,Normal Monster,,Rock,,1600,1700,4,Unlimited,Unlimited,Unlimited,Beta The Magnet Warrior,https://yugipedia.com/wiki/Beta_The_Magnet_Warrior,,2023-03-18 04:47:11,
