Name,Archseries,Effect type,Modification date,Errata,Monster type,DEF,ATK,Version
Harpie Lady,"('Harpie',)",,2023-06-19 18:41:23,"('Type',)",Winged Beast,1400,1300,New
Killer Needle,,,2023-05-14 21:32:27,,Insect,1000,1200,Old
Killer Needle,,,2023-05-14 21:32:27,"('Type',)",Insect,1000,1200,New
Kojikocy,,,2023-06-17 06:31:45,,Warrior,1200,1500,Old
Kojikocy,,,2023-06-17 06:31:45,"('Type',)",Warrior,1200,1500,New
"Mementoral Tectolica, the Netherskull Dragon","('Memento',)",,2023-07-10 04:03:33,,Wyrm,5000,5000,New
Shinobaron Shade Peacock,"('Shinobird',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",2023-07-07 17:54:28,,Winged Beast,1500,2000,New
Shinobaroness Shade Peacock,"('Shinobird',)","('Condition', 'Trigger Effect', 'Unclassified effect')",2023-07-07 17:53:48,,Winged Beast,2000,1500,New
Snake-Eye Excel,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-07-06 13:10:37,,Pyro,1000,800,New
Snake-Eye Oark,"('Snake-Eye',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-07-06 13:23:15,,Pyro,200,900,New
Snake-Eye Wight Birch,"('Snake-Eye',)","('Condition', 'Quick Effect', 'Unclassified effect')",2023-07-06 13:26:04,,Pyro,2100,0,New
Snake-Eyes Flamberge Dragon,"('-Eyes Dragon', 'Snake-Eye')","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",2023-07-06 13:37:15,,Dragon,2500,3000,New
Superheavy Samurai Constable,"('Superheavy Samurai',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-03-20 11:24:02,,Machine,1500,500,Old
Superheavy Samurai Security,"('Superheavy Samurai',)","('Condition', 'Ignition Effect', 'Trigger Effect')",2023-07-09 22:16:19,,Machine,1500,500,New
Tainted Treasure of Betrayal - Silvia,"('Tainted Treasure',)","('Condition', 'Effect', 'Quick-like Effect')",2023-07-06 11:42:01,,,,,New
Tainted Treasure of Doom - Luciela,"('Tainted Treasure',)","('Condition', 'Effect')",2023-07-06 11:38:22,,,,,New
Tainted Treasure of Treason - Snake-Eye,"('Snake-Eye', 'Tainted Treasure')","('Condition', 'Effect')",2023-07-06 08:25:51,,,,,New
The Glaring Ruler Snake-Eyes,"('Snake-Eye',)","('Condition', 'Effect')",2023-07-06 14:11:05,,,,,New
The Himorogi where Stars Align,,"('Ignition-like Effect', 'Trigger Effect')",2023-07-07 18:03:11,,,,,New
The Original Tainted Treasure - Snake-Eye,"('Snake-Eye', 'Tainted Treasure')","('Condition', 'Effect', 'Ignition-like Effect')",2023-07-06 14:03:28,,,,,New
The Shrine of Serpentine Sight - Snake-Eye,"('Snake-Eye',)","('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",2023-07-06 13:56:51,,,,,New
