Name,Legend,Maximum mode,Version
Arts Angel Metal Position,True,True,Old
Arzareth the Sweeping Wind,True,True,Old
Arzareth the Sweeping Wind,False,False,New
Asbolus the Star Knight,True,True,Old
Asbolus the Star Knight,False,False,New
Ascending Evolution,False,False,New
Ascending Evolution,True,True,Old
Asport Pirate the Wind Crusher,True,True,Old
Asport Pirate the Wind Crusher,False,False,New
Assault Armato,False,False,New
Assault Armato,True,True,Old
Asteroeva,False,False,New
Asteroeva,True,True,Old
Astrobio Drake,True,True,Old
Astrobio Drake,False,False,New
Astrorescue,False,False,New
Astrorescue,True,True,Old
Astrosoldier,True,True,Old
Astrosoldier,False,False,New
Atlas Combat Beetle,False,False,New
Atlas Combat Beetle,True,True,Old
Attolashoot Highdron,False,False,New
Attolashoot Highdron,True,True,Old
Attribute Shift Bomb,True,True,Old
Attribute Shift Bomb,False,False,New
Attron,False,False,New
Attron,True,True,Old
Auto Reverse,False,False,New
Auto Reverse,True,True,Old
Avian Spell Strategy,True,True,Old
Avian Spell Strategy,False,False,New
Baby Dragon,True,True,Old
Baby Dragon,False,False,New
Babysitter Goat,True,True,Old
Babysitter Goat,False,False,New
Back Beat,True,True,Old
Back Beat,False,False,New
Back Jersey,True,True,Old
Back Jersey,False,False,New
Back To The Fusion,True,True,Old
Back To The Fusion,False,False,New
Bait Bite Ball,True,True,Old
Bait Bite Ball,False,False,New
Baked Bean Soldier,True,True,Old
Baked Bean Soldier,False,False,New
Bandijo of the Battle Ballad,False,False,New
Bandijo of the Battle Ballad,True,True,Old
Barbeque Ox,True,True,Old
Barbeque Ox,False,False,New
Barrel Dragon,True,False,New
Barrel Dragon,True,True,Old
Barrier Armordillo,True,True,Old
Barrier Armordillo,False,False,New
Barrier Statue of the Inferno,False,False,New
Barrier Statue of the Inferno,True,True,Old
Bascule the Moving Fortress,False,False,New
Bascule the Moving Fortress,True,True,Old
Battle Demotion,False,False,New
Battle Demotion,True,True,Old
Battle Shark Samegalon,False,False,New
Battle Shark Samegalon,True,True,Old
Bean Soldier,False,False,New
Bean Soldier,True,True,Old
Bean Soljersey,True,True,Old
Bean Soljersey,False,False,New
Beast Battlefield Barrier,True,True,Old
Beast Battlefield Barrier,False,False,New
Beast Drive Mega Elephant,False,False,New
Beast Drive Mega Elephant,True,True,Old
Beast Gear Buggy Dog,False,False,New
Beast Gear Buggy Dog,True,True,Old
Beast Gear Emperor Catapult Kong,False,False,New
Beast Gear Emperor Catapult Kong,True,True,Old
Beast Gear Emperor Glider Fox,False,False,New
Beast Gear Emperor Glider Fox,True,True,Old
Beast Gear Gyro Jackal,False,False,New
Beast Gear Gyro Jackal,True,True,Old
Beast Gear King Convoy Liogon,False,False,New
Beast Gear King Convoy Liogon,True,True,Old
Beast Gear Moto Wolf,True,True,Old
Beast Gear Moto Wolf,False,False,New
Beast Gear Sage Roller Stag,False,False,New
Beast Gear Sage Roller Stag,True,True,Old
Beast Gear Secret Art - Primal Fist,False,False,New
Beast Gear Secret Art - Primal Fist,True,True,Old
Beast Gear Side Fennec,False,False,New
Beast Gear Side Fennec,True,True,Old
Beast Gear Trike Fox,True,True,Old
Beast Gear Trike Fox,False,False,New
Beast Summoner,True,True,Old
Beast Summoner,False,False,New
Beast Swords - Tiger Sabre,True,True,Old
Beast Swords - Tiger Sabre,False,False,New
Beaver Warrior,True,True,Old
Beaver Warrior,False,False,New
Begonia the Pressed Shadow Flower,True,True,Old
Begonia the Pressed Shadow Flower,False,False,New
Behemoth the King of All Animals,True,True,Old
Behemoth the King of All Animals,True,False,New
Bendorbreak the Conqueror,False,False,New
Bendorbreak the Conqueror,True,True,Old
Berceptacle Mani,True,True,Old
Berceptacle Mani,False,False,New
Berry Bassist,True,True,Old
Berry Bassist,False,False,New
Berry Fresh Happiness,True,True,Old
Berry Fresh Happiness,False,False,New
Berserker Colosseum,True,True,Old
Berserker Colosseum,False,False,New
Best Bite,True,True,Old
Best Bite,False,False,New
Beta Burn Dragon,False,False,New
Beta Burn Dragon,True,True,Old
Betrayer of Peace,True,True,Old
Betrayer of Peace,False,False,New
Big Bang Egger,True,True,Old
Big Bang Egger,False,False,New
Big Umi,False,False,New
Big Umi,True,True,Old
Binding Chain,False,False,New
Binding Chain,True,True,Old
Bio Mechamantis,True,True,Old
Bio Mechamantis,False,False,New
Bizarrmor,True,True,Old
Bizarrmor,False,False,New
Black Dragon's Chick,True,True,Old
Black Dragon's Chick,False,False,New
Black Dragon's Roar,True,True,Old
Black Dragon's Roar,False,False,New
Black Handshaker,True,True,Old
Black Handshaker,False,False,New
Black Luster Jersey Ritual,True,True,Old
Black Luster Jersey Ritual,False,False,New
Black Luster Soljersey,True,True,Old
Black Luster Soljersey,False,False,New
Black Luster Soljersey - Envoy of the Drying,False,False,New
Black Luster Soljersey - Envoy of the Drying,True,True,Old
Bladearmor King Dynas Dorcus,False,False,New
Bladearmor King Dynas Dorcus,True,True,Old
Blades of Divine Wind,True,True,Old
Blades of Divine Wind,False,False,New
Bladesaurus,False,False,New
Bladesaurus,True,True,Old
Blanc de Blanc the Snow Shadow Flower,False,False,New
Blanc de Blanc the Snow Shadow Flower,True,True,Old
Blast Examiner,True,True,Old
Blast Examiner,False,False,New
Blast Jaws,True,True,Old
Blast Jaws,False,False,New
Blasting Bird,True,True,Old
Blasting Bird,False,False,New
Blaze Fiend Assault,True,True,Old
Blaze Fiend Assault,False,False,New
Blaze Fiend Overlords Beelucitaroth,True,True,Old
Blaze Fiend Overlords Beelucitaroth,False,False,New
Blaze Fiend Overlords Beelucitaroth [L],False,False,New
Blaze Fiend Overlords Beelucitaroth [L],True,True,Old
Blaze Fiend Overlords Beelucitaroth [R],False,False,New
Blaze Fiend Overlords Beelucitaroth [R],True,True,Old
Blazing Chestnut,False,False,New
Blazing Chestnut,True,True,Old
Bleach Mortar,True,True,Old
Bleach Mortar,False,False,New
Blitzkrieg Cavalry Triggerdrago,False,False,New
Blitzkrieg Cavalry Triggerdrago,True,True,Old
Block Attack,True,True,Old
Block Attack,False,False,New
Blue Falcon Tengu,True,True,Old
Blue Falcon Tengu,False,False,New
Blue Medicine,False,False,New
Blue Medicine,True,True,Old
Blue-Eyed Silver Zombie,True,True,Old
Blue-Eyed Silver Zombie,False,False,New
Blue-Eyes White Cat,False,False,New
Blue-Eyes White Cat,True,True,Old
Blue-Eyes White Dragon,True,True,Old
Blue-Eyes White Dragon,True,False,New
Blue-Tooth Burst Dragon,False,False,New
Blue-Tooth Burst Dragon,True,True,Old
Bluegrass Stealer,False,False,New
Bluegrass Stealer,True,True,Old
Bobble Header,False,False,New
Bobble Header,True,True,Old
Bombing Bird,False,False,New
Bombing Bird,True,True,Old
Bonded Bowing,False,False,New
Bonded Bowing,True,True,Old
Boost Rescue,True,True,Old
Boost Rescue,False,False,New
Boosturtle,True,True,Old
Boosturtle,False,False,New
Bowing Brotherhood,False,False,New
Bowing Brotherhood,True,True,Old
Brain Harvester,False,False,New
Brain Harvester,True,True,Old
Brassaxophone the Music Princess,False,False,New
Brassaxophone the Music Princess,True,True,Old
Breaking News!,False,False,New
Breaking News!,True,True,Old
Bright Sentinel,True,True,Old
Bright Sentinel,False,False,New
Brocoohearted Pigeon,True,True,Old
Brocoohearted Pigeon,False,False,New
Brutal Retribution,True,True,Old
Brutal Retribution,False,False,New
Bubble Kingdom,False,False,New
Bubble Kingdom,True,True,Old
Bubbleburst Shock!,True,True,Old
Bubbleburst Shock!,False,False,New
Bubbly Elf,True,True,Old
Bubbly Elf,False,False,New
Buffered Slime,True,True,Old
Buffered Slime,False,False,New
Bull Breaker,True,True,Old
Bull Breaker,False,False,New
Buried Shield,True,True,Old
Buried Shield,False,False,New
Burning Blaze Dragon,True,True,Old
Burning Blaze Dragon,False,False,New
Burst Breath of Destruction,True,True,Old
Burst Breath of Destruction,False,False,New
Burst Stream of Destruction,True,True,Old
Burst Stream of Destruction,False,False,New
Burstray Gunman,True,True,Old
Burstray Gunman,False,False,New
Business Card Barrage,True,True,Old
Business Card Barrage,False,False,New
Buster Blader,True,False,New
Buster Blader,True,True,Old
B・B・Q,False,False,New
B・B・Q,True,True,Old
CAN - I:D,False,False,New
CAN - I:D,True,True,Old
CAN - Melo:D,False,False,New
CAN - Melo:D,True,True,Old
CAN - Re:D,False,False,New
CAN - Re:D,True,True,Old
CAN - Sp:D,True,True,Old
CAN - Sp:D,False,False,New
CAN:D,False,False,New
CAN:D,True,True,Old
CAN:D ALL,False,False,New
CAN:D ALL,True,True,Old
CAN:D LIVE,False,False,New
CAN:D LIVE,True,True,Old
Call of the Earthbound,False,False,New
Call of the Earthbound,True,True,Old
Cannon Soldier,False,False,New
Cannon Soldier,True,True,Old
Cannon Soljersey,False,False,New
Cannon Soljersey,True,True,Old
Captain #39: Home Plate Pinch Hitter,True,True,Old
Captain #39: Home Plate Pinch Hitter,False,False,New
Card Destruction,True,False,New
Card Destruction,True,True,Old
Card Devastation,True,True,Old
Card Devastation,False,False,New
Card Reprint,True,True,Old
Card Reprint,False,False,New
Carpendra,False,False,New
Carpendra,True,True,Old
Cat Claw Girl,False,False,New
Cat Claw Girl,True,True,Old
Cat's Eye,False,False,New
Cat's Eye,True,True,Old
Caught in the Rain,False,False,New
Caught in the Rain,True,True,Old
Celebrontosaurus,True,True,Old
Celebrontosaurus,False,False,New
Celtic Guardian,True,True,Old
Celtic Guardian,False,False,New
Centennial Wooden Blade,False,False,New
Centennial Wooden Blade,True,True,Old
Change of Dessert,False,False,New
Change of Dessert,True,True,Old
Chashooting Star,False,False,New
Chashooting Star,True,True,Old
Chemical Cure Blue,True,True,Old
Chemical Cure Blue,False,False,New
Chemical Cure Purple,True,True,Old
Chemical Cure Purple,False,False,New
Chemical Cure Red,False,False,New
Chemical Cure Red,True,True,Old
Chemicalize Salamander,True,True,Old
Chemicalize Salamander,False,False,New
Chemicalizer Red,False,False,New
Chemicalizer Red,True,True,Old
Cheron the Star Knight,True,True,Old
Cheron the Star Knight,False,False,New
Chromatographicus,True,True,Old
Chromatographicus,False,False,New
Chu-Ske the Mouse Fighter,True,True,Old
Chu-Ske the Mouse Fighter,False,False,New
Ciela the Skysavior Knight,True,True,Old
Ciela the Skysavior Knight,False,False,New
Cintamani of Saturnius,True,True,Old
Cintamani of Saturnius,False,False,New
Cladsoul Dragon Gaigias,True,True,Old
Cladsoul Dragon Gaigias,False,False,New
Clapping Thunder,False,False,New
Clapping Thunder,True,True,Old
Class-Change Mirror,True,True,Old
Class-Change Mirror,False,False,New
Clawleon,True,True,Old
Clawleon,False,False,New
Clean Beret - Colonel Mop,False,False,New
Clean Beret - Colonel Mop,True,True,Old
Cleaning Machine Gorgain,False,False,New
Cleaning Machine Gorgain,True,True,Old
Clear Ice Dragon,False,False,New
Clear Ice Dragon,True,True,Old
Climax Clash,False,False,New
Climax Clash,True,True,Old
Climax Finale,True,True,Old
Climax Finale,False,False,New
Cliptera,False,False,New
Cliptera,True,True,Old
Clowning Cookoo Clock,False,False,New
Clowning Cookoo Clock,True,True,Old
Clubinet the Music Princess,True,True,Old
Clubinet the Music Princess,False,False,New
Cobalt Kobold,False,False,New
Cobalt Kobold,True,True,Old
Coevolutionary Miracle,True,True,Old
Coevolutionary Miracle,False,False,New
Coiled Dragon of Destruction,False,False,New
Coiled Dragon of Destruction,True,True,Old
Coiled Dragon of Fertility,False,False,New
Coiled Dragon of Fertility,True,True,Old
Collapsing Chairs,False,False,New
Collapsing Chairs,True,True,Old
Combustion Oni Bunsel,True,True,Old
Combustion Oni Bunsel,False,False,New
Concert Costume Creator,False,False,New
Concert Costume Creator,True,True,Old
Connector Dog,True,True,Old
Connector Dog,False,False,New
Constructor Ambush,False,False,New
Constructor Ambush,True,True,Old
Constructor Art - Buildestruction,False,False,New
Constructor Art - Buildestruction,True,True,Old
Constructor Battler Big Roller,True,True,Old
Constructor Battler Big Roller,False,False,New
Constructor Blockade,False,False,New
Constructor Blockade,True,True,Old
Constructor Brawler Mixah,False,False,New
Constructor Brawler Mixah,True,True,Old
Constructor Demolisher Wyrm Drake Crush,False,False,New
Constructor Demolisher Wyrm Drake Crush,True,True,Old
Constructor Engineer Draftannium,False,False,New
Constructor Engineer Draftannium,True,True,Old
Constructor Fighter Mixer,True,True,Old
Constructor Fighter Mixer,False,False,New
Constructor Heavenly Wyrm Gantry Dragon,False,False,New
Constructor Heavenly Wyrm Gantry Dragon,True,True,Old
Constructor Princess Pylon,False,False,New
Constructor Princess Pylon,True,True,Old
Constructor Resurrection,False,False,New
Constructor Resurrection,True,True,Old
Constructor Ridge Wyrm Handtoolon,True,True,Old
Constructor Ridge Wyrm Handtoolon,False,False,New
Constructor Sky Wyrm Gantry Dragon,False,False,New
Constructor Sky Wyrm Gantry Dragon,True,True,Old
Constructor Soldier Drillzard,False,False,New
Constructor Soldier Drillzard,True,True,Old
Constructor Sword Foreman,True,True,Old
Constructor Sword Foreman,False,False,New
Constructor Warrior Shovelon,False,False,New
Constructor Warrior Shovelon,True,True,Old
Constructor Wyrm Buildragon,False,False,New
Constructor Wyrm Buildragon,True,True,Old
Corktrooper,True,True,Old
Corktrooper,False,False,New
Corruption of the Blaze Fiends,True,True,Old
Corruption of the Blaze Fiends,False,False,New
Cosmic String Noodryad,True,True,Old
Cosmic String Noodryad,False,False,New
Cosmo Aurorizer,True,True,Old
Cosmo Aurorizer,False,False,New
Cosmo Predictor,True,True,Old
Cosmo Predictor,False,False,New
Cosmo Titan,False,False,New
Cosmo Titan,True,True,Old
Cosmoscallion,False,False,New
Cosmoscallion,True,True,Old
Counter Back,True,True,Old
Counter Back,False,False,New
Counter Cannonball,False,False,New
Counter Cannonball,True,True,Old
Counter Pigeons,False,False,New
Counter Pigeons,True,True,Old
Counter Shield,True,True,Old
Counter Shield,False,False,New
Covering Barrage,False,False,New
Covering Barrage,True,True,Old
Crack Fall,True,True,Old
Crack Fall,False,False,New
Cracking Claw,False,False,New
Cracking Claw,True,True,Old
Crafter Drone,True,True,Old
Crafter Drone,False,False,New
Craftroll,True,True,Old
Craftroll,False,False,New
Cranked to Ten!!,True,True,Old
Cranked to Ten!!,False,False,New
Crawling Dragon,False,False,New
Crawling Dragon,True,True,Old
Cremation Dog Nitro,False,False,New
Cremation Dog Nitro,True,True,Old
Crisis at the Sacred Tower,False,False,New
Crisis at the Sacred Tower,True,True,Old
Cross Promotion the Elite Noodle Ninja,True,True,Old
Cross Promotion the Elite Noodle Ninja,False,False,New
Cross Target,False,False,New
Cross Target,True,True,Old
Crusher Drone,True,True,Old
Crusher Drone,False,False,New
Crying Moon Rabbit,True,True,Old
Crying Moon Rabbit,False,False,New
Crystal Brain,False,False,New
Crystal Brain,True,True,Old
Cure Shot,True,True,Old
Cure Shot,False,False,New
Curse of Dragon,False,False,New
Curse of Dragon,True,True,Old
Cursed Skeletal Dragon Diarga,False,False,New
Cursed Skeletal Dragon Diarga,True,True,Old
Curtain of Sparks,True,True,Old
Curtain of Sparks,False,False,New
Cyber Assault Dragon,False,False,New
Cyber Assault Dragon,True,True,Old
Cyber Coatl,False,False,New
Cyber Coatl,True,True,Old
Cyber Dragon,False,False,New
Cyber Dragon,True,True,Old
Cyber End Dragon,False,False,New
Cyber End Dragon,True,True,Old
Cyber Entry,False,False,New
Cyber Entry,True,True,Old
Cyber Falcon,False,False,New
Cyber Falcon,True,True,Old
Cyber Gryphon,False,False,New
Cyber Gryphon,True,True,Old
Cyber Rush Dragon,False,False,New
Cyber Rush Dragon,True,True,Old
Cyber Search Dragon,False,False,New
Cyber Search Dragon,True,True,Old
Cyber Serpent,False,False,New
Cyber Serpent,True,True,Old
Cyber Soldier of Darkworld,False,False,New
Cyber Soldier of Darkworld,True,True,Old
Cyber Stealth Dragon,False,False,New
Cyber Stealth Dragon,True,True,Old
Cyber Twin Dragon,False,False,New
Cyber Twin Dragon,True,True,Old
Cyber-Stein Frankenshrine,False,False,New
Cyber-Stein Frankenshrine,True,True,Old
Cyber-Tech Alligator,True,True,Old
Cyber-Tech Alligator,True,False,New
Cycliptron,True,True,Old
Cycliptron,False,False,New
Dahlia the Sprouting Shadow Flower,True,True,Old
Dahlia the Sprouting Shadow Flower,False,False,New
"Dahut Abyss, Dark Mirror Ruler of the Chair",True,True,Old
"Dahut Abyss, Dark Mirror Ruler of the Chair",False,False,New
"Dahut, Dark Ruler of the Chair",True,True,Old
"Dahut, Dark Ruler of the Chair",False,False,New
Daigyakutenno Megami,True,True,Old
Daigyakutenno Megami,False,False,New
Dark Factory of Mass Production,True,True,Old
Dark Factory of Mass Production,True,False,New
Dark Femtron,True,True,Old
Dark Femtron,False,False,New
Dark Hole,True,True,Old
Dark Hole,True,False,New
Dark Magic Attack,True,True,Old
Dark Magic Attack,False,False,New
Dark Magician,True,True,Old
Dark Magician,True,False,New
Dark Magician Girl,True,True,Old
Dark Magician Girl,False,False,New
Dark Nebula,True,True,Old
Dark Nebula,False,False,New
Dark Prophet,True,True,Old
Dark Prophet,False,False,New
Dark Resonance Burst,True,True,Old
Dark Resonance Burst,False,False,New
Dark Revelation,True,True,Old
Dark Revelation,False,False,New
Dark Skeleton Dead Ruler,True,True,Old
Dark Skeleton Dead Ruler,False,False,New
Dark Sorcerer,False,False,New
Dark Sorcerer,True,True,Old
Dark-Eyes Breakstar Cat,True,True,Old
Dark-Eyes Breakstar Cat,False,False,New
Darklord Zerato,True,True,Old
Darklord Zerato,True,False,New
Darkness Approaches,True,True,Old
Darkness Approaches,False,False,New
Darkness Crested Hawk,False,False,New
Darkness Crested Hawk,True,True,Old
Darkness Fource Seeker,True,True,Old
Darkness Fource Seeker,False,False,New
Darkness Ri-chair-al,True,True,Old
Darkness Ri-chair-al,False,False,New
Darkness Road,False,False,New
Darkness Road,True,True,Old
Darkness Rogue,True,True,Old
Darkness Rogue,False,False,New
Darkness Zerorogue,True,True,Old
Darkness Zerorogue,False,False,New
Daybreak Warrior,True,True,Old
Daybreak Warrior,False,False,New
Decennium Mystic Sword,True,True,Old
Decennium Mystic Sword,False,False,New
Defender of Dragon Sorcerers,False,False,New
Defender of Dragon Sorcerers,True,True,Old
Defense Destroying Sword,False,False,New
Defense Destroying Sword,True,True,Old
Dekorelic Dessert,False,False,New
Dekorelic Dessert,True,True,Old
Delight of the Mighty,True,True,Old
Delight of the Mighty,False,False,New
Delirium Lampyris,False,False,New
Delirium Lampyris,True,True,Old
Delirium Papillon,False,False,New
Delirium Papillon,True,True,Old
Demolisher Wyrm Roar,True,True,Old
Demolisher Wyrm Roar,False,False,New
Descendant of Titans,False,False,New
Descendant of Titans,True,True,Old
Descent of the Sweeping Spirit,False,False,New
Descent of the Sweeping Spirit,True,True,Old
Destroyer of Dragon Sorcerers,True,True,Old
Destroyer of Dragon Sorcerers,False,False,New
Destructurtle Meteor,True,True,Old
Destructurtle Meteor,False,False,New
Diabearical Lilith,True,True,Old
Diabearical Lilith,False,False,New
Diabolic King Beetle,True,True,Old
Diabolic King Beetle,False,False,New
Dian Keto the Boogie Master,False,False,New
Dian Keto the Boogie Master,True,True,Old
Dian Keto the Cooking Master,False,False,New
Dian Keto the Cooking Master,True,True,Old
Dian Keto the Cure Maiden,True,True,Old
Dian Keto the Cure Maiden,False,False,New
Dian Keto the Cure Master,True,True,Old
Dian Keto the Cure Master,False,False,New
Dian Keto the Security Master,True,True,Old
Dian Keto the Security Master,False,False,New
Digger Skipper,True,True,Old
Digger Skipper,False,False,New
Digisoon the Music Fiend,True,True,Old
Digisoon the Music Fiend,False,False,New
Digrace the Skysavior Radiance,True,True,Old
Digrace the Skysavior Radiance,False,False,New
Dimension Others,False,False,New
Dimension Others,True,True,Old
Dinomic Pressure,True,True,Old
Dinomic Pressure,False,False,New
Dinosaur Crush,True,True,Old
Dinosaur Crush,False,False,New
Direct Dive Dragon,True,True,Old
Direct Dive Dragon,False,False,New
Doctor Red Robe,True,True,Old
Doctor Red Robe,False,False,New
Dododo Second,True,True,Old
Dododo Second,False,False,New
Dogulce Jomont Blanc,False,False,New
Dogulce Jomont Blanc,True,True,Old
Dogulce Langue De Shakoki,True,True,Old
Dogulce Langue De Shakoki,False,False,New
Dogulce Langue de Chakoki,False,False,New
Dogulce Langue de Chakoki,True,True,Old
Doki Doki Hexenhaus,True,True,Old
Doki Doki Hexenhaus,False,False,New
Doll of Dread,False,False,New
Doll of Dread,True,True,Old
Dolphin Counterattack,True,True,Old
Dolphin Counterattack,False,False,New
Dolphin King Iruqua,False,False,New
Dolphin King Iruqua,True,True,Old
Dolphin's Treasure Chest,False,False,New
Dolphin's Treasure Chest,True,True,Old
Donpen & Donko,False,False,New
Donpen & Donko,True,True,Old
Doomblaze Despair,False,False,New
Doomblaze Despair,True,True,Old
Doomblaze Fiend Overlord Despairacion,False,False,New
Doomblaze Fiend Overlord Despairacion,True,True,Old
Doomblaze Fiend Overlord Despairacion [L],True,True,Old
Doomblaze Fiend Overlord Despairacion [L],False,False,New
Doomblaze Fiend Overlord Despairacion [R],True,True,Old
Doomblaze Fiend Overlord Despairacion [R],False,False,New
Doriado,True,True,Old
Doriado,False,False,New
Dosodon,True,True,Old
Dosodon,False,False,New
Double Block,True,True,Old
Double Block,False,False,New
Double Ray Dragons,False,False,New
Double Ray Dragons,True,True,Old
Double Twin Dragon,False,False,New
Double Twin Dragon,True,True,Old
Double-Doom Dragon,True,True,Old
Double-Doom Dragon,False,False,New
Douma the Talismanic Supreme Sage,True,True,Old
Douma the Talismanic Supreme Sage,False,False,New
Doushin Kaika the Shadow Flower Full Moon,True,True,Old
Doushin Kaika the Shadow Flower Full Moon,False,False,New
Draco the Tiny,True,True,Old
Draco the Tiny,False,False,New
Dragon Bat,True,True,Old
Dragon Bat,False,False,New
Dragon Double-Doom,True,True,Old
Dragon Double-Doom,False,False,New
Dragon Encounter,True,True,Old
Dragon Encounter,False,False,New
Dragon Knight of Darkness,False,False,New
Dragon Knight of Darkness,True,True,Old
Dragon Merchant,False,False,New
Dragon Merchant,True,True,Old
Dragon Roll the Sushi Fairy,False,False,New
Dragon Roll the Sushi Fairy,True,True,Old
Dragon Tribe Fusion,False,False,New
Dragon Tribe Fusion,True,True,Old
Dragon's Fortitude,True,True,Old
Dragon's Fortitude,False,False,New
Dragon's Inferno,True,True,Old
Dragon's Inferno,False,False,New
Dragon's Peak,True,True,Old
Dragon's Peak,False,False,New
Dragon's Return,True,True,Old
Dragon's Return,False,False,New
Dragon's Sage,True,True,Old
Dragon's Sage,False,False,New
Dragonic Disorder,False,False,New
Dragonic Disorder,True,True,Old
Dragonic Pressure,True,True,Old
Dragonic Pressure,False,False,New
Dragonic Slayer,False,False,New
Dragonic Slayer,True,True,Old
Dragonlion Pit Trap,False,False,New
