Card number,Name,Rarity,Print,Modification date,Cover card,Version
DBWS-JP023,Stake Your Soul!,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP024,Vanquish Soul Dust Devil,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP024,Vanquish Soul Dust Devil,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP025,Vanquish Soul Continue,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP025,Vanquish Soul Continue,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP026,Vanquish Soul Trinity Burst,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP026,Vanquish Soul Trinity Burst,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP027,Vanquish Soul Calamity Kaiser,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP027,Vanquish Soul Calamity Kaiser,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP028,Fire Formation - Tenki,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP028,Fire Formation - Tenki,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP029,Buerillabaisse de Nouvellez,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP029,Buerillabaisse de Nouvelles,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP030,Confitras de Nouvellez,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP030,Confitras de Nouvelles,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP031,Poêlétis de Nouvellez,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP031,Poêlétis de Nouvelles,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP032,Foie Glasya de Nouvellez,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP032,Foie Glasya de Nouvelles,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP033,Balameuniere de Nouvellez,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP033,Balameuniere de Nouvelles,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP034,Baegriller de Nouvellez,"('Ultra Rare', 'Secret Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP034,Baelgrill de Nouvelles,"('Ultra Rare', 'Secret Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP035,"Nouvellez Auberge ""À Table""","('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP035,"Nouvelles Auberge ""À Table""","('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP036,Voici la Carte - Here is the Menu,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP036,Voici la Carte - Here is the Menu,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP037,Recette de Poisson - Fish Recipe,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP037,Recette de Poisson - Fish Recipe,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP038,Recette de Viande - Meat Recipe,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP038,Recette de Viande - Meat Recipe,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP039,Recette de Personnel - Cook's Recipe,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP039,Recette de Personnel - Cook's Recipe,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP040,Recette de Spécialité - Chef's Specialty Recipe,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP040,Recette de Spécialité - Chef's Specialty Recipe,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP041,Hungry Burger,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP041,Hungry Burger,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP042,Hamburger Recipe,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP042,Hamburger Recipe,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP043,Impcantation Candoll,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP043,Impcantation Candoll,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP044,Impcantation Talismandra,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP044,Impcantation Talismandra,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP045,Preparation of Rites,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP045,Preparation of Rites,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
RD/KP13-JP066,,,,2023-05-02 11:23:39,"('Eternal Galactica Oblivion',)",Old
RD/KP13-JP066,Rice Terrace Crisis,"('Super Rare', 'Secret Rare')",,2023-05-03 10:49:38,"('Eternal Galactica Oblivion',)",New
WISU-EN0??,Ultimate Conductor Tyranno,"(""Collector's Rare"",)",,2023-05-03 09:45:13,,New
WISU-EN0??,Fire Formation - Tenki,"(""Collector's Rare"",)",,2023-05-03 09:45:13,,New
WISU-EN0??,Souleating Oviraptor,"(""Collector's Rare"",)",,2023-05-03 09:45:13,,New
