Card number,Name,Rarity,Print,Modification date,Release,Series,Set type,Cover card,Version
BACH-KR044,D/D/D Deviser King Deus Machinex,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR045,The Zombie Vampire,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR046,Onibimaru Soul Sweeper,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR047,Ghostrick Festival,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR048,Vampire Fascinator,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR049,"Dharc the Dark Charmer, Gloomy","('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR050,Vision with Eyes of Blue,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR051,Ultimate Fusion,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR052,Icejade Cenote Enion Cradle,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR053,Branded Disciple,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR054,Dogmatikamacabre,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR055,Nordic Relic Hlidskjalf,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR056,Dark Contract with Patent License,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR057,Ghostrick Shot,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR058,Ogdoadic Serpent Strike,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR059,Ursarctic Radiation,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR060,Floowandereeze and the Advent of Adventure,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR061,XYZ Combine,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR062,Clear New World,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR063,Sales Ban,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR064,Top Share,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR065,Uradora of Fate,"('Normal Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR066,Icejade Erosion,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR067,Swordsoul Strife,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR068,Dinomorphia Domain,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR069,Dinomorphia Alert,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR070,Dinomorphia Brute,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR071,Dinomorphia Shell,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR072,Dinomorphia Sonic,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR073,Dinomorphia Reversion,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR074,Nordic Relic Svalinn,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR075,D/D/D Headhunt,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR076,Ghostrick or Treat,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR077,Monster Rebirth,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR078,Tribe Drive,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR079,Imprudent Intrusion,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR080,End of the Line,"('Normal Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BIJ-S001,Red-Eyes B. Dragon,"('Ultra Rare',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S001,Red-Eyes B. Dragon,"('Ultra Rare',)",,2023-04-23 19:58:40,,,,,New
BIJ-S002,Swordsman of Landstar,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S002,Swordsman of Landstar,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S003,Baby Dragon,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S003,Baby Dragon,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S004,Spirit of the Harp,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S004,Spirit of the Harp,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S005,Island Turtle,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S005,Island Turtle,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S006,Flame Manipulator,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S006,Flame Manipulator,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S007,Masaki the Legendary Swordsman,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S007,Masaki the Legendary Swordsman,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S008,7 Colored Fish,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S008,7 Colored Fish,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S009,Armored Lizard,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S009,Armored Lizard,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S010,Darkfire Soldier #1,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S010,Darkfire Soldier #1,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S011,Sky Scout,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S011,Sky Scout,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S012,Gearfried the Iron Knight,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S012,Gearfried the Iron Knight,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S013,Karate Man,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S013,Karate Man,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S014,Milus Radiant,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S014,Milus Radiant,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S015,Time Wizard,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S015,Time Wizard,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S016,Maha Vailo,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S016,Maha Vailo,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S017,Magician of Faith,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S017,Magician of Faith,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S018,Big Eye,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S018,Big Eye,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S019,Sangan,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S019,Sangan,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S020,Princess of Tsurugi,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S020,Princess of Tsurugi,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S021,White Magical Hat,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S021,White Magical Hat,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S022,Penguin Soldier,"('Super Rare',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S022,Penguin Soldier,"('Super Rare',)",,2023-04-23 19:58:40,,,,,New
BIJ-S023,Thousand Dragon,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S023,Thousand Dragon,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S024,Flame Swordsman,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S024,Flame Swordsman,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S025,Malevolent Nuzzler,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S025,Malevolent Nuzzler,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S026,Dark Hole,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S026,Dark Hole,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S027,Dian Keto the Cure Master,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S027,Dian Keto the Cure Master,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S028,Fissure,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S028,Fissure,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S029,De-Spell,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S029,De-Spell,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S030,Change of Heart,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S030,Change of Heart,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S031,Block Attack,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S031,Block Attack,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S032,Giant Trunade,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S032,Giant Trunade,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S033,The Reliable Guardian,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S033,The Reliable Guardian,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S034,Remove Trap,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S034,Remove Trap,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S035,Monster Reborn,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S035,Monster Reborn,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S036,Polymerization,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S036,Polymerization,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S037,Mountain,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S037,Mountain,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S038,Dragon Treasure,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S038,Dragon Treasure,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S039,Eternal Rest,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S039,Eternal Rest,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S040,Shield & Sword,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S040,Shield & Sword,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S041,Scapegoat,"('Super Rare',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S041,Scapegoat,"('Super Rare',)",,2023-04-23 19:58:40,,,,,New
BIJ-S042,Just Desserts,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S042,Just Desserts,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S043,Trap Hole,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S043,Trap Hole,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S044,Reinforcements,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S044,Reinforcements,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S045,Castle Walls,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S045,Castle Walls,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S046,Waboku,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S046,Waboku,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S047,Ultimate Offering,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S047,Ultimate Offering,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S048,Seven Tools of the Bandit,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S048,Seven Tools of the Bandit,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S049,Fake Trap,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S049,Fake Trap,"('Common',)",,2023-04-23 19:58:40,,,,,New
BIJ-S050,Reverse Trap,"('Common',)",,2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",Old
BIJ-S050,Reverse Trap,"('Common',)",,2023-04-23 19:58:40,,,,,New
BLVO-KR001,Armed Dragon Thunder LV10,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR002,Armed Dragon Thunder LV7,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR003,Armed Dragon Thunder LV5,"('Rare',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR004,Armed Dragon Thunder LV3,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR005,Armed Dragon LV10 White,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR006,Springans Rockey,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR007,Springans Pedor,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR008,Springans Branga,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR009,Springans Captain Sargas,"('Rare',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR010,Tri-Brigade Kitt,"('Rare',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR011,S-Force Rappa Chiyomaru,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR012,S-Force Professor DiGamma,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
BLVO-KR013,S-Force Orrafist,"('Common',)",,2023-08-23 08:11:33,2021-02-04,Core Booster,Booster pack,"('Armed Dragon Thunder LV10',)",New
