Name,Archseries,Modification date,Version
Charging Gaia the Fierce Knight,"('Gaia The Fierce Knight (archetype)',)",2023-03-18 07:56:53,New
Chimera the Flying Mythical Beast,,2023-06-10 10:59:44,Old
Chimera the Flying Mythical Beast,"('Chimera (series)', 'Phantom Beast')",2023-06-17 18:22:39,New
Chimeratech Overdragon,,2023-03-18 08:02:17,Old
Chimeratech Overdragon,"('Chimeratech',)",2023-06-17 18:41:54,New
Cloudian - Cirrostratus,,2023-04-07 20:07:03,Old
Cloudian - Cirrostratus,"('Cloudian',)",2023-04-07 20:07:03,New
Cloudian Aerosol,,2023-04-07 20:07:00,Old
Cloudian Aerosol,"('Cloudian',)",2023-04-07 20:07:00,New
Clown Zombie,,2023-03-18 08:29:49,Old
Clown Zombie,"('Zombie counterpart',)",2023-03-18 08:29:49,New
Copy Knight,,2023-03-18 08:58:38,Old
Copy Knight,"('Trap Monster',)",2023-03-18 08:58:38,New
Crystal Beacon,,2023-03-18 09:32:34,Old
Crystal Beacon,"('Crystal',)",2023-03-18 09:32:34,New
Crystal Beast Emerald Tortoise,,2023-03-18 09:34:21,Old
Crystal Beast Emerald Tortoise,"('Crystal', 'Crystal Beast')",2023-03-18 09:34:21,New
Crystal Beast Sapphire Pegasus,,2023-03-18 09:35:08,Old
Crystal Beast Sapphire Pegasus,"('Crystal', 'Crystal Beast')",2023-03-18 09:35:08,New
Crystal Blessing,,2023-03-18 09:35:39,Old
Crystal Blessing,"('Crystal',)",2023-03-18 09:35:39,New
Crystal Conclave,,2023-03-18 09:36:55,Old
Crystal Conclave,"('Crystal',)",2023-06-17 05:17:26,New
Crystal Promise,,2023-03-18 09:38:11,Old
Crystal Promise,"('Crystal',)",2023-03-18 09:38:11,New
Curse of the Masked Beast,,2023-03-18 09:55:27,Old
Curse of the Masked Beast,"('Mask',)",2023-06-16 20:18:54,New
Cyber Angel Idaten,,2023-03-18 10:03:34,Old
Cyber Angel Idaten,"('Cyber', 'Cyber Angel', 'Cyber Girl')",2023-06-16 21:02:57,New
Cyber Angel Izana,,2023-03-18 10:03:42,Old
Cyber Angel Izana,"('Cyber', 'Cyber Angel', 'Cyber Girl')",2023-06-16 21:03:00,New
Cyber Blader,,2023-03-18 10:04:56,Old
Cyber Blader,"('Cyber', 'Cyber Girl')",2023-03-18 10:04:56,New
Cyber End Dragon,,2023-03-18 10:08:18,Old
Cyber End Dragon,"('Cyber',)",2023-06-17 18:41:48,New
Cyber Gymnast,,2023-03-18 10:10:24,Old
Cyber Gymnast,"('Cyber', 'Cyber Girl')",2023-03-18 10:10:24,New
Cyber Network,,2023-03-18 10:11:46,Old
Cyber Network,"('Cyber',)",2023-06-17 18:38:09,New
Cyber Prima,,2023-03-18 10:13:25,Old
Cyber Prima,"('Cyber', 'Cyber Girl')",2023-03-18 10:13:25,New
Cyber Raider,,2023-05-19 21:10:44,Old
Cyber Raider,"('Cyber',)",2023-05-19 21:10:44,New
Cyber Shadow Gardna,,2023-03-18 10:15:20,Old
Cyber Shadow Gardna,"('Cyber', 'Trap Monster')",2023-03-18 10:15:20,New
Cyberdark Impact!,,2023-03-18 10:22:06,Old
Cyberdark Impact!,"('Cyber', 'Cyberdark (Spell/Trap archetype)')",2023-03-18 10:22:06,New
Cyberdark Keel,,2023-03-18 10:22:43,Old
Cyberdark Keel,"('Cyber', 'Cyberdark')",2023-03-18 10:22:43,New
Cycroid,,2023-03-18 10:33:06,Old
Cycroid,"('Roid',)",2023-03-18 10:33:06,New
D - Counter,,2023-04-06 12:19:27,Old
D - Counter,"('Counter (archetype)',)",2023-04-06 12:19:27,New
D.D. Crow,,2023-03-31 18:11:58,Old
D.D. Crow,"('D.D.',)",2023-03-31 18:11:58,New
D.D. Warrior Lady,,2023-05-19 21:05:49,Old
D.D. Warrior Lady,"('D.D.', 'Warrior Lady')",2023-05-19 21:05:49,New
Dark Blade,,2023-04-07 03:29:03,Old
Dark Blade,"('Dark Blade (series)',)",2023-04-07 03:29:03,New
Dark Fusion,,2023-03-31 19:19:08,Old
Dark Fusion,"('Fusion (archetype)',)",2023-03-31 19:19:08,New
Dark Lucius LV4,,2023-03-18 11:53:58,Old
Dark Lucius LV4,"('Dark Lucius', 'LV')",2023-03-18 11:53:58,New
Dark Lucius LV6,,2023-03-18 11:54:07,Old
Dark Lucius LV6,"('Dark Lucius', 'LV')",2023-03-18 11:54:07,New
Dark Lucius LV8,,2023-03-18 11:54:15,Old
Dark Lucius LV8,"('Dark Lucius', 'LV')",2023-03-18 11:54:15,New
Dark Magician,,2023-06-03 21:01:40,Old
Dark Magician,"('Dark Magician (archetype)',)",2023-06-03 21:01:40,New
Dark Magician Girl,,2023-03-18 11:58:15,Old
Dark Magician Girl,"('Dark Magician (archetype)', 'Dark Magician Girl (archetype)', 'Magician Girl')",2023-03-18 11:58:15,New
Dark Mimic LV1,,2023-03-18 11:59:14,Old
Dark Mimic LV1,"('LV',)",2023-03-18 11:59:14,New
Dark Scorpion - Cliff the Trap Remover,,2023-04-06 19:41:43,Old
Dark Scorpion - Cliff the Trap Remover,"('Dark Scorpion',)",2023-04-06 19:41:43,New
Dark Scorpion - Meanae the Thorn,,2023-05-19 20:57:55,Old
Dark Scorpion - Meanae the Thorn,"('Dark Scorpion',)",2023-05-19 20:57:55,New
Des Koala,,2023-03-16 14:33:10,Old
Des Koala,"('Koala',)",2023-03-16 14:33:10,New
Destiny HERO - Blade Master,,2023-03-18 12:53:14,Old
Destiny HERO - Blade Master,"('Destiny HERO', 'HERO')",2023-03-18 12:53:14,New
Destiny HERO - Dangerous,,2023-03-18 12:53:51,Old
Destiny HERO - Dangerous,"('Destiny HERO', 'HERO')",2023-03-18 12:53:51,New
Destiny HERO - Dark Angel,,2023-03-18 12:54:01,Old
Destiny HERO - Dark Angel,"('Destiny HERO', 'HERO')",2023-03-18 12:54:01,New
Destiny HERO - Diamond Dude,,2023-05-07 19:39:26,Old
Destiny HERO - Diamond Dude,"('Destiny HERO', 'HERO')",2023-05-07 19:39:26,New
Destiny HERO - Dogma,,2023-03-18 12:55:40,Old
Destiny HERO - Dogma,"('Destiny HERO', 'HERO')",2023-03-18 12:55:40,New
Destiny HERO - Doom Lord,,2023-03-18 12:55:54,Old
Destiny HERO - Doom Lord,"('Destiny HERO', 'HERO')",2023-03-18 12:55:54,New
Destiny HERO - Fear Monger,,2023-03-16 01:15:50,Old
Destiny HERO - Fear Monger,"('Destiny HERO', 'HERO')",2023-03-16 01:15:50,New
Destiny HERO - Plasma,,2023-03-15 03:44:13,Old
Destiny HERO - Plasma,"('Destiny HERO', 'HERO')",2023-03-15 03:44:13,New
Destruction Swordsman Fusion,,2023-03-18 13:01:16,Old
Destruction Swordsman Fusion,"('Destruction Sword', 'Polymerization (archetype)')",2023-03-18 13:01:16,New
Different Dimension Gate,,2023-05-19 21:02:20,Old
Different Dimension Gate,"('D.D.',)",2023-05-19 21:02:20,New
Diskblade Rider,,2023-04-08 22:42:05,Old
Diskblade Rider,"('Rider',)",2023-04-08 22:42:05,New
Djinn Disserere of Rituals,,2023-03-18 13:41:52,Old
Djinn Disserere of Rituals,"('Djinn', 'Djinn of Rituals')",2023-03-18 13:41:52,New
Dokurorider,,2023-03-18 13:53:27,Old
Dokurorider,"('Rider',)",2023-06-16 20:13:01,New
Elemental HERO Clayman,,2023-03-31 19:22:49,Old
Elemental HERO Clayman,"('Elemental HERO', 'HERO')",2023-03-31 19:22:49,New
Elemental HERO Darkbright,,2023-03-18 15:52:23,Old
Elemental HERO Darkbright,"('Elemental HERO', 'HERO')",2023-03-18 15:52:23,New
Elemental HERO Electrum,,2023-05-31 11:27:19,Old
Elemental HERO Electrum,"('Elemental HERO', 'HERO')",2023-05-31 11:27:19,New
Elemental HERO Necroid Shaman,,2023-06-04 19:46:33,Old
Elemental HERO Necroid Shaman,"('Elemental HERO', 'HERO', 'Roid')",2023-06-04 19:46:33,New
Elemental HERO Nova Master,,2023-03-18 15:59:05,Old
Elemental HERO Nova Master,"('Elemental HERO', 'HERO')",2023-06-16 14:44:15,New
Elemental HERO Plasma Vice,,2023-05-07 19:40:47,Old
Elemental HERO Plasma Vice,"('Elemental HERO', 'HERO')",2023-05-07 19:40:47,New
Elemental HERO Rampart Blaster,,2023-03-18 16:00:10,Old
Elemental HERO Rampart Blaster,"('Elemental HERO', 'HERO')",2023-03-18 16:00:10,New
Elemental HERO Shining Flare Wingman,,2023-04-06 19:41:32,Old
Elemental HERO Shining Flare Wingman,"('Elemental HERO', 'HERO', 'Wingman')",2023-04-06 19:41:32,New
Elemental HERO Steam Healer,,2023-03-18 16:01:42,Old
Elemental HERO Steam Healer,"('Elemental HERO', 'HERO')",2023-03-18 16:01:42,New
Elemental HERO Thunder Giant,,2023-03-18 16:03:18,Old
Elemental HERO Thunder Giant,"('Elemental HERO', 'HERO')",2023-03-18 16:03:18,New
Elemental HERO Wildheart,,2023-06-09 05:00:12,Old
Elemental HERO Wildheart,"('Elemental HERO', 'HERO')",2023-06-09 05:00:12,New
Embodiment of Apophis,,2023-03-16 09:28:59,Old
Embodiment of Apophis,"('Trap Monster',)",2023-03-16 09:28:59,New
Evil HERO Dark Gaia,,2023-03-31 19:15:35,Old
Evil HERO Dark Gaia,"('Evil HERO', 'HERO')",2023-03-31 19:15:35,New
Evil HERO Infernal Gainer,,2023-04-10 17:45:26,Old
Evil HERO Infernal Gainer,"('Evil HERO', 'HERO')",2023-04-10 17:45:26,New
Evil HERO Infernal Prodigy,,2023-03-31 19:22:10,Old
Evil HERO Infernal Prodigy,"('Evil HERO', 'HERO')",2023-06-16 14:43:54,New
Evil HERO Inferno Wing,,2023-03-31 19:15:59,Old
Evil HERO Inferno Wing,"('Evil HERO', 'HERO')",2023-03-31 19:15:59,New
Evil HERO Lightning Golem,,2023-03-31 19:15:27,Old
Evil HERO Lightning Golem,"('Evil HERO', 'HERO')",2023-03-31 19:15:27,New
Evil HERO Wild Cyclone,,2023-03-31 19:15:42,Old
Evil HERO Wild Cyclone,"('Evil HERO', 'HERO')",2023-03-31 19:15:42,New
Exiled Force,,2023-03-18 17:15:42,Old
Exiled Force,"('Force',)",2023-03-18 17:15:42,New
Fifth Hope,,2023-03-18 17:52:27,Old
Fifth Hope,"('Utopic',)",2023-03-18 17:52:27,New
Fishborg Planter,,2023-03-18 18:10:46,Old
Fishborg Planter,"('Fishborg',)",2023-03-18 18:10:46,New
Flight of the Harpies,,2023-03-18 18:23:57,Old
Flight of the Harpies,"('Harpie',)",2023-03-18 18:23:57,New
Flint Lock,,2023-03-18 18:24:35,Old
Flint Lock,"('Flint (series)',)",2023-03-18 18:24:35,New
Floodgate Trap Hole,,2023-05-10 10:37:15,Old
Floodgate Trap Hole,"('Trap Hole (archetype)',)",2023-05-10 10:37:15,New
Freed the Matchless General,,2023-03-18 19:00:53,Old
Freed the Matchless General,"('Freed',)",2023-03-18 19:00:53,New
Fusion Gate,,2023-03-18 19:18:26,Old
Fusion Gate,"('Fusion (archetype)',)",2023-03-18 19:18:26,New
Fusion Recycling Plant,,2023-03-18 19:19:46,Old
Fusion Recycling Plant,"('Polymerization (archetype)',)",2023-03-18 19:19:46,New
Fusion Sword Murasame Blade,,2023-03-18 19:21:14,Old
Fusion Sword Murasame Blade,"('Polymerization (archetype)',)",2023-03-18 19:21:14,New
Gaia The Fierce Knight,,2023-05-14 13:36:49,Old
Gaia The Fierce Knight,"('Gaia The Fierce Knight (archetype)',)",2023-05-14 13:36:49,New
Gaia the Dragon Champion,,2023-05-14 12:54:15,Old
Gaia the Dragon Champion,"('Gaia Knight', 'Gaia the Dragon Champion (archetype)')",2023-05-14 12:54:15,New
Gamma The Magnet Warrior,,2023-03-18 19:51:17,Old
Gamma The Magnet Warrior,"('Magnet Warrior', 'Warrior (archetype)')",2023-03-18 19:51:17,New
Gazelle the King of Mythical Beasts,,2023-06-10 11:00:32,Old
Gazelle the King of Mythical Beasts,"('Chimera (series)', 'Phantom Beast')",2023-06-10 11:00:32,New
Gearfried the Iron Knight,,2023-05-15 18:40:45,Old
Gearfried the Iron Knight,"('Gearfried',)",2023-05-15 18:40:45,New
Gearfried the Swordmaster,,2023-03-16 17:14:50,Old
Gearfried the Swordmaster,"('Gearfried',)",2023-03-16 17:14:50,New
Grand Tiki Elder,,2023-03-18 22:08:03,Old
Grand Tiki Elder,"('Mask',)",2023-03-18 22:08:03,New
Gravekeeper's Curse,,2023-03-16 15:26:30,Old
Gravekeeper's Curse,"(""Gravekeeper's"",)",2023-03-16 15:26:30,New
Gravekeeper's Priestess,,2023-03-18 22:17:26,Old
Gravekeeper's Priestess,"(""Gravekeeper's"",)",2023-03-18 22:17:26,New
Gravekeeper's Shaman,,2023-03-18 22:18:20,Old
Gravekeeper's Shaman,"(""Gravekeeper's"",)",2023-03-18 22:18:20,New
Gravekeeper's Vassal,,2023-03-18 22:20:20,Old
Gravekeeper's Vassal,"(""Gravekeeper's"",)",2023-03-18 22:20:20,New
Gren Maju Da Eiza,,2023-05-18 20:28:01,Old
Gren Maju Da Eiza,"('Maju',)",2023-05-18 20:28:01,New
Gyroid,,2023-03-18 22:59:36,Old
Gyroid,"('Roid',)",2023-03-18 22:59:36,New
Half Counter,,2023-04-10 17:19:04,Old
Half Counter,"('Counter (archetype)',)",2023-04-10 17:19:04,New
Harpie Lady 1,,2023-03-18 23:12:09,Old
Harpie Lady 1,"('Harpie',)",2023-06-17 18:32:46,New
Harpie Lady Sisters,,2023-05-14 21:30:57,Old
Harpie Lady Sisters,"('Harpie',)",2023-06-17 18:29:18,New
Hidden Temples of Necrovalley,,2023-03-18 23:52:29,Old
Hidden Temples of Necrovalley,"('Necrovalley (archetype)',)",2023-03-18 23:52:29,New
Horn of the Phantom Beast,,2023-03-19 07:44:27,Old
Horn of the Phantom Beast,"('Phantom Beast',)",2023-03-19 07:44:27,New
Imprisoned Queen Archfiend,,2023-04-06 19:41:37,Old
Imprisoned Queen Archfiend,"('Archfiend',)",2023-04-06 19:41:37,New
Infernalqueen Archfiend,,2023-05-19 20:55:43,Old
Infernalqueen Archfiend,"('Archfiend',)",2023-05-19 20:55:43,New
Infernity Beast,,2023-03-19 08:40:53,Old
Infernity Beast,"('Infernity',)",2023-03-19 08:40:53,New
Jack's Knight,,2023-03-19 09:59:38,Old
Jack's Knight,"('Three Musketeers of Face Cards',)",2023-03-19 09:59:38,New
Jar of Avarice,,2023-03-19 10:13:56,Old
Jar of Avarice,"('Greed (series)',)",2023-03-19 10:13:56,New
Jurrac Iguanon,,2023-03-19 10:43:40,Old
Jurrac Iguanon,"('Jurrac',)",2023-03-19 10:43:40,New
Jurrac Spinos,,2023-03-19 10:45:00,Old
Jurrac Spinos,"('Jurrac',)",2023-06-17 04:54:02,New
Jurrac Tyrannus,,2023-03-19 10:45:44,Old
Jurrac Tyrannus,"('Jurrac',)",2023-03-19 10:45:44,New
King's Knight,,2023-03-19 11:24:06,Old
King's Knight,"('Three Musketeers of Face Cards',)",2023-03-19 11:24:06,New
Kunai with Chain,,2023-03-15 04:16:00,Old
Kunai with Chain,"('With Chain',)",2023-03-15 04:16:00,New
Kycoo the Ghost Destroyer,,2023-03-19 11:59:44,Old
Kycoo the Ghost Destroyer,"('Name-Inverted Spiritualist',)",2023-03-19 11:59:44,New
Lancer Archfiend,,2023-03-19 12:07:20,Old
Lancer Archfiend,"('Archfiend',)",2023-03-19 12:07:20,New
Lesser Fiend,,2023-04-15 16:01:59,Old
Lesser Fiend,"('Archfiend',)",2023-04-15 16:01:59,New
Levia-Dragon - Daedalus,,2023-05-18 19:57:07,Old
Levia-Dragon - Daedalus,"('Daedalus',)",2023-05-18 19:57:07,New
Luster Dragon,,2023-03-31 19:13:31,Old
Luster Dragon,"('Gem Dragon',)",2023-03-31 19:13:31,New
Luster Dragon #2,,2023-03-31 19:13:12,Old
Luster Dragon #2,"('Gem Dragon',)",2023-03-31 19:13:12,New
Machina Peacekeeper,,2023-03-19 13:47:40,Old
Machina Peacekeeper,"('Machina',)",2023-03-19 13:47:40,New
Machine Angel Ritual,,2023-05-10 10:36:14,Old
Machine Angel Ritual,"('Machine Angel',)",2023-05-10 10:36:14,New
Machine King - 3000 B.C.,,2023-03-19 13:52:33,Old
Machine King - 3000 B.C.,"('Machine King (series)', 'Trap Monster')",2023-03-19 13:52:33,New
Magician of Black Chaos,,2023-03-19 14:35:35,Old
Magician of Black Chaos,"('Chaos',)",2023-06-16 20:16:30,New
Man-Eater Bug,,2023-05-14 13:06:01,Old
Man-Eater Bug,"('Man-Eater Bug (series)',)",2023-05-14 13:06:01,New
Manga Ryu-Ran,,2023-05-17 11:53:28,Old
Manga Ryu-Ran,"('Toon',)",2023-05-17 11:53:28,New
Mask of Brutality,,2023-03-19 15:35:47,Old
Mask of Brutality,"('Mask',)",2023-03-19 15:35:47,New
Mist Archfiend,,2023-04-08 22:42:15,Old
Mist Archfiend,"('Archfiend',)",2023-04-08 22:42:15,New
Mixeroid,,2023-03-19 17:18:09,Old
Mixeroid,"('Roid',)",2023-03-19 17:18:09,New
Mokey Mokey,,2023-03-19 17:20:41,Old
Mokey Mokey,"('Mokey Mokey (archetype)',)",2023-03-19 17:20:41,New
Moray of Greed,,2023-03-19 17:32:22,Old
Moray of Greed,"('Greed (series)',)",2023-03-19 17:32:22,New
Ojama Black,,2023-05-18 20:37:23,Old
Ojama Black,"('Ojama',)",2023-05-18 20:37:23,New
Ojama Blue,,2023-05-07 19:38:43,Old
Ojama Blue,"('Ojama',)",2023-05-07 19:38:43,New
Ojama Country,,2023-03-19 20:46:55,Old
Ojama Country,"('Ojama',)",2023-03-19 20:46:55,New
Ojama Yellow,,2023-05-18 20:37:40,Old
Ojama Yellow,"('Ojama',)",2023-05-18 20:37:40,New
Ojamagic,,2023-03-19 20:49:35,Old
Ojamagic,"('Ojama',)",2023-03-19 20:49:35,New
Perfectly Ultimate Great Moth,,2023-03-19 21:50:41,Old
Perfectly Ultimate Great Moth,"('Moth',)",2023-03-19 21:50:41,New
Phantom Beast Wild-Horn,,2023-03-19 22:28:56,Old
Phantom Beast Wild-Horn,"('Phantom Beast',)",2023-03-19 22:28:56,New
Polymerization,,2023-05-14 22:28:56,Old
Polymerization,"('Polymerization (archetype)',)",2023-05-14 22:28:56,New
Puppet Master,,2023-03-19 23:52:03,Old
Puppet Master,"('Puppet',)",2023-03-19 23:52:03,New
Queen's Knight,,2023-03-20 00:03:22,Old
Queen's Knight,"('Three Musketeers of Face Cards',)",2023-03-20 00:03:22,New
Rainbow Dark Dragon,,2023-03-20 00:24:57,Old
Rainbow Dark Dragon,"('Crystal', 'Dark counterpart', 'Ultimate Crystal')",2023-03-20 00:24:57,New
Rainbow Dragon,,2023-05-27 00:12:32,Old
Rainbow Dragon,"('Crystal', 'Ultimate Crystal')",2023-05-27 00:12:32,New
Rainbow Overdragon,,2023-03-20 00:26:37,Old
Rainbow Overdragon,"('Crystal', 'Ultimate Crystal')",2023-03-20 00:26:37,New
Red-Eyes Black Dragon,,2023-05-27 00:11:11,Old
Red-Eyes Black Dragon,"('-Eyes Dragon', 'Red-Eyes')",2023-05-27 00:11:11,New
Red-Eyes Wyvern,,2023-04-10 17:45:19,Old
Red-Eyes Wyvern,"('Red-Eyes',)",2023-04-10 17:45:19,New
"Reign-Beaux, Overlord of Dark World",,2023-04-12 06:32:46,Old
"Reign-Beaux, Overlord of Dark World","('Dark World',)",2023-04-12 06:32:46,New
Relinquished,,2023-05-17 12:10:28,Old
Relinquished,"('Relinquished (archetype)',)",2023-06-16 20:07:24,New
Rescueroid,,2023-06-08 06:40:35,Old
Rescueroid,"('Roid',)",2023-06-08 06:40:35,New
Revival of Dokurorider,,2023-03-20 05:45:32,Old
Revival of Dokurorider,"('Rider',)",2023-06-16 20:13:03,New
Ritual Weapon,,2023-03-20 06:00:47,Old
Ritual Weapon,"('Gishki',)",2023-03-20 06:00:47,New
Robbin' Zombie,,2023-05-18 19:48:56,Old
Robbin' Zombie,"('Zombie counterpart',)",2023-05-18 19:48:56,New
Ryu-Kishin Clown,,2023-03-20 06:31:33,Old
Ryu-Kishin Clown,"('Ryu-Kishin (series)',)",2023-03-20 06:31:33,New
Ryu-Kishin Powered,,2023-05-14 22:13:44,Old
Ryu-Kishin Powered,"('Ryu-Kishin (series)',)",2023-05-14 22:13:44,New
Sealing Ceremony of Mokuton,,2023-03-20 07:28:00,Old
Sealing Ceremony of Mokuton,"('Sealing Ceremony',)",2023-03-20 07:28:00,New
Shadowknight Archfiend,,2023-05-19 20:56:32,Old
Shadowknight Archfiend,"('Archfiend',)",2023-05-19 20:56:32,New
Shard of Greed,,2023-03-20 07:54:22,Old
Shard of Greed,"('Greed (series)',)",2023-03-20 07:54:22,New
Shining Abyss,,2023-03-20 08:01:20,Old
Shining Abyss,"('Abyss-',)",2023-03-20 08:01:20,New
Skilled Blue Magician,,2023-03-20 08:31:13,Old
Skilled Blue Magician,"('Skilled Magician',)",2023-03-20 08:31:13,New
Skilled Red Magician,,2023-03-20 08:31:56,Old
Skilled Red Magician,"('Skilled Magician',)",2023-03-20 08:31:56,New
Skreech,,2023-03-20 08:32:26,Old
Skreech,"('Fan-Made Cards',)",2023-03-20 08:32:26,New
Skyscraper 2 - Hero City,,2023-03-15 04:14:25,Old
Skyscraper 2 - Hero City,"('Skyscraper (archetype)',)",2023-06-12 20:37:28,New
Spider Egg,,2023-03-20 09:32:37,Old
Spider Egg,"('Spider',)",2023-03-20 09:32:37,New
Spirit of the Pharaoh,,2023-04-06 19:41:42,Old
Spirit of the Pharaoh,"('Sarcophagus',)",2023-04-06 19:41:42,New
Stealthroid,,2023-03-20 10:17:52,Old
Stealthroid,"('Roid',)",2023-03-20 10:17:52,New
Swamp Mirrorer,,2023-04-07 20:07:08,Old
Swamp Mirrorer,"('Trap Monster',)",2023-04-07 20:07:08,New
Terrorking Archfiend,,2023-05-19 20:55:36,Old
Terrorking Archfiend,"('Archfiend',)",2023-05-19 20:55:36,New
The Masked Beast,,2023-03-20 14:06:51,Old
The Masked Beast,"('Mask',)",2023-06-16 20:18:57,New
The Rock Spirit,,2023-03-15 01:29:26,Old
The Rock Spirit,"('Attribute Spirit',)",2023-03-15 01:29:26,New
The Roids are Alright,,2023-03-20 14:22:43,Old
The Roids are Alright,"('Roid',)",2023-03-20 14:22:43,New
The Third Sarcophagus,,2023-04-06 19:41:39,Old
The Third Sarcophagus,"('Sarcophagus',)",2023-04-06 19:41:39,New
Time Wizard,,2023-05-14 20:57:07,Old
Time Wizard,"('Magician',)",2023-05-14 20:57:07,New
Toon Alligator,,2023-03-20 15:42:05,Old
Toon Alligator,"('Toon',)",2023-03-20 15:42:05,New
Toon Table of Contents,,2023-05-08 08:40:31,Old
Toon Table of Contents,"('Toon',)",2023-05-08 08:40:31,New
Toon World,,2023-05-17 11:51:04,Old
Toon World,"('Toon',)",2023-05-17 11:51:04,New
Triangle Ecstasy Spark,,2023-03-20 16:27:56,Old
Triangle Ecstasy Spark,"('Signature move',)",2023-06-17 18:30:07,New
Truckroid,,2023-03-20 16:45:08,Old
Truckroid,"('Roid',)",2023-06-15 20:52:31,New
UFO Turtle,,2023-05-17 11:48:09,Old
UFO Turtle,"('Attribute Summoner',)",2023-05-17 11:48:09,New
UFOroid Fighter,,2023-05-12 23:21:29,Old
UFOroid Fighter,"('Roid',)",2023-05-12 23:21:29,New
V-Tiger Jet,,2023-03-20 18:06:25,Old
V-Tiger Jet,"('A-to-Z',)",2023-03-20 18:06:25,New
VWXYZ-Dragon Catapult Cannon,,2023-03-20 18:07:04,Old
VWXYZ-Dragon Catapult Cannon,"('A-to-Z',)",2023-03-20 18:07:04,New
Vampire Baby,,2023-05-15 18:45:42,Old
Vampire Baby,"('Vampire',)",2023-05-15 18:45:42,New
Vampire Genesis,,2023-04-10 17:19:30,Old
Vampire Genesis,"('Vampire',)",2023-04-10 17:19:30,New
Vampire Lady,,2023-04-10 17:19:28,Old
Vampire Lady,"('Vampire',)",2023-04-10 17:19:28,New
Vampire's Desire,,2023-04-10 17:19:21,Old
Vampire's Desire,"('Vampire',)",2023-04-10 17:19:21,New
Vampiric Koala,,2023-04-06 19:41:30,Old
Vampiric Koala,"('Koala',)",2023-04-06 19:41:30,New
Vehicroid Connection Zone,,2023-03-20 18:28:22,Old
