Name,Card type,Property,Archseries,Effect type,Modification date,Errata,Version
Ecdysis Caliguleon,Monster Card,,"('Chameleon',)","('Continuous Effect',)",2023-03-18 15:30:44,,Old
Estrome the Mega Monarch,Monster Card,,"('Monarch (Rush Duel series)',)","('Effect',)",2023-08-18 08:23:40,,Old
Estrome the Mega Monarch,Monster Card,,"('Monarch (Rush Duel series)',)","('Effect', 'Summoning condition')",2023-08-26 19:00:17,,New
Excutie Flame,Monster Card,,"('Excutie',)","('Effect',)",2023-05-25 11:27:10,,Old
Excutie Flame,Monster Card,,"('Excutie',)","('Effect', 'Summoning condition')",2023-08-26 19:09:36,,New
Excutie Leir,Monster Card,,"('Excutie',)","('Continuous Effect',)",2023-03-18 17:14:59,,Old
Excutie Leir,Monster Card,,"('Excutie',)","('Continuous Effect', 'Summoning condition')",2023-08-26 19:07:18,,New
Excutie Lilius,Monster Card,,"('Excutie',)","('Continuous Effect',)",2023-03-18 17:15:03,,Old
Excutie Lilius,Monster Card,,"('Excutie',)","('Continuous Effect', 'Summoning condition')",2023-08-26 19:04:40,,New
Excutie Lumiere,Monster Card,,"('Excutie',)","('Effect',)",2023-05-03 19:48:49,,Old
Excutie Lumiere,Monster Card,,"('Excutie',)","('Effect', 'Summoning condition')",2023-08-26 19:06:38,,New
Excutie Prouty,Monster Card,,"('Excutie',)","('Effect',)",2023-05-24 23:14:47,,Old
Excutie Prouty,Monster Card,,"('Excutie',)","('Effect', 'Summoning condition')",2023-08-26 19:10:07,,New
Explosive Rage,Spell Card,Normal Spell Card,"('Chameleon',)","('Effect',)",2023-03-16 11:36:03,,Old
Fantasia Strike Dragon Miragiastar F,Monster Card,,"('Strike Dragon',)","('Multi-Choice Effect',)",2023-08-02 18:30:38,,Old
Fire Wrath,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-22 04:20:18,,New
Gokibore,Monster Card,,,,2023-03-18 21:43:38,,Old
Gokibore,Monster Card,,,,2023-03-18 21:43:38,"('Type',)",New
Hazy Strike Dragon Miragiastar F,Monster Card,,"('Strike Dragon',)","('Multi-Choice Effect',)",2023-08-22 15:44:51,,New
Launcher Catapult Turtle,Monster Card,,"('Gaia (series)',)","('Effect',)",2023-08-11 01:24:27,,Old
Launcher Catapult Turtle,Monster Card,,"('Gaia (series)',)","('Effect', 'Summoning condition')",2023-08-26 19:11:57,,New
Magician's Sense,???,???,,,2023-08-07 02:59:13,,Old
Magician's Sense,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-22 00:01:18,,New
Manifestriction Dragon Maxseal,Monster Card,,,"('Effect',)",2023-08-09 09:29:27,,Old
Manifestriction Dragon Maxseal,Monster Card,,,"('Effect', 'Summoning condition')",2023-08-26 19:08:34,,New
Master of Sevens Road,Monster Card,,"('Sevens Road',)","('Continuous Effect',)",2023-08-15 03:32:03,,Old
Master of the Sevens Road,Monster Card,,"('Sevens Road',)","('Continuous Effect',)",2023-08-22 11:05:06,,New
Omega Guitarna the Shining Megastar,Monster Card,,"('Psychic Musician',)","('Multi-Choice Effect',)",2023-08-22 20:27:08,,New
Omega Guitarna the Supreme Shining Superstar,Monster Card,,"('Psychic Musician',)","('Multi-Choice Effect',)",2023-07-21 04:50:33,,Old
Red-Eyes Black Dragon,Monster Card,,"('Red-Eyes (Rush Duel)',)",,2023-08-17 17:59:46,"('Name', 'Type')",Old
Release Wrath,Spell Card,Normal Spell Card,"('Chameleon',)","('Effect',)",2023-05-25 06:00:25,,Old
Release Wrath,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-22 04:20:59,,New
Resolve,???,???,,,2023-08-07 02:33:47,,Old
Resolve,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-21 23:28:59,,New
Road Magic - Dark Night,Spell Card,Normal Spell Card,"('Road Magic',)","('Effect',)",2023-03-20 06:01:50,,Old
Road Magic - Dark Twilight,Spell Card,Normal Spell Card,"('Road Magic',)","('Effect',)",2023-08-22 19:59:09,,New
Semeterasu the Celestial Summoner,Monster Card,,"('Three Rulers',)","('Multi-Choice Effect',)",2023-08-02 19:34:38,,Old
Semeterasu the Divine Ruler,Monster Card,,"('Three Rulers',)","('Multi-Choice Effect',)",2023-08-22 05:54:46,,New
Shadow Flower Flurry,Spell Card,Normal Spell Card,"('Shadow Flower',)","('Effect',)",2023-08-22 05:43:56,,New
Shadow Flower Purple Smoke Spray,Spell Card,Normal Spell Card,"('Shadow Flower',)","('Effect',)",2023-03-20 07:50:54,,Old
Shining Superstar Riff,???,???,,,2023-08-07 02:59:53,,Old
Shining Superstar Riff,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-21 23:44:26,,New
Super Electromagnetic Maximum,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-22 20:57:31,,New
Supreme Electromagnetic Maximum,Spell Card,Normal Spell Card,,"('Effect',)",2023-08-09 09:28:19,,Old
Swift Gaia the Fierce Knight,Monster Card,,"('Gaia (series)',)","('Effect',)",2023-08-18 18:51:12,"('Name',)",Old
Swift Gaia the Fierce Knight,Monster Card,,"('Gaia (series)',)","('Summoning condition',)",2023-08-26 19:03:26,"('Name',)",New
Swordawn Magician,Monster Card,,,"('Continuous Effect', 'Summoning condition')",2023-08-26 19:02:12,,New
Tiger Doom Sight,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-20 02:08:21,,Old
Tiger Glare,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-22 20:28:13,,New
Trancegodbreath the Music Fiend Deity,Monster Card,,"('Music Princess',)","('Effect',)",2023-08-15 22:59:34,,Old
Twin Edge Fire Dragon,Monster Card,,,"('Effect',)",2023-08-27 18:47:28,,New
Undulating Barrier,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-25 18:49:04,,New
Universal Destruction,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-20 02:09:59,,Old
Veteran Curse of Dragon,Monster Card,,"('Gaia (series)',)","('Effect',)",2023-08-11 01:26:57,,Old
Veteran Curse of Dragon,Monster Card,,"('Gaia (series)',)","('Effect', 'Summoning condition')",2023-08-26 19:10:45,,New
Veteran Gaia the Fierce Knight,Monster Card,,"('Gaia (series)',)","('Effect',)",2023-08-11 01:30:18,,Old
Veteran Gaia the Fierce Knight,Monster Card,,"('Gaia (series)',)","('Effect', 'Summoning condition')",2023-08-26 19:02:30,,New
Warning Scale Phosphorescence,Trap Card,Normal Trap Card,"('Chameleon',)","('Effect',)",2023-03-20 19:12:53,,Old
Wilhel the Mega Monarch,Monster Card,,"('Monarch (Rush Duel series)',)","('Effect',)",2023-08-18 08:23:36,,Old
Wilhel the Mega Monarch,Monster Card,,"('Monarch (Rush Duel series)',)","('Effect', 'Summoning condition')",2023-08-26 18:59:59,,New
Wrath of Light,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-22 04:21:41,,New
