Name,Archseries,Effect type,Modification date,Version
Beast of Talwar,"('Archfiend',)",,2023-05-15 18:39:27,Old
Beast of Talwar,,,2023-05-15 18:39:27,New
Berfomet,"('Chimera (series)',)","('Trigger Effect',)",2023-04-20 15:44:21,Old
Berfomet,,"('Trigger Effect',)",2023-06-10 11:01:23,New
Big Koala,"('Koala',)",,2023-05-18 20:36:26,Old
Big Koala,,,2023-05-18 20:36:26,New
Black Luster Ritual,"('Chaos',)","('Effect',)",2023-05-13 08:09:12,Old
Black Luster Ritual,,"('Effect',)",2023-05-13 08:09:12,New
Black Tyranno,"('Black (series)',)","('Continuous Effect',)",2023-05-18 20:02:25,Old
Black Tyranno,,"('Continuous Effect',)",2023-05-18 20:02:25,New
Blade Skater,"('Cyber Girl',)",,2023-03-18 05:33:48,Old
Blade Skater,,,2023-03-18 05:33:48,New
Blazing Inpachi,"('Inpachi (series)',)",,2023-05-18 20:10:53,Old
Blazing Inpachi,,,2023-05-18 20:10:53,New
Blue-Eyes Ultimate Dragon,"('-Eyes Dragon', 'Blue-Eyes')",,2023-05-14 22:24:35,Old
Blue-Eyes Ultimate Dragon,,,2023-05-14 22:24:35,New
Blue-Eyes White Dragon,"('-Eyes Dragon', 'Blue-Eyes')",,2023-06-05 10:55:56,Old
Blue-Eyes White Dragon,,,2023-06-05 10:55:56,New
Bonding - D2O,"('Bonding',)","('Condition', 'Cost', 'Effect', 'Trigger Effect')",2023-03-18 05:59:38,Old
Bonding - D2O,,"('Condition', 'Cost', 'Effect', 'Trigger Effect')",2023-03-18 05:59:38,New
Book of Moon,"('Book of',)","('Effect',)",2023-05-10 10:36:37,Old
Book of Moon,,"('Effect',)",2023-05-10 10:36:37,New
"Brron, Mad King of Dark World","('Dark World',)","('Trigger Effect',)",2023-03-31 17:11:02,Old
"Brron, Mad King of Dark World",,"('Trigger Effect',)",2023-03-31 17:11:02,New
Chaosrider Gustaph,"('Chaos', 'Rider')","('Ignition Effect',)",2023-05-18 20:31:04,Old
Chaosrider Gustaph,,"('Ignition Effect',)",2023-05-18 20:31:04,New
Charging Gaia the Fierce Knight,"('Gaia The Fierce Knight (archetype)',)","('Condition', 'Trigger Effect', 'Unclassified effect')",2023-03-18 07:56:53,Old
Charging Gaia the Fierce Knight,,"('Condition', 'Trigger Effect', 'Unclassified effect')",2023-03-18 07:56:53,New
Chimera the Flying Mythical Beast,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Trigger Effect')",2023-04-20 15:44:08,Old
Chimera the Flying Mythical Beast,,"('Condition', 'Trigger Effect')",2023-06-10 10:59:44,New
Chimeratech Overdragon,"('Chimeratech',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 08:02:17,Old
Chimeratech Overdragon,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 08:02:17,New
Cloudian - Cirrostratus,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",2023-04-07 20:07:03,Old
Cloudian - Cirrostratus,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",2023-04-07 20:07:03,New
Cloudian Aerosol,"('Cloudian',)","('Condition', 'Cost', 'Effect', 'Ignition-like Effect')",2023-04-07 20:07:00,Old
Cloudian Aerosol,,"('Condition', 'Cost', 'Effect', 'Ignition-like Effect')",2023-04-07 20:07:00,New
Clown Zombie,"('Zombie counterpart',)",,2023-03-18 08:29:49,Old
Clown Zombie,,,2023-03-18 08:29:49,New
Copy Knight,"('Trap Monster',)","('Activation condition', 'Effect')",2023-03-18 08:58:38,Old
Copy Knight,,"('Activation condition', 'Effect')",2023-03-18 08:58:38,New
Crystal Beacon,"('Crystal',)","('Condition', 'Effect')",2023-03-18 09:32:34,Old
Crystal Beacon,,"('Condition', 'Effect')",2023-03-18 09:32:34,New
Crystal Beast Emerald Tortoise,"('Crystal', 'Crystal Beast')","('Ignition Effect', 'Unclassified effect')",2023-03-18 09:34:21,Old
Crystal Beast Emerald Tortoise,,"('Ignition Effect', 'Unclassified effect')",2023-03-18 09:34:21,New
Crystal Beast Sapphire Pegasus,"('Crystal', 'Crystal Beast')","('Trigger Effect', 'Unclassified effect')",2023-03-18 09:35:08,Old
Crystal Beast Sapphire Pegasus,,"('Trigger Effect', 'Unclassified effect')",2023-03-18 09:35:08,New
Crystal Blessing,"('Crystal',)","('Effect',)",2023-03-18 09:35:39,Old
Crystal Blessing,,"('Effect',)",2023-03-18 09:35:39,New
Crystal Conclave,"('Crystal',)","('Condition', 'Quick-like Effect', 'Trigger Effect')",2023-03-18 09:36:55,Old
Crystal Conclave,,"('Condition', 'Quick-like Effect', 'Trigger Effect')",2023-03-18 09:36:55,New
Crystal Promise,"('Crystal',)","('Effect',)",2023-03-18 09:38:11,Old
Crystal Promise,,"('Effect',)",2023-03-18 09:38:11,New
Curse of the Masked Beast,"('Mask',)","('Effect',)",2023-03-18 09:55:27,Old
Curse of the Masked Beast,,"('Effect',)",2023-03-18 09:55:27,New
Cyber Angel Idaten,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Summoning condition', 'Trigger Effect')",2023-03-18 10:03:34,Old
Cyber Angel Idaten,,"('Summoning condition', 'Trigger Effect')",2023-03-18 10:03:34,New
Cyber Angel Izana,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 10:03:42,Old
Cyber Angel Izana,,"('Quick Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 10:03:42,New
Cyber Blader,"('Cyber', 'Cyber Girl')","('Condition', 'Continuous Effect', 'Summoning condition')",2023-03-18 10:04:56,Old
Cyber Blader,,"('Condition', 'Continuous Effect', 'Summoning condition')",2023-03-18 10:04:56,New
Cyber End Dragon,"('Cyber',)","('Continuous Effect', 'Summoning condition')",2023-03-18 10:08:18,Old
Cyber End Dragon,,"('Continuous Effect', 'Summoning condition')",2023-03-18 10:08:18,New
Cyber Gymnast,"('Cyber', 'Cyber Girl')","('Ignition Effect',)",2023-03-18 10:10:24,Old
Cyber Gymnast,,"('Ignition Effect',)",2023-03-18 10:10:24,New
Cyber Network,"('Cyber',)","('Condition', 'Quick-like Effect', 'Trigger Effect')",2023-03-18 10:11:46,Old
Cyber Network,,"('Condition', 'Quick-like Effect', 'Trigger Effect')",2023-03-18 10:11:46,New
Cyber Prima,"('Cyber', 'Cyber Girl')","('Trigger Effect',)",2023-03-18 10:13:25,Old
Cyber Prima,,"('Trigger Effect',)",2023-03-18 10:13:25,New
Cyber Raider,"('Cyber',)","('Trigger Effect',)",2023-05-19 21:10:44,Old
Cyber Raider,,"('Trigger Effect',)",2023-05-19 21:10:44,New
Cyber Shadow Gardna,"('Cyber', 'Trap Monster')","('Activation condition', 'Effect', 'Trigger Effect')",2023-03-18 10:15:20,Old
Cyber Shadow Gardna,,"('Activation condition', 'Effect', 'Trigger Effect')",2023-03-18 10:15:20,New
Cyberdark Impact!,"('Cyber', 'Cyberdark (Spell/Trap archetype)')","('Effect',)",2023-03-18 10:22:06,Old
Cyberdark Impact!,,"('Effect',)",2023-03-18 10:22:06,New
Cyberdark Keel,"('Cyber', 'Cyberdark')","('Continuous Effect', 'Trigger Effect')",2023-03-18 10:22:43,Old
Cyberdark Keel,,"('Continuous Effect', 'Trigger Effect')",2023-03-18 10:22:43,New
Cycroid,"('roid',)",,2023-03-18 10:33:06,Old
Cycroid,,,2023-03-18 10:33:06,New
D - Counter,"('Counter (archetype)',)","('Activation condition', 'Effect')",2023-04-06 12:19:27,Old
D - Counter,,"('Activation condition', 'Effect')",2023-04-06 12:19:27,New
D.D. Crow,"('D.D.',)","('Quick Effect',)",2023-03-31 18:11:58,Old
D.D. Crow,,"('Quick Effect',)",2023-03-31 18:11:58,New
D.D. Warrior Lady,"('D.D.', 'Warrior Lady')","('Trigger Effect',)",2023-05-19 21:05:49,Old
D.D. Warrior Lady,,"('Trigger Effect',)",2023-05-19 21:05:49,New
Dark Blade,"('Dark Blade (series)',)",,2023-04-07 03:29:03,Old
Dark Blade,,,2023-04-07 03:29:03,New
Dark Fusion,"('Fusion (archetype)',)","('Effect', 'Lingering effect')",2023-03-31 19:19:08,Old
Dark Fusion,,"('Effect', 'Lingering effect')",2023-03-31 19:19:08,New
Dark Jeroid,"('roid',)","('Trigger Effect',)",2023-03-18 11:53:42,Old
Dark Jeroid,"('Roid',)","('Trigger Effect',)",2023-03-18 11:53:42,New
Dark Lucius LV4,"('Dark Lucius', 'LV')","('Continuous Effect', 'Trigger Effect')",2023-03-18 11:53:58,Old
Dark Lucius LV4,,"('Continuous Effect', 'Trigger Effect')",2023-03-18 11:53:58,New
Dark Lucius LV6,"('Dark Lucius', 'LV')","('Continuous Effect', 'Trigger Effect')",2023-03-18 11:54:07,Old
Dark Lucius LV6,,"('Continuous Effect', 'Trigger Effect')",2023-03-18 11:54:07,New
Dark Lucius LV8,"('Dark Lucius', 'LV')","('Continuous Effect',)",2023-03-18 11:54:15,Old
Dark Lucius LV8,,"('Continuous Effect',)",2023-03-18 11:54:15,New
Dark Magician,"('Dark Magician (archetype)',)",,2023-06-03 21:01:40,Old
Dark Magician,,,2023-06-03 21:01:40,New
Dark Magician Girl,"('Dark Magician (archetype)', 'Dark Magician Girl (archetype)', 'Magician Girl')","('Continuous Effect',)",2023-03-18 11:58:15,Old
Dark Magician Girl,,"('Continuous Effect',)",2023-03-18 11:58:15,New
Dark Mimic LV1,"('LV',)","('Flip effect', 'Trigger Effect')",2023-03-18 11:59:14,Old
Dark Mimic LV1,,"('Flip effect', 'Trigger Effect')",2023-03-18 11:59:14,New
Dark Scorpion - Cliff the Trap Remover,"('Dark Scorpion',)","('Trigger Effect',)",2023-04-06 19:41:43,Old
Dark Scorpion - Cliff the Trap Remover,,"('Trigger Effect',)",2023-04-06 19:41:43,New
Dark Scorpion - Meanae the Thorn,"('Dark Scorpion',)","('Trigger Effect',)",2023-05-19 20:57:55,Old
Dark Scorpion - Meanae the Thorn,,"('Trigger Effect',)",2023-05-19 20:57:55,New
Des Koala,"('Koala',)","('Flip effect',)",2023-03-16 14:33:10,Old
Des Koala,,"('Flip effect',)",2023-03-16 14:33:10,New
Destiny HERO - Blade Master,"('Destiny HERO', 'HERO')","('Quick Effect',)",2023-03-18 12:53:14,Old
Destiny HERO - Blade Master,,"('Quick Effect',)",2023-03-18 12:53:14,New
Destiny HERO - Dangerous,"('Destiny HERO', 'HERO')","('Condition', 'Quick Effect')",2023-03-18 12:53:51,Old
Destiny HERO - Dangerous,,"('Condition', 'Quick Effect')",2023-03-18 12:53:51,New
Destiny HERO - Dark Angel,"('Destiny HERO', 'HERO')","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",2023-03-18 12:54:01,Old
Destiny HERO - Dark Angel,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",2023-03-18 12:54:01,New
Destiny HERO - Diamond Dude,"('Destiny HERO', 'HERO')","('Condition', 'Ignition Effect')",2023-05-07 19:39:26,Old
Destiny HERO - Diamond Dude,,"('Condition', 'Ignition Effect')",2023-05-07 19:39:26,New
Destiny HERO - Dogma,"('Destiny HERO', 'HERO')","('Summoning condition', 'Trigger Effect')",2023-03-18 12:55:40,Old
Destiny HERO - Dogma,,"('Summoning condition', 'Trigger Effect')",2023-03-18 12:55:40,New
Destiny HERO - Doom Lord,"('Destiny HERO', 'HERO')","('Ignition Effect',)",2023-03-18 12:55:54,Old
Destiny HERO - Doom Lord,,"('Ignition Effect',)",2023-03-18 12:55:54,New
Destiny HERO - Fear Monger,"('Destiny HERO', 'HERO')","('Trigger Effect',)",2023-03-16 01:15:50,Old
Destiny HERO - Fear Monger,,"('Trigger Effect',)",2023-03-16 01:15:50,New
Destiny HERO - Plasma,"('Destiny HERO', 'HERO')","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-03-15 03:44:13,Old
Destiny HERO - Plasma,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-03-15 03:44:13,New
Destruction Swordsman Fusion,"('Destruction Sword', 'Polymerization (archetype)')","('Condition', 'Effect', 'Ignition-like Effect')",2023-03-18 13:01:16,Old
Destruction Swordsman Fusion,,"('Condition', 'Effect', 'Ignition-like Effect')",2023-03-18 13:01:16,New
Different Dimension Gate,"('D.D.',)","('Activation condition', 'Effect', 'Trigger Effect')",2023-05-19 21:02:20,Old
Different Dimension Gate,,"('Activation condition', 'Effect', 'Trigger Effect')",2023-05-19 21:02:20,New
Diskblade Rider,"('Rider',)","('Ignition Effect',)",2023-04-08 22:42:05,Old
Diskblade Rider,,"('Ignition Effect',)",2023-04-08 22:42:05,New
Djinn Disserere of Rituals,"('Djinn', 'Djinn of Rituals')","('Unclassified effect',)",2023-03-18 13:41:52,Old
Djinn Disserere of Rituals,,"('Unclassified effect',)",2023-03-18 13:41:52,New
Dokurorider,"('Rider',)",,2023-03-18 13:53:27,Old
Dokurorider,,,2023-03-18 13:53:27,New
Double Spell,,"('Cost', 'Effect')",2023-04-08 22:42:10,Old
Double Spell,,"('Effect',)",2023-06-11 15:57:00,New
Drillroid,"('roid',)","('Trigger Effect',)",2023-03-18 15:04:37,Old
Drillroid,"('Roid',)","('Trigger Effect',)",2023-03-18 15:04:37,New
Elemental HERO Clayman,"('Elemental HERO', 'HERO')",,2023-03-31 19:22:49,Old
Elemental HERO Clayman,,,2023-03-31 19:22:49,New
Elemental HERO Darkbright,"('Elemental HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 15:52:23,Old
Elemental HERO Darkbright,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-18 15:52:23,New
Elemental HERO Electrum,"('Elemental HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-05-31 11:27:19,Old
Elemental HERO Electrum,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-05-31 11:27:19,New
Elemental HERO Necroid Shaman,"('Elemental HERO', 'HERO', 'roid')","('Summoning condition', 'Trigger Effect')",2023-06-04 19:46:33,Old
Elemental HERO Necroid Shaman,,"('Summoning condition', 'Trigger Effect')",2023-06-04 19:46:33,New
Elemental HERO Nova Master,"('Elemental HERO', 'HERO')","('Summoning condition', 'Trigger Effect')",2023-03-18 15:59:05,Old
Elemental HERO Nova Master,,"('Summoning condition', 'Trigger Effect')",2023-03-18 15:59:05,New
Elemental HERO Plasma Vice,"('Elemental HERO', 'HERO')","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-05-07 19:40:47,Old
Elemental HERO Plasma Vice,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-05-07 19:40:47,New
Elemental HERO Rampart Blaster,"('Elemental HERO', 'HERO')","('Continuous Effect', 'Summoning condition')",2023-03-18 16:00:10,Old
Elemental HERO Rampart Blaster,,"('Continuous Effect', 'Summoning condition')",2023-03-18 16:00:10,New
Elemental HERO Shining Flare Wingman,"('Elemental HERO', 'HERO', 'Wingman')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-04-06 19:41:32,Old
Elemental HERO Shining Flare Wingman,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-04-06 19:41:32,New
Elemental HERO Steam Healer,"('Elemental HERO', 'HERO')","('Summoning condition', 'Trigger Effect')",2023-03-18 16:01:42,Old
Elemental HERO Steam Healer,,"('Summoning condition', 'Trigger Effect')",2023-03-18 16:01:42,New
Elemental HERO Thunder Giant,"('Elemental HERO', 'HERO')","('Ignition Effect', 'Summoning condition')",2023-03-18 16:03:18,Old
Elemental HERO Thunder Giant,,"('Ignition Effect', 'Summoning condition')",2023-03-18 16:03:18,New
Elemental HERO Wildheart,"('Elemental HERO', 'HERO')","('Continuous Effect',)",2023-05-07 19:42:14,Old
Elemental HERO Wildheart,,"('Continuous Effect',)",2023-06-09 05:00:12,New
Embodiment of Apophis,"('Trap Monster',)","('Activation condition', 'Effect')",2023-03-16 09:28:59,Old
Embodiment of Apophis,,"('Activation condition', 'Effect')",2023-03-16 09:28:59,New
Emergeroid Call,"('roid',)","('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')",2023-03-18 16:14:42,Old
Emergeroid Call,"('Roid',)","('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')",2023-03-18 16:14:42,New
Evil HERO Dark Gaia,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:35,Old
Evil HERO Dark Gaia,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:35,New
Evil HERO Infernal Gainer,"('Evil HERO', 'HERO')","('Ignition Effect', 'Trigger Effect')",2023-04-10 17:45:26,Old
Evil HERO Infernal Gainer,,"('Ignition Effect', 'Trigger Effect')",2023-04-10 17:45:26,New
Evil HERO Infernal Prodigy,"('Evil HERO', 'HERO')","('Trigger Effect', 'Unclassified effect')",2023-03-31 19:22:10,Old
Evil HERO Infernal Prodigy,,"('Trigger Effect', 'Unclassified effect')",2023-03-31 19:22:10,New
Evil HERO Inferno Wing,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:59,Old
Evil HERO Inferno Wing,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:59,New
Evil HERO Lightning Golem,"('Evil HERO', 'HERO')","('Ignition Effect', 'Summoning condition')",2023-03-31 19:15:27,Old
Evil HERO Lightning Golem,,"('Ignition Effect', 'Summoning condition')",2023-03-31 19:15:27,New
Evil HERO Wild Cyclone,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:42,Old
Evil HERO Wild Cyclone,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-03-31 19:15:42,New
Exiled Force,"('Force',)","('Ignition Effect',)",2023-03-18 17:15:42,Old
Exiled Force,,"('Ignition Effect',)",2023-03-18 17:15:42,New
Expressroid,"('roid',)","('Trigger Effect',)",2023-03-18 17:18:10,Old
Expressroid,"('Roid',)","('Trigger Effect',)",2023-03-18 17:18:10,New
Fifth Hope,"('Utopic',)","('Effect',)",2023-03-18 17:52:27,Old
Fifth Hope,,"('Effect',)",2023-03-18 17:52:27,New
Fishborg Planter,"('Fishborg',)","('Condition', 'Ignition Effect')",2023-03-18 18:10:46,Old
Fishborg Planter,,"('Condition', 'Ignition Effect')",2023-03-18 18:10:46,New
Flight of the Harpies,"('Harpie',)",,2023-03-18 18:23:57,Old
Flight of the Harpies,,,2023-03-18 18:23:57,New
Flint Lock,"('Flint (series)',)","('Condition', 'Continuous Effect', 'Ignition Effect')",2023-03-18 18:24:35,Old
Flint Lock,,"('Condition', 'Continuous Effect', 'Ignition Effect')",2023-03-18 18:24:35,New
Floodgate Trap Hole,"('Trap Hole (archetype)',)","('Activation condition', 'Effect')",2023-05-10 10:37:15,Old
Floodgate Trap Hole,,"('Activation condition', 'Effect')",2023-05-10 10:37:15,New
Freed the Matchless General,"('Freed',)","('Condition', 'Continuous Effect', 'Trigger Effect')",2023-03-18 19:00:53,Old
Freed the Matchless General,,"('Condition', 'Continuous Effect', 'Trigger Effect')",2023-03-18 19:00:53,New
Fusion Gate,"('Fusion (archetype)',)","('Ignition-like Effect',)",2023-03-18 19:18:26,Old
Fusion Gate,,"('Ignition-like Effect',)",2023-03-18 19:18:26,New
Fusion Recycling Plant,"('Polymerization (archetype)',)","('Ignition-like Effect', 'Trigger Effect')",2023-03-18 19:19:46,Old
Fusion Recycling Plant,,"('Ignition-like Effect', 'Trigger Effect')",2023-03-18 19:19:46,New
Fusion Sword Murasame Blade,"('Polymerization (archetype)',)","('Condition', 'Continuous-like Effect')",2023-03-18 19:21:14,Old
Fusion Sword Murasame Blade,,"('Condition', 'Continuous-like Effect')",2023-03-18 19:21:14,New
Gaia The Fierce Knight,"('Gaia The Fierce Knight (archetype)',)",,2023-05-14 13:36:49,Old
Gaia The Fierce Knight,,,2023-05-14 13:36:49,New
Gaia the Dragon Champion,"('Gaia Knight', 'Gaia the Dragon Champion (archetype)')",,2023-05-14 12:54:15,Old
Gaia the Dragon Champion,,,2023-05-14 12:54:15,New
Gamma The Magnet Warrior,"('Magnet Warrior', 'Warrior (archetype)')",,2023-03-18 19:51:17,Old
Gamma The Magnet Warrior,,,2023-03-18 19:51:17,New
Gazelle the King of Mythical Beasts,"('Chimera (series)', 'Phantom Beast')",,2023-05-14 20:36:44,Old
Gazelle the King of Mythical Beasts,,,2023-06-10 11:00:32,New
Gearfried the Iron Knight,"('Gearfried',)","('Trigger Effect',)",2023-05-15 18:40:45,Old
Gearfried the Iron Knight,,"('Trigger Effect',)",2023-05-15 18:40:45,New
Gearfried the Swordmaster,"('Gearfried',)","('Summoning condition', 'Trigger Effect')",2023-03-16 17:14:50,Old
Gearfried the Swordmaster,,"('Summoning condition', 'Trigger Effect')",2023-03-16 17:14:50,New
Grand Tiki Elder,"('Mask',)",,2023-03-18 22:08:03,Old
Grand Tiki Elder,,,2023-03-18 22:08:03,New
Gravekeeper's Curse,"(""Gravekeeper's"",)","('Trigger Effect',)",2023-03-16 15:26:30,Old
Gravekeeper's Curse,,"('Trigger Effect',)",2023-03-16 15:26:30,New
Gravekeeper's Priestess,"(""Gravekeeper's"",)","('Continuous Effect',)",2023-03-18 22:17:26,Old
Gravekeeper's Priestess,,"('Continuous Effect',)",2023-03-18 22:17:26,New
Gravekeeper's Shaman,"(""Gravekeeper's"",)","('Continuous Effect',)",2023-03-18 22:18:20,Old
Gravekeeper's Shaman,,"('Continuous Effect',)",2023-03-18 22:18:20,New
Gravekeeper's Vassal,"(""Gravekeeper's"",)","('Continuous Effect',)",2023-03-18 22:20:20,Old
Gravekeeper's Vassal,,"('Continuous Effect',)",2023-03-18 22:20:20,New
Gren Maju Da Eiza,"('Maju',)","('Continuous Effect',)",2023-05-18 20:28:01,Old
Gren Maju Da Eiza,,"('Continuous Effect',)",2023-05-18 20:28:01,New
Gyroid,"('roid',)","('Continuous Effect',)",2023-03-18 22:59:36,Old
Gyroid,,"('Continuous Effect',)",2023-03-18 22:59:36,New
H - Heated Heart,,"('Effect',)",2023-03-18 22:59:55,Old
H - Heated Heart,"('Heart',)","('Effect',)",2023-06-09 04:25:16,New
Half Counter,"('Counter (archetype)',)","('Activation condition', 'Effect')",2023-04-10 17:19:04,Old
Half Counter,,"('Activation condition', 'Effect')",2023-04-10 17:19:04,New
Harpie Lady 1,"('Harpie',)","('Condition', 'Continuous Effect')",2023-03-18 23:12:09,Old
Harpie Lady 1,,"('Condition', 'Continuous Effect')",2023-03-18 23:12:09,New
Harpie Lady Sisters,"('Harpie',)","('Summoning condition',)",2023-05-14 21:30:57,Old
Harpie Lady Sisters,,"('Summoning condition',)",2023-05-14 21:30:57,New
Hidden Temples of Necrovalley,"('Necrovalley (archetype)',)","('Activation condition', 'Continuous-like Effect')",2023-03-18 23:52:29,Old
Hidden Temples of Necrovalley,,"('Activation condition', 'Continuous-like Effect')",2023-03-18 23:52:29,New
Horn of the Phantom Beast,"('Phantom Beast',)","('Continuous-like Effect', 'Effect', 'Trigger Effect')",2023-03-19 07:44:27,Old
Horn of the Phantom Beast,,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",2023-03-19 07:44:27,New
Imprisoned Queen Archfiend,"('Archfiend',)","('Condition', 'Maintenance cost', 'Trigger Effect')",2023-04-06 19:41:37,Old
Imprisoned Queen Archfiend,,"('Condition', 'Maintenance cost', 'Trigger Effect')",2023-04-06 19:41:37,New
Infernalqueen Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost', 'Trigger Effect')",2023-05-19 20:55:43,Old
Infernalqueen Archfiend,,"('Continuous Effect', 'Maintenance cost', 'Trigger Effect')",2023-05-19 20:55:43,New
Infernity Beast,"('Infernity',)","('Continuous Effect',)",2023-03-19 08:40:53,Old
Infernity Beast,,"('Continuous Effect',)",2023-03-19 08:40:53,New
Jack's Knight,"('Three Musketeers of Face Cards',)",,2023-03-19 09:59:38,Old
Jack's Knight,,,2023-03-19 09:59:38,New
Jar of Avarice,"('Greed (series)',)","('Condition', 'Effect')",2023-03-19 10:13:56,Old
Jar of Avarice,,"('Condition', 'Effect')",2023-03-19 10:13:56,New
Jurrac Iguanon,"('Jurrac',)","('Trigger Effect',)",2023-03-19 10:43:40,Old
Jurrac Iguanon,,"('Trigger Effect',)",2023-03-19 10:43:40,New
Jurrac Spinos,"('Jurrac',)","('Trigger Effect',)",2023-03-19 10:45:00,Old
Jurrac Spinos,,"('Trigger Effect',)",2023-03-19 10:45:00,New
Jurrac Tyrannus,"('Jurrac',)","('Ignition Effect', 'Trigger Effect')",2023-03-19 10:45:44,Old
Jurrac Tyrannus,,"('Ignition Effect', 'Trigger Effect')",2023-03-19 10:45:44,New
King's Knight,"('Three Musketeers of Face Cards',)","('Trigger Effect',)",2023-03-19 11:24:06,Old
King's Knight,,"('Trigger Effect',)",2023-03-19 11:24:06,New
