Name,Password,Card type,Property,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,Secondary type,Monster type,DEF,Pendulum Scale,Link,Link Arrows,ATK,Level/Rank
"30,000-Year White Turtle",11714098,Monster Card,,,,,Unlimited,"30,000-Year White Turtle","https://yugipedia.com/wiki/30,000-Year_White_Turtle",,2023-03-17 23:22:46,,WATER,Normal Monster,,Aqua,2100,,,,1250,5
4-Starred Ladybug of Doom,83994646,Monster Card,,,"('Flip effect',)",Unlimited,Unlimited,4-Starred Ladybug of Doom,https://yugipedia.com/wiki/4-Starred_Ladybug_of_Doom,,2023-03-17 23:23:05,"('Any',)",WIND,Effect Monster,"('Flip monster',)",Insect,1200,,,,800,3
7,67048711,Spell Card,Continuous Spell Card,,"('Effect', 'Trigger Effect')",Unlimited,Unlimited,7,https://yugipedia.com/wiki/7,,2023-03-17 23:23:21,,,,,,,,,,,
7 Colored Fish,23771716,Monster Card,,,,Unlimited,Unlimited,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-03-17 23:23:39,,WATER,Normal Monster,,Fish,800,,,,1800,4
7 Completed,86198326,Spell Card,Equip Spell Card,,"('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,7 Completed,https://yugipedia.com/wiki/7_Completed,,2023-03-17 23:23:57,"('Type',)",,,,,,,,,,
8-Claws Scorpion,14261867,Monster Card,,,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,8-Claws Scorpion,https://yugipedia.com/wiki/8-Claws_Scorpion,,2023-03-17 23:24:18,"('Any',)",DARK,Effect Monster,,Insect,200,,,,300,2
A Cat of Ill Omen,24140059,Monster Card,,,"('Flip effect',)",Unlimited,Unlimited,A Cat of Ill Omen,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2023-03-17 23:24:44,"('Any',)",DARK,Effect Monster,"('Flip monster',)",Beast,300,,,,500,2
A Deal with Dark Ruler,06850209,Spell Card,Quick-Play Spell Card,"('Archfiend',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,A Deal with Dark Ruler,https://yugipedia.com/wiki/A_Deal_with_Dark_Ruler,"('Edited',)",2023-03-17 23:25:15,"('Name', 'Type')",,,,,,,,,,
A Feather of the Phoenix,49140998,Spell Card,Normal Spell Card,,"('Cost', 'Effect')",Unlimited,Unlimited,A Feather of the Phoenix,https://yugipedia.com/wiki/A_Feather_of_the_Phoenix,,2023-03-17 23:25:34,"('Any',)",,,,,,,,,,
A Feint Plan,68170903,Trap Card,Normal Trap Card,,"('Effect',)",Unlimited,Unlimited,A Feint Plan,https://yugipedia.com/wiki/A_Feint_Plan,,2023-03-17 23:25:54,,,,,,,,,,,
A Hero Emerges,21597117,Trap Card,Normal Trap Card,,"('Activation condition', 'Effect')",Unlimited,Unlimited,A Hero Emerges,https://yugipedia.com/wiki/A_Hero_Emerges,,2023-03-17 23:26:14,"('Any',)",,,,,,,,,,
A Hero Lives,08949584,Spell Card,Normal Spell Card,,"('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,A Hero Lives,https://yugipedia.com/wiki/A_Hero_Lives,,2023-03-17 23:26:31,"('Any',)",,,,,,,,,,
A Legendary Ocean,00295517,Spell Card,Field Spell Card,"('Umi (series)',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,A Legendary Ocean,https://yugipedia.com/wiki/A_Legendary_Ocean,,2023-03-17 23:26:47,"('Type',)",,,,,,,,,,
A Major Upset,32207100,Trap Card,Normal Trap Card,,"('Cost', 'Effect')",Unlimited,Unlimited,A Major Upset,https://yugipedia.com/wiki/A_Major_Upset,,2023-03-17 23:27:00,"('Any',)",,,,,,,,,,
A Man with Wdjat,51351302,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,A Man with Wdjat,https://yugipedia.com/wiki/A_Man_with_Wdjat,,2023-03-17 23:27:16,"('Any',)",DARK,Effect Monster,,Spellcaster,1600,,,,1600,4
A Rival Appears!,05728014,Trap Card,Normal Trap Card,,"('Effect',)",Unlimited,Unlimited,A Rival Appears!,https://yugipedia.com/wiki/A_Rival_Appears!,,2023-03-17 23:27:35,"('Any',)",,,,,,,,,,
"A Shattered, Colorless Realm",44553392,Trap Card,Normal Trap Card,,"('Effect',)",Not yet released,Unlimited,"A Shattered, Colorless Realm","https://yugipedia.com/wiki/A_Shattered,_Colorless_Realm",,2023-04-22 14:10:08,,,,,,,,,,,
A Wild Monster Appears!,23587624,Spell Card,Normal Spell Card,,"('Activation condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,A Wild Monster Appears!,https://yugipedia.com/wiki/A_Wild_Monster_Appears!,,2023-03-17 23:27:57,"('Any',)",,,,,,,,,,
A Wingbeat of Giant Dragon,28596933,Spell Card,Normal Spell Card,,"('Effect',)",Unlimited,Unlimited,A Wingbeat of Giant Dragon,https://yugipedia.com/wiki/A_Wingbeat_of_Giant_Dragon,,2023-03-17 23:28:10,"('Type',)",,,,,,,,,,
A-Assault Core,30012506,Monster Card,,"('A-to-Z',)","('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,A-Assault Core,https://yugipedia.com/wiki/A-Assault_Core,,2023-03-17 23:28:25,"('Any',)",LIGHT,Effect Monster,"('Union monster',)",Machine,200,,,,1900,4
A-Team: Trap Disposal Unit,13026402,Monster Card,,,"('Quick Effect',)",Unlimited,Unlimited,A-Team: Trap Disposal Unit,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,,2023-03-17 23:28:36,,FIRE,Effect Monster,,Machine,400,,,,300,2
A-to-Z-Dragon Buster Cannon,65172015,Monster Card,,"('A-to-Z',)","('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,A-to-Z-Dragon Buster Cannon,https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,"('Edited',)",2023-03-17 23:28:53,,LIGHT,Fusion Monster,,Machine,4000,,,,4000,10
A.I. Challenge You,28645123,Trap Card,Continuous Trap Card,"('A.I.',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,A.I. Challenge You,https://yugipedia.com/wiki/A.I._Challenge_You,,2023-03-17 23:29:09,,,,,,,,,,,
A.I. Contact,10493654,Spell Card,Normal Spell Card,"('A.I.',)","('Condition', 'Effect')",Unlimited,Unlimited,A.I. Contact,https://yugipedia.com/wiki/A.I._Contact,,2023-03-17 23:29:18,,,,,,,,,,,
A.I. Love Fusion,59332125,Spell Card,Normal Spell Card,"('A.I.', 'Polymerization (archetype)')","('Condition', 'Effect')",Unlimited,Unlimited,A.I. Love Fusion,https://yugipedia.com/wiki/A.I._Love_Fusion,,2023-03-17 23:29:31,,,,,,,,,,,
A.I. Meet You,06552971,Spell Card,Normal Spell Card,"('A.I.',)","('Condition', 'Effect')",Unlimited,Unlimited,A.I. Meet You,https://yugipedia.com/wiki/A.I._Meet_You,,2023-03-17 23:29:43,,,,,,,,,,,
A.I. Shadow,77421977,Trap Card,Continuous Trap Card,"('A.I.',)","('Activation condition', 'Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,A.I. Shadow,https://yugipedia.com/wiki/A.I._Shadow,,2023-03-17 23:29:54,,,,,,,,,,,
A.I.'s Ritual,85327820,Spell Card,Ritual Spell Card,"('A.I.',)","('Effect',)",Unlimited,Unlimited,A.I.'s Ritual,https://yugipedia.com/wiki/A.I.%27s_Ritual,,2023-03-17 23:30:06,,,,,,,,,,,
A.I.'s Show,54374642,Trap Card,Normal Trap Card,"('A.I.',)","('Effect',)",Unlimited,Unlimited,A.I.'s Show,https://yugipedia.com/wiki/A.I.%27s_Show,,2023-03-17 23:30:18,,,,,,,,,,,
A.I.Q,69381150,Trap Card,Continuous Trap Card,"('A.I.',)","('Activation condition', 'Continuous-like Effect', 'Maintenance cost')",Unlimited,Unlimited,A.I.Q,https://yugipedia.com/wiki/A.I.Q,,2023-03-17 23:30:33,,,,,,,,,,,
A.I.dle Reborn,22933016,Spell Card,Quick-Play Spell Card,"('A.I.',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,A.I.dle Reborn,https://yugipedia.com/wiki/A.I.dle_Reborn,,2023-03-17 23:30:48,,,,,,,,,,,
A/D Changer,96146814,Monster Card,,"('Change',)","('Ignition Effect',)",Unlimited,Unlimited,A/D Changer,https://yugipedia.com/wiki/A/D_Changer,,2023-03-17 23:31:03,"('Any',)",LIGHT,Effect Monster,,Warrior,100,,,,100,1
ABC-Dragon Buster,01561110,Monster Card,,"('A-to-Z',)","('Quick Effect', 'Summoning condition')",Unlimited,Unlimited,ABC-Dragon Buster,https://yugipedia.com/wiki/ABC-Dragon_Buster,,2023-03-17 23:31:16,"('Any',)",LIGHT,Fusion Monster,,Machine,2800,,,,3000,8
ALERT!,26372118,Spell Card,Quick-Play Spell Card,"('Rescue-ACE',)","('Condition', 'Effect')",Unlimited,Unlimited,ALERT!,https://yugipedia.com/wiki/ALERT!,,2023-03-17 23:31:28,,,,,,,,,,,
Abaki,12694768,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,Abaki,https://yugipedia.com/wiki/Abaki,,2023-03-17 23:31:46,"('Any',)",FIRE,Effect Monster,,Fiend,1100,,,,1700,4
Abare Ushioni,89718302,Monster Card,,,"('Ignition Effect',)",Unlimited,Unlimited,Abare Ushioni,https://yugipedia.com/wiki/Abare_Ushioni,,2023-03-17 23:31:59,"('Any',)",EARTH,Effect Monster,,Beast-Warrior,1200,,,,1200,4
Abominable Chamber of the Unchained,80801743,Trap Card,Normal Trap Card,"('Unchained',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abominable Chamber of the Unchained,https://yugipedia.com/wiki/Abominable_Chamber_of_the_Unchained,,2023-03-17 23:32:18,,,,,,,,,,,
Abominable Unchained Soul,01966438,Monster Card,,"('Unchained', 'Unchained Soul')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Abominable Unchained Soul,https://yugipedia.com/wiki/Abominable_Unchained_Soul,,2023-04-01 01:54:13,,DARK,Effect Monster,,Fiend,1500,,,,3000,8
Abomination's Prison,27412542,Spell Card,Normal Spell Card,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abomination's Prison,https://yugipedia.com/wiki/Abomination%27s_Prison,,2023-03-17 23:32:41,,,,,,,,,,,
Absolute Crusader,70832512,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,Absolute Crusader,https://yugipedia.com/wiki/Absolute_Crusader,,2023-03-17 23:32:53,"('Any',)",EARTH,Effect Monster,,Warrior,1200,,,,1800,4
Absolute End,27744077,Trap Card,Normal Trap Card,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Absolute End,https://yugipedia.com/wiki/Absolute_End,"('Edited',)",2023-03-17 23:33:10,"('Any',)",,,,,,,,,,
Absolute King - Megaplunder,,Monster Card,,,,,Unlimited,Absolute King - Megaplunder,https://yugipedia.com/wiki/Absolute_King_-_Megaplunder,,2023-04-03 09:26:27,,EARTH,Normal Monster,,Dinosaur,1500,,,,2000,6
Absolute King Back Jack,60990740,Monster Card,,,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Absolute King Back Jack,https://yugipedia.com/wiki/Absolute_King_Back_Jack,,2023-03-17 23:33:22,"('Any',)",DARK,Effect Monster,,Fiend,0,,,,0,1
Absorb Fusion,71422989,Spell Card,Normal Spell Card,"('Fusion (archetype)',)","('Condition', 'Effect')",Unlimited,Unlimited,Absorb Fusion,https://yugipedia.com/wiki/Absorb_Fusion,,2023-03-17 23:33:37,,,,,,,,,,,
Absorbing Jar,03900605,Monster Card,,"('Jar',)","('Flip effect',)",Unlimited,Unlimited,Absorbing Jar,https://yugipedia.com/wiki/Absorbing_Jar,,2023-04-10 17:45:22,"('Type',)",EARTH,Effect Monster,"('Flip monster',)",Rock,500,,,,600,3
Absorbing Kid from the Sky,49771608,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,Absorbing Kid from the Sky,https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,"('Edited',)",2023-03-17 23:34:01,,LIGHT,Effect Monster,,Fairy,1000,,,,1300,4
Absorouter Dragon,67748760,Monster Card,,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Absorouter Dragon,https://yugipedia.com/wiki/Absorouter_Dragon,,2023-03-17 23:34:13,,DARK,Effect Monster,,Dragon,2800,,,,1200,7
Abyss Actor - Comic Relief,15308295,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Comic Relief,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,,2023-03-17 23:34:37,,DARK,Effect Monster,,Fiend,2000,8,,,1000,3
Abyss Actor - Curtain Raiser,44179224,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Abyss Actor - Curtain Raiser,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,,2023-03-17 23:34:55,,DARK,Effect Monster,,Fiend,1000,7,,,1100,4
Abyss Actor - Evil Heel,52240819,Monster Card,,"('Abyss Actor',)","('Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Evil Heel,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,,2023-03-17 23:35:08,,DARK,Effect Monster,,Fiend,2000,1,,,3000,8
Abyss Actor - Extras,88412339,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Abyss Actor - Extras,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,,2023-03-17 23:35:27,,DARK,Effect Monster,,Fiend,100,3,,,100,1
Abyss Actor - Funky Comedian,99634927,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Funky Comedian,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,,2023-03-17 23:35:41,,DARK,Effect Monster,,Fiend,200,8,,,300,1
Abyss Actor - Hyper Director,02368215,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect')",Unlimited,Unlimited,Abyss Actor - Hyper Director,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,,2023-03-17 23:36:02,,DARK,Link Monster,,Fiend,,,1,"('↓',)",800,
Abyss Actor - Leading Lady,24907044,Monster Card,,"('Abyss Actor',)","('Trigger Effect',)",Unlimited,Unlimited,Abyss Actor - Leading Lady,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,,2023-03-17 23:36:18,"('Any',)",DARK,Effect Monster,,Fiend,1000,2,,,1500,4
Abyss Actor - Liberty Dramatist,65477143,Monster Card,,"('Abyss Actor',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Liberty Dramatist,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,,2023-03-17 23:36:39,,DARK,Effect Monster,,Fiend,1500,8,,,1500,4
Abyss Actor - Mellow Madonna,78310590,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Mellow Madonna,https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,"('Edited',)",2023-03-17 23:36:50,,DARK,Effect Monster,,Fiend,2500,0,,,1800,7
Abyss Actor - Sassy Rookie,51028231,Monster Card,,"('Abyss Actor',)","('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Sassy Rookie,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,,2023-03-17 23:37:12,,DARK,Effect Monster,,Fiend,1000,2,,,1700,4
Abyss Actor - Super Producer,47404795,Monster Card,,"('Abyss Actor',)","('Condition', 'Quick Effect')",Unlimited,Unlimited,Abyss Actor - Super Producer,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,,2023-04-14 19:23:52,,DARK,Link Monster,,Fiend,,,2,"('↙', '↘')",1600,
Abyss Actor - Superstar,25629622,Monster Card,,"('Abyss Actor',)","('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Abyss Actor - Superstar,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,,2023-03-17 23:37:43,"('Any',)",DARK,Effect Monster,,Fiend,1800,3,,,2500,7
Abyss Actor - Trendy Understudy,39024589,Monster Card,,"('Abyss Actor',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Trendy Understudy,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,,2023-03-17 23:38:05,,DARK,Effect Monster,,Fiend,700,8,,,700,2
Abyss Actor - Twinkle Little Star,07279373,Monster Card,,"('Abyss Actor',)","('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Abyss Actor - Twinkle Little Star,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,,2023-03-17 23:38:20,,DARK,Effect Monster,,Fiend,1000,9,,,1000,4
Abyss Actor - Wild Hope,51391183,Monster Card,,"('Abyss Actor', 'Utopic')","('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Actor - Wild Hope,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,,2023-03-17 23:38:41,,DARK,Effect Monster,,Fiend,1200,2,,,1600,4
Abyss Actors Back Stage,59057953,Trap Card,Normal Trap Card,"('Abyss Actor',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Abyss Actors Back Stage,https://yugipedia.com/wiki/Abyss_Actors_Back_Stage,,2023-03-16 16:38:47,,,,,,,,,,,
Abyss Actors' Curtain Call,04682617,Trap Card,Normal Trap Card,"('Abyss Actor',)","('Activation condition', 'Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,Abyss Actors' Curtain Call,https://yugipedia.com/wiki/Abyss_Actors%27_Curtain_Call,,2023-03-17 23:39:10,,,,,,,,,,,
Abyss Actors' Dress Rehearsal,06004133,Spell Card,Normal Spell Card,"('Abyss Actor',)","('Effect',)",Unlimited,Unlimited,Abyss Actors' Dress Rehearsal,https://yugipedia.com/wiki/Abyss_Actors%27_Dress_Rehearsal,,2023-03-17 23:39:24,,,,,,,,,,,
Abyss Dweller,21044178,Monster Card,,,"('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,Abyss Dweller,https://yugipedia.com/wiki/Abyss_Dweller,,2023-03-15 19:26:04,"('Any',)",WATER,Xyz Monster,,Sea Serpent,1400,,,,1700,4
Abyss Flower,40387124,Monster Card,,,,,Unlimited,Abyss Flower,https://yugipedia.com/wiki/Abyss_Flower,,2023-03-17 23:39:47,,EARTH,Normal Monster,,Plant,400,,,,750,2
Abyss Keeper,82184400,Monster Card,,"('Abyss-',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Keeper,https://yugipedia.com/wiki/Abyss_Keeper,,2023-03-17 23:40:04,,WATER,Link Monster,,Fish,,,2,"('↙', '↘')",1500,
Abyss Playhouse - Fantastic Theater,77297908,Spell Card,Field Spell Card,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Abyss Playhouse - Fantastic Theater,https://yugipedia.com/wiki/Abyss_Playhouse_-_Fantastic_Theater,,2023-03-17 23:40:17,"('Name',)",,,,,,,,,,
Abyss Prop - Wild Wagon,86578200,Spell Card,Continuous Spell Card,,"('Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Prop - Wild Wagon,https://yugipedia.com/wiki/Abyss_Prop_-_Wild_Wagon,,2023-03-17 23:40:31,,,,,,,,,,,
Abyss Script - Abysstainment,70564929,Spell Card,Continuous Spell Card,"('Abyss Script',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Abysstainment,https://yugipedia.com/wiki/Abyss_Script_-_Abysstainment,,2023-03-17 23:40:55,,,,,,,,,,,
Abyss Script - Dramatic Story,33503878,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Dramatic Story,https://yugipedia.com/wiki/Abyss_Script_-_Dramatic_Story,,2023-03-17 23:41:14,,,,,,,,,,,
Abyss Script - Fantasy Magic,87390798,Spell Card,Normal Spell Card,"('Abyss Script',)","('Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Fantasy Magic,https://yugipedia.com/wiki/Abyss_Script_-_Fantasy_Magic,,2023-03-17 23:41:22,,,,,,,,,,,
Abyss Script - Fire Dragon's Lair,50179591,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Fire Dragon's Lair,https://yugipedia.com/wiki/Abyss_Script_-_Fire_Dragon%27s_Lair,,2019-11-26 22:46:58,,,,,,,,,,,
Abyss Script - Opening Ceremony,23784496,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Opening Ceremony,https://yugipedia.com/wiki/Abyss_Script_-_Opening_Ceremony,,2023-03-17 23:41:57,,,,,,,,,,,
Abyss Script - Rise of the Abyss King,13662809,Spell Card,Normal Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Rise of the Abyss King,https://yugipedia.com/wiki/Abyss_Script_-_Rise_of_the_Abyss_King,,2023-03-17 23:42:20,"('Any',)",,,,,,,,,,
Abyss Script - Romantic Terror,41803903,Spell Card,Quick-Play Spell Card,"('Abyss Script',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss Script - Romantic Terror,https://yugipedia.com/wiki/Abyss_Script_-_Romantic_Terror,,2023-03-17 23:42:43,,,,,,,,,,,
Abyss Shark,61496006,Monster Card,,"('Abyss-', 'Shark (series)')","('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,Abyss Shark,https://yugipedia.com/wiki/Abyss_Shark,,2023-03-17 23:43:12,,WATER,Effect Monster,,Fish,700,,,,1200,5
Abyss Soldier,18318842,Monster Card,,"('Abyss-',)","('Ignition Effect',)",Unlimited,Unlimited,Abyss Soldier,https://yugipedia.com/wiki/Abyss_Soldier,,2023-03-17 23:43:29,"('Any',)",WATER,Effect Monster,,Aqua,1300,,,,1800,4
Abyss Stungray,97232518,Trap Card,Continuous Trap Card,"('Trap Monster',)","('Continuous Effect', 'Effect')",Unlimited,Unlimited,Abyss Stungray,https://yugipedia.com/wiki/Abyss_Stungray,,2023-03-17 23:43:50,,,,,,,,,,,
Abyss Warrior,88409165,Monster Card,,"('Abyss-', 'Warrior (archetype)')","('Ignition Effect',)",Unlimited,Unlimited,Abyss Warrior,https://yugipedia.com/wiki/Abyss_Warrior,,2023-03-16 00:12:26,,WATER,Effect Monster,,Aqua,1300,,,,1800,4
Abyss-scale of Cetus,19596712,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,Abyss-scale of Cetus,https://yugipedia.com/wiki/Abyss-scale_of_Cetus,,2023-03-16 02:36:48,,,,,,,,,,,
Abyss-scale of the Kraken,08719957,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,Abyss-scale of the Kraken,https://yugipedia.com/wiki/Abyss-scale_of_the_Kraken,,2023-03-15 03:27:54,,,,,,,,,,,
Abyss-scale of the Mizuchi,72932673,Spell Card,Equip Spell Card,"('Abyss-',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,Abyss-scale of the Mizuchi,https://yugipedia.com/wiki/Abyss-scale_of_the_Mizuchi,,2023-03-17 23:44:36,,,,,,,,,,,
Abyss-scorn,79206750,Trap Card,Normal Trap Card,"('Abyss-',)","('Effect', 'Trigger Effect')",Unlimited,Unlimited,Abyss-scorn,https://yugipedia.com/wiki/Abyss-scorn,,2023-03-16 11:10:57,,,,,,,,,,,
