Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Cover card,Version
23PP-KRB06,Premium Pack 2023 2nd Wave,Cassimolar,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB06,Premium Pack 2023 2nd Wave,Cassimolar,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB07,Premium Pack 2023 2nd Wave,Aileron,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB07,Premium Pack 2023 2nd Wave,Aileron,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB08,Premium Pack 2023 2nd Wave,Qardan the Clear-Sighted,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB08,Premium Pack 2023 2nd Wave,Qardan the Clear-Sighted,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB09,Premium Pack 2023 2nd Wave,Pharaonic Advent,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB09,Premium Pack 2023 2nd Wave,Pharaonic Advent,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB10,Premium Pack 2023 2nd Wave,Gravekeeper's Inscription,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB10,Premium Pack 2023 2nd Wave,Gravekeeper's Inscription,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB11,Premium Pack 2023 2nd Wave,Apophis the Swamp Deity,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB11,Premium Pack 2023 2nd Wave,Apophis the Swamp Deity,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB12,Premium Pack 2023 2nd Wave,Magikey Deity - Ashtartu,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB12,Premium Pack 2023 2nd Wave,Magikey Deity - Ashtartu,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB13,Premium Pack 2023 2nd Wave,Adularia of the June Moon,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB13,Premium Pack 2023 2nd Wave,Adularia of the June Moon,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB14,Premium Pack 2023 2nd Wave,Green Ninja,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB14,Premium Pack 2023 2nd Wave,Green Ninja,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB15,Premium Pack 2023 2nd Wave,Diabolica the Draconique General,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB15,Premium Pack 2023 2nd Wave,Diabolica the Draconique General,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB16,Premium Pack 2023 2nd Wave,"Kittytail, Mystical Beast of the Forest",,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB16,Premium Pack 2023 2nd Wave,"Kittytail, Mystical Beast of the Forest","('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB17,Premium Pack 2023 2nd Wave,Wish Dragon,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB17,Premium Pack 2023 2nd Wave,Wish Dragon,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB18,Premium Pack 2023 2nd Wave,Daidara-Bocchi,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB18,Premium Pack 2023 2nd Wave,Daidara-Bocchi,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB19,Premium Pack 2023 2nd Wave,Queen Butterfly Danaus,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB19,Premium Pack 2023 2nd Wave,Queen Butterfly Danaus,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB20,Premium Pack 2023 2nd Wave,Humongous Hive Hegemon - Zexstagger,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB20,Premium Pack 2023 2nd Wave,Humongous Hive Hegemon - Zexstagger,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB21,Premium Pack 2023 2nd Wave,Baromet the Sacred Sheep Shrub,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB21,Premium Pack 2023 2nd Wave,Baromet the Sacred Sheep Shrub,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB22,Premium Pack 2023 2nd Wave,Sage of Benevolence - Ciela,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB22,Premium Pack 2023 2nd Wave,Sage of Benevolence - Ciela,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB23,Premium Pack 2023 2nd Wave,Sky Striker Ace - Azalea,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB23,Premium Pack 2023 2nd Wave,Sky Striker Ace - Azalea,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB24,Premium Pack 2023 2nd Wave,Courageous Crimson Chevalier Bradamante,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB24,Premium Pack 2023 2nd Wave,Courageous Crimson Chevalier Bradamante,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB25,Premium Pack 2023 2nd Wave,Thunderforce Attack,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB25,Premium Pack 2023 2nd Wave,Thunderforce Attack,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB26,Premium Pack 2023 2nd Wave,Fist of Fate,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB26,Premium Pack 2023 2nd Wave,Fist of Fate,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB27,Premium Pack 2023 2nd Wave,Soul Crossing,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB27,Premium Pack 2023 2nd Wave,Soul Crossing,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB28,Premium Pack 2023 2nd Wave,Ultimate Divine-Beast,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB28,Premium Pack 2023 2nd Wave,Ultimate Divine-Beast,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB29,Premium Pack 2023 2nd Wave,Golden-Eyes Idol,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB29,Premium Pack 2023 2nd Wave,Golden-Eyes Idol,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB30,Premium Pack 2023 2nd Wave,Millennium Seeker,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB30,Premium Pack 2023 2nd Wave,Millennium Seeker,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB31,Premium Pack 2023 2nd Wave,Successor Soul,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB31,Premium Pack 2023 2nd Wave,Successor Soul,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB32,Premium Pack 2023 2nd Wave,Strength in Unity,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB32,Premium Pack 2023 2nd Wave,Strength in Unity,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB33,Premium Pack 2023 2nd Wave,Destined Rivals,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB33,Premium Pack 2023 2nd Wave,Destined Rivals,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB34,Premium Pack 2023 2nd Wave,Attack Guidance Armor,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB34,Premium Pack 2023 2nd Wave,Attack Guidance Armor,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB35,Premium Pack 2023 2nd Wave,Life Shaver,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB35,Premium Pack 2023 2nd Wave,Life Shaver,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
23PP-KRB36,Premium Pack 2023 2nd Wave,Magical Trick Mirror,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,,Old
23PP-KRB36,Premium Pack 2023 2nd Wave,Magical Trick Mirror,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,,New
AGOV-JP000,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP000,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP001,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP001,Age of Overlord,Supreme King Gate Magician,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP002,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP002,Age of Overlord,Supreme King Dragon Lightwurm,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP003,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP003,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP004,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP004,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP005,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP005,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP006,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP006,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP007,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP007,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP008,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP008,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP009,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP009,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP010,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP010,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP011,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP011,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP012,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP012,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP013,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP013,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP014,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP014,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP015,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP015,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP016,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP016,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP017,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP017,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP018,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP018,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP019,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP019,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP020,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP020,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP021,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP021,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP022,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
AGOV-JP022,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 06:10:19,2023-07-22,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP023,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-05-15 03:19:13,2023-07-22,,Old
