Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Version
Black Dragon Ninja,56562619,"('Dragon Ninja', 'Ninja')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Black Dragon Ninja,https://yugipedia.com/wiki/Black_Dragon_Ninja,,2023-03-18 05:01:36,"('Any',)",Effect Monster,1600,2800,Old
"Blaze, The Supreme Ruler of Dragons",,,,,Not yet released,"Blaze, The Supreme Ruler of Dragons","https://yugipedia.com/wiki/Blaze,_The_Supreme_Ruler_of_Dragons",,2023-08-17 16:29:39,,Xyz Monster,???,???,New
Block Dragon,94689206,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Forbidden,Semi-Limited,Block Dragon,https://yugipedia.com/wiki/Block_Dragon,,2023-03-18 05:44:48,"('Any',)",Effect Monster,3000,2500,Old
Chaos Witch,30327674,"('Chaos',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Chaos Witch,https://yugipedia.com/wiki/Chaos_Witch,,2023-07-29 06:35:32,,Effect Monster,1500,1500,Old
Chaos Witch,30327674,"('Chaos',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Chaos Witch,https://yugipedia.com/wiki/Chaos_Witch,"('Edited',)",2023-08-17 14:53:45,,Effect Monster,1500,1500,New
Chosen of Zefra,98076754,"('Zefra',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Unlimited,Unlimited,Chosen of Zefra,https://yugipedia.com/wiki/Chosen_of_Zefra,,2023-03-18 08:04:34,,,,,Old
Cipher Mirror Knight,58383100,"('Cipher',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Cipher Mirror Knight,https://yugipedia.com/wiki/Cipher_Mirror_Knight,,2023-07-24 19:28:48,"('Any',)",Effect Monster,0,0,New
Combat Wheel,12501230,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,Combat Wheel,https://yugipedia.com/wiki/Combat_Wheel,,2023-06-10 00:31:44,,Synchro Monster,1200,2500,Old
Combat Wheel,12501230,"('Wheel',)","('Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,Combat Wheel,https://yugipedia.com/wiki/Combat_Wheel,,2023-08-20 16:17:40,,Synchro Monster,1200,2500,New
D/D Savant Nikola,46035545,"('D/D', 'Prophecy')","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,D/D Savant Nikola,https://yugipedia.com/wiki/D/D_Savant_Nikola,,2023-07-24 19:13:42,,Effect Monster,2000,2000,Old
D/D Savant Thomas,00041546,"('D/D', 'Prophecy')","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,D/D Savant Thomas,https://yugipedia.com/wiki/D/D_Savant_Thomas,,2023-07-24 19:13:39,"('Any',)",Effect Monster,2600,1800,Old
Dark Magic Inheritance,41735184,,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Dark Magic Inheritance,https://yugipedia.com/wiki/Dark_Magic_Inheritance,,2023-06-25 20:51:20,"('Any',)",,,,New
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-12 06:39:02,"('Name', 'Type')",Normal Monster,2100,2500,Old
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-04 19:37:40,"('Name', 'Type')",Normal Monster,2100,2500,Old
Dark Magician,36996508,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-16 12:02:24,"('Name', 'Type')",Normal Monster,2100,2500,New
Dark Magician,46986414,"('Dark Magician (archetype)',)",,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-14 20:39:40,"('Name', 'Type')",Normal Monster,2100,2500,New
Dark Requiem Xyz Dragon,01621413,"('Xyz (archetype)', 'Xyz Dragon')","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Dark Requiem Xyz Dragon,https://yugipedia.com/wiki/Dark_Requiem_Xyz_Dragon,,2023-06-28 14:45:13,"('Any',)",Xyz Monster,2500,3000,New
Dark Sanctuary,16625614,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Dark Sanctuary,https://yugipedia.com/wiki/Dark_Sanctuary,,2023-06-19 21:45:13,"('Any',)",,,,New
Darklord Contact,14517422,"('Darklord',)","('Condition', 'Effect')",Unlimited,Unlimited,Darklord Contact,https://yugipedia.com/wiki/Darklord_Contact,,2023-03-18 12:13:20,"('Any',)",,,,New
Darklord Nasten,25339070,"('Darklord',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Darklord Nasten,https://yugipedia.com/wiki/Darklord_Nasten,,2023-03-18 12:14:52,"('Any',)",Effect Monster,2600,2600,New
Darklord Rebellion,50501121,"('Darklord',)","('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Darklord Rebellion,https://yugipedia.com/wiki/Darklord_Rebellion,,2023-03-18 12:15:30,"('Any',)",,,,New
Divine Dragon Lord Felgrand,60681103,"('Felgrand',)","('Trigger Effect',)",Unlimited,Unlimited,Divine Dragon Lord Felgrand,https://yugipedia.com/wiki/Divine_Dragon_Lord_Felgrand,,2023-03-18 13:38:08,,Effect Monster,2800,2800,Old
Divine Serpent Geh,82103466,,"('Continuous Effect', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Divine Serpent Geh,https://yugipedia.com/wiki/Divine_Serpent_Geh,,2023-03-18 13:39:57,"('Any',)",Effect Monster,0,?,New
Edge Imp Chain,61173621,"('Edge Imp',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Edge Imp Chain,https://yugipedia.com/wiki/Edge_Imp_Chain,,2023-07-31 22:27:52,"('Any',)",Effect Monster,1800,1200,Old
Fiend Kraken,77456781,,,,Unlimited,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-03-18 17:49:02,,Normal Monster,1400,1200,Old
Fiend Kraken,77456781,,,Not yet released,Unlimited,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-17 05:03:43,,Normal Monster,1400,1200,New
Floodgate Trap Hole,69599136,"('Trap Hole (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Floodgate Trap Hole,https://yugipedia.com/wiki/Floodgate_Trap_Hole,,2023-05-10 10:37:15,,,,,Old
Flower Cardian Paulownia,80630522,"('Flower Cardian',)","('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Flower Cardian Paulownia,https://yugipedia.com/wiki/Flower_Cardian_Paulownia,,2023-03-18 18:30:38,,Effect Monster,100,100,New
Flower Cardian Paulownia with Phoenix,16802689,"('Flower Cardian',)","('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Flower Cardian Paulownia with Phoenix,https://yugipedia.com/wiki/Flower_Cardian_Paulownia_with_Phoenix,,2023-03-18 18:30:51,"('Any',)",Effect Monster,2000,2000,New
Flower Cardian Pine with Crane,16024176,"('Flower Cardian',)","('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Flower Cardian Pine with Crane,https://yugipedia.com/wiki/Flower_Cardian_Pine_with_Crane,,2023-03-18 18:31:38,"('Any',)",Effect Monster,2000,2000,New
Flower Cardian Willow,54135423,"('Flower Cardian',)","('Ignition Effect',)",Unlimited,Unlimited,Flower Cardian Willow,https://yugipedia.com/wiki/Flower_Cardian_Willow,,2023-03-18 18:31:56,"('Any',)",Effect Monster,100,100,New
Fraud Freeze,26781870,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Fraud Freeze,https://yugipedia.com/wiki/Fraud_Freeze,,2019-11-30 17:22:24,,,,,New
Frightfur Sanctuary,74839123,"('Frightfur',)","('Continuous-like Effect', 'Cost', 'Trigger Effect')",Unlimited,Unlimited,Frightfur Sanctuary,https://yugipedia.com/wiki/Frightfur_Sanctuary,"('Edited',)",2023-03-18 19:06:47,,,,,Old
Fusion Fright Waltz,34449261,"('Fusion (archetype)',)","('Effect',)",Unlimited,Unlimited,Fusion Fright Waltz,https://yugipedia.com/wiki/Fusion_Fright_Waltz,,2019-11-30 17:38:17,,,,,Old
Galaxy Cyclone,05133471,"('Galaxy',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Galaxy Cyclone,https://yugipedia.com/wiki/Galaxy_Cyclone,,2023-04-08 22:41:59,"('Any',)",,,,Old
Galaxy-Eyes Cipher Dragon,18963306,"('-Eyes Dragon', 'Cipher', 'Cipher Dragon', 'Galaxy', 'Galaxy-Eyes')","('Ignition Effect',)",Unlimited,Unlimited,Galaxy-Eyes Cipher Dragon,https://yugipedia.com/wiki/Galaxy-Eyes_Cipher_Dragon,,2023-07-24 19:28:56,"('Name',)",Xyz Monster,2500,3000,Old
Golgoil,07526150,,,,Unlimited,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-03-18 21:49:59,,Normal Monster,1600,900,Old
Golgoil,07526150,,,Not yet released,Unlimited,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-17 05:03:41,,Normal Monster,1600,900,New
Hi-Speedroid Puzzle,86943389,"('Roid', 'Speedroid')","('Trigger Effect',)",Unlimited,Unlimited,Hi-Speedroid Puzzle,https://yugipedia.com/wiki/Hi-Speedroid_Puzzle,,2023-03-18 23:50:25,,Synchro Monster,1600,1300,Old
High Ritual Art,36350300,,"('Condition', 'Effect')",Unlimited,Unlimited,High Ritual Art,https://yugipedia.com/wiki/High_Ritual_Art,,2023-07-26 07:15:50,,,,,Old
High Ritual Art,36350300,,"('Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,High Ritual Art,https://yugipedia.com/wiki/High_Ritual_Art,,2023-08-14 10:59:42,,,,,New
Jesse Anderson - Bonder with the Crystal Beasts,,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:21,,Monster Token,,,Old
Jesse Anderson - Bonder with the Crystal Beasts,,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:21,,,,,Old
Jesse Anderson - Bonder with the Crystal Beasts,,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-08-20 11:02:38,,,,,New
Jesse Anderson - Bonder with the Crystal Beasts,,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-08-20 11:02:38,,Monster Token,,,New
Lunalight Crimson Fox,94919024,"('Lunalight',)","('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Lunalight Crimson Fox,https://yugipedia.com/wiki/Lunalight_Crimson_Fox,,2023-03-19 13:31:12,"('Any',)",Effect Monster,600,1800,Old
Lunalight Panther Dancer,97165977,"('Lunalight',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Lunalight Panther Dancer,https://yugipedia.com/wiki/Lunalight_Panther_Dancer,,2023-07-24 14:48:55,"('Any',)",Fusion Monster,2500,2800,Old
Magnet Force,17841166,,"('Effect',)",Unlimited,Unlimited,Magnet Force,https://yugipedia.com/wiki/Magnet_Force,,2023-03-19 14:47:42,,,,,New
Majesty with Eyes of Blue,02783661,"('With Eyes of Blue',)","('Condition', 'Effect')",Unlimited,Unlimited,Majesty with Eyes of Blue,https://yugipedia.com/wiki/Majesty_with_Eyes_of_Blue,,2023-08-14 08:15:39,"('Any',)",,,,New
"Master Peace, the True Dracoslayer",34079868,"('Dracoslayer', 'True Draco')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,"Master Peace, the True Dracoslayer","https://yugipedia.com/wiki/Master_Peace,_the_True_Dracoslayer",,2023-03-19 15:43:03,,Effect Monster,2950,2950,Old
Metalfoes Counter,33327029,"('Counter (archetype)', 'Metalfoes')","('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Metalfoes Counter,https://yugipedia.com/wiki/Metalfoes_Counter,,2023-04-06 12:21:55,"('Any',)",,,,Old
Metamorformation,46500985,,"('Continuous-like Effect',)",Unlimited,Unlimited,Metamorformation,https://yugipedia.com/wiki/Metamorformation,,2019-12-02 23:21:01,,,,,Old
Mitsu the Insect Ninja,67282505,"('Ninja',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Mitsu the Insect Ninja,https://yugipedia.com/wiki/Mitsu_the_Insect_Ninja,,2023-03-19 17:17:54,,Effect Monster,2100,200,Old
Mitsu the Insect Ninja,67282505,"('Ninja',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Mitsu the Insect Ninja,https://yugipedia.com/wiki/Mitsu_the_Insect_Ninja,"('Edited',)",2023-08-16 11:30:49,,Effect Monster,2100,200,New
Monster Rebirth,54564198,,"('Effect',)",Unlimited,Unlimited,Monster Rebirth,https://yugipedia.com/wiki/Monster_Rebirth,"('Edited',)",2023-07-27 06:33:04,,,,,Old
Ninjitsu Art Notebook,79324191,"('Ninjitsu Art',)","('Ignition-like Effect',)",Unlimited,Unlimited,Ninjitsu Art Notebook,https://yugipedia.com/wiki/Ninjitsu_Art_Notebook,,2023-07-27 14:43:02,"('Any',)",,,,New
Number 45: Crumble Logos the Prophet of Demolition,29208536,"('Number', 'Number (Spell/Trap archetype)')","('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Number 45: Crumble Logos the Prophet of Demolition,https://yugipedia.com/wiki/Number_45:_Crumble_Logos_the_Prophet_of_Demolition,,2023-03-19 19:37:38,"('Any',)",Xyz Monster,0,2200,Old
Oracle of Zefra,32354768,"('Zefra',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Oracle of Zefra,https://yugipedia.com/wiki/Oracle_of_Zefra,,2023-03-19 20:59:08,"('Any',)",,,,Old
Performapal Extra Slinger,45591967,"('Performapal',)","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Performapal Extra Slinger,https://yugipedia.com/wiki/Performapal_Extra_Slinger,,2023-03-19 21:59:54,,Effect Monster,1100,800,Old
Performapal Gongato,09106362,"('Performapal',)","('Trigger Effect',)",Unlimited,Unlimited,Performapal Gongato,https://yugipedia.com/wiki/Performapal_Gongato,,2023-03-19 22:02:23,,Effect Monster,100,100,Old
Performapal Gumgumouton,08384771,"('Performapal',)","('Trigger Effect',)",Unlimited,Unlimited,Performapal Gumgumouton,https://yugipedia.com/wiki/Performapal_Gumgumouton,,2023-03-19 22:02:59,,Effect Monster,2400,900,Old
Performapal Inflater Tapir,71985676,"('Performapal',)","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Performapal Inflater Tapir,https://yugipedia.com/wiki/Performapal_Inflater_Tapir,,2023-03-19 22:04:33,,Effect Monster,2000,1000,Old
Predaplant Flytrap,96622984,"('Predap', 'Predaplant')","('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Predaplant Flytrap,https://yugipedia.com/wiki/Predaplant_Flytrap,,2023-03-19 23:23:52,,Effect Monster,800,400,New
Predaplant Pterapenthes,26308721,"('Predap', 'Predaplant')","('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Predaplant Pterapenthes,https://yugipedia.com/wiki/Predaplant_Pterapenthes,,2023-03-19 23:24:40,,Effect Monster,2100,300,New
Premature Return,95083785,,"('Cost', 'Effect')",Unlimited,Unlimited,Premature Return,https://yugipedia.com/wiki/Premature_Return,,2023-03-19 23:29:57,,,,,Old
Re-dyce-cle,85704698,,"('Effect', 'Quick-like Effect')",Unlimited,Unlimited,Re-dyce-cle,https://yugipedia.com/wiki/Re-dyce-cle,,2023-03-20 00:38:21,,,,,Old
Red Gardna,72318602,,"('Quick Effect',)",Unlimited,Unlimited,Red Gardna,https://yugipedia.com/wiki/Red_Gardna,,2023-03-20 00:48:23,,Effect Monster,2000,0,Old
Rescue Hedgehog,,"('Rescue Squad',)",,,Not yet released,Rescue Hedgehog,https://yugipedia.com/wiki/Rescue_Hedgehog,,2023-08-08 15:07:26,,Effect Monster,100,300,Old
Rescue Hedgehog,,"('Rescue Squad',)",,,Unlimited,Rescue Hedgehog,https://yugipedia.com/wiki/Rescue_Hedgehog,,2023-08-21 00:02:26,,Effect Monster,100,300,New
Ritual Beast Tamer Zefrawendi,23166823,"('Ritual Beast', 'Ritual Beast Tamer', 'Zefra')","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Ritual Beast Tamer Zefrawendi,https://yugipedia.com/wiki/Ritual_Beast_Tamer_Zefrawendi,,2023-03-20 05:58:16,,Effect Monster,1000,1500,Old
SPYRAL GEAR - Big Red,30979619,"('SPYRAL', 'SPYRAL GEAR')","('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,SPYRAL GEAR - Big Red,https://yugipedia.com/wiki/SPYRAL_GEAR_-_Big_Red,,2023-03-20 06:35:59,,,,,New
SPYRAL GEAR - Drone,04474060,"('SPYRAL', 'SPYRAL GEAR')","('Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,SPYRAL GEAR - Drone,https://yugipedia.com/wiki/SPYRAL_GEAR_-_Drone,,2023-06-19 20:59:42,"('Any',)",Effect Monster,100,100,New
Satellarknight Zefrathuban,96223501,"('Tellarknight', 'Zefra')","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Satellarknight Zefrathuban,https://yugipedia.com/wiki/Satellarknight_Zefrathuban,,2023-07-24 19:32:34,,Effect Monster,2100,0,Old
Slifer the Sky Dragon,,"('Egyptian God',)",,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-04-20 11:01:46,"('Type',)",,X000,X000,Old
Slifer the Sky Dragon,,"('Egyptian God',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-07-20 22:37:23,"('Type',)",Effect Monster,?,?,Old
Slifer the Sky Dragon,,"('Egyptian God',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-08-15 01:58:41,"('Type',)",Effect Monster,?,?,New
Slifer the Sky Dragon,,"('Egyptian God',)",,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-08-20 04:04:05,"('Type',)",,X000,X000,New
Speedlift,36730805,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Speedlift,https://yugipedia.com/wiki/Speedlift,,2023-07-25 08:34:20,,,,,New
Starving Venom Fusion Dragon,41209827,"('Four Dimensional Dragons', 'Fusion (archetype)', 'Fusion Dragon', 'Starving Venom', 'Venom')","('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Starving Venom Fusion Dragon,https://yugipedia.com/wiki/Starving_Venom_Fusion_Dragon,"('Alternate',)",2023-07-24 18:58:57,"('Any',)",Fusion Monster,2000,2800,New
Subterror Behemoth Stygokraken,65976795,"('Subterror', 'Subterror Behemoth')","('Condition', 'Flip effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Subterror Behemoth Stygokraken,https://yugipedia.com/wiki/Subterror_Behemoth_Stygokraken,,2023-03-20 10:45:32,,Effect Monster,2600,1400,New
Subterror Behemoth Umastryx,42713844,"('Subterror', 'Subterror Behemoth')","('Condition', 'Flip effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Subterror Behemoth Umastryx,https://yugipedia.com/wiki/Subterror_Behemoth_Umastryx,,2023-03-20 10:46:16,,Effect Monster,2700,2000,New
Super Koi Koi,66171432,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Super Koi Koi,https://yugipedia.com/wiki/Super_Koi_Koi,,2023-03-20 11:08:06,,,,,New
The Forceful Checkpoint,94861297,,"('Activation condition', 'Effect')",Unlimited,Unlimited,The Forceful Checkpoint,https://yugipedia.com/wiki/The_Forceful_Checkpoint,,2023-04-10 17:19:19,,,,,Old
The Suppression Pluto,24413299,"('Legendary Planet',)","('Ignition Effect',)",Unlimited,Unlimited,The Suppression Pluto,https://yugipedia.com/wiki/The_Suppression_Pluto,,2023-07-03 23:02:42,"('Any',)",Effect Monster,2000,2600,New
The White Stone of Ancients,71039903,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,The White Stone of Ancients,https://yugipedia.com/wiki/The_White_Stone_of_Ancients,,2023-03-20 14:47:33,"('Any',)",Effect Monster,500,600,Old
Totem Five,56346071,,"('Trigger Effect',)",Unlimited,Unlimited,Totem Five,https://yugipedia.com/wiki/Totem_Five,,2023-03-20 15:57:29,,Effect Monster,200,500,Old
Trap Hole of Spikes,75902998,"('Trap Hole (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Trap Hole of Spikes,https://yugipedia.com/wiki/Trap_Hole_of_Spikes,,2023-08-12 06:06:22,,,,,Old
Triamid Dancer,69529337,"('Triamid',)","('Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Triamid Dancer,https://yugipedia.com/wiki/Triamid_Dancer,,2023-03-20 16:26:08,,Effect Monster,1900,600,Old
Triamid Hunter,95923441,"('Triamid',)","('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,Triamid Hunter,https://yugipedia.com/wiki/Triamid_Hunter,,2023-03-20 16:26:30,,Effect Monster,1100,1400,Old
Triamid Pulse,96100333,"('Triamid',)","('Quick-like Effect',)",Unlimited,Unlimited,Triamid Pulse,https://yugipedia.com/wiki/Triamid_Pulse,,2019-12-06 19:03:31,,,,,Old
Tribute Burial,80230510,,"('Effect',)",Unlimited,Unlimited,Tribute Burial,https://yugipedia.com/wiki/Tribute_Burial,"('Edited',)",2023-03-20 16:29:59,"('Any',)",,,,New
"True King Agnimazud, the Vanisher",96746083,"('True Draco',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"True King Agnimazud, the Vanisher","https://yugipedia.com/wiki/True_King_Agnimazud,_the_Vanisher",,2023-08-08 15:46:14,"('Any',)",Effect Monster,1900,2900,Old
U.A. Turnover Tactics,61613388,"('U.A.',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,U.A. Turnover Tactics,https://yugipedia.com/wiki/U.A._Turnover_Tactics,,2023-03-20 17:19:18,,,,,Old
Unified Front,31472884,,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Unified Front,https://yugipedia.com/wiki/Unified_Front,,2023-03-20 17:45:32,,,,,Old
Union Hangar,66399653,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Union Hangar,https://yugipedia.com/wiki/Union_Hangar,,2023-05-10 10:33:41,"('Any',)",,,,New
Valmonica Scelta,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica Scelta,https://yugipedia.com/wiki/Valmonica_Scelta,,2023-08-16 13:06:25,,,,,New
Zap Mustung,29951323,,"('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,Zap Mustung,https://yugipedia.com/wiki/Zap_Mustung,,2023-08-02 10:32:15,,Effect Monster,1500,1600,Old
Zefra Divine Strike,35561352,"('Zefra',)","('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,Zefra Divine Strike,https://yugipedia.com/wiki/Zefra_Divine_Strike,,2023-03-20 21:10:03,,,,,Old
