Name,Archseries,Effect type,TCG Speed Duel status,Modification date,Character,Version
Awakening of the Sacred Beasts,"('Phantasm',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",Unlimited,2023-03-31 17:57:05,,New
Axe of Despair,"('Archfiend',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,2023-04-08 22:42:12,,New
Battle Survivor,,"('Condition', 'Trigger Effect')",Unlimited,2023-04-10 17:19:12,,New
Battle-Scarred,,"('Continuous-like Effect',)",Unlimited,2023-04-08 22:42:09,,New
Beasts of Phantom,,,Legal,2022-12-27 18:47:29,Yami Yugi,Old
Beasts of Phantom,"('Chimera (series)',)",,Legal,2023-04-20 02:59:04,Yami Yugi,New
Behemoth the King of All Animals,,"('Trigger Effect', 'Unclassified effect')",Unlimited,2022-04-07 16:40:04,,Old
Behemoth the King of All Animals,,"('Summoning condition', 'Trigger Effect')",Unlimited,2023-04-10 05:59:17,,New
Berfomet,,"('Trigger Effect',)",Unlimited,2021-11-07 09:25:09,,Old
Berfomet,"('Chimera (series)',)","('Trigger Effect',)",Unlimited,2023-04-20 15:44:21,,New
Bitelon,,"('Continuous Effect',)",Unlimited,2023-04-06 19:41:37,,New
Black Dragon's Chick,,"('Ignition Effect',)",Unlimited,2023-03-31 19:11:31,,New
Black Metal Dragon,,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-10 17:45:18,,New
"Brron, Mad King of Dark World","('Dark World',)","('Trigger Effect',)",Unlimited,2023-03-31 17:11:02,,New
Call of the Mummy,,"('Condition', 'Ignition-like Effect')",Unlimited,2023-03-31 19:00:15,,New
Cerulean Skyfire,"('Signature move',)","('Continuous-like Effect', 'Trigger Effect')",Unlimited,2023-03-31 18:00:06,,New
Chaos Trap Hole,"('Chaos', 'Hole')","('Activation condition', 'Cost', 'Effect')",Unlimited,2023-04-06 19:41:27,,New
Chaosrider Gustaph,"('Chaos', 'Rider')","('Ignition Effect',)",Unlimited,2023-04-08 22:42:06,,New
Checkmate,,"('Effect',)",Unlimited,2023-04-08 22:42:11,,New
Chimera the Flying Mythical Beast,"('Phantom Beast',)","('Condition', 'Trigger Effect')",Unlimited,2021-11-07 10:03:20,,Old
Chimera the Flying Mythical Beast,"('Chimera (series)', 'Phantom Beast')","('Condition', 'Trigger Effect')",Unlimited,2023-04-20 15:44:08,,New
Cloudian - Acid Cloud,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:06,,New
Cloudian - Altus,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:04,,New
Cloudian - Cirrostratus,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:03,,New
Cloudian - Eye of the Typhoon,"('Cloudian',)","('Continuous Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:06,,New
Cloudian - Ghost Fog,"('Cloudian',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-04-07 20:07:03,,New
Cloudian - Nimbusman,"('Cloudian',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-03-31 17:45:53,,New
Cloudian - Sheep Cloud,"('Cloudian',)","('Trigger Effect',)",Unlimited,2023-04-06 19:41:32,,New
Cloudian - Smoke Ball,"('Cloudian',)",,Unlimited,2023-04-07 20:07:03,,New
Cloudian - Storm Dragon,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,2023-04-07 20:07:02,,New
Cloudian - Turbulence,"('Cloudian',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:03,,New
Cloudian Aerosol,"('Cloudian',)","('Condition', 'Cost', 'Effect', 'Ignition-like Effect')",Unlimited,2023-04-07 20:07:00,,New
Cloudian Squall,"('Cloudian',)","('Trigger Effect',)",Unlimited,2023-04-07 20:07:00,,New
Cloudy Skies of Grey,,,Legal,2023-04-06 18:56:41,Adrian Gecko,New
Cold-Blooded Tactician,,,Legal,2023-04-06 18:57:35,Thelonious Viper,New
Consumed By Darkness,,,Legal,2022-09-01 18:33:32,Yubel,Old
Consumed By Darkness,,,Legal,2023-03-28 00:02:27,Yubel (character),New
Counter Cleaner,"('Counter (archetype)',)","('Effect',)",Unlimited,2023-04-06 19:41:28,,New
Curse of Aging,,"('Effect',)",Unlimited,2023-04-08 22:41:49,,New
D - Counter,,"('Activation condition', 'Effect')",Unlimited,2022-06-15 07:30:39,,Old
D - Counter,"('Counter (archetype)',)","('Activation condition', 'Effect')",Unlimited,2023-04-06 12:19:27,,New
D-Boyz,,"('Flip effect',)",Unlimited,2023-04-07 20:07:16,,New
D.D. Destroyer,"('D.D.',)","('Trigger Effect',)",Unlimited,2023-04-08 22:42:02,,New
D.D. Scout Plane,"('D.D.',)","('Trigger Effect',)",Unlimited,2023-04-08 22:42:04,,New
D.D. Survivor,"('D.D.',)","('Condition', 'Trigger Effect')",Unlimited,2023-04-08 22:42:04,,New
D.D.M. - Different Dimension Master,"('D.D.',)","('Ignition Effect',)",Unlimited,2023-04-08 22:42:03,,New
Dark Calling,,"('Condition', 'Effect')",Unlimited,2023-04-10 17:49:32,,New
Dark Creation,,,Legal,2023-04-06 18:57:50,Yubel (character),New
Dark Deal,,"('Activation condition', 'Cost', 'Effect')",Unlimited,2023-04-10 17:45:21,,New
Dark Fusion,"('Fusion (archetype)',)","('Effect', 'Lingering effect')",Not yet released,2023-02-21 12:03:05,,Old
Dark Fusion,"('Fusion (archetype)',)","('Effect', 'Lingering effect')",Unlimited,2023-03-31 19:19:08,,New
Dark Scorpion - Chick the Yellow,"('Dark Scorpion',)","('Trigger Effect',)",Unlimited,2023-04-06 19:41:44,,New
Dark Scorpion - Cliff the Trap Remover,"('Dark Scorpion',)","('Trigger Effect',)",Unlimited,2023-04-06 19:41:43,,New
Dark Summoning Beast,,"('Condition', 'Ignition Effect')",Unlimited,2023-03-31 18:03:19,,New
Dark Unity,,,Legal,2023-04-06 18:53:55,The Supreme King,New
Dark World Lightning,"('Dark World',)","('Effect',)",Unlimited,2023-03-31 19:18:05,,New
Darkbishop Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",Unlimited,2023-04-08 22:42:16,,New
Delicious Morsel!,,,Legal,2023-04-06 18:54:51,Camula,New
Desrook Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost', 'Quick Effect')",Unlimited,2023-04-08 22:42:15,,New
Diamond-Dust Cyclone,,"('Effect',)",Unlimited,2023-04-07 20:06:59,,New
Different Dimension Encounter,"('D.D.',)","('Activation condition', 'Effect')",Unlimited,2023-04-08 22:41:51,,New
Different Dimension Gate,"('D.D.',)","('Activation condition', 'Effect', 'Trigger Effect')",Unlimited,2023-04-07 20:07:12,,New
Diskblade Rider,"('Rider',)","('Ignition Effect',)",Unlimited,2023-04-08 22:42:05,,New
Double Spell,,"('Cost', 'Effect')",Unlimited,2023-04-08 22:42:10,,New
Dragon Force,,,Legal,2023-04-06 18:54:32,Nightshroud,New
Dragon's Gunfire,,"('Activation condition', 'Effect')",Unlimited,2023-04-10 17:45:13,,New
Dragon's Rage,,"('Continuous-like Effect',)",Unlimited,2023-04-10 17:45:10,,New
Dramatic Rescue,,"('Effect',)",Unlimited,2023-04-10 17:19:06,,New
Elemental HERO Shining Flare Wingman,"('Elemental HERO', 'HERO', 'Wingman')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-02-20 22:30:33,,Old
Elemental HERO Shining Flare Wingman,"('Elemental HERO', 'HERO', 'Wingman')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-04-06 19:41:32,,New
Evil HERO Dark Gaia,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-31 19:15:35,,New
Evil HERO Infernal Gainer,"('Evil HERO', 'HERO')","('Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-10 17:45:26,,New
Evil HERO Infernal Prodigy,"('Evil HERO', 'HERO')","('Trigger Effect', 'Unclassified effect')",Unlimited,2023-03-31 19:22:10,,New
Evil HERO Inferno Wing,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-31 19:15:59,,New
Evil HERO Lightning Golem,"('Evil HERO', 'HERO')","('Ignition Effect', 'Summoning condition')",Unlimited,2023-03-31 19:15:27,,New
Evil HERO Malicious Edge,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition')",Unlimited,2023-04-10 17:45:27,,New
Evil HERO Malicious Fiend,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition')",Not yet released,2023-02-21 03:48:12,,Old
Evil HERO Malicious Fiend,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition')",Unlimited,2023-03-31 19:16:18,,New
Evil HERO Wild Cyclone,"('Evil HERO', 'HERO')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-31 19:15:42,,New
Evil Mind,,"('Condition', 'Effect')",Unlimited,2023-03-31 19:18:11,,New
Fallen Paradise,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,2023-04-07 20:07:13,,New
Flash of the Forbidden Spell,,"('Effect',)",Unlimited,2023-04-06 19:41:27,,New
Fog Control,,"('Effect',)",Unlimited,2023-04-07 20:06:59,,New
Fog King,,"('Continuous Effect', 'Unclassified effect')",Not yet released,2023-02-20 22:17:27,,Old
Fog King,,"('Continuous Effect', 'Unclassified effect')",Unlimited,2023-04-07 20:07:07,,New
Fog Warning,,,Legal,2023-04-06 18:53:34,Adrian Gecko,New
Forged Steel,,,Legal,2023-04-06 18:34:04,Nightshroud,New
Gagagigo,"('Gigo',)",,Unlimited,2023-03-31 17:13:35,,New
Galaxy Cyclone,"('Galaxy',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-04-08 22:41:59,,New
Garuda the Wind Spirit,"('Attribute Spirit',)","('Summoning condition', 'Trigger Effect')",Unlimited,2023-04-06 19:41:33,,New
Gazelle the King of Mythical Beasts,"('Phantom Beast',)",,Unlimited,2023-01-03 19:37:28,,Old
Gazelle the King of Mythical Beasts,"('Chimera (series)', 'Phantom Beast')",,Unlimited,2023-04-20 15:44:18,,New
Giant Orc,,"('Continuous Effect',)",Unlimited,2023-04-08 22:42:15,,New
Goblin King,"('Goblin',)","('Continuous Effect',)",Unlimited,2023-04-07 20:07:14,,New
Golden Homunculus,,"('Continuous Effect',)",Not yet released,2023-02-20 22:11:36,,Old
Golden Homunculus,,"('Continuous Effect',)",Unlimited,2023-04-08 22:42:07,,New
Grand Convergence,,"('Activation condition', 'Effect')",Unlimited,2023-04-08 22:41:51,,New
Grave Protector,,"('Continuous Effect',)",Unlimited,2023-04-07 20:07:13,,New
Gravitic Orb,,"('Flip effect',)",Unlimited,2023-04-07 20:07:14,,New
Gren Maju Da Eiza,"('Maju',)","('Continuous Effect',)",Unlimited,2023-04-08 22:42:01,,New
Half Counter,"('Counter (archetype)',)","('Activation condition', 'Effect')",Unlimited,2023-04-10 17:19:04,,New
"Hamon, Lord of Striking Thunder","('Sacred Beast',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2022-12-01 14:59:05,,Old
"Hamon, Lord of Striking Thunder","('Sacred Beast',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-31 19:24:50,,New
Heavy Knight of the Flame,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:23,,New
Helios - The Primordial Sun,"('Helios',)","('Continuous Effect',)",Not yet released,2023-02-20 22:10:25,,Old
Helios - The Primordial Sun,"('Helios',)","('Continuous Effect',)",Unlimited,2023-04-08 22:42:07,,New
Helios Duo Megistus,"('Helios',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-06 19:41:32,,New
Helios Trice Megistus,"('Helios',)","('Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-06 19:41:32,,New
Human-Wave Tactics,,"('Quick-like Effect',)",Unlimited,2023-04-06 19:41:27,,New
Il Blud,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Not yet released,2023-02-20 22:26:43,,Old
Il Blud,,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,2023-04-06 19:41:36,,New
Imprisoned Queen Archfiend,"('Archfiend',)","('Condition', 'Maintenance cost', 'Trigger Effect')",Unlimited,2023-04-06 19:41:37,,New
Infernalqueen Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost', 'Trigger Effect')",Unlimited,2023-04-08 22:42:20,,New
Legendary Jujitsu Master,,"('Trigger Effect',)",Not yet released,2023-02-20 22:24:49,,Old
Legendary Jujitsu Master,,"('Trigger Effect',)",Unlimited,2023-04-06 19:41:37,,New
Luster Dragon,"('Gem Dragon',)",,Unlimited,2023-03-31 19:13:31,,New
Macro Cosmos,,"('Continuous-like Effect', 'Effect')",Not yet released,2023-02-20 22:13:48,,Old
Macro Cosmos,,"('Continuous-like Effect', 'Effect')",Unlimited,2023-04-08 22:41:51,,New
Mirage Dragon,,"('Continuous Effect',)",Unlimited,2023-03-31 19:10:47,,New
Mist Archfiend,"('Archfiend',)","('Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-08 22:42:15,,New
Mother Grizzly,"('Attribute Summoner',)","('Trigger Effect',)",Unlimited,2023-04-07 20:07:02,,New
No One Suspects the Dark Scorpion Gang!,"('Dark Scorpion',)",,Legal,2023-04-06 18:57:01,Don Zaloog (character),New
Obsidian Dragon,,"('Continuous Effect',)",Unlimited,2023-04-06 19:41:37,,New
Order of the Queen,,,Legal,2023-04-06 18:55:17,Tania,New
Pandemonium,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,2023-04-08 22:42:12,,New
Pharaoh's Servant,"('Sarcophagus',)",,Unlimited,2023-04-06 19:41:42,,New
Pharaonic Protector,"('Sarcophagus',)",,Unlimited,2023-04-06 19:41:41,,New
Plague Wolf,,"('Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-10 17:19:24,,New
Professor of Alchemy,,,Legal,2023-04-06 18:51:52,Lyman Banner,New
Queen's Pawn,,"('Effect',)",Unlimited,2023-04-10 17:19:05,,New
Raging Cloudian,,"('Effect',)",Unlimited,2023-04-07 20:06:58,,New
Rain Storm,,"('Effect',)",Unlimited,2023-04-07 20:06:59,,New
"Raviel, Lord of Phantasms","('Phantasm', 'Sacred Beast')","('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2022-09-22 23:23:24,,Old
"Raviel, Lord of Phantasms","('Phantasm', 'Sacred Beast')","('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-03-31 19:24:58,,New
Red-Eyes Darkness Dragon,"('-Eyes Dragon', 'Darkness (archetype)', 'Red-Eyes')","('Continuous Effect', 'Summoning condition')",Not yet released,2023-02-20 21:59:45,,Old
Red-Eyes Darkness Dragon,"('-Eyes Dragon', 'Darkness (archetype)', 'Red-Eyes')","('Continuous Effect', 'Summoning condition')",Unlimited,2023-03-31 19:14:56,,New
Red-Eyes Wyvern,"('Red-Eyes',)","('Condition', 'Trigger Effect')",Unlimited,2023-04-10 17:45:19,,New
"Reign-Beaux, Overlord of Dark World","('Dark World',)","('Trigger Effect',)",Unlimited,2023-04-12 06:32:46,,New
Ruthless Means,,,Legal,2023-04-06 18:33:11,The Supreme King,New
Ryu Kokki,,"('Trigger Effect',)",Unlimited,2023-04-10 17:19:24,,New
Sand Moth,,"('Trigger Effect',)",Unlimited,2023-04-10 17:45:25,,New
Setting Sun,,,Legal,2023-04-06 18:56:07,Lyman Banner,New
Shadowknight Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",Unlimited,2023-04-08 22:42:18,,New
Skull Archfiend of Lightning,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",Not yet released,2023-02-20 22:08:51,,Old
Skull Archfiend of Lightning,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",Unlimited,2023-04-08 22:42:21,,New
Spirit of the Pharaoh,"('Sarcophagus',)","('Summoning condition', 'Trigger Effect')",Unlimited,2023-04-06 19:41:42,,New
Summon Cloud,,"('Ignition-like Effect',)",Unlimited,2023-04-07 20:07:00,,New
Super Polymerization,"('Polymerization (archetype)',)","('Condition', 'Cost', 'Effect')",Not yet released,2023-02-20 21:55:11,,Old
Super Polymerization,"('Polymerization (archetype)',)","('Condition', 'Cost', 'Effect')",Unlimited,2023-03-31 19:17:56,,New
Swing of Memories,,"('Effect',)",Unlimited,2023-03-31 19:07:34,,New
Terrorking Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost', 'Summoning condition')",Unlimited,2023-04-08 22:42:19,,New
Terrorking Salmon,,,Unlimited,2023-03-31 16:46:51,,New
The First Sarcophagus,"('Sarcophagus',)","('Continuous-like Effect', 'Quick-like Effect')",Unlimited,2023-04-06 19:41:41,,New
The Second Sarcophagus,"('Sarcophagus',)","('Condition',)",Unlimited,2023-04-06 19:41:41,,New
The Third Sarcophagus,"('Sarcophagus',)","('Condition',)",Unlimited,2023-04-06 19:41:39,,New
Totem Dragon,,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:45:13,,New
Tribe-Shocking Virus,,"('Ignition Effect',)",Unlimited,2023-04-08 22:42:00,,New
Unending Nightmare,,"('Condition', 'Quick-like Effect')",Unlimited,2023-04-07 20:07:10,,New
Unlocking the Power,,,Legal,2023-04-06 18:52:13,Kagemaru,New
"Uria, Lord of Searing Flames","('Sacred Beast',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,2022-09-22 23:22:33,,Old
"Uria, Lord of Searing Flames","('Sacred Beast',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,2023-04-07 20:11:12,,New
Vampire Awakening,"('Vampire',)","('Condition', 'Effect')",Unlimited,2023-03-31 18:58:50,,New
Vampire Baby,"('Vampire',)","('Trigger Effect',)",Unlimited,2023-04-10 17:19:30,,New
Vampire Familiar,"('Vampire',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-03-31 19:04:01,,New
Vampire Genesis,"('Vampire',)","('Ignition Effect', 'Summoning condition')",Not yet released,2023-02-20 22:01:54,,Old
Vampire Genesis,"('Vampire',)","('Ignition Effect', 'Summoning condition')",Unlimited,2023-04-10 17:19:30,,New
Vampire Hunter,"('Vampire',)","('Trigger Effect',)",Not yet released,2023-02-20 22:28:10,,Old
Vampire Hunter,"('Vampire',)","('Trigger Effect',)",Unlimited,2023-04-06 19:41:34,,New
Vampire Lady,"('Vampire',)","('Trigger Effect',)",Unlimited,2023-04-10 17:19:28,,New
Vampire Retainer,"('Vampire',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-03-31 19:02:36,,New
Vampire Sorcerer,"('Vampire',)","('Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-10 17:19:24,,New
Vampire's Curse,"('Vampire',)","('Trigger Effect',)",Unlimited,2023-03-31 19:02:19,,New
Vampire's Desire,"('Vampire',)","('Condition', 'Effect')",Unlimited,2023-04-10 17:19:21,,New
Vampiric Aristocracy,,,Legal,2023-04-06 18:50:15,Camula,New
Vampiric Koala,"('Koala',)","('Trigger Effect',)",Unlimited,2023-04-06 19:41:30,,New
Vanguard of the Dragon,,"('Ignition Effect', 'Trigger Effect')",Unlimited,2023-04-10 17:45:15,,New
Versago the Destroyer,,"('Unclassified effect',)",Unlimited,2023-04-10 17:45:23,,New
Victory of the Shadow Riders,,,Legal,2023-04-06 18:56:22,Kagemaru,New
Vilepawn Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",Unlimited,2023-04-08 22:42:18,,New
Vortex Trooper,,"('Trigger Effect',)",Unlimited,2023-03-31 17:41:49,,New
Welcome to the Jungle,,,Legal,2023-04-06 18:50:39,Tania,New
"Zure, Knight of Dark World","('Dark World',)",,Unlimited,2023-03-31 17:11:12,,New
