Name,Archseries,Artwork,Modification date,Errata,Version
Dark Magician,,"('Alternate',)",2023-06-22 14:22:28,"('Name', 'Type')",Old
Lullalabind,"('Psychic Musician',)",,2023-09-03 03:36:14,,New
Magical Stone Excavation,,,2023-03-19 14:32:12,"('Any',)",Old
Magical Stone Excavation,,"('Alternate',)",2023-09-01 06:41:57,"('Any',)",New
Node of Legend,,,2023-09-01 21:15:38,,New
Red-Eyes Black Dragon,"('Red-Eyes (Rush Duel)',)","('Alternate',)",2023-08-17 17:59:46,"('Name', 'Type')",New
Shinesteel Ultra Dragon Devastar Okeabyss,"('Abysskite',)",,2023-08-09 09:28:03,,Old
Shinesteel Ultra Dragon Devastar Okeabyss,,,2023-08-29 17:55:22,,New
Shinesteel Ultra Dragon Devastar Okeabyss [L],"('Abysskite',)",,2023-08-09 09:28:00,,Old
Shinesteel Ultra Dragon Devastar Okeabyss [L],,,2023-08-29 17:57:08,,New
Shinesteel Ultra Dragon Devastar Okeabyss [R],"('Abysskite',)",,2023-08-09 09:28:06,,Old
Shinesteel Ultra Dragon Devastar Okeabyss [R],,,2023-08-29 17:58:26,,New
Straynge Cat Magician,,,2023-09-02 12:04:07,,New
Worm Drake,,,2023-08-11 00:01:33,,Old
Worm Drake,,,2023-08-11 00:01:33,"('Type',)",New
