Card number,Name,Rarity,Print,Modification date,Release,Version
SD46-JP009,,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP010,,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP011,Red Sprinter,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP012,Red Warg,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP013,Wandering King Wildwind,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP014,Phantom King Hydride,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP015,Magical King Moonstar,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP016,,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP017,Red Dragon Archfiend/Assault Mode,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP018,Assault Beast,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP019,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP020,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP021,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP022,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP023,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP024,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP025,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP026,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP027,Resonator Engine,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP028,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP029,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP030,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP031,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP032,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP033,Red Zone,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JP034,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP035,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP036,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP037,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP038,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP039,Assault Mode Activate,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP040,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP041,Scarlight Red Dragon Archfiend,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP042,Hot Red Dragon Archfiend Abyss,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP043,Hot Red Dragon Archfiend Bane,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP044,,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Powerful Rebirth,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Soul Resonator,,New,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Bone Archfiend,,New,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Dark Resonator,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Creation Resonator,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Synkron Resonator,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Vice Dragon,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Battle Fader,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Resonator Call,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JP0??,Soul Resonator,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Dark Resonator,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Creation Resonator,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Synkron Resonator,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Bone Archfiend,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Battle Fader,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Resonator Call,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Powerful Rebirth,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP0??,Vice Dragon,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JPP0?,Red Nova Dragon,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JPP0?,Scar-Red Dragon Archfiend,,New,2023-04-13 06:19:56,2023-06-24,Old
SD46-JPP0?,Red Dragon Archfiend,,Reprint,2023-04-13 06:19:56,2023-06-24,Old
SD46-JPP0?,Red Nova Dragon,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JPP0?,Red Dragon Archfiend,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JPP0?,Scar-Red Dragon Archfiend,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JPS01,King of All,"('Super Rare',)",,2023-05-12 05:34:16,2023-06-24,New
