Name,Legend,Maximum mode,Modification date,Version
Amabie,True,True,2022-06-18 10:58:52,Old
Amabie,False,False,2022-06-18 10:58:52,New
Amazing Dealer,True,True,2022-10-10 09:09:33,Old
Amazing Dealer,False,False,2022-10-10 09:09:33,New
Ampler Glee,True,True,2023-02-04 14:26:12,Old
Ampler Glee,False,False,2023-02-04 14:26:12,New
Amusi Howling Performer,True,True,2022-10-31 18:44:31,Old
Amusi Howling Performer,False,False,2022-10-31 18:44:31,New
Amusi Performer,True,True,2022-12-26 02:42:45,Old
Amusi Performer,False,False,2022-12-26 02:42:45,New
Analyze Phlogiston,True,True,2022-12-21 09:57:35,Old
Analyze Phlogiston,False,False,2022-12-21 09:57:35,New
Anchor Moray,True,True,2022-10-20 07:36:23,Old
Anchor Moray,False,False,2022-10-20 07:36:23,New
Anciant Barrier,True,True,2022-09-21 05:40:05,Old
Anciant Barrier,False,False,2022-09-21 05:40:05,New
Ancient Arise Dragon,True,True,2022-10-20 07:37:31,Old
Ancient Arise Dragon,False,False,2022-10-20 07:37:31,New
Ancient Arrive Dragon,True,True,2022-09-25 02:59:58,Old
Ancient Arrive Dragon,False,False,2022-09-25 02:59:58,New
Ancient Barrier,True,True,2022-09-25 03:04:40,Old
Ancient Barrier,False,False,2022-09-25 03:04:40,New
Ancient Lizard Warrior,True,True,2022-09-21 05:42:22,Old
Ancient Lizard Warrior,False,False,2022-09-21 05:42:22,New
Ancient Rules,True,True,2022-10-10 09:09:49,Old
Ancient Rules,False,False,2022-10-10 09:09:49,New
Ancient Telescope,True,True,2022-04-23 23:54:00,Old
Ancient Telescope,False,False,2022-04-23 23:54:00,New
Ancient Turtle Protector,True,True,2022-09-21 03:14:04,Old
Ancient Turtle Protector,False,False,2022-09-21 03:14:04,New
Angel Judge,True,True,2022-10-30 07:46:24,Old
Angel Judge,False,False,2022-10-30 07:46:24,New
Anglered Digra,True,True,2022-09-21 05:38:27,Old
Anglered Digra,False,False,2022-09-21 05:38:27,New
Anmagmabear,True,True,2023-01-03 23:14:29,Old
Anmagmabear,False,False,2023-01-03 23:14:29,New
Ansler the Magical Swordsman,True,True,2021-12-03 03:36:03,Old
Ansler the Magical Swordsman,False,False,2021-12-03 03:36:03,New
Antiberty Flag,True,True,2022-10-20 07:18:05,Old
Antiberty Flag,False,False,2022-10-20 07:18:05,New
Antrebellion of the Rebellion,True,True,2022-10-20 07:20:56,Old
Antrebellion of the Rebellion,False,False,2022-10-20 07:20:56,New
Ants Running About,True,True,2022-10-20 07:23:45,Old
Ants Running About,False,False,2022-10-20 07:23:45,New
Apocalypse - Beast Gear World,True,True,2022-09-25 03:05:23,Old
Apocalypse - Beast Gear World,False,False,2022-09-25 03:05:23,New
Apocalypse - Legend of the Warrior,True,True,2022-10-20 07:19:21,Old
Apocalypse - Legend of the Warrior,False,False,2022-10-20 07:19:21,New
Apocalypse - The Unstoppable Beast-Warrior,True,True,2022-12-14 22:50:59,Old
Apocalypse - The Unstoppable Beast-Warrior,False,False,2022-12-14 22:50:59,New
Applizard,True,True,2022-12-21 09:37:45,Old
Applizard,False,False,2022-12-21 09:37:45,New
Aqua Boost,True,True,2022-10-20 07:34:56,Old
Aqua Boost,False,False,2022-10-20 07:34:56,New
Aqua Sorcerer,True,True,2022-09-20 11:22:00,Old
Aqua Sorcerer,False,False,2022-09-20 11:22:00,New
Archfiend Marmot of Deliciousness,True,True,2022-12-27 14:32:41,Old
Archfiend Marmot of Deliciousness,False,False,2022-12-27 14:32:41,New
Archfiend Marmot of Nefaribousness,True,True,2022-09-21 05:35:39,Old
Archfiend Marmot of Nefaribousness,False,False,2022-09-21 05:35:39,New
Archfiend Marmot of Nefariousness,True,True,2022-04-10 15:58:12,Old
Archfiend Marmot of Nefariousness,False,False,2022-04-10 15:58:12,New
Archfiend Soldier,True,True,2022-12-21 09:03:19,Old
Archfiend Soldier,True,False,2022-12-21 09:03:19,New
Archfiend Warrior,True,True,2023-02-17 11:57:55,Old
Archfiend Warrior,False,False,2023-02-17 11:57:55,New
Archfiend's Revival,True,True,2022-11-02 17:18:23,Old
Archfiend's Revival,False,False,2022-11-02 17:18:23,New
Archfiend's Summoning Flute,True,True,2023-01-03 23:15:47,Old
Archfiend's Summoning Flute,False,False,2023-01-03 23:15:47,New
Area 33,True,True,2022-11-17 12:07:41,Old
Area 33,False,False,2022-11-17 12:07:41,New
Arma Knight,True,True,2022-09-21 03:03:38,Old
Arma Knight,False,False,2022-09-21 03:03:38,New
Armaments of Ascension,True,True,2023-02-04 14:18:09,Old
Armaments of Ascension,False,False,2023-02-04 14:18:09,New
Armored Lizard,True,True,2022-09-21 05:44:42,Old
Armored Lizard,False,False,2022-09-21 05:44:42,New
Aromagmabear,True,True,2022-10-20 07:20:44,Old
Aromagmabear,False,False,2022-10-20 07:20:44,New
Arts Angel CD Fender,True,True,2023-02-04 14:26:42,Old
Arts Angel CD Fender,False,False,2023-02-04 14:26:42,New
Arts Angel Dia Needle,True,True,2023-02-04 14:25:50,Old
Arts Angel Dia Needle,False,False,2023-02-04 14:25:50,New
Arts Angel Glyco Razer,True,True,2023-02-04 14:26:48,Old
Arts Angel Glyco Razer,False,False,2023-02-04 14:26:48,New
Arts Angel Guard Dolby,True,True,2023-02-04 14:26:54,Old
Arts Angel Guard Dolby,False,False,2023-02-04 14:26:54,New
Arts Angel Metal Position,True,True,2023-02-04 14:25:44,Old
Arts Angel Metal Position,False,False,2023-02-04 14:25:44,New
Arzareth the Sweeping Wind,True,True,2022-09-21 05:41:23,Old
Arzareth the Sweeping Wind,False,False,2022-09-21 05:41:23,New
Asbolus the Star Knight,True,True,2022-12-29 13:31:11,Old
Asbolus the Star Knight,False,False,2022-12-29 13:31:11,New
Ascending Evolution,True,True,2022-10-30 07:49:39,Old
Ascending Evolution,False,False,2022-10-30 07:49:39,New
Asport Pirate the Wind Crusher,True,True,2023-02-04 14:23:54,Old
Asport Pirate the Wind Crusher,False,False,2023-02-04 14:23:54,New
Assault Armato,True,True,2022-09-21 05:28:37,Old
Assault Armato,False,False,2022-09-21 05:28:37,New
Asteroeva,True,True,2022-12-21 09:16:34,Old
Asteroeva,False,False,2022-12-21 09:16:34,New
Astrobio Drake,True,True,2023-01-21 16:38:04,Old
Astrobio Drake,False,False,2023-01-21 16:38:04,New
Astrorescue,True,True,2022-09-21 05:31:51,Old
Astrorescue,False,False,2022-09-21 05:31:51,New
Astrosoldier,True,True,2023-02-04 14:26:06,Old
Astrosoldier,False,False,2023-02-04 14:26:06,New
Atlas Combat Beetle,True,True,2022-09-21 05:43:32,Old
Atlas Combat Beetle,False,False,2022-09-21 05:43:32,New
Attolashoot Highdron,True,True,2022-09-25 03:00:23,Old
Attolashoot Highdron,False,False,2022-09-25 03:00:23,New
Attribute Shift Bomb,True,True,2022-09-21 03:36:31,Old
Attribute Shift Bomb,False,False,2022-09-21 03:36:31,New
Attron,True,True,2023-01-03 23:09:37,Old
Attron,False,False,2023-01-03 23:09:37,New
Auto Reverse,True,True,2023-02-04 14:20:05,Old
Auto Reverse,False,False,2023-02-04 14:20:05,New
Avian Spell Strategy,True,True,2022-09-21 05:36:15,Old
Avian Spell Strategy,False,False,2022-09-21 05:36:15,New
Baby Dragon,True,True,2022-09-21 04:55:27,Old
Baby Dragon,False,False,2022-09-21 04:55:27,New
Babysitter Goat,True,True,2022-04-23 21:03:02,Old
Babysitter Goat,False,False,2022-04-23 21:03:02,New
Back Beat,True,True,2022-09-21 05:30:02,Old
Back Beat,False,False,2022-09-21 05:30:02,New
Back Jersey,True,True,2023-02-04 14:17:39,Old
Back Jersey,False,False,2023-02-04 14:17:39,New
Back To The Fusion,True,True,2023-01-21 14:37:05,Old
Back To The Fusion,False,False,2023-01-21 14:37:05,New
Bait Bite Ball,True,True,2022-10-20 07:34:03,Old
Bait Bite Ball,False,False,2022-10-20 07:34:03,New
Baked Bean Soldier,True,True,2022-09-21 05:40:22,Old
Baked Bean Soldier,False,False,2022-09-21 05:40:22,New
Bandijo of the Battle Ballad,True,True,2023-02-04 14:23:46,Old
Bandijo of the Battle Ballad,False,False,2023-02-04 14:23:46,New
Barbeque Ox,True,True,2022-12-27 14:38:01,Old
Barbeque Ox,False,False,2022-12-27 14:38:01,New
Barrel Dragon,True,True,2023-01-31 21:13:20,Old
Barrel Dragon,True,False,2023-01-31 21:13:20,New
Barrier Armordillo,True,True,2022-04-24 00:06:22,Old
Barrier Armordillo,False,False,2022-04-24 00:06:22,New
Barrier Statue of the Inferno,True,True,2022-12-21 09:45:40,Old
Barrier Statue of the Inferno,False,False,2022-12-21 09:45:40,New
Bascule the Moving Fortress,True,True,2022-09-20 11:23:04,Old
Bascule the Moving Fortress,False,False,2022-09-20 11:23:04,New
Battle Demotion,True,True,2022-12-21 09:25:21,Old
Battle Demotion,False,False,2022-12-21 09:25:21,New
Battle Shark Samegalon,True,True,2022-09-21 03:11:27,Old
Battle Shark Samegalon,False,False,2022-09-21 03:11:27,New
Bean Soldier,True,True,2022-04-20 07:23:18,Old
Bean Soldier,False,False,2022-04-20 07:23:18,New
Bean Soljersey,True,True,2023-02-04 14:26:34,Old
Bean Soljersey,False,False,2023-02-04 14:26:34,New
Beast Battlefield Barrier,True,True,2022-09-21 05:31:26,Old
Beast Battlefield Barrier,False,False,2022-09-21 05:31:26,New
Beast Drive Mega Elephant,True,True,2022-09-21 05:34:30,Old
Beast Drive Mega Elephant,False,False,2022-09-21 05:34:30,New
Beast Gear Buggy Dog,True,True,2022-09-21 03:46:51,Old
Beast Gear Buggy Dog,False,False,2022-09-21 03:46:51,New
Beast Gear Emperor Catapult Kong,True,True,2022-09-21 03:45:12,Old
Beast Gear Emperor Catapult Kong,False,False,2022-09-21 03:45:12,New
Beast Gear Emperor Glider Fox,True,True,2022-11-26 13:43:18,Old
Beast Gear Emperor Glider Fox,False,False,2022-11-26 13:43:18,New
Beast Gear Gyro Jackal,True,True,2022-09-21 03:46:01,Old
Beast Gear Gyro Jackal,False,False,2022-09-21 03:46:01,New
Beast Gear King Convoy Liogon,True,True,2022-10-20 07:36:40,Old
Beast Gear King Convoy Liogon,False,False,2022-10-20 07:36:40,New
Beast Gear Moto Wolf,True,True,2022-09-21 03:47:19,Old
Beast Gear Moto Wolf,False,False,2022-09-21 03:47:19,New
Beast Gear Sage Roller Stag,True,True,2022-11-17 12:10:07,Old
Beast Gear Sage Roller Stag,False,False,2022-11-17 12:10:07,New
Beast Gear Secret Art - Primal Fist,True,True,2022-09-21 05:44:38,Old
Beast Gear Secret Art - Primal Fist,False,False,2022-09-21 05:44:38,New
Beast Gear Side Fennec,True,True,2023-02-04 14:23:32,Old
Beast Gear Side Fennec,False,False,2023-02-04 14:23:32,New
Beast Gear Trike Fox,True,True,2022-10-20 07:36:56,Old
Beast Gear Trike Fox,False,False,2022-10-20 07:36:56,New
Beast Summoner,True,True,2022-10-20 07:09:16,Old
Beast Summoner,False,False,2022-10-20 07:09:16,New
Beast Swords - Tiger Sabre,True,True,2023-02-04 14:18:16,Old
Beast Swords - Tiger Sabre,False,False,2023-02-04 14:18:16,New
Beaver Warrior,True,True,2022-09-25 03:03:35,Old
Beaver Warrior,False,False,2022-09-25 03:03:35,New
Begonia the Pressed Shadow Flower,True,True,2022-10-09 13:32:41,Old
Begonia the Pressed Shadow Flower,False,False,2022-10-09 13:32:41,New
Behemoth the King of All Animals,True,True,2023-02-15 13:22:38,Old
Behemoth the King of All Animals,True,False,2023-02-15 13:22:38,New
Bendorbreak the Conqueror,True,True,2022-10-20 07:38:11,Old
Bendorbreak the Conqueror,False,False,2022-10-20 07:38:11,New
Berceptacle Mani,True,True,2021-12-10 23:48:32,Old
Berceptacle Mani,False,False,2021-12-10 23:48:32,New
Berry Bassist,True,True,2022-04-20 02:46:18,Old
Berry Bassist,False,False,2022-04-20 02:46:18,New
Berry Fresh Happiness,True,True,2022-11-17 12:10:01,Old
Berry Fresh Happiness,False,False,2022-11-17 12:10:01,New
Berserker Colosseum,True,True,2022-12-21 09:40:19,Old
Berserker Colosseum,False,False,2022-12-21 09:40:19,New
Best Bite,True,True,2022-12-25 10:46:57,Old
Best Bite,False,False,2022-12-25 10:46:57,New
Beta Burn Dragon,True,True,2022-12-21 09:37:38,Old
Beta Burn Dragon,False,False,2022-12-21 09:37:38,New
Betrayer of Peace,True,True,2022-09-21 05:33:04,Old
Betrayer of Peace,False,False,2022-09-21 05:33:04,New
Big Bang Egger,True,True,2022-09-12 09:29:47,Old
Big Bang Egger,False,False,2022-09-12 09:29:47,New
Big Umi,True,True,2022-10-20 07:34:46,Old
Big Umi,False,False,2022-10-20 07:34:46,New
Binding Chain,True,True,2022-09-21 03:13:55,Old
Binding Chain,False,False,2022-09-21 03:13:55,New
Bio Mechamantis,True,True,2022-09-21 05:43:21,Old
Bio Mechamantis,False,False,2022-09-21 05:43:21,New
Bizarrmor,True,True,2023-01-21 19:05:39,Old
Bizarrmor,False,False,2023-01-21 19:05:39,New
Black Dragon's Chick,True,True,2022-09-25 03:04:22,Old
Black Dragon's Chick,False,False,2022-09-25 03:04:22,New
Black Dragon's Roar,True,True,2022-09-25 03:05:34,Old
Black Dragon's Roar,False,False,2022-09-25 03:05:34,New
Black Handshaker,True,True,2022-09-21 05:37:58,Old
Black Handshaker,False,False,2022-09-21 05:37:58,New
Black Luster Jersey Ritual,True,True,2023-02-04 14:19:58,Old
Black Luster Jersey Ritual,False,False,2023-02-04 14:19:58,New
Black Luster Soljersey,True,True,2023-02-04 14:26:28,Old
Black Luster Soljersey,False,False,2023-02-04 14:26:28,New
Black Luster Soljersey - Envoy of the Drying,True,True,2023-02-04 14:25:11,Old
Black Luster Soljersey - Envoy of the Drying,False,False,2023-02-04 14:25:11,New
Bladearmor King Dynas Dorcus,True,True,2022-09-21 05:32:37,Old
Bladearmor King Dynas Dorcus,False,False,2022-09-21 05:32:37,New
Blades of Divine Wind,True,True,2022-09-21 03:37:16,Old
Blades of Divine Wind,False,False,2022-09-21 03:37:16,New
Bladesaurus,True,True,2022-09-21 05:42:10,Old
Bladesaurus,False,False,2022-09-21 05:42:10,New
Blanc de Blanc the Snow Shadow Flower,True,True,2023-02-04 14:26:23,Old
Blanc de Blanc the Snow Shadow Flower,False,False,2023-02-04 14:26:23,New
Blast Examiner,True,True,2022-12-14 15:42:26,Old
Blast Examiner,False,False,2022-12-14 15:42:26,New
Blast Jaws,True,True,2022-09-21 05:28:10,Old
Blast Jaws,False,False,2022-09-21 05:28:10,New
Blasting Bird,True,True,2022-09-21 05:37:49,Old
Blasting Bird,False,False,2022-09-21 05:37:49,New
Blaze Fiend Assault,True,True,2023-01-21 14:41:53,Old
Blaze Fiend Assault,False,False,2023-01-21 14:41:53,New
Blaze Fiend Overlords Beelucitaroth,True,True,2022-11-26 12:31:26,Old
Blaze Fiend Overlords Beelucitaroth,False,True,2022-11-26 12:31:26,New
Blaze Fiend Overlords Beelucitaroth [L],True,True,2022-11-26 12:31:15,Old
Blaze Fiend Overlords Beelucitaroth [L],False,True,2022-11-26 12:31:15,New
Blaze Fiend Overlords Beelucitaroth [R],True,True,2022-11-26 12:32:09,Old
Blaze Fiend Overlords Beelucitaroth [R],False,True,2022-11-26 12:32:09,New
Blazing Chestnut,True,True,2022-09-21 05:01:02,Old
Blazing Chestnut,False,False,2022-09-21 05:01:02,New
Bleach Mortar,True,True,2022-12-21 09:54:26,Old
Bleach Mortar,False,False,2022-12-21 09:54:26,New
Blitzkrieg Cavalry Triggerdrago,True,True,2022-09-21 05:41:56,Old
Blitzkrieg Cavalry Triggerdrago,False,False,2022-09-21 05:41:56,New
Block Attack,True,True,2022-12-21 09:24:20,Old
Block Attack,False,False,2022-12-21 09:24:20,New
Blue Falcon Tengu,True,True,2022-04-23 23:40:13,Old
Blue Falcon Tengu,False,False,2022-04-23 23:40:13,New
Blue Medicine,True,True,2022-09-21 03:48:55,Old
Blue Medicine,False,False,2022-09-21 03:48:55,New
Blue-Eyed Silver Zombie,True,True,2022-12-21 09:53:36,Old
Blue-Eyed Silver Zombie,False,False,2022-12-21 09:53:36,New
Blue-Eyes White Cat,True,True,2022-10-30 07:36:56,Old
Blue-Eyes White Cat,False,False,2022-10-30 07:36:56,New
Blue-Eyes White Dragon,True,True,2023-01-31 16:37:12,Old
Blue-Eyes White Dragon,True,False,2023-01-31 16:37:12,New
Blue-Tooth Burst Dragon,True,True,2022-12-21 09:57:30,Old
Blue-Tooth Burst Dragon,False,False,2022-12-21 09:57:30,New
Bluegrass Stealer,True,True,2023-02-04 14:24:34,Old
Bluegrass Stealer,False,False,2023-02-04 14:24:34,New
Bobble Header,True,True,2022-12-27 11:48:26,Old
Bobble Header,False,False,2022-12-27 11:48:26,New
Bombing Bird,True,True,2022-09-21 05:37:37,Old
Bombing Bird,False,False,2022-09-21 05:37:37,New
Bonded Bowing,True,True,2022-04-23 23:38:15,Old
Bonded Bowing,False,False,2022-04-23 23:38:15,New
Boost Rescue,True,True,2022-11-17 12:06:00,Old
Boost Rescue,False,False,2022-11-17 12:06:00,New
Boosturtle,True,True,2022-12-10 20:47:55,Old
Boosturtle,False,False,2022-12-10 20:47:55,New
Bowing Brotherhood,True,True,2022-12-23 14:38:45,Old
Bowing Brotherhood,False,False,2022-12-23 14:38:45,New
Brain Harvester,True,True,2023-02-04 14:23:18,Old
Brain Harvester,False,False,2023-02-04 14:23:18,New
Brassaxophone the Music Princess,True,True,2022-10-20 07:24:13,Old
Brassaxophone the Music Princess,False,False,2022-10-20 07:24:13,New
Breaking News!,True,True,2023-01-16 00:49:16,Old
Breaking News!,False,False,2023-01-16 00:49:16,New
Bright Sentinel,True,True,2022-12-21 09:15:38,Old
Bright Sentinel,False,False,2022-12-21 09:15:38,New
Brocoohearted Pigeon,True,True,2022-09-21 05:30:44,Old
Brocoohearted Pigeon,False,False,2022-09-21 05:30:44,New
Brutal Retribution,True,True,2022-09-21 02:58:26,Old
Brutal Retribution,False,False,2022-09-21 02:58:26,New
Bubble Kingdom,True,True,2023-01-31 20:49:09,Old
Bubble Kingdom,False,False,2023-01-31 20:49:09,New
Bubbleburst Shock!,True,True,2023-01-17 13:24:01,Old
Bubbleburst Shock!,False,False,2023-01-17 13:24:01,New
Bubbly Elf,True,True,2022-09-21 03:42:35,Old
Bubbly Elf,False,False,2022-09-21 03:42:35,New
Buffered Slime,True,True,2023-01-21 14:53:18,Old
Buffered Slime,False,False,2023-01-21 14:53:18,New
Bull Breaker,True,True,2022-09-21 05:31:14,Old
Bull Breaker,False,False,2022-09-21 05:31:14,New
Buried Shield,True,True,2023-01-10 18:58:07,Old
Buried Shield,False,False,2023-01-10 18:58:07,New
Burning Blaze Dragon,True,True,2022-10-20 07:37:35,Old
Burning Blaze Dragon,False,False,2022-10-20 07:37:35,New
Burst Breath of Destruction,True,True,2021-12-04 23:09:24,Old
Burst Breath of Destruction,False,False,2021-12-04 23:09:24,New
Burst Stream of Destruction,True,True,2022-09-25 03:02:29,Old
Burst Stream of Destruction,False,False,2022-09-25 03:02:29,New
Burstray Gunman,True,True,2022-12-21 09:52:41,Old
Burstray Gunman,False,False,2022-12-21 09:52:41,New
Business Card Barrage,True,True,2022-12-25 17:42:36,Old
Business Card Barrage,False,False,2022-12-25 17:42:36,New
Buster Blader,True,True,2023-02-17 12:05:34,Old
Buster Blader,True,False,2023-02-17 12:05:34,New
B・B・Q,True,True,2022-12-25 10:55:38,Old
B・B・Q,False,False,2022-12-25 10:55:38,New
CAN - I:D,True,True,2022-11-26 13:41:14,Old
CAN - I:D,False,False,2022-11-26 13:41:14,New
CAN - Melo:D,True,True,2022-09-25 03:00:05,Old
CAN - Melo:D,False,False,2022-09-25 03:00:05,New
CAN - Re:D,True,True,2022-10-20 07:05:47,Old
CAN - Re:D,False,False,2022-10-20 07:05:47,New
CAN - Sp:D,True,True,2022-10-20 07:05:40,Old
CAN - Sp:D,False,False,2022-10-20 07:05:40,New
CAN:D,True,True,2022-10-20 07:03:49,Old
CAN:D,False,False,2022-10-20 07:03:49,New
CAN:D ALL,True,True,2022-10-31 18:44:12,Old
CAN:D ALL,False,False,2022-10-31 18:44:12,New
CAN:D LIVE,True,True,2023-01-31 20:23:37,Old
CAN:D LIVE,False,False,2023-01-31 20:23:37,New
Call of the Earthbound,True,True,2022-09-21 02:56:59,Old
Call of the Earthbound,False,False,2022-09-21 02:56:59,New
Cannon Soldier,True,True,2022-04-23 01:15:52,Old
Cannon Soldier,False,False,2022-04-23 01:15:52,New
Cannon Soljersey,True,True,2023-02-04 14:25:18,Old
Cannon Soljersey,False,False,2023-02-04 14:25:18,New
Captain #39: Home Plate Pinch Hitter,True,True,2022-12-31 01:19:33,Old
Captain #39: Home Plate Pinch Hitter,False,False,2022-12-31 01:19:33,New
Card Destruction,True,True,2022-09-12 09:32:04,Old
Card Destruction,True,False,2022-09-12 09:32:04,New
Card Devastation,True,True,2022-09-21 05:24:25,Old
Card Devastation,False,False,2022-09-21 05:24:25,New
Card Reprint,True,True,2023-01-30 10:33:28,Old
Card Reprint,False,False,2023-01-30 10:33:28,New
Carpendra,True,True,2022-12-21 09:23:09,Old
Carpendra,False,False,2022-12-21 09:23:09,New
Cat Claw Girl,True,True,2023-01-29 17:14:29,Old
Cat Claw Girl,False,False,2023-01-29 17:14:29,New
Cat's Eye,True,True,2022-10-30 07:36:47,Old
Cat's Eye,False,False,2022-10-30 07:36:47,New
Caught in the Rain,True,True,2022-11-17 12:08:17,Old
Caught in the Rain,False,False,2022-11-17 12:08:17,New
Celebrontosaurus,True,True,2022-12-10 20:37:03,Old
Celebrontosaurus,False,False,2022-12-10 20:37:03,New
Celtic Guardian,True,True,2022-10-20 07:42:57,Old
Celtic Guardian,False,False,2022-10-20 07:42:57,New
Centennial Wooden Blade,True,True,2022-12-19 09:33:24,Old
Centennial Wooden Blade,False,False,2022-12-19 09:33:24,New
Change of Dessert,True,True,2023-01-19 02:20:21,Old
Change of Dessert,False,False,2023-01-19 02:20:21,New
Chashooting Star,True,True,2022-12-21 09:47:49,Old
Chashooting Star,False,False,2022-12-21 09:47:49,New
Chemical Cure Blue,True,True,2022-10-20 07:04:54,Old
Chemical Cure Blue,False,False,2022-10-20 07:04:54,New
Chemical Cure Purple,True,True,2023-01-05 22:50:19,Old
Chemical Cure Purple,False,False,2023-01-05 22:50:19,New
Chemical Cure Red,True,True,2023-01-05 22:50:32,Old
Chemical Cure Red,False,False,2023-01-05 22:50:32,New
Chemicalize Salamander,True,True,2023-01-04 11:47:56,Old
Chemicalize Salamander,False,False,2023-01-04 11:47:56,New
Chemicalizer Red,True,True,2023-02-04 14:20:33,Old
Chemicalizer Red,False,False,2023-02-04 14:20:33,New
Cheron the Star Knight,True,True,2022-09-21 05:46:14,Old
Cheron the Star Knight,False,False,2022-09-21 05:46:14,New
Chromatographicus,True,True,2023-01-21 13:51:43,Old
Chromatographicus,False,False,2023-01-21 13:51:43,New
Chu-Ske the Mouse Fighter,True,True,2022-10-20 07:39:24,Old
Chu-Ske the Mouse Fighter,False,False,2022-10-20 07:39:24,New
Ciela the Skysavior Knight,True,True,2023-01-21 14:12:05,Old
Ciela the Skysavior Knight,False,False,2023-01-21 14:12:05,New
Cintamani of Saturnius,True,True,2022-11-26 13:53:15,Old
Cintamani of Saturnius,False,False,2022-11-26 13:53:15,New
Cladsoul Dragon Gaigias,True,True,2022-08-17 09:42:16,Old
Cladsoul Dragon Gaigias,False,False,2022-08-17 09:42:16,New
Clapping Thunder,True,True,2022-09-21 05:43:48,Old
Clapping Thunder,False,False,2022-09-21 05:43:48,New
Class-Change Mirror,True,True,2023-02-17 11:59:40,Old
Class-Change Mirror,False,False,2023-02-17 11:59:40,New
Clawleon,True,True,2022-09-21 05:38:35,Old
Clawleon,False,False,2022-09-21 05:38:35,New
Clean Beret - Colonel Mop,True,True,2022-12-21 09:52:20,Old
Clean Beret - Colonel Mop,False,False,2022-12-21 09:52:20,New
Cleaning Machine Gorgain,True,True,2022-12-21 09:22:06,Old
Cleaning Machine Gorgain,False,False,2022-12-21 09:22:06,New
Clear Ice Dragon,True,True,2022-10-20 07:37:40,Old
Clear Ice Dragon,False,False,2022-10-20 07:37:40,New
Climax Clash,True,True,2022-12-21 09:24:58,Old
Climax Clash,False,False,2022-12-21 09:24:58,New
