Name,Archseries,TCG status,Artwork,Modification date,Errata,Version
Chaos Archfiend,"('Archfiend', 'Chaos')",Not yet released,,2023-02-07 02:12:08,,Old
Chaos Archfiend,"('Archfiend', 'Chaos')",Unlimited,,2023-02-10 16:25:33,,New
Chaos Beast,"('Chaos',)",Not yet released,,2023-02-07 02:12:37,,Old
Chaos Beast,"('Chaos',)",Unlimited,,2023-02-10 16:15:48,,New
Chaos Mirage Dragon,"('Chaos',)",Not yet released,,2023-02-07 01:53:37,,Old
Chaos Mirage Dragon,"('Chaos',)",Unlimited,,2023-02-10 16:23:56,,New
Chaos Phantasm,"('Chaos',)",Not yet released,,2023-02-07 02:28:54,,Old
Chaos Phantasm,"('Chaos',)",Unlimited,,2023-02-10 16:26:43,,New
Chaos Witch,"('Chaos',)",Not yet released,,2023-02-07 01:51:11,,Old
Chaos Witch,"('Chaos',)",Unlimited,,2023-02-10 16:23:36,,New
Choju of the Trillion Hands,,Not yet released,,2023-02-07 02:01:02,,Old
Choju of the Trillion Hands,,Unlimited,,2023-02-10 16:24:27,,New
Circle of the Fairies,,Not yet released,,2023-02-07 02:13:34,,Old
Circle of the Fairies,,Unlimited,,2023-02-10 16:08:06,,New
Core of Chaos,"('Chaos',)",Not yet released,,2023-02-07 01:52:33,,Old
Core of Chaos,"('Chaos',)",Unlimited,,2023-02-10 16:20:42,,New
Cosmic Quasar Dragon,,,,2023-02-10 09:06:07,,Old
Cosmic Quasar Dragon,"('Cosmic Synchro Monster',)",,,2023-02-10 14:40:42,,New
Couple of Aces,,Not yet released,,2023-02-07 02:03:21,,Old
Couple of Aces,,Unlimited,,2023-02-10 16:24:37,,New
Diabolantis the Menacing Mantis,,Not yet released,,2023-02-04 10:18:38,,Old
Diabolantis the Menacing Mantis,,Unlimited,,2023-02-10 16:27:05,,New
Dimensional Allotrope Varis,,Not yet released,,2023-02-07 02:03:57,,Old
Dimensional Allotrope Varis,,Unlimited,,2023-02-10 16:24:44,,New
Dogmatika Alba Zoa,"('Dogmatika',)",Not yet released,,2023-02-07 13:27:35,,Old
Dogmatika Alba Zoa,"('Dogmatika',)",Unlimited,,2023-02-10 15:50:29,,New
Dogmatikamatrix,"('Dogmatika',)",Not yet released,,2023-02-07 13:50:51,,Old
Dogmatikamatrix,"('Dogmatika',)",Unlimited,,2023-02-10 16:18:16,,New
Dyna Mondo,,Not yet released,,2023-02-07 02:17:20,,Old
Dyna Mondo,,Unlimited,,2023-02-10 15:53:55,,New
Eldlich the Golden Lord,"('Eldlich',)",Unlimited,"('Alternate',)",2023-02-09 18:12:54,,Old
Eldlich the Golden Lord,"('Eldlich',)",Unlimited,"('Alternate', 'Edited')",2023-02-10 16:51:13,,New
Evigishki Neremanas,"('Gishki',)",Not yet released,,2023-02-07 13:27:17,,Old
Evigishki Neremanas,"('Gishki',)",Unlimited,,2023-02-10 15:56:14,,New
Evil Eyes Unleashed,"('Evil Eye',)",Not yet released,,2023-02-07 02:25:36,,Old
Evil Eyes Unleashed,"('Evil Eye',)",Unlimited,,2023-02-10 16:08:41,,New
Fairyant the Circular Sorcerer,,Not yet released,,2023-02-07 02:02:31,,Old
Fairyant the Circular Sorcerer,,Unlimited,,2023-02-10 16:06:37,,New
Fierce Tiger Monghu,,Not yet released,,2023-02-07 03:20:44,,Old
Fierce Tiger Monghu,,Unlimited,,2023-02-10 16:13:32,,New
Focused Aquamirror,"('Aquamirror',)",Not yet released,,2023-02-07 02:25:09,,Old
Focused Aquamirror,"('Aquamirror',)",Unlimited,,2023-02-10 16:05:22,,New
Galactikuriboh,"('Galaxy', 'Kuriboh (archetype)')",Not yet released,,2023-02-06 22:23:08,,Old
Galactikuriboh,"('Galaxy', 'Kuriboh (archetype)')",Unlimited,,2023-02-10 16:23:20,,New
Galaxy Hundred,"('Galaxy',)",Not yet released,,2023-02-07 02:18:29,,Old
Galaxy Hundred,"('Galaxy',)",Unlimited,,2023-02-10 16:36:49,,New
Galaxy Photon Dragon,"('Galaxy', 'Photon')",Not yet released,,2023-02-07 02:14:20,,Old
Galaxy Photon Dragon,"('Galaxy', 'Photon')",Unlimited,,2023-02-10 16:25:46,,New
Galaxy Summoner,"('Galaxy',)",Not yet released,,2023-02-06 22:18:31,,Old
Galaxy Summoner,"('Galaxy',)",Unlimited,,2023-02-10 16:14:32,,New
Giant Ballgame,,Not yet released,,2023-02-07 02:23:13,,Old
Giant Ballgame,,Unlimited,,2023-02-10 15:47:23,,New
"Gigantic ""Champion"" Sargas",,Not yet released,,2023-02-07 02:14:53,,Old
"Gigantic ""Champion"" Sargas",,Unlimited,,2023-02-10 16:25:55,,New
Gigantic Thundercross,,Not yet released,,2023-02-07 02:27:24,,Old
Gigantic Thundercross,,Unlimited,,2023-02-10 15:58:18,,New
Gishki Grimness,"('Gishki',)",Not yet released,,2023-02-07 01:58:07,,Old
Gishki Grimness,"('Gishki',)",Unlimited,,2023-02-10 16:15:59,,New
Gishki Nekromirror,"('Gishki',)",Not yet released,,2023-02-07 14:27:59,,Old
Gishki Nekromirror,"('Gishki',)",Unlimited,,2023-02-10 16:26:33,,New
Gold Pride - Captain Carrie,"('Gold Pride',)",Not yet released,,2023-02-08 22:59:32,,Old
Gold Pride - Captain Carrie,"('Gold Pride',)",Unlimited,,2023-02-10 15:47:07,,New
Gold Pride - Nytro Blaster,"('Gold Pride',)",Not yet released,,2023-02-08 23:08:00,,Old
Gold Pride - Nytro Blaster,"('Gold Pride',)",Unlimited,,2023-02-10 16:21:15,,New
Gold Pride - Nytro Head,"('Gold Pride',)",Not yet released,,2023-02-08 00:50:38,,Old
Gold Pride - Nytro Head,"('Gold Pride',)",Unlimited,,2023-02-10 16:14:48,,New
Gold Pride - Star Leon,"('Gold Pride',)",Not yet released,,2023-02-08 23:02:21,,Old
Gold Pride - Star Leon,"('Gold Pride',)",Unlimited,,2023-02-10 16:17:10,,New
Gold Pride - Start Your Engines!,"('Gold Pride',)",Not yet released,,2023-02-08 23:17:56,,Old
Gold Pride - Start Your Engines!,"('Gold Pride',)",Unlimited,,2023-02-10 16:11:45,,New
Gold Pride - The Crowd Goes Wild!,"('Gold Pride',)",Not yet released,,2023-02-08 23:15:23,,Old
Gold Pride - The Crowd Goes Wild!,"('Gold Pride',)",Unlimited,,2023-02-10 15:49:55,,New
Granguignol the Dusk Dragon,,Not yet released,,2023-02-07 13:26:34,,Old
Granguignol the Dusk Dragon,,Unlimited,,2023-02-10 16:24:53,,New
Gravekeeper's Inscription,"(""Gravekeeper's"",)",Not yet released,,2023-02-06 22:09:50,,Old
Gravekeeper's Inscription,"(""Gravekeeper's"",)",Unlimited,,2023-02-10 16:22:33,,New
Green Ninja,"('Ninja',)",Not yet released,,2023-02-07 02:36:00,,Old
Green Ninja,"('Ninja',)",Unlimited,,2023-02-10 16:44:40,,New
Humongous Hive Hegemon - Zexstagger,,Not yet released,,2023-02-07 02:36:22,,Old
Humongous Hive Hegemon - Zexstagger,,Unlimited,,2023-02-10 16:44:53,,New
Icejade Gymir Aegirine,"('Icejade',)",Not yet released,,2023-02-07 03:19:19,,Old
Icejade Gymir Aegirine,"('Icejade',)",Unlimited,,2023-02-10 16:25:11,,New
Icejade Manifestation,"('Icejade',)",Not yet released,,2023-02-07 02:19:16,,Old
Icejade Manifestation,"('Icejade',)",Unlimited,,2023-02-10 16:13:48,,New
Infinite Antlion,,Not yet released,,2023-02-07 01:54:47,,Old
Infinite Antlion,,Unlimited,,2023-02-10 15:49:50,,New
Intimidating Ore - Summonite,,Not yet released,,2023-02-07 02:32:41,,Old
Intimidating Ore - Summonite,,Unlimited,,2023-02-10 16:23:20,,New
Jioh the Gravity Ninja,"('Ninja',)",Not yet released,,2023-02-07 01:57:24,,Old
Jioh the Gravity Ninja,"('Ninja',)",Unlimited,,2023-02-10 16:18:07,,New
Kashtira Overlap,"('Kashtira',)",Not yet released,,2023-02-07 14:23:34,,Old
Kashtira Overlap,"('Kashtira',)",Unlimited,,2023-02-10 16:26:09,,New
"Laevatein, Generaider Boss of Shadows","('Generaider',)",Not yet released,,2023-02-07 02:15:57,,Old
"Laevatein, Generaider Boss of Shadows","('Generaider',)",Unlimited,,2023-02-10 16:18:51,,New
Land Flipping,,Not yet released,,2023-02-07 02:26:24,,Old
Land Flipping,,Unlimited,,2023-02-10 15:46:37,,New
Made to Order Mermaid Outfit Outfitter,,Not yet released,,2023-02-04 10:26:44,,Old
Made to Order Mermaid Outfit Outfitter,,Unlimited,,2023-02-10 16:17:06,,New
Manticore of Smashing,,Not yet released,,2023-02-07 02:00:32,,Old
Manticore of Smashing,,Unlimited,,2023-02-10 15:55:16,,New
Mental Tuner,,Not yet released,,2023-02-07 01:53:02,,Old
Mental Tuner,,Unlimited,,2023-02-10 16:16:44,,New
Meteor Rush - Monochroid,"('roid',)",Not yet released,,2023-02-07 02:04:25,,Old
Meteor Rush - Monochroid,"('roid',)",Unlimited,,2023-02-10 16:17:44,,New
Minairuka,,Not yet released,,2023-02-04 10:16:53,,Old
Minairuka,,Unlimited,,2023-02-10 16:21:56,,New
Mysterious Guard,,Unlimited,,2023-01-03 19:02:32,,Old
Mysterious Guard,,Unlimited,,2023-02-10 18:00:43,"('Name',)",New
Number C62: Neo Galaxy-Eyes Prime Photon Dragon,"('-Eyes Dragon', 'Chaos', 'Galaxy', 'Galaxy-Eyes', 'Number', 'Number (Spell/Trap archetype)', 'Number C', 'Photon')",Not yet released,,2023-02-07 02:14:08,,Old
Number C62: Neo Galaxy-Eyes Prime Photon Dragon,"('-Eyes Dragon', 'Chaos', 'Galaxy', 'Galaxy-Eyes', 'Number', 'Number (Spell/Trap archetype)', 'Number C', 'Photon')",Unlimited,,2023-02-10 15:52:04,,New
Numeron Creation,"('Galaxy', 'Galaxy-Eyes', 'Numeron')",Not yet released,,2023-02-07 02:18:51,,Old
Numeron Creation,"('Galaxy', 'Galaxy-Eyes', 'Numeron')",Unlimited,,2023-02-10 16:23:36,,New
Orphebull the Harmonious Bullfighter Bard,,Not yet released,,2023-02-04 10:18:00,,Old
Orphebull the Harmonious Bullfighter Bard,,Unlimited,,2023-02-10 16:23:15,,New
Pharaonic Advent,,Not yet released,,2023-02-07 02:34:52,,Old
Pharaonic Advent,,Unlimited,,2023-02-10 16:27:28,,New
Photon Emperor,"('Photon',)",Not yet released,,2023-02-06 22:15:21,,Old
Photon Emperor,"('Photon',)",Unlimited,,2023-02-10 16:06:25,,New
Photon Timestop,"('Photon',)",Not yet released,,2023-02-07 02:26:54,,Old
Photon Timestop,"('Photon',)",Unlimited,,2023-02-10 16:02:54,,New
Plunder Patrollship Jord,"('Plunder Patroll',)",Not yet released,,2023-02-07 13:33:38,,Old
Plunder Patrollship Jord,"('Plunder Patroll',)",Unlimited,,2023-02-10 15:35:44,,New
Qardan the Clear-Sighted,,Not yet released,,2023-02-07 02:34:16,,Old
Qardan the Clear-Sighted,,Unlimited,,2023-02-10 16:27:19,,New
Queen Butterfly Danaus,,Not yet released,,2023-02-07 02:33:54,,Old
Queen Butterfly Danaus,,Unlimited,,2023-02-10 16:17:19,,New
Rindbrumm the Striking Dragon,"('Albaz Dragon',)",Not yet released,,2023-02-07 02:07:26,,Old
Rindbrumm the Striking Dragon,"('Albaz Dragon',)",Unlimited,,2023-02-10 15:46:18,,New
Sari of the Silverwing Axe,,Not yet released,,2023-02-07 02:02:59,,Old
Sari of the Silverwing Axe,,Unlimited,,2023-02-10 16:19:13,,New
Scareclaw Defanging,"('Scareclaw',)",Not yet released,,2023-02-07 02:22:29,,Old
Scareclaw Defanging,"('Scareclaw',)",Unlimited,,2023-02-10 16:11:19,,New
Shell of Chaos,"('Chaos',)",Not yet released,,2023-02-07 01:51:46,,Old
Shell of Chaos,"('Chaos',)",Unlimited,,2023-02-10 16:23:50,,New
"Sneaky ""C""","('""C""',)",Not yet released,,2023-02-07 02:04:53,,Old
"Sneaky ""C""","('""C""',)",Unlimited,,2023-02-10 15:45:25,,New
Sour Scheduling - Red Vinegar Vamoose,,Not yet released,,2023-02-07 03:22:57,,Old
Sour Scheduling - Red Vinegar Vamoose,,Unlimited,,2023-02-10 16:26:53,,New
Tally-ho! Springans,"('Springans',)",Not yet released,,2023-02-07 02:19:36,,Old
Tally-ho! Springans,"('Springans',)",Unlimited,,2023-02-10 16:12:32,,New
Tearlaments Perlegia,"('Tearlaments',)",Not yet released,,2023-02-07 02:22:52,,Old
Tearlaments Perlegia,"('Tearlaments',)",Unlimited,,2023-02-10 16:04:07,,New
Tenchi Kaimei,"('Ninjitsu Art',)",Not yet released,,2023-02-07 02:24:17,,Old
Tenchi Kaimei,"('Ninjitsu Art',)",Unlimited,,2023-02-10 15:56:42,,New
The Abyss Dragon Swordsoul,"('Swordsoul',)",Not yet released,,2023-02-06 22:38:42,,Old
The Abyss Dragon Swordsoul,"('Swordsoul',)",Unlimited,,2023-02-10 16:12:22,,New
Tri-Brigade Arms Bucephalus II,"('Tri-Brigade',)",Not yet released,,2023-02-07 13:47:02,,Old
Tri-Brigade Arms Bucephalus II,"('Tri-Brigade',)",Unlimited,,2023-02-10 16:25:42,,New
Triple Tactics Thrust,,Not yet released,,2023-02-07 02:25:54,,Old
Triple Tactics Thrust,,Unlimited,,2023-02-10 16:07:04,,New
Trivikarma,,Not yet released,,2023-02-07 02:28:03,,Old
Trivikarma,,Unlimited,,2023-02-10 16:18:23,,New
Ultimate Great Insect,,Not yet released,,2023-02-07 02:08:06,,Old
Ultimate Great Insect,,Unlimited,,2023-02-10 16:16:58,,New
"Vala, Seidhr of the Generaider Bosses","('Generaider',)",Not yet released,,2023-02-07 01:59:09,,Old
"Vala, Seidhr of the Generaider Bosses","('Generaider',)",Unlimited,,2023-02-10 15:57:34,,New
Weighbridge,,Not yet released,,2023-02-07 02:29:52,,Old
Weighbridge,,Unlimited,,2023-02-10 16:19:22,,New
Xyz Align,"('Xyz (archetype)',)",Not yet released,,2023-02-04 10:22:35,,Old
Xyz Align,"('Xyz (archetype)',)",Unlimited,,2023-02-10 15:54:42,,New
Yaguramaru the Armor Ninja,"('Ninja',)",Not yet released,,2023-02-07 02:08:33,,Old
Yaguramaru the Armor Ninja,"('Ninja',)",Unlimited,,2023-02-10 16:01:21,,New
