Name,Password,Effect type,TCG status,Modification date,Errata,Monster type,DEF,ATK,Version
Chaos Angel,22850702,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:32,,Fiend,2800,3500,New
Constellar Tellarknights,10125011,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-24 05:58:41,,,,,Old
Constellar Tellarknights,10125011,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:47,,,,,New
Cyberse Desavewurm,92422871,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-04-22 16:00:22,,Cyberse,1500,2300,Old
Cyberse Desavewurm,92422871,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:46,,Cyberse,1500,2300,New
Cyberse Sage,65037172,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-04-26 08:04:07,,Cyberse,0,0,Old
Cyberse Sage,65037172,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-05-04 16:26:47,,Cyberse,0,0,New
Cynet Circuit,82886276,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,2023-04-22 12:38:37,,,,,Old
Cynet Circuit,82886276,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,2023-05-04 16:00:44,,,,,New
Cynet Rollback,57900671,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-23 18:14:17,,,,,Old
Cynet Rollback,57900671,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:53,,,,,New
D.D. Scout Plane,03773196,"('Trigger Effect',)",Unlimited,2023-04-08 22:42:04,"('Name',)",Machine,1200,800,Old
D.D. Scout Plane,03773196,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 21:04:40,"('Name',)",Machine,1200,800,New
Dandy White Lion,,,,2023-04-18 19:40:47,,,???,???,Old
Dandy White Lion,,"('Condition', 'Trigger Effect')",,2023-05-07 11:48:25,,Plant,300,300,New
Despian Luluwalilith,53971455,"('Condition', 'Trigger Effect')",Not yet released,2023-04-21 15:35:17,,Spellcaster,2500,2500,Old
Despian Luluwalilith,53971455,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 16:26:37,,Spellcaster,2500,2500,New
Dinomorphia Intact,07336745,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,2023-04-22 12:27:43,,,,,Old
Dinomorphia Intact,07336745,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,2023-05-04 16:00:40,,,,,New
Double Hooking,06214163,"('Condition', 'Continuous-like Effect', 'Effect')",Not yet released,2023-04-22 12:24:26,,,,,Old
Double Hooking,06214163,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,2023-05-04 16:00:38,,,,,New
Dream Tower of Princess Nemleria,18458255,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 17:06:59,,,,,Old
Dream Tower of Princess Nemleria,18458255,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:48,,,,,New
Dreaming Nemleria,70155677,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-04-23 18:37:21,,Fairy,1500,0,Old
Dreaming Nemleria,70155677,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-05-04 17:08:09,,Fairy,1500,0,New
Dual Avatar - Manifested A-Un,28798938,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,2023-04-22 17:28:22,,Warrior,0,0,Old
Dual Avatar - Manifested A-Un,28798938,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:43,,Warrior,0,0,New
Etude of the Branded,45675980,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Not yet released,2023-04-21 19:52:48,,,,,Old
Etude of the Branded,45675980,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Unlimited,2023-05-04 16:00:43,,,,,New
Fallen of Argyros,82090807,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",Not yet released,2023-04-22 16:35:17,,Thunder,700,700,Old
Fallen of Argyros,82090807,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:12,,Thunder,700,700,New
Firewall Defenser,20455229,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-04-24 15:20:20,,Cyberse,1500,1200,Old
Firewall Defenser,20455229,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:18,,Cyberse,1500,1200,New
Firewall Dragon Singularity,21637210,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,2023-04-23 18:18:42,,Cyberse,,3500,Old
Firewall Dragon Singularity,21637210,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:32,,Cyberse,,3500,New
Firewall Phantom,57940938,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-22 16:33:26,,Cyberse,1300,2000,Old
Firewall Phantom,57940938,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:18,,Cyberse,1300,2000,New
Full Active Duplex,04483598,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-22 16:22:13,,Cyberse,1000,2800,Old
Full Active Duplex,04483598,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:07:59,,Cyberse,1000,2800,New
Fusion Duplication,43331750,"('Condition', 'Effect')",Not yet released,2023-04-22 12:21:27,,,,,Old
Fusion Duplication,43331750,"('Condition', 'Effect')",Unlimited,2023-05-04 16:00:40,,,,,New
Gold Pride - Better Luck Next Time!,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,2023-04-27 01:14:42,,,,,Old
Gold Pride - Better Luck Next Time!,54670997,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,2023-05-05 00:45:39,,,,,New
Gold Pride - Chariot Carrie,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-27 01:01:32,,Aqua,2700,1900,Old
Gold Pride - Chariot Carrie,65892585,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-05 00:48:42,,Aqua,2700,1900,New
Gold Pride - It's Neck and Neck!,,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,2023-04-27 01:16:55,,,,,Old
Gold Pride - It's Neck and Neck!,90164606,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,2023-05-05 00:51:17,,,,,New
Gold Pride - Pedal to the Metal!,,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,2023-04-27 01:08:56,,,,,Old
Gold Pride - Pedal to the Metal!,27275398,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,2023-05-05 00:52:40,,,,,New
Gold Pride - Pin Baller,,"('Condition', 'Trigger Effect')",Not yet released,2023-04-27 00:58:00,,Machine,0,3000,Old
Gold Pride - Pin Baller,28497830,"('Condition', 'Trigger Effect')",Unlimited,2023-05-05 00:39:35,,Machine,0,3000,New
Gold Pride - Roller Baller,,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,2023-04-27 00:49:19,,Psychic,1600,1800,Old
Gold Pride - Roller Baller,92003832,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,2023-05-05 00:41:35,,Psychic,1600,1800,New
Gold Pride - That Came Out of Nowhere!,,"('Condition', 'Effect')",Not yet released,2023-04-28 18:08:07,,,,,Old
Gold Pride - That Came Out of Nowhere!,91286284,"('Condition', 'Effect')",Unlimited,2023-05-05 00:53:58,,,,,New
Golden Cloud Beast - Malong,,"('Condition', 'Trigger Effect')",Not yet released,2023-04-27 15:30:51,,Dragon,1000,2200,Old
Golden Cloud Beast - Malong,93125329,"('Condition', 'Trigger Effect')",Unlimited,2023-05-05 00:55:38,,Dragon,1000,2200,New
GranSolfachord Coolia,84521924,"('Continuous Effect', 'Quick Effect')",Not yet released,2023-04-23 21:43:33,,Fairy,,2700,Old
GranSolfachord Coolia,84521924,"('Continuous Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:28,,Fairy,,2700,New
"Guiding Quem, the Virtuous",45883110,"('Condition', 'Trigger Effect')",Not yet released,2023-04-21 15:28:37,,Spellcaster,1500,1500,Old
"Guiding Quem, the Virtuous",45883110,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 17:08:12,,Spellcaster,1500,1500,New
Gunkan Suship Catch-of-the-Day,83008724,"('Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-04-22 15:06:26,,,,,Old
Gunkan Suship Catch-of-the-Day,83008724,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:45,,,,,New
Harvest Angel of Doom,31987203,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-04-22 08:30:14,,Fairy,1000,1800,Old
Harvest Angel of Doom,31987203,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:16:02,,Fairy,1000,1800,New
Hatsugai,43618262,"('Effect',)",Not yet released,2023-04-22 13:45:06,,,,,Old
Hatsugai,43618262,"('Effect',)",Unlimited,2023-05-04 16:00:37,,,,,New
How Did Dai Get Here?,,"('Condition', 'Effect')",Not yet released,2023-04-27 15:47:03,,,,,Old
How Did Dai Get Here?,91323605,"('Condition', 'Effect')",Unlimited,2023-05-05 00:56:39,,,,,New
Hu-Li the Jewel Mikanko,06327734,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-22 16:47:48,,Psychic,0,0,Old
Hu-Li the Jewel Mikanko,06327734,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:04,,Psychic,0,0,New
Hungry Burger,30243636,,Unlimited,2023-05-03 11:02:05,"('Any',)",Warrior,1850,2000,Old
Hungry Burger,30243636,,Unlimited,2023-05-03 11:02:05,"('Type',)",Warrior,1850,2000,New
Icejade Ran Aegirine,18494511,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Lingering effect')",Not yet released,2023-04-23 18:46:04,,Aqua,2500,1500,Old
Icejade Ran Aegirine,18494511,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Lingering effect')",Unlimited,2023-05-04 17:08:13,,Aqua,2500,1500,New
Imperial Princess Quinquery,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-27 15:33:50,,Cyberse,2800,1200,Old
Imperial Princess Quinquery,29510428,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-05 00:58:42,,Cyberse,2800,1200,New
Infinitrack Road Roller,05205146,"('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-24 15:18:36,,Machine,2100,2100,Old
Infinitrack Road Roller,05205146,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:01,,Machine,2100,2100,New
Kashtira Akstra,82286798,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,2023-04-22 17:27:08,,,,,Old
Kashtira Akstra,82286798,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:51,,,,,New
Kitsuni Kitsunebi,03361010,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,2023-04-22 16:11:15,,Warrior,1900,200,Old
Kitsuni Kitsunebi,03361010,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,2023-05-04 17:07:58,,Warrior,1900,200,New
"Kittytail, Mystical Beast of the Forest",64475743,"('Condition', 'Trigger Effect')",Not yet released,2023-04-21 16:58:00,,Beast,200,200,Old
"Kittytail, Mystical Beast of the Forest",64475743,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 15:26:38,,Beast,200,200,New
Libromancer Origin Story,84121302,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Not yet released,2023-04-22 15:00:29,,,,,Old
Libromancer Origin Story,84121302,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:47,,,,,New
Mannadium Abscission,45065541,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-28 22:11:11,,,,,Old
Mannadium Abscission,45065541,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:50,,,,,New
Mannadium Breakheart,71164684,"('Condition', 'Effect', 'Unclassified effect')",Not yet released,2023-04-22 14:04:41,,,,,Old
Mannadium Breakheart,71164684,"('Condition', 'Effect', 'Unclassified effect')",Unlimited,2023-05-04 16:00:42,,,,,New
Mannadium Fearless,17272964,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-04-22 14:05:06,,Fairy,2000,0,Old
Mannadium Fearless,17272964,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:10,,Fairy,2000,0,New
Mannadium Imaginings,19671433,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 14:05:19,,,,,Old
Mannadium Imaginings,19671433,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:50,,,,,New
Mannadium Meek,44760562,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-04-22 14:05:30,,Fairy,1800,0,Old
Mannadium Meek,44760562,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:09,,Fairy,1800,0,New
Mannadium Prime-Heart,90465153,"('Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-22 14:05:39,,Fairy,3000,3000,Old
Mannadium Prime-Heart,90465153,"('Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-05 01:17:20,,Fairy,3000,3000,New
Mannadium Reframing,18158393,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,2023-04-22 14:05:52,,,,,Old
Mannadium Reframing,18158393,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,2023-05-04 16:00:42,,,,,New
Mannadium Riumheart,71277255,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,2023-04-20 17:08:32,,Warrior,2100,1500,Old
Mannadium Riumheart,71277255,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:10,,Warrior,2100,1500,New
Mikanko Dance - Mayowashidori,57736667,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-04-22 17:07:37,,,,,Old
Mikanko Dance - Mayowashidori,57736667,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:48,,,,,New
"Moissa Knight, the Comet General",,"('Trigger Effect',)",Not yet released,2023-04-27 15:18:31,,Warrior,100,100,Old
"Moissa Knight, the Comet General",66736715,"('Trigger Effect',)",Unlimited,2023-05-05 01:00:07,,Warrior,100,100,New
Nemleria Dream Defender - Couette,43944080,"('Condition', 'Quick Effect', 'Unclassified effect')",Not yet released,2023-04-22 16:56:03,,Beast,2500,2000,Old
Nemleria Dream Defender - Couette,43944080,"('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:04,,Beast,2500,2000,New
Nemleria Dream Defender - Oreiller,17550376,"('Condition', 'Quick Effect', 'Unclassified effect')",Not yet released,2023-04-22 16:58:10,,Beast,2000,2500,Old
Nemleria Dream Defender - Oreiller,17550376,"('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:05,,Beast,2000,2500,New
New Frontier,56787189,"('Condition', 'Trigger Effect')",Not yet released,2023-04-21 20:00:43,,,,,Old
New Frontier,56787189,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 16:01:15,,,,,New
Numbers Eveil,20994205,"('Effect',)",Not yet released,2023-04-23 21:48:58,,,,,Old
Numbers Eveil,20994205,"('Effect',)",Unlimited,2023-05-04 17:08:20,,,,,New
Peaceful Planet Calarium,82460246,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Not yet released,2023-04-26 08:06:17,,,,,Old
Peaceful Planet Calarium,82460246,"('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:50,,,,,New
PenduLuMoon,66150724,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 16:15:00,,Spellcaster,700,200,Old
PenduLuMoon,66150724,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 17:07:57,,Spellcaster,700,200,New
Pendulum Pendant,,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-27 15:43:36,,,,,Old
Pendulum Pendant,65914127,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-05 01:02:10,,,,,New
Pig Iron vs. Pen Peg,46497537,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 13:46:00,,,,,Old
Pig Iron vs. Pen Peg,46497537,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:44,,,,,New
Protectcode Talker,58036229,"('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,2023-04-22 08:35:59,,Cyberse,,2300,Old
Protectcode Talker,58036229,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:30,,Cyberse,,2300,New
Purrely Sleepy Memory,21347668,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,2023-04-22 13:05:02,,,,,Old
Purrely Sleepy Memory,21347668,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:00:47,,,,,New
Purrelyly,79933029,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-22 17:30:16,,Fairy,100,100,Old
Purrelyly,79933029,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:04,,Fairy,100,100,New
REINFORCE!,71948047,"('Condition', 'Effect')",Not yet released,2023-04-22 12:31:18,,,,,Old
REINFORCE!,71948047,"('Condition', 'Effect')",Unlimited,2023-05-04 16:00:40,,,,,New
Rebirth of the Seventh Emperors,83888009,"('Cost', 'Effect')",Not yet released,2023-04-21 16:59:59,,,,,Old
Rebirth of the Seventh Emperors,83888009,"('Cost', 'Effect')",Unlimited,2023-05-04 15:26:36,,,,,New
Reincarnation of the Seventh Emperors,57499304,"('Effect',)",Not yet released,2023-04-21 16:58:55,,,,,Old
Reincarnation of the Seventh Emperors,57499304,"('Effect',)",Unlimited,2023-05-04 15:26:39,,,,,New
"Ringowurm, the Dragon Guarding the Hundred Apples",30765615,"('Condition', 'Ignition Effect')",Not yet released,2023-04-22 17:29:33,,Dragon,1100,100,Old
"Ringowurm, the Dragon Guarding the Hundred Apples",30765615,"('Condition', 'Ignition Effect')",Unlimited,2023-05-04 17:07:58,,Dragon,1100,100,New
S-Force Nightchaser,20515672,"('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,2023-04-22 08:37:55,,Cyberse,,800,Old
S-Force Nightchaser,20515672,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,2023-05-04 16:26:28,,Cyberse,,800,New
Sakitama,67972302,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-04-22 16:17:57,,Fairy,900,400,Old
Sakitama,67972302,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,2023-05-04 17:07:59,,Fairy,900,400,New
Solfachord Symphony,56510115,"('Condition', 'Effect')",Not yet released,2023-04-22 13:34:53,,,,,Old
Solfachord Symphony,56510115,"('Condition', 'Effect')",Unlimited,2023-05-04 16:00:46,,,,,New
Superheavy Samurai Brave Masurawo,64193046,"('Continuous Effect', 'Trigger Effect')",Not yet released,2023-04-23 18:24:11,,Machine,4000,2100,Old
Superheavy Samurai Brave Masurawo,64193046,"('Continuous Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:42,,Machine,4000,2100,New
Superheavy Samurai Commander Shanawo,90587641,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,2023-04-23 09:29:45,,Machine,2500,2000,Old
Superheavy Samurai Commander Shanawo,90587641,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:40,,Machine,2500,2000,New
Superheavy Samurai Monk Big Benkei,19510093,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-04-23 09:23:21,,Machine,3500,1000,Old
Superheavy Samurai Monk Big Benkei,19510093,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:14,,Machine,3500,1000,New
Superheavy Samurai Motorbike,83334932,"('Condition', 'Ignition Effect')",Not yet released,2023-04-23 09:26:06,,Machine,1200,800,Old
Superheavy Samurai Motorbike,83334932,"('Condition', 'Ignition Effect')",Unlimited,2023-05-04 17:08:18,,Machine,1200,800,New
Superheavy Samurai Prodigy Wakaushi,82112494,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,2023-04-22 08:28:15,,Machine,1500,1000,Old
Superheavy Samurai Prodigy Wakaushi,82112494,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,2023-05-04 17:08:14,,Machine,1500,1000,New
Superheavy Samurai Soulgaia Booster,56727340,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 16:38:28,,Machine,0,0,Old
Superheavy Samurai Soulgaia Booster,56727340,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 17:08:14,,Machine,0,0,New
Superheavy Samurai Stealthy,10333641,"('Condition', 'Quick Effect', 'Unclassified effect')",Not yet released,2023-04-23 09:19:13,,Machine,700,200,Old
Superheavy Samurai Stealthy,10333641,"('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:17,,Machine,700,200,New
"Sweet Dreams, Nemleria",44843954,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 13:07:27,,,,,Old
"Sweet Dreams, Nemleria",44843954,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:48,,,,,New
Swordsoul Punishment,83308376,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 14:49:18,,,,,Old
Swordsoul Punishment,83308376,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:52,,,,,New
Tellarknight Altairan,42822433,"('Condition', 'Trigger Effect')",Not yet released,2023-04-24 09:23:07,,Warrior,1300,1700,Old
Tellarknight Altairan,42822433,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 17:08:03,,Warrior,1300,1700,New
Tellarknight Constellar Caduceus,58858807,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,2023-04-23 18:16:18,,Spellcaster,1650,2500,Old
Tellarknight Constellar Caduceus,58858807,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,2023-05-04 16:26:31,,Spellcaster,1650,2500,New
Tellarknight Lyran,79210531,"('Condition', 'Trigger Effect')",Not yet released,2023-04-22 17:31:35,,Warrior,1600,1200,Old
Tellarknight Lyran,79210531,"('Condition', 'Trigger Effect')",Unlimited,2023-05-04 17:08:02,,Warrior,1600,1200,New
The Bystial Aluber,45005708,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,2023-04-21 15:26:44,,Dragon,0,1800,Old
The Bystial Aluber,45005708,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,2023-05-04 17:08:13,,Dragon,0,1800,New
Time-Tearing Morganite,19403423,"('Effect', 'Ignition-like Effect')",Not yet released,2023-04-22 13:20:03,,,,,Old
Time-Tearing Morganite,19403423,"('Effect', 'Ignition-like Effect')",Unlimited,2023-05-04 16:00:45,,,,,New
Trap Tracks,70825459,"('Condition', 'Effect', 'Lingering effect')",Not yet released,2023-04-25 12:13:11,,,,,Old
Trap Tracks,70825459,"('Condition', 'Effect', 'Lingering effect')",Unlimited,2023-05-04 16:00:39,,,,,New
Tri-Brigade Roar,10793085,"('Condition', 'Effect')",Not yet released,2023-04-22 08:40:22,,,,,Old
Tri-Brigade Roar,10793085,"('Condition', 'Effect')",Unlimited,2023-05-04 16:00:52,,,,,New
Vicious Astraloud,65815684,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,2023-04-20 17:12:46,,Fairy,3000,3000,Old
