Name,Password,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Attribute,Primary type,DEF,ATK,Level/Rank,Version
Emperor's Key,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:38:56,,Monster Token,,,,New
Fiend's Mirror,31890399,,Unlimited,Unlimited,Fiend's Mirror,https://yugipedia.com/wiki/Fiend%27s_Mirror,,2023-03-18 17:50:26,DARK,Ritual Monster,1800,2100,6,Old
Fiend's Mirror,,,,Unlimited,Fiend's Mirror (Normal),https://yugipedia.com/wiki/Fiend%27s_Mirror_(Normal),,2023-03-18 17:50:33,DARK,Normal Monster,1800,2100,6,Old
Fiend's Mirror,31890399,,Unlimited,Unlimited,Fiend's Mirror,https://yugipedia.com/wiki/Fiend%27s_Mirror,,2023-03-18 17:50:56,DARK,Ritual Monster,1800,2100,6,New
Fiend's Mirror,,,,Unlimited,Fiend's Mirror (Normal),https://yugipedia.com/wiki/Fiend%27s_Mirror_(Normal),,2023-03-18 17:50:56,DARK,Normal Monster,1800,2100,6,New
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Foie Glasya de Nouvelles,https://yugipedia.com/wiki/Foie_Glasya_de_Nouvelles,,2023-05-03 11:04:51,DARK,Ritual Monster,1850,1600,4,Old
Foie Glasya de Nouvelles,15001940,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Foie Glasya de Nouvelles,https://yugipedia.com/wiki/Foie_Glasya_de_Nouvelles,,2023-05-22 15:57:52,DARK,Ritual Monster,1850,1600,4,New
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Ground Xeno,https://yugipedia.com/wiki/Ground_Xeno,,2023-04-03 19:39:27,,,,,,Old
Ground Xeno,67523044,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Unlimited,Ground Xeno,https://yugipedia.com/wiki/Ground_Xeno,,2023-05-22 16:46:56,,,,,,New
Jesse Anderson - Bonder with the Crystal Beasts,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:21,,Monster Token,,,,Old
Jesse Anderson - Bonder with the Crystal Beasts,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:21,,,,,,Old
Jesse Anderson - Bonder with the Crystal Beasts,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:00,,,,,,New
Jesse Anderson - Bonder with the Crystal Beasts,,,Legal,Legal,Jesse Anderson - Bonder with the Crystal Beasts,https://yugipedia.com/wiki/Jesse_Anderson_-_Bonder_with_the_Crystal_Beasts,,2023-03-23 10:40:00,,Monster Token,,,,New
Jesse and Ruby - Unleashing the Legend,,,Legal,Legal,Jesse and Ruby - Unleashing the Legend,https://yugipedia.com/wiki/Jesse_and_Ruby_-_Unleashing_the_Legend,,2023-03-23 10:40:34,,Monster Token,,,,Old
Jesse and Ruby - Unleashing the Legend,,,Legal,Legal,Jesse and Ruby - Unleashing the Legend,https://yugipedia.com/wiki/Jesse_and_Ruby_-_Unleashing_the_Legend,,2023-03-23 10:40:34,,,,,,Old
Jesse and Ruby - Unleashing the Legend,,,Legal,Legal,Jesse and Ruby - Unleashing the Legend,https://yugipedia.com/wiki/Jesse_and_Ruby_-_Unleashing_the_Legend,,2023-03-23 10:40:00,,,,,,New
Jesse and Ruby - Unleashing the Legend,,,Legal,Legal,Jesse and Ruby - Unleashing the Legend,https://yugipedia.com/wiki/Jesse_and_Ruby_-_Unleashing_the_Legend,,2023-03-23 10:40:00,,Monster Token,,,,New
"Nouvelles Auberge ""À Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,"Nouvelles Auberge ""À Table""",https://yugipedia.com/wiki/Nouvelles_Auberge_%22%C3%80_Table%22,,2023-05-03 14:53:11,,,,,,Old
"Nouvelles Restaurant ""At Table""",15388353,"('Condition', 'Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Unlimited,"Nouvelles Restaurant ""At Table""",https://yugipedia.com/wiki/Nouvelles_Restaurant_%22At_Table%22,,2023-05-22 16:04:16,,,,,,New
Obelisk the Tormentor,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Obelisk the Tormentor,https://yugipedia.com/wiki/Obelisk_the_Tormentor,"('Alternate',)",2023-05-14 22:18:27,DIVINE,Effect Monster,4000,4000,10,Old
Obelisk the Tormentor,,,Illegal,Illegal,Obelisk the Tormentor (original),https://yugipedia.com/wiki/Obelisk_the_Tormentor_(original),,2023-04-20 11:02:14,DIVINE,,4000,4000,10,Old
Obelisk the Tormentor,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Obelisk the Tormentor,https://yugipedia.com/wiki/Obelisk_the_Tormentor,"('Alternate',)",2023-05-14 22:17:36,DIVINE,Effect Monster,4000,4000,10,New
Obelisk the Tormentor,,,Illegal,Illegal,Obelisk the Tormentor (original),https://yugipedia.com/wiki/Obelisk_the_Tormentor_(original),,2023-04-20 11:01:20,DIVINE,,4000,4000,10,New
Poeltis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Poeltis de Nouvelles,https://yugipedia.com/wiki/Poeltis_de_Nouvelles,,2023-05-22 15:57:52,DARK,Ritual Monster,1850,1200,3,New
Polymerization,24094653,"('Effect',)",Unlimited,Unlimited,Polymerization,https://yugipedia.com/wiki/Polymerization,,2023-05-14 22:28:56,,,,,,Old
Polymerization,27847700,"('Effect',)",Unlimited,Unlimited,Polymerization (alternate password),https://yugipedia.com/wiki/Polymerization_(alternate_password),"('Edited',)",2023-03-19 23:06:35,,,,,,Old
Polymerization,24094653,"('Effect',)",Unlimited,Unlimited,Polymerization,https://yugipedia.com/wiki/Polymerization,,2023-05-14 22:28:16,,,,,,New
Polymerization,27847700,"('Effect',)",Unlimited,Unlimited,Polymerization (alternate password),https://yugipedia.com/wiki/Polymerization_(alternate_password),"('Edited',)",2023-03-19 23:06:40,,,,,,New
Poêlétis de Nouvelles,89016236,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Poêlétis de Nouvelles,https://yugipedia.com/wiki/Po%C3%AAl%C3%A9tis_de_Nouvelles,,2023-05-03 11:03:08,DARK,Ritual Monster,1850,1200,3,Old
Recette de Personnel (Staff Recipe),40551410,"('Condition', 'Quick-like Effect')",Not yet released,Unlimited,Recette de Personnel (Staff Recipe),https://yugipedia.com/wiki/Recette_de_Personnel_(Staff_Recipe),,2023-05-22 15:40:48,,,,,,New
Recette de Personnel - Cook's Recipe,40551410,"('Condition', 'Quick-like Effect')",,Unlimited,Recette de Personnel - Cook's Recipe,https://yugipedia.com/wiki/Recette_de_Personnel_-_Cook%27s_Recipe,,2023-05-03 10:59:41,,,,,,Old
Recette de Poisson (Fish Recipe),87778106,"('Effect',)",Not yet released,Unlimited,Recette de Poisson (Fish Recipe),https://yugipedia.com/wiki/Recette_de_Poisson_(Fish_Recipe),,2023-05-22 15:45:04,,,,,,New
Recette de Poisson - Fish Recipe,87778106,"('Effect',)",,Unlimited,Recette de Poisson - Fish Recipe,https://yugipedia.com/wiki/Recette_de_Poisson_-_Fish_Recipe,,2023-05-03 10:59:37,,,,,,Old
Recette de Spécialité - Chef's Specialty Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",,Unlimited,Recette de Spécialité - Chef's Specialty Recipe,https://yugipedia.com/wiki/Recette_de_Sp%C3%A9cialit%C3%A9_-_Chef%27s_Specialty_Recipe,,2023-05-03 10:59:33,,,,,,Old
Recette de Viande (Meat Recipe),14166715,"('Effect',)",Not yet released,Unlimited,Recette de Viande (Meat Recipe),https://yugipedia.com/wiki/Recette_de_Viande_(Meat_Recipe),,2023-05-22 15:42:56,,,,,,New
Recette de Viande - Meat Recipe,14166715,"('Effect',)",,Unlimited,Recette de Viande - Meat Recipe,https://yugipedia.com/wiki/Recette_de_Viande_-_Meat_Recipe,,2023-05-03 10:59:28,,,,,,Old
Rock of Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",,Unlimited,Rock of Vanquisher,https://yugipedia.com/wiki/Rock_of_Vanquisher,,2023-04-11 16:33:05,DARK,Link Monster,,0,,Old
Rock of the Vanquisher,28168628,"('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,Unlimited,Rock of the Vanquisher,https://yugipedia.com/wiki/Rock_of_the_Vanquisher,,2023-05-22 16:17:04,DARK,Link Monster,,0,,New
Salamangreat of Fire,,"('Condition', 'Trigger Effect')",,Not yet released,Salamangreat of Fire,https://yugipedia.com/wiki/Salamangreat_of_Fire,,2023-05-23 12:09:36,FIRE,Effect Monster,800,800,2,New
Slifer the Sky Dragon,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-04-20 16:04:58,DIVINE,Effect Monster,?,?,10,Old
Slifer the Sky Dragon,,,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-04-20 11:01:46,DIVINE,,X000,X000,10,Old
Slifer the Sky Dragon,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-04-20 16:04:16,DIVINE,Effect Monster,?,?,10,New
Slifer the Sky Dragon,,,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-04-20 11:01:20,DIVINE,,X000,X000,10,New
Stake Your Soul!,54562327,"('Condition', 'Effect')",,Unlimited,Stake Your Soul!,https://yugipedia.com/wiki/Stake_Your_Soul!,,2023-04-11 16:35:28,,,,,,Old
Stake your Soul!,54562327,"('Condition', 'Effect')",Not yet released,Unlimited,Stake your Soul!,https://yugipedia.com/wiki/Stake_your_Soul!,,2023-05-22 16:14:56,,,,,,New
Super War-Lion,,,,Unlimited,Super War-Lion (Normal),https://yugipedia.com/wiki/Super_War-Lion_(Normal),,2023-03-20 11:17:41,EARTH,Normal Monster,2100,2300,7,Old
Super War-Lion,33951077,,Unlimited,Unlimited,Super War-Lion,https://yugipedia.com/wiki/Super_War-Lion,,2023-03-20 11:17:30,EARTH,Ritual Monster,2100,2300,7,Old
Super War-Lion,33951077,,Unlimited,Unlimited,Super War-Lion,https://yugipedia.com/wiki/Super_War-Lion,,2023-03-20 11:18:24,EARTH,Ritual Monster,2100,2300,7,New
Super War-Lion,,,,Unlimited,Super War-Lion (Normal),https://yugipedia.com/wiki/Super_War-Lion_(Normal),,2023-03-20 11:18:24,EARTH,Normal Monster,2100,2300,7,New
Supersoaring,93918159,"('Condition', 'Effect')",Not yet released,Unlimited,Supersoaring,https://yugipedia.com/wiki/Supersoaring,,2023-05-22 15:21:36,,,,,,New
The Seal of Orichalcos,48179391,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,The Seal of Orichalcos,https://yugipedia.com/wiki/The_Seal_of_Orichalcos,,2023-03-20 14:29:00,,,,,,Old
The Seal of Orichalcos,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Illegal,,The Seal of Orichalcos (UDE promo),https://yugipedia.com/wiki/The_Seal_of_Orichalcos_(UDE_promo),,2023-03-20 14:29:11,,,,,,Old
The Seal of Orichalcos,48179391,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,The Seal of Orichalcos,https://yugipedia.com/wiki/The_Seal_of_Orichalcos,,2023-03-20 14:28:16,,,,,,New
The Seal of Orichalcos,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Illegal,,The Seal of Orichalcos (UDE promo),https://yugipedia.com/wiki/The_Seal_of_Orichalcos_(UDE_promo),,2023-03-20 14:28:16,,,,,,New
The Virtuous Vestals,,,Legal,Legal,The Virtuous Vestals,https://yugipedia.com/wiki/The_Virtuous_Vestals,,2023-03-23 12:39:48,,Monster Token,,,,Old
The Virtuous Vestals,,,Legal,Legal,The Virtuous Vestals,https://yugipedia.com/wiki/The_Virtuous_Vestals,,2023-03-23 12:39:48,,,,,,Old
The Virtuous Vestals,,,Legal,Legal,The Virtuous Vestals,https://yugipedia.com/wiki/The_Virtuous_Vestals,,2023-03-23 12:39:28,,Monster Token,,,,New
The Virtuous Vestals,,,Legal,Legal,The Virtuous Vestals,https://yugipedia.com/wiki/The_Virtuous_Vestals,,2023-03-23 12:39:28,,,,,,New
The Winged Dragon of Ra,,,Illegal,Illegal,The Winged Dragon of Ra (original),https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra_(original),,2023-04-20 11:02:24,DIVINE,,????,????,10,Old
The Winged Dragon of Ra,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,The Winged Dragon of Ra,https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra,"('Alternate',)",2023-03-20 14:49:46,DIVINE,Effect Monster,?,?,10,Old
The Winged Dragon of Ra,,,Illegal,Illegal,The Winged Dragon of Ra (original),https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra_(original),,2023-04-20 11:03:28,DIVINE,,????,????,10,New
The Winged Dragon of Ra,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,The Winged Dragon of Ra,https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra,"('Alternate',)",2023-03-20 14:49:36,DIVINE,Effect Monster,?,?,10,New
Token,,,,Legal,Token (ZEXAL II),https://yugipedia.com/wiki/Token_(ZEXAL_II),,2019-11-22 18:38:30,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuya and Odd-Eyes Pendulum Dragon),https://yugipedia.com/wiki/Token_(Yuya_and_Odd-Eyes_Pendulum_Dragon),,2019-11-22 18:27:56,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuya and Odd-Eyes Pendulum Dragon - 20th Anniversary),https://yugipedia.com/wiki/Token_(Yuya_and_Odd-Eyes_Pendulum_Dragon_-_20th_Anniversary),,2019-11-22 18:37:11,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuto),https://yugipedia.com/wiki/Token_(Yuto),,2019-11-22 18:44:01,,Monster Token,,,,Old
Token,,,,Legal,Token (Yusei and Stardust Dragon),https://yugipedia.com/wiki/Token_(Yusei_and_Stardust_Dragon),,2019-11-22 18:24:16,,Monster Token,,,,Old
Token,,,,Legal,Token (Yusei and Stardust Dragon - 20th Anniversary),https://yugipedia.com/wiki/Token_(Yusei_and_Stardust_Dragon_-_20th_Anniversary),,2019-11-22 18:26:17,,Monster Token,,,,Old
Token,,,,Legal,Token (Yusei - OCG 20th Anniversary),https://yugipedia.com/wiki/Token_(Yusei_-_OCG_20th_Anniversary),,2019-11-22 18:20:56,,Monster Token,,,,Old
Token,,,,Legal,Token (Yugi),https://yugipedia.com/wiki/Token_(Yugi),,2019-11-22 18:19:10,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuri),https://yugipedia.com/wiki/Token_(Yuri),,2019-11-22 18:35:56,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuma),https://yugipedia.com/wiki/Token_(Yuma),,2019-11-22 18:31:45,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuma and Number 39: Utopia - 20th Anniversary),https://yugipedia.com/wiki/Token_(Yuma_and_Number_39:_Utopia_-_20th_Anniversary),,2019-11-22 18:34:16,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuma - V Jump),https://yugipedia.com/wiki/Token_(Yuma_-_V_Jump),,2019-11-22 18:33:26,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuma - OCG 20th Anniversary),https://yugipedia.com/wiki/Token_(Yuma_-_OCG_20th_Anniversary),,2019-11-22 18:32:22,,Monster Token,,,,Old
Token,,,,Legal,Token (Yugo),https://yugipedia.com/wiki/Token_(Yugo),,2019-11-22 18:43:03,,Monster Token,,,,Old
Token,,,,Legal,Token (Yugi Muto and Yami Yugi),https://yugipedia.com/wiki/Token_(Yugi_Muto_and_Yami_Yugi),,2023-03-16 15:11:34,,Monster Token,,,,Old
Token,,,,Legal,Token (ZEXAL),https://yugipedia.com/wiki/Token_(ZEXAL),,2019-11-22 18:37:53,,Monster Token,,,,Old
Token,,,,Legal,Token (Yuya - OCG 20th Anniversary),https://yugipedia.com/wiki/Token_(Yuya_-_OCG_20th_Anniversary),,2019-11-22 18:27:05,,Monster Token,,,,Old
Token,,,Legal,Legal,Token (Yami Yugi and Dark Magician),https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Dark_Magician),,2023-03-23 12:40:46,,Monster Token,,,,Old
Token,,,,Legal,Token (Yugi and Gandora the Dragon of Destruction),https://yugipedia.com/wiki/Token_(Yugi_and_Gandora_the_Dragon_of_Destruction),,2019-11-22 18:28:54,,Monster Token,,,,Old
Token,,,,Legal,Token (Yami Yugi and Dark Magician - 20th Anniversary),https://yugipedia.com/wiki/Token_(Yami_Yugi_and_Dark_Magician_-_20th_Anniversary),,2019-11-22 18:17:28,,Monster Token,,,,Old
Token,,,,Legal,Token (Yusaku - OCG 20th Anniversary),https://yugipedia.com/wiki/Token_(Yusaku_-_OCG_20th_Anniversary),,2019-11-22 18:34:57,,Monster Token,,,,Old
Token,,,,Legal,Token (World Championship 2019),https://yugipedia.com/wiki/Token_(World_Championship_2019),,2019-11-21 19:49:47,,Monster Token,,,,Old
Token,,,,Legal,Token (World Championship 2014),https://yugipedia.com/wiki/Token_(World_Championship_2014),,2019-11-21 19:48:50,,Monster Token,,,,Old
Token,,,,Legal,Token (Tori),https://yugipedia.com/wiki/Token_(Tori),,2019-11-21 19:47:37,,Monster Token,,,,Old
Token,,,,Legal,Token (Stardust Spark Dragon),https://yugipedia.com/wiki/Token_(Stardust_Spark_Dragon),,2019-11-21 19:45:39,,Monster Token,,,,Old
Token,,,,Legal,Token (Soulburner and Salamangreat Heatleo),https://yugipedia.com/wiki/Token_(Soulburner_and_Salamangreat_Heatleo),,2019-11-21 19:43:36,,Monster Token,,,,Old
Token,,,,Legal,Token (Shay and Raidraptor - Revolution Falcon),https://yugipedia.com/wiki/Token_(Shay_and_Raidraptor_-_Revolution_Falcon),,2023-03-13 03:53:47,,Monster Token,,,,Old
Token,,,Legal,Legal,Token (Kaiba and Blue-Eyes White Dragon),https://yugipedia.com/wiki/Token_(Kaiba_and_Blue-Eyes_White_Dragon),,2023-03-23 12:40:38,,Monster Token,,,,Old
Token,,,,Legal,Token (Rio),https://yugipedia.com/wiki/Token_(Rio),,2019-11-21 19:42:37,,Monster Token,,,,Old
Token,,,,Legal,Token (Kaiba & Yugi - The Dark Side of Dimensions),https://yugipedia.com/wiki/Token_(Kaiba_%26_Yugi_-_The_Dark_Side_of_Dimensions),,2019-11-21 19:26:34,,Monster Token,,,,Old
Token,,,,Legal,Token (Playmaker and Decode Talker - 20th Anniversary),https://yugipedia.com/wiki/Token_(Playmaker_and_Decode_Talker_-_20th_Anniversary),,2019-11-21 19:40:41,,Monster Token,,,,Old
Token,,,,Legal,Token (Playmaker and Cyberse Clock Dragon),https://yugipedia.com/wiki/Token_(Playmaker_and_Cyberse_Clock_Dragon),,2019-11-21 19:37:05,,Monster Token,,,,Old
Token,,,,Legal,Token (Numbers Club),https://yugipedia.com/wiki/Token_(Numbers_Club),,2019-11-21 19:35:59,,Monster Token,,,,Old
Token,,,,Legal,Token (Kite),https://yugipedia.com/wiki/Token_(Kite),,2019-11-21 19:30:22,,Monster Token,,,,Old
Token,,,,Legal,Token (Kite & Mizar),https://yugipedia.com/wiki/Token_(Kite_%26_Mizar),,2019-11-21 19:29:21,,Monster Token,,,,Old
Token,,,,Legal,Token (Playmaker and Cyberse Quantum Dragon),https://yugipedia.com/wiki/Token_(Playmaker_and_Cyberse_Quantum_Dragon),,2019-11-21 19:37:59,,Monster Token,,,,Old
Token,,,,Legal,Token (Reginald),https://yugipedia.com/wiki/Token_(Reginald),,2019-11-21 19:41:33,,Monster Token,,,,Old
Token,,,,Legal,Token (Jaden - OCG 20th Anniversary),https://yugipedia.com/wiki/Token_(Jaden_-_OCG_20th_Anniversary),,2019-11-21 19:12:31,,Monster Token,,,,Old
Token,,,,Legal,Token (Yugi and Kuriboh),https://yugipedia.com/wiki/Token_(Yugi_and_Kuriboh),,2019-11-22 18:29:21,,Monster Token,,,,Old
Token,,,,Legal,Token (20th Anniversary),https://yugipedia.com/wiki/Token_(20th_Anniversary),,2019-11-21 19:04:50,,Monster Token,,,,Old
Token,,"('Lingering effect',)",Legal,Legal,Sheep Token (Blue),https://yugipedia.com/wiki/Sheep_Token_(Blue),,2019-12-07 06:33:45,EARTH,Monster Token,0,0,1,Old
Token,,"('Lingering effect',)",Legal,Legal,Sheep Token (Orange),https://yugipedia.com/wiki/Sheep_Token_(Orange),,2019-12-07 06:35:36,EARTH,Monster Token,0,0,1,Old
