Card number,Set,Name,Rarity,Print,Page URL,Modification date,Series,Set type,Cover card,Version
CP19-JP022,Collection Pack: Duelist of Revolution Version,Fortune Fairy Chee,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP022,Collection Pack: Duelist of Revolution Version,Fortune Fairy Chee,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP023,Collection Pack: Duelist of Revolution Version,Unacceptable Result,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP023,Collection Pack: Duelist of Revolution Version,Unacceptable Result,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP024,Collection Pack: Duelist of Revolution Version,Miracle Stone,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP024,Collection Pack: Duelist of Revolution Version,Miracle Stone,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP025,Collection Pack: Duelist of Revolution Version,Lucky Loan,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP025,Collection Pack: Duelist of Revolution Version,Lucky Loan,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP026,Collection Pack: Duelist of Revolution Version,T.G. Gear Zombie,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP026,Collection Pack: Duelist of Revolution Version,T.G. Gear Zombie,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP027,Collection Pack: Duelist of Revolution Version,T.G. Drill Fish,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP027,Collection Pack: Duelist of Revolution Version,T.G. Drill Fish,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP028,Collection Pack: Duelist of Revolution Version,T.G. Metal Skeleton,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP028,Collection Pack: Duelist of Revolution Version,T.G. Metal Skeleton,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP029,Collection Pack: Duelist of Revolution Version,Sonic Stun,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP029,Collection Pack: Duelist of Revolution Version,Sonic Stun,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP030,Collection Pack: Duelist of Revolution Version,Number 26: Spaceway Octobypass,"('Normal Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP030,Collection Pack: Duelist of Revolution Version,Number 26: Spaceway Octobypass,"('Normal Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP031,Collection Pack: Duelist of Revolution Version,Number 60: Dugares the Timeless,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP031,Collection Pack: Duelist of Revolution Version,Number 60: Dugares the Timeless,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP032,Collection Pack: Duelist of Revolution Version,Number 76: Harmonizer Gradielle,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP032,Collection Pack: Duelist of Revolution Version,Number 76: Harmonizer Gradielle,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP033,Collection Pack: Duelist of Revolution Version,Number 97: Draglubion,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP033,Collection Pack: Duelist of Revolution Version,Number 97: Draglubion,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP034,Collection Pack: Duelist of Revolution Version,Battlewasp - Pin the Bullseye,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP034,Collection Pack: Duelist of Revolution Version,Battlewasp - Pin the Bullseye,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP035,Collection Pack: Duelist of Revolution Version,Battlewasp - Dart the Hunter,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP035,Collection Pack: Duelist of Revolution Version,Battlewasp - Dart the Hunter,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP036,Collection Pack: Duelist of Revolution Version,Battlewasp - Sting the Poison,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP036,Collection Pack: Duelist of Revolution Version,Battlewasp - Sting the Poison,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP037,Collection Pack: Duelist of Revolution Version,Battlewasp - Twinbow the Attacker,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP037,Collection Pack: Duelist of Revolution Version,Battlewasp - Twinbow the Attacker,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
