Card number,Set,Name,Rarity,Print,Page URL,Modification date,Set type,Version
AC03-JP003,Animation Chronicle 2023,Horned Saurus,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP003,Animation Chronicle 2023,Horned Saurus,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP004,Animation Chronicle 2023,"Colorless, Chaos King of Dark World","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP004,Animation Chronicle 2023,"Colorless, Chaos King of Dark World","('Ultra Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP005,Animation Chronicle 2023,Arcana Force XV - The Fiend,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP005,Animation Chronicle 2023,Arcana Force XV - The Fiend,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP006,Animation Chronicle 2023,,,Unknown,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP006,Animation Chronicle 2023,Bonfire,"('Super Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP007,Animation Chronicle 2023,Combat Wheel,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP007,Animation Chronicle 2023,Combat Wheel,"('Super Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP008,Animation Chronicle 2023,Ashoka Pillar,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP008,Animation Chronicle 2023,Ashoka Pillar,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP009,Animation Chronicle 2023,Cabrera Stone,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP009,Animation Chronicle 2023,Cabrera Stone,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP010,Animation Chronicle 2023,Triangle O,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP010,Animation Chronicle 2023,Triangle O,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP011,Animation Chronicle 2023,Totem Pole,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP011,Animation Chronicle 2023,Totem Pole,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP012,Animation Chronicle 2023,,,Unknown,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP012,Animation Chronicle 2023,Earthbound Release,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP014,Animation Chronicle 2023,Photon Delta Wing,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP014,Animation Chronicle 2023,Photon Delta Wing,"('Super Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP015,Animation Chronicle 2023,Armored Xyz,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP015,Animation Chronicle 2023,Armored Xyz,"('Super Rare', ""Collector's Rare"")",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP016,Animation Chronicle 2023,Ring Announcer,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP016,Animation Chronicle 2023,Ring Announcer,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP017,Animation Chronicle 2023,Earthbound Prisoner Ground Keeper,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP017,Animation Chronicle 2023,Earthbound Prisoner Ground Keeper,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP018,Animation Chronicle 2023,Earthbound Prisoner Stone Sweeper,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP018,Animation Chronicle 2023,Earthbound Prisoner Stone Sweeper,"('Super Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP019,Animation Chronicle 2023,Earthbound Prisoner Line Walker,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP019,Animation Chronicle 2023,Earthbound Prisoner Line Walker,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP020,Animation Chronicle 2023,Earthbound Servant Geo Kraken,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP020,Animation Chronicle 2023,Earthbound Servant Geo Kraken,"('Super Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP021,Animation Chronicle 2023,Earthbound Servant Geo Grasha,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP021,Animation Chronicle 2023,Earthbound Servant Geo Grasha,"('Ultra Rare', 'Secret Rare', ""Collector's Rare"")",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP022,Animation Chronicle 2023,Earthbound Servant Geo Gremlin,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP022,Animation Chronicle 2023,Earthbound Servant Geo Gremlin,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP023,Animation Chronicle 2023,Earthbound Servant Geo Gryphon,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP023,Animation Chronicle 2023,Earthbound Servant Geo Gryphon,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP024,Animation Chronicle 2023,Earthbound Prison,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP024,Animation Chronicle 2023,Earthbound Prison,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP025,Animation Chronicle 2023,Harmonic Synchro Fusion,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP025,Animation Chronicle 2023,Harmonic Synchro Fusion,"('Ultra Rare', 'Secret Rare', ""Collector's Rare"")",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP026,Animation Chronicle 2023,Phoenix Gearblade,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP026,Animation Chronicle 2023,Phoenix Gearblade,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP027,Animation Chronicle 2023,Drastic Draw,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP027,Animation Chronicle 2023,Drastic Draw,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP028,Animation Chronicle 2023,Transaction Rollback,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP028,Animation Chronicle 2023,Transaction Rollback,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP029,Animation Chronicle 2023,Code Hack,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP029,Animation Chronicle 2023,Code Hack,"('Normal Parallel Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP030,Animation Chronicle 2023,Chimera the Flying Mythical Beast,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP030,Animation Chronicle 2023,Chimera the Flying Mythical Beast,"('Common', ""Collector's Rare"")",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP031,Animation Chronicle 2023,Gazelle the King of Mythical Beasts,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP031,Animation Chronicle 2023,Gazelle the King of Mythical Beasts,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP032,Animation Chronicle 2023,Berfomet,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP032,Animation Chronicle 2023,Berfomet,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP033,Animation Chronicle 2023,Doppelwarrior,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP033,Animation Chronicle 2023,Doppelwarrior,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP034,Animation Chronicle 2023,Jet Synchron,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP034,Animation Chronicle 2023,Jet Synchron,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP035,Animation Chronicle 2023,Satellite Synchron,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP035,Animation Chronicle 2023,Satellite Synchron,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP036,Animation Chronicle 2023,De-Synchro,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP036,Animation Chronicle 2023,De-Synchro,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP037,Animation Chronicle 2023,Synchro Chase,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP037,Animation Chronicle 2023,Synchro Chase,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP038,Animation Chronicle 2023,Earthbound Immortal Aslla piscu,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP038,Animation Chronicle 2023,Earthbound Immortal Aslla piscu,"('Common', ""Collector's Rare"")",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP039,Animation Chronicle 2023,Earthbound Linewalker,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP039,Animation Chronicle 2023,Earthbound Linewalker,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP040,Animation Chronicle 2023,Earthbound Greater Linewalker,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP040,Animation Chronicle 2023,Earthbound Greater Linewalker,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP041,Animation Chronicle 2023,Hundred Eyes Dragon,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP041,Animation Chronicle 2023,Hundred Eyes Dragon,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP042,Animation Chronicle 2023,Earthbound Geoglyph,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP042,Animation Chronicle 2023,Earthbound Geoglyph,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP043,Animation Chronicle 2023,Full Armored Crystalzero Lancer,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP043,Animation Chronicle 2023,Full Armored Crystalzero Lancer,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP044,Animation Chronicle 2023,Full Armored Black Ray Lancer,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP044,Animation Chronicle 2023,Full Armored Black Ray Lancer,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP045,Animation Chronicle 2023,Supreme King Gate Zero,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP045,Animation Chronicle 2023,Supreme King Gate Zero,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP046,Animation Chronicle 2023,Supreme King Gate Infinity,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP046,Animation Chronicle 2023,Supreme King Gate Infinity,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP047,Animation Chronicle 2023,Supreme King Dragon Darkwurm,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP047,Animation Chronicle 2023,Supreme King Dragon Darkwurm,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP048,Animation Chronicle 2023,Supreme King Dragon Odd-Eyes,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP048,Animation Chronicle 2023,Supreme King Dragon Odd-Eyes,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP049,Animation Chronicle 2023,Supreme King Dragon Starving Venom,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP049,Animation Chronicle 2023,Supreme King Dragon Starving Venom,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP050,Animation Chronicle 2023,Supreme King Dragon Clear Wing,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP050,Animation Chronicle 2023,Supreme King Dragon Clear Wing,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP051,Animation Chronicle 2023,Supreme King Dragon Dark Rebellion,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP051,Animation Chronicle 2023,Supreme King Dragon Dark Rebellion,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP052,Animation Chronicle 2023,Supreme Rage,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP052,Animation Chronicle 2023,Supreme Rage,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP053,Animation Chronicle 2023,Altergeist Marionetter,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP053,Animation Chronicle 2023,Altergeist Marionetter,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP054,Animation Chronicle 2023,Altergeist Silquitous,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP054,Animation Chronicle 2023,Altergeist Silquitous,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP055,Animation Chronicle 2023,Altergeist Meluseek,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP055,Animation Chronicle 2023,Altergeist Meluseek,"('Common', 'Secret Rare')",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP056,Animation Chronicle 2023,Altergeist Multifaker,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP056,Animation Chronicle 2023,Altergeist Multifaker,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP057,Animation Chronicle 2023,Altergeist Hexstia,,Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
