Card number,Set,Name,Rarity,Print,Quantity,Page URL,Modification date,Release,Set type,Cover card,Version
BLMR-EN???,Battles of Legend: Monstrous Revenge,Noh-P.U.N.K. Foxy Tune,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,"Dante, Traveler of the Burning Abyss","('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Divine Arsenal AA-ZEUS - Sky Thunder,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Sky Striker Mobilize - Engage!,"('QCScR',)",New artwork,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Daidaratant the Ooze Giant,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Dark Magician the Knight of Dragon Magic,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Dark Magician the Knight of Dragon Magic,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Assault Synchron,"('QCScR',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Numbers Last Hope,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Odd-Eyes Rebellion Xyz Dragon,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Rokket Coder,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Extox Hydra,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Tri-Edge Master,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,"Ghost Lancer, the Underworld Spearman",,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Armed Neos,"('QCScR',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Cattycorn,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Dark Armed Dragon,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Knightmare Corruptor Iblee,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Danger! Nessie!,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Noh-P.U.N.K. Foxy Tune,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,"Dante, Traveler of the Burning Abyss","('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Divine Arsenal AA-ZEUS - Sky Thunder,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Sky Striker Mobilize - Engage!,"('QCScR',)",New artwork,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Daidaratant the Ooze Giant,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Rite of Aramesir,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-EN???,Battles of Legend: Monstrous Revenge,Welcome Labrynth,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-05 17:52:54,2023-06-22,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
DT01-JP001,Duel Terminal - Synchro Awakening!!,Blue-Eyes White Dragon,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP001,Duel Terminal - Synchro Awakening!!,Blue-Eyes White Dragon,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP002,Duel Terminal - Synchro Awakening!!,Dark Magician,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP002,Duel Terminal - Synchro Awakening!!,Dark Magician,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP003,Duel Terminal - Synchro Awakening!!,Red-Eyes B. Dragon,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP003,Duel Terminal - Synchro Awakening!!,Red-Eyes B. Dragon,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP004,Duel Terminal - Synchro Awakening!!,Ojama Yellow,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP004,Duel Terminal - Synchro Awakening!!,Ojama Yellow,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP005,Duel Terminal - Synchro Awakening!!,Elemental HERO Neos,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP005,Duel Terminal - Synchro Awakening!!,Elemental HERO Neos,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP006,Duel Terminal - Synchro Awakening!!,Buster Blader,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP006,Duel Terminal - Synchro Awakening!!,Buster Blader,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP007,Duel Terminal - Synchro Awakening!!,Kuriboh,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP007,Duel Terminal - Synchro Awakening!!,Kuriboh,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP008,Duel Terminal - Synchro Awakening!!,Winged Kuriboh,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP008,Duel Terminal - Synchro Awakening!!,Winged Kuriboh,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP009,Duel Terminal - Synchro Awakening!!,Cyber Dragon,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP009,Duel Terminal - Synchro Awakening!!,Cyber Dragon,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP010,Duel Terminal - Synchro Awakening!!,"Blizzed, Defender of the Ice Barrier","('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP010,Duel Terminal - Synchro Awakening!!,"Blizzed, Defender of the Ice Barrier","('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP011,Duel Terminal - Synchro Awakening!!,Blizzard Warrior,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP011,Duel Terminal - Synchro Awakening!!,Blizzard Warrior,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP012,Duel Terminal - Synchro Awakening!!,Cryomancer of the Ice Barrier,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP012,Duel Terminal - Synchro Awakening!!,Cryomancer of the Ice Barrier,"('Duel Terminal Rare Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP013,Duel Terminal - Synchro Awakening!!,Mist Valley Thunderbird,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP013,Duel Terminal - Synchro Awakening!!,Mist Valley Thunderbird,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP014,Duel Terminal - Synchro Awakening!!,Mist Valley Shaman,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP014,Duel Terminal - Synchro Awakening!!,Mist Valley Shaman,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP015,Duel Terminal - Synchro Awakening!!,Mist Valley Soldier,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP015,Duel Terminal - Synchro Awakening!!,Mist Valley Soldier,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP016,Duel Terminal - Synchro Awakening!!,Flamvell Dragnov,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP016,Duel Terminal - Synchro Awakening!!,Flamvell Dragnov,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP017,Duel Terminal - Synchro Awakening!!,Flamvell Magician,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP017,Duel Terminal - Synchro Awakening!!,Flamvell Magician,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP018,Duel Terminal - Synchro Awakening!!,Flamvell Guard,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP018,Duel Terminal - Synchro Awakening!!,Flamvell Guard,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP019,Duel Terminal - Synchro Awakening!!,X-Saber Axel,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP019,Duel Terminal - Synchro Awakening!!,X-Saber Axel,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP020,Duel Terminal - Synchro Awakening!!,X-Saber Airbellum,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP020,Duel Terminal - Synchro Awakening!!,X-Saber Airbellum,"('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP021,Duel Terminal - Synchro Awakening!!,X-Saber Uruz,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP021,Duel Terminal - Synchro Awakening!!,X-Saber Uruz,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP022,Duel Terminal - Synchro Awakening!!,"Commander Gottoms, Swordmaster","('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP022,Duel Terminal - Synchro Awakening!!,"Commander Gottoms, Swordmaster","('Duel Terminal Super Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
DT01-JP023,Duel Terminal - Synchro Awakening!!,Ally of Justice - Clausolas,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-04-12,Duel Terminal,,Old
DT01-JP023,Duel Terminal - Synchro Awakening!!,Ally of Justice - Clausolas,"('Duel Terminal Normal Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duel_Terminal_-_Synchro_Awakening!!_(OCG-JP),2023-04-28 12:49:42,2008-03-12,Duel Terminal,,New
