Card number,Set,Name,Rarity,Print,Region,Page URL,Modification date,Release,Series,Set type,Cover card,Version
AGOV-JP000,Age of Overlord,Magicians of Bonds and Unity,"('QCScR',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP000,Age of Overlord,Magicians of Bonds and Unity,"('QCScR',)",Reprint,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP001,Age of Overlord,Supreme King Gate Magician,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP001,Age of Overlord,Supreme King Gate Magician,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP002,Age of Overlord,Supreme King Dragon Lightwurm,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP002,Age of Overlord,Supreme King Dragon Lightwurm,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP003,Age of Overlord,T.G. Rocket Salamander,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP003,Age of Overlord,T.G. Rocket Salamander,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP004,Age of Overlord,Visas Samsara,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP004,Age of Overlord,Visas Samsara,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP005,Age of Overlord,Veda Upanishad,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP005,Age of Overlord,Veda Upanishad,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP006,Age of Overlord,Diabellestarr the Dark Witch,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP006,Age of Overlord,Diabellestarr the Dark Witch,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP007,Age of Overlord,Snake-Eye Excel,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP007,Age of Overlord,Snake-Eye Excel,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP008,Age of Overlord,Snake-Eye Oark,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP008,Age of Overlord,Snake-Eye Oark,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP009,Age of Overlord,Snake-Eye Wight Birch,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP009,Age of Overlord,Snake-Eye Wight Birch,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP010,Age of Overlord,Snake-Eyes Flamberge Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP010,Age of Overlord,Snake-Eyes Flamberge Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP011,Age of Overlord,"Imsety, Glory of Horus","('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP011,Age of Overlord,"Imsety, Glory of Horus","('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP012,Age of Overlord,"Duamutef, Blessing of Horus","('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP012,Age of Overlord,"Duamutef, Blessing of Horus","('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP013,Age of Overlord,"Hapy, Vanguard of Horus","('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP013,Age of Overlord,"Hapy, Vanguard of Horus","('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP014,Age of Overlord,"Qebehsenuef, Aegis of Horus","('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP014,Age of Overlord,"Qebehsenuef, Aegis of Horus","('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP015,Age of Overlord,Wattuna,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP015,Age of Overlord,Wattuna,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP016,Age of Overlord,"Neferabyss, the Ogdoadic Overlord","('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP016,Age of Overlord,"Neferabyss, the Ogdoadic Overlord","('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP017,Age of Overlord,Arias the Labrynth Butler,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP017,Age of Overlord,Arias the Labrynth Butler,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP018,Age of Overlord,Vanquish Soul Jiaolong,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP018,Age of Overlord,Vanquish Soul Jiaolong,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP019,Age of Overlord,Poissoniere de Nouvelles,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP019,Age of Overlord,Poissoniere de Nouvelles,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP020,Age of Overlord,Dark Hole Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP020,Age of Overlord,Dark Hole Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP021,Age of Overlord,UFOLight,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP021,Age of Overlord,UFOLight,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP022,Age of Overlord,Ooyatsu Tsumamuhime,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP022,Age of Overlord,Ooyatsu Tsumamuhime,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP023,Age of Overlord,Invasive Alien Species - I.A.S,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP023,Age of Overlord,Invasive Alien Species - I.A.S,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP024,Age of Overlord,Tarai,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP024,Age of Overlord,Tarai,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP025,Age of Overlord,Tao the Great Chanter,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP025,Age of Overlord,Tao the Great Chanter,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP026,Age of Overlord,Hanayome Ningyo,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP026,Age of Overlord,Hanayome Ningyo,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP027,Age of Overlord,Oriori no Kamigami,"('Normal Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP027,Age of Overlord,Oriori no Kamigami,"('Normal Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP028,Age of Overlord,Shinobaroness Shade Peacock,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP028,Age of Overlord,Shinobaroness Shade Peacock,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP029,Age of Overlord,Shinobaron Shade Peacock,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP029,Age of Overlord,Shinobaron Shade Peacock,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP030,Age of Overlord,Supreme Celestial King Odd-Eyes Arc-Ray Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR', 'Holographic Rare')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP030,Age of Overlord,Supreme Celestial King Odd-Eyes Arc-Ray Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR', 'Holographic Rare')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP031,Age of Overlord,Earthbound Servant Geo Gremlina,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP031,Age of Overlord,Earthbound Servant Geo Gremlina,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP032,Age of Overlord,Berfomet the Phantom Beast Dark Ruler,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP032,Age of Overlord,Berfomet the Phantom Beast Dark Ruler,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP033,Age of Overlord,"Gaia Prominence, the Kindling Seraph","('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP033,Age of Overlord,"Gaia Prominence, the Kindling Seraph","('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP034,Age of Overlord,T.G. Mighty Striker,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP034,Age of Overlord,T.G. Mighty Striker,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP035,Age of Overlord,T.G. Over Dragner,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP035,Age of Overlord,T.G. Over Dragner,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP036,Age of Overlord,T.G. Glaive Blaster,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP036,Age of Overlord,T.G. Glaive Blaster,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP037,Age of Overlord,Mannadium Trilosukda,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
