Name,Password,Effect type,TCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Monster type,ATK,DEF,Version
A Cat of Ill Omen,24140059,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,2022-04-11 17:39:44,,Effect Monster,Flip monster,Beast,500,300,Old
A Cat of Ill Omen,24140059,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,2022-04-11 17:39:44,,"('Effect Monster',)",Flip monster,Beast,500,300,New
A Man with Wdjat,51351302,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/A_Man_with_Wdjat,2023-01-03 15:53:59,,Effect Monster,,Spellcaster,1600,1600,Old
A Man with Wdjat,51351302,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/A_Man_with_Wdjat,2023-01-03 15:53:59,,"('Effect Monster',)",,Spellcaster,1600,1600,New
A-Assault Core,30012506,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/A-Assault_Core,2022-07-24 09:50:49,,Effect Monster,Union monster,Machine,1900,200,Old
A-Assault Core,30012506,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/A-Assault_Core,2022-07-24 09:50:49,,"('Effect Monster',)",Union monster,Machine,1900,200,New
A-Team: Trap Disposal Unit,13026402,"('Quick Effect',)",Unlimited,,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,2021-03-06 20:47:44,,Effect Monster,,Machine,300,400,Old
A-Team: Trap Disposal Unit,13026402,"('Quick Effect',)",Unlimited,,https://yugipedia.com/wiki/A-Team:_Trap_Disposal_Unit,2021-03-06 20:47:44,,"('Effect Monster',)",,Machine,300,400,New
A-to-Z-Dragon Buster Cannon,65172015,"('Quick Effect', 'Summoning condition')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,2022-11-11 13:37:01,,Fusion Monster,,Machine,4000,4000,Old
A-to-Z-Dragon Buster Cannon,65172015,"('Quick Effect', 'Summoning condition')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/A-to-Z-Dragon_Buster_Cannon,2022-11-11 13:37:01,,"('Effect Monster', 'Fusion Monster')",,Machine,4000,4000,New
A/D Changer,96146814,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/A/D_Changer,2022-03-31 12:47:56,,Effect Monster,,Warrior,100,100,Old
A/D Changer,96146814,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/A/D_Changer,2022-03-31 12:47:56,,"('Effect Monster',)",,Warrior,100,100,New
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/ABC-Dragon_Buster,2021-07-10 13:42:21,,Fusion Monster,,Machine,3000,2800,Old
ABC-Dragon Buster,01561110,"('Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/ABC-Dragon_Buster,2021-07-10 13:42:21,,"('Effect Monster', 'Fusion Monster')",,Machine,3000,2800,New
Abaki,12694768,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Abaki,2021-11-06 16:29:42,,Effect Monster,,Fiend,1700,1100,Old
Abaki,12694768,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Abaki,2021-11-06 16:29:42,,"('Effect Monster',)",,Fiend,1700,1100,New
Abare Ushioni,89718302,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abare_Ushioni,2022-08-25 09:32:52,,Effect Monster,,Beast-Warrior,1200,1200,Old
Abare Ushioni,89718302,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abare_Ushioni,2022-08-25 09:32:52,,"('Effect Monster',)",,Beast-Warrior,1200,1200,New
Abominable Unchained Soul,01966438,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abominable_Unchained_Soul,2022-05-05 16:39:35,,Effect Monster,,Fiend,3000,1500,Old
Abominable Unchained Soul,01966438,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abominable_Unchained_Soul,2022-05-05 16:39:35,,"('Effect Monster',)",,Fiend,3000,1500,New
Absolute Crusader,70832512,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Absolute_Crusader,2020-11-15 04:24:25,,Effect Monster,,Warrior,1800,1200,Old
Absolute Crusader,70832512,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Absolute_Crusader,2020-11-15 04:24:25,,"('Effect Monster',)",,Warrior,1800,1200,New
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Absolute_King_Back_Jack,2022-12-01 16:10:35,,Effect Monster,,Fiend,0,0,Old
Absolute King Back Jack,60990740,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Absolute_King_Back_Jack,2022-12-01 16:10:35,,"('Effect Monster',)",,Fiend,0,0,New
Absorbing Jar,03900605,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/Absorbing_Jar,2021-11-06 15:22:32,"('Type',)",Effect Monster,Flip monster,Rock,600,500,Old
Absorbing Jar,03900605,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/Absorbing_Jar,2021-11-06 15:22:32,"('Type',)","('Effect Monster',)",Flip monster,Rock,600,500,New
Absorbing Kid from the Sky,49771608,"('Trigger Effect',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,2021-01-06 17:27:20,,Effect Monster,,Fairy,1300,1000,Old
Absorbing Kid from the Sky,49771608,"('Trigger Effect',)",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Absorbing_Kid_from_the_Sky,2021-01-06 17:27:20,,"('Effect Monster',)",,Fairy,1300,1000,New
Absorouter Dragon,67748760,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Absorouter_Dragon,2021-12-27 19:15:49,,Effect Monster,,Dragon,1200,2800,Old
Absorouter Dragon,67748760,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Absorouter_Dragon,2021-12-27 19:15:49,,"('Effect Monster',)",,Dragon,1200,2800,New
Abyss Actor - Comic Relief,15308295,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,2022-04-01 12:47:22,,Effect Monster,,Fiend,1000,2000,Old
Abyss Actor - Comic Relief,15308295,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Comic_Relief,2022-04-01 12:47:22,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1000,2000,New
Abyss Actor - Curtain Raiser,44179224,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,2023-01-03 23:00:28,,Effect Monster,,Fiend,1100,1000,Old
Abyss Actor - Curtain Raiser,44179224,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Curtain_Raiser,2023-01-03 23:00:28,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1100,1000,New
Abyss Actor - Evil Heel,52240819,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,2020-03-12 23:08:29,,Effect Monster,,Fiend,3000,2000,Old
Abyss Actor - Evil Heel,52240819,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Evil_Heel,2020-03-12 23:08:29,,"('Effect Monster', 'Pendulum Monster')",,Fiend,3000,2000,New
Abyss Actor - Extras,88412339,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,2022-04-01 12:55:44,,Effect Monster,,Fiend,100,100,Old
Abyss Actor - Extras,88412339,"('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Extras,2022-04-01 12:55:44,,"('Effect Monster', 'Pendulum Monster')",,Fiend,100,100,New
Abyss Actor - Funky Comedian,99634927,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,2020-03-12 23:09:45,,Effect Monster,,Fiend,300,200,Old
Abyss Actor - Funky Comedian,99634927,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Funky_Comedian,2020-03-12 23:09:45,,"('Effect Monster', 'Pendulum Monster')",,Fiend,300,200,New
Abyss Actor - Hyper Director,02368215,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,2021-10-06 00:21:20,,Link Monster,,Fiend,800,,Old
Abyss Actor - Hyper Director,02368215,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Hyper_Director,2021-10-06 00:21:20,,"('Effect Monster', 'Link Monster')",,Fiend,800,,New
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,2022-12-30 14:53:58,,Effect Monster,,Fiend,1500,1000,Old
Abyss Actor - Leading Lady,24907044,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Leading_Lady,2022-12-30 14:53:58,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1500,1000,New
Abyss Actor - Liberty Dramatist,65477143,"('Condition', 'Trigger Effect')",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,2023-02-02 22:19:25,,Effect Monster,,Fiend,1500,1500,Old
Abyss Actor - Liberty Dramatist,65477143,"('Condition', 'Trigger Effect')",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Liberty_Dramatist,2023-02-07 01:55:26,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1500,1500,New
Abyss Actor - Mellow Madonna,78310590,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,2022-04-20 02:49:15,,Effect Monster,,Fiend,1800,2500,Old
Abyss Actor - Mellow Madonna,78310590,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Abyss_Actor_-_Mellow_Madonna,2022-04-20 02:49:15,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1800,2500,New
Abyss Actor - Sassy Rookie,51028231,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,2020-03-12 23:12:06,,Effect Monster,,Fiend,1700,1000,Old
Abyss Actor - Sassy Rookie,51028231,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Sassy_Rookie,2020-03-12 23:12:06,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1700,1000,New
Abyss Actor - Super Producer,47404795,"('Condition', 'Quick Effect')",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,2023-02-02 22:02:00,,Link Monster,,Fiend,1600,,Old
Abyss Actor - Super Producer,47404795,"('Condition', 'Quick Effect')",Not yet released,,https://yugipedia.com/wiki/Abyss_Actor_-_Super_Producer,2023-02-07 02:16:57,,"('Effect Monster', 'Link Monster')",,Fiend,1600,,New
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,2022-12-25 15:47:09,,Effect Monster,,Fiend,2500,1800,Old
Abyss Actor - Superstar,25629622,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Superstar,2022-12-25 15:47:09,,"('Effect Monster', 'Pendulum Monster')",,Fiend,2500,1800,New
Abyss Actor - Trendy Understudy,39024589,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,2022-04-01 12:51:54,,Effect Monster,,Fiend,700,700,Old
Abyss Actor - Trendy Understudy,39024589,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Trendy_Understudy,2022-04-01 12:51:54,,"('Effect Monster', 'Pendulum Monster')",,Fiend,700,700,New
Abyss Actor - Twinkle Little Star,07279373,"('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,2022-04-20 02:36:21,,Effect Monster,,Fiend,1000,1000,Old
Abyss Actor - Twinkle Little Star,07279373,"('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Twinkle_Little_Star,2022-04-20 02:36:21,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1000,1000,New
Abyss Actor - Wild Hope,51391183,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,2022-04-01 12:56:34,,Effect Monster,,Fiend,1600,1200,Old
Abyss Actor - Wild Hope,51391183,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Actor_-_Wild_Hope,2022-04-01 12:56:34,,"('Effect Monster', 'Pendulum Monster')",,Fiend,1600,1200,New
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Dweller,2022-10-10 14:40:57,,Xyz Monster,,Sea Serpent,1700,1400,Old
Abyss Dweller,21044178,"('Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Dweller,2022-10-10 14:40:57,,"('Effect Monster', 'Xyz Monster')",,Sea Serpent,1700,1400,New
Abyss Flower,40387124,,,,https://yugipedia.com/wiki/Abyss_Flower,2021-10-30 17:01:55,,Normal Monster,,Plant,750,400,Old
Abyss Flower,40387124,,,,https://yugipedia.com/wiki/Abyss_Flower,2021-10-30 17:01:55,,"('Normal Monster',)",,Plant,750,400,New
Abyss Keeper,82184400,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Keeper,2023-01-01 18:58:59,,Link Monster,,Fish,1500,,Old
Abyss Keeper,82184400,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Keeper,2023-01-01 18:58:59,,"('Effect Monster', 'Link Monster')",,Fish,1500,,New
Abyss Shark,61496006,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Shark,2022-06-16 17:42:58,,Effect Monster,,Fish,1200,700,Old
Abyss Shark,61496006,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Abyss_Shark,2022-06-16 17:42:58,,"('Effect Monster',)",,Fish,1200,700,New
Abyss Soldier,18318842,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Soldier,2022-04-29 12:29:25,,Effect Monster,,Aqua,1800,1300,Old
Abyss Soldier,18318842,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Soldier,2022-04-29 12:29:25,,"('Effect Monster',)",,Aqua,1800,1300,New
Abyss Warrior,88409165,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Warrior,2021-11-06 15:59:29,,Effect Monster,,Aqua,1800,1300,Old
Abyss Warrior,88409165,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyss_Warrior,2021-11-06 15:59:29,,"('Effect Monster',)",,Aqua,1800,1300,New
Abyssal Kingshark,44223284,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyssal_Kingshark,2022-04-19 18:05:11,,Effect Monster,,Fish,1700,600,Old
Abyssal Kingshark,44223284,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Abyssal_Kingshark,2022-04-19 18:05:11,,"('Effect Monster',)",,Fish,1700,600,New
Accel Synchro Stardust Dragon,30983281,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,2022-11-22 18:35:54,,Synchro Monster,,Dragon,2500,2000,Old
Accel Synchro Stardust Dragon,30983281,"('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,https://yugipedia.com/wiki/Accel_Synchro_Stardust_Dragon,2023-02-07 14:37:24,,"('Effect Monster', 'Synchro Monster')",,Dragon,2500,2000,New
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Accel_Synchron,2022-07-21 16:34:07,,Synchro Monster,Tuner monster,Machine,500,2100,Old
Accel Synchron,37675907,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Accel_Synchron,2022-07-21 16:34:07,,"('Effect Monster', 'Synchro Monster')",Tuner monster,Machine,500,2100,New
Accesscode Talker,86066372,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Accesscode_Talker,2022-11-17 14:16:54,,Link Monster,,Cyberse,2300,,Old
Accesscode Talker,86066372,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Accesscode_Talker,2022-11-17 14:16:54,,"('Effect Monster', 'Link Monster')",,Cyberse,2300,,New
Achacha Archer,98865920,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Achacha_Archer,2022-07-25 23:38:59,,Effect Monster,,Warrior,1200,600,Old
Achacha Archer,98865920,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Achacha_Archer,2022-07-25 23:38:59,,"('Effect Monster',)",,Warrior,1200,600,New
Achacha Chanbara,62476197,"('Quick Effect',)",Unlimited,,https://yugipedia.com/wiki/Achacha_Chanbara,2022-07-25 23:38:38,,Effect Monster,,Warrior,1400,400,Old
Achacha Chanbara,62476197,"('Quick Effect',)",Unlimited,,https://yugipedia.com/wiki/Achacha_Chanbara,2022-07-25 23:38:38,,"('Effect Monster',)",,Warrior,1400,400,New
Achichi @Ignister,15808381,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Achichi_@Ignister,2022-05-05 16:35:06,,Effect Monster,,Cyberse,800,800,Old
Achichi @Ignister,15808381,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Achichi_@Ignister,2022-05-05 16:35:06,,"('Effect Monster',)",,Cyberse,800,800,New
Acid Crawler,77568553,,,,https://yugipedia.com/wiki/Acid_Crawler,2021-07-05 10:32:40,,Normal Monster,,Insect,900,700,Old
Acid Crawler,77568553,,,,https://yugipedia.com/wiki/Acid_Crawler,2021-07-05 10:32:40,,"('Normal Monster',)",,Insect,900,700,New
Acorno,21051977,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Acorno,2021-11-06 15:24:17,,Effect Monster,,Plant,200,400,Old
Acorno,21051977,"('Ignition Effect',)",Unlimited,,https://yugipedia.com/wiki/Acorno,2021-11-06 15:24:17,,"('Effect Monster',)",,Plant,200,400,New
Acrobat Monkey,47372349,,Unlimited,,https://yugipedia.com/wiki/Acrobat_Monkey,2021-11-06 15:24:39,,Normal Monster,,Machine,1000,1800,Old
Acrobat Monkey,47372349,,Unlimited,,https://yugipedia.com/wiki/Acrobat_Monkey,2021-11-06 15:24:39,,"('Normal Monster',)",,Machine,1000,1800,New
Acrobatic Magician,33656832,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Acrobatic_Magician,2021-11-07 04:32:35,,Effect Monster,,Spellcaster,800,2300,Old
Acrobatic Magician,33656832,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Acrobatic_Magician,2021-11-07 04:32:35,,"('Effect Monster', 'Pendulum Monster')",,Spellcaster,800,2300,New
Ad Libitum of Despia,81555617,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,2022-11-04 01:22:15,,Effect Monster,,Fairy,1500,2000,Old
Ad Libitum of Despia,81555617,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Ad_Libitum_of_Despia,2022-11-04 01:22:15,,"('Effect Monster',)",,Fairy,1500,2000,New
Adamancipator Analyzer,11302671,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Analyzer,2021-10-07 07:57:40,,Effect Monster,Tuner monster,Rock,1500,700,Old
Adamancipator Analyzer,11302671,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Analyzer,2021-10-07 07:57:40,,"('Effect Monster',)",Tuner monster,Rock,1500,700,New
Adamancipator Crystal - Dragite,10286023,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,2021-10-07 07:57:14,,Effect Monster,,Rock,0,2200,Old
Adamancipator Crystal - Dragite,10286023,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Dragite,2021-10-07 07:57:14,,"('Effect Monster',)",,Rock,0,2200,New
Adamancipator Crystal - Leonite,47897376,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,2021-10-07 07:57:28,,Effect Monster,,Rock,0,2200,Old
Adamancipator Crystal - Leonite,47897376,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Leonite,2021-10-07 07:57:28,,"('Effect Monster',)",,Rock,0,2200,New
Adamancipator Crystal - Raptite,74891384,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,2021-10-07 07:57:19,,Effect Monster,,Rock,0,2200,Old
Adamancipator Crystal - Raptite,74891384,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Crystal_-_Raptite,2021-10-07 07:57:19,,"('Effect Monster',)",,Rock,0,2200,New
Adamancipator Researcher,85914562,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Researcher,2022-04-20 02:41:50,,Effect Monster,Tuner monster,Rock,100,2100,Old
Adamancipator Researcher,85914562,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Researcher,2022-04-20 02:41:50,,"('Effect Monster',)",Tuner monster,Rock,100,2100,New
Adamancipator Risen - Dragite,09464441,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,2021-10-07 07:36:18,,Synchro Monster,,Rock,3000,2200,Old
Adamancipator Risen - Dragite,09464441,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Dragite,2021-10-07 07:36:18,,"('Effect Monster', 'Synchro Monster')",,Rock,3000,2200,New
Adamancipator Risen - Leonite,47674738,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,2021-10-07 07:57:03,,Synchro Monster,,Rock,2400,2200,Old
Adamancipator Risen - Leonite,47674738,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Leonite,2021-10-07 07:57:03,,"('Effect Monster', 'Synchro Monster')",,Rock,2400,2200,New
Adamancipator Risen - Raptite,73079836,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Raptite,2022-04-20 02:31:43,,Synchro Monster,,Rock,2200,2800,Old
Adamancipator Risen - Raptite,73079836,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Risen_-_Raptite,2022-04-20 02:31:43,,"('Effect Monster', 'Synchro Monster')",,Rock,2200,2800,New
Adamancipator Seeker,48519867,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Seeker,2021-10-07 07:58:01,,Effect Monster,Tuner monster,Rock,1200,1000,Old
Adamancipator Seeker,48519867,"('Condition', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Adamancipator_Seeker,2021-10-07 07:58:01,,"('Effect Monster',)",Tuner monster,Rock,1200,1000,New
Adhesive Explosive,53828396,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Adhesive_Explosive,2020-11-15 04:46:04,,Effect Monster,,Machine,1000,1000,Old
