Name,Password,Effect type,TCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Version
Emergency Provisions,53046408,"('Cost', 'Effect')",Unlimited,Unlimited,Emergency Provisions,https://yugipedia.com/wiki/Emergency_Provisions,,2023-08-24 18:27:39,New
Enraged Muka Muka,91862578,"('Continuous Effect',)",Unlimited,Not yet released,Enraged Muka Muka,https://yugipedia.com/wiki/Enraged_Muka_Muka,,2023-08-15 02:07:08,Old
Enraged Muka Muka,91862578,"('Continuous Effect',)",Unlimited,Unlimited,Enraged Muka Muka,https://yugipedia.com/wiki/Enraged_Muka_Muka,,2023-08-24 18:31:13,New
Exchange,05556668,"('Effect',)",Unlimited,Not yet released,Exchange,https://yugipedia.com/wiki/Exchange,"('Edited',)",2023-08-15 03:01:28,Old
Exchange,05556668,"('Effect',)",Unlimited,Unlimited,Exchange,https://yugipedia.com/wiki/Exchange,"('Edited',)",2023-08-24 18:10:29,New
Exhausting Spell,95451366,"('Effect',)",Unlimited,Not yet released,Exhausting Spell,https://yugipedia.com/wiki/Exhausting_Spell,,2023-08-15 03:07:07,Old
Exhausting Spell,95451366,"('Effect',)",Unlimited,Unlimited,Exhausting Spell,https://yugipedia.com/wiki/Exhausting_Spell,,2023-08-25 14:35:47,New
Fiend Kraken,77456781,,Not yet released,Not yet released,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-17 05:03:43,Old
Fiend Kraken,77456781,,Unlimited,Unlimited,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-24 19:15:22,New
Fish Depth Charge,58873391,"('Cost', 'Effect')",Unlimited,Not yet released,Fish Depth Charge,https://yugipedia.com/wiki/Fish_Depth_Charge,,2023-08-14 23:17:54,Old
Fish Depth Charge,58873391,"('Cost', 'Effect')",Unlimited,Unlimited,Fish Depth Charge,https://yugipedia.com/wiki/Fish_Depth_Charge,,2023-08-24 19:12:32,New
Floodgate Trap Hole,69599136,"('Activation condition', 'Effect')",Unlimited,Limited 3,Floodgate Trap Hole,https://yugipedia.com/wiki/Floodgate_Trap_Hole,,2023-08-24 18:49:37,New
Flyfang,11954712,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Flyfang,https://yugipedia.com/wiki/Flyfang,,2023-08-14 21:34:20,Old
Flyfang,11954712,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Flyfang,https://yugipedia.com/wiki/Flyfang,,2023-08-24 19:18:31,New
Galaxy Cyclone,05133471,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Galaxy Cyclone,https://yugipedia.com/wiki/Galaxy_Cyclone,,2023-04-08 22:41:59,New
Gear Golem the Moving Fortress,30190809,"('Ignition Effect',)",Unlimited,Not yet released,Gear Golem the Moving Fortress,https://yugipedia.com/wiki/Gear_Golem_the_Moving_Fortress,,2023-08-15 00:24:12,Old
Gear Golem the Moving Fortress,30190809,"('Ignition Effect',)",Unlimited,Unlimited,Gear Golem the Moving Fortress,https://yugipedia.com/wiki/Gear_Golem_the_Moving_Fortress,,2023-08-24 18:54:42,New
Gearfried the Red-Eyes Iron Knight,85651167,"('Ignition Effect', 'Trigger Effect')",Unlimited,Not yet released,Gearfried the Red-Eyes Iron Knight,https://yugipedia.com/wiki/Gearfried_the_Red-Eyes_Iron_Knight,,2023-08-15 02:48:34,Old
Gearfried the Red-Eyes Iron Knight,85651167,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Gearfried the Red-Eyes Iron Knight,https://yugipedia.com/wiki/Gearfried_the_Red-Eyes_Iron_Knight,,2023-08-25 14:35:57,New
Gift of the Martyr,98792570,"('Cost', 'Effect')",Unlimited,Not yet released,Gift of the Martyr,https://yugipedia.com/wiki/Gift_of_the_Martyr,"('Edited',)",2023-08-15 00:11:29,Old
Gift of the Martyr,98792570,"('Cost', 'Effect')",Unlimited,Unlimited,Gift of the Martyr,https://yugipedia.com/wiki/Gift_of_the_Martyr,"('Edited',)",2023-08-24 18:57:59,New
Giltia the D. Knight,51828629,,Unlimited,Not yet released,Giltia the D. Knight,https://yugipedia.com/wiki/Giltia_the_D._Knight,,2023-08-14 21:27:38,Old
Giltia the D. Knight,51828629,,Unlimited,Unlimited,Giltia the D. Knight,https://yugipedia.com/wiki/Giltia_the_D._Knight,,2023-08-24 19:21:09,New
Goblin Attack Force,78658564,"('Continuous Effect',)",Unlimited,Not yet released,Goblin Attack Force,https://yugipedia.com/wiki/Goblin_Attack_Force,,2023-08-15 02:50:00,Old
Goblin Attack Force,78658564,"('Continuous Effect',)",Unlimited,Unlimited,Goblin Attack Force,https://yugipedia.com/wiki/Goblin_Attack_Force,,2023-08-25 14:35:58,New
Gokibore,15367030,,Unlimited,Not yet released,Gokibore,https://yugipedia.com/wiki/Gokibore,,2023-08-14 23:35:30,Old
Gokibore,15367030,,Unlimited,Unlimited,Gokibore,https://yugipedia.com/wiki/Gokibore,,2023-08-24 19:08:16,New
Golgoil,07526150,,Not yet released,Not yet released,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-17 05:03:41,Old
Golgoil,07526150,,Unlimited,Unlimited,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-24 18:59:03,New
Hieratic Chant,,,Illegal,Legal,Hieratic Chant,https://yugipedia.com/wiki/Hieratic_Chant,,2023-06-19 15:03:03,Old
Howling Insect,93107608,"('Trigger Effect',)",Unlimited,Not yet released,Howling Insect,https://yugipedia.com/wiki/Howling_Insect,,2023-08-14 23:28:30,Old
Howling Insect,93107608,"('Trigger Effect',)",Unlimited,Unlimited,Howling Insect,https://yugipedia.com/wiki/Howling_Insect,,2023-08-24 19:09:07,New
Humanoid Slime,46821314,,Unlimited,Not yet released,Humanoid Slime,https://yugipedia.com/wiki/Humanoid_Slime,,2023-08-15 02:01:32,Old
Humanoid Slime,46821314,,Unlimited,Unlimited,Humanoid Slime,https://yugipedia.com/wiki/Humanoid_Slime,,2023-08-24 18:32:22,New
Humanoid Worm Drake,05600127,,Unlimited,Not yet released,Humanoid Worm Drake,https://yugipedia.com/wiki/Humanoid_Worm_Drake,,2023-08-15 02:39:29,Old
Humanoid Worm Drake,05600127,,Unlimited,Unlimited,Humanoid Worm Drake,https://yugipedia.com/wiki/Humanoid_Worm_Drake,,2023-08-24 18:23:17,New
Infinite Cards,94163677,"('Continuous-like Effect',)",Unlimited,Not yet released,Infinite Cards,https://yugipedia.com/wiki/Infinite_Cards,,2023-08-15 02:31:51,Old
Infinite Cards,94163677,"('Continuous-like Effect',)",Unlimited,Unlimited,Infinite Cards,https://yugipedia.com/wiki/Infinite_Cards,,2023-08-24 18:27:12,New
Insect Barrier,23615409,"('Continuous-like Effect',)",Unlimited,Not yet released,Insect Barrier,https://yugipedia.com/wiki/Insect_Barrier,,2023-08-14 23:41:29,Old
Insect Barrier,23615409,"('Continuous-like Effect',)",Unlimited,Unlimited,Insect Barrier,https://yugipedia.com/wiki/Insect_Barrier,,2023-08-24 19:06:29,New
Jam Breeding Machine,21770260,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Not yet released,Jam Breeding Machine,https://yugipedia.com/wiki/Jam_Breeding_Machine,,2023-08-15 02:28:36,Old
Jam Breeding Machine,21770260,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Jam Breeding Machine,https://yugipedia.com/wiki/Jam_Breeding_Machine,,2023-08-24 18:28:32,New
Jam Defender,21558682,"('Trigger Effect',)",Unlimited,Not yet released,Jam Defender,https://yugipedia.com/wiki/Jam_Defender,,2023-08-15 02:36:23,Old
Jam Defender,21558682,"('Trigger Effect',)",Unlimited,Unlimited,Jam Defender,https://yugipedia.com/wiki/Jam_Defender,,2023-08-24 18:24:53,New
Jinzo - Lord,35803249,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Not yet released,Jinzo - Lord,https://yugipedia.com/wiki/Jinzo_-_Lord,,2023-08-14 23:52:18,Old
Jinzo - Lord,35803249,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,Jinzo - Lord,https://yugipedia.com/wiki/Jinzo_-_Lord,,2023-08-24 19:03:49,New
Jinzo - Returner,09418534,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Jinzo - Returner,https://yugipedia.com/wiki/Jinzo_-_Returner,,2023-08-14 23:53:33,Old
Jinzo - Returner,09418534,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Jinzo - Returner,https://yugipedia.com/wiki/Jinzo_-_Returner,,2023-08-24 19:03:45,New
Karbonala Warrior,54541900,,Unlimited,Not yet released,Karbonala Warrior,https://yugipedia.com/wiki/Karbonala_Warrior,,2023-08-14 21:25:09,Old
Karbonala Warrior,54541900,,Unlimited,Unlimited,Karbonala Warrior,https://yugipedia.com/wiki/Karbonala_Warrior,,2023-08-24 19:21:15,New
Last Day of Witch,90330453,"('Effect',)",Unlimited,Not yet released,Last Day of Witch,https://yugipedia.com/wiki/Last_Day_of_Witch,"('Edited',)",2023-08-15 03:02:36,Old
Last Day of Witch,90330453,"('Effect',)",Unlimited,Unlimited,Last Day of Witch,https://yugipedia.com/wiki/Last_Day_of_Witch,"('Edited',)",2023-08-25 14:36:17,New
Ledger of Legerdemain,56256517,"('Condition', 'Effect', 'Lingering effect')",Unlimited,Not yet released,Ledger of Legerdemain,https://yugipedia.com/wiki/Ledger_of_Legerdemain,,2023-08-15 00:33:49,Old
Ledger of Legerdemain,56256517,"('Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,Ledger of Legerdemain,https://yugipedia.com/wiki/Ledger_of_Legerdemain,,2023-08-24 18:51:49,New
Magical Arm Shield,96008713,"('Activation condition', 'Effect')",Unlimited,Not yet released,Magical Arm Shield,https://yugipedia.com/wiki/Magical_Arm_Shield,,2023-08-15 03:07:57,Old
Magical Arm Shield,96008713,"('Activation condition', 'Effect')",Unlimited,Unlimited,Magical Arm Shield,https://yugipedia.com/wiki/Magical_Arm_Shield,,2023-08-25 14:35:47,New
Magical Marionette,08034697,"('Continuous Effect', 'Ignition Effect')",Unlimited,Not yet released,Magical Marionette,https://yugipedia.com/wiki/Magical_Marionette,,2023-08-15 02:51:54,Old
Magical Marionette,08034697,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Magical Marionette,https://yugipedia.com/wiki/Magical_Marionette,,2023-08-25 14:35:55,New
Magical Reflect Slime,03918345,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Not yet released,Magical Reflect Slime,https://yugipedia.com/wiki/Magical_Reflect_Slime,,2023-08-15 02:09:00,Old
Magical Reflect Slime,03918345,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Unlimited,Magical Reflect Slime,https://yugipedia.com/wiki/Magical_Reflect_Slime,,2023-08-24 18:30:46,New
Magnetic Mosquito,50074522,"('Flip effect',)",Unlimited,Not yet released,Magnetic Mosquito,https://yugipedia.com/wiki/Magnetic_Mosquito,,2023-08-14 23:25:39,Old
Magnetic Mosquito,50074522,"('Trigger Effect',)",Unlimited,Unlimited,Magnetic Mosquito,https://yugipedia.com/wiki/Magnetic_Mosquito,,2023-08-24 19:09:53,New
Maiden of Macabre,84055227,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Maiden of Macabre,https://yugipedia.com/wiki/Maiden_of_Macabre,,2023-08-15 02:51:03,Old
Maiden of Macabre,84055227,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Maiden of Macabre,https://yugipedia.com/wiki/Maiden_of_Macabre,,2023-08-25 14:35:55,New
Maiden of the Aqua,17214465,"('Continuous Effect',)",Unlimited,Not yet released,Maiden of the Aqua,https://yugipedia.com/wiki/Maiden_of_the_Aqua,,2023-08-14 21:41:09,Old
Maiden of the Aqua,17214465,"('Continuous Effect',)",Unlimited,Unlimited,Maiden of the Aqua,https://yugipedia.com/wiki/Maiden_of_the_Aqua,,2023-08-24 19:16:00,New
Malice Dispersion,13626450,"('Cost', 'Effect')",Unlimited,Not yet released,Malice Dispersion,https://yugipedia.com/wiki/Malice_Dispersion,,2023-08-14 20:54:04,Old
Malice Dispersion,13626450,"('Cost', 'Effect')",Unlimited,Unlimited,Malice Dispersion,https://yugipedia.com/wiki/Malice_Dispersion,,2023-08-24 19:32:00,New
Marauding Captain,02460565,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Marauding Captain,https://yugipedia.com/wiki/Marauding_Captain,,2023-08-14 21:03:27,Old
Marauding Captain,02460565,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Marauding Captain,https://yugipedia.com/wiki/Marauding_Captain,,2023-08-24 19:28:27,New
Mega Ton Magical Cannon,32062913,"('Cost', 'Effect')",Unlimited,Not yet released,Mega Ton Magical Cannon,https://yugipedia.com/wiki/Mega_Ton_Magical_Cannon,,2023-08-15 03:03:32,Old
Mega Ton Magical Cannon,32062913,"('Cost', 'Effect')",Unlimited,Unlimited,Mega Ton Magical Cannon,https://yugipedia.com/wiki/Mega_Ton_Magical_Cannon,,2023-08-25 14:36:19,New
"Mei-Kou, Master of Barriers",47731128,"('Ignition Effect',)",Unlimited,Not yet released,"Mei-Kou, Master of Barriers","https://yugipedia.com/wiki/Mei-Kou,_Master_of_Barriers",,2023-08-15 01:42:38,Old
"Mei-Kou, Master of Barriers",47731128,"('Ignition Effect',)",Unlimited,Unlimited,"Mei-Kou, Master of Barriers","https://yugipedia.com/wiki/Mei-Kou,_Master_of_Barriers",,2023-08-24 18:46:11,New
Miracle Restoring,68334074,"('Cost', 'Effect')",Unlimited,Not yet released,Miracle Restoring,https://yugipedia.com/wiki/Miracle_Restoring,,2023-08-14 20:58:09,Old
Miracle Restoring,68334074,"('Cost', 'Effect')",Unlimited,Unlimited,Miracle Restoring,https://yugipedia.com/wiki/Miracle_Restoring,,2023-08-24 19:30:38,New
Muka Muka,46657337,"('Continuous Effect',)",Unlimited,Not yet released,Muka Muka,https://yugipedia.com/wiki/Muka_Muka,,2023-08-15 02:05:41,Old
Muka Muka,46657337,"('Continuous Effect',)",Unlimited,Unlimited,Muka Muka,https://yugipedia.com/wiki/Muka_Muka,,2023-08-24 18:31:35,New
Multiplication of Ants,22493811,"('Condition', 'Cost', 'Effect')",Unlimited,Not yet released,Multiplication of Ants,https://yugipedia.com/wiki/Multiplication_of_Ants,,2023-08-14 23:39:30,Old
Multiplication of Ants,22493811,"('Cost', 'Effect')",Unlimited,Unlimited,Multiplication of Ants,https://yugipedia.com/wiki/Multiplication_of_Ants,,2023-08-24 19:07:45,New
Needle Sunfish,56223084,"('Trigger Effect',)",Unlimited,Not yet released,Needle Sunfish,https://yugipedia.com/wiki/Needle_Sunfish,,2023-08-14 21:36:42,Old
Needle Sunfish,56223084,"('Trigger Effect',)",Unlimited,Unlimited,Needle Sunfish,https://yugipedia.com/wiki/Needle_Sunfish,,2023-08-24 19:17:32,New
Old Vindictive Magician,45141844,"('Flip effect',)",Unlimited,Unlimited,Old Vindictive Magician,https://yugipedia.com/wiki/Old_Vindictive_Magician,,2023-08-14 20:52:27,Old
Old Vindictive Magician,45141844,"('Trigger Effect',)",Unlimited,Unlimited,Old Vindictive Magician,https://yugipedia.com/wiki/Old_Vindictive_Magician,,2023-08-24 19:32:17,New
Oyster Meister,83239739,"('Trigger Effect',)",Unlimited,Not yet released,Oyster Meister,https://yugipedia.com/wiki/Oyster_Meister,,2023-08-14 21:37:44,Old
Oyster Meister,83239739,"('Trigger Effect',)",Unlimited,Unlimited,Oyster Meister,https://yugipedia.com/wiki/Oyster_Meister,,2023-08-24 19:17:03,New
Paleozoic Eldonia,02376209,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Not yet released,Paleozoic Eldonia,https://yugipedia.com/wiki/Paleozoic_Eldonia,,2023-08-14 23:19:07,Old
Paleozoic Eldonia,02376209,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,Paleozoic Eldonia,https://yugipedia.com/wiki/Paleozoic_Eldonia,,2023-08-24 19:12:09,New
Parasite Paracide,27911549,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Parasite Paracide,https://yugipedia.com/wiki/Parasite_Paracide,"('Edited',)",2023-08-14 23:22:49,Old
Parasite Paracide,27911549,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Parasite Paracide,https://yugipedia.com/wiki/Parasite_Paracide,"('Edited',)",2023-08-24 19:11:12,New
Piercing Moray,69846323,"('Continuous Effect', 'Ignition Effect')",Unlimited,Not yet released,Piercing Moray,https://yugipedia.com/wiki/Piercing_Moray,,2023-08-14 21:39:08,Old
Piercing Moray,69846323,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Piercing Moray,https://yugipedia.com/wiki/Piercing_Moray,,2023-08-25 07:18:41,New
Pineapple Blast,90669991,"('Activation condition', 'Effect')",Unlimited,Not yet released,Pineapple Blast,https://yugipedia.com/wiki/Pineapple_Blast,,2023-08-15 00:39:42,Old
Pineapple Blast,90669991,"('Activation condition', 'Effect')",Unlimited,Unlimited,Pineapple Blast,https://yugipedia.com/wiki/Pineapple_Blast,,2023-08-24 18:50:56,New
Pitch-Black Power Stone,34029630,"('Continuous-like Effect', 'Cost', 'Quick-like Effect')",Unlimited,Not yet released,Pitch-Black Power Stone,https://yugipedia.com/wiki/Pitch-Black_Power_Stone,,2023-08-14 20:59:02,Old
Pitch-Black Power Stone,34029630,"('Continuous-like Effect', 'Cost', 'Quick-like Effect')",Unlimited,Unlimited,Pitch-Black Power Stone,https://yugipedia.com/wiki/Pitch-Black_Power_Stone,,2023-08-24 19:30:10,New
Prickle Fairy,91559748,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Prickle Fairy,https://yugipedia.com/wiki/Prickle_Fairy,,2023-08-14 23:27:00,Old
