Name,Password,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,Version
Chronicle Magician,60948488,"('Condition', 'Trigger Effect')",Unlimited,Chronicle Magician,https://yugipedia.com/wiki/Chronicle_Magician,,2023-06-17 17:59:45,,Effect Monster,Old
Chronomaly Acambaro Figures,24506253,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Chronomaly Acambaro Figures,https://yugipedia.com/wiki/Chronomaly_Acambaro_Figures,,2023-03-18 08:06:42,,Effect Monster,Old
Clock Arc,87468732,"('Continuous Effect', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Clock Arc,https://yugipedia.com/wiki/Clock_Arc,,2023-07-27 02:12:43,,Effect Monster,Old
Conductor of Nephthys,08454126,"('Condition', 'Summoning condition', 'Trigger Effect')",Unlimited,Conductor of Nephthys,https://yugipedia.com/wiki/Conductor_of_Nephthys,,2023-07-27 04:23:03,,Ritual Monster,Old
Confiras de Nouvelles,53618197,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Confiras de Nouvelles,https://yugipedia.com/wiki/Confiras_de_Nouvelles,,2023-07-06 16:59:58,,Ritual Monster,Old
Conquistador of the Golden Land,20590515,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Conquistador of the Golden Land,https://yugipedia.com/wiki/Conquistador_of_the_Golden_Land,,2023-06-19 20:45:27,,,Old
Constellar Caduceus,82913020,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Constellar Caduceus,https://yugipedia.com/wiki/Constellar_Caduceus,,2023-03-18 08:48:05,,Effect Monster,Old
Contract with the Void,19828680,"('Effect',)",Unlimited,Contract with the Void,https://yugipedia.com/wiki/Contract_with_the_Void,,2023-03-18 08:57:22,,,Old
Converging Wills Dragon,00291414,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Converging Wills Dragon,https://yugipedia.com/wiki/Converging_Wills_Dragon,,2023-07-26 07:14:23,,Effect Monster,Old
Coordius the Triphasic Dealmon,70219023,"('Condition', 'Ignition Effect')",Unlimited,Coordius the Triphasic Dealmon,https://yugipedia.com/wiki/Coordius_the_Triphasic_Dealmon,,2023-03-18 08:58:26,"('Any',)",Fusion Monster,Old
Core of Chaos,03806388,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Core of Chaos,https://yugipedia.com/wiki/Core_of_Chaos,,2023-07-29 06:35:35,,Effect Monster,Old
Cosmic Quasar Dragon,37442336,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Cosmic Quasar Dragon,https://yugipedia.com/wiki/Cosmic_Quasar_Dragon,,2023-08-23 09:13:59,,Synchro Monster,Old
Cosmic Slicer Zer'oll,01487805,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Cosmic Slicer Zer'oll,https://yugipedia.com/wiki/Cosmic_Slicer_Zer%27oll,,2023-03-18 09:04:33,,Link Monster,Old
Cosmos Channelling,91654806,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Cosmos Channelling,https://yugipedia.com/wiki/Cosmos_Channelling,,2023-08-24 18:58:42,,,Old
Couple of Aces,26259179,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Couple of Aces,https://yugipedia.com/wiki/Couple_of_Aces,,2023-03-18 09:08:49,,Effect Monster,Old
Court of Cards,28340377,"('Condition', 'Quick-like Effect')",Unlimited,Court of Cards,https://yugipedia.com/wiki/Court_of_Cards,,2023-06-19 15:18:29,,,Old
Cross Keeper,40740224,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Cross Keeper,https://yugipedia.com/wiki/Cross_Keeper,,2023-07-27 06:35:11,,Effect Monster,Old
"Crowley, the Magistus of Grimoires",09505425,"('Condition', 'Ignition Effect')",Unlimited,"Crowley, the Magistus of Grimoires","https://yugipedia.com/wiki/Crowley,_the_Magistus_of_Grimoires",,2023-03-18 09:24:16,,Effect Monster,Old
Crystal Aegis,58371671,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Crystal Aegis,https://yugipedia.com/wiki/Crystal_Aegis,,2023-07-14 02:29:43,,,Old
Crystal Boon,85766789,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Crystal Boon,https://yugipedia.com/wiki/Crystal_Boon,,2023-03-18 09:36:02,,,Old
Crystal Brilliance,47149093,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Crystal Brilliance,https://yugipedia.com/wiki/Crystal_Brilliance,,2023-08-02 02:02:24,,,Old
Crystal Clear Wing Synchro Dragon,59765225,"('Quick Effect', 'Trigger Effect')",Unlimited,Crystal Clear Wing Synchro Dragon,https://yugipedia.com/wiki/Crystal_Clear_Wing_Synchro_Dragon,,2023-04-19 12:37:51,,Synchro Monster,Old
Crystal Miracle,11155484,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Crystal Miracle,https://yugipedia.com/wiki/Crystal_Miracle,,2023-03-18 09:37:33,,,Old
Crystal Shark,98881700,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Crystal Shark,https://yugipedia.com/wiki/Crystal_Shark,,2023-03-18 09:39:38,,Effect Monster,Old
Cupid Fore,35960413,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Cupid Fore,https://yugipedia.com/wiki/Cupid_Fore,,2023-07-25 08:46:24,,Effect Monster,Old
"Curse of Dragon, the Magical Knight Dragon",72064891,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,"Curse of Dragon, the Magical Knight Dragon","https://yugipedia.com/wiki/Curse_of_Dragon,_the_Magical_Knight_Dragon",,2023-07-11 02:17:04,,Fusion Monster,Old
Cursed Eldland,31434645,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Cursed Eldland,https://yugipedia.com/wiki/Cursed_Eldland,,2023-03-18 09:57:22,,,Old
Cyber Energy Shock,38265153,"('Condition', 'Effect')",Unlimited,Cyber Energy Shock,https://yugipedia.com/wiki/Cyber_Energy_Shock,,2023-08-24 18:58:47,,,Old
Cyberdark Chimera,05370235,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Cyberdark Chimera,https://yugipedia.com/wiki/Cyberdark_Chimera,,2023-06-22 23:22:54,,Effect Monster,Old
Cybernetic Horizon,63031396,"('Condition', 'Effect')",Unlimited,Cybernetic Horizon (card),https://yugipedia.com/wiki/Cybernetic_Horizon_(card),,2023-03-18 10:24:56,,,Old
Cyberse Desavewurm,92422871,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Cyberse Desavewurm,https://yugipedia.com/wiki/Cyberse_Desavewurm,,2023-07-29 06:38:27,,Fusion Monster,Old
Cyberse Sage,65037172,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Cyberse Sage,https://yugipedia.com/wiki/Cyberse_Sage,,2023-07-29 06:38:25,,Ritual Monster,Old
Cyclamen the Rikka Fairy,34614910,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Cyclamen the Rikka Fairy,https://yugipedia.com/wiki/Cyclamen_the_Rikka_Fairy,"('Edited',)",2023-03-18 10:30:57,,Effect Monster,Old
Cynet Circuit,82886276,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Cynet Circuit,https://yugipedia.com/wiki/Cynet_Circuit,,2023-07-29 06:39:28,,,Old
Cynet Rollback,57900671,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Cynet Rollback,https://yugipedia.com/wiki/Cynet_Rollback,,2023-07-29 06:38:58,,,Old
D.D.D. - Different Dimension Derby,76552147,"('Effect',)",Unlimited,D.D.D. - Different Dimension Derby,https://yugipedia.com/wiki/D.D.D._-_Different_Dimension_Derby,,2023-03-18 10:50:57,,,Old
D/D Gryphon,28406301,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,D/D Gryphon,https://yugipedia.com/wiki/D/D_Gryphon,,2023-07-27 06:31:16,,Effect Monster,Old
D/D/D Rebel King Leonidas,92536468,"('Continuous Effect', 'Trigger Effect')",Unlimited,D/D/D Rebel King Leonidas,https://yugipedia.com/wiki/D/D/D_Rebel_King_Leonidas,,2023-03-18 11:08:01,,Effect Monster,Old
D/D/D Rebel King Leonidas,92536468,"('Continuous Effect', 'Trigger Effect')",Unlimited,D/D/D Rebel King Leonidas,https://yugipedia.com/wiki/D/D/D_Rebel_King_Leonidas,,2023-09-01 04:46:20,"('Any',)",Effect Monster,New
Danmari @Ignister,66192538,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Danmari @Ignister,https://yugipedia.com/wiki/Danmari_@Ignister,,2023-07-26 07:12:45,,Effect Monster,Old
Dark Contract with Patent License,33814281,"('Condition', 'Trigger Effect')",Unlimited,Dark Contract with Patent License,https://yugipedia.com/wiki/Dark_Contract_with_Patent_License,,2023-07-27 06:32:29,,,Old
Dark Infant @Ignister,74567889,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Dark Infant @Ignister,https://yugipedia.com/wiki/Dark_Infant_@Ignister,,2023-07-26 07:13:38,,Link Monster,Old
Dark Spell Regeneration,12930501,"('Activation condition', 'Effect', 'Quick-like Effect')",Unlimited,Dark Spell Regeneration,https://yugipedia.com/wiki/Dark_Spell_Regeneration,"('Edited',)",2023-06-19 15:03:08,,,New
Dark Zebra,59784896,"('Trigger Effect',)",Unlimited,Dark Zebra,https://yugipedia.com/wiki/Dark_Zebra,,2023-07-27 07:56:32,"('Any',)",Effect Monster,Old
Dark Zebra,59784896,"('Lingering effect', 'Trigger Effect')",Unlimited,Dark Zebra,https://yugipedia.com/wiki/Dark_Zebra,,2023-09-03 21:07:55,"('Any',)",Effect Monster,New
Destined Rivals,22634473,"('Condition', 'Effect')",Unlimited,Destined Rivals,https://yugipedia.com/wiki/Destined_Rivals,,2023-07-24 18:58:30,,,New
Dragunity Senatus,92868896,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Dragunity Senatus,https://yugipedia.com/wiki/Dragunity_Senatus,,2023-03-18 14:55:17,,Effect Monster,Old
Dragunity Senatus,92868896,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Dragunity Senatus,https://yugipedia.com/wiki/Dragunity_Senatus,,2023-08-31 21:34:06,"('Any',)",Effect Monster,New
Drill Bug,88733579,"('Trigger Effect',)",Unlimited,Drill Bug,https://yugipedia.com/wiki/Drill_Bug,,2023-06-22 02:31:02,"('Any',)",Effect Monster,New
Elemental HERO Grand Neos,48996569,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Elemental HERO Grand Neos,https://yugipedia.com/wiki/Elemental_HERO_Grand_Neos,,2023-07-24 19:06:25,"('Name',)",Fusion Monster,New
Enlightenment Paladin,59123194,"('Condition', 'Trigger Effect')",Unlimited,Enlightenment Paladin,https://yugipedia.com/wiki/Enlightenment_Paladin,,2023-07-23 14:23:08,,Synchro Monster,Old
Enlightenment Paladin,59123194,"('Condition', 'Trigger Effect')",Unlimited,Enlightenment Paladin,https://yugipedia.com/wiki/Enlightenment_Paladin,,2023-08-30 01:48:52,"('Any',)",Synchro Monster,New
Eternal Soul,48680970,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",Unlimited,Eternal Soul,https://yugipedia.com/wiki/Eternal_Soul,,2023-06-25 20:26:14,"('Any',)",,New
Exhausting Spell,95451366,"('Effect',)",Unlimited,Exhausting Spell,https://yugipedia.com/wiki/Exhausting_Spell,,2023-08-25 14:35:47,,,Old
Exhausting Spell,95451366,"('Effect',)",Unlimited,Exhausting Spell,https://yugipedia.com/wiki/Exhausting_Spell,,2023-08-25 14:35:47,"('Any',)",,New
Fish Rain,94626050,"('Activation condition', 'Effect')",Unlimited,Fish Rain,https://yugipedia.com/wiki/Fish_Rain,,2023-03-18 18:08:46,,,Old
Fish Rain,94626050,"('Effect',)",Unlimited,Fish Rain,https://yugipedia.com/wiki/Fish_Rain,,2023-08-29 11:50:36,,,New
Fluffal Owl,65331686,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Fluffal Owl,https://yugipedia.com/wiki/Fluffal_Owl,,2023-06-19 21:35:36,"('Any',)",Effect Monster,New
Grand Horn of Heaven,01637760,"('Activation condition', 'Effect')",Unlimited,Grand Horn of Heaven,https://yugipedia.com/wiki/Grand_Horn_of_Heaven,,2019-11-30 20:37:56,,,Old
Grand Horn of Heaven,01637760,"('Effect',)",Unlimited,Grand Horn of Heaven,https://yugipedia.com/wiki/Grand_Horn_of_Heaven,,2023-09-01 22:27:09,,,New
Hiita the Fire Channeler,76615300,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Hiita the Fire Channeler,https://yugipedia.com/wiki/Hiita_the_Fire_Channeler,,2023-08-23 09:13:36,,Effect Monster,Old
Hiita the Fire Channeler,76615300,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Hiita the Fire Channeler,https://yugipedia.com/wiki/Hiita_the_Fire_Channeler,"('Edited',)",2023-08-30 11:11:14,,Effect Monster,New
Holactie the Creator of Light,,"('Condition', 'Summoning condition', 'Unclassified effect')",,Holactie the Creator of Light,https://yugipedia.com/wiki/Holactie_the_Creator_of_Light,,2023-08-11 12:26:00,,Effect Monster,New
Humanoid Slime,46821314,,Unlimited,Humanoid Slime,https://yugipedia.com/wiki/Humanoid_Slime,,2023-08-24 18:32:22,,Normal Monster,Old
Humanoid Slime,46821314,,Unlimited,Humanoid Slime,https://yugipedia.com/wiki/Humanoid_Slime,,2023-08-29 09:51:31,"('Type',)",Normal Monster,New
Illusion of Chaos,12266229,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Illusion of Chaos,https://yugipedia.com/wiki/Illusion_of_Chaos,,2023-07-27 06:31:39,,Ritual Monster,Old
Illusion of Chaos,12266229,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Illusion of Chaos,https://yugipedia.com/wiki/Illusion_of_Chaos,,2023-08-29 21:53:18,"('Any',)",Ritual Monster,New
Immortal Dragon,91575236,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Immortal Dragon,https://yugipedia.com/wiki/Immortal_Dragon,,2023-07-27 06:34:15,,Synchro Monster,Old
Immortal Dragon,91575236,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Immortal Dragon,https://yugipedia.com/wiki/Immortal_Dragon,,2023-08-29 23:13:19,"('Any',)",Synchro Monster,New
Knight's Title,87210505,"('Cost', 'Effect')",Unlimited,Knight's Title,https://yugipedia.com/wiki/Knight%27s_Title,,2023-06-19 13:35:37,"('Any',)",,New
Krawler Receptor,83293307,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,Krawler Receptor,https://yugipedia.com/wiki/Krawler_Receptor,,2023-03-19 11:47:26,,Effect Monster,Old
Krawler Receptor,83293307,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,Krawler Receptor,https://yugipedia.com/wiki/Krawler_Receptor,,2023-09-01 03:22:56,"('Any',)",Effect Monster,New
Last Day of Witch,90330453,"('Effect',)",Unlimited,Last Day of Witch,https://yugipedia.com/wiki/Last_Day_of_Witch,"('Edited',)",2023-08-25 14:36:17,,,Old
Last Day of Witch,90330453,"('Effect',)",Unlimited,Last Day of Witch,https://yugipedia.com/wiki/Last_Day_of_Witch,"('Edited',)",2023-08-25 14:36:17,"('Any',)",,New
Magical Reflect Slime,03918345,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Magical Reflect Slime,https://yugipedia.com/wiki/Magical_Reflect_Slime,,2023-08-24 18:30:46,,Effect Monster,Old
Magical Reflect Slime,03918345,"('Condition', 'Continuous Effect', 'Unclassified effect')",Unlimited,Magical Reflect Slime,https://yugipedia.com/wiki/Magical_Reflect_Slime,,2023-08-29 09:51:27,"('Type',)",Effect Monster,New
Maiden of Macabre,84055227,"('Continuous Effect', 'Trigger Effect')",Unlimited,Maiden of Macabre,https://yugipedia.com/wiki/Maiden_of_Macabre,,2023-08-25 14:35:55,,Effect Monster,Old
Maiden of Macabre,84055227,"('Continuous Effect', 'Trigger Effect')",Unlimited,Maiden of Macabre,https://yugipedia.com/wiki/Maiden_of_Macabre,,2023-08-25 14:35:55,"('Any',)",Effect Monster,New
Mega Ton Magical Cannon,32062913,"('Cost', 'Effect')",Unlimited,Mega Ton Magical Cannon,https://yugipedia.com/wiki/Mega_Ton_Magical_Cannon,,2023-08-25 14:36:19,,,Old
Mega Ton Magical Cannon,32062913,"('Cost', 'Effect')",Unlimited,Mega Ton Magical Cannon,https://yugipedia.com/wiki/Mega_Ton_Magical_Cannon,,2023-08-25 14:36:19,"('Any',)",,New
Mikanko Dance - Mayowashidori,57736667,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Mikanko Dance - Mayowashidori,https://yugipedia.com/wiki/Mikanko_Dance_-_Mayowashidori,,2023-07-29 06:39:19,,,Old
Noble Knight Custennin,42472002,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Noble Knight Custennin,https://yugipedia.com/wiki/Noble_Knight_Custennin,,2023-03-19 19:11:09,,Effect Monster,Old
Noble Knight Custennin,42472002,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Noble Knight Custennin,https://yugipedia.com/wiki/Noble_Knight_Custennin,,2023-09-01 06:50:01,"('Any',)",Effect Monster,New
Number C32: Shark Drake Veiss,49221191,"('Quick Effect', 'Summoning condition')",Unlimited,Number C32: Shark Drake Veiss,https://yugipedia.com/wiki/Number_C32:_Shark_Drake_Veiss,,2023-06-19 21:22:56,,Xyz Monster,Old
Number C32: Shark Drake Veiss,49221191,"('Quick Effect', 'Summoning condition')",Unlimited,Number C32: Shark Drake Veiss,https://yugipedia.com/wiki/Number_C32:_Shark_Drake_Veiss,,2023-08-31 21:38:05,"('Any',)",Xyz Monster,New
Palladium Oracle Mana,42006475,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Palladium Oracle Mana,https://yugipedia.com/wiki/Palladium_Oracle_Mana,,2023-08-21 17:13:24,,Effect Monster,New
Perfect Sync - A-Un,13764602,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Perfect Sync - A-Un,https://yugipedia.com/wiki/Perfect_Sync_-_A-Un,,2023-08-11 17:42:55,,,Old
Perfect Sync - A-Un,13764602,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Perfect Sync - A-Un,https://yugipedia.com/wiki/Perfect_Sync_-_A-Un,,2023-09-01 03:34:54,"('Any',)",,New
Pole Position,73578229,"('Continuous-like Effect',)",Unlimited,Pole Position,https://yugipedia.com/wiki/Pole_Position,,2023-03-19 23:02:03,"('Any',)",,Old
Pole Position,73578229,"('Continuous-like Effect',)",Unlimited,Pole Position,https://yugipedia.com/wiki/Pole_Position,"('Edited',)",2023-08-30 11:16:17,"('Any',)",,New
Pumprincess the Princess of Ghosts,17601919,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Pumprincess the Princess of Ghosts,https://yugipedia.com/wiki/Pumprincess_the_Princess_of_Ghosts,,2023-08-25 14:35:53,,Effect Monster,Old
Pumprincess the Princess of Ghosts,17601919,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Pumprincess the Princess of Ghosts,https://yugipedia.com/wiki/Pumprincess_the_Princess_of_Ghosts,,2023-08-25 14:35:53,"('Any',)",Effect Monster,New
Ra's Disciple,74875003,"('Continuous Effect', 'Trigger Effect')",Unlimited,Ra's Disciple,https://yugipedia.com/wiki/Ra%27s_Disciple,,2023-07-31 22:43:00,,Effect Monster,New
Rose Shaman,02752099,"('Condition', 'Ignition Effect')",Unlimited,Rose Shaman,https://yugipedia.com/wiki/Rose_Shaman,,2023-06-23 15:54:29,,Effect Monster,Old
Rose Shaman,02752099,"('Condition', 'Ignition Effect')",Unlimited,Rose Shaman,https://yugipedia.com/wiki/Rose_Shaman,"('Edited',)",2023-08-30 11:07:33,,Effect Monster,New
SPYRAL Double Agent,88124568,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,SPYRAL Double Agent,https://yugipedia.com/wiki/SPYRAL_Double_Agent,,2023-09-01 14:27:04,,Effect Monster,New
Search Striker,80885324,"('Continuous Effect', 'Lingering effect', 'Trigger Effect')",Unlimited,Search Striker,https://yugipedia.com/wiki/Search_Striker,,2023-07-28 09:44:39,,Effect Monster,Old
Search Striker,80885324,"('Continuous Effect', 'Trigger Effect')",Unlimited,Search Striker,https://yugipedia.com/wiki/Search_Striker,,2023-09-01 22:16:21,,Effect Monster,New
Skilled Red Magician,65338781,"('Continuous Effect', 'Ignition Effect')",Unlimited,Skilled Red Magician,https://yugipedia.com/wiki/Skilled_Red_Magician,,2023-08-25 14:35:42,,Effect Monster,Old
Skilled Red Magician,65338781,"('Continuous Effect', 'Ignition Effect')",Unlimited,Skilled Red Magician,https://yugipedia.com/wiki/Skilled_Red_Magician,,2023-08-25 14:35:42,"('Any',)",Effect Monster,New
Sun God Unification,77432167,"('Condition', 'Quick-like Effect')",Unlimited,Sun God Unification,https://yugipedia.com/wiki/Sun_God_Unification,,2023-06-19 15:02:15,,,New
Supreme Sea Mare,31259606,"('Condition', 'Trigger Effect')",Unlimited,Supreme Sea Mare,https://yugipedia.com/wiki/Supreme_Sea_Mare,,2023-07-27 06:33:54,,Effect Monster,Old
Supreme Sea Mare,31259606,"('Condition', 'Trigger Effect')",Unlimited,Supreme Sea Mare,https://yugipedia.com/wiki/Supreme_Sea_Mare,,2023-08-29 23:03:57,"('Any',)",Effect Monster,New
Survival Instinct,58419204,"('Cost', 'Effect')",Unlimited,Survival Instinct,https://yugipedia.com/wiki/Survival_Instinct,,2023-03-20 11:49:15,"('Any',)",,Old
Survival Instinct,58419204,"('Effect',)",Unlimited,Survival Instinct,https://yugipedia.com/wiki/Survival_Instinct,,2023-09-01 19:37:27,"('Any',)",,New
System Down,18895832,"('Cost', 'Effect')",Unlimited,System Down,https://yugipedia.com/wiki/System_Down,,2023-03-20 12:30:39,"('Any',)",,Old
System Down,18895832,"('Effect',)",Unlimited,System Down,https://yugipedia.com/wiki/System_Down,,2023-08-28 21:31:11,"('Any',)",,New
