Name,Card type,Property,Effect type,Legend,Maximum mode,Page name,Page URL,Modification date,Version
Alpiris the Sower,Monster Card,,"('Effect',)",True,True,Alpiris the Sower,https://yugipedia.com/wiki/Alpiris_the_Sower,2023-02-04 14:24:59,Old
Alpiris the Sower,Monster Card,,"('Effect',)",False,False,Alpiris the Sower,https://yugipedia.com/wiki/Alpiris_the_Sower,2023-02-04 14:24:59,New
Altierra the Skysavior Transience,Monster Card,,"('Continuous Effect',)",True,True,Altierra the Skysavior Transience,https://yugipedia.com/wiki/Altierra_the_Skysavior_Transience,2023-01-21 14:29:44,Old
Altierra the Skysavior Transience,Monster Card,,"('Continuous Effect',)",False,False,Altierra the Skysavior Transience,https://yugipedia.com/wiki/Altierra_the_Skysavior_Transience,2023-01-21 14:29:44,New
Ama Lilith,Monster Card,,,True,True,Ama Lilith,https://yugipedia.com/wiki/Ama_Lilith,2023-01-20 21:02:24,Old
Ama Lilith,Monster Card,,,False,False,Ama Lilith,https://yugipedia.com/wiki/Ama_Lilith,2023-01-20 21:02:24,New
Amabie,Monster Card,,"('Effect',)",True,True,Amabie (Rush Duel),https://yugipedia.com/wiki/Amabie_(Rush_Duel),2022-06-18 10:58:52,Old
Amabie,Monster Card,,"('Effect',)",False,False,Amabie (Rush Duel),https://yugipedia.com/wiki/Amabie_(Rush_Duel),2022-06-18 10:58:52,New
Amazing Dealer,Monster Card,,"('Effect',)",True,True,Amazing Dealer,https://yugipedia.com/wiki/Amazing_Dealer,2022-10-10 09:09:33,Old
Amazing Dealer,Monster Card,,"('Effect',)",False,False,Amazing Dealer,https://yugipedia.com/wiki/Amazing_Dealer,2022-10-10 09:09:33,New
Ampler Glee,Monster Card,,,True,True,Ampler Glee,https://yugipedia.com/wiki/Ampler_Glee,2023-02-04 14:26:12,Old
Ampler Glee,Monster Card,,,False,False,Ampler Glee,https://yugipedia.com/wiki/Ampler_Glee,2023-02-04 14:26:12,New
Amusi Cheer,Spell Card,Normal Spell Card,,True,True,Amusi Cheer,https://yugipedia.com/wiki/Amusi_Cheer,2023-01-24 19:53:03,Old
Amusi Cheer,Spell Card,Normal Spell Card,,False,False,Amusi Cheer,https://yugipedia.com/wiki/Amusi_Cheer,2023-01-24 19:53:03,New
Amusi Howling Performer,Monster Card,,"('Effect',)",True,True,Amusi Howling Performer,https://yugipedia.com/wiki/Amusi_Howling_Performer,2022-10-31 18:44:31,Old
Amusi Howling Performer,Monster Card,,"('Effect',)",False,False,Amusi Howling Performer,https://yugipedia.com/wiki/Amusi_Howling_Performer,2022-10-31 18:44:31,New
Amusi Performer,Monster Card,,"('Effect',)",True,True,Amusi Performer,https://yugipedia.com/wiki/Amusi_Performer,2022-12-26 02:42:45,Old
Amusi Performer,Monster Card,,"('Effect',)",False,False,Amusi Performer,https://yugipedia.com/wiki/Amusi_Performer,2022-12-26 02:42:45,New
Analyze Phlogiston,Monster Card,,"('Effect',)",True,True,Analyze Phlogiston,https://yugipedia.com/wiki/Analyze_Phlogiston,2022-12-21 09:57:35,Old
Analyze Phlogiston,Monster Card,,"('Effect',)",False,False,Analyze Phlogiston,https://yugipedia.com/wiki/Analyze_Phlogiston,2022-12-21 09:57:35,New
Anchor Moray,Monster Card,,"('Effect',)",True,True,Anchor Moray,https://yugipedia.com/wiki/Anchor_Moray,2022-10-20 07:36:23,Old
Anchor Moray,Monster Card,,"('Effect',)",False,False,Anchor Moray,https://yugipedia.com/wiki/Anchor_Moray,2022-10-20 07:36:23,New
Anciant Barrier,Trap Card,Normal Trap Card,"('Effect',)",True,True,Anciant Barrier,https://yugipedia.com/wiki/Anciant_Barrier,2022-09-21 05:40:05,Old
Anciant Barrier,Trap Card,Normal Trap Card,"('Effect',)",False,False,Anciant Barrier,https://yugipedia.com/wiki/Anciant_Barrier,2022-09-21 05:40:05,New
Ancient Arise Dragon,Monster Card,,"('Effect',)",True,True,Ancient Arise Dragon,https://yugipedia.com/wiki/Ancient_Arise_Dragon,2022-10-20 07:37:31,Old
Ancient Arise Dragon,Monster Card,,"('Effect',)",False,False,Ancient Arise Dragon,https://yugipedia.com/wiki/Ancient_Arise_Dragon,2022-10-20 07:37:31,New
Ancient Arrive Dragon,Monster Card,,"('Effect',)",True,True,Ancient Arrive Dragon,https://yugipedia.com/wiki/Ancient_Arrive_Dragon,2022-09-25 02:59:58,Old
Ancient Arrive Dragon,Monster Card,,"('Effect',)",False,False,Ancient Arrive Dragon,https://yugipedia.com/wiki/Ancient_Arrive_Dragon,2022-09-25 02:59:58,New
Ancient Barrier,Spell Card,Normal Spell Card,"('Effect',)",True,True,Ancient Barrier,https://yugipedia.com/wiki/Ancient_Barrier,2022-09-25 03:04:40,Old
Ancient Barrier,Spell Card,Normal Spell Card,"('Effect',)",False,False,Ancient Barrier,https://yugipedia.com/wiki/Ancient_Barrier,2022-09-25 03:04:40,New
Ancient Lizard Warrior,Monster Card,,,True,True,Ancient Lizard Warrior (Rush Duel),https://yugipedia.com/wiki/Ancient_Lizard_Warrior_(Rush_Duel),2022-09-21 05:42:22,Old
Ancient Lizard Warrior,Monster Card,,,False,False,Ancient Lizard Warrior (Rush Duel),https://yugipedia.com/wiki/Ancient_Lizard_Warrior_(Rush_Duel),2022-09-21 05:42:22,New
Ancient Rules,Spell Card,Normal Spell Card,"('Effect',)",True,True,Ancient Rules (Rush Duel),https://yugipedia.com/wiki/Ancient_Rules_(Rush_Duel),2022-10-10 09:09:49,Old
Ancient Rules,Spell Card,Normal Spell Card,"('Effect',)",False,False,Ancient Rules (Rush Duel),https://yugipedia.com/wiki/Ancient_Rules_(Rush_Duel),2022-10-10 09:09:49,New
Ancient Telescope,Spell Card,Normal Spell Card,"('Effect',)",True,True,Ancient Telescope (Rush Duel),https://yugipedia.com/wiki/Ancient_Telescope_(Rush_Duel),2022-04-23 23:54:00,Old
Ancient Telescope,Spell Card,Normal Spell Card,"('Effect',)",False,False,Ancient Telescope (Rush Duel),https://yugipedia.com/wiki/Ancient_Telescope_(Rush_Duel),2022-04-23 23:54:00,New
Ancient Turtle Protector,Monster Card,,,True,True,Ancient Turtle Protector,https://yugipedia.com/wiki/Ancient_Turtle_Protector,2022-09-21 03:14:04,Old
Ancient Turtle Protector,Monster Card,,,False,False,Ancient Turtle Protector,https://yugipedia.com/wiki/Ancient_Turtle_Protector,2022-09-21 03:14:04,New
Angel Judge,Spell Card,Normal Spell Card,"('Effect',)",True,True,Angel Judge,https://yugipedia.com/wiki/Angel_Judge,2022-10-30 07:46:24,Old
Angel Judge,Spell Card,Normal Spell Card,"('Effect',)",False,False,Angel Judge,https://yugipedia.com/wiki/Angel_Judge,2022-10-30 07:46:24,New
Anglered Digra,Monster Card,,"('Effect',)",True,True,Anglered Digra,https://yugipedia.com/wiki/Anglered_Digra,2022-09-21 05:38:27,Old
Anglered Digra,Monster Card,,"('Effect',)",False,False,Anglered Digra,https://yugipedia.com/wiki/Anglered_Digra,2022-09-21 05:38:27,New
Anmagmabear,Monster Card,,"('Effect',)",True,True,Anmagmabear,https://yugipedia.com/wiki/Anmagmabear,2023-01-03 23:14:29,Old
Anmagmabear,Monster Card,,"('Effect',)",False,False,Anmagmabear,https://yugipedia.com/wiki/Anmagmabear,2023-01-03 23:14:29,New
Ansler the Magical Swordsman,Monster Card,,,True,True,Ansler the Magical Swordsman,https://yugipedia.com/wiki/Ansler_the_Magical_Swordsman,2021-12-03 03:36:03,Old
Ansler the Magical Swordsman,Monster Card,,,False,False,Ansler the Magical Swordsman,https://yugipedia.com/wiki/Ansler_the_Magical_Swordsman,2021-12-03 03:36:03,New
Ant of Justice,Monster Card,,,True,True,Ant of Justice,https://yugipedia.com/wiki/Ant_of_Justice,2023-02-03 04:48:43,Old
Ant of Justice,Monster Card,,,False,False,Ant of Justice,https://yugipedia.com/wiki/Ant_of_Justice,2023-02-03 04:48:43,New
Antiberty Flag,Trap Card,Normal Trap Card,"('Effect',)",True,True,Antiberty Flag,https://yugipedia.com/wiki/Antiberty_Flag,2022-10-20 07:18:05,Old
Antiberty Flag,Trap Card,Normal Trap Card,"('Effect',)",False,False,Antiberty Flag,https://yugipedia.com/wiki/Antiberty_Flag,2022-10-20 07:18:05,New
Antrebellion of the Rebellion,Monster Card,,"('Effect',)",True,True,Antrebellion of the Rebellion,https://yugipedia.com/wiki/Antrebellion_of_the_Rebellion,2022-10-20 07:20:56,Old
Antrebellion of the Rebellion,Monster Card,,"('Effect',)",False,False,Antrebellion of the Rebellion,https://yugipedia.com/wiki/Antrebellion_of_the_Rebellion,2022-10-20 07:20:56,New
Ants Running About,Monster Card,,,True,True,Ants Running About,https://yugipedia.com/wiki/Ants_Running_About,2022-10-20 07:23:45,Old
Ants Running About,Monster Card,,,False,False,Ants Running About,https://yugipedia.com/wiki/Ants_Running_About,2022-10-20 07:23:45,New
Apocalypse - Beast Gear World,Spell Card,Field Spell Card,"('Effect',)",True,True,Apocalypse - Beast Gear World,https://yugipedia.com/wiki/Apocalypse_-_Beast_Gear_World,2022-09-25 03:05:23,Old
Apocalypse - Beast Gear World,Spell Card,Field Spell Card,"('Effect',)",False,False,Apocalypse - Beast Gear World,https://yugipedia.com/wiki/Apocalypse_-_Beast_Gear_World,2022-09-25 03:05:23,New
Apocalypse - Legend of the Warrior,Spell Card,Normal Spell Card,"('Effect',)",True,True,Apocalypse - Legend of the Warrior,https://yugipedia.com/wiki/Apocalypse_-_Legend_of_the_Warrior,2022-10-20 07:19:21,Old
Apocalypse - Legend of the Warrior,Spell Card,Normal Spell Card,"('Effect',)",False,False,Apocalypse - Legend of the Warrior,https://yugipedia.com/wiki/Apocalypse_-_Legend_of_the_Warrior,2022-10-20 07:19:21,New
Apocalypse - The Unstoppable Beast-Warrior,Spell Card,Normal Spell Card,"('Effect',)",True,True,Apocalypse - The Unstoppable Beast-Warrior,https://yugipedia.com/wiki/Apocalypse_-_The_Unstoppable_Beast-Warrior,2022-12-14 22:50:59,Old
Apocalypse - The Unstoppable Beast-Warrior,Spell Card,Normal Spell Card,"('Effect',)",False,False,Apocalypse - The Unstoppable Beast-Warrior,https://yugipedia.com/wiki/Apocalypse_-_The_Unstoppable_Beast-Warrior,2022-12-14 22:50:59,New
Applizard,Monster Card,,,True,True,Applizard,https://yugipedia.com/wiki/Applizard,2022-12-21 09:37:45,Old
Applizard,Monster Card,,,False,False,Applizard,https://yugipedia.com/wiki/Applizard,2022-12-21 09:37:45,New
Aqua Boost,Spell Card,Normal Spell Card,"('Effect',)",True,True,Aqua Boost,https://yugipedia.com/wiki/Aqua_Boost,2022-10-20 07:34:56,Old
Aqua Boost,Spell Card,Normal Spell Card,"('Effect',)",False,False,Aqua Boost,https://yugipedia.com/wiki/Aqua_Boost,2022-10-20 07:34:56,New
Aqua Sorcerer,Monster Card,,,True,True,Aqua Sorcerer,https://yugipedia.com/wiki/Aqua_Sorcerer,2022-09-20 11:22:00,Old
Aqua Sorcerer,Monster Card,,,False,False,Aqua Sorcerer,https://yugipedia.com/wiki/Aqua_Sorcerer,2022-09-20 11:22:00,New
Arcanaika Force Dotchtkers,Monster Card,,,True,True,Arcanaika Force Dotchtkers,https://yugipedia.com/wiki/Arcanaika_Force_Dotchtkers,2023-02-15 11:30:48,Old
Arcanaika Force Dotchtkers,Monster Card,,,False,False,Arcanaika Force Dotchtkers,https://yugipedia.com/wiki/Arcanaika_Force_Dotchtkers,2023-02-15 11:30:48,New
Archfiend Marmot of Deliciousness,Monster Card,,,True,True,Archfiend Marmot of Deliciousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Deliciousness,2022-12-27 14:32:41,Old
Archfiend Marmot of Deliciousness,Monster Card,,,False,False,Archfiend Marmot of Deliciousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Deliciousness,2022-12-27 14:32:41,New
Archfiend Marmot of Nefaribousness,Monster Card,,,True,True,Archfiend Marmot of Nefaribousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefaribousness,2022-09-21 05:35:39,Old
Archfiend Marmot of Nefaribousness,Monster Card,,,False,False,Archfiend Marmot of Nefaribousness,https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefaribousness,2022-09-21 05:35:39,New
Archfiend Marmot of Nefariousness,Monster Card,,,True,True,Archfiend Marmot of Nefariousness (Rush Duel),https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness_(Rush_Duel),2022-04-10 15:58:12,Old
Archfiend Marmot of Nefariousness,Monster Card,,,False,False,Archfiend Marmot of Nefariousness (Rush Duel),https://yugipedia.com/wiki/Archfiend_Marmot_of_Nefariousness_(Rush_Duel),2022-04-10 15:58:12,New
Archfiend Soldier,Monster Card,,,True,True,Archfiend Soldier (Rush Duel),https://yugipedia.com/wiki/Archfiend_Soldier_(Rush_Duel),2022-12-21 09:03:19,Old
Archfiend Soldier,Monster Card,,,True,False,Archfiend Soldier (Rush Duel),https://yugipedia.com/wiki/Archfiend_Soldier_(Rush_Duel),2022-12-21 09:03:19,New
Archfiend Warrior,Monster Card,,"('Effect',)",True,True,Archfiend Warrior,https://yugipedia.com/wiki/Archfiend_Warrior,2023-02-17 11:57:55,Old
Archfiend Warrior,Monster Card,,"('Effect',)",False,False,Archfiend Warrior,https://yugipedia.com/wiki/Archfiend_Warrior,2023-02-17 11:57:55,New
Archfiend's Revival,Trap Card,Normal Trap Card,"('Effect',)",True,True,Archfiend's Revival,https://yugipedia.com/wiki/Archfiend%27s_Revival,2022-11-02 17:18:23,Old
Archfiend's Revival,Trap Card,Normal Trap Card,"('Effect',)",False,False,Archfiend's Revival,https://yugipedia.com/wiki/Archfiend%27s_Revival,2022-11-02 17:18:23,New
Archfiend's Summoning Flute,Monster Card,,"('Effect',)",True,True,Archfiend's Summoning Flute,https://yugipedia.com/wiki/Archfiend%27s_Summoning_Flute,2023-01-03 23:15:47,Old
Archfiend's Summoning Flute,Monster Card,,"('Effect',)",False,False,Archfiend's Summoning Flute,https://yugipedia.com/wiki/Archfiend%27s_Summoning_Flute,2023-01-03 23:15:47,New
Area 33,Spell Card,Field Spell Card,"('Effect',)",True,True,Area 33,https://yugipedia.com/wiki/Area_33,2022-11-17 12:07:41,Old
Area 33,Spell Card,Field Spell Card,"('Effect',)",False,False,Area 33,https://yugipedia.com/wiki/Area_33,2022-11-17 12:07:41,New
Arma Knight,Monster Card,,,True,True,Arma Knight (Rush Duel),https://yugipedia.com/wiki/Arma_Knight_(Rush_Duel),2022-09-21 03:03:38,Old
Arma Knight,Monster Card,,,False,False,Arma Knight (Rush Duel),https://yugipedia.com/wiki/Arma_Knight_(Rush_Duel),2022-09-21 03:03:38,New
Armaments of Ascension,Spell Card,Equip Spell Card,"('Effect',)",True,True,Armaments of Ascension,https://yugipedia.com/wiki/Armaments_of_Ascension,2023-02-04 14:18:09,Old
Armaments of Ascension,Spell Card,Equip Spell Card,"('Effect',)",False,False,Armaments of Ascension,https://yugipedia.com/wiki/Armaments_of_Ascension,2023-02-04 14:18:09,New
Armored Lizard,Monster Card,,,True,True,Armored Lizard (Rush Duel),https://yugipedia.com/wiki/Armored_Lizard_(Rush_Duel),2022-09-21 05:44:42,Old
Armored Lizard,Monster Card,,,False,False,Armored Lizard (Rush Duel),https://yugipedia.com/wiki/Armored_Lizard_(Rush_Duel),2022-09-21 05:44:42,New
Aromagmabear,Monster Card,,"('Effect',)",True,True,Aromagmabear,https://yugipedia.com/wiki/Aromagmabear,2022-10-20 07:20:44,Old
Aromagmabear,Monster Card,,"('Effect',)",False,False,Aromagmabear,https://yugipedia.com/wiki/Aromagmabear,2022-10-20 07:20:44,New
Arts Angel CD Fender,Monster Card,,,True,True,Arts Angel CD Fender,https://yugipedia.com/wiki/Arts_Angel_CD_Fender,2023-02-04 14:26:42,Old
Arts Angel CD Fender,Monster Card,,,False,False,Arts Angel CD Fender,https://yugipedia.com/wiki/Arts_Angel_CD_Fender,2023-02-04 14:26:42,New
Arts Angel Dia Needle,Monster Card,,"('Effect',)",True,True,Arts Angel Dia Needle,https://yugipedia.com/wiki/Arts_Angel_Dia_Needle,2023-02-04 14:25:50,Old
Arts Angel Dia Needle,Monster Card,,"('Effect',)",False,False,Arts Angel Dia Needle,https://yugipedia.com/wiki/Arts_Angel_Dia_Needle,2023-02-04 14:25:50,New
Arts Angel Glyco Razer,Monster Card,,,True,True,Arts Angel Glyco Razer,https://yugipedia.com/wiki/Arts_Angel_Glyco_Razer,2023-02-04 14:26:48,Old
Arts Angel Glyco Razer,Monster Card,,,False,False,Arts Angel Glyco Razer,https://yugipedia.com/wiki/Arts_Angel_Glyco_Razer,2023-02-04 14:26:48,New
Arts Angel Guard Dolby,Monster Card,,,True,True,Arts Angel Guard Dolby,https://yugipedia.com/wiki/Arts_Angel_Guard_Dolby,2023-02-04 14:26:54,Old
