Name,Effect type,OCG status,Artwork,Modification date,Errata,Version
Prank-Kids Meow-Meow-Mu,"('Condition', 'Unclassified effect')",Semi-Limited,,2023-03-19 23:18:40,,New
Purrely Sleepy Memory,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,,2023-05-04 16:00:47,,Old
Purrely Sleepy Memory,"('Condition', 'Effect', 'Trigger Effect')",Limited,,2023-05-04 16:00:47,,New
Runick Fountain,"('Continuous-like Effect', 'Trigger Effect')",Semi-Limited,,2023-03-20 06:26:19,,Old
Runick Fountain,"('Continuous-like Effect', 'Trigger Effect')",Limited,,2023-03-20 06:26:19,,New
Salamangreat Gazelle,"('Condition', 'Trigger Effect')",Semi-Limited,,2023-06-19 21:29:04,,Old
Salamangreat Gazelle,"('Condition', 'Trigger Effect')",Unlimited,,2023-06-19 21:29:04,,New
Sand Stone,,Unlimited,,2023-05-14 13:05:26,,Old
Sand Stone,,Unlimited,,2023-05-14 13:05:26,"('Type',)",New
Saryuja Skull Dread,"('Condition', 'Ignition Effect', 'Trigger Effect')",Semi-Limited,,2023-03-20 07:01:33,"('Any',)",Old
Saryuja Skull Dread,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-03-20 07:01:33,"('Any',)",New
Skull Red Bird,,Unlimited,,2023-05-14 13:07:01,,Old
Skull Red Bird,,Unlimited,,2023-05-14 13:07:01,"('Type',)",New
Smoke Grenade of the Thief,"('Trigger Effect',)",Unlimited,,2023-03-20 08:49:14,"('Type',)",Old
Smoke Grenade of the Thief,"('Trigger Effect',)",Forbidden,,2023-03-20 08:49:14,"('Type',)",New
Spellbook of Judgment,"('Condition', 'Lingering effect')",Semi-Limited,"('Edited',)",2023-05-07 14:44:27,,Old
Spellbook of Judgment,"('Condition', 'Lingering effect')",Unlimited,"('Edited',)",2023-05-07 14:44:27,,New
Spike Seadra,,Unlimited,,2023-05-14 13:07:36,,Old
Spike Seadra,,Unlimited,,2023-05-14 13:07:36,"('Type',)",New
Succubus Knight,,Unlimited,,2023-05-14 13:00:43,"('Any',)",Old
Succubus Knight,,Unlimited,,2023-05-14 13:00:43,"('Type',)",New
Superheavy Samurai Motorbike,"('Condition', 'Ignition Effect')",Unlimited,,2023-05-04 17:08:18,,Old
Superheavy Samurai Motorbike,"('Condition', 'Ignition Effect')",Semi-Limited,,2023-05-04 17:08:18,,New
Superheavy Samurai Soulbreaker Armor,"('Continuous-like Effect', 'Ignition Effect')",Unlimited,,2023-03-20 11:30:44,,Old
Superheavy Samurai Soulbreaker Armor,"('Continuous-like Effect', 'Ignition Effect')",Forbidden,,2023-03-20 11:30:44,,New
Superheavy Samurai Soulpiercer,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-03-20 11:33:04,,Old
Superheavy Samurai Soulpiercer,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",Limited,,2023-03-20 11:33:04,,New
Tellarknight Ptolemaeus,"('Ignition Effect', 'Quick Effect', 'Trigger Effect')",Semi-Limited,,2023-06-22 12:19:31,"('Any',)",Old
Tellarknight Ptolemaeus,"('Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,2023-06-22 12:19:31,"('Any',)",New
The Iris Swordsoul,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,2023-04-27 19:54:00,,Old
The Iris Swordsoul,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Edited',)",2023-07-03 00:38:48,,New
Thunder Dragonhawk,"('Condition', 'Ignition Effect', 'Trigger Effect')",Semi-Limited,,2023-03-20 15:09:12,,Old
Thunder Dragonhawk,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-06-28 13:47:48,,New
Tripwire Beast,,Unlimited,,2023-05-14 13:07:21,,Old
Tripwire Beast,,Unlimited,,2023-05-14 13:07:21,"('Type',)",New
Witchcrafter Vice-Madame,"('Condition', 'Quick Effect')",Unlimited,,2023-03-20 20:03:01,,Old
Witchcrafter Vice-Madame,"('Condition', 'Quick Effect')",Unlimited,"('Edited',)",2023-07-03 00:47:11,,New
