Name,Password,Card type,Property,Archseries,Attribute,Primary type,Secondary type,Monster type,Effect type,DEF,ATK,Level/Rank,TCG status,OCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Character
Amazoness Heirloom,79965360,Spell Card,Equip Spell Card,"('Amazoness',)",,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Heirloom,https://yugipedia.com/wiki/Amazoness_Heirloom,,2020-11-15 05:01:05,
Amazoness Queen,15951532,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",1800,2400,6,Unlimited,Unlimited,Not yet released,Amazoness Queen,https://yugipedia.com/wiki/Amazoness_Queen,"('Edited',)",2023-02-20 22:04:35,
Amazoness Sage,53162898,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Trigger Effect',)",700,1400,4,Unlimited,Unlimited,Unlimited,Amazoness Sage,https://yugipedia.com/wiki/Amazoness_Sage,,2023-01-30 12:27:41,
Amazoness Spy,31102447,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Condition', 'Ignition Effect', 'Trigger Effect')",1200,800,3,Unlimited,Unlimited,Unlimited,Amazoness Spy,https://yugipedia.com/wiki/Amazoness_Spy,"('Edited',)",2023-01-12 11:22:31,
Amazoness Swords Woman,94004268,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect',)",1600,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Swords Woman,https://yugipedia.com/wiki/Amazoness_Swords_Woman,,2023-02-20 22:06:01,
Amazoness Trainee,89567993,Monster Card,,"('Amazoness',)",EARTH,Effect Monster,,Warrior,"('Continuous Effect', 'Trigger Effect')",1300,1500,4,Unlimited,Unlimited,Unlimited,Amazoness Trainee,https://yugipedia.com/wiki/Amazoness_Trainee,,2022-04-20 12:43:13,
Amazoness Village,00712559,Spell Card,Field Spell Card,"('Amazoness',)",,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amazoness Village,https://yugipedia.com/wiki/Amazoness_Village,,2022-04-20 02:46:09,
Ambulance Rescueroid,98927491,Monster Card,,"('roid',)",FIRE,Fusion Monster,,Machine,"('Summoning condition', 'Trigger Effect')",1800,2300,6,Unlimited,Unlimited,Unlimited,Ambulance Rescueroid,https://yugipedia.com/wiki/Ambulance_Rescueroid,,2023-01-03 20:27:26,
Ambulanceroid,36378213,Monster Card,,"('roid',)",EARTH,Effect Monster,,Machine,"('Trigger Effect',)",1200,300,3,Unlimited,Unlimited,Unlimited,Ambulanceroid,https://yugipedia.com/wiki/Ambulanceroid,,2023-01-03 20:37:56,
Amplifier,00303660,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,Amplifier,https://yugipedia.com/wiki/Amplifier,,2023-02-19 14:41:56,
Amulet of Ambition,05183693,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Amulet of Ambition,https://yugipedia.com/wiki/Amulet_of_Ambition,,2021-04-16 15:30:46,
Ancient Brain,42431843,Monster Card,,,DARK,Normal Monster,,Fiend,,700,1000,3,Unlimited,Unlimited,Unlimited,Ancient Brain,https://yugipedia.com/wiki/Ancient_Brain,,2021-11-06 15:34:52,
Ancient City - Rainbow Ruins,34487429,Spell Card,Field Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Quick-like Effect')",,,,Unlimited,Unlimited,Unlimited,Ancient City - Rainbow Ruins,https://yugipedia.com/wiki/Ancient_City_-_Rainbow_Ruins,,2022-12-01 14:57:55,
Ancient Fusion,,Skill Card,,"('Fusion (archetype)',)",,,,,,,,,Illegal,,Legal,Ancient Fusion,https://yugipedia.com/wiki/Ancient_Fusion,,2022-12-06 13:13:12,Vellian Crowler
Ancient Gear,31557782,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Unclassified effect',)",800,100,2,Unlimited,Unlimited,Unlimited,Ancient Gear (card),https://yugipedia.com/wiki/Ancient_Gear_(card),,2022-03-21 20:07:16,
Ancient Gear Beast,10509340,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Summoning condition')",2000,2000,6,Unlimited,Unlimited,Unlimited,Ancient Gear Beast,https://yugipedia.com/wiki/Ancient_Gear_Beast,,2022-03-21 20:07:18,
Ancient Gear Castle,92001300,Spell Card,Continuous Spell Card,"('Ancient Gear',)",,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Ancient Gear Castle,https://yugipedia.com/wiki/Ancient_Gear_Castle,"('Edited',)",2023-01-16 13:23:55,
Ancient Gear Engineer,01953925,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Trigger Effect')",1500,1500,5,Unlimited,Unlimited,Unlimited,Ancient Gear Engineer,https://yugipedia.com/wiki/Ancient_Gear_Engineer,,2022-03-21 20:07:15,
Ancient Gear Gadget,18486927,Monster Card,,"('Ancient Gear', 'Gadget')",EARTH,Effect Monster,,Machine,"('Ignition Effect', 'Trigger Effect')",2000,500,4,Unlimited,Unlimited,Unlimited,Ancient Gear Gadget,https://yugipedia.com/wiki/Ancient_Gear_Gadget,,2022-12-21 01:57:57,
Ancient Gear Golem,83104731,Monster Card,,"('Ancient Gear', 'Ancient Gear Golem (archetype)')",EARTH,Effect Monster,,Machine,"('Continuous Effect', 'Summoning condition')",3000,3000,8,Unlimited,Unlimited,Unlimited,Ancient Gear Golem,https://yugipedia.com/wiki/Ancient_Gear_Golem,,2022-03-21 20:07:35,
Ancient Gear Knight,39303359,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,"('Gemini monster',)",Machine,"('Condition', 'Continuous Effect', 'Unclassified effect')",500,1800,4,Unlimited,Unlimited,Unlimited,Ancient Gear Knight,https://yugipedia.com/wiki/Ancient_Gear_Knight,,2022-04-24 04:04:33,
Ancient Gear Soldier,56094445,Monster Card,,"('Ancient Gear',)",EARTH,Effect Monster,,Machine,"('Continuous Effect',)",1300,1300,4,Unlimited,Unlimited,Unlimited,Ancient Gear Soldier,https://yugipedia.com/wiki/Ancient_Gear_Soldier,"('Edited',)",2023-01-04 17:30:08,
Angel O7,56784842,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Condition', 'Continuous Effect')",1500,2500,7,Unlimited,Unlimited,Unlimited,Angel O7,https://yugipedia.com/wiki/Angel_O7,,2022-04-27 14:48:59,
Anthrosaurus,89904598,Monster Card,,,EARTH,Normal Monster,,Dinosaur,,850,1000,3,Unlimited,Unlimited,Unlimited,Anthrosaurus,https://yugipedia.com/wiki/Anthrosaurus,,2021-11-06 15:40:48,
Apprentice Magician,09156135,Monster Card,,"('Magician',)",DARK,Effect Monster,,Spellcaster,"('Trigger Effect',)",800,400,2,Unlimited,Unlimited,Unlimited,Apprentice Magician,https://yugipedia.com/wiki/Apprentice_Magician,,2022-03-21 15:40:17,
Aqua Chorus,95132338,Trap Card,Continuous Trap Card,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Not yet released,Aqua Chorus,https://yugipedia.com/wiki/Aqua_Chorus,,2023-02-20 22:38:26,
Aqua Madoor,85639257,Monster Card,,"('Madoor',)",WATER,Normal Monster,,Spellcaster,,2000,1200,4,Unlimited,Unlimited,Unlimited,Aqua Madoor,https://yugipedia.com/wiki/Aqua_Madoor,,2022-04-10 21:13:24,
Arcana Knight Joker,06150044,Monster Card,,,LIGHT,Fusion Monster,,Warrior,"('Quick Effect', 'Summoning condition')",2500,3800,9,Unlimited,Unlimited,Unlimited,Arcana Knight Joker,https://yugipedia.com/wiki/Arcana_Knight_Joker,"('Alternate',)",2022-10-29 14:21:33,
Arcane Barrier,17896384,Spell Card,Continuous Spell Card,,,,,,"('Continuous-like Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Unlimited,Arcane Barrier,https://yugipedia.com/wiki/Arcane_Barrier,,2020-03-19 22:39:49,
Archfiend of Gilfer,50287060,Monster Card,,"('Archfiend',)",DARK,Effect Monster,,Fiend,"('Continuous-like Effect', 'Trigger Effect')",2500,2200,6,Unlimited,Unlimited,Unlimited,Archfiend of Gilfer,https://yugipedia.com/wiki/Archfiend_of_Gilfer,,2022-04-19 23:46:55,
Archfiend's Oath,22796548,Spell Card,Continuous Spell Card,"('Archfiend',)",,,,,"('Ignition-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Archfiend's Oath,https://yugipedia.com/wiki/Archfiend%27s_Oath,,2021-03-06 20:58:37,
Armed Dragon LV10,59464593,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Summoning condition')",2000,3000,10,Unlimited,Unlimited,Not yet released,Armed Dragon LV10,https://yugipedia.com/wiki/Armed_Dragon_LV10,,2023-02-20 22:32:06,
Armed Dragon LV3,00980973,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Trigger Effect',)",900,1200,3,Unlimited,Unlimited,Unlimited,Armed Dragon LV3,https://yugipedia.com/wiki/Armed_Dragon_LV3,,2022-03-21 19:55:58,
Armed Dragon LV5,46384672,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Trigger Effect')",1700,2400,5,Unlimited,Unlimited,Unlimited,Armed Dragon LV5,https://yugipedia.com/wiki/Armed_Dragon_LV5,,2022-03-21 19:55:58,
Armed Dragon LV7,73879377,Monster Card,,"('Armed Dragon', 'LV')",WIND,Effect Monster,,Dragon,"('Ignition Effect', 'Summoning condition')",1000,2800,7,Unlimited,Unlimited,Unlimited,Armed Dragon LV7,https://yugipedia.com/wiki/Armed_Dragon_LV7,,2022-03-21 14:25:40,
Armed and Ready!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Armed and Ready!,https://yugipedia.com/wiki/Armed_and_Ready!,,2022-09-01 17:48:53,Chazz Princeton
Armored Zombie,20277860,Monster Card,,"('Zombie counterpart',)",DARK,Normal Monster,,Zombie,,0,1500,3,Unlimited,Unlimited,Unlimited,Armored Zombie,https://yugipedia.com/wiki/Armored_Zombie,,2021-11-06 15:51:49,
Aroma Strategy,,Skill Card,,,,,,,,,,,Illegal,,Legal,Aroma Strategy,https://yugipedia.com/wiki/Aroma_Strategy,,2023-01-02 10:39:59,Mai Valentine
Assault on GHQ,62633180,Trap Card,Normal Trap Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Assault on GHQ,https://yugipedia.com/wiki/Assault_on_GHQ,,2020-03-19 22:52:56,
Attack the Moon!,83715234,Spell Card,Continuous Spell Card,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Unlimited,Attack the Moon!,https://yugipedia.com/wiki/Attack_the_Moon!,,2021-02-03 20:03:43,
Axe Raider,48305365,Monster Card,,,EARTH,Normal Monster,,Warrior,,1150,1700,4,Unlimited,Unlimited,Unlimited,Axe Raider,https://yugipedia.com/wiki/Axe_Raider,,2021-11-06 15:56:19,
Baby Dragon,88819587,Monster Card,,,WIND,Normal Monster,,Dragon,,700,1200,3,Unlimited,Unlimited,Unlimited,Baby Dragon,https://yugipedia.com/wiki/Baby_Dragon,,2022-04-24 04:06:03,
Backup Squad,28486799,Spell Card,Continuous Spell Card,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Unlimited,Backup Squad,https://yugipedia.com/wiki/Backup_Squad,,2020-05-22 17:24:06,
Bandit,,Skill Card,,,,,,,,,,,Illegal,,Legal,Bandit,https://yugipedia.com/wiki/Bandit,,2020-12-02 03:33:23,Bandit Keith
Banisher of the Light,61528025,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Continuous Effect',)",2000,100,3,Unlimited,Unlimited,Unlimited,Banisher of the Light,https://yugipedia.com/wiki/Banisher_of_the_Light,,2021-11-07 09:15:49,
Banisher of the Radiance,94853057,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Continuous Effect',)",0,1600,3,Unlimited,Unlimited,Unlimited,Banisher of the Radiance,https://yugipedia.com/wiki/Banisher_of_the_Radiance,,2021-01-31 17:18:08,
Bark of Dark Ruler,41925941,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Bark of Dark Ruler,https://yugipedia.com/wiki/Bark_of_Dark_Ruler,"('Edited',)",2021-11-07 09:16:33,
Barrel Dragon,81480460,Monster Card,,"('Gun Dragon',)",DARK,Effect Monster,,Machine,"('Ignition Effect',)",2200,2600,7,Unlimited,Unlimited,Unlimited,Barrel Dragon,https://yugipedia.com/wiki/Barrel_Dragon,"('Edited',)",2023-01-05 00:12:29,
Bashing Shield,88610708,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,Bashing Shield,https://yugipedia.com/wiki/Bashing_Shield,,2022-03-11 04:28:00,
Basic Insect,89091579,Monster Card,,,EARTH,Normal Monster,,Insect,,700,500,2,Unlimited,Unlimited,Unlimited,Basic Insect,https://yugipedia.com/wiki/Basic_Insect,,2022-04-09 21:25:04,
Battle Ox,05053103,Monster Card,,,EARTH,Normal Monster,,Beast-Warrior,,1000,1700,4,Unlimited,Unlimited,Unlimited,Battle Ox,https://yugipedia.com/wiki/Battle_Ox,,2022-12-27 14:36:20,
Battleguard Rage,42233477,Trap Card,Continuous Trap Card,"('Battleguard',)",,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Battleguard Rage,https://yugipedia.com/wiki/Battleguard_Rage,,2021-01-31 17:46:08,
Bazoo the Soul-Eater,40133511,Monster Card,,,EARTH,Effect Monster,,Beast,"('Ignition Effect',)",900,1600,4,Unlimited,Unlimited,Unlimited,Bazoo the Soul-Eater,https://yugipedia.com/wiki/Bazoo_the_Soul-Eater,,2021-11-01 01:53:56,
Beast of Talwar,11761845,Monster Card,,"('Archfiend',)",DARK,Normal Monster,,Fiend,,2150,2400,6,Unlimited,Unlimited,Unlimited,Beast of Talwar,https://yugipedia.com/wiki/Beast_of_Talwar,,2021-11-07 09:21:58,
Beasts of Phantom,,Skill Card,,,,,,,,,,,Illegal,,Legal,Beasts of Phantom,https://yugipedia.com/wiki/Beasts_of_Phantom,,2022-12-27 18:47:29,Yami Yugi
Beatdown!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Beatdown!,https://yugipedia.com/wiki/Beatdown!,,2022-09-19 14:27:06,Seto Kaiba
Beaver Warrior,32452818,Monster Card,,,EARTH,Normal Monster,,Beast-Warrior,,1500,1200,4,Unlimited,Unlimited,Unlimited,Beaver Warrior,https://yugipedia.com/wiki/Beaver_Warrior,,2022-04-11 15:50:23,
Bee List Soldier,01474910,Monster Card,,,WIND,Effect Monster,,Insect,"('Ignition Effect',)",400,500,1,Unlimited,Unlimited,Unlimited,Bee List Soldier,https://yugipedia.com/wiki/Bee_List_Soldier,,2020-11-15 18:46:41,
Beetron,30587695,Monster Card,,,DARK,Effect Monster,,Insect,"('Ignition Effect',)",900,1600,4,Unlimited,Unlimited,Unlimited,Beetron,https://yugipedia.com/wiki/Beetron,,2022-08-27 15:02:28,
Behemoth the King of All Animals,22996376,Monster Card,,,EARTH,Effect Monster,,Beast,"('Trigger Effect', 'Unclassified effect')",1500,2700,7,Unlimited,Unlimited,Unlimited,Behemoth the King of All Animals,https://yugipedia.com/wiki/Behemoth_the_King_of_All_Animals,,2022-04-07 16:40:04,
"Behold, Gate Guardian!",,Skill Card,,"('Guardian',)",,,,,,,,,Illegal,,Legal,"Behold, Gate Guardian!","https://yugipedia.com/wiki/Behold,_Gate_Guardian!",,2022-10-08 06:46:49,Paradox Brothers
Believe in your Bro,,Skill Card,,,,,,,,,,,Illegal,,Legal,Believe in your Bro,https://yugipedia.com/wiki/Believe_in_your_Bro,,2022-10-08 07:19:14,
Berfomet,77207191,Monster Card,,,DARK,Effect Monster,,Fiend,"('Trigger Effect',)",1800,1400,5,Unlimited,Unlimited,Unlimited,Berfomet,https://yugipedia.com/wiki/Berfomet,,2021-11-07 09:25:09,
Berserk Scales,52497105,Spell Card,Quick-Play Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Berserk Scales,https://yugipedia.com/wiki/Berserk_Scales,,2022-08-14 05:33:32,
Beta The Magnet Warrior,39256679,Monster Card,,"('Magnet Warrior', 'Warrior (archetype)')",EARTH,Normal Monster,,Rock,,1600,1700,4,Unlimited,Unlimited,Unlimited,Beta The Magnet Warrior,https://yugipedia.com/wiki/Beta_The_Magnet_Warrior,,2021-03-06 21:09:12,
Beware the Brothers Paradox!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Beware the Brothers Paradox!,https://yugipedia.com/wiki/Beware_the_Brothers_Paradox!,,2022-10-08 07:09:51,Paradox Brothers
Big Insect,53606874,Monster Card,,,EARTH,Normal Monster,,Insect,,1500,1200,4,Unlimited,Unlimited,Unlimited,Big Insect,https://yugipedia.com/wiki/Big_Insect,,2021-11-07 09:27:01,
Big Koala,42129512,Monster Card,,"('Koala',)",EARTH,Normal Monster,,Beast,,2000,2700,7,Unlimited,Unlimited,Unlimited,Big Koala,https://yugipedia.com/wiki/Big_Koala,,2022-09-23 00:27:41,
Big Wave Small Wave,51562916,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Big Wave Small Wave,https://yugipedia.com/wiki/Big_Wave_Small_Wave,,2020-04-19 04:55:59,
Birdface,45547649,Monster Card,,,WIND,Effect Monster,,Winged Beast,"('Trigger Effect',)",1600,1600,4,Unlimited,Unlimited,Unlimited,Birdface,https://yugipedia.com/wiki/Birdface,,2021-11-07 09:29:29,
Black Brachios,50896944,Monster Card,,"('Black (series)',)",EARTH,Effect Monster,,Dinosaur,"('Trigger Effect',)",1100,1800,4,Unlimited,Unlimited,Unlimited,Black Brachios,https://yugipedia.com/wiki/Black_Brachios,,2023-01-07 08:19:38,
Black Illusion Ritual,41426869,Spell Card,Ritual Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Black Illusion Ritual,https://yugipedia.com/wiki/Black_Illusion_Ritual,,2022-04-29 13:23:52,
Black Luster Ritual,55761792,Spell Card,Ritual Spell Card,"('Chaos',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Black Luster Ritual,https://yugipedia.com/wiki/Black_Luster_Ritual,,2021-03-06 21:10:49,
Black Luster Soldier,05405694,Monster Card,,"('Black Luster Soldier (archetype)', 'Chaos')",EARTH,Ritual Monster,,Warrior,,2500,3000,8,Unlimited,Unlimited,Unlimited,Black Luster Soldier,https://yugipedia.com/wiki/Black_Luster_Soldier,,2022-12-23 04:17:20,
Black Magic Ritual,76792184,Spell Card,Ritual Spell Card,"('Chaos',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Black Magic Ritual,https://yugipedia.com/wiki/Black_Magic_Ritual,"('Edited',)",2022-06-03 17:00:55,
Black Ptera,90654356,Monster Card,,"('Black (series)',)",WIND,Effect Monster,,Dinosaur,"('Trigger Effect',)",500,1000,3,Unlimited,Unlimited,Unlimited,Black Ptera,https://yugipedia.com/wiki/Black_Ptera,,2023-01-07 08:20:55,
Black Stego,79409334,Monster Card,,"('Black (series)',)",EARTH,Effect Monster,,Dinosaur,"('Trigger Effect',)",2000,1200,4,Unlimited,Unlimited,Unlimited,Black Stego,https://yugipedia.com/wiki/Black_Stego,,2023-01-07 08:19:11,
Black Tyranno,38670435,Monster Card,,"('Black (series)',)",EARTH,Effect Monster,,Dinosaur,"('Continuous Effect',)",1800,2600,7,Unlimited,Unlimited,Unlimited,Black Tyranno,https://yugipedia.com/wiki/Black_Tyranno,,2023-01-07 08:18:27,
Blade Knight,39507162,Monster Card,,,LIGHT,Effect Monster,,Warrior,"('Continuous Effect',)",1000,1600,4,Unlimited,Unlimited,Unlimited,Blade Knight,https://yugipedia.com/wiki/Blade_Knight,,2023-01-03 22:59:07,
Blade Skater,97023549,Monster Card,,"('Cyber Girl',)",EARTH,Normal Monster,,Warrior,,1500,1400,4,Unlimited,Unlimited,Unlimited,Blade Skater,https://yugipedia.com/wiki/Blade_Skater,"('Edited',)",2023-01-05 20:15:31,
Blast Held by a Tribute,89041555,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Blast Held by a Tribute,https://yugipedia.com/wiki/Blast_Held_by_a_Tribute,,2022-04-13 12:40:59,
Blast Sphere,26302522,Monster Card,,,DARK,Effect Monster,,Machine,"('Trigger Effect',)",1400,1400,4,Unlimited,Unlimited,Unlimited,Blast Sphere,https://yugipedia.com/wiki/Blast_Sphere,,2021-03-06 21:13:29,
Blaze Accelerator,69537999,Spell Card,Continuous Spell Card,"('Blaze Accelerator (archetype)',)",,,,,"('Condition', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Unlimited,Blaze Accelerator,https://yugipedia.com/wiki/Blaze_Accelerator,,2022-04-20 03:57:17,
Blaze Accelerator Deployment,,Skill Card,,"('Blaze Accelerator (archetype)',)",,,,,,,,,Illegal,,Legal,Blaze Accelerator Deployment (Skill Card),https://yugipedia.com/wiki/Blaze_Accelerator_Deployment_(Skill_Card),,2022-09-01 16:57:16,Axel Brodie
Blazing Inpachi,05464695,Monster Card,,"('Inpachi (series)',)",FIRE,Normal Monster,,Pyro,,0,1850,4,Unlimited,Unlimited,Unlimited,Blazing Inpachi,https://yugipedia.com/wiki/Blazing_Inpachi,,2022-04-20 03:58:29,
Block Attack,25880422,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Block Attack,https://yugipedia.com/wiki/Block_Attack,,2021-11-07 09:33:29,
Block Golem,72580321,Monster Card,,,EARTH,Effect Monster,,Rock,"('Ignition Effect',)",1500,1000,3,Unlimited,Unlimited,Unlimited,Block Golem,https://yugipedia.com/wiki/Block_Golem,,2021-02-03 17:42:47,
