Name,Print,Cover card,Modification date,Version
Nimble Momonga,Reprint,,2022-07-23 17:01:44,New
Nimble Momonga,,,2022-07-23 17:01:44,Old
Magician of Faith,Reprint,,2022-07-23 17:01:44,New
Magician of Faith,,,2022-07-23 17:01:44,Old
Pyramid Turtle,Reprint,,2022-07-23 17:01:44,New
Pyramid Turtle,,,2022-07-23 17:01:44,Old
Smashing Ground,,,2022-07-23 17:01:44,Old
Smashing Ground,Reprint,,2022-07-23 17:01:44,New
Kuriboh,Reprint,,2022-07-23 17:01:44,New
Kuriboh,,,2022-07-23 17:01:44,Old
Abyss Soldier,Reprint,,2022-07-23 17:01:44,New
Abyss Soldier,,,2022-07-23 17:01:44,Old
Ring of Destruction,Reprint,,2022-07-23 17:01:44,New
Ring of Destruction,,,2022-07-23 17:01:44,Old
Morphing Jar,Reprint,,2022-07-23 17:01:44,New
Morphing Jar,,,2022-07-23 17:01:44,Old
Dark Master - Zorc,,,2022-07-23 17:01:44,Old
Dark Master - Zorc,Reprint,,2022-07-23 17:01:44,New
Magical Dimension,,,2022-07-23 17:01:44,Old
Magical Dimension,Reprint,,2022-07-23 17:01:44,New
Happy Lover,New,,2022-07-23 17:01:44,New
Happy Lover,,,2022-07-23 17:01:44,Old
Rush Recklessly,Reprint,,2022-07-23 17:01:44,New
Rush Recklessly,,,2022-07-23 17:01:44,Old
Ceasefire,,,2022-07-23 17:01:44,Old
Ceasefire,Reprint,,2022-07-23 17:01:44,New
Thunder Dragon,,,2022-07-23 17:01:44,Old
Thunder Dragon,Reprint,,2022-07-23 17:01:44,New
Twin-Headed Behemoth,Reprint,,2022-07-23 17:01:44,New
Twin-Headed Behemoth,,,2022-07-23 17:01:44,Old
Book of Taiyou,,,2022-07-23 17:01:44,Old
Book of Taiyou,Reprint,,2022-07-23 17:01:44,New
Terraforming,Reprint,,2022-07-23 17:01:44,New
Terraforming,,,2022-07-23 17:01:44,Old
Big Bang Shot,,,2022-07-23 17:01:44,Old
Big Bang Shot,Reprint,,2022-07-23 17:01:44,New
Stray Lambs,Reprint,,2022-07-23 17:01:44,New
Stray Lambs,,,2022-07-23 17:01:44,Old
Magicians Unite,,,2022-07-23 17:01:49,Old
Magicians Unite,New,,2022-07-23 17:01:49,New
Spirit Reaper,Reprint,,2022-07-23 17:01:49,New
Spirit Reaper,,,2022-07-23 17:01:49,Old
Gravekeeper's Spy,,,2022-07-23 17:01:49,Old
Gravekeeper's Spy,Reprint,,2022-07-23 17:01:49,New
Snipe Hunter,Reprint,,2022-07-23 17:01:49,New
Snipe Hunter,,,2022-07-23 17:01:49,Old
Dark World Lightning,Reprint,,2022-07-23 17:01:49,New
Dark World Lightning,,,2022-07-23 17:01:49,Old
D.D. Assailant,Reprint,,2022-07-23 17:01:49,New
D.D. Assailant,,,2022-07-23 17:01:49,Old
"Goldd, Wu-Lord of Dark World",,,2022-07-23 17:01:49,Old
"Goldd, Wu-Lord of Dark World",Reprint,,2022-07-23 17:01:49,New
Manticore of Darkness,,,2022-07-23 17:01:49,Old
Manticore of Darkness,Reprint,,2022-07-23 17:01:49,New
The Agent of Judgment - Saturn,,,2022-07-23 17:01:49,Old
The Agent of Judgment - Saturn,Reprint,,2022-07-23 17:01:49,New
Pikeru's Circle of Enchantment,,,2022-07-23 17:01:49,Old
Pikeru's Circle of Enchantment,Reprint,,2022-07-23 17:01:49,New
Widespread Ruin,,,2022-07-23 17:01:49,Old
Widespread Ruin,Reprint,,2022-07-23 17:01:49,New
Fairy Dragon,,,2022-07-23 17:01:49,Old
Fairy Dragon,New,,2022-07-23 17:01:49,New
Chiron the Mage,,,2022-07-23 17:01:49,Old
Chiron the Mage,Reprint,,2022-07-23 17:01:49,New
Kaibaman,,,2022-07-23 17:01:49,Old
Kaibaman,Reprint,,2022-07-23 17:01:49,New
B.E.S. Crystal Core,,,2022-07-23 17:01:49,Old
B.E.S. Crystal Core,Reprint,,2022-07-23 17:01:49,New
Gravekeeper's Chief,,,2022-07-23 17:01:49,Old
Gravekeeper's Chief,Reprint,,2022-07-23 17:01:49,New
Wild Nature's Release,Reprint,,2022-07-23 17:01:49,New
Wild Nature's Release,,,2022-07-23 17:01:49,Old
A Feather of the Phoenix,Reprint,,2022-07-23 17:01:49,New
A Feather of the Phoenix,,,2022-07-23 17:01:49,Old
Contract with the Abyss,,,2022-07-23 17:01:49,Old
Contract with the Abyss,Reprint,,2022-07-23 17:01:49,New
Necrovalley,Reprint,,2022-07-23 17:01:49,New
Necrovalley,,,2022-07-23 17:01:49,Old
Gernia,,,2022-07-23 17:01:53,Old
Gernia,New,,2022-07-23 17:01:53,New
Ultimate Offering,,,2022-07-23 17:01:53,Old
Ultimate Offering,Reprint,,2022-07-23 17:01:53,New
Bottomless Trap Hole,Reprint,,2022-07-23 17:01:53,New
Bottomless Trap Hole,,,2022-07-23 17:01:53,Old
Apprentice Magician,Reprint,,2022-07-23 17:01:53,New
Apprentice Magician,,,2022-07-23 17:01:53,Old
Hydrogeddon,,,2022-07-23 17:01:53,Old
Hydrogeddon,Reprint,,2022-07-23 17:01:53,New
Confiscation,,,2022-07-23 17:01:53,Old
Confiscation,Reprint,,2022-07-23 17:01:53,New
Freed the Brave Wanderer,,,2022-07-23 17:01:53,Old
Freed the Brave Wanderer,Reprint,,2022-07-23 17:01:53,New
Divine Sword - Phoenix Blade,,,2022-07-23 17:01:53,Old
Divine Sword - Phoenix Blade,Reprint,,2022-07-23 17:01:53,New
Return from the Different Dimension,Reprint,,2022-07-23 17:01:53,New
Return from the Different Dimension,,,2022-07-23 17:01:53,Old
Cipher Soldier,,,2022-07-23 17:01:53,Old
Cipher Soldier,Reprint,,2022-07-23 17:01:53,New
Magician's Circle,Reprint,,2022-07-23 17:01:53,New
Magician's Circle,,,2022-07-23 17:01:53,Old
Soul Exchange,Reprint,,2022-07-23 17:01:53,New
Soul Exchange,,,2022-07-23 17:01:53,Old
Mother Grizzly,Reprint,,2022-07-23 17:01:53,New
Mother Grizzly,,,2022-07-23 17:01:53,Old
Grand Tiki Elder,Reprint,,2022-07-23 17:01:53,New
Grand Tiki Elder,,,2022-07-23 17:01:53,Old
Gigantes,,,2022-07-23 17:01:53,Old
Gigantes,Reprint,,2022-07-23 17:01:53,New
Robbin' Goblin,Reprint,,2022-07-23 17:01:53,New
Robbin' Goblin,,,2022-07-23 17:01:53,Old
Manju of the Ten Thousand Hands,Reprint,,2022-07-23 17:01:53,New
Manju of the Ten Thousand Hands,,,2022-07-23 17:01:53,Old
Hand of Nephthys,Reprint,,2022-07-23 17:01:53,New
Hand of Nephthys,,,2022-07-23 17:01:53,Old
D.D. Survivor,Reprint,,2022-07-23 17:01:53,New
D.D. Survivor,,,2022-07-23 17:01:53,Old
Treeborn Frog,Reprint,,2022-07-23 17:01:53,New
Treeborn Frog,,,2022-07-23 17:01:53,Old
Fiend's Sanctuary,,,2022-07-23 17:01:57,Old
Fiend's Sanctuary,New,,2022-07-23 17:01:57,New
Giant Germ,Reprint,,2022-07-23 17:01:57,New
Giant Germ,,,2022-07-23 17:01:57,Old
Magical Merchant,Reprint,,2022-07-23 17:01:57,New
Magical Merchant,,,2022-07-23 17:01:57,Old
Wave-Motion Cannon,Reprint,,2022-07-23 17:01:57,New
Wave-Motion Cannon,,,2022-07-23 17:01:57,Old
Trap Dustshoot,Reprint,,2022-07-23 17:01:57,New
Trap Dustshoot,,,2022-07-23 17:01:57,Old
Dark Necrofear,Reprint,,2022-07-23 17:01:57,New
Dark Necrofear,,,2022-07-23 17:01:57,Old
Blowback Dragon,,,2022-07-23 17:01:57,Old
Blowback Dragon,Reprint,,2022-07-23 17:01:57,New
Dark Ruler Ha Des,,,2022-07-23 17:01:57,Old
Dark Ruler Ha Des,Reprint,,2022-07-23 17:01:57,New
Deck Devastation Virus,Reprint,,2022-07-23 17:01:57,New
Deck Devastation Virus,,,2022-07-23 17:01:57,Old
Pulling the Rug,Reprint,,2022-07-23 17:01:57,New
Pulling the Rug,,,2022-07-23 17:01:57,Old
Anti-Spell Fragrance,Reprint,,2022-07-23 17:01:57,New
Anti-Spell Fragrance,,,2022-07-23 17:01:57,Old
Amazon of the Seas,New,,2022-07-23 17:01:57,New
Amazon of the Seas,,,2022-07-23 17:01:57,Old
Protector of the Sanctuary,Reprint,,2022-07-23 17:01:57,New
Protector of the Sanctuary,,,2022-07-23 17:01:57,Old
Double Coston,Reprint,,2022-07-23 17:01:57,New
Double Coston,,,2022-07-23 17:01:57,Old
Rescue Cat,Reprint,,2022-07-23 17:01:57,New
Rescue Cat,,,2022-07-23 17:01:57,Old
D.D. Crow,,,2022-07-23 17:01:57,Old
D.D. Crow,Reprint,,2022-07-23 17:01:57,New
Hammer Shot,Reprint,,2022-07-23 17:01:57,New
Hammer Shot,,,2022-07-23 17:01:57,Old
Thousand Knives,,,2022-07-23 17:01:57,Old
Thousand Knives,Reprint,,2022-07-23 17:01:57,New
Cursed Seal of the Forbidden Spell,Reprint,,2022-07-23 17:01:57,New
Cursed Seal of the Forbidden Spell,,,2022-07-23 17:01:57,Old
Spirit Barrier,Reprint,,2022-07-23 17:01:57,New
Spirit Barrier,,,2022-07-23 17:01:57,Old
Rigorous Reaver,,,2022-07-23 17:02:02,Old
Rigorous Reaver,New,,2022-07-23 17:02:02,New
Destiny HERO - Fear Monger,,,2022-07-23 17:02:02,Old
Destiny HERO - Fear Monger,Reprint,,2022-07-23 17:02:02,New
Old Vindictive Magician,,,2022-07-23 17:02:02,Old
Old Vindictive Magician,Reprint,,2022-07-23 17:02:02,New
Phoenix Wing Wind Blast,,,2022-07-23 17:02:02,Old
Phoenix Wing Wind Blast,Reprint,,2022-07-23 17:02:02,New
Blaze Accelerator,Reprint,,2022-07-23 17:02:02,New
Blaze Accelerator,,,2022-07-23 17:02:02,Old
Call of Darkness,,,2022-07-23 17:02:02,Old
Call of Darkness,New,,2022-07-23 17:02:02,New
Blade Knight,,,2022-07-23 17:02:02,Old
Blade Knight,Reprint,,2022-07-23 17:02:02,New
Super-Electromagnetic Voltech Dragon,,,2022-07-23 17:02:02,Old
Super-Electromagnetic Voltech Dragon,Reprint,,2022-07-23 17:02:02,New
Elemental HERO Stratos,,,2022-07-23 17:02:02,Old
Elemental HERO Stratos,Reprint,,2022-07-23 17:02:02,New
Helios Duo Megistus,Reprint,,2022-07-23 17:02:02,New
Helios Duo Megistus,,,2022-07-23 17:02:02,Old
Mage Power,,,2022-07-23 17:02:02,Old
Mage Power,Reprint,,2022-07-23 17:02:02,New
Sentinel of the Seas,,,2022-07-23 17:02:02,Old
Sentinel of the Seas,New,,2022-07-23 17:02:02,New
Batteryman AA,Reprint,,2022-07-23 17:02:02,New
Batteryman AA,,,2022-07-23 17:02:02,Old
Theban Nightmare,Reprint,,2022-07-23 17:02:02,New
Theban Nightmare,,,2022-07-23 17:02:02,Old
Majestic Mech - Ohka,Reprint,,2022-07-23 17:02:02,New
Majestic Mech - Ohka,,,2022-07-23 17:02:02,Old
Soul of Purity and Light,,,2022-07-23 17:02:02,Old
Soul of Purity and Light,Reprint,,2022-07-23 17:02:02,New
Amplifier,,,2022-07-23 17:02:02,Old
Amplifier,Reprint,,2022-07-23 17:02:02,New
Cold Wave,,,2022-07-23 17:02:02,Old
Cold Wave,Reprint,,2022-07-23 17:02:02,New
Magical Hats,Reprint,,2022-07-23 17:02:02,New
Magical Hats,,,2022-07-23 17:02:02,Old
Dimension Wall,,,2022-07-23 17:02:02,Old
Dimension Wall,Reprint,,2022-07-23 17:02:02,New
Voltic Kong,,,2022-07-23 17:02:06,Old
Voltic Kong,New,,2022-07-23 17:02:06,New
Legendary Jujitsu Master,Reprint,,2022-07-23 17:02:06,New
Legendary Jujitsu Master,,,2022-07-23 17:02:06,Old
Threatening Roar,Reprint,,2022-07-23 17:02:06,New
Threatening Roar,,,2022-07-23 17:02:06,Old
Gladiator Beast Bestiari,,,2022-07-23 17:02:06,Old
Gladiator Beast Bestiari,Reprint,,2022-07-23 17:02:06,New
Lonefire Blossom,,,2022-07-23 17:02:06,Old
Lonefire Blossom,Reprint,,2022-07-23 17:02:06,New
Elemental Hero Ocean,,,2022-07-23 17:02:06,Old
Elemental Hero Ocean,Reprint,,2022-07-23 17:02:06,New
Fairy King Truesdale,Reprint,,2022-07-23 17:02:06,New
Fairy King Truesdale,,,2022-07-23 17:02:06,Old
Spell Striker,Reprint,,2022-07-23 17:02:06,New
Spell Striker,,,2022-07-23 17:02:06,Old
Vanity's Fiend,Reprint,,2022-07-23 17:02:06,New
Vanity's Fiend,,,2022-07-23 17:02:06,Old
Dark World Dealings,Reprint,,2022-07-23 17:02:06,New
Dark World Dealings,,,2022-07-23 17:02:06,Old
Doom Shaman,,,2022-07-23 17:02:06,Old
Doom Shaman,Reprint,,2022-07-23 17:02:06,New
Shovel Crusher,,,2022-07-23 17:02:06,Old
Shovel Crusher,New,,2022-07-23 17:02:06,New
Life Absorbing Machine,Reprint,,2022-07-23 17:02:06,New
Life Absorbing Machine,,,2022-07-23 17:02:06,Old
"Fusilier Dragon, the Dual-Mode Beast",Reprint,,2022-07-23 17:02:06,New
"Fusilier Dragon, the Dual-Mode Beast",,,2022-07-23 17:02:06,Old
Homunculus the Alchemic Being,,,2022-07-23 17:02:06,Old
Homunculus the Alchemic Being,Reprint,,2022-07-23 17:02:06,New
Memory Crusher,Reprint,,2022-07-23 17:02:06,New
Memory Crusher,,,2022-07-23 17:02:06,Old
Instant Fusion,Reprint,,2022-07-23 17:02:06,New
Instant Fusion,,,2022-07-23 17:02:06,Old
Dimensional Inversion,Reprint,,2022-07-23 17:02:06,New
Dimensional Inversion,,,2022-07-23 17:02:06,Old
Ancient Rules,,,2022-07-23 17:02:06,Old
Ancient Rules,Reprint,,2022-07-23 17:02:06,New
Counter Counter,Reprint,,2022-07-23 17:02:06,New
Counter Counter,,,2022-07-23 17:02:06,Old
Gravity Behemoth,New,,2022-12-20 10:49:27,New
Gravity Behemoth,,,2022-07-23 17:02:09,Old
Prohibition,Reprint,,2022-12-20 10:49:27,New
Prohibition,,,2022-07-23 17:02:09,Old
Mind Crush,,,2022-07-23 17:02:09,Old
Mind Crush,Reprint,,2022-12-20 10:49:27,New
Dimensional Fissure,,,2022-07-23 17:02:09,Old
Dimensional Fissure,Reprint,,2022-12-20 10:49:27,New
"Lumina, Lightsworn Summoner",,,2022-07-23 17:02:09,Old
"Lumina, Lightsworn Summoner",Reprint,,2022-12-20 10:49:27,New
Magician's Valkyria,,,2022-07-23 17:02:09,Old
Magician's Valkyria,Reprint,,2022-12-20 10:49:27,New
Silent Magician LV4,,,2022-07-23 17:02:09,Old
Silent Magician LV4,Reprint,,2022-12-20 10:49:27,New
Great Shogun Shien,Reprint,,2022-12-20 10:49:27,New
Great Shogun Shien,,,2022-07-23 17:02:09,Old
Herald of Creation,,,2022-07-23 17:02:09,Old
Herald of Creation,Reprint,,2022-12-20 10:49:27,New
Burial from a Different Dimension,Reprint,,2022-12-20 10:49:27,New
Burial from a Different Dimension,,,2022-07-23 17:02:09,Old
Necro Gardna,,,2022-07-23 17:02:09,Old
Necro Gardna,Reprint,,2022-12-20 10:49:27,New
Mushroom Man,,,2022-07-23 17:02:09,Old
Mushroom Man,New,,2022-12-20 10:49:27,New
Royal Oppression,Reprint,,2022-12-20 10:49:27,New
Royal Oppression,,,2022-07-23 17:02:09,Old
Beckoning Light,Reprint,,2022-12-20 10:49:27,New
Beckoning Light,,,2022-07-23 17:02:09,Old
Neo-Spacian Dark Panther,Reprint,,2022-12-20 10:49:27,New
Neo-Spacian Dark Panther,,,2022-07-23 17:02:09,Old
Alien Warrior,,,2022-07-23 17:02:09,Old
Alien Warrior,Reprint,,2022-12-20 10:49:27,New
Alien Mother,,,2022-07-23 17:02:09,Old
Alien Mother,Reprint,,2022-12-20 10:49:27,New
Vanity's Ruler,Reprint,,2022-12-20 10:49:27,New
Vanity's Ruler,,,2022-07-23 17:02:09,Old
Miraculous Rebirth,,,2022-07-23 17:02:09,Old
Miraculous Rebirth,Reprint,,2022-12-20 10:49:27,New
Cell Explosion Virus,Reprint,,2022-12-20 10:49:27,New
Cell Explosion Virus,,,2022-07-23 17:02:09,Old
Blizzard Dragon,Reprint,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2020-07-15 18:20:41,Old
Blizzard Dragon,American debut,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2022-12-20 12:22:10,New
Metal Shooter,Reprint,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2020-07-15 18:20:41,Old
Metal Shooter,American debut,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2022-12-20 12:22:10,New
Des Mosquito,Reprint,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2020-07-15 18:20:41,Old
Des Mosquito,American debut,"('Red-Eyes Black Dragon', 'Green Baboon, Defender of the Forest', 'Blizzard Dragon', 'Blue-Eyes White Dragon')",2022-12-20 12:22:10,New
Blue-Eyes White Dragon,Reprint,,2021-03-12 01:31:11,New
Blue-Eyes White Dragon,,,2021-03-12 01:31:11,Old
Dark Magician,,,2021-03-12 01:31:11,Old
Dark Magician,Reprint,,2021-03-12 01:31:11,New
Red-Eyes Black Dragon,,,2021-03-12 01:31:11,Old
Red-Eyes Black Dragon,Reprint,,2021-03-12 01:31:11,New
Ojama Yellow,,,2021-03-12 01:31:11,Old
Ojama Yellow,Reprint,,2021-03-12 01:31:11,New
Elemental HERO Neos,,,2021-03-12 01:31:11,Old
Elemental HERO Neos,Reprint,,2021-03-12 01:31:11,New
Buster Blader,,,2021-03-12 01:31:11,Old
Buster Blader,Reprint,,2021-03-12 01:31:11,New
Kuriboh,,,2021-03-12 01:31:11,Old
Kuriboh,Reprint,,2021-03-12 01:31:11,New
Winged Kuriboh,Reprint,,2021-03-12 01:31:11,New
Winged Kuriboh,,,2021-03-12 01:31:11,Old
Cyber Dragon,Reprint,,2021-03-12 01:31:11,New
Cyber Dragon,,,2021-03-12 01:31:11,Old
"Blizzed, Defender of the Ice Barrier",New,,2021-03-12 01:31:11,New
"Blizzed, Defender of the Ice Barrier",,,2021-03-12 01:31:11,Old
Blizzard Warrior,,,2021-03-12 01:31:11,Old
Blizzard Warrior,New,,2021-03-12 01:31:11,New
Cryomancer of the Ice Barrier,New,,2021-03-12 01:31:11,New
Cryomancer of the Ice Barrier,,,2021-03-12 01:31:11,Old
Mist Valley Thunderbird,,,2021-03-12 01:31:11,Old
Mist Valley Thunderbird,New,,2021-03-12 01:31:11,New
Mist Valley Shaman,,,2021-03-12 01:31:11,Old
Mist Valley Shaman,New,,2021-03-12 01:31:11,New
Mist Valley Soldier,,,2021-03-12 01:31:11,Old
Mist Valley Soldier,New,,2021-03-12 01:31:11,New
Flamvell Dragnov,New,,2021-03-12 01:31:11,New
Flamvell Dragnov,,,2021-03-12 01:31:11,Old
Flamvell Magician,New,,2021-03-12 01:31:11,New
Flamvell Magician,,,2021-03-12 01:31:11,Old
Flamvell Guard,New,,2021-03-12 01:31:11,New
Flamvell Guard,,,2021-03-12 01:31:11,Old
X-Saber Axel,New,,2021-03-12 01:31:11,New
X-Saber Axel,,,2021-03-12 01:31:11,Old
X-Saber Airbellum,New,,2021-03-12 01:31:11,New
X-Saber Airbellum,,,2021-03-12 01:31:11,Old
X-Saber Uruz,,,2021-03-12 01:31:11,Old
X-Saber Uruz,New,,2021-03-12 01:31:11,New
"Commander Gottoms, Swordmaster",New,,2021-03-12 01:31:11,New
"Commander Gottoms, Swordmaster",,,2021-03-12 01:31:11,Old
Ally of Justice Clausolas,New,,2021-03-12 01:31:11,New
Ally of Justice Clausolas,,,2021-03-12 01:31:11,Old
Ally of Justice Garadholg,New,,2021-03-12 01:31:11,New
Ally of Justice Garadholg,,,2021-03-12 01:31:11,Old
Ally of Justice Rudra,New,,2021-03-12 01:31:11,New
Ally of Justice Rudra,,,2021-03-12 01:31:11,Old
Worm Apocalypse,New,,2021-03-12 01:31:11,New
Worm Apocalypse,,,2021-03-12 01:31:11,Old
Worm Barses,,,2021-03-12 01:31:11,Old
Worm Barses,New,,2021-03-12 01:31:11,New
Worm Cartaros,,,2021-03-12 01:31:11,Old
Worm Cartaros,New,,2021-03-12 01:31:11,New
Worm Dimikles,,,2021-03-12 01:31:11,Old
Worm Dimikles,New,,2021-03-12 01:31:11,New
Worm Erokin,,,2021-03-12 01:31:11,Old
Worm Erokin,New,,2021-03-12 01:31:11,New
"Brionac, Dragon of the Ice Barrier",,,2021-03-12 01:31:11,Old
"Brionac, Dragon of the Ice Barrier",New,,2021-03-12 01:31:11,New
Mist Wurm,,,2021-03-12 01:31:11,Old
Mist Wurm,New,,2021-03-12 01:31:11,New
Flamvell Uruquizas,,,2021-03-12 01:31:11,Old
Flamvell Uruquizas,New,,2021-03-12 01:31:11,New
X-Saber Urbellum,,,2021-03-12 01:31:11,Old
X-Saber Urbellum,New,,2021-03-12 01:31:11,New
Ally of Justice Catastor,,,2021-03-12 01:31:11,Old
Ally of Justice Catastor,New,,2021-03-12 01:31:11,New
Soul Exchange,Reprint,,2021-03-12 01:31:11,New
Soul Exchange,,,2021-03-12 01:31:11,Old
Malevolent Nuzzler,Reprint,,2021-03-12 01:31:11,New
Malevolent Nuzzler,,,2021-03-12 01:31:11,Old
Nobleman of Extermination,Reprint,,2021-03-12 01:31:11,New
Nobleman of Extermination,,,2021-03-12 01:31:11,Old
Burst Stream of Destruction,Reprint,,2021-03-12 01:31:11,New
Burst Stream of Destruction,,,2021-03-12 01:31:11,Old
Dark Magic Attack,Reprint,,2021-03-12 01:31:11,New
Dark Magic Attack,,,2021-03-12 01:31:11,Old
Inferno Fire Blast,Reprint,,2021-03-12 01:31:11,New
Inferno Fire Blast,,,2021-03-12 01:31:11,Old
Wrath of Neos,,,2021-03-12 01:31:11,Old
Wrath of Neos,New,,2021-03-12 01:31:11,New
Detonate,New,,2021-03-12 01:31:11,New
Detonate,,,2021-03-12 01:31:11,Old
Berserker Crush,New,,2021-03-12 01:31:11,New
Berserker Crush,,,2021-03-12 01:31:11,Old
Evolution Burst,,,2021-03-12 01:31:11,Old
Evolution Burst,New,,2021-03-12 01:31:11,New
Dust Tornado,,,2021-03-12 01:31:11,Old
Dust Tornado,Reprint,,2021-03-12 01:31:11,New
Mask of Weakness,,,2021-03-12 01:31:11,Old
Mask of Weakness,Reprint,,2021-03-12 01:31:11,New
Magic Jammer,,,2021-03-12 01:31:11,Old
Magic Jammer,Reprint,,2021-03-12 01:31:11,New
Reinforcements,,,2021-03-12 01:31:11,Old
Reinforcements,Reprint,,2021-03-12 01:31:11,New
Negate Attack,,,2021-03-12 01:31:11,Old
Negate Attack,Reprint,,2021-03-12 01:31:11,New
Turbo Synchron,Reprint,,2018-02-17 05:21:37,New
Turbo Synchron,,,2018-02-17 05:21:37,Old
Mad Archfiend,Reprint,,2018-02-17 05:21:37,New
Mad Archfiend,,,2018-02-17 05:21:37,Old
Morphtronic Celfon,Reprint,,2018-02-17 05:21:37,New
Morphtronic Celfon,,,2018-02-17 05:21:37,Old
Gadget Hauler,,,2018-02-17 05:21:37,Old
Gadget Hauler,Reprint,,2018-02-17 05:21:37,New
Barrel Dragon,,,2018-02-17 05:21:37,Old
Barrel Dragon,Reprint,,2018-02-17 05:21:37,New
Drillroid,,,2018-02-17 05:21:37,Old
Drillroid,Reprint,,2018-02-17 05:21:37,New
Naturia Beetle,New,,2018-02-17 05:21:37,New
Naturia Beetle,,,2018-02-17 05:21:37,Old
Naturia Rock,New,,2018-02-17 05:21:37,New
Naturia Rock,,,2018-02-17 05:21:37,Old
Naturia Guardian,,,2018-02-17 05:21:37,Old
Naturia Guardian,New,,2018-02-17 05:21:37,New
Naturia Vein,,,2018-02-17 05:21:37,Old
Naturia Vein,New,,2018-02-17 05:21:37,New
Genex Furnace,New,,2018-02-17 05:21:37,New
Genex Furnace,,,2018-02-17 05:21:37,Old
Genex Gaia,,,2018-02-17 05:21:37,Old
Genex Gaia,New,,2018-02-17 05:21:37,New
Genex Spare,New,,2018-02-17 05:21:37,New
Genex Spare,,,2018-02-17 05:21:37,Old
Genex Turbine,New,,2018-02-17 05:21:37,New
Genex Turbine,,,2018-02-17 05:21:37,Old
Genex Doctor,,,2018-02-17 05:21:37,Old
Genex Doctor,New,,2018-02-17 05:21:37,New
Genex Solar,New,,2018-02-17 05:21:37,New
Genex Solar,,,2018-02-17 05:21:37,Old
Dai-Sojo of the Ice Barrier,,,2018-02-17 05:21:37,Old
Dai-Sojo of the Ice Barrier,New,,2018-02-17 05:21:37,New
Medium of the Ice Barrier,,,2018-02-17 05:21:37,Old
Medium of the Ice Barrier,New,,2018-02-17 05:21:37,New
Mist Valley Baby Roc,,,2018-02-17 05:21:37,Old
Mist Valley Baby Roc,New,,2018-02-17 05:21:37,New
Mist Valley Executor,,,2018-02-17 05:21:37,Old
Mist Valley Executor,New,,2018-02-17 05:21:37,New
Flamvell Grunika,,,2018-02-17 05:21:37,Old
Flamvell Grunika,New,,2018-02-17 05:21:37,New
